[00:09.730 --> 00:10.110]  Zero.
[18:34.130 --> 18:35.370]  I have three,
[18:35.810 --> 18:37.230]  but my two I think are going to be tough.
[18:37.350 --> 18:38.390]  Skateboard is a tough one,
[18:38.630 --> 18:40.930]  and then I have dead parenthead, which is not tough,
[18:41.030 --> 18:41.890]  but it's a little early.
[18:41.890 --> 18:44.270]  They don't start crawling out of their holes
[18:44.270 --> 18:44.990]  until about midnight.
[18:46.130 --> 18:48.470]  Did that guy, do you think he knew we were playing?
[18:49.050 --> 18:50.050]  Or was that just coincidental?
[18:50.270 --> 18:51.690]  If he's wearing that shirt
[18:51.690 --> 18:53.750]  and he doesn't know we're doing this right now,
[18:53.870 --> 18:54.650]  what the fuck?
[18:54.890 --> 18:56.070]  He's going to be so disappointed.
[18:58.370 --> 18:59.570]  That was so cool.
[19:00.030 --> 19:00.910]  Yeah, that was really great.
[19:00.990 --> 19:02.530]  Maybe he'll just be so appointed.
[19:06.010 --> 19:08.910]  It's kind of slow for a Friday night.
[19:08.950 --> 19:10.570]  It is a little quiet down here.
[19:11.190 --> 19:13.270]  It doesn't feel very slop o'clock.
[19:13.530 --> 19:15.110]  There's a guy riding a scooter on the sidewalk,
[19:15.290 --> 19:16.090]  I guess that's something.
[19:16.750 --> 19:18.710]  How many people can you cram on one of those
[19:18.710 --> 19:19.750]  golf carts?
[19:21.010 --> 19:22.090]  Apparently a lot.
[19:22.410 --> 19:23.390]  I think like six?
[19:26.650 --> 19:26.890]  Taxi?
[19:28.070 --> 19:28.570]  Bike?
[19:30.730 --> 19:31.730]  Pink taxi?
[19:32.770 --> 19:34.170]  Anybody with a bandage?
[19:36.450 --> 19:38.070]  I have bandage also.
[19:38.190 --> 19:40.030]  I also have can see FaceTime screen.
[19:40.030 --> 19:41.650]  The closest I'm going to get is that
[19:41.650 --> 19:43.270]  fucking taking a selfie thing.
[19:43.530 --> 19:45.150]  You never know.
[19:45.350 --> 19:47.690]  A lot of times when there's a line to get into
[19:47.690 --> 19:49.610]  Slop's, they'll be
[19:49.610 --> 19:50.970]  doing that shit on their phones.
[19:51.590 --> 19:52.910]  They're just right under the camera.
[19:53.470 --> 19:54.230]  Sometimes you get lucky.
[19:55.790 --> 19:57.910]  He got me selfie and acknowledge
[19:57.910 --> 19:58.950]  camera on the same line.
[20:00.010 --> 20:00.450]  That was great.
[20:01.730 --> 20:02.810]  Wade Boggs fan.
[20:04.370 --> 20:05.910]  If you want to play Sloppy Joe's
[20:05.910 --> 20:07.950]  bingo, you can watch
[20:07.950 --> 20:09.310]  this and do it. There's a link and everything.
[20:09.470 --> 20:11.490]  But you go to store.reacherchief.com and you get that box.
[20:11.850 --> 20:12.870]  Get the Sloppy Drew's box.
[20:13.290 --> 20:15.870]  It's what we're playing off of and it's the official bingo
[20:15.870 --> 20:16.170]  set.
[20:17.470 --> 20:19.050]  I think the dauber is so cool.
[20:19.390 --> 20:20.390]  The dauber...
[20:20.390 --> 20:24.070]  I love my dauber.
[20:24.470 --> 20:25.970]  I'm having a lot of fun using it.
[20:27.370 --> 20:28.970]  There you go. He's happy.
[20:29.610 --> 20:31.870]  Give me some formal wear. Where's somebody in a suit, bro?
[20:32.090 --> 20:33.890]  What if this dude with
[20:33.890 --> 20:35.730]  the white baseball cap took his dumb shoes off
[20:35.730 --> 20:36.970]  and walked barefoot? That would be cool.
[20:39.710 --> 20:41.490]  Look at all these people holding stuff.
[20:41.930 --> 20:42.670]  One of them is going to drop.
[20:43.250 --> 20:45.450]  We haven't had a dumb hat yet, right?
[20:45.770 --> 20:45.990]  No.
[20:47.710 --> 20:49.130]  Are these memas?
[20:49.570 --> 20:50.410]  Are we in mema territory?
[20:50.850 --> 20:51.250]  No.
[20:53.730 --> 20:54.210]  Andrew.
[20:56.770 --> 20:57.710]  They're far away.
[20:57.970 --> 20:59.550]  She looked like she was wearing formal.
[21:01.930 --> 21:02.890]  She looked...
[21:02.890 --> 21:04.710]  That, to me, was like Florida formal.
[21:04.930 --> 21:06.350]  I don't think that's quite what we're going for.
[21:06.610 --> 21:09.030]  That just meant that she was wearing a button-up shirt.
[21:09.730 --> 21:10.690]  Yeah, or a sundress.
[21:12.950 --> 21:15.030]  That was crosswalk coward, wasn't it?
[21:15.030 --> 21:16.310]  Crosswalk coward, absolutely.
[21:16.310 --> 21:16.610]  Big time.
[21:18.630 --> 21:21.570]  I don't even have crosswalk coward.
[21:21.790 --> 21:22.230]  Neither do I.
[21:22.730 --> 21:23.050]  Oh, thanks.
[21:24.630 --> 21:25.930]  Damn, I appreciate that.
[21:26.510 --> 21:27.270]  Do you have it, Andrew?
[21:28.070 --> 21:29.150]  I believe I do.
[21:30.730 --> 21:39.390]  I gotta say, I have it on the board, so I guess I need it to appear, but I always love when I don't see Kid out too late.
[21:40.250 --> 21:41.130]  Yeah, I hear that.
[21:42.350 --> 21:44.930]  You get very passionate about it whenever you see Kid out too late.
[21:44.930 --> 21:46.110]  Kids don't need to be out that late.
[21:47.510 --> 21:48.450]  It's not good for them.
[21:49.290 --> 21:53.890]  And there's nothing for them on Duval Street at fucking slop o'clock.
[21:54.950 --> 21:55.430]  Hopelessness.
[21:55.910 --> 21:56.310]  Yeah.
[21:56.670 --> 22:00.350]  A preview of how it's all gonna go wrong for them.
[22:01.610 --> 22:02.190]  That's about it.
[22:02.410 --> 22:15.110]  You know, Eric, we were talking the other day about Wade Boggs, and we were lamenting that he was retired by the Tampa Bay Rays, and we were wondering why.
[22:15.930 --> 22:19.350]  And that dude had a Rays Boggs shirt on, so I guess he must have made an impact.
[22:20.110 --> 22:21.930]  He's a hero down there, you know.
[22:22.310 --> 22:24.510]  This is the most dogshit card I've ever had.
[22:24.510 --> 22:25.130]  Really?
[22:26.170 --> 22:27.030]  What do you got on there, Gav?
[22:28.050 --> 22:29.390]  The ones I've crossed off?
[22:29.730 --> 22:31.190]  No, just like, what are you looking for?
[22:31.510 --> 22:40.190]  Oh, I've got trip, I've got puking on the ground, barefoot, jeans and flip flops, almost get hit by a car.
[22:41.010 --> 22:42.170]  I feel like they're pretty tough ones.
[22:42.490 --> 22:45.990]  Dude, every one of those is an absolute fucking moment when it happens, though.
[22:46.030 --> 22:46.150]  Yeah.
[22:46.950 --> 22:47.890]  Oh, go car?
[22:49.870 --> 22:51.290]  I have go car also.
[22:52.230 --> 22:54.610]  I'm shocked by the lack of pink taxis.
[22:54.730 --> 22:58.050]  I feel like every time I've done this, pink taxis all over the place, haven't seen one.
[22:58.250 --> 23:00.290]  It's feast or famine with those things, man.
[23:02.170 --> 23:05.270]  Dancing in American flag clothes, I'm really surprised I haven't seen yet.
[23:05.770 --> 23:06.130]  Yeah.
[23:06.690 --> 23:08.530]  This guy on the phone is stumbling.
[23:09.030 --> 23:11.110]  Yeah, that's the guy I said drunk walked earlier.
[23:12.050 --> 23:13.270]  He's having a good time.
[23:14.550 --> 23:19.410]  I need a fucking bachelorette party, and I can't believe... I saw like three earlier before we started.
[23:19.410 --> 23:21.030]  Yes. Right there.
[23:21.250 --> 23:22.070]  Oh, there we go.
[23:22.290 --> 23:23.470]  Is that not a bachelorette party?
[23:25.050 --> 23:27.450]  That is insane timing, Geoff.
[23:27.450 --> 23:29.430]  Geoff, what else do you need? Do you need trying to get into the wrong car?
[23:29.810 --> 23:33.030]  Am I the sinner of the universe? Can I control time?
[23:33.450 --> 23:35.650]  What about some twerking? How about skateboarding?
[23:36.210 --> 23:39.090]  No, I need... I think I want those... Shake hands.
[23:39.530 --> 23:40.890]  Do it. Shake hands.
[23:41.230 --> 23:42.210]  Shake his fucking hand.
[23:43.010 --> 23:43.450]  Dancing.
[23:44.430 --> 23:45.710]  We are not dancing.
[23:45.710 --> 23:47.750]  Shake your... You bitch.
[23:48.850 --> 23:50.150]  Have we had a hug yet?
[23:50.770 --> 23:50.970]  No.
[23:51.650 --> 23:53.410]  I don't think so.
[23:54.130 --> 23:55.610]  I bet we've missed one.
[23:56.050 --> 24:00.450]  Oh, that's the worst part of doing Sloppy Joe's Bingo is that all the comments are like,
[24:00.470 --> 24:02.150]  I can't believe they didn't see this seven minutes in.
[24:02.330 --> 24:03.250]  It's like, I don't know.
[24:03.870 --> 24:05.650]  What do you want us to do? We're trying to talk and see.
[24:05.950 --> 24:07.110]  And I'm dumb.
[24:08.250 --> 24:12.330]  And Gavin and I are apparently... It's past our smart... It's dumb o'clock.
[24:14.250 --> 24:15.690]  It's past smart o'clock.
[24:17.390 --> 24:18.830]  It's past our smart.
[24:19.410 --> 24:19.510]  It's past our smart.
[24:19.510 --> 24:22.110]  I got a COVID booster and a flu shot today, so I'm flying.
[24:22.730 --> 24:23.750]  Oh, nice.
[24:24.130 --> 24:24.570]  Second flag close.
[24:25.350 --> 24:26.590]  Oh, yeah, nice.
[24:28.270 --> 24:29.830]  Under armor and freedom.
[24:30.170 --> 24:30.370]  Yep.
[24:31.250 --> 24:31.670]  Okay.
[24:32.490 --> 24:35.190]  Dude, I'm still so scattered on these.
[24:35.610 --> 24:36.750]  I'm too away from a bingo.
[24:37.110 --> 24:39.110]  Do I not have American flag? I thought I did.
[24:39.290 --> 24:39.610]  Yeah, dude.
[24:41.670 --> 24:42.890]  Oh, was that a hug? No.
[24:42.890 --> 24:44.110]  What are the two that you need, Nick?
[24:45.210 --> 24:46.610]  Uh, they're not gonna happen.
[24:46.750 --> 24:48.990]  So skateboard and someone yells to wait up.
[24:49.370 --> 24:50.710]  I need two as well.
[24:50.810 --> 24:51.970]  I feel good about mine.
[24:52.050 --> 24:54.210]  I need a luxury car and aggressive honking.
[24:54.810 --> 24:57.110]  We'll see a luxury car real soon.
[24:57.410 --> 24:57.850]  By the way,
[24:58.770 --> 25:00.750]  we've kind of determined since we made these cards
[25:00.750 --> 25:02.110]  that any honking is aggressive.
[25:02.690 --> 25:02.970]  Okay.
[25:03.870 --> 25:05.630]  You know what? I appreciate that.
[25:05.730 --> 25:07.470]  If you hear honking, it's probably aggressive.
[25:08.530 --> 25:10.810]  Man, this tree is loaded right now. Look at this.
[25:10.810 --> 25:13.070]  Yeah, it got really busy all of a sudden.
[25:14.050 --> 25:14.810]  Maybe everybody
[25:14.810 --> 25:16.870]  was just running about 11 minutes late today.
[25:18.250 --> 25:18.850]  Well, they
[25:18.850 --> 25:20.790]  had to buy the magnet and the
[25:20.790 --> 25:21.630]  box.
[25:22.990 --> 25:23.470]  Yeah,
[25:24.770 --> 25:26.250]  they were in their hotels
[25:26.770 --> 25:27.910]  furiously getting refreshed.
[25:28.230 --> 25:30.310]  I think I'd call that
[25:31.110 --> 25:32.630]  convertible Mustang a luxury car.
[25:32.910 --> 25:34.830]  You think that's a luxury? I don't think I would call
[25:34.830 --> 25:35.390]  that a luxury.
[25:37.730 --> 25:38.690]  Never mind.
[25:38.690 --> 25:39.770]  Sorry, I tried to give it to you.
[25:39.810 --> 25:42.490]  No, I appreciate it. I'm not a car guy, so if you see something,
[25:43.130 --> 25:43.710]  call it out.
[25:44.450 --> 25:45.870]  Geoff, how often do you see crying?
[25:47.150 --> 25:47.510]  Crying?
[25:47.970 --> 25:48.590]  Yeah, crying.
[25:51.970 --> 25:52.930]  Every time I look
[25:52.930 --> 25:53.890]  in the mirror, Nick.
[25:55.530 --> 25:56.410]  I see it
[25:56.410 --> 25:57.330]  fairly often.
[25:58.890 --> 26:00.650]  Oh, is that a bandage on that guy?
[26:00.790 --> 26:01.650]  Or like a cast?
[26:02.070 --> 26:03.090]  Oh, I need a cast.
[26:05.430 --> 26:06.450]  I don't even
[26:06.450 --> 26:07.910]  see what you're talking about.
[26:07.970 --> 26:10.390]  The guy in the dark shirt on the left almost off
[26:10.390 --> 26:11.270]  into the road.
[26:12.610 --> 26:13.050]  What?
[26:13.610 --> 26:14.850]  No, I don't think so.
[26:15.030 --> 26:17.410]  It's got grey shorts, it's got a dark shirt.
[26:17.430 --> 26:20.510]  It looks like he's got a
[26:22.790 --> 26:23.230]  bowling
[26:23.230 --> 26:23.970]  guard on.
[26:24.350 --> 26:25.430]  Maybe he's about to go bowling.
[26:26.670 --> 26:27.110]  Juggler!
[26:27.530 --> 26:28.510]  I don't think that's a thing.
[26:30.570 --> 26:31.670]  Look at that!
[26:31.950 --> 26:34.370]  Look at that juggler. Maybe we need to start
[26:34.370 --> 26:36.190]  adding Busker back in.
[26:38.070 --> 26:38.450]  Rocky
[26:38.450 --> 26:40.030]  and Magus
[26:40.030 --> 26:41.910]  Spider-Man haven't shown up in a long time.
[26:43.030 --> 26:44.190]  Magus Spider-Man?
[26:44.690 --> 26:45.650]  Yeah, he was in a little league.
[26:45.910 --> 26:47.250]  They're dropping stuff over there.
[26:48.950 --> 26:50.250]  The juggler's to the top left.
[26:50.370 --> 26:52.190]  They're passing it and they just dropped a bunch of the balls.
[26:52.210 --> 26:52.430]  Yes!
[26:53.970 --> 26:56.270]  Oh my god. I need a handshake
[26:56.270 --> 26:58.190]  and a bandage guy. I need a handshake and a bandage guy now.
[26:58.930 --> 27:00.110]  Offensive t-shirt, wheelchair.
[27:01.710 --> 27:02.430]  I can't
[27:02.430 --> 27:04.290]  believe there's a juggling guy here.
[27:04.570 --> 27:05.310]  This is crazy.
[27:05.330 --> 27:07.810]  This really works out for him.
[27:08.290 --> 27:09.670]  Multiple juggling guys.
[27:09.850 --> 27:11.670]  That's the second juggling guy.
[27:12.430 --> 27:13.530]  Those are the juggle bros.
[27:14.850 --> 27:16.170]  He dropped it again.
[27:16.350 --> 27:17.390]  They're thinking about starting a band.
[27:17.790 --> 27:19.910]  There are so many people at this fucking place
[27:19.910 --> 27:22.110]  but none of them are going in. They're all just standing
[27:22.110 --> 27:24.590]  in crowds outside. Oh dude, this guy in the red hat?
[27:24.950 --> 27:26.450]  He's about to suck on a chili
[27:26.450 --> 27:27.010]  dog!
[27:28.070 --> 27:30.630]  We're not gonna see it. He's not gonna do it!
[27:30.630 --> 27:33.430]  We gotta see it go in!
[27:33.570 --> 27:34.410]  He didn't do it.
[27:37.630 --> 27:38.690]  How are none of these
[27:38.690 --> 27:40.590]  people formal? I agree,
[27:40.770 --> 27:41.050]  Gavin.
[27:43.210 --> 27:44.650]  I don't even...
[27:44.650 --> 27:46.710]  I'm out of the bingo. I'm just focused
[27:46.710 --> 27:47.770]  in on this juggler.
[27:50.370 --> 27:50.970]  Dead parrot?
[27:51.130 --> 27:52.150]  No, that's a Willie Nelson.
[27:52.230 --> 27:53.790]  It's Willie Nelson. It's not a dead parrot.
[27:54.150 --> 27:56.390]  I saw him and I went, we got it. And then it's like,
[27:56.430 --> 27:57.030]  nah, it's Willie Nelson.
[27:59.550 --> 28:01.590]  I like how much Andrew likes the juggler.
[28:01.770 --> 28:03.410]  I can't stop watching!
[28:03.790 --> 28:04.410]  That's a dumb hat.
[28:05.130 --> 28:08.010]  Yeah, it's pretty fucking stupid on that guy.
[28:08.150 --> 28:08.910]  That's pretty fucking dumb.
[28:09.110 --> 28:11.230]  I'm gonna give you that. That guy looks dumb and that hat is dumb.
[28:11.390 --> 28:12.370]  Let's mark it.
[28:12.550 --> 28:14.650]  Oh shit, I got Beach Goth. I haven't even been looking.
[28:15.090 --> 28:16.650]  Oh, Beach Goth's a great one, Gavin.
[28:16.970 --> 28:19.030]  I haven't seen one. I would have called out if I saw it.
[28:19.150 --> 28:19.630]  Yeah, me too.
[28:20.110 --> 28:21.750]  I don't have a dumb hat. Me neither.
[28:22.210 --> 28:22.570]  Me neither.
[28:23.630 --> 28:24.790]  I got Bouncer Bouncing.
[28:25.370 --> 28:26.470]  Oh, damn.
[28:26.950 --> 28:27.890]  Sandals and shorts.
[28:29.210 --> 28:30.850]  Now a new one that we do
[28:30.850 --> 28:32.290]  in our private lives
[28:33.110 --> 28:34.570]  is anytime you see somebody
[28:34.570 --> 28:35.950]  empty the trash, that's Oscar.
[28:37.190 --> 28:38.530]  Oh, that's pretty good.
[28:38.570 --> 28:39.550]  I like it.
[28:43.030 --> 28:44.770]  She has shades on top of her head.
[28:45.070 --> 28:47.070]  Dude, put it on your fucking nose, lady.
[28:47.270 --> 28:48.190]  Yeah, it's all down.
[28:49.090 --> 28:50.090]  Hang on!
[28:50.510 --> 28:51.610]  Don't worry about it.
[28:53.350 --> 28:54.030]  Everything's good.
[28:54.030 --> 28:55.910]  I bet a pink taxi
[28:55.910 --> 28:57.250]  shot through while that was on.
[28:58.810 --> 28:59.550]  Full speed.
[28:59.790 --> 29:01.430]  There has not been a guy on guy's scooter.
[29:02.910 --> 29:03.710]  That's crazy.
[29:04.210 --> 29:05.550]  That was a wave, not a hug.
[29:06.070 --> 29:07.150]  Somebody hug someone!
[29:07.890 --> 29:08.990]  Somebody chug something!
[29:10.890 --> 29:12.110]  Somebody yawn somewhere.
[29:14.910 --> 29:16.430]  Somebody almost get hit by a car.
[29:16.590 --> 29:17.350]  Don't get hit by a car.
[29:17.870 --> 29:18.430]  Just almost.
[29:19.630 --> 29:21.950]  Yeah, but even if they did, these cars aren't going that fast.
[29:21.950 --> 29:23.910]  I mean, if you get hit by a car, you almost
[29:23.910 --> 29:25.090]  got hit by a car, too.
[29:26.510 --> 29:27.110]  That's true.
[29:27.470 --> 29:28.510]  It led into it.
[29:29.270 --> 29:31.850]  You almost got hit by a car, and then you got hit by a car.
[29:32.890 --> 29:34.090]  You almost avoided it,
[29:34.170 --> 29:34.850]  but then you didn't.
[29:37.710 --> 29:39.810]  That's like when Bart hired Milhouse to watch
[29:39.810 --> 29:41.990]  his warehouse that he
[29:41.990 --> 29:43.870]  bought overnight, and he came
[29:43.870 --> 29:45.970]  and it was just rubble on the ground, and he's like, I told you to watch it!
[29:46.050 --> 29:46.910]  And he's like, I did watch it.
[29:47.330 --> 29:49.170]  First it started to fall, and then it fell.
[29:49.170 --> 29:50.210]  That's not the whole thing.
[29:54.130 --> 29:55.290]  Gavin, do you guys call
[29:55.290 --> 29:56.490]  accidents near misses?
[29:58.430 --> 29:59.470]  You can do, yeah.
[29:59.570 --> 30:00.370]  Well, I mean, a near miss.
[30:01.270 --> 30:02.390]  You can do?
[30:02.670 --> 30:04.170]  Get the shit out of them.
[30:04.650 --> 30:06.190]  I don't know what day it is.
[30:07.950 --> 30:09.710]  You better open a window, dude.
[30:09.850 --> 30:11.530]  You're breathing too much cat air.
[30:11.750 --> 30:13.370]  I stood here editing for like
[30:13.370 --> 30:14.770]  12 straight hours with Smee,
[30:15.130 --> 30:16.470]  and I had to open the window twice.
[30:17.050 --> 30:18.250]  He's under you right now.
[30:18.330 --> 30:19.090]  He's feeling you.
[30:19.330 --> 30:20.890]  Yeah, it was so hot today.
[30:21.590 --> 30:23.810]  Have you ever seen the movie Cat's Eye?
[30:24.490 --> 30:25.170]  Gavin? No.
[30:25.710 --> 30:26.470]  Was it about roads?
[30:27.410 --> 30:29.970]  It's about a demon
[30:29.970 --> 30:31.770]  that tries to steal people's breath, and a cat
[30:31.770 --> 30:32.530]  saves his life.
[30:32.770 --> 30:34.830]  But this is the opposite.
[30:35.070 --> 30:36.530]  This would be like the opposite.
[30:36.710 --> 30:37.630]  Like if there were a sequel.
[30:39.270 --> 30:42.590]  I think James Woods
[30:42.590 --> 30:43.890]  was in it as well, I believe.
[30:46.470 --> 30:48.170]  I almost got hit by one of these cars.
[30:48.470 --> 30:50.370]  It's too early for anybody to puke.
[30:50.530 --> 30:52.410]  The only puking you're going to get is like an old dude
[30:52.410 --> 30:54.150]  who can't drink, but he thinks he can.
[30:54.670 --> 30:55.510]  You know what I mean?
[30:55.930 --> 30:56.750]  Like he used to drink.
[31:00.490 --> 31:01.690]  Is that a tricycle?
[31:03.210 --> 31:03.570]  Yes.
[31:05.110 --> 31:06.110]  That counts, yeah.
[31:06.630 --> 31:08.310]  There's many different kinds of tricycles,
[31:08.450 --> 31:09.910]  but if it's got three wheels, I'm counting it.
[31:10.030 --> 31:11.770]  That's another one, yeah.
[31:12.670 --> 31:14.490]  Wow, I uh...
[31:14.490 --> 31:15.290]  Oh, your turn!
[31:16.470 --> 31:18.270]  But that wasn't a car!
[31:18.570 --> 31:19.950]  No, it wasn't a car.
[31:21.350 --> 31:21.470]  Oh!
[31:22.110 --> 31:22.990]  She hoofed it.
[31:24.310 --> 31:26.810]  I'm two away in so many places.
[31:26.910 --> 31:28.170]  Was that hoofing?
[31:28.510 --> 31:29.710]  I think that was hoofing.
[31:29.850 --> 31:32.030]  Was any of it formal?
[31:33.390 --> 31:34.550]  Is that a dumb shirt?
[31:35.410 --> 31:36.450]  That's not an offensive shirt.
[31:36.570 --> 31:37.570]  It has to be.
[31:37.910 --> 31:38.830]  It's matching.
[31:39.690 --> 31:40.270]  It is matching.
[31:40.270 --> 31:40.790]  It is matching.
[31:42.350 --> 31:44.790]  Gavin just sent me a video of his setup
[31:44.790 --> 31:46.910]  and me sleeping underneath it.
[31:52.070 --> 31:58.930]  Nick, can you pull that one
[31:58.930 --> 31:59.890]  for me for the break show?
[32:00.690 --> 32:01.770]  I'm definitely gonna need that.
[32:02.470 --> 32:04.390]  I just need a luxury car.
[32:05.110 --> 32:06.570]  I'm a luxury car away.
[32:06.870 --> 32:08.110]  I need the ghost tour bus.
[32:08.110 --> 32:10.370]  Oh yeah, that's passive.
[32:11.890 --> 32:13.010]  That's aggressive honking.
[32:13.650 --> 32:14.550]  Andrew, what kind of cake
[32:14.550 --> 32:15.490]  are you gonna buy for yourself?
[32:16.550 --> 32:17.690]  I'm thinking ice cream.
[32:17.850 --> 32:18.830]  I think I might go fancy.
[32:20.430 --> 32:22.450]  I respect the decision.
[32:22.810 --> 32:23.470]  There's a dog.
[32:24.350 --> 32:25.010]  Oh wow, cool.
[32:25.290 --> 32:27.230]  My wife hates cake and ice cream together.
[32:27.710 --> 32:28.930]  I think I'm pissed at this taxi.
[32:29.890 --> 32:31.410]  What is there to...
[32:31.910 --> 32:32.810]  Why does your wife hate fun?
[32:33.350 --> 32:34.670]  I don't...
[32:34.670 --> 32:36.730]  Does she like them individually?
[32:37.690 --> 32:39.110]  She'll be fine with them individually.
[32:39.690 --> 32:40.670]  What does she prefer?
[32:42.070 --> 32:43.090]  I think just cake.
[32:43.810 --> 32:45.090]  She's not a big ice cream person?
[32:45.290 --> 32:46.090]  No, I don't think so.
[32:46.150 --> 32:47.450]  But again, they can't be touching.
[32:48.310 --> 32:48.590]  What?
[32:49.130 --> 32:51.810]  I don't do it. I don't give a shit.
[32:52.310 --> 32:54.610]  There's lots of people that don't like ice cream.
[32:54.750 --> 32:55.690]  You know who doesn't like ice cream?
[32:56.530 --> 32:56.890]  Communists.
[32:58.010 --> 32:59.130]  Yeah, I think that's fine though.
[32:59.230 --> 33:01.950]  I don't think it's 1951, so I think it's fine if you're a communist.
[33:01.950 --> 33:03.210]  Oh, they got a noob.
[33:03.810 --> 33:04.370]  Is it the right one?
[33:05.350 --> 33:06.230]  He's waving someone over.
[33:07.330 --> 33:08.130]  He waved.
[33:08.410 --> 33:11.230]  Yeah, but it wasn't waved up. He was saying, come here.
[33:11.730 --> 33:12.590]  That's a pickup.
[33:14.010 --> 33:14.790]  That is a pickup.
[33:16.290 --> 33:17.430]  Has anybody seen a cop car?
[33:17.950 --> 33:18.210]  No.
[33:18.450 --> 33:19.730]  So that wasn't a waved up?
[33:20.370 --> 33:21.550]  No, that was not a waved up.
[33:22.770 --> 33:23.850]  Are you sure?
[33:25.670 --> 33:29.330]  How was him calling someone over to them a waved up?
[33:29.450 --> 33:30.710]  Hey, waved up, we got this car.
[33:30.710 --> 33:32.690]  But he's standing still.
[33:32.930 --> 33:34.270]  Gotta be Nick.
[33:35.050 --> 33:37.350]  Hey, don't come over here, this car's for us.
[33:37.590 --> 33:39.950]  Hey, stop waiting up over there.
[33:40.050 --> 33:40.850]  Wait up over here.
[33:41.570 --> 33:43.850]  Wait up over there, in here, in the car.
[33:43.950 --> 33:44.650]  We have to get it.
[33:46.170 --> 33:47.210]  Dude, that guy
[33:47.970 --> 33:49.270]  behind that lady in white
[33:49.270 --> 33:51.010]  is fucking wide.
[33:51.990 --> 33:52.450]  Whoa.
[33:53.030 --> 33:53.410]  Dude.
[33:54.950 --> 33:56.850]  That guy's shoulders have shoulders.
[33:57.370 --> 33:57.710]  Come on.
[33:58.630 --> 33:59.350]  Wrong car.
[34:00.250 --> 34:01.330]  That's what you look like.
[34:01.450 --> 34:03.870]  I look that good?
[34:04.350 --> 34:04.830]  Holy shit.
[34:05.470 --> 34:07.530]  You look like you get in the front seat of an Uber.
[34:08.830 --> 34:09.830]  Do you have a buddy
[34:09.830 --> 34:11.650]  who goes around with sandals and socks?
[34:13.030 --> 34:13.810]  I wish.
[34:14.090 --> 34:14.650]  That'd be Dan.
[34:15.070 --> 34:15.510]  He does.
[34:23.030 --> 34:23.990]  Come on.
[34:24.170 --> 34:25.150]  Almost hit someone.
[34:25.150 --> 34:27.190]  Watching like 500 people
[34:27.190 --> 34:29.250]  successfully navigate up that curb
[34:29.250 --> 34:30.510]  is really frustrating.
[34:30.990 --> 34:31.550]  Yeah.
[34:32.730 --> 34:35.330]  Oh, that's the guy who's lost his other two friends.
[34:35.650 --> 34:35.910]  Yeah.
[34:36.910 --> 34:38.790]  They might just be the same guys.
[34:39.650 --> 34:39.870]  Hmm.
[34:40.270 --> 34:42.650]  Is that his twin?
[34:43.570 --> 34:45.430]  There's just a lot of the same kind of guy
[34:45.430 --> 34:46.810]  here tonight. Did we just find a glitch?
[34:50.210 --> 34:53.250]  This is like when Neo saw the black cat walk by twice.
[34:55.150 --> 34:56.670]  Are they trying to interact with the bridal party?
[34:57.210 --> 34:59.570]  Oh, it's getting loud over there.
[34:59.690 --> 35:00.970]  We might be seeing
[35:00.970 --> 35:02.970]  the beginnings of a fight here.
[35:02.990 --> 35:03.210]  Dude.
[35:04.210 --> 35:06.690]  Oh, that's the sparkliest shit I've ever seen. Look at that.
[35:06.990 --> 35:07.250]  Wow.
[35:07.770 --> 35:08.930]  Is that formal?
[35:10.070 --> 35:10.510]  No.
[35:11.390 --> 35:12.190]  That's party wear.
[35:14.870 --> 35:15.970]  That's not formal wear.
[35:16.630 --> 35:18.890]  Dude, I would get my
[35:18.890 --> 35:21.170]  fucking ass chewed out by Emily if I called that formal wear.
[35:21.810 --> 35:22.250]  Jesus.
[35:22.250 --> 35:24.190]  It feels very strongly about it.
[35:24.950 --> 35:26.430]  Does anyone have bikini
[35:26.430 --> 35:26.950]  on the outside?
[35:27.770 --> 35:27.970]  No.
[35:33.010 --> 35:35.990]  It looks like she skinned a disco ball.
[35:37.430 --> 35:38.050]  Absolutely.
[35:39.550 --> 35:40.490]  You guys on a scooter?
[35:40.930 --> 35:41.390]  No.
[35:44.790 --> 35:46.370]  It must be hot
[35:46.370 --> 35:47.830]  down there, huh?
[35:48.290 --> 35:49.450]  We'll find out someday.
[35:49.450 --> 35:51.550]  If they hung that woman from the top
[35:51.550 --> 35:53.570]  and she spat her out, it'd be so amazing.
[35:53.970 --> 35:55.790]  We can all shine our phone flashlights
[35:55.790 --> 35:56.830]  at her and then we'll have a party.
[35:57.190 --> 35:59.330]  Just make her spit in a circle in the middle of the room.
[36:02.130 --> 36:03.150]  She's wearing Uggs?
[36:03.250 --> 36:04.730]  Those are Uggs slippers?
[36:05.210 --> 36:06.470]  Yeah. Wow.
[36:07.810 --> 36:08.570]  Are those comfortable?
[36:09.450 --> 36:11.050]  Comfortable and fashion-forward.
[36:11.070 --> 36:12.250]  Is that a dead parrot?
[36:12.870 --> 36:15.050]  No, I was looking at him.
[36:15.250 --> 36:19.430]  He's more like a...
[36:19.430 --> 36:20.290]  wannabe pirate guy.
[36:22.310 --> 36:23.350]  His face isn't
[36:23.350 --> 36:25.230]  sunken in from years of living
[36:25.230 --> 36:27.030]  under a bridge like a dead parrot head.
