[00:07.880 --> 00:08.880]  And we're back.
[14:29.900 --> 14:31.460]  And then Lucy...
[14:31.460 --> 14:32.260]  Did I tell you about Lucy?
[14:32.440 --> 14:32.860]  She's pregnant.
[14:32.860 --> 14:33.620]  Oh yeah, she's pregnant.
[14:33.920 --> 14:35.890]  She was abducted and like...
[14:37.380 --> 14:37.760]  Assaulted?
[14:38.580 --> 14:38.960]  Whoops.
[14:39.680 --> 14:40.880]  By this piece of shit.
[14:40.980 --> 14:42.440]  And then she just found out that she's pregnant.
[14:42.560 --> 14:43.360]  So she doesn't know what to do.
[14:44.860 --> 14:45.240]  And...
[14:45.240 --> 14:46.400]  How are Pamela and Bobby?
[14:46.800 --> 14:47.760]  The baby's theirs.
[14:48.220 --> 14:48.640]  Oh, good.
[14:48.640 --> 14:49.220]  The baby is theirs.
[14:49.340 --> 14:49.800]  They didn't...
[14:49.800 --> 14:51.020]  It's not JR's baby.
[14:51.160 --> 14:52.880]  It's the other guy that died.
[14:53.640 --> 14:54.020]  Geoff...
[14:54.020 --> 14:54.540]  Whatever his name is.
[14:54.560 --> 14:54.860]  Faraday.
[14:54.940 --> 14:55.240]  Faraday.
[14:55.320 --> 14:55.760]  Geoff Faraday.
[14:55.880 --> 14:58.680]  Out of season six, do you think it holds strong through the next six seasons?
[14:59.320 --> 15:00.840]  Supposedly it holds strong through about nine.
[15:00.840 --> 15:02.860]  And then it falls off a cliff.
[15:02.960 --> 15:03.460]  So we'll see.
[15:03.660 --> 15:05.040]  There's Bobby Ewing himself.
[15:05.160 --> 15:05.900]  Step-by-step dad.
[15:05.900 --> 15:06.480]  There he is.
[15:06.520 --> 15:07.580]  Hanging out in the drinking room.
[15:07.880 --> 15:09.640]  That's where they drink together as a family every night.
[15:09.720 --> 15:10.500]  Before they have dinner.
[15:11.320 --> 15:12.120]  That's awesome.
[15:12.360 --> 15:12.900]  There's JR.
[15:12.940 --> 15:14.120]  We've had this car!
[15:14.280 --> 15:14.380]  Yeah.
[15:14.600 --> 15:15.980]  We specifically had this car.
[15:16.080 --> 15:17.040]  That was when they...
[15:17.040 --> 15:17.740]  That means we can trade it.
[15:17.740 --> 15:19.580]  Went camping and they got shot at.
[15:19.840 --> 15:20.980]  And Zach almost died.
[15:21.100 --> 15:22.380]  And JR did nothing to help.
[15:22.640 --> 15:23.040]  Useless.
[15:23.260 --> 15:24.100]  Wore a safari outfit.
[15:24.560 --> 15:26.280]  There's Cliff Barnes himself right there.
[15:26.480 --> 15:28.000]  Too greedy for his own good.
[15:28.040 --> 15:29.420]  Yeah, I used to love him.
[15:29.580 --> 15:29.760]  Come on, Cliff.
[15:29.760 --> 15:30.380]  But he got a little greedy.
[15:30.380 --> 15:31.740]  He's Pamela's brother too.
[15:31.820 --> 15:33.740]  Hoisted by his own petard.
[15:33.940 --> 15:34.680]  Speaking of Pamela.
[15:34.980 --> 15:35.480]  There's Pamela.
[15:35.620 --> 15:36.400]  Brother and sister right there.
[15:36.520 --> 15:37.040]  Pamela and Cliff.
[15:37.080 --> 15:38.800]  Yeah, that's Pamela when she had a bad haircut.
[15:39.120 --> 15:39.380]  Right.
[15:39.520 --> 15:40.840]  While Cliff is checking his mail.
[15:41.040 --> 15:41.200]  Yeah.
[15:41.360 --> 15:42.620]  See if anything comes in for him.
[15:42.660 --> 15:43.660]  This show rips.
[15:44.540 --> 15:45.900]  There's Pamela with her bad haircut.
[15:46.120 --> 15:46.420]  Again.
[15:46.720 --> 15:47.260]  Pamela and Bobby.
[15:47.380 --> 15:48.360]  She's probably being like,
[15:48.420 --> 15:49.720]  but Bobby, I have to go to work.
[15:49.740 --> 15:50.200]  And he's like,
[15:50.220 --> 15:51.140]  why would you go to work?
[15:51.160 --> 15:51.680]  You have money.
[15:51.740 --> 15:52.220]  Just stay here.
[15:52.240 --> 15:52.620]  And she's like,
[15:52.640 --> 15:54.260]  there's more than just like planning parties.
[15:54.800 --> 15:54.980]  Yeah.
[15:55.120 --> 15:55.960]  The 80s were wild times.
[15:55.960 --> 15:57.880]  And then he bought her a red convertible.
[15:57.980 --> 15:58.360]  Because he's like,
[15:58.360 --> 15:59.560]  well, you got to get to work somehow.
[15:59.960 --> 16:00.720]  So he got her a Porsche.
[16:00.980 --> 16:01.120]  Yeah.
[16:01.220 --> 16:01.320]  Right.
[16:01.720 --> 16:02.280]  There we go.
[16:02.380 --> 16:04.380]  There's Jock and Ellie Mae.
[16:04.460 --> 16:05.500]  It's so cool, too,
[16:05.600 --> 16:07.480]  because both of those actors in this shot
[16:07.480 --> 16:08.340]  are probably like 51.
[16:09.640 --> 16:10.160]  That's true.
[16:10.420 --> 16:11.780]  Actually, Jock, the dad,
[16:13.320 --> 16:16.000]  he dies not too long after this in real life.
[16:16.000 --> 16:17.540]  I remember you guys talking about that.
[16:17.720 --> 16:18.520]  I didn't fact check this,
[16:18.540 --> 16:19.540]  but someone told me that
[16:19.540 --> 16:21.200]  he may have been the original Marlboro Man.
[16:21.360 --> 16:22.280]  That might not be true.
[16:22.400 --> 16:23.100]  Someone told me that,
[16:23.140 --> 16:23.860]  but I didn't look it up.
[16:23.900 --> 16:25.100]  But I just remember that now.
[16:25.100 --> 16:25.960]  Oh, we should look into that.
[16:25.960 --> 16:27.140]  That's why he lived to be 62.
[16:27.860 --> 16:29.200]  He had brain cancer.
[16:29.460 --> 16:29.680]  Yeah.
[16:29.780 --> 16:30.520]  Oh, my God.
[16:30.860 --> 16:32.800]  He went down to South America
[16:32.800 --> 16:34.100]  to help the government.
[16:34.920 --> 16:35.760]  Teach them how to drill for oil.
[16:35.760 --> 16:36.780]  Teach them how to drill for oil.
[16:36.860 --> 16:37.020]  Yeah.
[16:37.260 --> 16:39.100]  And then his helicopter crashed
[16:39.100 --> 16:39.680]  between seasons.
[16:39.700 --> 16:40.520]  He went down there to see
[16:40.520 --> 16:41.620]  what Nicaragua was all about.
[16:41.780 --> 16:42.400]  And there's Lucy.
[16:42.400 --> 16:43.140]  Oh, there's Lucy.
[16:43.520 --> 16:44.600]  She's in trouble right now.
[16:44.980 --> 16:46.260]  Last season, in season five,
[16:46.320 --> 16:49.320]  she got abducted by this really shitty guy
[16:49.320 --> 16:50.820]  who was a photographer,
[16:51.360 --> 16:53.320]  and then her husband's a piece of shit,
[16:53.440 --> 16:54.160]  and he left her, too,
[16:54.200 --> 16:54.940]  and then she was abducted.
[16:55.020 --> 16:56.220]  And the family didn't even notice
[16:56.220 --> 16:56.960]  that she was gone.
[16:57.160 --> 16:59.020]  She was gone for, like, abducted
[16:59.020 --> 17:00.620]  for, like, three days,
[17:00.860 --> 17:01.940]  and then nobody noticed.
[17:02.140 --> 17:03.300]  Even right now with her, like,
[17:03.360 --> 17:04.380]  up in her room sad
[17:04.380 --> 17:05.600]  because she was abducted
[17:05.600 --> 17:07.400]  and, like, assaulted.
[17:07.720 --> 17:07.920]  Uh-huh.
[17:08.120 --> 17:08.800]  No one has...
[17:08.800 --> 17:09.660]  It's only been her friend
[17:09.660 --> 17:10.700]  that comes in to check on her.
[17:10.820 --> 17:11.260]  Nobody's like,
[17:11.300 --> 17:12.420]  Hey, Lucy, I haven't left your room
[17:12.420 --> 17:13.060]  in three days.
[17:13.760 --> 17:15.020]  Well, they have a lot going on.
[17:15.300 --> 17:15.620]  Yeah.
[17:15.780 --> 17:16.460]  There's a lot happening.
[17:16.600 --> 17:17.460]  Speaking of a lot going on,
[17:17.480 --> 17:18.400]  let's open up some mail.
[17:18.540 --> 17:18.760]  Okay.
[17:19.020 --> 17:19.960]  Let's see what we got here.
[17:20.060 --> 17:21.620]  We got two card packs in there.
[17:21.660 --> 17:22.000]  All right.
[17:22.020 --> 17:22.540]  There's no note.
[17:22.740 --> 17:23.040]  No note.
[17:23.040 --> 17:25.440]  I mean, it's from a place, but...
[17:25.440 --> 17:26.940]  Somebody sent us, uh,
[17:27.860 --> 17:29.180]  Tribe the intro.
[17:29.560 --> 17:30.920]  Whatever the fuck that is.
[17:30.960 --> 17:31.780]  So I'm telling you, man,
[17:31.800 --> 17:33.240]  I told you when we had the mail today,
[17:33.280 --> 17:34.020]  I told you what it was.
[17:34.140 --> 17:34.840]  I told you what was up.
[17:35.640 --> 17:36.600]  Let's open it up and see.
[17:36.860 --> 17:37.180]  Okay.
[17:37.400 --> 17:37.900]  What is Tribe?
[17:37.900 --> 17:40.400]  Is it, like, a game or a comic book
[17:40.400 --> 17:41.100]  I never heard of?
[17:41.120 --> 17:41.300]  Okay.
[17:42.900 --> 17:43.300]  Cool.
[17:43.760 --> 17:45.700]  Yeah, it looks like a comic book
[17:45.700 --> 17:46.640]  of some kind.
[17:47.060 --> 17:47.220]  Okay.
[17:47.240 --> 17:48.380]  See, there's a...
[17:48.380 --> 17:49.380]  Oh, there's just a whole panel.
[17:49.480 --> 17:50.660]  Well, the art style looks
[17:50.660 --> 17:52.540]  very Rob Liefeld.
[17:52.540 --> 17:53.260]  Yeah, boy!
[17:53.340 --> 17:54.040]  It looks like it's not.
[17:54.200 --> 17:54.740]  It's by somebody named Larry Strong.
[17:54.740 --> 17:56.520]  If you weren't alive in 1992
[17:56.520 --> 17:58.000]  but wanted to know what it was like,
[17:58.120 --> 17:58.600]  it's that.
[17:59.060 --> 17:59.320]  Yeah.
[17:59.460 --> 17:59.780]  It just...
[17:59.780 --> 18:01.220]  Everything looked like this
[18:01.220 --> 18:02.600]  or tried to look like this
[18:02.600 --> 18:03.720]  and none of it was good.
[18:03.960 --> 18:04.580]  It's like...
[18:04.580 --> 18:05.080]  It's like, here,
[18:05.140 --> 18:06.200]  we're gonna give you each panel
[18:06.200 --> 18:06.960]  from the comic book,
[18:07.020 --> 18:07.700]  but it's random,
[18:07.960 --> 18:08.960]  so you can't read it
[18:08.960 --> 18:09.980]  till you collect the whole thing.
[18:10.000 --> 18:10.940]  Everything was called
[18:10.940 --> 18:13.040]  The Max with Two X's.
[18:13.220 --> 18:13.640]  That's true.
[18:13.740 --> 18:14.460]  And that is...
[18:14.460 --> 18:15.860]  That's really kind of, like,
[18:15.860 --> 18:16.460]  how things went.
[18:16.660 --> 18:18.760]  And then Godzilla Superview.
[18:19.340 --> 18:20.560]  You know about the new Godzilla thing
[18:20.560 --> 18:21.240]  that's coming out?
[18:21.240 --> 18:21.520]  No.
[18:21.720 --> 18:22.940]  It's like Godzilla Minus One
[18:22.940 --> 18:23.400]  or something.
[18:23.800 --> 18:23.960]  What does that mean?
[18:24.280 --> 18:26.000]  I think it's like...
[18:26.000 --> 18:26.820]  I don't think it's like
[18:26.820 --> 18:27.540]  Godzilla, Godzilla.
[18:27.780 --> 18:29.020]  It's something like right before it.
[18:29.160 --> 18:30.240]  But, not to be outdone,
[18:32.160 --> 18:33.040]  Apple TV?
[18:33.260 --> 18:33.760]  I don't know what the fuck
[18:33.760 --> 18:35.540]  their paid subscription thing is.
[18:36.060 --> 18:37.780]  I saw a preview and I went,
[18:37.960 --> 18:39.140]  fucking Kurt Russell's in something.
[18:39.220 --> 18:39.480]  Hell yeah.
[18:39.540 --> 18:40.000]  It's Apple?
[18:40.080 --> 18:40.520]  That's cool.
[18:41.560 --> 18:43.140]  It's called, like, Monarch
[18:43.140 --> 18:43.660]  and it's like,
[18:43.760 --> 18:44.780]  this is John Goodman
[18:44.780 --> 18:47.060]  and he found all the monsters
[18:47.780 --> 18:48.660]  from Godzilla
[18:49.140 --> 18:50.700]  and Kurt Russell is in this thing
[18:50.700 --> 18:51.900]  where, like, Mothra is here
[18:51.900 --> 18:53.420]  and I just went...
[18:53.420 --> 18:54.600]  It's a TV show?
[18:54.700 --> 18:54.920]  What?
[18:55.060 --> 18:55.300]  Yeah.
[18:55.560 --> 18:56.860]  It gives a fuck!
[18:57.640 --> 18:58.960]  Put Kurt Russell in more stuff
[18:58.960 --> 19:00.520]  and don't make him fight Mothra
[19:00.520 --> 19:01.120]  or whatever.
[19:02.280 --> 19:03.640]  These cards are long.
[19:03.740 --> 19:04.980]  These are long cards.
[19:05.100 --> 19:05.780]  Here's Godzilla.
[19:06.020 --> 19:07.520]  Godzilla needs a pedicure.
[19:07.800 --> 19:08.820]  Is this from the movie?
[19:08.880 --> 19:09.060]  Yeah.
[19:09.440 --> 19:10.300]  Have you seen it?
[19:10.420 --> 19:11.500]  That's the Godzilla family.
[19:11.660 --> 19:12.340]  That's the baby Godzillas.
[19:12.620 --> 19:13.560]  This movie sucks.
[19:13.680 --> 19:14.960]  The only good thing that came out
[19:14.960 --> 19:18.760]  of this movie was...
[19:18.760 --> 19:19.360]  Matthew Broderick?
[19:19.360 --> 19:20.220]  Yeah, the cartoon one.
[19:20.460 --> 19:22.160]  The cartoon, which was fine.
[19:23.900 --> 19:26.020]  The cashmere cover thing
[19:26.020 --> 19:28.340]  that Diddy did with...
[19:28.340 --> 19:28.960]  Oh, right.
[19:29.780 --> 19:30.660]  That's 98, right?
[19:30.700 --> 19:31.140]  Summer of 98.
[19:31.180 --> 19:32.340]  And then also,
[19:32.600 --> 19:34.080]  the Taco Bell commercial
[19:34.080 --> 19:35.180]  where the Chihuahua goes,
[19:35.480 --> 19:37.380]  Here, lizard, lizard, lizard.
[19:40.220 --> 19:41.960]  Next package somebody sent us.
[19:42.020 --> 19:43.520]  Who's Roger Rabbit cards?
[19:43.780 --> 19:44.220]  Ooh.
[19:44.420 --> 19:45.040]  Who is Roger Rabbit?
[19:45.040 --> 19:46.620]  Would it be Who Framed Roger Rabbit?
[19:46.860 --> 19:48.460]  Who's Framed Roger Rabbit?
[19:49.460 --> 19:50.100]  Holy shit.
[19:51.040 --> 19:51.680]  Who is...
[19:51.680 --> 19:54.040]  Who the fuck is Roger Rabbit?
[19:54.680 --> 19:55.460]  Who's Roger Rabbit?
[19:55.460 --> 19:55.660]  Hey!
[19:57.440 --> 19:59.220]  You a Roger Rabbit fan, Emily,
[19:59.320 --> 19:59.860]  when you were a kid?
[20:00.500 --> 20:01.660]  We saw the movie.
[20:01.720 --> 20:02.940]  It was a little frantic for me,
[20:03.020 --> 20:04.220]  but we definitely watched it
[20:04.220 --> 20:04.980]  when we were younger, yeah.
[20:04.980 --> 20:06.000]  Because we're like the same age,
[20:06.040 --> 20:07.660]  and I remember being scared of the dip.
[20:08.040 --> 20:08.960]  It was a lot, yeah.
[20:09.060 --> 20:10.280]  It was just like a little,
[20:10.280 --> 20:10.780]  a little much.
[20:10.780 --> 20:12.260]  The dip was scary for me
[20:12.260 --> 20:12.680]  when I was in grade school.
[20:12.700 --> 20:13.820]  But then it was like the little shoe.
[20:13.940 --> 20:14.620]  It was so cute.
[20:15.040 --> 20:15.780]  I was scared,
[20:15.840 --> 20:16.660]  and I had to go to work later.
[20:16.660 --> 20:18.960]  I was working at the movie theater.
[20:19.180 --> 20:21.120]  All right, where's the rabbit at?
[20:21.240 --> 20:22.260]  That's not how you spell All Right.
[20:22.400 --> 20:23.280]  Bob Hoskins says.
[20:23.540 --> 20:25.160]  So All Right is the name of Geoff's podcast.
[20:25.520 --> 20:28.040]  Inside the club, in the club.
[20:28.600 --> 20:29.500]  Does everybody remember
[20:29.500 --> 20:31.060]  Love with the Proper Rabbit?
[20:31.540 --> 20:33.080]  I don't know what that means.
[20:34.360 --> 20:35.440]  Someone's tailing me.
[20:36.600 --> 20:37.420]  Then we have,
[20:37.680 --> 20:38.960]  oh, here's a picture of Roger Rabbit.
[20:39.360 --> 20:39.960]  He's the...
[20:39.960 --> 20:40.840]  Who is Roger Rabbit?
[20:40.860 --> 20:41.780]  Who is Roger Rabbit?
[20:42.440 --> 20:43.840]  In something cooking.
[20:43.980 --> 20:44.700]  That was probably the best part
[20:44.700 --> 20:45.380]  about that movie.
[20:45.380 --> 20:46.720]  He was a little baby.
[20:46.960 --> 20:47.260]  Short.
[20:47.360 --> 20:47.860]  There he is again.
[20:48.120 --> 20:49.400]  The rolling pin tumbles.
[20:49.780 --> 20:50.160]  And here we have,
[20:50.200 --> 20:50.440]  Cut!
[20:51.640 --> 20:52.520]  And then here we have,
[20:52.820 --> 20:53.500]  a narrow escape.
[20:54.740 --> 20:55.920]  And then finally,
[20:56.080 --> 20:57.820]  talk about a getaway car.
[20:58.380 --> 21:00.360]  We did the Roger Rabbit ride
[21:00.360 --> 21:00.800]  at Disneyland.
[21:01.400 --> 21:01.600]  Yeah.
[21:01.720 --> 21:02.360]  I think that's gone.
[21:02.800 --> 21:03.060]  Oh.
[21:03.440 --> 21:05.340]  I think that's a Mickey and Minnie ride now.
[21:05.800 --> 21:06.060]  Really?
[21:06.920 --> 21:08.640]  Yeah, they had to redo Toontown,
[21:08.720 --> 21:09.540]  the thing nobody went to.
[21:09.820 --> 21:10.380]  Oh, yeah.
[21:10.600 --> 21:11.720]  I remember when that opened up.
[21:11.860 --> 21:12.320]  Me too.
[21:12.560 --> 21:13.800]  It was very exciting
[21:13.800 --> 21:14.860]  because I was a child.
[21:14.860 --> 21:15.300]  Yeah.
[21:15.580 --> 21:17.400]  Alright, last mail we got.
[21:17.500 --> 21:18.200]  Let's see what we got here.
[21:18.320 --> 21:19.860]  We got gargoyles,
[21:21.000 --> 21:21.360]  rugrats,
[21:22.680 --> 21:23.660]  and Backstreet Boys.
[21:23.780 --> 21:24.280]  Here's what we're gonna do.
[21:24.320 --> 21:25.320]  We're gonna open the Backstreet Boys.
[21:25.400 --> 21:26.320]  We'll put these in the packs.
[21:26.700 --> 21:27.920]  Gotta feed the packsack.
[21:28.080 --> 21:29.420]  Emily, are you Backstreet Boys
[21:29.420 --> 21:29.980]  or NSYNC?
[21:30.120 --> 21:30.480]  NSYNC.
[21:30.640 --> 21:32.640]  Did you dislike Backstreet Boys?
[21:33.040 --> 21:33.980]  No, but you always just have
[21:33.980 --> 21:34.540]  like a hierarchy.
[21:34.740 --> 21:35.600]  There was a rivalry.
[21:36.240 --> 21:37.260]  When you talk...
[21:37.260 --> 21:37.860]  It was a Britney-Christina
[21:37.860 --> 21:38.580]  kind of situation.
[21:38.860 --> 21:39.560]  When you talk about
[21:39.560 --> 21:40.780]  Backstreet Boys and NSYNC,
[21:40.940 --> 21:42.160]  is New Kids on the Block
[21:42.160 --> 21:43.340]  a part of the conversation
[21:43.340 --> 21:43.720]  or is that
[21:43.720 --> 21:44.640]  a previous generation?
[21:44.900 --> 21:44.940]  Previous.
[21:45.100 --> 21:46.780]  That was ten years before them.
[21:46.780 --> 21:47.580]  That was my generation.
[21:47.600 --> 21:48.760]  And then like Jonas Brothers
[21:48.760 --> 21:49.720]  was after them.
[21:50.060 --> 21:51.560]  Like they were within like
[21:52.200 --> 21:52.560]  the...
[21:52.560 --> 21:53.320]  a lot of bands
[21:53.320 --> 21:54.100]  that came out of Orlando.
[21:54.380 --> 21:54.600]  Yeah.
[21:55.160 --> 21:55.940]  Oh, yeah.
[21:56.020 --> 21:57.040]  They were all Mickey Mouse kids.
[21:58.020 --> 21:58.900]  Were you like
[21:58.900 --> 22:00.080]  big hanging tough guy or what?
[22:00.160 --> 22:00.800]  No, I hated
[22:00.800 --> 22:01.480]  New Kids on the Block.
[22:01.640 --> 22:02.020]  I just...
[22:02.700 --> 22:03.620]  I couldn't stand them.
[22:03.720 --> 22:04.300]  Yeah, I just...
[22:04.300 --> 22:05.000]  I always kind of...
[22:05.000 --> 22:05.900]  They're all the same thing to me.
[22:06.280 --> 22:07.360]  I was about four,
[22:07.540 --> 22:09.200]  so it just sounded good
[22:09.200 --> 22:10.220]  to my four-year-old ears.
[22:10.400 --> 22:10.740]  You know what I mean?
[22:10.740 --> 22:11.160]  Of course, of course.
[22:11.160 --> 22:12.320]  It's like not good music,
[22:12.320 --> 22:13.160]  but it was, you know,
[22:13.160 --> 22:13.840]  very much like
[22:13.840 --> 22:14.160]  you're four,
[22:14.280 --> 22:14.960]  you'll listen to this.
[22:15.180 --> 22:16.180]  It's designed to sound
[22:16.180 --> 22:16.800]  good to four-year-olds.
[22:16.900 --> 22:17.000]  Yeah.
[22:17.560 --> 22:18.120]  There we go.
[22:18.160 --> 22:18.880]  There's that dude.
[22:19.060 --> 22:19.360]  AJ?
[22:19.620 --> 22:19.980]  AJ.
[22:20.200 --> 22:21.660]  I think he's sucking on that mic.
[22:21.800 --> 22:21.960]  Yeah.
[22:23.620 --> 22:24.340]  Well, that's...
[22:24.340 --> 22:25.140]  What happened there?
[22:25.220 --> 22:25.520]  Oh.
[22:26.540 --> 22:26.900]  That's...
[22:26.900 --> 22:27.680]  What the fuck?
[22:27.680 --> 22:28.280]  Leave it, leave it, leave it.
[22:28.380 --> 22:28.580]  What the fuck?
[22:28.580 --> 22:29.380]  Is this supposed to be like that?
[22:29.940 --> 22:31.140]  It came like that.
[22:32.000 --> 22:32.880]  The Backstreet Boys
[22:32.880 --> 22:33.560]  have been censored.
[22:34.040 --> 22:34.820]  That's gotta be...
[22:34.820 --> 22:36.040]  That's a one of one.
[22:36.600 --> 22:37.260]  That's pretty cool.
[22:37.920 --> 22:39.320]  and then I guess maybe...
[22:39.320 --> 22:40.320]  No one will ever know.
[22:40.520 --> 22:41.360]  No one will ever know.
[22:41.480 --> 22:42.120]  It's pretty cool.
[22:43.240 --> 22:44.700]  One of the guys...
[22:44.700 --> 22:44.900]  Yeah.
[22:45.500 --> 22:46.140]  Oh shit.
[22:46.520 --> 22:47.320]  What about this one?
[22:47.520 --> 22:48.120]  That's AJ also.
[22:48.280 --> 22:49.260]  We've gotten three AJ cards,
[22:49.340 --> 22:49.560]  I think.
[22:50.100 --> 22:51.500]  These photos are real shit.
[22:51.780 --> 22:52.480]  Dude, I gotta grow
[22:52.480 --> 22:53.540]  facial hair like that.
[22:53.680 --> 22:53.860]  Yeah.
[22:54.320 --> 22:54.640]  That's...
[22:54.640 --> 22:55.620]  If I could grow facial hair,
[22:55.700 --> 22:56.160]  that's what I would...
[22:56.160 --> 22:57.260]  I think I'd really mix it up
[22:57.260 --> 22:57.920]  to the point where I'd be
[22:57.920 --> 22:58.780]  doing stuff like this.
[22:58.880 --> 22:59.900]  I think you could fill it in.
[22:59.980 --> 23:00.500]  Who's this one?
[23:00.540 --> 23:01.060]  Because he looks like
[23:01.060 --> 23:01.880]  he's at Thunderdome.
[23:01.940 --> 23:02.460]  His name is Kevin.
[23:02.880 --> 23:03.180]  Kevin.
[23:04.380 --> 23:05.540]  And then is that...
[23:05.880 --> 23:06.520]  Kevin again?
[23:06.520 --> 23:07.060]  That's also Kevin.
[23:07.420 --> 23:08.360]  Still in the Thunderdome.
[23:08.480 --> 23:08.560]  Yeah.
[23:08.780 --> 23:09.380]  Still in Thunderdome.
[23:10.240 --> 23:11.540]  Do you guys remember
[23:11.540 --> 23:12.960]  the World Music Awards
[23:12.960 --> 23:13.560]  in Monaco?
[23:14.660 --> 23:15.980]  One of the guys isn't there.
[23:16.160 --> 23:16.520]  Brian?
[23:16.640 --> 23:17.280]  Brian is not there.
[23:17.280 --> 23:18.280]  He's in this one, I bet.
[23:18.440 --> 23:18.840]  Yes, he is.
[23:18.860 --> 23:19.460]  The Los Angeles
[23:19.460 --> 23:20.480]  Billboard Music Awards.
[23:20.500 --> 23:21.840]  There was some rumors
[23:21.840 --> 23:23.520]  of him being very proud.
[23:24.900 --> 23:25.100]  Really?
[23:25.100 --> 23:26.700]  Or at least a fan or friends
[23:26.700 --> 23:28.600]  with some very proud people.
[23:28.600 --> 23:29.600]  Oh, I see what you're saying.
[23:30.820 --> 23:31.260]  That's pretty cool.
[23:31.300 --> 23:32.560]  Is he going to jail for 33 years?
[23:32.620 --> 23:33.240]  That's awesome.
[23:33.380 --> 23:33.780]  I don't know.
[23:34.000 --> 23:34.680]  Is that like what that
[23:35.800 --> 23:37.720]  member of Hansen was liking
[23:37.720 --> 23:38.540]  the wrong stuff on
[23:39.940 --> 23:40.880]  Pinterest of all things?
[23:40.880 --> 23:41.680]  Yeah, it was Pinterest.
[23:41.900 --> 23:42.480]  He got pouted.
[23:43.980 --> 23:45.520]  MTV Music Awards
[23:45.520 --> 23:46.480]  in Rotterdam.
[23:46.660 --> 23:47.360]  That's Europe.
[23:47.500 --> 23:48.200]  It doesn't even count.
[23:48.580 --> 23:49.720]  Here's the blonde one
[23:49.720 --> 23:50.680]  singing a song.
[23:50.820 --> 23:51.500]  That's Nick Carter.
[23:51.900 --> 23:52.360]  Nick Carter.
[23:52.580 --> 23:54.180]  And then here's...
[23:54.180 --> 23:54.940]  This is cool.
[23:55.020 --> 23:55.740]  This is a foil.
[23:56.560 --> 23:57.520]  Larger Than Life,
[23:57.600 --> 23:58.280]  number one song.
[23:58.380 --> 23:59.340]  Yeah, man, that's cool.
[23:59.480 --> 24:00.380]  Yeah, look at that.
[24:04.480 --> 24:05.340]  Is that the song?
[24:05.540 --> 24:05.700]  Yeah.
[24:06.020 --> 24:06.380]  I don't know.
[24:06.440 --> 24:07.000]  And then they all start
[24:07.000 --> 24:07.740]  going like, yeah!
[24:08.840 --> 24:09.640]  I watched TRL
[24:09.640 --> 24:10.420]  and then I called in.
[24:10.460 --> 24:11.060]  I said, I want to vote
[24:11.060 --> 24:11.820]  for Papa Roach.
[24:12.420 --> 24:13.060]  You were down
[24:13.060 --> 24:13.580]  in Times Square?
[24:13.700 --> 24:14.380]  Papa Roach!
[24:15.860 --> 24:16.500]  Papa Roach!
[24:17.980 --> 24:18.880]  All right, we're going to
[24:18.880 --> 24:19.420]  open up some of those
[24:19.420 --> 24:20.300]  recon we didn't finish
[24:20.300 --> 24:20.640]  last time.
[24:20.640 --> 24:20.840]  Yeah.
[24:21.240 --> 24:21.640]  All right, we're good.
[24:22.660 --> 24:23.300]  Uzman Dang,
[24:23.660 --> 24:24.740]  rookie, Future Legends.
[24:24.860 --> 24:25.300]  That's probably worth
[24:25.300 --> 24:25.860]  three or four bucks.
[24:25.940 --> 24:26.680]  We'll throw that in the
[24:26.680 --> 24:27.740]  pile like last week.
[24:28.480 --> 24:29.120]  Kendall Brown,
[24:29.120 --> 24:29.960]  bass rookie.
[24:30.180 --> 24:30.340]  Okay.
[24:31.800 --> 24:32.560]  DeMar DeRozan.
[24:33.260 --> 24:34.140]  He's going to slowly
[24:34.140 --> 24:34.700]  fade out.
[24:34.780 --> 24:34.900]  Yeah.
[24:35.500 --> 24:35.880]  Why?
[24:37.040 --> 24:38.380]  Because he doesn't...
[24:38.380 --> 24:38.920]  He's not performing?
[24:39.480 --> 24:41.020]  He's really, really good,
[24:41.080 --> 24:42.160]  but it's hard to slot a
[24:42.160 --> 24:42.980]  player like him into
[24:42.980 --> 24:43.600]  certain teams.
[24:43.660 --> 24:45.160]  And he's not good enough
[24:45.160 --> 24:45.960]  to be the number one
[24:45.960 --> 24:46.940]  option on a team.
[24:47.180 --> 24:49.540]  And so he costs a lot of
[24:49.540 --> 24:50.380]  money because of how
[24:50.380 --> 24:51.160]  good he is, but he's not
[24:51.160 --> 24:52.160]  the right kind of good
[24:52.160 --> 24:53.040]  if that makes sense to
[24:53.040 --> 24:54.100]  build a championship
[24:54.100 --> 24:54.780]  team around.
[24:54.840 --> 24:55.140]  I'm not talking about
[24:55.140 --> 24:55.720]  building a championship
[24:55.720 --> 24:56.080]  team.
[24:56.140 --> 24:56.720]  Have you seen what the
[24:56.720 --> 24:57.980]  fucking Warriors are doing?
[24:57.980 --> 24:58.260]  Yeah.
[24:58.700 --> 24:59.740]  Warriors aren't the
[24:59.740 --> 25:00.200]  Lakers, man.
[25:00.420 --> 25:02.800]  They are small and not
[25:02.800 --> 25:04.160]  defensively strong, so
[25:04.160 --> 25:04.860]  they're going to score
[25:04.860 --> 25:06.740]  180 points every game.
[25:06.900 --> 25:07.740]  They are determined.
[25:07.740 --> 25:07.920]  That's their goal.
[25:08.120 --> 25:09.600]  They are determined to
[25:09.600 --> 25:11.120]  shoot from three every
