[00:10.280 --> 00:11.010]  Geoff, go!
[17:04.130 --> 17:05.050]  We should see him eat it.
[17:05.230 --> 17:06.410]  It's jeans, baby.
[17:06.850 --> 17:09.090]  Oh, there's the manager of Sloppy Joe's making his rounds.
[17:09.090 --> 17:09.230]  Is that him?
[17:09.750 --> 17:10.110]  That's Joe.
[17:11.530 --> 17:12.250]  That's Slop.
[17:13.770 --> 17:15.710]  He's got his Bluetooth in.
[17:16.390 --> 17:17.110]  Slopovich Joe.
[17:17.870 --> 17:18.570]  Slopovich Joe.
[17:22.200 --> 17:22.960]  Oh, man.
[17:23.040 --> 17:23.860]  Is that Beach Goth?
[17:24.820 --> 17:25.440]  No, no.
[17:25.660 --> 17:26.340]  That's a normal...
[17:26.340 --> 17:26.840]  No, I'm sorry.
[17:26.900 --> 17:27.940]  That's just a normal person.
[17:28.000 --> 17:30.040]  Oh, they both have nighttime shades just on the hat.
[17:30.280 --> 17:31.180]  Yeah, nighttime...
[17:31.180 --> 17:32.820]  Dude, that nighttime shades guy was huge.
[17:33.120 --> 17:33.880]  That was huge.
[17:36.540 --> 17:38.440]  I want to see somebody get in the wrong car.
[17:38.800 --> 17:41.540]  Again, if somebody throws up right now, I got free cake.
[17:42.740 --> 17:43.900]  I just want a cake.
[17:44.500 --> 17:46.000]  It's a little early for puke.
[17:46.000 --> 17:46.880]  This is what I...
[17:46.880 --> 17:49.660]  What I learned about Nick is that he just wants free food.
[17:49.660 --> 17:51.100]  He doesn't really care what it is.
[17:51.240 --> 17:51.600]  Yeah.
[17:51.860 --> 17:52.620]  Yeah, that's true.
[17:54.380 --> 17:56.640]  Oh, is this matching outfits crossing the street in the back there?
[17:57.100 --> 17:58.040]  No, I think...
[17:58.040 --> 17:59.280]  I think they just happen to be...
[17:59.280 --> 17:59.360]  No.
[17:59.380 --> 18:00.120]  No, they're tops.
[18:00.260 --> 18:01.160]  No, no, no, they're tops.
[18:01.280 --> 18:02.100]  The tops are different.
[18:02.240 --> 18:03.320]  The other doesn't, yeah.
[18:03.840 --> 18:04.520]  It's close.
[18:08.070 --> 18:09.270]  Oh, that guy's fucking...
[18:09.850 --> 18:10.210]  Well...
[18:10.610 --> 18:12.170]  He's got the drunk backup.
[18:12.650 --> 18:16.250]  Geoff, I will say, it hit slop o'clock and the people started flooding in the street.
[18:16.650 --> 18:17.290]  Yeah, man.
[18:17.290 --> 18:18.610]  It gets wild real fast.
[18:20.570 --> 18:22.010]  Oh, careful of the cup, dude.
[18:22.170 --> 18:22.930]  Oh, he's down.
[18:23.230 --> 18:23.950]  Fall next time.
[18:24.170 --> 18:25.230]  Hey, his buddy's helping him.
[18:25.410 --> 18:25.930]  He gotcha.
[18:26.590 --> 18:27.870]  Yeah, please trip next time, though.
[18:28.790 --> 18:29.390]  Oh, is that...
[18:29.390 --> 18:30.450]  That was almost a coward.
[18:30.770 --> 18:32.070]  It was almost a coward.
[18:32.330 --> 18:33.150]  That was so close.
[18:33.210 --> 18:33.750]  I was watching it.
[18:34.110 --> 18:35.950]  Oh, there's that cool-looking luxury car.
[18:38.110 --> 18:40.570]  Do you remember when that lady stormed off from that guy?
[18:40.650 --> 18:41.910]  Do you think that counts as a couple fight?
[18:42.150 --> 18:42.590]  Yeah, I do.
[18:43.110 --> 18:43.290]  Okay.
[18:44.410 --> 18:45.990]  I mean, it doesn't really...
[18:45.990 --> 18:47.850]  If you storm away from somebody...
[18:48.750 --> 18:49.110]  Dancing.
[18:50.570 --> 18:51.290]  Oh, yes.
[18:51.570 --> 18:51.930]  Awesome.
[18:53.670 --> 18:54.630]  He's so gone.
[18:54.810 --> 18:56.550]  Whoa, he just threw that in the sewer.
[18:56.670 --> 18:57.350]  What is that?
[18:57.750 --> 18:59.510]  That guy just littered.
[18:59.630 --> 19:00.910]  No, he just threw his drink.
[19:00.990 --> 19:03.310]  He threw the cup away, but he just tossed the rest of his drink.
[19:03.450 --> 19:03.650]  He littered ice.
[19:03.650 --> 19:04.230]  He did litter ice.
[19:04.790 --> 19:05.950]  Now this car's gonna slip.
[19:06.010 --> 19:06.670]  Oh, no, be careful.
[19:06.750 --> 19:07.570]  Oh, no, look out.
[19:09.250 --> 19:10.330]  It's like a banana peel.
[19:13.270 --> 19:13.830]  Oh, he's had to...
[19:13.830 --> 19:14.570]  What's in the bag?
[19:14.870 --> 19:16.310]  You want it so bad, Gavin.
[19:16.310 --> 19:17.850]  I just want double fisting.
[19:18.050 --> 19:18.490]  I hear that.
[19:18.590 --> 19:19.010]  That guy's going fishing.
[19:19.570 --> 19:21.390]  I need jeans and sandals.
[19:21.870 --> 19:24.670]  The other night, a couple of dudes got in front of the camera,
[19:24.810 --> 19:26.170]  and they each drank a six-pack,
[19:26.350 --> 19:28.690]  and every time they downed a can of beer,
[19:28.930 --> 19:29.870]  they would hump it.
[19:30.090 --> 19:30.870]  It was pretty wild.
[19:31.350 --> 19:31.970]  That's awesome.
[19:32.510 --> 19:34.030]  They were double fisting the whole time.
[19:34.370 --> 19:36.650]  How have we not seen the ghost tour bus?
[19:36.690 --> 19:38.410]  We saw it before we, like, started,
[19:38.830 --> 19:39.810]  and it's not here.
[19:39.990 --> 19:41.070]  I know, but come on.
[19:41.230 --> 19:42.910]  Maybe that one's for a haunted Marriott.
[19:44.270 --> 19:46.930]  Is there a cover band playing tonight?
[19:47.130 --> 19:48.630]  I can't hear any music.
[19:49.570 --> 19:50.370]  I'm keeping...
[19:50.370 --> 19:52.290]  I don't know that a band is playing right now.
[19:52.310 --> 19:52.570]  Okay.
[19:52.690 --> 19:53.330]  I don't think there is.
[19:53.990 --> 19:54.590]  Fuck, yeah.
[19:54.670 --> 19:55.930]  I think I'm just fucked for that line.
[19:55.970 --> 19:56.390]  Oh, what?
[19:57.250 --> 19:58.010]  Look at that bike.
[19:58.210 --> 19:59.130]  Oh, she got pizza, though.
[20:01.850 --> 20:02.650]  I'm so...
[20:02.650 --> 20:04.590]  Dude, I'm looking at legs.
[20:04.970 --> 20:06.710]  Give me some sandals and jeans.
[20:06.710 --> 20:07.430]  I know, dude.
[20:07.630 --> 20:08.330]  Like, come on.
[20:09.290 --> 20:10.070]  Get real.
[20:10.510 --> 20:12.150]  Did that woman have jeans and sandals?
[20:13.390 --> 20:14.090]  Dude, if I...
[20:14.890 --> 20:17.070]  She's in the white in the upper right-hand corner,
[20:17.230 --> 20:18.550]  walking towards the Chili Dog stand.
[20:19.630 --> 20:20.590]  She's out of range.
[20:21.870 --> 20:23.130]  She'll be back for the Chili Dog.
[20:23.230 --> 20:24.170]  She's out of range.
[20:24.690 --> 20:25.750]  I've been playing too many games.
[20:28.590 --> 20:29.570]  This is so much fun.
[20:29.570 --> 20:31.030]  I'm so glad we're getting to play this again.
[20:31.290 --> 20:31.670]  Oh, me too.
[20:31.890 --> 20:33.130]  When we played it the first time,
[20:33.190 --> 20:34.470]  it was, like, the most fun I'd ever had.
[20:35.710 --> 20:37.830]  We should talk about RTXs coming up,
[20:37.850 --> 20:38.770]  and we're gonna have the...
[20:38.770 --> 20:39.650]  Nick, get ready for the bleep.
[20:39.730 --> 20:39.870]  Ready?
[20:41.230 --> 20:43.070]  Three, two, one.
[20:44.470 --> 20:44.690]  Bleep.
[20:45.010 --> 20:45.410]  Museum.
[20:45.990 --> 20:46.790]  That's good.
[20:47.090 --> 20:47.630]  That was great.
[20:48.170 --> 20:48.490]  Thank you.
[20:48.790 --> 20:50.730]  And we're gonna have so many different things there.
[20:50.790 --> 20:51.950]  You guys have to come to RTX.
[20:52.170 --> 20:53.890]  I think you can save, like, 10% or something.
[20:53.890 --> 20:54.610]  Is that matching outfits?
[20:54.930 --> 20:56.150]  Oh, they're hard-hugging.
[20:56.450 --> 20:57.510]  That is not matching outfits.
[20:57.950 --> 20:59.750]  No, their tops are totally different.
[21:00.030 --> 21:00.190]  Yeah.
[21:00.470 --> 21:02.670]  Use code SNOOZERLOOZE and you save, like, 10%, I think.
[21:02.730 --> 21:04.430]  Or you get an extra badge or something.
[21:04.790 --> 21:05.670]  That dude's got cargo shorts.
[21:07.890 --> 21:08.570]  Great, Nick.
[21:08.570 --> 21:09.970]  You just excited about that?
[21:10.490 --> 21:12.350]  You don't see those in the wild too much anymore.
[21:12.650 --> 21:15.250]  I've gotten a note that Andrew's mic isn't loud enough.
[21:15.850 --> 21:17.590]  Andrew, get closer to your microphone.
[21:18.070 --> 21:19.270]  I'm on top of my mic.
[21:19.670 --> 21:20.150]  Oh, there you are.
[21:20.690 --> 21:21.810]  Yeah. Oh, now I hear you.
[21:21.810 --> 21:22.490]  Oh, now I hear you, too.
[21:24.010 --> 21:24.930]  Somebody dropped something.
[21:26.230 --> 21:27.010]  What was that?
[21:27.450 --> 21:28.890]  Sorry, he was too close to the microphone.
[21:29.210 --> 21:30.310]  I don't know what you want from me.
[21:30.450 --> 21:30.830]  Back away.
[21:32.590 --> 21:34.230]  Also, they may not hear the bleeps.
[21:35.010 --> 21:35.290]  Cool.
[21:35.730 --> 21:37.570]  Oh, that's funny for us, then.
[21:37.570 --> 21:38.210]  Yeah.
[21:39.690 --> 21:41.470]  I don't really care what the bleep's going on.
[21:41.470 --> 21:42.770]  I mean, honestly, as long as I like it.
[21:42.790 --> 21:43.490]  Oh, jeans.
[21:43.610 --> 21:44.510]  Oh, that guy just grabbed his crotch.
[21:44.650 --> 21:46.670]  That was a crotch grab.
[21:46.830 --> 21:47.670]  That was a crotch grab.
[21:47.970 --> 21:48.250]  That guy.
[21:48.710 --> 21:50.210]  Oh, I'm trying to get...
[21:50.210 --> 21:51.030]  Oh, my jeans and sandals.
[21:51.170 --> 21:52.370]  I got it. That's jeans and sandals.
[21:52.490 --> 21:52.950]  Okay, hang on.
[21:53.830 --> 21:55.450]  I just need a cop car and ambulance.
[21:55.610 --> 21:57.210]  Jeans and flip flops. Where's the crotch grab?
[21:57.650 --> 21:58.470]  Oh, my God.
[21:58.750 --> 21:59.810]  Did we get jeans and sandals?
[22:00.110 --> 22:01.210]  Yeah, I got jeans and sandals.
[22:01.310 --> 22:03.190]  Oh, my God, I'm so close to a fucking bingo.
[22:03.610 --> 22:05.690]  I am, too. I need camera shy and cop car.
[22:05.690 --> 22:07.970]  Give me a coward for a cake.
[22:08.170 --> 22:09.130]  I just need cop car.
[22:10.190 --> 22:10.990]  Give me...
[22:10.990 --> 22:12.110]  Cops are all over the place.
[22:12.330 --> 22:13.010]  Give me camera shy.
[22:13.410 --> 22:15.070]  Give me trying to get in the wrong car.
[22:16.990 --> 22:19.190]  I'm so glad we got jeans and flip flops.
[22:19.350 --> 22:19.890]  I am, too.
[22:20.030 --> 22:20.550]  I was going to lose my fucking mind.
[22:21.330 --> 22:22.830]  You don't have to look at legs anymore.
[22:22.990 --> 22:23.850]  Yeah, you can look up now.
[22:24.370 --> 22:25.930]  I can look at the rest of the bodies.
[22:28.130 --> 22:28.870]  Drop something!
[22:30.670 --> 22:31.310]  What do you mean?
[22:31.510 --> 22:32.970]  How did you not...
[22:32.970 --> 22:34.270]  The ice cubes.
[22:34.270 --> 22:35.890]  Yeah, but that was a throw.
[22:36.050 --> 22:36.570]  That was a throw.
[22:36.710 --> 22:37.010]  That was a drop.
[22:37.210 --> 22:37.970]  That's a good point.
[22:38.950 --> 22:39.190]  That's a good point.
[22:39.210 --> 22:40.690]  Oh, chest! Drop one! Drop one!
[22:44.150 --> 22:45.350]  Fall on the street. Fall on the street.
[22:45.510 --> 22:48.190]  There's... Now we're getting jeans and flip flops all we want.
[22:48.570 --> 22:49.050]  Left and right.
[22:49.470 --> 22:51.250]  That's an embarrassment of jeans and flip flops.
[22:52.150 --> 22:53.650]  Meanwhile, where's the go-kart?
[22:53.750 --> 22:54.990]  Where's the guy-on-guy scooter?
[22:56.570 --> 22:57.130]  I'll match...
[22:57.850 --> 22:58.970]  Somebody take a selfie.
[22:59.030 --> 23:00.550]  Jeans and flip flops again.
[23:00.630 --> 23:01.810]  I'm pissed. Shut up.
[23:02.170 --> 23:03.530]  Someone hide from the camera.
[23:08.980 --> 23:12.000]  This is... Man. It's sloppy. Joe's Bingo rules.
[23:12.600 --> 23:13.960]  It's great on a Friday night.
[23:14.160 --> 23:15.180]  Oh, this is awesome.
[23:15.200 --> 23:17.620]  Oh, notice the camera and then look away, you shy fucker.
[23:17.740 --> 23:17.880]  No.
[23:17.940 --> 23:18.520]  You wish.
[23:19.160 --> 23:20.140]  Please! Please!
[23:20.520 --> 23:20.560]  No!
[23:20.560 --> 23:23.380]  I did it! I got a bingo!
[23:24.280 --> 23:25.240]  So, who got a bingo?
[23:25.580 --> 23:26.000]  I did.
[23:26.120 --> 23:26.720]  Nick got it.
[23:26.840 --> 23:27.560]  Nick got a bingo!
[23:28.260 --> 23:30.840]  Okay, Nick. What did you get on your bingo?
[23:31.180 --> 23:32.960]  Okay, I got jeans and flip flops.
[23:33.200 --> 23:33.640]  Cop car.
[23:34.140 --> 23:34.340]  Okay.
[23:34.500 --> 23:35.920]  Drop spilled food drink.
[23:36.580 --> 23:38.780]  This one, I don't know. I thought we called... What?
[23:39.740 --> 23:41.780]  Is that a drop? I thought we said that was a throw.
[23:41.880 --> 23:43.060]  No, that was a different one.
[23:43.220 --> 23:45.780]  There was a guy who spilled his drink on his friend.
[23:46.180 --> 23:47.400]  Yeah, all over his friend's shoulder.
[23:47.720 --> 23:48.880]  That was the last one, Nick.
[23:49.180 --> 23:52.440]  I clicked this one, but I'm realizing now this may not be it.
[23:52.520 --> 23:53.600]  Litter bug, did we call that one?
[23:54.420 --> 23:55.000]  No, that was...
[23:55.000 --> 23:57.860]  I was making a joke about the guy throwing ice.
[23:58.020 --> 23:59.540]  Whoa! Premature bingo!
[24:00.180 --> 24:00.900]  Premature bingo.
[24:01.000 --> 24:03.340]  Well, guess what? All I need is a selfie.
[24:04.040 --> 24:05.120]  All I need is camera shy.
[24:05.120 --> 24:06.240]  God damn it.
[24:06.320 --> 24:07.200]  That's the opposite.
[24:07.580 --> 24:08.340]  I stopped looking at the crosswalk.
[24:08.540 --> 24:09.020]  I thought we were done.
[24:09.020 --> 24:09.760]  Trying to get a little car.
[24:10.060 --> 24:10.380]  Damn.
[24:16.320 --> 24:16.840]  Oh, look.
[24:17.100 --> 24:19.340]  She acknowledged, well, we don't need it, I guess.
[24:19.900 --> 24:20.660]  There's a dumb hat.
[24:21.020 --> 24:22.540]  Oh, giant drink!
[24:24.280 --> 24:25.900]  Now I got to add giant drink to the list.
[24:27.080 --> 24:29.160]  I feel like, oh, you guys have cupcakes now or something.
[24:34.600 --> 24:35.240]  Come on.
[24:35.360 --> 24:38.020]  How disappointed are you going to be, Nick, if you don't end up winning?
[24:38.020 --> 24:41.960]  Yeah, when I get a selfie, dude, when I see somebody take a selfie, oh, you're so fucked.
[24:42.220 --> 24:44.500]  Somebody tries to get in the wrong car, you're fucked.
[24:44.760 --> 24:47.140]  I'm going to eat my whole cookie puss in front of you, bro.
[24:47.960 --> 24:48.320]  Oof.
[24:49.700 --> 24:50.580]  No, I want some.
[24:50.580 --> 24:51.180]  What is sentence?
[24:53.200 --> 24:54.240]  Give him one of the arms.
[24:56.440 --> 24:58.420]  I'll eat a finger.
[24:59.840 --> 25:01.680]  A little red jelly hand.
[25:03.160 --> 25:05.340]  It's not a lot of people dropping anything.
[25:05.860 --> 25:06.520]  Yeah, drop something.
[25:07.560 --> 25:08.780]  Drop your phone, guy.
[25:08.940 --> 25:10.240]  He dropped out of frame all of a sudden.
[25:12.320 --> 25:13.460]  Whoa, those are short shorts.
[25:13.480 --> 25:15.320]  Yeah, if the stream drops, does that count?
[25:15.780 --> 25:16.160]  No.
[25:16.840 --> 25:17.320]  No.
[25:17.920 --> 25:21.180]  If a person trips and falls to the ground, did they drop themselves?
[25:21.460 --> 25:24.260]  No, because that's a trip, which is a different thing.
[25:26.920 --> 25:27.400]  Okay.
[25:28.520 --> 25:29.320]  That guy's pretty tall.
[25:32.600 --> 25:40.900]  The thing that I said about this when we were done with it the first time is that what I really enjoy about this is that it's people watching with no consequence.
[25:42.940 --> 25:48.180]  Like, this is being on the street without ever having to fucking step foot on this street.
[25:48.340 --> 25:49.940]  Yeah, I don't have to smell any of this.
[25:51.460 --> 25:54.360]  And you don't have to lean over and nudge someone else to look.
[25:54.360 --> 26:06.240]  It's like the other day, Gus and Eric and I went down to Dirty 6, which is like the bar scene street in Austin, to get lunch and film an episode of a podcast.
[26:06.960 --> 26:09.880]  It's called Anma. You can plug it. It's your other show.
[26:10.300 --> 26:10.760]  Oh, yeah.
[26:11.060 --> 26:12.900]  While you're being fucking cagey about it.
[26:13.060 --> 26:21.020]  We went to Casino El Camino to record an episode and I forgot just how piss-smelly that street is.
[26:21.100 --> 26:21.540]  Oh, yeah.
[26:22.560 --> 26:25.180]  Just smells like stale everything and urine.
[26:25.620 --> 26:27.700]  Drop your card. Drop your ID.
[26:28.100 --> 26:28.540]  Go on.
[26:29.160 --> 26:30.580]  Just throw something. Do anything.
[26:30.780 --> 26:31.260]  Butterfingers.
[26:33.880 --> 26:34.360]  Butterwallet.
[26:34.420 --> 26:36.640]  It gets real hard when you're down to the last few.
[26:36.980 --> 26:38.260]  That guy's hoofing it. That counts.
[26:38.440 --> 26:39.020]  That's hoofing it.
[26:39.180 --> 26:40.540]  I like it. I like it.
[26:41.880 --> 26:42.360]  Okay.
[26:44.380 --> 26:46.160]  Where's the goddamn go-kart?
[26:46.300 --> 26:48.360]  The lack of matching outfits tonight.
[26:48.960 --> 26:49.360]  I know.
[26:49.360 --> 26:50.460]  I know.
[26:50.680 --> 26:56.500]  Usually, you get a couple of like a bunch of Guy Fieri's or Hulk Hogan's or some dumb costume at least.
[26:57.100 --> 26:58.360]  I haven't seen any pink taxis either.
[26:58.640 --> 26:58.820]  No.
[26:59.700 --> 27:01.840]  Also, ghost tour bus? Dude, where are you?
[27:02.040 --> 27:04.420]  Yeah, or the cute train, street train.
[27:05.100 --> 27:05.680]  Ghost guy.
[27:05.700 --> 27:07.080]  I don't think I've ever seen that.
[27:07.800 --> 27:10.300]  It's earlier in the day usually, the street train.
[27:11.960 --> 27:12.740]  Coward? Coward?
[27:13.240 --> 27:13.640]  Coward?
[27:13.840 --> 27:14.860]  He's trying to get a ride.
[27:15.620 --> 27:16.060]  John Cena.
[27:21.360 --> 27:23.420]  As everybody's Friday, they may have a good time.
[27:23.620 --> 27:24.020]  Oh!
[27:26.020 --> 27:26.820]  Good Lord.
[27:27.200 --> 27:27.720]  Well, that was count.
[27:27.720 --> 27:28.320]  This is insane.
[27:28.500 --> 27:30.480]  Is that a Meemaw on a tricycle?
[27:32.380 --> 27:34.180]  Can a Meemaw be on a tricycle?
[27:34.360 --> 27:36.280]  Well, that's a golden sitch situation, you know?
[27:36.780 --> 27:37.240]  That's a, yeah.
[27:38.600 --> 27:39.760]  It's the golden Meemaw.
[27:39.820 --> 27:40.840]  Oh, he's double bagging.
[27:41.260 --> 27:42.100]  Drop the bags.
[27:42.800 --> 27:43.420]  Drop the bags.
[27:43.780 --> 27:45.120]  Dude, get friends.
[27:45.480 --> 27:47.020]  Go anywhere. Park the car.
[27:47.140 --> 27:49.220]  Dude, here's my fucking luxury car right there, bro.
[27:49.220 --> 27:52.360]  God damn. Up and down the street all night long.
[27:53.740 --> 27:54.380]  That's expensive.
[27:56.440 --> 27:57.800]  Any of these double fisted?
[27:58.240 --> 27:58.480]  No.
[27:58.640 --> 28:01.540]  I had a good Friday. There was a lot going on.
[28:01.620 --> 28:02.960]  This is such a great way to cap it, dude.
[28:03.260 --> 28:04.260]  This is like so fun.
[28:05.940 --> 28:08.300]  This will be up on the site within a week, too.
[28:08.460 --> 28:09.760]  So if you're like only watching part of this.
[28:10.080 --> 28:10.760]  Is that a cap?
[28:11.720 --> 28:12.040]  Nope.
[28:12.240 --> 28:13.280]  Oh, God damn it.
[28:13.340 --> 28:14.500]  That could have been a coward situation.
[28:14.980 --> 28:15.960]  It could have been. It was real close.
[28:16.000 --> 28:16.880]  Is that what you need, Andrew?
[28:17.280 --> 28:18.240]  That's all I need.
[28:18.240 --> 28:18.960]  Those wedges.
[28:20.140 --> 28:21.540]  Yeah, so everybody needs...
[28:21.540 --> 28:22.120]  What are the...
[28:22.120 --> 28:26.020]  Like, I need either trying to get into the wrong car or camera shy.
[28:26.300 --> 28:29.060]  Nick, you need litterbug, right?
[28:29.220 --> 28:29.580]  Yeah.
[28:29.840 --> 28:33.440]  I need to either drop something or almost get hit by a car.
[28:36.680 --> 28:40.640]  I'm so mad that there's two security guys in frame with different security shirts on.
[28:40.740 --> 28:40.920]  Yep.
[28:43.120 --> 28:45.460]  Yeah, only pink is Sloppy Joe's.
[28:45.500 --> 28:47.580]  They color coordinate all the different restaurants.
[28:47.580 --> 28:48.320]  Get in the frame.
[28:49.120 --> 28:50.740]  Get in the frame, other security guy.
[28:50.940 --> 28:54.500]  Oh, you're not going to count two security guards as matching outfits?
[28:54.500 --> 28:55.720]  You can't tell me that's not a matching outfit?
[28:55.760 --> 28:56.880]  No, that doesn't count.
[28:56.980 --> 28:58.220]  How does that not count?
[28:58.280 --> 28:59.120]  Hey, did you see the...
[28:59.120 --> 28:59.320]  It's the same outfit.
[28:59.660 --> 29:00.660]  Did you see the one-wheels, Gavin?
[29:00.880 --> 29:03.240]  Yeah, the two one-wheels almost hit each other.
[29:03.860 --> 29:04.740]  Two loser boats.
[29:09.040 --> 29:10.980]  I gotta say, everybody's...
[29:10.980 --> 29:11.800]  Well, no, never mind.
[29:11.880 --> 29:13.280]  That old dude's looking a little wobbly.
[29:13.660 --> 29:16.080]  That's how everybody's holding their alcohol pretty well tonight, but...
[29:16.080 --> 29:17.180]  I think that might just be him.
[29:21.920 --> 29:22.280]  Somebody...
[29:22.280 --> 29:24.700]  We have not had a crosswalk coward, and that's crazy.
[29:24.960 --> 29:25.280]  Yeah.
[29:26.060 --> 29:28.500]  I was thinking maybe I should go through and explain some of the...
[29:28.500 --> 29:29.940]  Maybe the more confusing ones.
[29:30.320 --> 29:31.420]  Guy-on-guy scooter.
[29:31.640 --> 29:32.020]  Come on!
[29:32.100 --> 29:34.300]  As you'll see it, it's when two dudes are on a scooter...
[29:34.300 --> 29:35.060]  Get back! Get back to the crosswalk!
[29:35.160 --> 29:35.700]  ...and they don't want to touch each other.
[29:35.940 --> 29:36.260]  Come back!
[29:36.640 --> 29:37.520]  It's pretty common.
[29:37.620 --> 29:38.380]  What are you doing?
[29:38.580 --> 29:39.680]  He's confused about where to go.
[29:39.780 --> 29:40.220]  What do you mean?
[29:40.340 --> 29:41.320]  He's crossing, maybe?
[29:41.700 --> 29:42.160]  Ah, damn.
[29:42.880 --> 29:43.600]  Oh, man.
[29:44.160 --> 29:44.580]  Pick taxi!
[29:45.720 --> 29:46.280]  Pick taxi!
[29:46.440 --> 29:46.880]  There you go.
[29:47.480 --> 29:48.620]  I don't need it.
[29:48.700 --> 29:49.500]  There's a cowboy hat.
[29:49.760 --> 29:50.460]  Nobody needs that.
[29:51.240 --> 29:52.720]  He's also a dead parrot head.
[29:57.530 --> 30:01.770]  Guy riding smallest bike wearing headphones has to be the most dangerous thing you can be doing.
[30:03.370 --> 30:04.810]  Might as well be blindfolded.
[30:05.170 --> 30:07.890]  A lot of people ask, when you say go-kart, what do you mean?
[30:07.970 --> 30:09.750]  We mean an honest-to-God go-kart.
[30:09.890 --> 30:12.290]  It rips up and down the street all night long.
[30:13.210 --> 30:15.290]  I just need someone to toss a cigarette on the ground.
[30:15.430 --> 30:15.830]  Please.
[30:18.150 --> 30:18.830]  Oh, man.
[30:19.370 --> 30:23.810]  Emily and I were trying to figure out what the hardest one to get is yesterday.
[30:24.530 --> 30:26.510]  And I think it might be puking.
[30:27.090 --> 30:29.070]  Twerking doesn't happen nearly as much.
[30:29.410 --> 30:31.110]  Yeah, mullets are quite rare.
[30:31.310 --> 30:32.890]  Andrew would definitely say wheelchair.
[30:33.090 --> 30:34.070]  I don't think he's ever seen a wheelchair.
[30:36.290 --> 30:37.690]  Oh, that lady's taking a selfie.
[30:37.750 --> 30:38.590]  Oh, selfie, Dawson?
[30:38.910 --> 30:39.070]  Selfie!
[30:39.210 --> 30:40.030]  Hell yeah!
[30:40.430 --> 30:41.190]  I got selfie.
[30:41.630 --> 30:42.790]  That's a bingo, friends.
[30:43.250 --> 30:44.150]  Oh, damn it.
[30:44.250 --> 30:44.970]  God damn it.
[30:44.970 --> 30:45.250]  Damn.
[30:45.250 --> 30:46.650]  Are you serious?
[30:46.990 --> 30:51.410]  Ladies and gentlemen, I have one Sloppy Joe bingo once again.
[30:51.670 --> 30:52.130]  Cop car?
[30:52.450 --> 30:52.670]  That's a video, though.
[30:53.190 --> 30:54.090]  Cop car?
[30:54.550 --> 30:55.450]  Nah, that's a video.
[30:55.710 --> 30:55.990]  Crotch grab?
[30:56.470 --> 30:57.170]  Cowboy hat?
[30:57.530 --> 30:57.950]  Selfie.
[30:58.290 --> 30:59.150]  No, it's a video.
[30:59.290 --> 30:59.750]  It's not a selfie.
[30:59.990 --> 31:01.330]  She is filming herself.
[31:01.570 --> 31:02.450]  That's a definite video.
[31:02.830 --> 31:03.410]  No way!
[31:03.830 --> 31:04.450]  It's not a selfie.
[31:06.050 --> 31:07.750]  Oh, come on!
[31:07.990 --> 31:09.310]  Or she's talking to someone on the phone.
[31:10.050 --> 31:12.470]  Could somebody put that man in a wheelchair?
[31:13.170 --> 31:14.130]  Are you kidding me?
[31:16.290 --> 31:17.730]  Am I saying no bingo?
[31:18.470 --> 31:18.730]  No.
[31:19.210 --> 31:21.270]  Dude, I was all about giving it to you.
[31:21.270 --> 31:22.790]  Also, offensive shirt for sure.
[31:23.090 --> 31:24.490]  So, that's, I mean, just in case.
[31:24.750 --> 31:25.190]  What did it say?
[31:25.270 --> 31:25.790]  Dirt cock?
[31:26.090 --> 31:26.430]  What did it say?
[31:26.610 --> 31:27.450]  Great cock?
[31:28.450 --> 31:29.090]  Rusty cock?
[31:29.250 --> 31:29.810]  Dust cock?
[31:30.490 --> 31:31.050]  Easy cock?
[31:31.370 --> 31:32.530]  Then I'll say no selfie.
[31:32.870 --> 31:33.250]  Best cock?
[31:33.270 --> 31:34.010]  I mean, I won.
[31:34.110 --> 31:34.890]  It's just, you know.
[31:34.890 --> 31:36.650]  No, dude, I'm all about taking it.
[31:36.650 --> 31:38.510]  Oh, it says best cock on the block.
[31:39.530 --> 31:41.270]  I think it counts, man.
[31:41.410 --> 31:42.230]  Yeah, I think it counts.
[31:42.270 --> 31:42.850]  I think we gotta give it.
[31:43.270 --> 31:43.390]  Alright.
[31:44.350 --> 31:46.630]  Ladies and gentlemen, I cannot wait to eat my cookie puss.
[31:46.770 --> 31:47.630]  I will eat the whole thing.
[31:47.830 --> 31:51.410]  But now I think we continue to blackout.
[31:51.590 --> 31:54.410]  Yeah, we'll just see who gets closest to a blackout before.
[31:54.730 --> 31:57.450]  I think 1055 is when we switch over to the next stream.
[31:57.690 --> 31:58.090]  Yeah, yeah, yeah.
[31:58.090 --> 31:59.090]  So, we got 25 minutes.
[31:59.390 --> 32:02.610]  Do you know, man, there is a rise of Tupac shirts around the world.
[32:02.930 --> 32:05.330]  When I was in Italy, every teenager I saw had a Tupac shirt.
[32:05.350 --> 32:06.230]  Everywhere right now.
[32:06.330 --> 32:06.810]  Yeah, for sure.
[32:07.030 --> 32:07.650]  That nirvana.
[32:08.670 --> 32:09.070]  Oh, yeah.
[32:09.150 --> 32:09.750]  A lot of those too.
[32:10.410 --> 32:13.010]  Anyway, Eric, do you know who comes after us?
[32:13.010 --> 32:14.090]  We should plug them.
[32:14.510 --> 32:15.370]  Oh, I have no idea.
[32:15.530 --> 32:15.930]  On the stream.
