[00:05.530 --> 00:07.730]  Hello! It's coming hoooome!
[15:05.160 --> 15:05.960]  There's five...
[15:05.960 --> 15:06.460]  Seven kids?
[15:06.520 --> 15:06.840]  I don't know.
[15:07.760 --> 15:09.080]  There's Elliot Page again.
[15:09.260 --> 15:09.840]  Here is...
[15:10.500 --> 15:11.340]  Oh, this is from season two.
[15:11.760 --> 15:13.520]  This is from when this character...
[15:13.520 --> 15:14.100]  I don't remember her name.
[15:14.360 --> 15:18.360]  But they go back in time and they're in Dallas when Kennedy's assassinated.
[15:18.520 --> 15:18.740]  What?
[15:19.080 --> 15:20.100]  What is this?
[15:20.420 --> 15:21.240]  It's the Umbrella Academy.
[15:21.340 --> 15:21.720]  It's a show.
[15:22.020 --> 15:23.960]  This is insane.
[15:24.140 --> 15:24.940]  John Risen knows.
[15:25.140 --> 15:25.760]  It's good as hell, right?
[15:25.800 --> 15:27.200]  He doesn't understand what the show is.
[15:27.380 --> 15:28.700]  He's like, why is there a half gorilla?
[15:29.080 --> 15:30.360]  There's a half gorilla.
[15:30.860 --> 15:31.540]  Oh, he's on the moon.
[15:31.760 --> 15:32.400]  Oh, these are...
[15:32.400 --> 15:33.720]  Did they try and save JFK?
[15:34.920 --> 15:36.560]  Some of them tried to save JFK.
[15:36.560 --> 15:37.520]  Some of them tried to kill him.
[15:37.520 --> 15:38.620]  If I remember correctly.
[15:38.760 --> 15:39.760]  Yeah, yeah.
[15:39.760 --> 15:40.800]  What a weird academy.
[15:41.180 --> 15:41.700]  They were divided.
[15:42.560 --> 15:43.500]  Pass this test.
[15:43.840 --> 15:46.960]  It's gonna get weirder in season three, let me tell you.
[15:47.780 --> 15:48.080]  Uh...
[15:48.080 --> 15:50.640]  I think this is when number five tries to kill number five.
[15:51.100 --> 15:52.560]  Uh, the day that was...
[15:53.260 --> 15:54.140]  This rules.
[15:54.560 --> 15:55.240]  Is that the gorilla?
[15:55.540 --> 15:56.500]  That's the...
[15:56.500 --> 15:56.760]  Oh.
[15:57.160 --> 15:57.960]  Look at him.
[15:58.100 --> 15:59.100]  What else was he in?
[15:59.600 --> 16:00.500]  Look at him.
[16:00.660 --> 16:01.880]  He was...
[16:01.880 --> 16:03.800]  He pops up all the time.
[16:03.860 --> 16:04.500]  He's a big guy.
[16:04.620 --> 16:05.680]  Why is head ain't a gorilla?
[16:05.680 --> 16:06.280]  What?
[16:06.920 --> 16:09.840]  That would have been way better if it was a man with a monkey head.
[16:09.840 --> 16:10.460]  Oh, he was in Game of Thrones.
[16:10.560 --> 16:11.620]  I like that way better.
[16:11.700 --> 16:12.500]  Who was he in Game of Thrones?
[16:12.580 --> 16:13.980]  He was the...
[16:13.980 --> 16:14.900]  I believe...
[16:14.900 --> 16:15.660]  He was the half gorilla.
[16:15.920 --> 16:19.080]  ...the son that died with his dad by the dragon when the...
[16:19.080 --> 16:19.560]  Oh!
[16:20.460 --> 16:21.260]  ...refused to...
[16:21.260 --> 16:21.560]  Yeah.
[16:21.840 --> 16:22.280]  I think...
[16:22.280 --> 16:23.080]  I believe that was his...
[16:23.080 --> 16:23.280]  Good.
[16:23.580 --> 16:24.760]  These are all sideways cards.
[16:25.260 --> 16:25.600]  Alright.
[16:25.940 --> 16:26.940]  I was really hoping to get an...
[16:26.940 --> 16:27.660]  Like a relic.
[16:27.720 --> 16:28.340]  Oh, there they are.
[16:28.620 --> 16:29.380]  They're in love.
[16:29.880 --> 16:30.260]  But they're not.
[16:30.820 --> 16:32.440]  They're brother and sister, but it's not.
[16:32.940 --> 16:33.580]  It's not.
[16:33.580 --> 16:34.780]  Wait, wait, wait, wait.
[16:34.780 --> 16:35.320]  It's not blood.
[16:35.660 --> 16:36.580]  Hang on, hang on, hang on.
[16:36.740 --> 16:37.180]  They're all adopted.
[16:37.360 --> 16:38.000]  Hang on, hang on, hang on.
[16:38.200 --> 16:39.320]  You're really glossing over that.
[16:39.580 --> 16:40.300]  They're in love.
[16:40.660 --> 16:41.560]  They're brother and sister.
[16:42.160 --> 16:44.340]  Well, yeah, because they're adopted, right?
[16:44.620 --> 16:45.780]  It was an adoption thing.
[16:46.020 --> 16:46.160]  Oh!
[16:46.560 --> 16:46.680]  Right.
[16:46.720 --> 16:48.140]  But she's married to another dude.
[16:48.360 --> 16:50.640]  She's married to a civil rights activist, and he is not cool with it.
[16:50.640 --> 16:52.960]  Is he half of anything, or...
[16:52.960 --> 16:53.540]  I think he's...
[16:53.540 --> 16:54.760]  He's just a normal dude.
[16:54.900 --> 16:55.040]  Oh.
[16:55.080 --> 16:55.420]  Good guy.
[16:55.580 --> 16:55.900]  Good guy.
[16:56.080 --> 16:56.280]  Okay.
[16:56.320 --> 16:56.920]  Liked him a lot.
[16:57.100 --> 16:57.220]  Okay.
[16:57.260 --> 16:59.680]  One, I don't remember what that particular scene is.
[17:00.080 --> 17:01.000]  Ch-ch-changes.
[17:01.000 --> 17:01.320]  I don't remember what that scene is.
[17:01.420 --> 17:02.100]  I don't remember that.
[17:02.800 --> 17:03.340]  And, uh...
[17:03.340 --> 17:04.260]  Oh, there's...
[17:04.260 --> 17:05.280]  That's, uh...
[17:05.280 --> 17:06.420]  That's Mary J. Blige, I believe.
[17:07.120 --> 17:07.560]  What the...
[17:07.560 --> 17:08.080]  Yeah, she's one of the agents.
[17:08.460 --> 17:08.860]  She plays...
[17:08.860 --> 17:09.960]  She's a character in it.
[17:09.980 --> 17:10.120]  Oh.
[17:10.600 --> 17:12.120]  That would be from season one, I believe.
[17:12.260 --> 17:15.040]  I'm just gonna watch episode, like, six of this show.
[17:15.620 --> 17:18.180]  The first season, episode six.
[17:18.500 --> 17:19.760]  You go, so this guy's the gorilla.
[17:19.940 --> 17:20.340]  All right.
[17:20.600 --> 17:20.940]  I like it.
[17:20.940 --> 17:21.380]  How, uh...
[17:21.380 --> 17:21.720]  Should we watch it together?
[17:21.720 --> 17:22.260]  That lives on the moon.
[17:22.320 --> 17:22.860]  Yeah, absolutely.
[17:23.320 --> 17:24.360]  It's a fantastic show.
[17:24.360 --> 17:25.140]  We'll get D-Box going.
[17:25.280 --> 17:25.780]  It'll be crazy.
[17:25.920 --> 17:26.840]  They'll shoot smoke at the screen.
[17:27.340 --> 17:29.920]  We should save up together and buy one D-Box seat.
[17:32.460 --> 17:35.460]  Uh, okay, we got more.
[17:35.700 --> 17:37.060]  Sir, these come in rows of four.
[17:37.220 --> 17:38.040]  I said one.
[17:38.880 --> 17:42.280]  Anytime Elliot Page plays the violin, it's bad news for everybody else.
[17:42.280 --> 17:42.940]  Uh-oh.
[17:43.680 --> 17:44.620]  We already have that one.
[17:44.740 --> 17:45.020]  It's a double.
[17:45.120 --> 17:46.020]  Number five, it's a double.
[17:46.460 --> 17:46.980]  That's a double.
[17:47.160 --> 17:47.720]  We already have that one.
[17:47.800 --> 17:48.080]  Violin!
[17:49.000 --> 17:49.580]  It's an umbrella card.
[17:49.720 --> 17:50.540]  There was an umbrella card.
[17:50.640 --> 17:51.420]  That's a double also.
[17:51.520 --> 17:52.000]  There's an umbrella in the card.
[17:52.480 --> 17:53.660]  Yeah, there was an umbrella in the card.
[17:53.700 --> 17:54.660]  There's an umbrella in every card, buddy.
[17:54.700 --> 17:55.380]  It's right there.
[17:57.620 --> 17:58.860]  That's not a fun umbrella.
[17:59.100 --> 17:59.820]  What is it, Gavin?
[17:59.960 --> 18:00.140]  What happened?
[18:00.180 --> 18:00.800]  Is it coming home?
[18:01.880 --> 18:02.360]  Are we coming home?
[18:02.600 --> 18:02.920]  No.
[18:02.920 --> 18:04.500]  I think it's like half time of extra time.
[18:04.620 --> 18:06.480]  Yeah, they're in the hundred and fifth minute plus two.
[18:06.520 --> 18:07.280]  We're gonna open one more.
[18:07.340 --> 18:08.360]  How are we doing on time, Eric?
[18:08.740 --> 18:10.540]  We're at, uh, hey, you know what time it is?
[18:10.820 --> 18:11.400]  It's 419.
[18:12.260 --> 18:16.720]  Okay, we only see each other at weddings and funerals.
[18:16.780 --> 18:17.820]  I feel like we've heard that before.
[18:17.820 --> 18:18.120]  We have.
[18:18.240 --> 18:19.540]  I think that's maybe the name of an episode.
[18:20.220 --> 18:22.200]  But that's a, maybe that's a wedding and a funeral.
[18:22.440 --> 18:23.360]  Like four weddings and a funeral.
[18:23.500 --> 18:24.340]  I don't remember that scene, though.
[18:26.840 --> 18:27.800]  Is that, she's holding an umbrella?
[18:28.180 --> 18:28.920]  So this is sad.
[18:28.920 --> 18:29.460]  It looks like an umbrella?
[18:29.580 --> 18:30.680]  It looks like that might be an umbrella.
[18:30.720 --> 18:31.160]  This is sad.
[18:31.260 --> 18:32.520]  Her partner, that's his girlfriend.
[18:32.800 --> 18:35.380]  They fell in love and there's a whole, I don't want to spoil it.
[18:35.520 --> 18:35.620]  Okay.
[18:36.040 --> 18:36.860]  Yeah, that was close.
[18:36.880 --> 18:38.420]  Oh, that's the one brother.
[18:38.580 --> 18:38.960]  Did he drop pizza on his shorts?
[18:38.960 --> 18:40.200]  He can see the dead brother.
[18:41.040 --> 18:42.400]  He eats all over him.
[18:42.520 --> 18:42.820]  There's that dude.
[18:42.840 --> 18:44.260]  He was eating a big old plate of spaghetti.
[18:44.460 --> 18:45.360]  Oh, look, there they are.
[18:45.720 --> 18:46.200]  They're brothers.
[18:46.500 --> 18:47.080]  Tiny heads.
[18:47.080 --> 18:47.840]  He's a little guy.
[18:47.940 --> 18:48.560]  He's a big guy.
[18:48.900 --> 18:53.820]  Why would you, for like an adaptation to do that is hilarious.
[18:55.800 --> 18:57.240]  Yeah, make him big.
[18:57.340 --> 18:58.620]  I thought you said one more.
[18:59.000 --> 19:01.540]  But I want to get like a, I want to do one more, one more.
[19:04.800 --> 19:06.860]  We only see each other at weddings and funerals.
[19:06.920 --> 19:07.300]  Oh boy.
[19:07.460 --> 19:08.700]  That must be the name of the episode.
[19:08.960 --> 19:09.580]  I think, yeah.
[19:09.840 --> 19:10.820]  The Day That Wasn't.
[19:10.960 --> 19:12.200]  The Day That Was.
[19:13.760 --> 19:14.080]  Extraordinary.
[19:14.320 --> 19:16.000]  That's the dude who, it was his girlfriend.
[19:16.140 --> 19:17.080]  That's Mary J. Blige's partner.
[19:18.600 --> 19:19.240]  And then...
[19:19.240 --> 19:20.240]  Another Day That Wasn't.
[19:20.380 --> 19:21.980]  Look at the lights in that ceiling.
[19:22.500 --> 19:23.160]  That's cool, isn't it?
[19:23.200 --> 19:23.800]  They have some cool set designs.
[19:23.800 --> 19:25.100]  Yeah, that's really lovely.
[19:25.560 --> 19:26.660]  I wonder where you could buy that.
[19:26.940 --> 19:27.600]  Buy that ceiling?
[19:28.000 --> 19:28.460]  Yeah, why not?
[19:28.520 --> 19:29.960]  Oh, there's another picture of him.
[19:31.200 --> 19:33.160]  He, he actually...
[19:33.160 --> 19:33.720]  There he is.
[19:34.340 --> 19:35.860]  Oh my god!
[19:36.400 --> 19:38.020]  That's pretty cool looking, actually.
[19:38.400 --> 19:39.340]  That's a cool suit.
[19:39.680 --> 19:44.300]  I like, I feel like this guy, where I'm going, what the fuck?
[19:45.500 --> 19:46.660]  That's his brother, dude.
[19:46.720 --> 19:47.440]  What? Stop!
[19:49.480 --> 19:51.160]  Oh my god, are we getting in between beats?
[19:51.160 --> 19:52.960]  Why are you allowed to show that, but I'm not allowed to show the footage?
[19:52.960 --> 19:56.000]  It's, um, it's not moving, and also this doesn't live anywhere. Don't worry about it.
[19:57.620 --> 19:58.760]  Alright, Gavin, this is exciting.
[19:59.260 --> 19:59.800]  Oh, here we go.
[19:59.880 --> 20:01.840]  We're cracking in. I didn't even know these existed.
[20:02.680 --> 20:04.920]  I hope we get, I hope we get both the Peaks.
[20:05.080 --> 20:09.580]  I hope we get Kyle McClough, and, and the guy that plays Leland.
[20:10.200 --> 20:10.820]  One in the pack sack.
[20:10.940 --> 20:12.360]  Are there any chase cards in this?
[20:12.580 --> 20:14.080]  Uh, not that I'm aware of.
[20:14.320 --> 20:14.460]  What?
[20:14.600 --> 20:19.460]  My last chase card was the, uh, Chris Kamen White Walker card from NBA Prism, and we did not get it.
[20:19.460 --> 20:19.700]  No.
[20:19.740 --> 20:20.980]  And I spent $400 not to get it.
[20:20.980 --> 20:21.200]  Yeah.
[20:21.200 --> 20:23.440]  Are we gonna get, uh, any autographs in these?
[20:23.720 --> 20:24.040]  We might.
[20:24.220 --> 20:24.400]  Oh!
[20:25.120 --> 20:26.400]  You might get an autographed Lynch.
[20:26.640 --> 20:27.140]  Oh, wow.
[20:27.560 --> 20:28.180]  What happened?
[20:28.460 --> 20:28.820]  Come on.
[20:29.020 --> 20:30.140]  I was rookie move.
[20:30.360 --> 20:31.000]  Nah, no kidding.
[20:31.340 --> 20:31.840]  Oh my god.
[20:32.140 --> 20:33.020]  Alright, let's see what these look like.
[20:33.100 --> 20:34.260]  Oh, there's Billy Zane.
[20:34.420 --> 20:34.800]  Wow.
[20:35.180 --> 20:35.960]  And, uh...
[20:35.960 --> 20:36.280]  Wow!
[20:36.800 --> 20:38.620]  Jerry Horn's brother, the other Horn.
[20:38.720 --> 20:39.120]  Ben Horn.
[20:39.120 --> 20:40.440]  Ben Horn, that's Audrey's dad.
[20:41.000 --> 20:45.860]  There we have, uh, Pete Martell and Catherine... what is her name?
[20:47.000 --> 20:47.400]  Catherine...
[20:47.400 --> 20:49.120]  You just gotta tilt him a little bit so the camera can see.
[20:49.420 --> 20:49.720]  Catherine something.
[20:49.720 --> 20:50.560]  I was looking at Gavin.
[20:50.800 --> 20:51.100]  There you go.
[20:51.260 --> 20:53.520]  So yeah, Pete Martell, he's the best character in Twin Peaks.
[20:53.700 --> 20:59.880]  He starts the show off and he goes, uh, Sheriff Truman, dead, wrapped in plastic.
[21:01.420 --> 21:03.560]  He also has a slight issue with his percolator.
[21:03.640 --> 21:05.720]  Yeah, there's a fish in my percolator.
[21:06.320 --> 21:07.220]  Oh, that's that guy.
[21:07.420 --> 21:07.560]  Yeah.
[21:07.680 --> 21:07.860]  Alright.
[21:07.960 --> 21:09.960]  And there's Ben Horn and Josie.
[21:10.360 --> 21:13.460]  If you haven't seen Twin Peaks yet, she ends up in a doorknob.
[21:14.780 --> 21:15.880]  He's not even lying.
[21:16.220 --> 21:17.100]  She becomes a doorknob.
[21:17.600 --> 21:19.480]  She becomes like a cabinet knob or something.
[21:19.480 --> 21:21.280]  Yeah, she's a cabinet knob.
[21:21.600 --> 21:23.020]  Is anyone half gorilla?
[21:23.640 --> 21:24.620]  Not in Twin Peaks yet.
[21:25.380 --> 21:26.380]  There we have...
[21:26.380 --> 21:26.980]  Are the Peaks on the moon?
[21:27.220 --> 21:28.240]  Yeah, where are the Peaks?
[21:28.440 --> 21:29.320]  That's, uh...
[21:29.320 --> 21:30.480]  What's her name in the show?
[21:30.660 --> 21:31.700]  That's, uh, Edna?
[21:32.280 --> 21:32.520]  Irma?
[21:32.960 --> 21:33.200]  Betty?
[21:33.340 --> 21:33.560]  Betty?
[21:33.840 --> 21:34.520]  No, not Betty.
[21:34.720 --> 21:35.280]  No, it's not Betty.
[21:35.420 --> 21:35.960]  It's Ir...
[21:35.960 --> 21:36.500]  Ir...
[21:36.500 --> 21:37.240]  What's her name?
[21:37.820 --> 21:38.280]  Irma...
[21:38.280 --> 21:39.480]  She runs the...
[21:39.480 --> 21:43.660]  She owns the, uh, little restaurant.
[21:43.820 --> 21:44.000]  Oh!
[21:44.520 --> 21:46.660]  Where they all have cherry pie and coffee.
[21:47.100 --> 21:47.960]  Best Damn Coffee.
[21:47.960 --> 21:48.560]  Best Damn Coffee.
[21:48.940 --> 21:50.420]  And then her husband is Leo.
[21:50.940 --> 21:55.740]  And he's a truck driver and a drug dealer and, uh, probably a wife beater and just kind of a rough dude.
[21:55.980 --> 21:57.840]  And so she falls in love with Bobby.
[21:58.000 --> 21:59.620]  I thought she was married to Hank.
[21:59.760 --> 22:01.920]  Oh, no, you're right. I'm sorry. I was thinking of her assistant.
[22:01.960 --> 22:02.460]  Can you look at that?
[22:03.200 --> 22:03.920]  She's married to Hank.
[22:05.120 --> 22:05.840]  The smallest...
[22:05.840 --> 22:07.560]  She's married to Hank, who's in jail.
[22:08.180 --> 22:10.020]  Who, uh, Bobby, uh...
[22:10.020 --> 22:10.720]  But he comes out.
[22:11.000 --> 22:11.880]  He comes out of jail.
[22:12.020 --> 22:14.900]  And she's having an affair with Ed Hurley, who's married to Nadine.
[22:15.140 --> 22:15.960]  Who's got an eye patch.
[22:15.960 --> 22:18.120]  Nadine does have an eye patch and super strength.
[22:18.200 --> 22:19.080]  Ed runs...
[22:19.080 --> 22:20.100]  She does have super strength.
[22:20.120 --> 22:21.060]  Ed runs, uh...
[22:21.060 --> 22:24.020]  This sounds more mental than the superhero guerrilla show.
[22:24.140 --> 22:26.700]  Ed runs the gas station.
[22:27.580 --> 22:28.040]  424.
[22:28.400 --> 22:28.720]  There you go.
[22:30.160 --> 22:30.620]  160.
[22:30.620 --> 22:31.420]  Oh, this is what we got.
[22:31.680 --> 22:35.300]  Oh, there's Audrey Horn and, uh, Laura Flynn Boyle.
[22:35.400 --> 22:36.090]  Her character is...
[22:36.640 --> 22:36.980]  What is her name?
[22:37.720 --> 22:38.760]  Good save. Good save.
[22:39.060 --> 22:40.140]  She is, um...
[22:40.140 --> 22:41.940]  Audrey and, uh...
[22:41.940 --> 22:42.380]  What is her name?
[22:43.560 --> 22:44.180]  She was...
[22:44.180 --> 22:45.040]  She didn't do the movie.
[22:45.460 --> 22:46.560]  She got replaced by that other...
[22:46.560 --> 22:47.980]  She was recast in the movie, wasn't she?
[22:48.120 --> 22:48.680]  Yeah, yeah.
[22:49.200 --> 22:50.780]  Laura Flynn Boyle was too big at the time.
[22:51.060 --> 22:52.720]  She went all over season two, didn't she?
[22:52.800 --> 22:53.640]  Yeah, her name is...
[22:53.980 --> 22:55.340]  She's in a love affair with James Hurley.
[22:56.760 --> 22:57.080]  Uh...
[22:57.080 --> 22:58.000]  Don't you hate season two?
[22:58.160 --> 23:00.100]  Yeah, I'm not a huge fan of most of it.
[23:00.180 --> 23:00.640]  Some of it's good.
[23:00.960 --> 23:01.680]  All right, here we go.
[23:02.600 --> 23:04.140]  There's Hank after he got out of jail.
[23:04.220 --> 23:05.600]  Leather jacket, that's how you know he's a bad guy.
[23:06.040 --> 23:08.900]  And then Ben Horn, you can tell he's a businessman because he's smoking a cigar.
[23:09.460 --> 23:10.080]  Classic businessman.
[23:10.140 --> 23:11.080]  There's Laura...
[23:11.080 --> 23:11.980]  No, that's her mom.
[23:12.760 --> 23:13.400]  That's, uh...
[23:13.400 --> 23:14.580]  She's in a wheelchair.
[23:14.580 --> 23:15.880]  Zooey Deschanel's mom.
[23:16.020 --> 23:16.900]  Yeah, Zooey Deschanel's mom.
[23:16.920 --> 23:17.560]  They're the same person?
[23:17.780 --> 23:18.540]  That's what it looks like.
[23:18.620 --> 23:19.660]  It looks like she's hugging herself.
[23:19.780 --> 23:21.600]  That's when number five tries to kill number five.
[23:21.740 --> 23:21.940]  Yeah.
[23:22.400 --> 23:24.160]  And then in real life, that's Zooey Deschanel's mom.
[23:24.280 --> 23:24.740]  That's crazy.
[23:24.880 --> 23:25.320]  That's crazy.
[23:25.440 --> 23:28.220]  And, uh, conversely, the other Deschanel's mom.
[23:28.220 --> 23:28.580]  Thank you.
[23:28.720 --> 23:29.420]  Yeah, no, I got it.
[23:30.100 --> 23:31.320]  Uh, there we have...
[23:31.320 --> 23:34.520]  Oh, this would be from the new movie, because that's Robert Forrester.
[23:35.060 --> 23:36.020]  I, uh...
[23:36.020 --> 23:37.540]  Never finished the new season.
[23:38.120 --> 23:38.780]  Hey, Leland!
[23:38.780 --> 23:39.600]  There's Leland Palmer.
[23:39.920 --> 23:41.300]  That's post-her Leland.
[23:41.600 --> 23:42.640]  Yeah, he, uh...
[23:43.480 --> 23:45.240]  He, at some point, stops dying his hair.
[23:45.480 --> 23:45.720]  Yeah.
[23:46.020 --> 23:47.180]  There's, uh...
[23:47.180 --> 23:48.220]  That's the Major.
[23:48.520 --> 23:48.780]  Uh-huh.
[23:48.880 --> 23:49.680]  That's Bobby's dad.
[23:49.700 --> 23:51.360]  Something weird happens to the Major, doesn't it?
[23:51.480 --> 23:56.120]  He goes to the entrance of the Black Lodge, and he gets, like, teleported,
[23:56.180 --> 23:57.580]  and then he disappears for, like, four days,
[23:57.600 --> 23:59.180]  and then he comes back, and he's different, right?
[23:59.260 --> 24:00.320]  Yeah, something like that.
[24:00.380 --> 24:01.200]  We'll open some more of that.
[24:01.820 --> 24:02.360]  I apologize.
[24:02.400 --> 24:02.880]  It's been 20 years.
[24:02.900 --> 24:05.420]  How do you find something weird happening to a character
[24:05.420 --> 24:07.220]  when one of them turns into a doorknob?
[24:07.300 --> 24:09.320]  Like, at what point, what then becomes weird?
[24:09.540 --> 24:11.300]  I think something also weird happens to him.
[24:11.300 --> 24:12.440]  Oh, this is a great one.
[24:12.660 --> 24:15.000]  Here we have the two greatest characters in the show.
[24:15.300 --> 24:17.740]  We've got Kyle McLaughlin there.
[24:17.940 --> 24:18.000]  Okay.
[24:19.020 --> 24:20.180]  He's, uh...
[24:20.180 --> 24:21.460]  Cut to the card.
[24:21.780 --> 24:22.140]  And action.
[24:22.140 --> 24:22.580]  And action.
[24:22.620 --> 24:23.220]  And there we go.
[24:23.320 --> 24:24.200]  There's Dale Cooper.
[24:24.560 --> 24:25.180]  Oh, there we go.
[24:25.580 --> 24:27.020]  On the left is David Lynch.
[24:27.080 --> 24:28.300]  He plays Agent...
[24:28.820 --> 24:29.620]  Well, Rad Dudes.
[24:30.340 --> 24:30.720]  Yeah?
[24:31.040 --> 24:32.540]  That's a Rad Dudes card right there.
[24:32.560 --> 24:33.120]  Oh, Gordon Cole.
[24:33.360 --> 24:34.340]  Agent Gordon Cole.
[24:34.600 --> 24:34.780]  Yeah.
[24:35.080 --> 24:36.920]  He can't hear, so he's got, uh...
[24:36.920 --> 24:38.880]  You can see he's got a hearing aid in,
[24:38.960 --> 24:40.400]  and so everybody has to yell to him.
[24:40.400 --> 24:40.820]  That's funny.
[24:40.960 --> 24:41.720]  He can't hear. It's hilarious.
[24:42.420 --> 24:43.560]  There's Bobby and his mom.
[24:43.660 --> 24:45.140]  He's like, where's... where's Dad?
[24:45.280 --> 24:45.960]  Where's the Major?
[24:46.460 --> 24:47.860]  And the Major's living in space somewhere.
[24:48.320 --> 24:48.760]  Oh!
[24:49.520 --> 24:49.820]  Otto!
[24:51.300 --> 24:51.480]  Otto!
[24:51.480 --> 24:51.980]  Who's that?
[24:52.040 --> 24:52.980]  I don't know who that is.
[24:53.080 --> 24:54.060]  I don't know who the fuck he is.
[24:54.120 --> 24:55.120]  That's not a main character.
[24:55.580 --> 24:57.180]  Christopher Zajac Dinnick.
[24:57.280 --> 24:57.860]  What the fuck?
[24:57.860 --> 24:58.600]  That's Jamie Kennedy.
[24:58.900 --> 24:59.260]  That's...
[24:59.260 --> 25:02.180]  I thought the same thing, Andrew.
[25:02.500 --> 25:02.900]  Ike's...
[25:02.900 --> 25:04.680]  We got Jamie Kennedy's card?
[25:04.760 --> 25:07.840]  Christopher Zajac Dinnick as Ike Spike Stadler in Twin Peaks.
[25:07.880 --> 25:08.800]  I don't remember Ike Spike.
[25:09.080 --> 25:09.580]  Ike Spike?
[25:09.580 --> 25:11.220]  I don't remember Ike Spike either.
[25:11.340 --> 25:12.360]  That must have been in the new season.
[25:12.840 --> 25:13.640]  The Showtime remake.
[25:14.680 --> 25:15.780]  Oh, we'll go ahead and sleeve that in.
[25:15.780 --> 25:17.520]  Ike the Spike Stadler.
[25:18.080 --> 25:18.320]  Alright.
[25:18.580 --> 25:19.000]  In Twin Peaks.
[25:19.220 --> 25:19.960]  Oh, there's...
[25:19.960 --> 25:20.700]  Is that an admit or a cast?
[25:21.200 --> 25:22.380]  There is James Hurley.
[25:22.700 --> 25:23.360]  He is the...
[25:23.360 --> 25:24.020]  Oh, you need to look up her name on the back.
[25:24.100 --> 25:26.800]  He is the dumbest person on...
[25:26.800 --> 25:29.280]  He's the dumbest person in any story ever.
[25:30.320 --> 25:31.980]  Oh, yeah, it's Donna Hayward.
[25:32.140 --> 25:32.460]  Oh, Donna.
[25:32.840 --> 25:34.660]  Did you ever see the Super Mario Bros. movie?
[25:34.920 --> 25:35.100]  Yes.
[25:35.100 --> 25:35.660]  With Bob Hoskins?
[25:36.380 --> 25:37.620]  He kind of looks like...
[25:38.120 --> 25:38.920]  The Koopas.
[25:38.920 --> 25:39.820]  He does.
[25:40.860 --> 25:41.740]  He is...
[25:41.740 --> 25:42.440]  Is that face he makes?
[25:42.660 --> 25:43.760]  That's his vaguely...
[25:43.760 --> 25:46.640]  I don't understand what's going on, but I'm upset about it face.
[25:46.700 --> 25:49.360]  He makes that 98% of the time on the show.
[25:49.560 --> 25:49.900]  That's awesome.
[25:50.080 --> 25:51.700]  And the other time, he's riding a motorcycle.
[25:51.880 --> 25:54.100]  Doesn't he start railing housewives along the way?
[25:54.680 --> 25:55.160]  At some point?
[25:56.180 --> 25:56.620]  Yeah.
[25:56.880 --> 25:57.760]  Yeah, he becomes...
[25:57.760 --> 26:02.780]  He ends up moving in to the garage of a housewife who's got in a bad situation
[26:02.780 --> 26:03.860]  and he has an affair with her and stuff.
[26:04.180 --> 26:04.780]  There's Josie.
[26:04.880 --> 26:05.280]  Oh, pretty Donna.
[26:06.240 --> 26:07.260]  That's Jack Nance.
[26:07.260 --> 26:11.040]  He was in every David Lynch production ever until he died.
[26:11.120 --> 26:14.620]  And there's a documentary about him called You Don't Know Jack, which is fantastic.
[26:15.140 --> 26:16.560]  Crazy story about his life.
[26:16.960 --> 26:20.340]  Wife committed suicide in an insane way.
[26:20.480 --> 26:20.960]  Oh, really?
[26:21.140 --> 26:22.360]  On the set of a movie.
[26:23.020 --> 26:23.420]  What?
[26:23.660 --> 26:23.900]  Yeah.
[26:24.120 --> 26:26.420]  One of those National Lampoon's movies.
[26:26.640 --> 26:26.780]  Yeah.
[26:28.140 --> 26:29.500]  Like the straight-to-video ones.
[26:29.500 --> 26:29.780]  Yeah.
[26:30.020 --> 26:33.000]  She called him and they were like on set and he was like...
[26:33.000 --> 26:35.280]  She was like, if you don't come home right now, I'm gonna kill myself.
[26:35.400 --> 26:36.960]  And he's like, I'm on set, I can't come home.
[26:36.960 --> 26:38.580]  And then the power went out and they couldn't get back.
[26:38.720 --> 26:39.920]  And so she did, I think.
[26:40.620 --> 26:40.940]  What?
[26:41.300 --> 26:42.680]  And then he died under suspicious circumstances.
[26:42.780 --> 26:45.840]  He got into a fight at a gas station in L.A.
[26:46.780 --> 26:49.720]  And he apparently fell in a bathroom and hit his head.
[26:49.900 --> 26:52.140]  And then he walked home and died from the wound.
[26:52.180 --> 26:52.660]  Oh, God.
[26:52.700 --> 26:54.740]  Nobody quite knows who he got into a fight with or anything.
[26:55.020 --> 26:55.340]  Wow.
[26:55.540 --> 26:56.500]  Crazy life, Jack Nance.
[26:57.060 --> 26:58.040]  Really talented dude.
[26:59.180 --> 27:00.320]  Do you ever see Eraserhead, Eric?
[27:00.520 --> 27:00.740]  Yeah.
[27:00.860 --> 27:01.340]  He's Eraserhead.
[27:01.440 --> 27:01.920]  He's the main character.
[27:03.420 --> 27:04.800]  Well, he's not like the weird baby.
[27:05.340 --> 27:05.660]  No.
[27:05.660 --> 27:06.400]  He's Henry.
[27:06.480 --> 27:07.320]  The guy with the hair.
[27:07.840 --> 27:08.080]  No.
[27:08.620 --> 27:09.780]  Okay, that's all those.
[27:09.980 --> 27:10.120]  Uh-huh.
[27:10.180 --> 27:13.680]  Let's see if we can get some more sweet, sweet autographs.
[27:13.680 --> 27:16.140]  What was the name of Laura Palmer's cousin?
