[00:04.920 --> 00:06.720]  Previously, on F*** Face.
[25:55.990 --> 25:58.970]  listen, you don't want it. And I'm like, I'm telling you, I need it for a thing. And they're
[25:58.970 --> 26:05.550]  like, it must be in the supermarkets. Just get Marmite. So I was there, uh, for the other, one
[26:05.550 --> 26:09.990]  of the other podcasts I do, the theme park podcast, as well as for like a rooster teeth
[26:09.990 --> 26:15.330]  community meetup. So during the community meetup, uh, and I was doing this meetup with, um, uh,
[26:16.290 --> 26:20.510]  regular fan Jack. I'm not sure where he is in the hierarchy right now. It's called fan,
[26:21.070 --> 26:24.210]  fan Jack. Well, he's not a minor league fan anymore. I think, I think, I think he's up from
[26:24.210 --> 26:29.890]  minor league to just regular fan. But, uh, yeah, I think so. Uh, and so I was on a panel and somebody
[26:29.890 --> 26:34.990]  came up and gave it to me and it had a bow on it and they put like a little rooster teeth union
[26:34.990 --> 26:38.830]  Jack logo on it. And they were like, here, we got this for you and here's some boiling water.
[26:39.050 --> 26:43.230]  And here's something to spread it on. Will you eat it in front of everyone? And since it was being
[26:43.230 --> 26:48.050]  filmed, I thought, yeah, it's like, might as well. Cause also, uh, I wasn't sure I could bring
[26:48.050 --> 26:53.190]  it back to the States because somebody, uh, told me that you can't import it to the U S like you
[26:53.190 --> 26:57.850]  can't bring it from the UK to the U S. So you said you, you, you, it was being filmed. So you're
[26:57.850 --> 27:03.050]  like, yeah, no problem. Do you have that footage? Uh, I think, uh, I think my girlfriend Emily has,
[27:03.050 --> 27:06.610]  so I can get it to you guys. I don't have it on me. Great. And what were your thoughts? Uh,
[27:06.610 --> 27:14.130]  so I had it two ways. Uh, apparently, apparently the, the boy like, uh, making it like beef bouillon
[27:14.130 --> 27:19.590]  kind of boiling it is not the main way. I guess people mostly use it as a spread on toast, kind of
[27:19.590 --> 27:25.270]  like Marmite. Uh, so I had it that way first. Yeah. Oh, by the way, Andrew, uh, go ahead and eat
[27:25.270 --> 27:31.590]  number two. Okay. With your eyes closed, please. But while you're doing that, I'll upload the photo
[27:31.590 --> 27:37.450]  just for reference, uh, of me right before. Did he keep all the pops behind it behind him?
[27:37.750 --> 27:42.110]  I put it in the fridge and my mic stand is covering the fridge door. So I had to slide the
[27:42.110 --> 27:49.350]  mic. That was an immense chair Creek sliding. Okay. So I'm pulling the pop out. I'm so nervous. I
[27:49.350 --> 27:56.670]  should have like a puke bucket. This is okay. Pop two coming out. It is solid. Try to identify it
[27:56.670 --> 28:08.310]  without opening your eyes. Yeah. Oh, it's rubbing up. Oh, congratulations. So I've uploaded a photo.
[28:08.550 --> 28:13.650]  Uh, it's on the Instagram already. I think it's of me in a, by the way, a snazzy new regulation
[28:13.650 --> 28:19.610]  listener t-shirt, which I think is, uh, just, uh, and there's a regular fan Jack in the background
[28:19.610 --> 28:23.610]  and I'm holding the bottle that they gave me. Uh, so the first way I had it was as a spread.
[28:23.610 --> 28:29.930]  And I have to say it was fucking heinous, like absolutely disgusting. If you've ever had
[28:29.930 --> 28:35.530]  Vegemite, if you've ever had Marmite, this is just as bad, if not like 5% worse. I mean, just
[28:35.530 --> 28:45.630]  dog shit, not edible, just not edible. However, then I took a teaspoon and of, of this goop and
[28:45.630 --> 28:49.910]  I stuck it in the boiling water and I spun it around a little bit and made like the hot Bovril
[28:49.910 --> 28:55.850]  cup, like you would have at a football game. Yeah. And I give it a, I give it a 5.2 out of 10.
[28:56.250 --> 29:00.510]  Okay. And what was the first one? Dog shit out of 10 and then 5.2 out of 10.
[29:00.530 --> 29:04.570]  Yeah. Like I found myself throughout the panel still sipping it a little bit. I probably ended
[29:04.570 --> 29:09.310]  up drinking half, half of a little Dixie cup full of, of Bovril. Uh, yeah, it's not great,
[29:09.370 --> 29:14.990]  but in that form I can see like on a cold day, you like, you kind of want a little nourishment
[29:14.990 --> 29:19.230]  and to be warmed up. I can see in, in much the same way, maybe you would drink like
[29:19.230 --> 29:27.890]  hot bone broth or like a bouillon. I can see it being a hearty drink. Utilitarian. I've never had
[29:27.890 --> 29:32.270]  it as a spread, so I'll probably try that at some point, but yeah, I don't, I don't mind it as a hot
[29:32.270 --> 29:37.670]  Bovril. Also at a glance, Jack's t-shirt in the corner of my eye looked like it said anal passage.
[29:40.790 --> 29:44.810]  That's the other podcast I do. Anal passage. Can we, can we just sell that shirt remade as
[29:44.810 --> 29:51.950]  anal passage? Check those. As a face shirt? Eric, Eric, can you get on that please?
[29:56.530 --> 29:57.490]  I would wear that.
[30:07.200 --> 30:08.940]  We gotta do that. That's awesome.
[30:11.020 --> 30:15.300]  Jack would think at a glance that I'm repping the merch, but it's really just...
[30:19.200 --> 30:23.280]  You know what would be the ultimate? What would be the ultimate is if we, we work it out with
[30:23.280 --> 30:28.480]  his wife. So she switches out the annual pass shirt in his laundry for an anal passage shirt
[30:28.480 --> 30:32.880]  and see if we can get him, see if we can get him to wear it without knowing he's wearing
[30:32.880 --> 30:36.960]  an anal passage shirt. We're gonna, we would have to move fast on that before this episode comes out.
[30:37.520 --> 30:41.680]  Yeah. Which is uh, less than a week. It's Tuesday.
[30:45.600 --> 30:50.160]  Christ. We have to like swap the shirt and put it right at the top of the pile. Okay. But we've
[30:50.160 --> 30:55.160]  kind of, this is like the bat paranoia. He now will have to check his annual pass shirt always.
[30:55.320 --> 31:00.240]  He's going to have to constantly double check that shirt. So it kind of works no matter what.
[31:00.240 --> 31:01.920]  We've created shirt paranoia.
[31:06.820 --> 31:10.300]  Oh, Eric's already sent it off to the merch team. Okay. So there you go. There's your,
[31:11.040 --> 31:15.860]  there's your, uh, seven up, uh, Bov Pop. Oh, very clear. So you just...
[31:15.860 --> 31:21.120]  I did. I took a bite out of the top of it. Dodge the Bov is a great name for this. So I'm just
[31:21.120 --> 31:25.020]  going to steal that, Geoff. That's fantastic. We're trying to dodge the Bov. Yeah. How,
[31:25.200 --> 31:27.840]  on a scale of one to 10, how do you rate the Sprite Pop?
[31:28.260 --> 31:31.660]  Nine. It was way better than I anticipated. That was delicious.
[31:32.340 --> 31:36.900]  Damn. I like as well. You, you've just outright refused to try hot Bov Roll here.
[31:37.100 --> 31:40.340]  You've gone straight for the Bov Pop. I've gone straight for the Bov Pop. Yeah.
[31:40.980 --> 31:44.580]  I didn't, I guess I could have used the Keurig to heat up the Bov, right? Isn't that a thing
[31:44.580 --> 31:51.220]  I can do then? Yeah. Bov machine. Ramen and Bov exclusively. That's what that Keurig is for.
[31:53.020 --> 31:56.260]  Maybe that's, dude, there should be a Bov Roll flavored ramen.
[31:56.260 --> 32:03.220]  Oh my God. That's like the hot new thing. A Bov Roll cake up. I saw so many videos
[32:03.220 --> 32:06.480]  of people pouring Bov Roll down the sink after trying it.
[32:10.780 --> 32:15.540]  It's, it's really, honestly, hot Bov Roll is not as bad as I thought it would be. It is,
[32:15.660 --> 32:20.620]  it's drinkable. I wouldn't choose it, but I would, in much the same way, like for people who don't
[32:20.620 --> 32:25.720]  like coffee, but need to be, need to be warm on a cold day, I could see it absolutely doing the trick.
[32:25.720 --> 32:31.380]  That makes sense to me. Yeah. I saw a few, um, comment leavers from St. Kilda, uh, saying that
[32:31.380 --> 32:35.160]  they've been on the pier and stuff. And it, and it was weird to hear their, the place they live
[32:35.160 --> 32:42.340]  mentioned on Fun Face. Oh, really? The, the reach of this podcast. Yeah. It's crazy. Cause that's
[32:42.340 --> 32:47.760]  far away. Yeah. You know what else is interesting? Talking about the reach. So, you know, I did this
[32:47.760 --> 32:53.560]  panel and there were, you know, maybe a hundred, uh, genera, general Rooster Teeth community members
[32:53.560 --> 32:58.040]  there. Right. Yeah. And, uh, I was surprised how many of them do not listen to this podcast.
[32:58.380 --> 33:03.540]  We got to do a better job of convincing people to listen to this podcast. Oh, so not a lot of,
[33:03.740 --> 33:08.520]  uh, regulation listeners. There were more, I'd say like maybe half were regulation listeners.
[33:08.600 --> 33:13.740]  The other half had no idea what we were talking about. They weren't up to date on anal passages.
[33:16.260 --> 33:20.180]  Just realize we've got some work to do. We've got work to do within our own larger community
[33:20.180 --> 33:24.700]  to, uh, to reach out to those people. Eric says, sure it's being worked on.
[33:26.780 --> 33:32.300]  Just open up the Photoshop file. Oh dear. Oh dear. Yeah. Yeah. How do,
[33:32.360 --> 33:35.780]  how do we get more people to listen to this or is it better that more people don't?
[33:35.780 --> 33:40.700]  It's like our little secret podcast exclusive club. Good question. Yeah. I don't, I don't know.
[33:40.780 --> 33:46.060]  I mean, animated will come out at some point, potentially. Like that'll be a good reach for
[33:46.060 --> 33:50.000]  people. It's kind of tough. It's a tough thing to jump into. It's funny. As I said,
[33:50.000 --> 33:54.560]  getting texts from the My Hubbies Bagels people. Oh, and speaking of that, I never said on the
[33:54.560 --> 34:00.300]  show, there is a regulation bagel. The regulation bagel exists now. It is a definitive thing. You can
[34:00.300 --> 34:04.780]  order it. It's on the menu. I did my research. I tried a bunch of different combinations of the
[34:04.780 --> 34:11.440]  thing. The regulation bagel is a bagel. I like it on a cheddar bagel, but I guess it could be on any
[34:11.440 --> 34:15.900]  bagel, especially dependent on availability of the bagels. But I would say a cheddar bagel is not
[34:15.900 --> 34:21.120]  regulation is a bagel. Doesn't doesn't matter. This is my regulation bagel. This is this is
[34:21.120 --> 34:27.520]  how I've worked this out. This is regulation for the show. It is half of it is the bacon cream
[34:27.520 --> 34:32.940]  cheese that they have. And the other half is the garlic and black pepper cream cheese. Half and
[34:32.940 --> 34:39.240]  half as a sandwich. Incredible. So that's really good. It's really fucking good. Now, is this a hot
[34:39.240 --> 34:44.680]  bagel? You get it toasted there. It's your choice. I get it toasted. I ask for a regulation bagel
[34:44.680 --> 34:51.720]  toasted. Step to the side. Get my bagel. It's fantastic. I'd highly recommend. What did it feel
[34:51.720 --> 34:59.140]  like to stand in line and order your own creation for this? It's funny you say that, Geoff. They have
[34:59.140 --> 35:03.980]  sold out every day like they've been so popular. It's been amazing. Like they've gotten so much
[35:03.980 --> 35:08.680]  love from the community and just well, our community and just the community in which I live in
[35:08.680 --> 35:13.320]  generally. Yeah, they have so much support. They're selling out all the time. Their lines.
[35:13.320 --> 35:20.300]  So I decided I was going to go there super early. They open at 8 a.m. I left to go there and I was
[35:20.300 --> 35:26.100]  in line at 7 a.m. Like I'm going to be the first person in line. Did they open early and sell all
[35:26.100 --> 35:37.800]  the bagels to you and then everyone in the line was pissed off? No. I did not have a whole lot of
[35:37.800 --> 35:44.460]  people mad at me. This is a great face on me, though. This is a classic. So I show up at 7 a.m.
[35:44.740 --> 35:48.120]  When do you think the next person showed up to join this line that I'd created?
[35:48.560 --> 35:59.240]  7.58. 7.58? 7.43 was the next. I spent 43 minutes in a line of one. 43 minutes just by myself.
[35:59.380 --> 36:06.460]  Then a couple, a couple showed up at 7.43. They were behind me. And then one other group showed
[36:06.460 --> 36:11.760]  up at 7.52, when we were let in a little bit early. They opened up at 7.52. They typically
[36:11.760 --> 36:19.220]  opened up at 8. I got there an hour early for a three-person line. But I got all my stuff.
[36:19.400 --> 36:24.420]  I ordered all the bagels. I ordered the challah bread. I got the regulation bagel. I was so happy.
[36:24.580 --> 36:29.440]  It was a great experience. Ever since they've opened, they have sold out every single day by
[36:29.440 --> 36:35.800]  noon. The only day they haven't sold out was the day that I showed up at 7 a.m. I think they may
[36:35.800 --> 36:39.900]  have sold out before it closed. But it was like they went the whole day with bagels. So it was
[36:39.900 --> 36:44.600]  just a quiet day. The one day that I showed up an hour early, it wouldn't have mattered. I could
[36:44.600 --> 36:50.680]  have come later in the day. How were the line pleasantries? There was really a non-existent
[36:50.680 --> 36:53.740]  line. There were not great line pleasantries. You didn't talk to the other couple?
[36:53.800 --> 36:56.280]  You didn't try to... I would have tried to push the regulation bagel. You'd be like,
[36:56.360 --> 36:59.140]  hey, have you guys been here before? I hear there's this thing called the regulation bagel
[36:59.140 --> 37:02.820]  that everybody's trying. Yeah, like a secret. I love when you order it in, it comes in on the
[37:02.820 --> 37:09.180]  menu as secret regulation bagel is how it's categorized. It's fantastic. It's been awesome
[37:09.180 --> 37:14.260]  seeing people take photos with their regulation bagels. It's delicious. And yeah, it's great.
[37:14.920 --> 37:18.300]  Not great line pleasantries, though. It was cold. I'd been there for like 40,
[37:18.740 --> 37:23.040]  42 minutes just with shorts. It was just freezing. I was so cold.
[37:24.100 --> 37:29.280]  How'd the ankles hold up? You know, I got a little... I kind of pulled... I pulled something
[37:29.280 --> 37:34.360]  a little bit, but we're OK. We're fine. I was worried. I was sitting in front. Like you kind
[37:34.360 --> 37:38.100]  of walk up to the store and a person walked by with their dog and I thought they were going to
[37:38.100 --> 37:41.320]  go into the line. So I was like, fuck, I need to be in line. I want to be the first one in.
[37:41.500 --> 37:45.220]  And so I immediately shot up and twisted and I felt like a little tightness in the Achilles.
[37:45.400 --> 37:48.720]  I was like, I'm a fucking idiot, but I'm good. I'm good. No issues. We're all fine.
[37:49.900 --> 37:52.540]  100 percent. Push the marathon another six months.
[37:54.320 --> 38:00.760]  And you got up too fast to get a bagel. I did not even to get a bagel to hold the line,
[38:00.840 --> 38:06.520]  to maintain my status in line as the first person to go in. Oh, Eric's got a good point.
[38:07.300 --> 38:15.660]  Gab, you pick. Five. Oh, one, two, three, four. OK, here we go. OK, this one's still...
[38:15.660 --> 38:20.340]  this is frozen as well. Oh, fuck. I'm so nervous.
[38:49.720 --> 38:52.520]  Oh, God.
[38:52.540 --> 39:02.280]  I just feel like I won a game of Battleship. You sank our panting. Oh, my God.
[39:07.160 --> 39:12.920]  And you did not dodge the ball. Oh, my God. That sucks so much.
[39:14.000 --> 39:20.060]  Direct hit. Direct fucking hit, Gavin. Face brushing roulette.
[39:20.060 --> 39:21.520]  Oh, you're taking another bite.
[39:26.180 --> 39:28.860]  I drooled. I drooled on myself.
[39:32.220 --> 39:38.180]  Fucking criminals. Who likes that? Well, nobody has it like that, you fool.
[39:40.340 --> 39:44.600]  Describe the taste. It's beefy. It's very beefy.
[40:02.600 --> 40:10.720]  Oh, my God. I can taste it in my mouth. That's why you taste things.
[40:11.400 --> 40:19.060]  No, but like, it still is poignant. Oh, my God. It's the taste hasn't left. It's still there.
[40:19.680 --> 40:23.040]  So it's nine out of ten for Seven Up. What was this one?
[40:24.780 --> 40:33.460]  Negative six. That's... you can't. No, it was bad. I just did. There's no way that's worse than
[40:33.460 --> 40:41.920]  frozen sour cream. We'll find out potentially. Oh, Jesus Christ. I think Nick's onto something.
[40:42.100 --> 40:47.640]  We should call it the... put it in chat. Freezy Beefy. We should call it the Freezy Beefy Barf Pop.
[40:49.960 --> 40:53.040]  Oh, my God. We should make a bunch and give them to kids at Halloween.
[40:53.520 --> 40:58.120]  No, man. I need to see the picture. I'm sending it right now. Oh, yeah, please, please.
[41:00.540 --> 41:05.440]  Oh, Jesus Christ. Eww. It looks fizzy.
[41:07.300 --> 41:12.500]  I could have believed that would be the frozen soda. Yeah, it looks like a Coke. That's what
[41:12.500 --> 41:16.280]  I kind of thought when I could see it. I wasn't sure if it would be frozen Coke or Bovril,
[41:16.280 --> 41:23.520]  and I would probably assume that that was the Coke. Like a 50-50 draw. Oh, oh, God. That was
[41:23.520 --> 41:28.920]  so bad. Well, if you need to be warmed up, I know of a good drink you can have. Yeah, maybe next
[41:28.920 --> 41:37.100]  time. Next episode. Stick that in the Keurig. Oh, my God. Well, that was amazing. Oh, Jesus.
[41:37.620 --> 41:46.060]  We still got four more. Yeah, I tell you what, I feel bad for you. Let me go ahead and... why
[41:46.060 --> 41:54.060]  don't you wash the taste out of your mouth? Oh, no. Okay. This one's also frozen. Oh, that's a good
[41:54.060 --> 42:02.160]  one. That's got to be refreshing. Oh, this is great. There you go. That's cool.
[42:17.040 --> 42:25.060]  How the fuck? What a great game. Oh, God damn. So you had a good time in Europe, Geoff?
[42:25.580 --> 42:29.780]  I did. I had a great time in the UK. I did all the... it was Emily's first time going,
[42:29.960 --> 42:36.020]  so we did all the tourist stuff. And I did... Oh, my God. Have you guys ever seen a musical?
[42:36.620 --> 42:44.480]  Oh, they're pretty cool. Yeah. I saw Phantom of the Opera because I found out that even though
[42:44.480 --> 42:49.840]  my girlfriend had been dating for almost five years, she had been harboring a secret that she
[42:49.840 --> 42:56.040]  had never admitted to me. And that secret was, she is the world's largest Andrew Lloyd Webber
[42:56.040 --> 43:02.300]  fan. And she can sing every song from every Andrew Lloyd Webber musical. So the second she
[43:02.300 --> 43:06.460]  found out we were going to London, she got us tickets to see Phantom of the Opera, which I knew
[43:06.460 --> 43:14.280]  nothing about. Wow. Zero, zero about. And so now I know everything about it because I saw it.
[43:14.320 --> 43:19.280]  Was it about a burn victim? Yeah, it's about a burn victim and a hospital ward. Yeah. And they...
[43:20.040 --> 43:25.840]  No, it's about a phantom who lives in an opera house and haunts a play. But there's this giant
[43:25.840 --> 43:31.180]  chandelier. Whole thing's about a chandelier, basically. And that's a big moment. But at this
[43:31.180 --> 43:34.560]  theater, which is the theater that originally... it's like the... I don't know what it's called,
[43:34.560 --> 43:39.780]  like the Queen Victoria Theater or some shit. And it was... it's played there every day since
[43:39.780 --> 43:47.400]  1984. She bought this $60 VIP experience. And because we were the only people who got that
[43:47.400 --> 43:53.260]  experience, probably because the play's been out for 106 years, they gave us an upgrade.
[43:53.600 --> 43:58.740]  And there's a little room off to the side that was built for Queen Victoria when she would go to
[43:58.740 --> 44:05.360]  plays. And then Lady Di apparently was a huge Phantom fan. And so that was the room she would
[44:05.360 --> 44:11.060]  hang out in. So we got to hang out in a little room off to the side by ourselves where it was like
[44:11.060 --> 44:16.460]  real gold on the walls and shit. And I got to use the same toilet that Lady Diana used when she would
[44:16.460 --> 44:21.020]  go see Phantom of the Opera. Did you poo? No, I just peed. I just peed. I don't want to be
[44:21.020 --> 44:31.160]  disrespectful to the crown. So I just tinkered. But yeah, I have hung out in similar circles as
[44:32.220 --> 44:36.780]  British royalty now. I've not seen a lot of musicals. I saw Cats and it was a boring piece
[44:36.780 --> 44:43.540]  of shit. Mamma Mia was better. A movie? Are we talking movies? No, the musical. Okay, I'm just
[44:43.540 --> 44:48.260]  asking. Mamma Mia was better because it had ABBA songs, but that was about it. I can't do ABBA.
[44:48.260 --> 44:55.460]  Not an ABBA fan? What's wrong with ABBA? I have a childhood memory associated to ABBA and I just
[44:55.460 --> 45:03.220]  can't. I can't consume ABBA. I've avoided ABBA my whole life. Go ahead. Yeah, would you like to?
[45:03.560 --> 45:07.900]  I'm willing to talk about it for sure. Do you want to guess? You were at a wedding.
[45:08.620 --> 45:17.240]  Dancing Queen came on. No. No. There was a kid who threw a birthday party
[45:18.140 --> 45:24.960]  at school. He had his birthday party during class hours and he was very musical. I don't know,
[45:25.080 --> 45:30.840]  but he pulled it off and he was very musical. He loved singing and he decided to do a rendition
[45:30.840 --> 45:37.580]  of ABBA's Golden... what was it? Eyes, the eye song. Pretty Eyes, Golden Eyes. What's the ABBA
[45:37.580 --> 45:43.780]  song? Golden Eyes? Angel Eyes. That's what I was looking for. How does that go? They say Angel Eyes
[45:43.780 --> 45:48.680]  a lot. That's all I remember about it. But they did a performance of Angel Eyes in front of the
[45:48.680 --> 45:54.480]  entire class and it did not go well. It was one of the most awkward, uncomfortable things I've
[45:54.480 --> 45:59.120]  ever had to witness that I felt terrible about. And because of that, whenever I hear ABBA,
[45:59.120 --> 46:04.940]  I immediately just go to that memory and I just did awkward and uncomfortable. So I've not been
[46:04.940 --> 46:09.000]  able to enjoy. Mamma Mia might be tough for me. I've avoided Mamma Mia because of that.
[46:09.340 --> 46:14.880]  I don't know Angel Eyes by ABBA. I think somebody... was Nick just posted a link to Angel Eyes? Yeah.
[46:15.320 --> 46:19.600]  It's... I don't know if it's a hit. I'm not familiar really with their catalog because
[46:19.600 --> 46:26.320]  of that experience. But whenever I hear ABBA, I get taken back to grade four, grade four or five,
[46:27.060 --> 46:32.900]  watching this rendition of Angel Eyes and just cringing. It did not go well.
[46:33.660 --> 46:37.380]  We got to get you back into ABBA. We got to get an ABBA redemption for you.
[46:37.900 --> 46:41.060]  If you give me an ABBA, I'm willing to try. Fernando is like a top ten all-time song.
[46:41.720 --> 46:47.120]  What is? Oh, Fernando? Yeah. Fernando, yeah. Even that has been tainted. It's unfortunate that ABBA
[46:47.120 --> 46:50.660]  has been tainted for me, but it's just I can't... I can't get around it. Or at least I haven't been
[46:50.660 --> 46:56.420]  able to yet. Great band, though. Just I can't... can't do it. I don't think I've ever seen...
[46:57.100 --> 47:02.340]  does it count if you watch like a streamed musical? Like I went to the theater and watched
[47:02.340 --> 47:09.500]  a streamed version of Company when Colbert was, I think, the lead at that time. But I've never been
[47:09.500 --> 47:14.700]  to like a proper musical, like in the... in the place. Have you ever been to a musical, Geoff?
[47:14.720 --> 47:19.900]  Is this your first in-person musical? I've been to a lot of theater in my life, but I don't think
[47:19.900 --> 47:25.340]  I've ever been to a musical before. Yeah. I can't imagine the circumstances that would have led me
[47:25.340 --> 47:34.360]  to see a musical by choice up until this moment. So yeah, I... this is my first time. I've quite...
[47:34.360 --> 47:40.000]  quite enjoyed it, though. That's great. So you're now open to going to like more musicals? You're
[47:40.000 --> 47:46.180]  gonna become a musical guy, potentially? No, for instance, regular fan Jack found out we were going
[47:46.180 --> 47:51.500]  to see... found out we were going to see Phantom of the Opera and he said, oh, that's great. I'm
[47:51.500 --> 47:55.580]  gonna go see the Back to the Future musical tomorrow. You should come with me. And I was like,
[47:55.600 --> 48:01.340]  it's not gonna happen. So no, I don't think so. I think it'd be very specific. To share the
[48:01.340 --> 48:06.260]  experience with my girlfriend and only... only a musical that she has vetted. I don't want to see
[48:06.260 --> 48:11.960]  pop culture. That is... yeah, that's fair. I also feel like it's a different thing. I'm more interested
[48:11.960 --> 48:17.980]  in seeing a musical that was crafted as a musical as opposed to anything that was adapted from a
[48:17.980 --> 48:22.680]  movie into a musical. It may be amazing, but it's just... it's that I'm... if I'm getting into
[48:22.680 --> 48:28.380]  musicals, I want to hit like the musical part first instead of... Yeah, well, to be fair, I think
[48:28.380 --> 48:34.540]  Phantom is a... was a rendition of a old early 1900s movie that was based off a book. But it's...
[48:34.540 --> 48:38.280]  I mean, I think that when you think of Phantom of the Opera, you think of this play. There are
[48:38.740 --> 48:43.320]  Andrew Lloyd Webber. Absolutely. It's synonymous with it. So I think he kind of owns that story at
[48:43.320 --> 48:48.260]  this point. But I'll probably see like Les Mis. Like apparently my girlfriend's big on that one,
[48:48.340 --> 48:52.160]  so I'll probably have to have to sit through that at some point. That's not a bad one. I've
[48:52.160 --> 48:56.440]  only seen the movie, but it was enjoyable. Yeah, I've seen none of it, so it'll be fresh for me.
[48:57.140 --> 49:02.200]  I saw the first half of the Gerard Butler Phantom of the Opera. I didn't finish it,
[49:02.240 --> 49:06.020]  though. I don't remember anything about it. I walked out halfway through and went into Fat
[49:06.020 --> 49:10.100]  Albert that was playing at the time. That was much more my speed. I had a much better time at
[49:10.100 --> 49:17.600]  Fat Albert. Kenan Thompson's live action Fat Albert. Kenan Thompson's going to be the most
[49:17.600 --> 49:23.260]  mentioned person on this podcast. I didn't even think about that. I would imagine so, yeah.
[49:24.460 --> 49:28.040]  I wonder if somebody could go do and do a person count. It'd be him.
[49:28.440 --> 49:34.260]  Coolio gets mentioned a lot. Oh, we need to guess another for the previously on guy.
[49:34.260 --> 49:39.300]  That's a great point. I had that in my notes. Do you two have any questions you would like to ask
[49:39.300 --> 49:44.140]  before making your guess? Seeing a lot of comment leavers say it's like Caleb or Drew Saplin. It's
[49:44.140 --> 49:47.740]  neither of them. Neither of those. I don't I don't think I've ever heard this voice before.
[49:48.280 --> 49:53.120]  It sounds like someone from the West Coast. OK, I mean, are you just stating that? Is that a
[49:53.120 --> 49:58.120]  question for me or? OK, you're just you're speaking out loud. I sort of have forgotten
[49:58.120 --> 50:03.440]  the questions I've already asked about. Yeah, it's rough doing this every couple of weeks.
[50:04.540 --> 50:08.660]  Uh, all right, Gav, you go first. Can I have an official question first?
[50:09.400 --> 50:12.720]  I don't know what that means. Yeah, of course you can ask a question and then you can make
[50:12.720 --> 50:19.180]  your guess. What season of F*** Face are they a part of? Oh, Jesus Christ. You expect me to
[50:19.180 --> 50:26.280]  remember the catalog, our absurd season system? We're in season four right now, correct? Yeah.
[50:26.400 --> 50:33.640]  Uh huh. I would assume that they were in season two. OK, OK. Pretty early on.
[50:34.260 --> 50:38.100]  I feel like season two went on a long time. I feel like that's covering a lot of ground. Season
[50:38.100 --> 50:43.820]  three was what? Three episodes? So. Uh, I don't even think. Yeah.
[50:47.880 --> 50:56.020]  Is it Roadmaster 74? I don't know. Who is Roadmaster 74? I don't know. I remember Geoff
[50:56.020 --> 51:00.660]  saying it. No, it is not Roadmaster 74. Geoff, do you have any questions?
[51:02.640 --> 51:07.440]  I mean, I would like to know who Roadmaster 74 even f***ing is and why I would have said that name.
[51:07.780 --> 51:11.420]  I only know that name because you were saying you were like, I'm going to say Roadmaster 74.
[51:11.860 --> 51:14.500]  I'm going to keep saying his name Roadmaster 74. And then you
[51:14.500 --> 51:16.760]  immediately got his name wrong. And like the next time you mentioned.
[51:20.180 --> 51:29.100]  Uh, is it is it somebody who appeared on the the F*** Face Christmas album? No. OK. Oh,
[51:29.100 --> 51:33.940]  were they in F*** Face? Can't ask two questions. You already asked. You asked earlier.
[51:34.240 --> 51:38.460]  Remind me to ask that next time. Is it the person who? Because I can I can now ask.
[51:38.700 --> 51:43.280]  So that was my question. Now, can I make a guess? You can make your guess. I guess it's
[51:43.280 --> 51:50.760]  the person who played Gavin in the F*** Face recording. That was a female voice. That was
[51:50.760 --> 51:55.280]  a Welsh woman. Yeah. So that's that's a no. That's a no on that one. But I appreciate your shot.
[51:58.820 --> 52:02.460]  Damn. I think you could argue that was the worst guess by far. Like,
[52:02.740 --> 52:05.700]  I don't think there's who's arguing.
[52:08.440 --> 52:12.600]  I was going to say, I feel like you asked the same question back to back or Gavin wasn't.
[52:12.740 --> 52:16.520]  There's something where you guys both asked the same question. I think that was worse than that.
[52:16.620 --> 52:21.940]  No, that was one when Nick asked the same. Oh, OK. That's what it was. Yeah. Nick missed it.
[52:21.940 --> 52:26.600]  I have a question. But while Gavin's asking that question, why don't you go ahead and eat the
[52:26.600 --> 52:32.580]  fourth pop? Oh, yeah. Number four. OK. Yeah. Geoff, while Andrew's eating that,
[52:32.660 --> 52:38.920]  you were a Game of Thrones fan, right? Yes, I was. Yeah. Oh, no. How do you pronounce this name?
[52:39.680 --> 52:48.440]  Hold on. Oh, no. That's Anus Targaryen. OK. Oh, no. I don't remember that character from the show.
[52:48.440 --> 52:51.800]  I don't either, but that's, I'm pretty sure that's Anus. Yeah.
[52:54.860 --> 53:02.840]  George RR Martin's taking the piss. Yeah. Yeah. Well, Anus Targaryen, first of his name.
[53:07.620 --> 53:14.100]  Yeah. It went, uh, according to this, when Aegon Targaryen,
[53:14.240 --> 53:16.940]  Anus Targaryen, and then back to Aegon Targaryen.
[53:17.340 --> 53:21.940]  So we have a problem. This family tree's a mess. Oh, OK. I pulled it. Is it non-frozen?
[53:22.460 --> 53:31.200]  I pulled it. That looks like sour cream. Oh, it's all the smell. I just got hit with smell.
[53:32.060 --> 53:38.300]  Oh, it's sour. Scoop it out. Oh, you're gonna have to spoon it. I fucking hate you,
[53:38.420 --> 53:44.220]  Gavin. You're two for two on bad. Geoff, did you pick that? No. Yeah, I picked that one. You did?
[53:44.220 --> 53:49.280]  I don't even. Yeah, I picked it. I apologize. You can still hate Gavin. That's fine.
[53:50.400 --> 53:57.320]  OK, I guess I'll try to scoop it out. Yeah. Yeah. God. OK. Oh, this this like it's like
[53:57.320 --> 54:02.560]  soft, soft serve salad cream. It's that Bastro salad cream. Oh, is that batter?
[54:03.080 --> 54:05.300]  It could be batter, but it looks like bat cream.
[54:06.700 --> 54:10.620]  A pancake. It's pancake batter. Thank you. Yeah, that's probably quite yummy then.
