[00:00.000 --> 00:00.440]  You ready to go?
[20:06.290 --> 20:07.290]  Oh, so shit.
[20:08.350 --> 20:11.550]  I can't even call it the snap feature now because it's the Switch now.
[20:12.010 --> 20:14.010]  The Switch owns the word snap, I would say.
[20:15.470 --> 20:17.830]  They snap exclusively.
[20:17.830 --> 20:19.590]  Have you not watched like a Nintendo Direct?
[20:19.810 --> 20:22.710]  Like they're constantly fucking snapping their fingers between games.
[20:23.150 --> 20:23.550]  No.
[20:24.450 --> 20:25.450]  Real? Oh, my God.
[20:26.270 --> 20:27.770]  You're missing out on all the snap content.
[20:28.230 --> 20:29.750]  Yeah, I'm behind on my snap.
[20:30.810 --> 20:32.590]  He didn't make the jump to serious, I guess.
[20:33.010 --> 20:34.470]  Hernandez hits, hits.
[20:34.730 --> 20:35.910]  It would be really cool.
[20:36.490 --> 20:37.290]  Abraham Toro.
[20:37.490 --> 20:41.510]  I don't know, but it would be really cool if you went to a baseball game,
[20:41.610 --> 20:44.810]  didn't know they were taking a photo and found yourself in the background.
[20:45.310 --> 20:47.090]  Like if you just opened a pack.
[20:47.370 --> 20:50.990]  Yeah, and you just found your out of focus, sweaty, hot doggy in the face.
[20:51.350 --> 20:52.530]  Yeah. Hey, that's me.
[20:52.530 --> 20:54.790]  That guy in all blue, that's a guy.
[21:01.920 --> 21:04.900]  You know how sometimes they pitch a ball and it just obliterates
[21:04.900 --> 21:06.000]  a pigeon that's flying by?
[21:06.620 --> 21:08.360]  Yeah. I wonder if that ever made it on a card.
[21:11.120 --> 21:14.560]  Oh, yeah, one of 25 pigeon feathers.
[21:14.740 --> 21:16.960]  Oh, that's cool. Yeah, he was a padre last season.
[21:17.260 --> 21:19.100]  Didn't get a hit for a very, very long time.
[21:19.100 --> 21:21.960]  Something about that baseball helmet makes Eric look really tiny.
[21:24.260 --> 21:28.340]  It like has shifted his entire perspective, like is his profile.
[21:30.720 --> 21:34.220]  And maybe that's just me, but I feel like he's shrunken in size
[21:34.220 --> 21:35.000]  when putting on that helmet.
[21:38.180 --> 21:39.800]  Yeah, they got to wait right to the end.
[21:41.060 --> 21:42.000]  Yeah, they said that.
[21:43.500 --> 21:45.160]  But now I'm starting to believe him.
[21:46.360 --> 21:48.280]  You didn't believe it from the beginning?
[21:49.100 --> 21:49.480]  Oh, wow.
[21:52.640 --> 21:54.800]  He's in so much trouble.
[21:58.500 --> 22:02.120]  Have you used the the twisty straw or whatever?
[22:02.300 --> 22:04.880]  What is the name of those crazy straws?
[22:05.080 --> 22:06.080]  I have not used it yet.
[22:06.400 --> 22:07.700]  Didn't you say it was dog shit?
[22:08.800 --> 22:11.440]  Well, it's it's like it works as intended.
[22:13.480 --> 22:15.620]  I really want us to try to race using it.
[22:17.160 --> 22:18.500]  Yeah, a full gerbler chug.
[22:19.140 --> 22:21.280]  A full gerbler chug, I think would be really funny.
[22:22.240 --> 22:25.880]  Also, Gracie hasn't done a soda chug, and I feel like that it's a must
[22:25.880 --> 22:27.340]  if you're going to be involved with us.
[22:27.700 --> 22:29.560]  Yeah, I want to just do like Gracie's gauntlet.
[22:30.160 --> 22:30.560]  Yeah.
[22:33.200 --> 22:34.780]  Gracie's gauntlet is a great name for it.
[22:36.920 --> 22:39.660]  Oh, I'm an idiot.
[22:39.920 --> 22:41.060]  I got to rewind back.
[22:41.100 --> 22:42.720]  I never hit record on the capture.
[22:43.520 --> 22:44.340]  That was foolish.
[22:45.320 --> 22:45.600]  Yeah, it was.
[22:50.100 --> 22:51.340]  I'm doing that right now.
[22:51.340 --> 22:52.640]  Yeah, we're back to life.
[22:54.040 --> 22:55.240]  It's a great feature, that.
[22:55.880 --> 22:57.300]  Oh, I would be.
[22:57.500 --> 22:59.300]  We would have lost so many videos.
[23:00.540 --> 23:06.120]  Speaking of which, did you ever find the Halo 2 thing that we made like in August?
[23:08.980 --> 23:10.320]  Yeah, it was on an iPad.
[23:11.300 --> 23:12.520]  Oh, that's awesome.
[23:13.080 --> 23:16.700]  I was going to export it the other day, and then my subscription
[23:16.700 --> 23:19.560]  to Final Cut on iPad has expired, so I need to renew it.
[23:19.560 --> 23:19.980]  No!
[23:21.680 --> 23:25.500]  So you have to get a new subscription to get that video off of it?
[23:25.500 --> 23:28.560]  I basically have to pay to export a video I edited a month ago.
[23:29.120 --> 23:30.280]  Oh, my God.
[23:30.920 --> 23:31.940]  How much is it?
[23:32.980 --> 23:34.560]  Uh, I think it's like
[23:35.960 --> 23:37.180]  15 bucks a month or something.
[23:37.800 --> 23:38.540]  OK, that's not bad.
[23:38.920 --> 23:39.360]  Not too bad.
[23:40.060 --> 23:42.180]  Is Final Cut, do they do...
[23:42.180 --> 23:42.820]  It was a free trial.
[23:43.160 --> 23:43.820]  You can buy it out?
[23:45.480 --> 23:46.260]  I don't know.
[23:46.460 --> 23:48.520]  Because the last time I got a Mac,
[23:48.520 --> 23:50.380]  I had it installed on it.
[23:50.480 --> 23:53.020]  I had to pay like an additional 400 or whatever to have it in.
[23:53.420 --> 23:55.680]  Yeah, on the Mac, it's like a $300 one off.
[23:58.620 --> 23:59.680]  Oh, I see.
[23:59.940 --> 24:03.360]  But since the iPad is like a situation, yeah, it's a newer product.
[24:03.420 --> 24:06.220]  And nobody wants you to own anything anymore.
[24:06.300 --> 24:08.580]  They want you to rent it.
[24:08.820 --> 24:15.540]  I don't mind it for games only because you need online connectivity for games.
[24:16.300 --> 24:18.460]  Like the idea that like owning your games
[24:18.460 --> 24:22.100]  physically preserves them in some way just doesn't work anymore.
[24:23.080 --> 24:23.160]  Right.
[24:23.280 --> 24:26.640]  Like it did on like the Super Nintendo or whatever GameCube.
[24:27.840 --> 24:29.360]  But everything else that sucks with.
[24:29.880 --> 24:30.660]  I love Game Pass.
[24:31.640 --> 24:33.920]  Isn't it crazy that they used to ship cartridges
[24:34.580 --> 24:37.220]  which were very expensive to make, and then that was it.
[24:37.300 --> 24:38.260]  You couldn't patch it.
[24:39.200 --> 24:40.580]  You had to just nail it.
[24:41.660 --> 24:45.060]  Yeah, it's like people, whenever a game gets delayed,
[24:45.060 --> 24:49.660]  likes to, people like to post that thing of what's his name, the Mario guy.
[24:50.540 --> 24:52.440]  The quote that isn't his where it's like,
[24:53.220 --> 24:56.420]  if you if a delayed game is only delayed for a time,
[24:56.500 --> 24:57.960]  but a broken game remains broken.
[24:58.380 --> 25:00.120]  And so that doesn't, it's not how that works now.
[25:00.400 --> 25:01.500]  That's so not true.
[25:01.640 --> 25:03.880]  That that doesn't apply at all.
[25:09.200 --> 25:11.360]  Oh, we got Japanese Donald Duck.
[25:14.220 --> 25:15.340]  This is some Jack shit.
[25:15.340 --> 25:16.900]  I don't know anything. What's going on?
[25:19.640 --> 25:23.440]  Um, what was I going to talk to you about a minute ago?
[25:23.480 --> 25:26.500]  We're talking about they had an animated item, bro.
[25:32.140 --> 25:33.560]  I don't know what that is.
[25:35.920 --> 25:36.920]  Beep, beep the atom.
[25:36.920 --> 25:38.360]  These are really cool.
[25:40.240 --> 25:41.340]  It's no ratty boy.
[25:41.580 --> 25:42.600]  I'll tell you that much.
[25:43.180 --> 25:44.920]  Mickey and friends, cheerful time.
[25:44.940 --> 25:46.540]  Oh, we never got an update on Raty boy.
[25:46.800 --> 25:48.060]  These Disney cards are going to make me.
[25:48.680 --> 25:51.220]  I don't know when this will come out, so I can't.
[25:51.280 --> 25:52.680]  OK, is that for Thursday?
[25:52.820 --> 25:54.980]  But I do have one. OK, this is.
[25:56.000 --> 25:56.880]  Panchita pistols.
[25:57.000 --> 25:59.320]  I feel like that's offensive.
[25:59.480 --> 26:00.240]  Here's a Pluto.
[26:00.880 --> 26:03.480]  I feel like that's the dangerous thing about doing old Disney
[26:03.480 --> 26:05.080]  animated stuff like this is.
[26:05.460 --> 26:08.060]  I mean, I'm assuming they curated it and it's a new product.
[26:08.180 --> 26:11.300]  But if you were to just pull from what was acceptable at the time.
[26:12.200 --> 26:15.020]  Yes, you'd have to look at it with the the eyes of the time.
[26:17.340 --> 26:20.120]  That doesn't always work, though, depending on the content.
[26:21.560 --> 26:23.840]  You cannot always trust the eyes of even the time
[26:25.120 --> 26:27.240]  based on what is no longer on Disney plus.
[26:28.680 --> 26:31.040]  Yeah, it's a good measuring stick killer.
[26:33.540 --> 26:34.880]  Fuck, I was so I'm so mad.
[26:34.880 --> 26:36.540]  I was excited to talk to you about something.
[26:36.660 --> 26:38.440]  I don't remember. Was it the Beagle Boys?
[26:39.860 --> 26:41.500]  It was the Beagle Boys.
[26:42.540 --> 26:44.920]  So this is kind of like the book we did of where it's like one.
[26:47.380 --> 26:50.800]  I, I learned last night and I'm going to test it when we're done here.
[26:51.260 --> 26:55.160]  That there is a thing on EA, EA Sports games called Game Face.
[26:55.540 --> 26:59.220]  You know how like you could scan your face for Rainbow Six Vegas in the past?
[26:59.820 --> 27:02.500]  EA and I've never seen anyone talk about this
[27:02.500 --> 27:07.640]  has a thing called Game Face where you can scan a photo of your face
[27:07.640 --> 27:10.600]  and then use it as create a characters.
[27:10.880 --> 27:12.900]  And Geoff did that, didn't he, in that basketball game?
[27:13.780 --> 27:17.240]  He did, but that was like a phone app thing, I think.
[27:17.700 --> 27:20.780]  This is like you save a photo online
[27:21.300 --> 27:24.240]  and then you can import your like create a fighter UFC
[27:24.240 --> 27:26.900]  using the face that you scanned on your computer.
[27:27.280 --> 27:32.320]  So I am we we we have some things we could possibly do with that
[27:32.320 --> 27:33.580]  that I'm very excited about.
[27:42.340 --> 27:43.800]  Have you played trucks recently?
[27:44.500 --> 27:46.340]  No, I haven't done anything recently.
[27:47.080 --> 27:48.540]  I've been a just a little
[27:50.040 --> 27:53.280]  little editor, a little editing man.
[27:53.420 --> 27:55.440]  Yeah, just tiny little man editing.
[27:56.460 --> 27:59.200]  Do you still have a lot more editing work to do or have you kind of
[27:59.660 --> 28:01.360]  crossed over where you can do some editing?
[28:02.160 --> 28:05.780]  As of last night at 2 a.m., I'm not an editing man.
[28:06.180 --> 28:08.720]  God, hell yeah, man. At least for a week.
[28:10.780 --> 28:12.420]  What are you going to do with this new time?
[28:13.600 --> 28:16.040]  But I wouldn't call them absolutely nothing.
[28:16.080 --> 28:18.720]  I got clean, clean.
[28:18.980 --> 28:20.200]  Yeah, I got to do some cleaning.
[28:21.640 --> 28:24.620]  I guess so behind Fisher, if you want to.
[28:24.700 --> 28:27.500]  Oh, yeah, that's actually that'll relate to my injury.
[28:27.700 --> 28:29.940]  It's funny. It was a cleaning injury.
[28:30.980 --> 28:32.580]  Maybe I'm not going to spoil anything.
[28:32.700 --> 28:34.140]  Maybe that had a factor in it.
[28:34.260 --> 28:36.980]  See, now I'm imagining like you as a cartoon
[28:36.980 --> 28:39.660]  slipping on a mop and you end up standing on the mop.
[28:39.660 --> 28:43.420]  But this the slick of the mop ends up sliding around the room
[28:43.420 --> 28:45.760]  and you're just like riding in the mop, you know?
[28:46.460 --> 28:48.440]  Whatever they they're doing fine.
[28:49.520 --> 28:51.060]  Yeah, but we're struggling.
[28:51.300 --> 28:52.880]  We don't know. I don't think that happened.
[28:53.000 --> 28:53.560]  Here's a pack.
[28:53.680 --> 28:56.300]  We'll see. And then a bucket falls on your head and you can't see.
[28:58.320 --> 28:58.860]  You drown.
[28:59.220 --> 29:01.360]  Turns out I'm in Kevin McAllister's house.
[29:01.980 --> 29:02.940]  Yeah, of course.
[29:03.120 --> 29:05.780]  Who hasn't had a beer there?
[29:06.080 --> 29:09.380]  I would rather accidentally break into the Terminator's
[29:09.380 --> 29:11.080]  house than Kevin McAllister's house.
[29:11.980 --> 29:13.640]  I don't think the Terminator has a house.
[29:14.060 --> 29:14.940]  That's a good point.
[29:16.540 --> 29:20.080]  If there's any movie character that doesn't need a house,
[29:20.140 --> 29:20.960]  it's probably the Terminator.
[29:21.360 --> 29:23.280]  Yeah, that was a terrible example.
[29:25.600 --> 29:29.460]  Do you ever think about...
[29:29.460 --> 29:31.780]  Oh, is it the Hellraiser box?
[29:32.420 --> 29:33.660]  I think so.
[29:33.760 --> 29:36.760]  They pulled like Blizzard cards.
[29:36.900 --> 29:37.740]  I think it's a Diablo thing.
[29:37.740 --> 29:38.700]  Last week.
[29:40.240 --> 29:44.700]  If you get killed by any famous movie character, fight them.
[29:44.880 --> 29:46.020]  Maybe you kill them.
[29:46.560 --> 29:47.300]  Who do you pick?
[29:47.980 --> 29:49.360]  A movie character that I can kill?
[29:49.860 --> 29:52.260]  Yeah, the Predator.
[29:54.500 --> 29:55.100]  Sauron.
[29:56.140 --> 29:56.740]  Really?
[29:57.900 --> 30:00.760]  I'd climb up that tower and I'd poke him in the eye.
[30:04.960 --> 30:06.660]  That giant flaming eye?
[30:06.660 --> 30:07.200]  Yeah.
[30:10.480 --> 30:15.620]  Do you ever see those Ben Stein commercials
[30:15.620 --> 30:18.180]  for the eye irritant drops?
[30:19.020 --> 30:19.460]  No.
[30:20.800 --> 30:23.180]  I haven't thought about those in a long time.
[30:23.320 --> 30:25.680]  It's like him being very boring on a beach.
[30:25.840 --> 30:28.560]  But it's like, if you use these eye drops, your eyes won't hurt anymore.
[30:29.080 --> 30:31.320]  Just imagining like an eye drop ad with Sauron.
[30:31.800 --> 30:35.160]  Was that just like a giant bucket of drops?
[30:35.880 --> 30:37.900]  Was that Ben Stein's real voice?
[30:38.040 --> 30:38.960]  Or was he putting that on?
[30:39.760 --> 30:41.140]  That's a great question.
[30:41.280 --> 30:42.700]  I've never heard him not do that.
[30:43.580 --> 30:44.980]  Yeah, I assume it's his voice.
[30:46.760 --> 30:48.100]  Wasn't he also in the mask?
[30:48.840 --> 30:49.800]  Was he?
[30:51.380 --> 30:54.000]  I mainly think of him as when Ben Stein's money.
[30:54.540 --> 30:57.040]  Let me look up what Ben Stein's IMDB is up to.
[31:01.120 --> 31:03.420]  Most known for Ferris Bueller's Day Off.
[31:05.160 --> 31:08.580]  I feel like if that is it, like if he is putting on a fake voice,
[31:08.600 --> 31:10.780]  that movie defined his entire personality.
[31:18.180 --> 31:19.860]  What is this from?
[31:21.000 --> 31:23.080]  He was in Son of the Mask and The Mask.
[31:23.200 --> 31:23.740]  He's in both.
[31:23.820 --> 31:26.000]  He might be the only character in both films.
[31:26.660 --> 31:28.980]  Because he's the guy, I think he's talking to
[31:30.680 --> 31:33.400]  Stanley about how it's the mask of Loki and
[31:33.960 --> 31:35.820]  what that means and all that mischief.
[31:35.940 --> 31:37.780]  I don't remember any of that.
[31:38.080 --> 31:38.880]  But it doesn't work.
[31:39.040 --> 31:41.260]  You can't put it on in front of him.
[31:41.520 --> 31:42.820]  You can tell he's not.
[31:43.400 --> 31:45.680]  Oh, he's he has 80 acting credits.
[31:45.840 --> 31:49.280]  That's more than the things he's known for are definitely smaller roles.
[31:50.060 --> 31:51.320]  He's known for four things.
[31:51.960 --> 31:55.680]  Ferris Bueller's Day Off, The Mask, Son of the Mask and Planes, Trains and Automobiles.
[31:56.600 --> 31:59.840]  And his roles in two of those are economics teacher
[31:59.840 --> 32:02.680]  and Wichita airport representative.
[32:03.400 --> 32:04.340]  Like very clearly
[32:06.300 --> 32:08.060]  characters that don't even have names.
[32:09.980 --> 32:11.520]  He was in Married with Children.
[32:12.020 --> 32:12.860]  That's pretty cool.
[32:13.100 --> 32:13.820]  Where did this come from?
[32:14.100 --> 32:16.840]  I'm going to because I know my phone near me.
[32:17.180 --> 32:19.440]  I'm going to slack you right now.
[32:19.980 --> 32:23.720]  One of the top photo for Ben Stein when you go on his IMDb page.
[32:25.340 --> 32:29.280]  OK, I would argue that it's it's the best photo I've seen.
[32:29.380 --> 32:31.900]  I don't know if maybe it changes every time you load his page.
[32:32.000 --> 32:32.880]  I hope not.
[32:32.880 --> 32:36.300]  I hope that everyone that looks at Ben Stein's IMDb is greeted
[32:36.300 --> 32:37.880]  with this beautiful.
[32:38.300 --> 32:42.020]  That's that's not what I meant to send at all.
[32:42.280 --> 32:45.100]  Delete message before you look at it.
[32:45.420 --> 32:48.140]  Oh, this. Oh, I got a sneak peek of something.
[32:49.020 --> 32:50.040]  A little sneak.
[32:51.000 --> 32:53.120]  You're having some sloppy pastes recently.
[32:53.340 --> 32:55.280]  I'm having some sloppy pastes.
[32:55.320 --> 32:55.660]  You're right.
[32:56.040 --> 32:56.580]  There we go.
[32:56.740 --> 32:57.700]  OK, look at that.
[32:57.860 --> 32:59.420]  Look at that beauty.
[32:59.540 --> 33:00.660]  What's going on there?
[33:00.820 --> 33:01.940]  Ben Stein in a chicken suit.
[33:02.880 --> 33:05.800]  Is he like the guardian of dog heaven?
[33:06.940 --> 33:08.160]  I think so.
[33:08.340 --> 33:10.720]  I it's I have no idea.
[33:10.740 --> 33:11.460]  Yeah, definitely.
[33:11.580 --> 33:13.800]  He's like the puppy heaven administrator.
[33:18.320 --> 33:20.740]  Episode Requiem for a Dead Briar.
[33:21.460 --> 33:26.600]  Oh, this is this episode just keeps on giving when you go to the.
[33:28.500 --> 33:31.980]  This is the image, Gavin, when you open the specific episode.
[33:31.980 --> 33:33.200]  On IMDb.
[33:33.520 --> 33:37.060]  Just a close up of his face with the chicken mask on.
[33:37.580 --> 33:37.980]  Wow.
[33:38.380 --> 33:39.060]  You know what?
[33:39.200 --> 33:40.540]  I think we will open some. Wow. Beautiful.
[33:40.820 --> 33:42.180]  Is he alive to the nuggets?
[33:42.300 --> 33:43.440]  I'm just excited for it.
[33:43.440 --> 33:44.700]  I got a special one for you guys.
[33:44.860 --> 33:45.940]  What? You guys are going to love this.
[33:46.000 --> 33:47.100]  Get to the nuggets.
[33:47.380 --> 33:48.160]  Listen to Eric.
[33:48.460 --> 33:49.000]  Get to them.
[33:49.220 --> 33:50.960]  They have 15 nuggets to open.
[33:51.100 --> 33:54.460]  Geoff, you're more than halfway through this fucking stream.
[33:55.540 --> 33:58.440]  I missed all the cheerleaders looking at pictures of Ben Stein as a chicken.
[33:59.160 --> 34:01.440]  Yeah, but you got to come back in for trolls.
[34:01.440 --> 34:02.340]  That's true.
[34:02.960 --> 34:03.480]  Jocko.
[34:04.000 --> 34:05.080]  Jocko fucks.
[34:06.580 --> 34:07.620]  Freddy Fibbler.
[34:08.040 --> 34:08.380]  Oh, Fibber.
[34:08.800 --> 34:09.320]  Freddy.
[34:09.520 --> 34:13.580]  Freddy Fibber looks and feels like a character you would come up with, Gavin.
[34:13.880 --> 34:15.820]  That'd be like a Stewart for you.
[34:16.140 --> 34:19.340]  Like if Stewart was personified, it's Freddy Fibber.
[34:22.920 --> 34:26.620]  Why is he holding it behind the picture of Emily and Eric?
[34:27.200 --> 34:29.040]  Because Geoff sucks at this.
[34:36.480 --> 34:40.710]  I mean, in fairness, this is a PTZ cam, so they could just pan it.
[34:42.040 --> 34:44.400]  Oh, you're going to get me in Jack trouble again.
[34:45.220 --> 34:46.940]  My my filming ignorance.
[34:48.080 --> 34:50.300]  Not knowing that there's an alternate solution.
[34:53.780 --> 34:55.700]  I actually kind of love these cards.
[34:56.240 --> 34:58.260]  These are so shitty and like the best way.
[34:58.260 --> 35:01.140]  His favorite pastime is chasing bunnies off the bunny slope.
[35:01.340 --> 35:02.660]  Oh, do ski bunnies.
[35:02.680 --> 35:03.140]  Why am I?
[35:03.380 --> 35:05.120]  Is a championship snow skier.
[35:05.200 --> 35:06.520]  He gives lessons at...
[35:06.520 --> 35:07.040]  Why are you what?
[35:07.740 --> 35:09.380]  Why am I watching on my own feed?
[35:10.000 --> 35:11.340]  I don't know. I'm watching.
[35:11.820 --> 35:13.360]  I'm watching on the shared feed.
[35:13.400 --> 35:15.080]  Yeah, I just had it next. It was had two up.
[35:15.320 --> 35:19.200]  He likes to race down the ski slopes at full speed while the other trolls cheer him on.
[35:19.360 --> 35:20.540]  I keep doing the same thing.
[35:20.760 --> 35:23.400]  I'm going to be honest when I'm trying to remember to look at the main screen.
[35:23.800 --> 35:25.280]  A couple of years ago, he's a proud of it.
[35:25.320 --> 35:26.220]  That's really good.
[35:26.940 --> 35:27.420]  Wait,
[35:28.960 --> 35:31.500]  Buck, do you know who Buck the dog is?
[35:31.760 --> 35:34.560]  Is that a famous dog or is that just in Finland?
[35:34.820 --> 35:37.520]  Because the plot of the episode is Buck, the dog dies in heaven.
[35:37.620 --> 35:40.220]  He is sent back to Earth as the Bundy's new dog, Lucky.
[35:41.240 --> 35:42.100]  Ted Bundy?
[35:44.300 --> 35:49.560]  No, I don't think Ted Bundy was part of the Bundy family.
[35:49.800 --> 35:52.980]  Shockingly, Married with Children would be a very different show
[35:52.980 --> 35:54.660]  if Ted Bundy was one of the kids.
[35:54.900 --> 35:55.820]  Theodore Bundy.
[35:55.820 --> 35:57.660]  They open up the pink box sometimes.
[35:58.280 --> 36:01.660]  Yeah, Bud Bundy, Al Bundy, Peggy Bundy, Kelly Bundy.
[36:01.680 --> 36:02.300]  I'm sorry about that one.
[36:02.740 --> 36:03.800]  No, Ted.
[36:04.020 --> 36:06.220]  Cops 2012 baseball.
[36:06.480 --> 36:07.160]  Holy shit.
[36:07.620 --> 36:08.860]  2012? 2012.
[36:09.500 --> 36:11.040]  Nobody cares about 2012.
[36:12.740 --> 36:14.400]  Get to the nugget, buddies.
[36:15.880 --> 36:18.020]  What if he doesn't get to it this episode?
[36:19.020 --> 36:19.920]  I will.
[36:21.200 --> 36:22.080]  Uh, let's see.
[36:22.200 --> 36:25.020]  I hate that you suggested that because that feels very possible.
[36:25.020 --> 36:28.720]  That is that would be the absolute Geoff thing to do.
[36:28.780 --> 36:30.820]  Yeah, if he pulled a Geoff.
[36:32.340 --> 36:33.020]  Yeah, wow.
[36:33.600 --> 36:34.620]  Oh, my God.
[36:34.880 --> 36:38.180]  Yeah, if he like Matt Damon's me and is like, well, I ran out of time.
[36:38.340 --> 36:39.240]  We'll do it next time.
[36:40.260 --> 36:44.500]  And yet the worst part is, is that like he would have constructed this the entire time.
[36:44.580 --> 36:47.420]  I can see fucking Geoff being like, oh, I'm going to.
[36:47.500 --> 36:50.900]  We'll do a bit where we pretend that we forget and then we throw it away
[36:50.900 --> 36:52.360]  because he knows I'm recording this.
[36:52.700 --> 36:54.240]  Well, why don't we just if that happens?
[36:54.240 --> 36:56.340]  Well, we'll just pretend we forgot.
[36:57.060 --> 36:58.220]  That's a great idea.
[36:59.400 --> 37:02.560]  I did ask Nick about it, and I think Nick is in the room right now.
[37:03.760 --> 37:04.700]  Oh, in that room.
[37:05.720 --> 37:09.800]  Yeah, I think that's why he's not here with us is that he had to go into the office,
[37:09.920 --> 37:11.240]  I think, to be part of this.
[37:11.660 --> 37:15.420]  I mean, if maybe if he doesn't get around to it, I could just go there and force him.
[37:15.640 --> 37:17.640]  OK, so should I put it in this big guy?
[37:17.720 --> 37:19.760]  I would. I'll slack Nick right now.
[37:20.300 --> 37:22.200]  So it's maybe pretty decent.
[37:23.900 --> 37:26.600]  Are you in the room?
[37:26.840 --> 37:29.940]  Because Eric probably isn't going to check his phone.
[37:40.160 --> 37:43.000]  I just realized I messaged Nick, are you in the room?
[37:43.060 --> 37:44.060]  But in no other context.
[37:48.880 --> 37:50.200]  I'm going to guess the answer is yes.
[37:51.020 --> 37:52.840]  He's definitely in a room.
[37:53.340 --> 37:54.820]  What are these creatures?
[37:55.940 --> 37:57.060]  What's with the papyrus?
[37:57.420 --> 37:57.640]  What's a plith?
[37:57.720 --> 37:58.400]  It's like Digimon.
[37:58.860 --> 38:01.760]  Oh, it's year 2000.
[38:02.660 --> 38:04.660]  Uh, Fire Chogo.
[38:04.940 --> 38:05.360]  Careful.
[38:05.860 --> 38:07.840]  Oh, these are like dollar store Pokemon.
[38:10.400 --> 38:11.460]  Fire Chogo.
[38:12.260 --> 38:14.200]  Oh, smite two.
[38:14.700 --> 38:16.340]  They made a second smite.
[38:17.160 --> 38:17.780]  Yeah, they did.
[38:17.920 --> 38:18.560]  We're going to play it.
[38:18.680 --> 38:19.380]  That's real game footage.
[38:20.220 --> 38:21.980]  Skip all my controllers off.
[38:22.260 --> 38:22.360]  Fuck.
[38:22.680 --> 38:22.760]  Oh, no.
[38:22.980 --> 38:24.140]  We're watching too much of the ad.
[38:26.600 --> 38:27.480]  Edit that.
[38:29.400 --> 38:31.040]  Sponsored by Smite 2.
[38:32.840 --> 38:34.100]  We'll take Smite 2 money.
[38:36.160 --> 38:37.920]  I actually liked the first smite.
[38:38.000 --> 38:39.100]  It just was beyond me.
[38:39.400 --> 38:41.460]  I felt like I got in too late to smite.
[38:42.640 --> 38:43.420]  I didn't.
[38:43.500 --> 38:44.700]  I don't enjoy any of those games.
[38:46.340 --> 38:47.800]  They're just not my bag, you know?
[38:48.060 --> 38:49.360]  You're not a MOBA guy?
[38:49.360 --> 38:50.000]  Not really.
[38:51.040 --> 38:52.140]  I tried and I sucked.
[38:55.180 --> 38:58.960]  Have you ever switched on a genre like you spent most of your life hating it
[38:58.960 --> 39:02.140]  and something something happened and now you like it?
[39:02.440 --> 39:03.420]  Oh, RPGs.
[39:04.340 --> 39:05.120]  Oh, really?
[39:05.680 --> 39:07.980]  Well, not like true RPGs, but like Bethesda.
[39:11.060 --> 39:11.940]  Like Morrowind?
[39:12.620 --> 39:15.820]  Yeah, like I hated looking at Morrowind.
[39:16.000 --> 39:18.900]  I felt like Oblivion was an absolute chore
[39:18.900 --> 39:19.540]  to get through.
[39:20.020 --> 39:21.000]  I hated it.
[39:21.740 --> 39:25.140]  And then something just switched and I really enjoyed Fallout 3.
[39:25.740 --> 39:26.440]  Loved Skyrim.
[39:26.880 --> 39:27.720]  Loved New Vegas.
[39:29.480 --> 39:31.900]  I could probably go back and enjoy Oblivion if I wanted.
[39:34.040 --> 39:35.240]  That's an interesting genre
[39:36.460 --> 39:37.560]  to switch on.
[39:38.220 --> 39:41.720]  I feel like I like turn based games, but I don't think I do.
[39:42.280 --> 39:45.260]  I always go through the exercise of going in, kind of dreading it,
[39:45.300 --> 39:46.940]  and then I eventually get the hang of it.
[39:50.160 --> 39:53.260]  I'm trying to think of the last turn based game I played.
[39:54.340 --> 39:57.020]  There's a new Yakuza game coming out that's turn based,
[39:57.140 --> 40:00.220]  and that'll probably be the most recent one I'll play.
[40:00.680 --> 40:02.240]  Maybe Mario and Rabbids.
[40:03.720 --> 40:06.100]  You know what? I didn't mind you saying Mario.
[40:06.340 --> 40:07.220]  That's interesting.
[40:08.080 --> 40:10.500]  Something about your accent gets away with Mario.
[40:14.880 --> 40:16.720]  Like the traditional...
[40:16.720 --> 40:18.160]  Yeah, that's that works.
[40:18.160 --> 40:19.480]  That's crazy.
[40:20.640 --> 40:21.760]  Wait, who is this?
[40:22.780 --> 40:23.660]  Robert Woolf?
[40:26.720 --> 40:28.840]  I'm going to look up Robert Woolf.
[40:32.300 --> 40:34.080]  You have any idea who this actor is?
[40:40.200 --> 40:41.580]  I have no idea.
[40:43.700 --> 40:45.320]  Get to... Oh, my God, Geoff.
[40:45.320 --> 40:46.100]  It's Arliss.
[40:46.380 --> 40:48.360]  OK, cool, thanks. Thanks for the explanation.
[40:49.720 --> 40:52.420]  We're getting to a point where he'll have less than one minute
[40:52.420 --> 40:53.840]  to deal with every nugget, buddy.
[40:54.740 --> 40:56.480]  Oh, here we go. It's Pedro Martinez.
[40:57.500 --> 40:59.360]  Oh, he's going to breeze through him if he gets to him, I think.
[40:59.700 --> 41:01.200]  Do you think Arliss is the name of that dog?
[41:03.800 --> 41:04.520]  Did you...
[41:04.960 --> 41:07.100]  Did you learn the name of their dog recently?
[41:07.280 --> 41:08.740]  Was there some something that...
[41:08.740 --> 41:10.600]  OK, I wasn't sure because you guys went over there.
[41:11.080 --> 41:12.320]  Gracie knows it, though.
[41:13.880 --> 41:15.260]  Which is bullshit.
[41:16.200 --> 41:18.360]  I wonder... I can't...
[41:19.500 --> 41:22.000]  Something will come out in the future that will change
