[00:10.890 --> 00:11.850]  And action!
[22:45.750 --> 22:47.590]  We did it because the TV told us not to.
[22:48.110 --> 22:49.030]  Would Stew have done this?
[22:49.870 --> 22:50.330]  Yes.
[22:51.270 --> 22:52.210]  Okay, here it is.
[23:12.410 --> 23:14.210]  It's like Columbo's stunt man.
[23:15.670 --> 23:17.230]  Like Columbo tough guy.
[23:21.130 --> 23:22.190]  Yeah.
[23:35.930 --> 23:43.810]  Oh, Mr. Whipple.
[23:44.590 --> 23:47.810]  Even Mr. Whipple succumbed to squeezing the Charmin.
[23:50.850 --> 23:53.870]  They were just squeezing this baby's face.
[23:55.890 --> 24:00.070]  When I go to a grocery store, I still squeeze the fucking Charmin sometimes.
[24:01.190 --> 24:02.590]  Ah yeah, fuck you Whipple.
[24:04.910 --> 24:06.710]  Trying to stop our good time.
[24:07.130 --> 24:07.990]  Fuck you Whipple.
[24:09.130 --> 24:12.990]  That was way before my time, the squeeze the Charmin thing.
[24:13.150 --> 24:16.210]  But that was even something that I knew like growing up.
[24:16.370 --> 24:18.530]  It's another one of those things like where's the beef?
[24:18.730 --> 24:21.930]  It lasted from the 70s into the mid 80s.
[24:21.970 --> 24:25.070]  They were still doing new commercials with him when I was probably 9 or 10.
[24:25.290 --> 24:28.690]  Was it always budget Peter Falk as well?
[24:29.030 --> 24:36.030]  No, that was just like somebody's husband who was a little tough guy maybe in the lower rung of the mafia.
[24:36.030 --> 24:40.450]  Yeah, but it was always some situation where Mr. Whipple was like,
[24:40.530 --> 24:44.910]  Ladies, I'm begging you, don't squeeze the Charmin.
[24:45.790 --> 24:48.250]  And they're like, Mr. Whipple, it's so squeezably soft.
[24:48.650 --> 24:49.630]  And you turn around and he's squeezing.
[24:49.730 --> 24:52.370]  And they're like, Mr. Whipple, you too.
[24:52.450 --> 24:55.770]  And he's like, Oh no, I'm what I hate.
[24:56.050 --> 24:57.550]  I'm what I hate.
[25:00.690 --> 25:04.730]  Not nearly as cool as shooting a dying baby out of your vagina.
[25:05.710 --> 25:06.710]  That's pretty good.
[25:07.090 --> 25:15.010]  I'm curious if Mr. Whipple has an unreasonable hatred of bears after getting bumped by a shit-taking bear.
[25:15.110 --> 25:16.430]  That's my Charmin logo.
[25:17.010 --> 25:22.910]  I don't know if there's in between or do we know if they passed the baton to the bear?
[25:23.690 --> 25:26.450]  I think maybe they tried to toughen it up.
[25:26.610 --> 25:27.790]  Nobody squeezes a bear, right?
[25:27.950 --> 25:28.430]  Yeah.
[25:30.790 --> 25:31.270]  Smart.
[25:32.350 --> 25:37.050]  Okay, and now we've moved on to the last pick in our second round.
[25:37.130 --> 25:38.430]  And this will be Andrew.
[25:38.910 --> 25:40.670]  This is tough.
[25:41.050 --> 25:42.630]  This is a...
[25:43.170 --> 25:45.370]  Strap in, because we're going to go on a little bit of an adventure.
[25:46.550 --> 25:51.870]  We are going not just country, we're going local.
[25:52.090 --> 25:53.530]  I'm going with some local ads.
[25:54.690 --> 25:56.610]  We're going with a two-parter.
[25:56.790 --> 25:59.010]  These are going to be two different ads, my second and third pick.
[25:59.010 --> 26:05.730]  Just so you can understand the joy that it was growing up with Dodd's commercials.
[26:06.190 --> 26:07.570]  Dodd's Furniture and Mattress.
[26:08.250 --> 26:08.850]  Dodd's?
[26:09.850 --> 26:12.550]  Dodd's Furniture and Mattress, I'm posting a link right now.
[26:12.770 --> 26:17.430]  These were bed commercials, they all had a general kind of same feel to them, same vibe.
[26:17.850 --> 26:20.570]  And they're insane, so enjoy them.
[26:21.150 --> 26:22.730]  Okay, here's Dodd's.
[26:23.710 --> 26:25.710]  Space, the final frontier.
[26:26.170 --> 26:29.110]  Aye, Captain, you can choose your space with a Serda.
[26:29.950 --> 26:31.430]  Oh my god!
[26:33.910 --> 26:37.490]  Real comfort Serda mattresses let you have softer firm on the same mattress.
[26:37.890 --> 26:39.710]  Boldly dream like you never dreamed before.
[26:39.890 --> 26:40.430]  He's a triple!
[26:40.530 --> 26:42.390]  Keep on board to the side that's right for you.
[26:43.790 --> 26:44.750]  This wears.
[26:45.170 --> 26:46.750]  Captain, you won't be undersold?
[26:47.250 --> 26:47.890]  Make it soft.
[26:50.070 --> 26:51.510]  What was your choice?
[26:51.750 --> 26:52.810]  Live long and sleep.
[26:54.810 --> 26:57.950]  Andrew, Andrew. Great. Fucking. Tick.
[26:57.950 --> 26:58.990]  That's fantastic.
[26:59.610 --> 27:01.030]  Dodd's is a staple.
[27:01.470 --> 27:02.370]  You gotta love Dodd's.
[27:02.510 --> 27:04.630]  You actually saw that come on television?
[27:05.270 --> 27:08.310]  Constantly, and as you see in the top left, there's a super Dodd.
[27:08.610 --> 27:13.110]  There are, I'm gonna drop in a second link right now of another Dodd's commercial.
[27:13.690 --> 27:14.970]  This was my childhood.
[27:14.970 --> 27:17.630]  Whenever there is a new Dodd, everyone get excited.
[27:17.750 --> 27:18.810]  New Dodd is on TV.
[27:19.890 --> 27:20.850]  It's a...
[27:20.850 --> 27:21.830]  Oh man.
[27:21.910 --> 27:24.050]  That shot of them both warping onto the bed.
[27:27.210 --> 27:28.950]  That was so funny.
[27:29.290 --> 27:30.210]  That was really good.
[27:30.570 --> 27:31.950]  Get the Lincoln.
[27:32.630 --> 27:33.210]  Yeah, they're great.
[27:33.310 --> 27:35.970]  All these commercials, a lot of them are based on film parody.
[27:36.850 --> 27:39.890]  Is that him in the bottom right there as the Incredible Hulk?
[27:40.370 --> 27:41.190]  Yes, it is.
[27:41.210 --> 27:42.690]  That is a Dodd's Hulk.
[27:43.390 --> 27:44.350]  We're not going with that one.
[27:44.410 --> 27:46.750]  We're going with this one that I just put in the chat.
[27:47.850 --> 27:49.070]  Again, Dodd's Furniture.
[27:49.710 --> 27:50.150]  Yep.
[27:50.830 --> 27:51.130]  Alright.
[27:52.930 --> 27:56.870]  After 33 years of never being undersold, it was bound to happen.
[27:58.250 --> 27:59.030]  I got gas.
[27:59.390 --> 28:05.610]  If Bat Morty has so much gas, he wants to give you a $100 gas coupon to Peninsula Co-op for every purchase over $900.
[28:05.610 --> 28:07.090]  Buy a bed, get a gas card.
[28:07.250 --> 28:08.150]  I got gas.
[28:08.350 --> 28:09.130]  For the bedroom.
[28:09.590 --> 28:10.270]  I got gas.
[28:10.570 --> 28:11.430]  For the living room.
[28:11.730 --> 28:12.510]  I got gas.
[28:12.510 --> 28:13.070]  Awesome.
[28:13.730 --> 28:14.790]  Wait a second.
[28:15.030 --> 28:17.010]  This is so fucking cool.
[28:19.270 --> 28:20.410]  Chop a Dodd's...
[28:26.010 --> 28:27.890]  Why does it do that?
[28:28.070 --> 28:28.610]  Oh, Andrew.
[28:28.950 --> 28:30.770]  That was fucking great, dude.
[28:31.050 --> 28:32.390]  That's awesome, dude.
[28:32.730 --> 28:33.830]  Oh my god.
[28:36.290 --> 28:36.590]  Wow.
[28:37.690 --> 28:42.250]  It was tough for me not to just go with four different Dodd's ads for my pick.
[28:42.510 --> 28:44.630]  But yeah, that's our Dodd block.
[28:44.830 --> 28:49.890]  I hope people enjoy it and explore further on your own into the Dodd universe.
[28:50.630 --> 28:51.670]  I'm impressed.
[28:52.270 --> 28:54.310]  I think that that was really good.
[28:54.910 --> 28:56.890]  I mean, that was super Dodd-ed out.
[28:57.370 --> 28:59.150]  I love it.
[29:02.690 --> 29:04.930]  Local commercials are really something else.
[29:05.990 --> 29:07.530]  That was a very good one.
[29:07.890 --> 29:08.390]  I like this.
[29:08.710 --> 29:12.490]  In some of the I got gas shots, there's just a couple of people just moseying around.
[29:12.490 --> 29:18.450]  We should do a local commercial draft someday.
[29:18.550 --> 29:19.250]  There's so many.
[29:20.310 --> 29:21.030]  That's good.
[29:21.250 --> 29:22.370]  That's not a bad plan.
[29:22.730 --> 29:25.290]  Okay, we're moving on to Geoff now, yeah?
[29:26.030 --> 29:27.870]  Yeah, because this will be my third one.
[29:28.390 --> 29:36.370]  I'm continuing on a very specific theme here, which is ads that maybe weren't necessarily marketed towards kids,
[29:36.450 --> 29:40.550]  but that created cultural touchstones that just became bigger than the ad themselves.
[29:40.890 --> 29:41.930]  This one is the one.
[29:41.930 --> 29:42.850]  Here's another example.
[29:43.270 --> 29:45.330]  My entire childhood, this was an ad campaign.
[29:45.870 --> 29:50.850]  And as an adult, when I get up in the morning, I say this to myself or to Emily.
[29:50.950 --> 29:54.790]  And I have my entire fucking life.
[29:54.990 --> 29:57.690]  And I'd say probably four days a week, I still say this.
[29:58.170 --> 29:58.430]  Okay.
[30:01.290 --> 30:02.910]  Time to make the donuts.
[30:06.470 --> 30:07.810]  I've heard you say this.
[30:08.190 --> 30:08.790]  Yeah, man.
[30:08.790 --> 30:16.570]  The Dunkin' Donut man has to get up before everybody else so that he can stroll into Dunkin' Donuts and make the donuts.
[30:21.770 --> 30:22.870]  Wake up, asshole.
[30:24.610 --> 30:27.830]  Oh, yeah, this one, it shows the hit over and over again for some reason.
[30:29.630 --> 30:30.910]  He stops eventually.
[30:31.430 --> 30:34.190]  They just really want you to get the effect of the slap.
[30:34.930 --> 30:36.070]  It didn't add like that, did it?
[30:36.450 --> 30:36.830]  No.
[30:37.230 --> 30:37.550]  Oh, okay.
[30:38.790 --> 30:39.330]  There you go.
[30:39.390 --> 30:39.890]  Dunkin' Donuts.
[30:39.990 --> 30:41.090]  Time to make the donuts.
[30:41.790 --> 30:49.130]  Everybody in America who had to get up before the sun rose would fucking stumble around their house trying to brush their teeth and make coffee.
[30:49.270 --> 30:50.510]  Going, time to make the donuts.
[30:50.790 --> 30:51.870]  Because of that fucking dude.
[30:52.310 --> 30:53.190]  That's so funny.
[30:53.330 --> 30:55.750]  Like, the stuff that just gets burned into our brains.
[30:56.050 --> 30:56.670]  So effective.
[30:57.290 --> 31:02.690]  Again, another one that was before my time that I knew because it was just in the zeitgeist.
[31:03.090 --> 31:03.250]  Yeah.
[31:03.630 --> 31:04.890]  Okay, next one is Gavin.
[31:05.370 --> 31:06.090]  I like this one.
[31:06.090 --> 31:11.690]  Because, once again, it created a catchphrase that went way beyond the advert itself.
[31:11.950 --> 31:15.210]  And it's probably the most English advert I've ever seen.
[31:15.450 --> 31:16.110]  It's condescending.
[31:17.050 --> 31:18.870]  The guy just looks like a normal bloke.
[31:18.930 --> 31:20.250]  He's got a hole in his jumper.
[31:20.710 --> 31:22.510]  And it's pretty self-explanatory.
[31:23.190 --> 31:23.350]  Okay.
[31:25.070 --> 31:25.910]  This is a door.
[31:26.310 --> 31:28.370]  This is Ronseal quick-drying varnish.
[31:28.830 --> 31:32.810]  Brush it on and you'll have a door covered in Ronseal quick-drying varnish.
[31:33.090 --> 31:34.930]  It's touch-dry in about 20 minutes.
[31:34.930 --> 31:38.150]  So, in about 20 minutes, you can touch it and it will be dry.
[31:38.410 --> 31:40.010]  Of course, you end up with a beautiful result.
[31:40.290 --> 31:41.990]  Well, there'd be no point doing the job in the first place.
[31:42.450 --> 31:43.990]  It does exactly what it says on the tin.
[31:44.470 --> 31:46.330]  It does exactly what it says on the tin.
[31:46.590 --> 31:49.730]  It was an absolute icon of a catchphrase.
[31:49.850 --> 31:52.570]  And people use it for way more than varnishes now.
[31:52.990 --> 31:57.610]  But I just... and that guy did so many of those adverts where he's like, oh, this is a floor.
[31:57.910 --> 32:01.710]  And, you know, it's just like so dry and condescending.
[32:01.790 --> 32:02.770]  And I love him so much.
[32:02.830 --> 32:04.530]  The British are so strange.
[32:04.530 --> 32:05.130]  Yeah.
[32:05.230 --> 32:05.850]  What do you mean?
[32:06.430 --> 32:09.130]  Dude, that is like Gavin the commercial.
[32:09.510 --> 32:10.350]  Yeah, no kidding.
[32:10.710 --> 32:12.670]  That was like... that was ridiculous.
[32:13.230 --> 32:16.130]  I think that's who I wanted to be growing up was that Ronseal guy.
[32:16.590 --> 32:17.490]  Pretty fucking clear.
[32:17.990 --> 32:18.830]  Mission accomplished.
[32:19.410 --> 32:20.810]  I think that that's great.
[32:20.950 --> 32:21.470]  You're right.
[32:21.630 --> 32:23.310]  That's a guy with a hole in his jumper.
[32:23.510 --> 32:25.790]  It's also deliberate and it's great.
[32:26.010 --> 32:26.970]  It is straightforward.
[32:27.790 --> 32:30.390]  And those things must have taken like eight minutes to fill.
[32:30.730 --> 32:31.210]  Maybe.
[32:31.450 --> 32:32.550]  Maybe eight minutes.
[32:32.830 --> 32:33.730]  Say the line.
[32:33.730 --> 32:34.610]  Do we need another take?
[32:34.710 --> 32:35.450]  No, we got it.
[32:35.690 --> 32:36.090]  Oh, OK.
[32:36.550 --> 32:38.090]  Does exactly what it says on the tin.
[32:38.210 --> 32:38.330]  Yeah.
[32:41.090 --> 32:41.790]  Oh, man.
[32:42.750 --> 32:46.050]  OK, well, mine, my third pick.
[32:46.710 --> 32:50.370]  I don't know how many of you guys are going to know this, but this is one that I sing
[32:50.370 --> 32:52.450]  to myself almost every day.
[32:52.570 --> 32:53.490]  So I'm just going to play it.
[32:57.370 --> 32:58.410]  Oh, damn it.
[33:07.230 --> 33:08.670]  I love this commercial.
[33:08.710 --> 33:09.230]  I'm dancing.
[33:09.230 --> 33:13.490]  I will make a bigger salary.
[33:13.690 --> 33:17.930]  So now I've got to see which college is right for me.
[33:18.050 --> 33:22.230]  I went on the internet and found Education Connection.
[33:23.210 --> 33:25.910]  I took a free test to find out my connection.
[33:25.910 --> 33:29.110]  This played all day, every day.
[33:29.970 --> 33:31.490]  I get free on my own time.
[33:31.590 --> 33:35.690]  Education Connection matched me with the right college for free.
[33:35.890 --> 33:36.480]  Get connected.
[33:37.050 --> 33:38.490]  Why did somebody make this song?
[33:42.400 --> 33:46.400]  So if you put the draft 15 years later, whatever.
[33:46.700 --> 33:49.180]  I don't think I've ever seen that commercial before.
[33:49.400 --> 33:52.300]  Oh, you weren't watching daytime TV in 2004.
[33:52.980 --> 33:56.260]  This is all free success kit.
[33:56.460 --> 33:58.060]  Yeah, none of it is.
[33:58.140 --> 34:02.820]  It's that in this the Everest College guy or he's not my last pick.
[34:03.080 --> 34:06.080]  But Everest College is such a runner up for me.
[34:06.160 --> 34:07.720]  I almost put it on and I didn't.
[34:07.780 --> 34:08.600]  It's so good.
[34:08.600 --> 34:11.380]  Why is it just a search engine for colleges?
[34:11.860 --> 34:12.420]  Is it just Google?
[34:12.980 --> 34:17.140]  Yeah, but Google doesn't have a free success kit.
[34:17.540 --> 34:18.400]  That's true. It's worth $100.
[34:18.920 --> 34:25.460]  Yeah, but that girl singing that song, all the graphics, it was just like, man, inescapable.
[34:25.640 --> 34:28.100]  I love that. I love that commercial.
[34:28.340 --> 34:35.460]  I love the era of time where the internet was fresh enough that it warranted people standing on top of the internet while they were talking.
[34:38.140 --> 34:39.820]  Here's what the web page looks like.
[34:39.840 --> 34:41.040]  Oh, OK, great.
[34:43.400 --> 34:44.660]  Oh, all right.
[34:44.940 --> 34:46.660]  Onto Nick with his third pick.
[34:47.160 --> 34:58.000]  All right. So this speaking of songs, this is one that features a song that gets stuck in your head, but also features people who are put in situations and given a product that would never actually solve them.
[34:58.060 --> 34:59.320]  And yet it always seemed to.
[35:01.100 --> 35:03.080]  Oh, great pick.
[35:03.080 --> 35:05.080]  Oh, so good.
[35:05.700 --> 35:07.460]  This song is so catchy.
[35:08.800 --> 35:10.540]  Oh, no, his suit!
[35:13.160 --> 35:14.180]  Nick, his suit!
[35:16.760 --> 35:19.260]  Wait a second. Look at this lunatic.
[35:22.120 --> 35:24.500]  Now he's just covered in paint.
[35:24.800 --> 35:25.500]  Pinstripe!
[35:30.300 --> 35:32.140]  I always like the one where the person.
[35:32.360 --> 35:32.780]  Oh, shit.
[35:32.900 --> 35:33.640]  Oh, that was scary.
[35:33.900 --> 35:37.060]  Well, the person goes through the car at the stop line.
[35:37.080 --> 35:40.060]  Did you ever see the Foo Fighters video that parodies that?
[35:40.440 --> 35:41.480]  Like all those commercials?
[35:42.180 --> 35:42.860]  No, no.
[35:43.340 --> 35:46.080]  They did a music video for Big Me.
[35:46.480 --> 35:47.960]  I think it was like one of their first songs.
[35:48.020 --> 35:49.840]  And it's just a big Mentos parody.
[35:50.100 --> 35:51.680]  And it's it's good.
[35:51.920 --> 35:53.280]  When I see those, I think of that.
[35:53.980 --> 35:56.160]  Oh, zoo books in the bottom right.
[35:56.240 --> 35:57.220]  I remember those.
[35:57.300 --> 35:57.580]  Damn.
[35:58.680 --> 35:59.160]  Camels.
[35:59.500 --> 36:01.320]  I wonder if that's somebody's fourth pick.
[36:01.500 --> 36:02.880]  Nick, do you have a fourth pick?
[36:03.020 --> 36:03.980]  I do.
[36:04.280 --> 36:04.900]  Here it is.
[36:04.920 --> 36:06.780]  There's a lot of back and forth on this one.
[36:07.080 --> 36:08.180]  But I'm going back.
[36:09.460 --> 36:12.220]  Almost picked this one.
[36:12.380 --> 36:13.420]  This is my favorite.
[36:25.660 --> 36:26.440]  Chihuahua twitch.
[36:29.280 --> 36:30.340]  Wait a second.
[36:30.520 --> 36:32.200]  He wasn't going to the girl Chihuahua?
[36:34.560 --> 36:35.140]  Yeah.
[36:37.900 --> 36:40.020]  Look at how good that looks.
[36:42.060 --> 36:44.480]  What? Hang on.
[36:45.900 --> 36:46.960]  Is that Buster?
[36:48.020 --> 36:48.760]  Oh my God.
[36:50.100 --> 36:51.620]  It's Tony Hale.
[36:52.020 --> 36:52.160]  What?
[36:52.780 --> 36:54.420]  Dude, you're right. That is Tony Hale.
[36:54.440 --> 36:54.820]  What?
[36:56.040 --> 36:57.540]  I can't believe that.
[36:57.540 --> 36:59.120]  That's Buster from Arrested Development.
[37:00.540 --> 37:01.820]  Oh my God, that is him.
[37:02.340 --> 37:03.500]  Is it really him?
[37:04.380 --> 37:05.640]  Yeah, that's definitely him.
[37:06.060 --> 37:07.000]  That's crazy.
[37:07.420 --> 37:07.860]  Wow.
[37:08.500 --> 37:09.940]  He popped up on the screen and I went,
[37:10.140 --> 37:11.140]  well, it kind of looks like him.
[37:11.440 --> 37:13.640]  And then it was this close up and I went,
[37:13.760 --> 37:14.440]  that's him.
[37:14.720 --> 37:16.160]  The eyes, I can see it.
[37:17.340 --> 37:18.840]  He was pretty dashing back then.
[37:19.260 --> 37:19.980]  That's crazy.
[37:20.560 --> 37:24.320]  You know the dog was voiced by one of the guys from Reno 911?
[37:24.600 --> 37:24.940]  Yeah.
[37:25.520 --> 37:26.020]  Isn't that crazy?
[37:26.020 --> 37:27.200]  Was it really?
[37:27.400 --> 37:27.800]  What a weird career.
[37:28.080 --> 37:28.580]  Seriously.
[37:29.420 --> 37:31.560]  What an absolutely crazy career.
[37:32.160 --> 37:32.680]  Oh man.
[37:34.320 --> 37:35.740]  They clearly went,
[37:35.840 --> 37:38.600]  how are we going to show the dog going up a ladder?
[37:39.020 --> 37:40.080]  POV? That'll do it.
[37:41.440 --> 37:43.500]  Yeah, don't worry. You're the dog. It's fine.
[37:47.360 --> 37:48.680]  Nick, great picks.
[37:49.140 --> 37:49.840]  Yeah, great picks.
[37:51.120 --> 37:52.720]  Here's my final pick.
[37:53.320 --> 37:54.340]  Pick number four.
[37:54.340 --> 37:56.600]  I don't know how many people are going to know this.
[37:57.040 --> 37:57.300]  Great pick.
[38:00.360 --> 38:00.860]  But...
[38:00.860 --> 38:02.300]  This room is...
[38:02.300 --> 38:04.120]  I had this one lined up too.
[38:04.460 --> 38:06.600]  Oh yeah. So good.
[38:11.920 --> 38:14.540]  I had this. It was this fun.
[38:14.960 --> 38:15.480]  Was it really?
[38:15.740 --> 38:17.640]  Yes. It was this fun.
[38:18.160 --> 38:18.840]  Should we play it?
[38:19.180 --> 38:20.340]  Oh my god. Yeah.
[38:22.060 --> 38:24.520]  You use a little gun to shoot...
[38:26.120 --> 38:27.400]  Is that kid dead?
[38:27.400 --> 38:29.240]  So you shoot little marbles?
[38:29.560 --> 38:34.080]  So you shoot little marbles out of the little gun.
[38:34.720 --> 38:37.560]  And you are trying to knock these things
[38:37.560 --> 38:39.360]  that are essentially like little ball bearings
[38:39.360 --> 38:42.180]  inside of like stars or triangles or whatever.
[38:42.520 --> 38:44.460]  You're trying to hit them to go into
[38:44.460 --> 38:47.020]  the opponent's little ditch in front of them.
[38:47.020 --> 38:51.020]  So there's like four or five things on the playfield at once.
[38:51.280 --> 38:53.380]  And you're just picking one, shooting at it,
[38:53.400 --> 38:54.340]  and they have to defend.
[38:54.460 --> 38:55.500]  It's going back and forth.
[38:55.620 --> 38:56.480]  It's really fun.
[38:57.300 --> 38:58.180]  Crossfire ruled.
[38:58.280 --> 38:59.420]  And are you trying to avoid
[38:59.420 --> 39:02.180]  or are you trying to get caught up in the crossfire?
[39:02.280 --> 39:03.360]  Oh, you're definitely getting...
[39:03.360 --> 39:05.260]  Whether you want to or not,
[39:05.320 --> 39:06.740]  you're getting caught up in the crossfire.
[39:07.960 --> 39:10.020]  Like, regardless of what you want,
[39:10.100 --> 39:11.680]  you are getting caught up in the crossfire.
[39:12.080 --> 39:13.920]  Man, America did toy adverts right.
[39:14.400 --> 39:14.820]  Oh yeah.
[39:14.820 --> 39:15.040]  Yeah.
[39:15.040 --> 39:16.660]  Tricking kids outright?
[39:16.920 --> 39:17.400]  100%.
[39:17.400 --> 39:18.280]  We did that so well.
[39:18.960 --> 39:19.800]  We should...
[39:19.800 --> 39:22.360]  We do the same thing with medication commercials now.
[39:22.760 --> 39:25.120]  Do you have mesothelioma?
[39:25.600 --> 39:28.720]  We should definitely do a crossfire tournament.
[39:30.100 --> 39:31.300]  Dude, that'd be sick.
[39:31.400 --> 39:31.780]  Hell yeah.
[39:32.000 --> 39:33.220]  See who the best one is.
[39:33.420 --> 39:34.180]  That'd be fucking awesome.
[39:34.340 --> 39:35.420]  Summer of 98 content.
[39:35.740 --> 39:36.580]  Dude, no kidding.
[39:36.740 --> 39:40.400]  I think crossfire might be a little bit earlier than that,
[39:40.520 --> 39:41.720]  but okay, why not?
[39:42.420 --> 39:42.900]  Why not?
[39:43.980 --> 39:45.040]  Crossfire's still around.
[39:45.200 --> 39:46.180]  Well, you can buy crossfire.
[39:47.380 --> 39:47.840]  $70!
[39:49.560 --> 39:52.080]  And is that new crossfire or just old stock?
[39:52.540 --> 39:55.340]  I mean, it looks almost exactly like that crossfire.
[39:55.520 --> 39:57.160]  It does not look...
[39:57.160 --> 39:58.060]  70 bucks.
[39:58.140 --> 40:00.960]  That's what fantasy star on the Sega Master System cost when it came out.
[40:03.240 --> 40:07.020]  What a great associating price to fantasy star.
[40:07.180 --> 40:07.740]  Like, every pro...
[40:07.740 --> 40:10.440]  That's two fantasy stars on the Sega Master System game.
[40:10.480 --> 40:11.640]  That's what I always used to think of.
[40:11.640 --> 40:15.400]  I was like, how can a video game cost $70 in 1985?
[40:17.880 --> 40:18.600]  Okay, cool.
[40:18.800 --> 40:21.160]  And Gavin, your last pick.
[40:21.740 --> 40:22.080]  Oh, okay.
[40:23.240 --> 40:26.060]  What was the tagline for Dr. Pepper?
[40:27.440 --> 40:28.020]  Be a pepper?
[40:28.680 --> 40:29.920]  Yeah, I guess that was it.
[40:31.320 --> 40:32.000]  Yeah, I don't...
[40:32.000 --> 40:32.520]  It was weird.
[40:32.780 --> 40:34.540]  Wouldn't you like to be a pepper too?
[40:34.800 --> 40:35.000]  Yeah.
[40:35.360 --> 40:36.600]  He's a pepper, she's a pepper.
[40:36.780 --> 40:38.280]  Oh, yeah, that was...
[40:38.280 --> 40:38.980]  I guess that was it.
[40:39.440 --> 40:41.940]  I've made a lot of references to Dr. Pepper commercials,
[40:42.180 --> 40:45.540]  and I realized the catchphrase was completely different in the UK,
[40:45.720 --> 40:48.120]  where it was, what's the worst that can happen?
[40:48.820 --> 40:49.020]  What?
[40:49.540 --> 40:54.240]  And the reason I thought it was American is because all of the commercials
[40:54.760 --> 40:57.260]  star American actors and seem to be shot in America,
[40:57.500 --> 40:59.640]  but entirely for a UK audience.
[40:59.860 --> 41:01.180]  They even look like fuzzy...
[41:01.180 --> 41:01.320]  Is that Jesse Eisenberg?
[41:01.440 --> 41:03.300]  That's a teenage Jesse Eisenberg.
[41:03.580 --> 41:03.820]  What?
[41:04.040 --> 41:04.720]  Okay, hang on.
[41:04.860 --> 41:05.680]  All right, hang on.
[41:06.660 --> 41:08.200]  Soda, soda, soda.
[41:08.200 --> 41:08.980]  Oh, yeah, that's him.
[41:09.120 --> 41:09.360]  Soda.
[41:11.000 --> 41:11.560]  Young Zuck.
[41:11.920 --> 41:14.120]  Dr. Pepper, what's the worst that could happen?
[41:14.720 --> 41:15.620]  What does that mean?
[41:21.580 --> 41:22.300]  What are we going to do here?
[41:22.320 --> 41:23.480]  We're going to have to cut him out of his pants.
[41:23.820 --> 41:25.920]  Don't worry, kid, we'll just get these out of here and we'll be all right.
[41:26.380 --> 41:26.400]  All right.
[41:26.580 --> 41:27.680]  What do you want to do?
[41:27.700 --> 41:27.880]  What do you want to do?
[41:27.880 --> 41:29.300]  The underwear's going to have to come off.
[41:29.300 --> 41:30.200]  All right, take the underwear off.
[41:30.220 --> 41:31.700]  Take the underwear off.
[41:32.520 --> 41:33.380]  Sorry about that.
[41:34.680 --> 41:35.100]  That's it.
[41:35.560 --> 41:36.120]  Step aside.
[41:36.240 --> 41:37.540]  Butt naked kid coming through.
[41:39.000 --> 41:40.900]  What is going on?
[41:45.100 --> 41:50.800]  So the end of every advert has something go horrifically wrong and then it says, Dr. Pepper, what's the worst that could happen?
[41:51.120 --> 41:55.820]  But no one in America knows that tagline or has seen any of these commercials.
[41:56.160 --> 41:57.380]  I don't understand.
[41:57.680 --> 41:58.920]  What were they doing?
[41:59.400 --> 42:01.540]  I want a Dr. Pepper or...
[42:02.700 --> 42:03.600]  Yeah, I don't know.
[42:03.720 --> 42:04.640]  I don't understand why.
[42:04.860 --> 42:08.060]  Like, he gets the Dr. Pepper and then it goes wrong.
[42:08.360 --> 42:11.120]  I assume it's because people in England didn't really know what it tasted like.
[42:11.340 --> 42:13.020]  And so they were just like, oh, what's the worst that could happen?
[42:13.120 --> 42:14.560]  And then they show something horrific happening.
[42:14.960 --> 42:24.720]  But in every piece of content I've been in for the last 10 years, anytime someone has mentioned Dr. Pepper, I've just asked, what's the worst that can happen?
[42:24.780 --> 42:27.000]  And no one ever knows what I'm talking about.
[42:27.000 --> 42:30.960]  I might have done it on F*** Face like two or three times.
[42:32.940 --> 42:35.340]  I've never heard of this.
[42:35.420 --> 42:36.440]  I've never seen this.
[42:36.640 --> 42:38.160]  I don't understand it.
[42:38.180 --> 42:38.960]  I'm so confused.
[42:40.060 --> 42:40.700]  Yeah, I don't either.
[42:41.480 --> 42:45.980]  And I think also in the middle of that is that woman from, I don't remember her name, but she's in Mission Impossible movies.
[42:46.320 --> 42:47.220]  That was her.
[42:47.440 --> 42:48.200]  I thought so.
[42:48.840 --> 42:51.120]  She's like Tom Cruise's wife in Mission Impossible.
[42:52.520 --> 42:53.200]  That lady.
[42:54.600 --> 42:55.400]  Michelle Monaghan?
[42:55.860 --> 42:56.620]  Yeah, that was her.
[42:56.620 --> 42:57.980]  Yeah, that's her name.
[42:59.700 --> 43:00.100]  Crazy.
[43:00.700 --> 43:05.040]  Well, that was a great last pick, Gavin. That really threw me for a loop.
[43:05.240 --> 43:10.680]  And that's an actual frame of Jesse Eisenberg's bare ass on a TV commercial.
[43:11.320 --> 43:12.460]  I'll be beating you up for that later.
[43:15.820 --> 43:19.060]  Here is Geoff's final pick. Geoff, anything you want to say about this?
[43:19.720 --> 43:20.900]  I'm going to throw this out there.
[43:21.200 --> 43:22.760]  This final pick is an audible.
[43:24.420 --> 43:27.660]  Honestly, I had something else picked that I was really happy with.
[43:28.100 --> 43:32.020]  But Nick's Taco Bell commercial jogged a very important memory.
[43:32.600 --> 43:33.620]  And so I went and I grabbed it.
