[00:10.200 --> 00:11.160]  Can't hear anybody.
[18:07.480 --> 18:09.280]  for the summer so the dollar
[18:09.280 --> 18:11.300]  store could get some noodles in because I
[18:11.300 --> 18:13.460]  needed a base thing and they're expensive
[18:13.460 --> 18:14.980]  otherwise. They cost a lot of money.
[18:15.840 --> 18:16.960]  Sleep spaghetti.
[18:17.460 --> 18:19.220]  We have the prototype. That's the base.
[18:19.300 --> 18:21.200]  We got the pool noodles there as
[18:21.200 --> 18:23.560]  needed. It became a problem
[18:23.560 --> 18:25.560]  of fabric is expensive as well.
[18:25.560 --> 18:27.240]  What do you use for fabric?
[18:27.320 --> 18:29.240]  How would you solve this?
[18:29.300 --> 18:31.300]  What is your solution for this problem?
[18:31.380 --> 18:33.600]  We have the noodles. What would you do?
[18:33.720 --> 18:35.680]  I'll tell you what I did. I'll show you right
[18:35.680 --> 18:37.480]  now. Put a photo of it. Put it in.
[18:38.360 --> 18:40.000]  Sleep fucking spaghetti.
[18:40.280 --> 18:40.420]  Okay?
[18:41.000 --> 18:43.680]  Got some socks. Got some cheap
[18:44.320 --> 18:45.200]  Got some
[18:45.900 --> 18:46.340]  cheap
[18:48.820 --> 18:49.880]  I got some
[18:49.880 --> 18:51.800]  There's a bunch of heels
[18:51.800 --> 18:52.660]  all the way up.
[18:52.660 --> 18:53.780]  Yeah, because
[18:54.480 --> 18:55.780]  I bought some socks
[18:56.600 --> 18:57.640]  and you chop
[18:58.300 --> 19:00.560]  the top off the sock and then you
[19:00.560 --> 19:02.680]  slide it down. It covers that sleep
[19:02.680 --> 19:04.640]  spaghetti. You get the sleep spaghetti
[19:04.640 --> 19:06.680]  going nice and good. Okay?
[19:08.020 --> 19:08.680]  This is
[19:08.680 --> 19:10.580]  a hard day's work. Okay?
[19:11.040 --> 19:11.980]  For research and development.
[19:12.500 --> 19:15.040]  This is the bed. All nice and cozy.
[19:15.440 --> 19:16.220]  You get them laid out.
[19:16.760 --> 19:18.840]  This is an idea we've been talking about for a long
[19:18.840 --> 19:20.780]  time. I built sleep
[19:20.780 --> 19:23.140]  spaghetti and I'm ready for your questions.
[19:24.800 --> 19:26.800]  Let me start. Did I sleep
[19:26.800 --> 19:28.340]  well? No. Continue.
[19:28.720 --> 19:29.480]  Other questions.
[19:35.040 --> 19:36.880]  I didn't come up with it.
[19:36.960 --> 19:38.460]  I just wanted to finalize it.
[19:39.000 --> 19:39.840]  I saw it.
[19:41.880 --> 19:44.580]  Why is it so much more horrific
[19:44.580 --> 19:45.860]  than it sounded originally?
[19:46.600 --> 19:48.860]  Well, I mean, a number of
[19:48.860 --> 19:50.840]  reasons. He has sleep
[19:50.840 --> 19:52.440]  uncooked spaghetti.
[19:52.660 --> 19:55.140]  This is the noodle before it's
[19:55.140 --> 19:56.720]  wet. You're just
[19:56.720 --> 19:58.860]  sleeping on dry noodles.
[19:59.320 --> 20:00.960]  I think sleep spaghetti is a thing
[20:00.960 --> 20:02.280]  you can like sink into.
[20:02.580 --> 20:03.020]  Andrew,
[20:04.060 --> 20:06.860]  Andrew, this is
[20:07.540 --> 20:09.000]  also brilliant. It's also
[20:09.000 --> 20:10.900]  watching magic happen in front of us.
[20:11.240 --> 20:12.940]  Right now, your spaghetti is
[20:12.940 --> 20:13.880]  too al dente.
[20:13.880 --> 20:14.720]  Oh.
[20:16.020 --> 20:18.080]  It needs to go back in the pot
[20:18.080 --> 20:20.400]  for another ten minutes.
[20:20.920 --> 20:21.940]  That was your
[20:21.940 --> 20:23.980]  vision was more... I feel like a
[20:23.980 --> 20:26.000]  firm noodle. I like my noodles
[20:26.000 --> 20:28.020]  firm. So surely
[20:28.020 --> 20:30.060]  you're slipping immediately
[20:30.060 --> 20:30.740]  through those.
[20:31.680 --> 20:33.840]  Okay, so what you do
[20:33.840 --> 20:35.900]  is you push them to
[20:35.900 --> 20:38.020]  the side. Then you lay down.
[20:38.340 --> 20:39.940]  Then you feel like a
[20:39.940 --> 20:41.760]  building has fallen on top of you.
[20:41.760 --> 20:43.340]  And you don't move.
[20:44.680 --> 20:45.940]  That's the first phase
[20:45.940 --> 20:47.740]  of comfort with the
[20:47.740 --> 20:48.260]  sleep spaghetti.
[20:49.760 --> 20:51.680]  No matter how you lay,
[20:51.800 --> 20:53.900]  it's sort of a problem. If you lay on your back,
[20:53.960 --> 20:55.700]  you feel like you're in Gulliver's Travels.
[20:55.920 --> 20:57.640]  You just feel like you're locked in
[20:57.640 --> 20:59.340]  and you're being held down.
[20:59.500 --> 21:01.800]  If you lay on your side, you feel
[21:01.800 --> 21:03.460]  like a skate ramp is
[21:03.460 --> 21:05.040]  being built off of you.
[21:05.380 --> 21:07.960]  It's a real problem. Other issues
[21:07.960 --> 21:09.360]  that I did not foresee
[21:09.360 --> 21:11.400]  with the sleep spaghetti setup.
[21:12.120 --> 21:13.620]  You can very easily,
[21:13.760 --> 21:15.500]  which I did, knock everything
[21:15.500 --> 21:17.360]  off of your end table trying to
[21:17.360 --> 21:19.580]  adjust a piece of sleep spaghetti
[21:19.580 --> 21:21.120]  because it is a very
[21:21.120 --> 21:23.060]  solid, long piece
[21:23.060 --> 21:25.300]  of foam, I guess. I'm not
[21:25.300 --> 21:27.400]  exactly sure what the material is, but
[21:27.400 --> 21:29.520]  it's solid. And it's not comfy.
[21:30.740 --> 21:33.360]  Can you just imagine if we started episode
[21:33.360 --> 21:35.440]  one with that couple of sentences?
[21:35.700 --> 21:37.020]  How insane that would sound.
[21:38.480 --> 21:39.100]  How what
[21:39.100 --> 21:39.500]  would sound?
[21:41.360 --> 21:43.020]  This is so deep
[21:43.020 --> 21:44.140]  into the lore of nothing.
[21:45.740 --> 21:46.620]  Good lord.
[21:47.480 --> 21:48.940]  And the pillows, for some reason,
[21:49.060 --> 21:50.300]  just look disgusting.
[21:50.860 --> 21:53.100]  Why is everything about that so unappealing?
[21:53.900 --> 21:55.280]  What do you mean? It's just a pile of pillows.
[21:55.740 --> 21:57.100]  Yeah, but they're sort of like off
[21:57.100 --> 21:59.260]  white and they're getting progressively darker.
[21:59.660 --> 22:01.360]  You know what? Yeah, get them, Gavin,
[22:01.440 --> 22:02.360]  get them. No, no.
[22:02.880 --> 22:04.600]  Calm down, rabid duck guy.
[22:04.600 --> 22:06.660]  Okay, I don't want to hear it. You got a fucking rabid
[22:06.660 --> 22:08.820]  duck on your couch. It's true.
[22:09.020 --> 22:10.640]  You got fucking mangoes dried up
[22:10.640 --> 22:12.520]  on your patio. I don't want to hear
[22:12.520 --> 22:14.380]  this nonsense about Pillow Mountain.
[22:14.780 --> 22:16.640]  I think he's just got some that
[22:16.640 --> 22:18.440]  are cream colored and some that are white.
[22:18.780 --> 22:20.960]  You got different colors, you got different shades.
[22:21.300 --> 22:22.780]  You got all sorts of options.
[22:23.260 --> 22:24.720]  I think it looks, I think
[22:24.720 --> 22:26.700]  the pillows look weird because the
[22:26.700 --> 22:28.420]  sleep spaghetti is so
[22:28.420 --> 22:30.440]  unsettling to look at
[22:30.440 --> 22:32.800]  that everything else just makes you question
[22:32.800 --> 22:33.860]  what we're doing here.
[22:35.060 --> 22:36.860]  It's rough stuff, man.
[22:36.920 --> 22:38.060]  I don't know about this.
[22:38.620 --> 22:40.560]  So, yeah,
[22:40.680 --> 22:42.520]  they really dry your eyes to the pillow.
[22:43.680 --> 22:44.720]  So, I
[22:44.720 --> 22:46.720]  would say, not wanting to
[22:46.720 --> 22:48.760]  throw, because I do think the pasta's too
[22:48.760 --> 22:49.480]  al dente, right?
[22:50.300 --> 22:52.880]  But I think not wanting to start from scratch, right?
[22:52.960 --> 22:54.460]  And to take what you've already built.
[22:54.780 --> 22:56.700]  First of all, I think maybe
[22:56.700 --> 22:58.600]  the next step would be
[22:58.600 --> 22:59.960]  to take the noodles
[22:59.960 --> 23:01.600]  and cut them
[23:01.600 --> 23:02.220]  maybe
[23:03.680 --> 23:05.860]  four times per noodle, and then
[23:05.860 --> 23:07.700]  stack them back in so there's more
[23:07.700 --> 23:09.940]  flexibility with them, so that you can
[23:09.940 --> 23:11.620]  manipulate them a little bit better, you see what I'm saying?
[23:11.860 --> 23:13.660]  They're not gonna be any softer, but they'll be more
[23:13.660 --> 23:15.820]  formable. So, like, separate them
[23:15.820 --> 23:17.800]  within the sock, you mean? Yeah, like
[23:17.800 --> 23:19.780]  separate them in the sock, but then have the
[23:19.780 --> 23:21.440]  socks bind them together
[23:21.820 --> 23:23.660]  so that way it acts more like
[23:24.440 --> 23:25.580]  you're creating, like,
[23:25.740 --> 23:27.960]  you're creating spaghetti
[23:27.960 --> 23:29.980]  elbows. Maybe you could make use of
[23:29.980 --> 23:32.100]  the heels if they're in chunks as well.
[23:33.700 --> 23:35.660]  How many socks did you ruin?
[23:36.180 --> 23:38.080]  Well, no. We're gonna get to that, okay?
[23:38.640 --> 23:40.160]  What? I didn't ruin
[23:40.800 --> 23:42.200]  any socks, okay?
[23:42.240 --> 23:43.960]  This is really simple. I'm glad
[23:43.960 --> 23:46.140]  you brought this up, because we have several innovations.
[23:46.680 --> 23:47.940]  Okay? So this is...
[23:47.940 --> 23:49.340]  Look at this. Pants.
[23:50.180 --> 23:52.040]  Okay? Pants. That's a pair of pants
[23:52.040 --> 23:54.380]  I just posted a photo of. That's a pair of pants, yeah.
[23:54.460 --> 23:55.580]  Yeah. A pair of shorts.
[23:55.580 --> 23:57.600]  That's a pair of shorts I just sent a photo of.
[23:58.020 --> 23:59.780]  Socks. Okay?
[24:00.560 --> 24:00.680]  Yeah.
[24:01.380 --> 24:03.160]  Shocks. Look at that.
[24:03.880 --> 24:05.780]  Toe-less socks.
[24:06.000 --> 24:07.860]  I realized I hate pants
[24:07.860 --> 24:09.440]  because I feel
[24:09.440 --> 24:11.780]  confined with my legs.
[24:12.380 --> 24:13.260]  So by
[24:13.260 --> 24:15.860]  cutting the toes off of the sock,
[24:16.080 --> 24:17.720]  my toes now
[24:17.720 --> 24:19.800]  have a freedom which makes me
[24:19.800 --> 24:21.660]  a sock guy. Not a sock guy.
[24:21.860 --> 24:23.020]  A shocks guy.
[24:23.020 --> 24:24.700]  I would wear these.
[24:24.880 --> 24:27.240]  I would enjoy these. I'm going to experiment with these.
[24:27.380 --> 24:28.880]  I think it's two for one.
[24:29.360 --> 24:31.240]  So it's not that I ruined socks.
[24:31.340 --> 24:33.220]  I actually made shocks, which is
[24:33.220 --> 24:34.880]  in my opinion, a superior
[24:34.880 --> 24:37.220]  product. And that's shorts? Socks?
[24:37.480 --> 24:38.740]  Short socks. Shocks.
[24:39.320 --> 24:40.860]  Do you have any
[24:40.860 --> 24:42.400]  examples of people wearing shocks?
[24:42.860 --> 24:44.860]  Uh, no. I do not.
[24:45.080 --> 24:46.920]  I have not put them on because it felt weird
[24:46.920 --> 24:49.080]  to send a foot pic. That goes behind
[24:49.080 --> 24:51.020]  the paywall. Maybe if there's a first
[24:51.020 --> 24:52.540]  situation later,
[24:52.740 --> 24:54.600]  we can experiment with that idea.
[24:55.160 --> 24:56.880]  So it's more of a hand. It could also be
[24:56.880 --> 24:58.540]  fingerless gloves, as I'm displaying.
[24:58.900 --> 25:01.200]  Do you think that they'd slip around though?
[25:01.620 --> 25:02.980]  Slip around? Uh...
[25:02.980 --> 25:04.320]  Yeah, like they wouldn't stay in place.
[25:04.760 --> 25:06.240]  They're snug, aren't they?
[25:06.700 --> 25:08.460]  When you pull a sock up, isn't it snug?
[25:08.780 --> 25:10.060]  Yeah, they're pretty snug.
[25:10.460 --> 25:12.840]  It's like a high sock. I feel like the
[25:12.840 --> 25:13.900]  heel would really grip.
[25:14.820 --> 25:17.120]  You just need the right shoe.
[25:17.120 --> 25:18.140]  Oh.
[25:19.780 --> 25:21.600]  Oh, for God's sake, Garrett.
[25:21.600 --> 25:23.120]  I'm even sick about doubling down.
[25:25.440 --> 25:27.860]  Toe-less shoes is an interesting idea.
[25:28.260 --> 25:28.780]  Idiot.
[25:28.920 --> 25:30.380]  That being said, he's got
[25:30.920 --> 25:32.300]  some form of shock there.
[25:32.880 --> 25:35.260]  I sent a funny picture. That was me being
[25:35.260 --> 25:37.420]  funny. But, just so you know,
[25:37.560 --> 25:38.240]  it is a thing.
[25:38.940 --> 25:40.900]  Yeah. That's great.
[25:41.300 --> 25:43.040]  They're called Opetoes.
[25:43.100 --> 25:44.860]  O-P-E-T-O-Z.
[25:44.860 --> 25:46.900]  I don't want to promote them, but that is what
[25:46.900 --> 25:47.480]  they are real.
[25:48.700 --> 25:50.880]  For your shocks, you can
[25:50.880 --> 25:53.140]  get Opetoes.
[25:53.680 --> 25:54.080]  Shoes?
[25:54.500 --> 25:54.760]  What?
[25:57.040 --> 25:59.100]  Yeah, I guess it's just
[26:00.160 --> 26:00.560]  shoes.
[26:00.900 --> 26:02.080]  I guess I could just get shoes.
[26:02.920 --> 26:04.820]  Fuck. But maybe an extra
[26:04.820 --> 26:05.700]  S. Shoes.
[26:07.280 --> 26:08.840]  Differentiate, because it is kind of confusing.
[26:10.300 --> 26:11.060]  I'll wear them.
[26:11.980 --> 26:12.740]  I'll wear them.
[26:12.740 --> 26:14.360]  I'll test that. I will say, before we
[26:14.360 --> 26:16.140]  venture too far past Sleep Spaghetti,
[26:16.560 --> 26:17.860]  on the positive side,
[26:18.740 --> 26:20.700]  I have never felt more prepared
[26:20.700 --> 26:22.140]  for a flood while sleeping.
[26:24.900 --> 26:26.460]  It's never crossed my mind.
[26:26.660 --> 26:28.480]  But I was in bed, I was laying, I was wrapped
[26:28.480 --> 26:30.300]  around it, and I thought, you know what?
[26:30.360 --> 26:32.520]  If a flood occurred, I feel
[26:32.520 --> 26:34.460]  very ready. I think you'd be the last person
[26:34.460 --> 26:36.220]  to find out. I probably would.
[26:36.640 --> 26:38.500]  You wouldn't find out until your nose hit the ceiling.
[26:39.100 --> 26:40.520]  I wouldn't find out until my
[26:40.520 --> 26:42.580]  AirPods fell out of my ears and the rain
[26:42.580 --> 26:44.460]  stopped, and I realized it was a real
[26:45.020 --> 26:46.520]  situation. This is no longer
[26:46.520 --> 26:48.400]  an imagination thing.
[26:48.720 --> 26:50.580]  Oh, dude.
[26:51.180 --> 26:51.820]  It's my lab.
[26:52.180 --> 26:53.560]  Great lab work, Andrew. Jesus.
[26:53.980 --> 26:56.480]  Okay, I'll test it.
[26:56.540 --> 26:57.820]  I'll cut them up, as you suggested.
[26:58.240 --> 27:00.620]  See if that makes the sleeping experience any
[27:00.620 --> 27:02.700]  better. Yeah, and try wearing
[27:02.700 --> 27:04.380]  the shocks. Do you think I have enough?
[27:04.440 --> 27:06.380]  I have ten. I'd say it covers...
[27:06.380 --> 27:08.560]  I'd say, yeah. If anything, I have too many, it feels like.
[27:08.560 --> 27:10.400]  Would you consider rafting
[27:10.400 --> 27:12.720]  them together? I feel like that ruins
[27:12.720 --> 27:14.440]  the spaghetti aspect of it.
[27:14.460 --> 27:15.360]  Yeah, that's true.
[27:16.020 --> 27:18.760]  Maybe, like, you throw a blanket over it,
[27:18.840 --> 27:19.640]  something could be done?
[27:20.480 --> 27:22.800]  Because I imagine when Geoff conceived
[27:22.800 --> 27:24.600]  sleep spaghetti, they were
[27:24.600 --> 27:26.440]  all sort of tangled up and you would sort of sleep
[27:26.440 --> 27:28.660]  in a heap of spaghetti. Yeah, like a pile
[27:28.660 --> 27:29.180]  of spaghetti.
[27:30.300 --> 27:32.460]  But you can achieve that with
[27:32.460 --> 27:34.540]  jointing the spaghetti he already
[27:34.540 --> 27:36.440]  has. Segmented.
[27:36.440 --> 27:38.580]  Yeah, as soon
[27:38.580 --> 27:40.620]  as we're done today, I'll segment this
[27:40.620 --> 27:42.640]  and figure it out.
[27:42.900 --> 27:44.460]  Andrew, I think it's phenomenal work.
[27:44.640 --> 27:46.420]  I love the shocks. I like where you're going
[27:46.420 --> 27:48.360]  with that. The idea of turning
[27:48.360 --> 27:50.140]  socks into fingerless gloves.
[27:50.740 --> 27:52.540]  I think this spaghetti is like
[27:52.540 --> 27:54.560]  we're just getting closer.
[27:55.380 --> 27:56.600]  Each experiment gets us that much
[27:56.600 --> 27:58.540]  closer. Tremendous work from
[27:58.540 --> 28:00.480]  both of you. I'm only
[28:00.480 --> 28:02.260]  saddened that I haven't been in the lab.
[28:02.960 --> 28:04.400]  Because what you guys have done has been
[28:04.400 --> 28:05.800]  really impressive and inspiring.
[28:06.200 --> 28:08.460]  And I gotta say, this might be the best turnaround
[28:08.460 --> 28:10.260]  to an episode we've ever had.
[28:10.700 --> 28:12.360]  Do you think your breakthrough on
[28:12.360 --> 28:14.440]  fruit gloves deserves an update
[28:14.440 --> 28:15.800]  or is it not ready to talk about?
[28:16.040 --> 28:18.500]  No, no, no. We'll get to that
[28:18.500 --> 28:19.960]  later. I'm not ready.
[28:20.440 --> 28:22.840]  Let me think on it some more.
[28:23.680 --> 28:24.680]  Gotta continue to innovate.
[28:25.180 --> 28:26.520]  I like that it sounds like we're both
[28:26.520 --> 28:28.380]  headed straight back to the lab though, which is good.
[28:28.440 --> 28:30.420]  Oh, we definitely are. And I feel better about
[28:30.420 --> 28:32.480]  my lab position currently than
[28:32.480 --> 28:34.520]  I think you do about yours. Mine is just
[28:34.520 --> 28:35.860]  awful dog shit.
[28:37.480 --> 28:38.520]  I also
[28:38.520 --> 28:40.580]  like that your lab has expanded
[28:40.580 --> 28:42.220]  to just your couch as well.
[28:42.560 --> 28:43.600]  I feel like
[28:44.260 --> 28:46.660]  I get heat from my lab being my desk
[28:46.660 --> 28:48.500]  a lot of the time. But you got
[28:48.500 --> 28:50.060]  a couch lab. I'm jealous.
[28:51.040 --> 28:52.200]  That's a comfortable lab.
[28:52.660 --> 28:54.660]  I guess my bed is now technically a lab
[28:54.660 --> 28:56.480]  as well. We both really
[28:56.480 --> 28:57.900]  expand in our labs.
[28:59.120 --> 29:00.320]  You think I need more noodles,
[29:00.320 --> 29:02.540]  Gavin? You think more noodles would help?
[29:02.880 --> 29:03.880]  Let me take a look at the picture again.
[29:05.240 --> 29:06.000]  Yeah, I'd say
[29:06.000 --> 29:08.520]  you could double it, probably. If they're all segmented
[29:08.520 --> 29:10.060]  and doubled, you could really
[29:10.060 --> 29:12.200]  tunnel your way in and find a really
[29:12.200 --> 29:14.260]  comfortable position. Okay, well this
[29:14.260 --> 29:15.080]  is what we're gonna do.
[29:16.320 --> 29:18.060]  I'm gonna try these shocks out.
[29:18.420 --> 29:20.480]  And if I like them as much as I think
[29:20.480 --> 29:22.220]  I will, then I could
[29:22.220 --> 29:23.820]  double it because I didn't know
[29:24.240 --> 29:26.140]  how many socks it would take to cover
[29:26.140 --> 29:28.060]  a noodle. So I bought two bags
[29:28.060 --> 29:30.180]  of socks and I only needed one.
[29:30.420 --> 29:31.660]  So I have enough
[29:31.660 --> 29:33.680]  sock material to turn them.
[29:34.100 --> 29:36.240]  So I'm kind of prepped in that
[29:36.240 --> 29:38.180]  way. We'll see. As long
[29:38.180 --> 29:40.100]  as I don't mind turning more socks in the shocks,
[29:40.180 --> 29:41.600]  like if I'll actually use them, then
[29:41.600 --> 29:43.720]  we might double it.
[29:44.140 --> 29:45.660]  Eric, just to clarify, what is our
[29:45.660 --> 29:47.500]  f*** face R&D budget currently?
[29:47.940 --> 29:49.220]  Zero. Okay.
[29:49.780 --> 29:51.100]  Yeah, I would say zero.
[29:52.360 --> 29:54.180]  I'm excited to see what else happens
[29:54.180 --> 29:55.600]  in the lab, I suppose.
[29:58.060 --> 29:59.680]  I'm curious. No,
[29:59.900 --> 30:01.640]  I take it back. I'm not curious about shocks.
[30:01.960 --> 30:03.820]  I think I got everything I needed out of shocks.
[30:05.160 --> 30:05.560]  Um...
[30:05.960 --> 30:07.920]  Yeah, it's really something. I'm proud of you, Andrew.
[30:08.380 --> 30:09.440]  Thank you. Yeah.
[30:09.760 --> 30:11.820]  Well, I can't wait. A year from now, you're gonna be
[30:11.820 --> 30:13.420]  wearing shocks yourself. I'm not.
[30:13.660 --> 30:14.940]  I won't be. No.
[30:16.360 --> 30:17.080]  Here's the thing.
[30:17.360 --> 30:19.400]  For the shoes that I wear,
[30:19.680 --> 30:21.780]  I typically wear a very low sock,
[30:21.860 --> 30:22.620]  like an ankle sock.
[30:24.540 --> 30:25.680]  Cutting the toes off that
[30:25.680 --> 30:26.100]  effectively
[30:28.040 --> 30:29.940]  destroys more than half the sock.
[30:30.440 --> 30:31.720]  Yeah. So, I don't
[30:31.720 --> 30:33.700]  really know. It's not really working for
[30:33.700 --> 30:34.500]  me, I suppose.
[30:35.460 --> 30:37.520]  They would've come in handy for the garlic, I think.
[30:37.980 --> 30:39.780]  Mm-hmm. Mm-hmm. Oh, yeah.
[30:40.160 --> 30:41.820]  Ugh. That was bad.
[30:41.920 --> 30:43.700]  I forget that we do that. That's a thought
[30:43.700 --> 30:45.500]  I have, like, every seven months.
[30:45.500 --> 30:47.740]  I'll remember that we did garlic on our
[30:47.740 --> 30:48.720]  feet. Like, ugh.
[30:49.200 --> 30:50.840]  That was wicked.
[30:51.520 --> 30:54.000]  It was a flashback to having my feet in plastic
[30:54.000 --> 30:55.600]  bags, like grocery bags.
[30:55.840 --> 30:57.880]  Yeah, and they could've been shocks the whole time.
[30:58.220 --> 31:00.000]  They could've been shocks. Well, I don't know if
[31:00.000 --> 31:01.220]  I want to put shocks through that.
[31:02.320 --> 31:03.740]  That was unpleasant.
[31:04.200 --> 31:05.220]  That was awful.
[31:05.660 --> 31:06.920]  On several levels.
[31:12.710 --> 31:13.490]  Today's episode
[31:13.490 --> 31:15.270]  is sponsored by PayPal Honey, the
[31:15.270 --> 31:17.110]  easy way to save when shopping on your iPhone
[31:17.110 --> 31:19.230]  or computer. But did you know
[31:19.230 --> 31:21.110]  it only takes a few seconds to get it?
[31:21.370 --> 31:23.310]  That means if you go to add it to your laptop
[31:23.310 --> 31:25.330]  or iPhone right now, you can be
[31:25.330 --> 31:27.370]  done before this ad read is even over.
[31:27.830 --> 31:29.330]  And it always feels great to be able to knock
[31:29.330 --> 31:31.430]  out something immediately. I mean, there's so many things
[31:31.430 --> 31:33.330]  to do in a day. Just
[31:33.330 --> 31:34.670]  being able to get something done quick.
[31:35.350 --> 31:37.270]  It's great. It's a great feeling. And you know what
[31:37.270 --> 31:39.490]  else works fast? Honey's deal-finding
[31:39.490 --> 31:41.330]  abilities. Honey is the free
[31:41.330 --> 31:43.230]  shopping tool that scours the internet for
[31:43.230 --> 31:45.250]  promo codes and applies the best one it finds
[31:45.250 --> 31:47.170]  to your cart. Now, how it works is
[31:47.170 --> 31:49.150]  imagine you're shopping on one of your favorite sites.
[31:49.330 --> 31:51.350]  When you check out, the Honey button appears
[31:51.350 --> 31:53.590]  and all you have to do is click apply coupons.
[31:53.590 --> 31:55.390]  Wait a few seconds as Honey searches
[31:55.390 --> 31:57.030]  for coupons it can find for that site.
[31:57.430 --> 31:59.330]  If Honey finds a working coupon,
[31:59.690 --> 32:01.090]  you'll watch the prices drop.
[32:01.570 --> 32:03.450]  I have used Honey and save money on
[32:03.450 --> 32:05.670]  so many things from clothing, food,
[32:05.870 --> 32:07.570]  technology. It's so easy
[32:07.570 --> 32:09.150]  to use. It's so easy to download.
[32:09.850 --> 32:11.910]  It's just a great feature to have.
[32:12.410 --> 32:13.570]  Did you know that Honey doesn't
[32:13.570 --> 32:15.710]  just work on desktops? It works on your iPhone
[32:15.710 --> 32:17.650]  too. Just activate it on Safari
[32:17.650 --> 32:19.510]  on your phone and save on the go.
[32:20.150 --> 32:21.670]  Getting Honey seriously only takes
[32:21.670 --> 32:23.590]  a few seconds. And by getting it, you'll be
[32:23.590 --> 32:25.830]  doing yourself a solid and supporting this show.
[32:26.230 --> 32:27.610]  Get PayPal Honey for free
[32:27.610 --> 32:29.270]  at joinhoney.com slash face.
[32:29.770 --> 32:31.430]  That's joinhoney.com
[32:31.430 --> 32:32.750]  slash face.
[32:33.830 --> 32:35.550]  This show is sponsored by
[32:35.550 --> 32:37.630]  BetterHelp. There are so many
[32:37.630 --> 32:39.830]  times, especially growing
[32:39.830 --> 32:42.050]  up, I felt directionless.
[32:42.410 --> 32:43.570]  Not really knowing what I
[32:43.570 --> 32:45.050]  wanted to do with my future.
[32:45.550 --> 32:46.170]  The fear.
[32:47.630 --> 32:49.530]  It sucks. It's not a fun time.
[32:49.530 --> 32:51.410]  Even now, it's so easy to
[32:51.410 --> 32:52.990]  second guess what your direction is.
[32:53.750 --> 32:55.490]  I found just trying
[32:55.490 --> 32:57.450]  stuff and doing new experiences
[32:57.450 --> 32:59.550]  and just learning from those to be super helpful.
[32:59.910 --> 33:01.390]  But sometimes
[33:01.390 --> 33:03.450]  it's great to talk to someone about those
[33:03.450 --> 33:05.390]  kinds of issues. And whether
[33:05.390 --> 33:07.150]  you're dealing with decisions around your career,
[33:07.310 --> 33:09.470]  relationships, or anything else, you can move
[33:09.470 --> 33:11.090]  forward with confidence and excitement
[33:12.630 --> 33:13.570]  through therapy
[33:13.570 --> 33:15.410]  or other methods. I know therapy
[33:15.410 --> 33:17.710]  is something for me that has been super
[33:17.710 --> 33:19.830]  beneficial. It
[33:19.830 --> 33:21.870]  has helped me in not
[33:21.870 --> 33:23.770]  just understanding some of my
[33:23.770 --> 33:25.670]  past trauma or anxiety issues,
[33:25.750 --> 33:28.050]  but approaching
[33:28.050 --> 33:29.650]  them in a way that I don't think I ever would have
[33:29.650 --> 33:31.830]  naturally come to by myself. So I would highly
[33:31.830 --> 33:33.730]  recommend that experience
[33:33.730 --> 33:35.250]  and that process to anyone.
[33:36.210 --> 33:37.910]  If you're thinking of starting therapy,
[33:38.050 --> 33:38.950]  give BetterHelp a try.
[33:39.510 --> 33:41.930]  It's entirely online, designed to be convenient,
[33:42.110 --> 33:43.810]  flexible, and suited to your schedule.
[33:44.090 --> 33:45.950]  All you have to do is fill out a brief questionnaire,
[33:45.950 --> 33:47.810]  get matched with a licensed therapist,
[33:48.270 --> 33:50.250]  and you have the ability to switch therapists
[33:50.250 --> 33:52.070]  any time for no additional charge.
[33:52.750 --> 33:54.010]  Let therapy be your map
[33:54.010 --> 33:56.490]  with BetterHelp. Visit BetterHelp.com
[33:56.490 --> 33:58.110]  slash face today to get 10%
[33:58.110 --> 33:59.830]  off your first month. That's
[33:59.830 --> 34:01.970]  BetterHelp.com
[34:01.970 --> 34:03.370]  slash face.
[34:05.610 --> 34:06.650]  We have...
[34:06.650 --> 34:07.970]  I know we want to get to Vegas
[34:07.970 --> 34:10.110]  and everything. Can we talk
[34:10.110 --> 34:12.230]  about the break show real quick, Geoff?
[34:12.370 --> 34:14.010]  Are we fine
[34:14.010 --> 34:15.370]  to talk about that?
[34:16.090 --> 34:17.190]  Yeah, dude. Do it.
[34:18.770 --> 34:19.810]  Mondays, 4pm Central
[34:19.810 --> 34:21.850]  Time on RT and the F*** Face YouTube.
[34:22.150 --> 34:23.710]  We're live. We're doing the break show.
[34:23.910 --> 34:25.850]  It's weekly, every Monday. If there's a Monday
[34:25.850 --> 34:27.930]  where we're off, we're not pre-recording it. We just won't
[34:27.930 --> 34:29.670]  do one that week. And then the VOD,
[34:30.110 --> 34:31.910]  so if you want to watch it later, it'll be up on
[34:31.910 --> 34:33.770]  Thursday on Rooster Teeth first, and then Friday
[34:33.770 --> 34:35.810]  for the... on the F*** Face YouTube channel.
[34:36.170 --> 34:37.950]  So, there you go. I figure if we put
[34:37.950 --> 34:39.690]  it in the middle of the episode, it's more effective than
[34:39.690 --> 34:41.490]  the very, very end. You know what I mean?
[34:41.490 --> 34:42.810]  And we're starting in August, right?
[34:43.050 --> 34:45.490]  August 7th, so it'll be the first...
[34:46.090 --> 34:47.570]  I think, what? That's next week when this one
[34:47.570 --> 34:48.430]  comes out, so...
[34:48.430 --> 34:50.310]  Very soon.
