[00:10.400 --> 00:11.460]  Alright, action.
[22:09.520 --> 22:09.540]  Good relationship.
[22:10.020 --> 22:10.340]  Okay.
[22:11.040 --> 22:12.220]  That's, that's my theory.
[22:13.340 --> 22:15.720]  I don't understand your theory, even after you explained it.
[22:15.720 --> 22:16.060]  That's right.
[22:16.740 --> 22:21.320]  I was, I was friends with a kid in high school. I don't remember his name now.
[22:21.600 --> 22:32.560]  But I was friends with a kid in high school who I still, to this day, think might have killed his parents and had just been living in the house with his dead parents the whole time and pretending that they were alive.
[22:33.140 --> 22:33.260]  What?
[22:33.400 --> 22:33.600]  What?
[22:33.600 --> 22:45.560]  He was a weird guy and he would never let me into his house. And I never, I saw his dad once when he first moved into town and then never again. And it was always, he was always like, filling in for his parents in a certain way. It was weird.
[22:45.800 --> 22:53.680]  I think, I think he might have killed or eaten his parents and kept them in the, maybe in like the bathroom and just lived as if they were alive.
[22:53.860 --> 22:57.900]  Could you have possibly just stayed at his house and see if any of the cars moved around and stuff?
[22:58.180 --> 23:02.080]  I should have. I should have been more inquisitive at the time.
[23:02.080 --> 23:07.400]  At the time, I remember thinking like, I like this guy and I like hanging out with him, but I should not be alone with him at night.
[23:10.080 --> 23:13.500]  I have a question about the wedding, Geoff. I'm looking at my notes. I remember this.
[23:14.600 --> 23:24.540]  Yeah, fire away. I don't have anything else about the wedding, by the way. I do have like one or two honeymoon stories I'd like to share with you guys, but anything you got, I'm ready to move on from the wedding unless anybody wants to talk about it.
[23:24.620 --> 23:26.640]  Yeah, this is a brief wedding question.
[23:26.640 --> 23:37.440]  Were you able to like get Gavin to do the best man speech by telling him that he would get the sip out of the face curly straw if he did it as an incentive like his parents?
[23:38.620 --> 23:40.340]  Yes, I do now have that straw.
[23:40.580 --> 23:43.080]  Have you tried to use it? Oh my God.
[23:43.160 --> 23:43.360]  Not yet.
[23:43.360 --> 23:45.140]  Oh my God.
[23:45.720 --> 23:54.460]  So we made the curly straw that Gavin wanted. That is the name of our show with like things for the dashes.
[23:54.680 --> 24:03.340]  It is the worst straw I've ever tried to use. It is terrible. It takes so much suction.
[24:04.020 --> 24:09.100]  I tried to drink a soda out of it, I think because of the bubbles made it even harder.
[24:09.560 --> 24:11.220]  It is a monster.
[24:11.220 --> 24:18.520]  If you're somebody who like powers through drinks, I would actually recommend it. It forces you to slow down. You cannot chug with this straw.
[24:19.040 --> 24:20.840]  Should we have a race through the straw, do you think?
[24:21.000 --> 24:23.100]  I would love to have a straw race.
[24:23.320 --> 24:27.220]  I think this is such a good idea. Somebody's going to pass out.
[24:30.620 --> 24:32.900]  We'll put some pillows down on the ground.
[24:32.900 --> 24:39.180]  Yeah, we should all plop down a full Gerpler and first one to empty it.
[24:39.440 --> 24:43.480]  That's insane. That would be so crazy.
[24:44.340 --> 24:47.300]  What if for safety we all wear football helmets while we do it?
[24:47.480 --> 24:53.760]  Okay, now as long as you're wearing something, it doesn't have to be football, it can be any kind of helmet that you feel comfortable with.
[24:53.760 --> 25:07.580]  That you feel confident that when you are about a third of the way through the Gerpler and your vision is starting to vignette and you see the black coming in from either side and you're about to take a header.
[25:07.840 --> 25:10.240]  As long as you're comfortable in that helmet, then I think we're good.
[25:11.200 --> 25:11.640]  I'm down.
[25:11.980 --> 25:14.780]  I'm telling you, we need those old people hip airbags.
[25:15.740 --> 25:17.640]  Oh, I forgot about the hip airbags.
[25:17.660 --> 25:19.160]  I forgot about the hip airbags.
[25:19.160 --> 25:24.500]  Get four of those. Is Gracie doing it? Gracie, are you going to pass out with us?
[25:25.100 --> 25:32.540]  Gracie said yes. Gracie said she's going to pass out with us and she will get us some old person hip airbags.
[25:33.000 --> 25:36.880]  What is that? Is that something from the podcast or from a video game?
[25:36.920 --> 25:37.420]  From the podcast.
[25:38.400 --> 25:40.020]  When did we talk about hip?
[25:40.400 --> 25:42.680]  Oh my god, like a hundred episodes ago.
[25:42.920 --> 25:44.060]  Episode 80 maybe?
[25:44.060 --> 25:49.200]  Yeah, they just detect a fall and blow out an airbag before you hit the ground.
[25:49.560 --> 25:53.420]  I was at the office a couple weeks ago and I saw Gracie doing something weird.
[25:54.180 --> 25:55.700]  What does that mean? This is so exciting.
[25:57.180 --> 26:01.100]  Well, it probably wasn't like this, but this is what it looked like.
[26:01.700 --> 26:08.660]  Gracie was stuffing some cardboard into the recycling bin, but it has like a very thin slot.
[26:09.280 --> 26:12.400]  So she was stuffing it down, but I don't think it fit.
[26:12.400 --> 26:15.200]  So she then lifted the lid off.
[26:16.640 --> 26:22.240]  What I assumed was a measure so she could just shove the cardboard under the lid and be done with it.
[26:22.480 --> 26:30.780]  But then she just continued to push the cardboard through the lid while it was in her hand.
[26:33.940 --> 26:36.260]  I was in too deep once I changed my mind.
[26:38.020 --> 26:40.700]  You were in too deep?
[26:41.640 --> 26:46.500]  If there was ever a moment that is like you're perfect for being part of the show, it was that.
[26:46.580 --> 26:49.240]  What does that fucking mean? I'm in too deep for recycling?
[26:49.240 --> 26:50.160]  That's something Andrew would say.
[26:50.400 --> 26:53.260]  Yeah, that is absolutely something I would say. That's ridiculous.
[26:53.620 --> 26:54.020]  Oh my god.
[26:54.360 --> 26:55.300]  What the fuck?
[26:55.760 --> 26:57.620]  Yeah, that's weird, Gavin. You're right.
[26:57.820 --> 26:58.820]  That's the only thing that's weird.
[26:59.640 --> 27:02.620]  Well, hey, did the task get accomplished though?
[27:03.260 --> 27:03.640]  Yes.
[27:04.060 --> 27:04.460]  There you go.
[27:05.460 --> 27:06.600]  Listen to that confidence!
[27:07.680 --> 27:13.220]  The same thing happened, but a foot above the bed instead of just through the bed.
[27:13.700 --> 27:15.100]  I didn't think I would stick with you.
[27:15.520 --> 27:17.740]  I think it would. That's a strange sight.
[27:18.040 --> 27:18.800]  That was memorable.
[27:23.300 --> 27:27.700]  There's something special about being called weird by a pubilous dude in a bathtub.
[27:28.060 --> 27:33.460]  Like that's such a strange... I'm not... I'm no authority on calling anyone else weird.
[27:34.420 --> 27:37.400]  So Andrew, you've gone hard in there with Gracie's a weirdo?
[27:38.020 --> 27:43.920]  Uh, no. I think that was a moment of weirdness. I don't think there's enough earned for weirdo status.
[27:44.460 --> 27:45.700]  Eric says she's weird.
[27:46.020 --> 27:54.860]  You haven't heard Gracie on FaceJam. It's... like the way Nick is on FaceJam and how he's here, he's like a regulation guy or whatever.
[27:55.040 --> 27:58.160]  And I feel like Gracie's pretty regulation here as well, pretty straightforward.
[27:59.840 --> 28:04.640]  On FaceJam, they're like the same person. They're like little gremlins, like little freaks kind of stuff.
[28:07.280 --> 28:13.180]  Man, speaking of being gremlins, so to circle back to the wedding just for one minute.
[28:13.980 --> 28:17.440]  We did have, the night before wedding, we had the rehearsal dinner.
[28:17.700 --> 28:24.380]  Which is the way you're supposed to do it is you go and you have a rehearsal with like the best man and that was a funny fucking...
[28:24.380 --> 28:25.060]  Wait, that was a dinner?
[28:25.680 --> 28:31.020]  That was the rehearsal. And then right after the rehearsal, you have the rehearsal dinner, right?
[28:31.580 --> 28:34.320]  Which, by the way, Gavin didn't show up for the rehearsal. That was very fucking funny.
[28:34.480 --> 28:40.200]  So I filmed the rehearsal for him and sent it to him. And then he just walked out of the woods and he was like...
[28:40.200 --> 28:46.440]  I had a bit of a bear finding the thing. You sent me a video. I was just outside the venue in a traffic jam.
[28:47.500 --> 28:53.760]  It was not your fault. It was not your fault at all. You were caught in a crazy traffic jam that I got caught in trying to leave.
[28:53.760 --> 28:56.600]  But it was just really funny. And I thought, everybody's like, where the fuck is Gavin?
[28:56.680 --> 29:00.620]  And I thought, I don't know if I ever talked to him about this. And I know he doesn't read email.
[29:01.040 --> 29:05.040]  So he may not know about this. And I thought, no worries, everybody. I got it. I got it.
[29:05.080 --> 29:08.100]  Because I'm always like protecting my Gavin, right? So I was like, I got it.
[29:08.160 --> 29:12.020]  And I just filmed it. I just narrated. I'm like, all right, you're going to go down here and then you're going to do this.
[29:12.080 --> 29:14.300]  And then you're going to walk over there. And that's where the ring bearer is.
[29:14.520 --> 29:16.940]  And then I just sent him this video and I'm like, you'll need this for tomorrow.
[29:17.080 --> 29:20.080]  And then he just like emerged from the woods two minutes later.
[29:20.080 --> 29:24.080]  I was looking at the video, trying to line it up with what I could see in real life.
[29:24.220 --> 29:27.520]  And I saw some water. I saw like a big lake or river or something.
[29:27.640 --> 29:32.060]  So I was like, okay, well, I can see that. And then I ended up walking all the way down to the river.
[29:32.160 --> 29:35.060]  And I was like, I don't think they're here. Because I was starting to walk into mud and shit.
[29:35.200 --> 29:36.060]  I was like, this isn't right.
[29:38.040 --> 29:40.360]  You're getting real life truck action in. You're getting in the mud.
[29:40.360 --> 29:42.780]  You needed to fucking hitch to something to get out of it.
[29:43.260 --> 29:44.020]  I was like, Antonio!
[29:45.760 --> 29:49.380]  But right after that, we went and we had the rehearsal dinner.
[29:49.380 --> 29:54.660]  And instead of just having a dinner for like friends and like your parents.
[29:54.900 --> 29:56.840]  And I guess the bridal party is what you would call it.
[29:57.480 --> 30:01.340]  We just invited everybody that we invited to the wedding to the rehearsal dinner.
[30:01.520 --> 30:04.100]  And we rented top notch, the hamburger place.
[30:04.260 --> 30:06.100]  And we just had free hot hamburgers all night.
[30:06.740 --> 30:10.860]  I've got to say, I might have eaten nine hamburgers that night.
[30:11.280 --> 30:12.760]  Oh my God. You're at the confidence.
[30:13.180 --> 30:17.920]  Just having hamburgers available, hot and fresh at all times.
[30:17.920 --> 30:19.180]  Oh wow.
[30:19.580 --> 30:22.640]  It was maybe one of the best moves of my life.
[30:23.120 --> 30:26.100]  Like I was in the moment thinking like, you really killed this.
[30:26.440 --> 30:27.640]  And then just grab some onions.
[30:28.420 --> 30:32.720]  I fucking, I was just going to ask if you guys ate a bunch of hamburgers.
[30:33.000 --> 30:33.300]  I did.
[30:33.440 --> 30:35.340]  I had a couple of hamburgers.
[30:35.560 --> 30:39.980]  But dude, the onion rings with Lone Star light.
[30:40.220 --> 30:41.680]  And you're just throwing them back.
[30:41.940 --> 30:43.900]  Was like, what a combo.
[30:44.640 --> 30:47.460]  And then at the end, it was like, hey, there's apple pies.
[30:48.600 --> 30:49.400]  Fucking awesome.
[30:49.620 --> 30:51.580]  They were so good.
[30:51.720 --> 30:53.100]  It sounds so good.
[30:53.380 --> 30:55.100]  And it's all from Top Notch.
[30:55.200 --> 30:56.560]  So it's like, it's fucking great.
[30:56.760 --> 30:57.420]  It's so good.
[30:57.740 --> 31:01.960]  And then I heard, I heard somebody got sick, but no one else got sick.
[31:02.120 --> 31:03.180]  So I'm really confused.
[31:04.940 --> 31:05.640]  I don't know.
[31:05.700 --> 31:10.700]  I have not heard that, but I definitely ate my body weight in hamburgers and felt just fine.
[31:11.020 --> 31:16.280]  Anyway, if you're ever thinking about like getting married and having a rehearsal dinner, just have it at a fast food restaurant.
[31:16.280 --> 31:17.240]  It's the fucking way to go.
[31:17.320 --> 31:17.740]  It was awesome.
[31:22.580 --> 31:25.280]  What do you call a person who speaks three languages?
[31:25.700 --> 31:26.200]  Trilingual.
[31:26.840 --> 31:27.900]  Someone who speaks two?
[31:28.320 --> 31:28.900]  Bilingual.
[31:29.520 --> 31:30.640]  Someone who speaks one?
[31:31.040 --> 31:31.620]  American.
[31:32.240 --> 31:35.760]  Only 22% of Americans speak a language other than English at home.
[31:36.240 --> 31:40.700]  Start learning a new language this fall and be the exception, not the rule.
[31:40.880 --> 31:45.160]  Because with Babbel, you start speaking a new language in just three weeks.
[31:45.700 --> 31:48.120]  This fall, you can start speaking a new language with Babbel.
[31:48.120 --> 31:49.140]  Why Babbel?
[31:49.300 --> 31:50.360]  Because it works.
[31:50.780 --> 31:56.300]  Instead of paying hundreds of dollars for a private tutor or fooling yourself with language apps that are little more than games,
[31:56.680 --> 32:04.820]  Babbel's quick 10-minute lessons are designed by over 150 language experts to help you start speaking a new language in as little as three weeks.
[32:05.240 --> 32:07.820]  Babbel is designed by real people for real conversations.
[32:08.320 --> 32:16.940]  All of Babbel's tips and tools for learning a new language are approachable, accessible, rooted in real-life situations, and delivered with conversation-based teaching.
[32:17.580 --> 32:23.500]  Babbel's courses are so easy and convenient to learn actual important real-life conversation skills.
[32:24.000 --> 32:32.000]  Things like how to order food or ask for directions, talking to people in the community without having to consult an app while on vacation,
[32:32.780 --> 32:36.020]  that's so annoying whenever you have to pull an app out when you're traveling somewhere.
[32:36.240 --> 32:40.960]  It's so much more immersive and you can tell you make a deeper connection with the person when you can speak their language.
[32:41.080 --> 32:46.460]  It's always so exciting when you're surprised by somebody who speaks a language that maybe you didn't anticipate.
[32:46.460 --> 32:55.840]  Plus, you know, hello, bonjour, you get that sound whenever you ideally pair the word or you pronounce it correctly.
[32:55.900 --> 33:00.220]  Not pair isn't the right word, but when you say a word correctly, you get that and it's just, it's fun.
[33:00.360 --> 33:03.760]  You get that affirmation that you're doing it correctly and it's so simple.
[33:04.440 --> 33:08.900]  Studies from Yale, Michigan State University, and others continue to prove Babbel is better.
[33:09.100 --> 33:14.600]  For instance, one study found that using Babbel for 15 hours is equivalent to a full semester at college.
[33:14.600 --> 33:20.100]  With over 10 million subscriptions sold, Babbel is real language learning for real conversations.
[33:20.700 --> 33:25.860]  Here's a special, limited time deal for our listeners to get you started right now.
[33:26.180 --> 33:32.560]  Get 55% off your Babbel subscription, but only for our listeners at babbel.com slash face.
[33:32.880 --> 33:40.840]  Get 55% off at babbel.com slash face, spelled B-A-B-B-E-L dot com slash face.
[33:41.280 --> 33:43.260]  Rules and restrictions may apply.
[33:43.860 --> 33:48.600]  Cold turkey may be great on sandwiches, but there's a better way to break your bad habits.
[33:49.080 --> 33:53.480]  And we're not talking about some absurd TikTok trend that's just complete nonsense.
[33:53.860 --> 33:58.840]  We're talking about our sponsor Fume and how they look at the problem in a different way.
[33:59.420 --> 34:06.000]  Not everything in a bad habit is wrong, so instead of a drastic and comfortable change, why not just remove the bad from your habit?
[34:06.600 --> 34:10.080]  Fume is an innovative award-nominated device that does just that.
[34:10.080 --> 34:12.980]  Instead of electronics, Fume is completely natural.
[34:13.200 --> 34:15.780]  Instead of vapor, Fume uses flavored air.
[34:16.140 --> 34:20.460]  And instead of harmful chemicals, Fume uses all natural, delicious flavors.
[34:20.940 --> 34:23.820]  You get it. Instead of bad, Fume is good.
[34:24.200 --> 34:27.900]  It's a habit you're free to enjoy, and makes replacing your bad habit easy.
[34:28.400 --> 34:33.020]  Your Fume comes with an adjustable airflow dial and is designed with movable parts and magnets for fidgeting,
[34:33.360 --> 34:38.280]  giving your fingers a lot to do, which is helpful for de-stressing and anxiety while you break your habit.
[34:38.280 --> 34:44.820]  I didn't necessarily know what to expect when I saw Fume, but I was struck immediately by how just good it feels.
[34:45.000 --> 34:48.700]  It's weighted perfectly, and it's really genuinely fun to fidget with.
[34:48.820 --> 34:50.620]  It's just like a fun thing if you want to play with.
[34:50.920 --> 34:55.780]  It also looks incredibly cool. It's something that you could feel awesome using.
[34:56.060 --> 34:59.900]  It's not like some weird-looking device. It has a really nice design to it.
[35:00.480 --> 35:07.560]  Something that I also wanted to say is that it just, all around, is a great product, so I'd recommend it.
[35:08.460 --> 35:14.220]  Stopping is something we all put off because it's hard, but switching to Fume is easy, enjoyable, and even fun.
[35:14.720 --> 35:21.080]  Fume has served over 100,000 customers and has thousands of success stories, and there's no reason that can't be you.
[35:21.520 --> 35:26.620]  Join Fume in accelerating humanity's breakup from destructive habits by picking up the Journey Pack today.
[35:27.140 --> 35:32.500]  Head to tryfume.com and use code FACE to save 10% off when you get the Journey Pack today.
[35:32.500 --> 35:40.000]  That's tryfume.com and use code FACE to save an additional 10% off your first order today.
[35:41.180 --> 35:47.020]  Gifting is a no-brainer this holiday season thanks to the unmatched comfort and style of MeUndies.
[35:47.240 --> 35:54.860]  From undies to bralettes to socks and loungewear, MeUndies has the perfect gift for yourself or anyone else on your list.
[35:55.240 --> 36:00.280]  Even those hard-to-gift people, MeUndies has a holiday gift guide that makes it all super easy.
[36:00.280 --> 36:05.560]  I am a big fan of the holiday gift guide. Any holiday gift guide. I love the holidays so much.
[36:06.660 --> 36:13.580]  I got myself some very cute boxer briefs. It has a marshmallow in a cup with hot chocolate.
[36:14.120 --> 36:19.780]  They're so comfy. I love underwear. I mean, people know I like to Winnie the Pooh it a lot of the time,
[36:19.840 --> 36:25.420]  but a lot of the times that Winnie the Poohing is I got underwear on and have some great boxer briefs.
[36:25.420 --> 36:30.920]  It's always such a nice feeling. I love getting new underwear. It's fantastic.
[36:31.580 --> 36:36.060]  They have styles for everyone from all-black classics to fun expressive prints.
[36:36.540 --> 36:43.200]  MeUndies has a look for everyone, plus they come in sizes extra small through 4XL, guaranteeing a flattering cut for everyone.
[36:43.760 --> 36:46.140]  Versatile loungewear. MeUndies isn't just about underwear.
[36:46.600 --> 36:50.720]  Explore the lounge collection featuring comfy joggers, hoodies, onesies, and more.
[36:50.720 --> 36:57.620]  They have unmatched comfort. MeUndies' signature fabric is as soft as a warm hug from your favorite sweater.
[36:58.040 --> 37:03.420]  It's breathable, stretchy, and oh-so-comfy, making it ideal for all-day wear.
[37:03.920 --> 37:09.080]  And as I just said, I mean, they're breathable. MeUndies fabrics are light and breathable to help regulate your body temperature
[37:09.080 --> 37:14.240]  so you can stay cool and comfy, which is so important to me. Like, that's the number one thing you want with underwear
[37:14.240 --> 37:18.700]  is you want to be cool. You want that comfort. And they're responsibly sourced.
[37:18.700 --> 37:23.120]  They use sustainably sourced materials and work with partners that care for their workers.
[37:23.760 --> 37:28.400]  It's a problem-free philosophy. Not happy with your first pair of undies? It's on MeUndies.
[37:29.000 --> 37:36.640]  So please, knock out your holiday shopping today and get 20% off your first order plus free shipping at MeUndies.com slash face.
[37:37.000 --> 37:44.000]  That's MeUndies.com slash face for 20% off plus free shipping. MeUndies. Comfort from the outside in.
[37:45.540 --> 37:52.220]  You didn't hear about that? No. Huh. Who got sick? Do you want to elaborate?
[37:53.500 --> 37:58.660]  Well, I threw it all up. I chugged it everywhere. You threw up all the burger?
[37:59.260 --> 38:04.640]  Yeah, you did. I did remember that. You did tell me that. I figured that was nerves, though.
[38:04.920 --> 38:11.180]  I don't know if it was. It might have been. I will say it definitely wasn't the food because everyone ate what you ate
[38:11.180 --> 38:14.220]  and literally no one else got sick. Yeah, a hundred other people were there.
[38:14.640 --> 38:18.120]  I was lying in bed and then I was like, it feels a bit iffy.
[38:18.320 --> 38:24.500]  And then I got the sort of excess of saliva happening in my mouth. I was like, oh, I'm actually going to throw this up.
[38:24.560 --> 38:28.980]  God damn it. And I went and I chugged for about 45 minutes and then went back to bed.
[38:30.120 --> 38:37.180]  45 minutes? And then I realized last year a family member of mine got married in England
[38:37.180 --> 38:43.140]  and I chunked at that wedding. And I think weddings make me sick. I think weddings make me hurl.
[38:44.260 --> 38:48.060]  45 minutes? Well, there was a couple of rounds to it.
[38:49.380 --> 38:56.200]  Listen, we got to work on your throw up game. You should not be taking 45 minutes to get through that.
[38:56.440 --> 39:00.400]  That is a long amount of time. Well, I'm not there hunched over for 45 minutes.
[39:00.560 --> 39:05.560]  I'll hurl and then I'll feel like, oh, I'm glad that's out. And then I'll go back to bed and be like, oh, there's more to come.
[39:05.560 --> 39:10.480]  Yeah, I'm saying you're not properly clearing the system. When I'm there, I'm going to teach you.
[39:10.560 --> 39:15.940]  It's going to sound like an animal is getting executed, but you're going to get all that out in like two minutes.
[39:15.940 --> 39:21.740]  Oh, I'm actually, I can throw up in complete silence. It just sounds like throwing a cup of water.
[39:22.180 --> 39:24.500]  That's why you're throwing up for 45 minutes. Yeah.
[39:25.760 --> 39:30.320]  You're acting like you're fucking Sam Fisher with your vomit. You just need to get it out that way.
[39:31.320 --> 39:37.760]  As I said, it sounds like a series of animals are being killed, but my puke is out within 30 seconds.
[39:38.360 --> 39:42.240]  We should we should get like one of those decibel meters and both hurl next to it.
[39:42.440 --> 39:47.660]  Oh, mine would be so loud. I'm such a loud puker.
[39:48.340 --> 39:50.500]  Vomit decibel test.
[39:51.340 --> 39:55.340]  We'll each do a gallon of milk. On lactose intolerance. That seems unfair.
[39:55.340 --> 40:00.520]  Well, I think considering the goal is to hurl. Yeah, I think it'll make your puke stronger.
[40:00.880 --> 40:05.500]  We could get Ipecac. That seems a bit risky. I think the milk is the way to go.
[40:05.680 --> 40:08.540]  We'll figure out a non-risky way. No, it's fine. I'll deal with it.
[40:08.980 --> 40:13.840]  But yeah, you were telling us the story, weren't you, a while ago about how you would be at that gym with those women
[40:13.840 --> 40:18.540]  and they would kind of like get in on the guy and then you would just ruin the vibe by just throwing up.
[40:19.660 --> 40:29.120]  I'm like 20 year old me in this exercise class with like two 40 year old women that are clearly like vibing with the instructor
[40:29.120 --> 40:33.620]  talking about like they very they clicked. They were friends. It was very relatable.
[40:33.720 --> 40:38.000]  And I would just vomit every workout, especially when we would do stuff outside.
[40:38.540 --> 40:44.520]  And I had a fear of vomiting before that, but I did it so often that I got over it.
[40:44.520 --> 40:49.360]  Now I'm efficient. I'm a great vomiter. You know what? I do the same thing.
[40:49.540 --> 40:55.000]  If I work out like at a class or something, I vomit every time. I'm right there with you, Andrew. I commiserate with you.
[40:55.440 --> 40:59.200]  I almost fainted on the first one because I was trying to keep the vomit in.
[40:59.380 --> 41:04.000]  So I almost passed out after that. Just it's flying. There's no stopping it.
[41:04.540 --> 41:10.120]  Is it possible to hold vomit in? Like if you just grab your lips and squeeze them shut and hold your nose.
[41:10.120 --> 41:15.500]  Does it come out your ears? No, it's not. I would not for that specifically.
[41:15.680 --> 41:21.420]  But I've had cases where it's like I could, but I really don't want to. And it's just like kind of trying to calm your body down.
[41:21.540 --> 41:25.980]  And I've had times where I've I've canceled out the puke. Wow. For sure.
[41:26.800 --> 41:34.060]  I anytime I feel like I'm there's a possibility I could puke. I just try to go ahead and do it and get past it immediately.
[41:34.060 --> 41:39.600]  Yes, I feel the exact same way. Yep. 100%. Because there's like a on a good day.
[41:39.900 --> 41:46.060]  And it's obviously not a good day because you're nauseous. But like on a good day, you've got like maybe like a 25% chance of fighting that back.
[41:46.200 --> 41:51.940]  It's like why be miserable for 30 minutes? Just go ahead and get it over with. Just move on with your life.
[41:52.340 --> 41:57.880]  I just feel like there's any possibility that I won't throw up. I'll take that. I'd rather just do it.
[41:57.880 --> 42:04.560]  I hate I hate throwing up. So do I. But if you do it enough, it becomes nothing like you just it's a process.
[42:05.020 --> 42:08.640]  I don't I don't agree with that. It's something every time I do it, it's traumatic.
[42:09.060 --> 42:15.660]  No, for me, it's nothing. So it doesn't ruin your... That's me.
[42:16.220 --> 42:19.440]  What is the noise involuntary for you or do you just do you think it helps?
[42:19.960 --> 42:27.260]  I it's like I'm trying to hit a high note like I am throwing everything I have into getting it out as much as I can.
[42:27.260 --> 42:32.620]  I mean, it's the same as like it's the same as like tennis players grunting when they hit the ball.
[42:33.000 --> 42:35.140]  Yeah, that's a great example of it. It is.
[42:35.480 --> 42:38.460]  Do you go bright red, though, when you're screaming through a load of chunks?
[42:39.360 --> 42:46.020]  No, I don't think so. I've puked out red chunks, but John Pukenrow.
[42:48.540 --> 42:49.660]  Andre Gagassi.
[42:54.260 --> 42:57.120]  That was the quickest you've ever been.
[42:59.720 --> 43:04.120]  Listen, I'm well versed in puking. It's my comfortability. I can find things fast.
[43:05.540 --> 43:09.260]  You grew up puking with the sewing machine. You got tennis puke puns for days.
[43:09.400 --> 43:13.980]  Oh, yeah, for days. Speaking of eating and enjoying things,
[43:13.980 --> 43:17.260]  I wanted to make sure I touched on something within this episode.
[43:17.360 --> 43:20.720]  And it sounds like you have some stories, Geoff, so I'll make this brief.
[43:21.140 --> 43:27.980]  I was talking to Eric a while ago. We've had a video that has been pending for a very long time.
[43:28.240 --> 43:30.860]  I forgot it even existed. Then it kind of came back around.
[43:31.340 --> 43:37.440]  But we or I guess you guys filmed a fruit throwing video that Gavin had been working on.
[43:37.500 --> 43:43.120]  Then it vanished. It came back. It turns out the audio completely fucked on it.
[43:43.120 --> 43:46.340]  And that's why it has never released. It has taken so long.
[43:46.920 --> 43:50.960]  I didn't know this. I think it was something that Gavin, you forgot why it didn't release.
[43:51.060 --> 43:55.640]  And then you looked at it again and went, oh, yeah, this is all the audio is completely fucking ruined.
[43:55.760 --> 44:01.160]  You tried to. Yeah, there was there was a definite reason why I kept I kept stopping the editing process
[44:01.160 --> 44:04.720]  because it was just such a pain. I just could never remember why that I would open the project again and just be like.
[44:06.600 --> 44:11.340]  Yeah, it's a nightmare. But it's I mean, it's a great it's a fruit throw.
[44:11.340 --> 44:13.800]  It'd be awesome to have it out. We talked about it so much.
[44:14.080 --> 44:20.420]  So I asked Gavin if he could send me the video with all the audio pulled, like, don't even worry about it.
[44:20.700 --> 44:25.160]  Let's go audio less. And he did that. He asked me a really a weird question.
[44:25.260 --> 44:28.560]  He said, do you want just the video or do you want the edited version?
[44:28.820 --> 44:33.880]  And I said, I'll take the edited version. And then I said, I didn't expect it to be 17 minutes.
[44:33.960 --> 44:38.200]  It's longer than I thought. And then you said, yeah, I'm probably edit it down to 12.
[44:38.200 --> 44:42.620]  So I don't know what I got ultimately. Well, I hadn't edited any of it.
[44:42.700 --> 44:47.820]  So you got what I cut together for you. OK, well, that's fine, because I had an idea.
[44:48.040 --> 44:51.860]  I thought, how could we do what would be a fun way to do this?
[44:51.920 --> 44:55.000]  We have fucked up audio. I haven't seen any of the video.
[44:55.540 --> 45:03.200]  Who do we know that is an all around expert when it comes to gardening, fruit, real insider analysis?
[45:03.920 --> 45:13.880]  I reached out to TPG. TPG and I watched the video today and recorded our own commentary track for the 17 minute video.
[45:14.440 --> 45:19.180]  We learned a lot. It was the first time I've acted or interacted with TPG in any way.
[45:19.340 --> 45:23.800]  We had a wonderful time. Nick was there. He provided some insights on the day of.
[45:24.720 --> 45:30.980]  So I don't know if I wanted to. I was going to show you guys the video, but I didn't think it would be 17 minutes long.
[45:30.980 --> 45:34.960]  Are you fucking serious? You've been busy today, dude.
[45:35.500 --> 45:43.140]  Yeah, that's how I spent my morning. So I don't know, Nick, is it finished yet or will it take longer? Where are we at?
[45:43.320 --> 45:46.160]  I have an export of it that just finished a few minutes ago.
[45:46.160 --> 45:53.400]  Hell yeah. So you guys can watch it and if it gets the thumbs up, we can release that and that solves our audio problem.
[45:53.760 --> 45:59.360]  Getting to hear TPG takes, which absolute joy. I love TPG so much. What a character.
[46:00.400 --> 46:06.040]  That sounds like some fucking phenomenal regulation supplemental content. I like that.
[46:07.000 --> 46:11.240]  Andrew, thank you for salvaging that. That's what an awesome idea.
[46:11.540 --> 46:17.300]  And I can also definitely put out the real video with real audio if people want that too.
[46:17.980 --> 46:21.840]  There'll be another video we tried to make that has eight versions for some reason.
[46:22.880 --> 46:27.760]  I'm fine with that. It just sounded like it wasn't going to come out. And if it did, it may not have been great because it was a nightmare.
[46:27.760 --> 46:32.120]  So I thought I immediately my head went, why don't TPG and I just do this?
[46:32.220 --> 46:37.860]  I've been quietly like thinking of this and working on it for like a week and a half, two weeks now, but we got it done today.
[46:38.060 --> 46:42.280]  Did you give the same criticisms in your TPG commentary?
[46:42.520 --> 46:53.000]  Yeah, so I was, I don't know. I don't know where Jack is in terms of his status, but it has to be the minor leagues after that video.
[46:53.000 --> 46:59.080]  I commented on it because I wanted to just preview. I wanted my reaction to be genuine for the first time seeing it with TPG.
[46:59.220 --> 47:04.760]  But I watched like the first minute of it and I asked Gavin, does Jack ever find the zoom?
[47:05.200 --> 47:14.520]  Because when you guys throw these small pieces of fruit and then he shows the throw, but you just can't see anything because he doesn't zoom in.
[47:15.020 --> 47:16.100]  Can I tell you something about that dude?
[47:16.540 --> 47:16.900]  Yeah.
[47:17.120 --> 47:19.360]  He's got a fucking film degree too.
[47:19.360 --> 47:19.880]  What?
