[00:05.080 --> 00:06.500]  Previously on F*** Face.
[17:44.600 --> 17:47.540]  I mean, it makes total sense, though, that the regulation
[17:47.540 --> 17:50.520]  list of sells better because there are more people who don't comment.
[17:50.720 --> 17:54.700]  But I don't the numbers indicate to me that there is a discrepancy in people
[17:54.700 --> 17:58.160]  that are just not, as Eric said, coming to terms with the fact.
[17:58.440 --> 17:59.440]  Yeah, in fact, the comment leaver.
[17:59.600 --> 18:02.540]  It's either people lying to themselves or they're just confused.
[18:02.780 --> 18:07.740]  Because I think the regulation listener just as itself plays in a really funny way.
[18:07.840 --> 18:09.680]  It's not indicative of anything.
[18:10.060 --> 18:11.980]  It's just you regulation listen.
[18:12.440 --> 18:15.380]  Like if somebody saw someone wear that without any context,
[18:15.520 --> 18:16.500]  like it means nothing.
[18:16.500 --> 18:18.540]  It means they listen to things, I guess.
[18:18.820 --> 18:21.540]  But there's an absolute comment leaver denial happening.
[18:23.540 --> 18:25.320]  It is OK to be a comment leaver.
[18:25.640 --> 18:26.540]  I'm a comment leaver.
[18:26.660 --> 18:29.560]  Yeah, I'm way more comment leaver than comment on other stuff.
[18:29.760 --> 18:30.580]  A lot of people's stuff.
[18:30.720 --> 18:33.300]  I comment. I've commented on stuff relating to the show.
[18:33.420 --> 18:35.220]  Yeah. You're on this show. That doesn't count.
[18:35.420 --> 18:36.660]  No, I'm definitely comment leaver.
[18:36.740 --> 18:37.900]  I've commented on the show.
[18:38.060 --> 18:39.640]  You can't comment, leave your own show.
[18:39.760 --> 18:41.140]  You absolutely can. Yeah.
[18:41.300 --> 18:42.640]  That's a ridiculous thing.
[18:42.880 --> 18:44.060]  That's not weird, though.
[18:44.140 --> 18:46.260]  It's weird to leave a comment on someone else's show.
[18:46.260 --> 18:48.020]  That's the whole point of a comment leaver, isn't it?
[18:48.180 --> 18:52.000]  I would maybe argue it's more weird to comment publicly on a show that I'm on
[18:52.000 --> 18:55.240]  when I don't need to comment, when I have channels internally to do it.
[18:55.300 --> 18:57.120]  I think it's maybe weirder that I'm doing it.
[18:57.140 --> 18:59.420]  But Eric's whole point was like, who leaves a comment?
[18:59.800 --> 19:00.860]  But me on the show.
[19:00.920 --> 19:02.260]  It makes sense for you to leave the comment.
[19:02.520 --> 19:03.560]  No, I don't think it does.
[19:03.620 --> 19:06.180]  If I'm just commenting about it, sometimes, you know, I might just say,
[19:06.220 --> 19:08.580]  hey, good app, good app, I'll just post good app in the comments.
[19:08.600 --> 19:11.400]  We need to include people who've never even heard of the show.
[19:11.700 --> 19:13.300]  We need one that's just a shirt buyer.
[19:15.700 --> 19:21.340]  You want a shirt that just says shirt buyer?
[19:22.240 --> 19:23.500]  Like, if they don't understand,
[19:23.800 --> 19:26.400]  they don't understand comment leaver and regulation listener,
[19:26.520 --> 19:27.800]  then it like need to reply.
[19:27.940 --> 19:29.560]  But they would never buy the shirt.
[19:29.900 --> 19:31.740]  They need to know to get to the shirt.
[19:31.920 --> 19:32.720]  What are you talking about?
[19:32.740 --> 19:36.780]  So then they would be, so then you have a shirt that says non-shirt buyer?
[19:37.020 --> 19:40.740]  No, you can't have a shirt that says non-shirt buyer because that's impossible.
[19:40.740 --> 19:43.280]  You're saying, Gavin, like a lost child,
[19:43.420 --> 19:47.080]  they somehow end up in the store and then they don't know what to buy.
[19:47.200 --> 19:48.500]  So they need a shirt that fit.
[19:48.620 --> 19:50.200]  They need to understand the premise.
[19:50.380 --> 19:52.460]  Like the person you're describing doesn't exist.
[19:52.760 --> 19:53.660]  They're an impossibility.
[19:53.880 --> 19:57.260]  You find yourself on this on the Rooster Teeth store and you see two options
[19:57.260 --> 20:00.240]  and you think, I don't know what either of those mean, but I'll buy a shirt.
[20:01.160 --> 20:02.440]  I'm here. I'm a shirt buyer.
[20:02.680 --> 20:04.480]  I'm on this site to buy a shirt.
[20:04.600 --> 20:07.540]  Didn't mean to be here, but I'm locked in and committed to buying a shirt.
[20:07.840 --> 20:08.980]  I don't know what any of these mean.
[20:09.020 --> 20:10.120]  I guess I'm a shirt buyer.
[20:11.560 --> 20:12.680]  I would buy a shirt.
[20:12.880 --> 20:15.080]  What percentage... I would buy that shirt too,
[20:15.140 --> 20:16.920]  but not for the reasons that you're listing.
[20:17.140 --> 20:19.260]  That's an insane, logical...
[20:19.260 --> 20:21.900]  I think we need an option for people who don't listen to the show.
[20:22.340 --> 20:25.780]  Why would we sell a shirt for people who don't listen?
[20:26.000 --> 20:26.800]  What if... All right.
[20:26.880 --> 20:30.240]  What if... Because what... How about... I agree with you, Gavin.
[20:30.600 --> 20:32.240]  And I'm OK with a shirt buyer. You agree with me?
[20:32.460 --> 20:33.320]  What? I have to agree.
[20:33.760 --> 20:35.000]  I think we can tweak it.
[20:35.280 --> 20:37.100]  What if instead of a shirt buyer...
[20:37.100 --> 20:38.880]  Because you might want to give it to somebody as a gift.
[20:38.880 --> 20:42.000]  And if you receive a shirt buyer as a gift, you may not be a shirt buyer.
[20:42.120 --> 20:44.120]  What if we just had a shirt that said shirt wearer?
[20:44.440 --> 20:45.780]  That encompasses everyone.
[20:45.960 --> 20:47.360]  We have got... This is so insane.
[20:47.360 --> 20:50.280]  Seven billion people on Earth all wear shirts, I assume.
[20:50.480 --> 20:51.780]  I feel like it should just say t-shirt.
[20:51.780 --> 20:54.420]  We couldn't have a...
[20:54.980 --> 20:58.060]  Because if you're wearing a shirt that says shirt wearer, that's redundant.
[20:58.260 --> 20:59.460]  You're clearly a shirt wearer.
[20:59.600 --> 21:02.080]  It doesn't mean... Wearing a shirt that says shirt is redundant.
[21:02.340 --> 21:02.880]  No, it's not.
[21:03.140 --> 21:03.880]  Well, then what do you mean?
[21:04.280 --> 21:04.940]  It's a shirt.
[21:05.500 --> 21:06.800]  It's a shirt. It's a shirt.
[21:07.240 --> 21:07.760]  It's a t-shirt.
[21:07.760 --> 21:09.040]  And it says shirt on it.
[21:09.040 --> 21:10.800]  It's a clarification of what it is.
[21:11.040 --> 21:13.120]  Yeah, but you need you need the verb.
[21:13.400 --> 21:15.360]  Yeah, and it needs... You can't just have shirt.
[21:15.520 --> 21:17.700]  There needs to be an action on the shirt.
[21:18.340 --> 21:19.520]  Yeah, like I bought... Comment leaver.
[21:20.060 --> 21:20.900]  Regulation. You want it.
[21:21.320 --> 21:23.520]  Listener. Nick said shirt haver.
[21:23.920 --> 21:26.000]  Shirt haver is a good one.
[21:26.260 --> 21:27.560]  I'm more okay with that. Shirt wearer.
[21:27.580 --> 21:31.620]  I like shirt haver because you don't even need to put it on.
[21:31.960 --> 21:33.800]  It works when it's like in your drawer.
[21:35.260 --> 21:36.980]  This is so insane.
[21:37.500 --> 21:38.640]  Let us know.
[21:38.720 --> 21:42.460]  We're absolutely not going to make a shirt haver shirt unless
[21:43.140 --> 21:47.120]  there is an overwhelming amount of of demand.
[21:47.560 --> 21:49.260]  If you want a shirt haver shirt.
[21:49.700 --> 21:50.400]  Let us know.
[21:51.100 --> 21:53.080]  You can't let us know because then you'd be a comment leaver.
[21:53.720 --> 21:55.340]  Yeah, it's impossible.
[21:55.720 --> 21:56.760]  There's no way.
[21:57.340 --> 22:00.920]  We can't take the regulation or listener's word for it
[22:00.920 --> 22:02.880]  because then they become comment leavers.
[22:03.340 --> 22:05.700]  So then they have to become shirt havers.
[22:05.700 --> 22:06.880]  This is really.
[22:07.120 --> 22:08.600]  Oh, yeah, that's a good point.
[22:08.740 --> 22:11.320]  Not only would they not leave a comment, they won't even hear this
[22:11.320 --> 22:12.280]  because it's not for them.
[22:12.520 --> 22:14.940]  Oh, well, the problem is super complicated.
[22:15.140 --> 22:17.480]  Well, I guess not because they will leave a comment on Instagram
[22:17.480 --> 22:20.480]  and just say it wasn't a comment and just continue as they exist.
[22:20.720 --> 22:21.540]  How is it not a comment?
[22:21.740 --> 22:23.340]  It's definitely a comment, I think.
[22:23.460 --> 22:25.600]  Well, to define a comment, I think it's anything.
[22:26.200 --> 22:26.900]  I think it's just anything.
[22:27.100 --> 22:29.480]  You went somewhere online and typed something.
[22:29.760 --> 22:30.600]  Yeah. Yeah.
[22:30.740 --> 22:32.680]  I think if you went, yeah, I think that's a good classification.
[22:32.680 --> 22:33.960]  I think so.
[22:34.020 --> 22:36.400]  Nick is saying is a message, a comment like a DM.
[22:36.760 --> 22:41.520]  If you message me about a show, I can't stress enough how you're a comment
[22:41.520 --> 22:43.220]  leaver because I don't want to read it.
[22:43.460 --> 22:44.280]  I don't want to see it.
[22:44.300 --> 22:46.600]  But you sure are commenting about what we're doing.
[22:46.700 --> 22:48.420]  So absolutely. You're a comment leaver.
[22:48.680 --> 22:51.980]  That's almost an extra comment leaver because you're getting really pointed
[22:51.980 --> 22:53.120]  and focused with the comment.
[22:53.280 --> 22:55.500]  Yeah, too. That's too focused for a comment.
[22:55.580 --> 22:56.680]  Yeah, I don't like it.
[22:56.740 --> 22:58.960]  So that's that's a no to the shirt buyer.
[22:59.160 --> 23:01.460]  I think let's just try to get through the anal passage
[23:01.460 --> 23:02.840]  and then we'll see what happens.
[23:03.100 --> 23:05.080]  Otherwise, we're averaging at one shirt per show.
[23:05.220 --> 23:08.160]  By the time this comes out, we'll definitely be through the anal passage.
[23:08.440 --> 23:10.420]  I don't think that's going to be a big issue.
[23:11.780 --> 23:14.500]  Well, that's great, because the anal passage will be sold out
[23:14.500 --> 23:16.640]  and some people out there might want to buy a shirt.
[23:17.140 --> 23:20.860]  Sold out is a fun way to say forcefully pulled down.
[23:21.280 --> 23:22.840]  I appreciate your flip of words.
[23:22.860 --> 23:26.480]  Hang on. You're saying that people might want the anal passage shirt,
[23:26.760 --> 23:30.680]  but it's not theirs, so they'll have to buy a shirt haver shirt.
[23:33.180 --> 23:36.580]  Are you looking to get a gift for somebody in your life
[23:36.580 --> 23:38.340]  and you're not sure what to get them?
[23:38.540 --> 23:39.960]  Maybe they're hard to shop for.
[23:40.100 --> 23:40.800]  I got news for you.
[23:40.920 --> 23:42.140]  Everybody wears a shirt.
[23:42.560 --> 23:44.600]  And if you have a shirt, you're a shirt haver.
[23:44.820 --> 23:46.660]  Go ahead and buy him a shirt haver shirt.
[23:46.940 --> 23:48.460]  It'll be super appropriate.
[23:49.260 --> 23:50.100]  Is haver a word?
[23:50.960 --> 23:51.940]  What do you care?
[23:53.720 --> 23:56.120]  70% of the shit that comes out of your mouth isn't a word.
[23:56.340 --> 23:59.520]  Well, haver, I don't know, is really a word, but haver is.
[23:59.520 --> 24:02.180]  And it's Scottish to talk foolishly.
[24:02.180 --> 24:04.120]  So I think we're really havering.
[24:04.260 --> 24:05.960]  It's perfect. All right.
[24:06.040 --> 24:07.920]  Well, we'll shelf that for now.
[24:08.800 --> 24:10.100]  I just was.
[24:10.320 --> 24:13.580]  Is the Bovril Pop two uniform inventions in one?
[24:13.720 --> 24:17.040]  Is that the beef bracelet mixed with two spicy?
[24:17.160 --> 24:18.300]  Two spicy. Is that what that is?
[24:18.480 --> 24:20.920]  Well, Ross, do me a favor.
[24:21.380 --> 24:24.740]  Eat some some spicy Thai food or Indian food or something
[24:24.740 --> 24:26.920]  and then shove that Bob pop up your asshole.
[24:27.160 --> 24:28.960]  And let me know if it relieves the pain.
[24:28.960 --> 24:31.680]  If it doesn't, then it probably doesn't work in that capacity.
[24:31.860 --> 24:33.280]  OK, but if it does, then yeah.
[24:33.540 --> 24:36.700]  Oh, sure. Owner says Nick shirt owner.
[24:37.120 --> 24:38.900]  I'm I'm a definite shirt owner.
[24:39.360 --> 24:42.780]  Do you have to go back to movies from your beard haver as well?
[24:42.880 --> 24:45.060]  Currently? Yeah, that's that's actually correct.
[24:45.160 --> 24:46.620]  I cannot wait for us to be done.
[24:46.740 --> 24:49.640]  And I could have a shower to get the smell of beef.
[24:49.660 --> 24:51.480]  Just just I need to.
[24:52.080 --> 24:53.160]  I need this so bad.
[24:53.280 --> 24:54.620]  I'm struggling through this.
[24:54.780 --> 24:56.300]  I wonder when that cow is alive.
[24:56.300 --> 25:00.260]  Uh, that's a that's a fascinating question.
[25:00.440 --> 25:01.980]  Do you think that's a pre pandemic, Bob?
[25:02.400 --> 25:04.960]  I don't think I don't think you're talking about a cow.
[25:05.060 --> 25:06.760]  I think you're talking about a couple thousand cows
[25:06.760 --> 25:10.600]  probably comprised into that one part, just like a vat of cow chum.
[25:10.940 --> 25:11.700]  Yeah. Yeah.
[25:11.920 --> 25:13.400]  I just ate a field of cow.
[25:13.960 --> 25:16.420]  Yeah. You ate half an Argentinian farm.
[25:16.660 --> 25:19.320]  Oh, yeah. You ate you ate elements of lots of cows.
[25:19.520 --> 25:23.380]  Oh, I hate I've never thought how many chickens are in like a thing of nuggets
[25:23.380 --> 25:26.740]  like a McNugget box, like a six piece.
[25:27.180 --> 25:29.400]  Yeah, it's a ton. It's a ton.
[25:29.780 --> 25:32.000]  I don't know if that makes me feel better or worse about that.
[25:32.140 --> 25:34.640]  Like if somebody said, you just ate, ate Larry.
[25:34.880 --> 25:36.080]  I think that's upsetting.
[25:36.180 --> 25:38.720]  But if it's so many, I can't possibly know the name.
[25:39.600 --> 25:41.240]  You just a Larry person.
[25:41.300 --> 25:44.320]  As opposed to you just ate Larry and everyone he's ever known.
[25:44.700 --> 25:46.700]  Yeah. Like it's it's too much.
[25:47.200 --> 25:50.520]  It's like when you certain once you hit a certain threshold of numbers,
[25:50.520 --> 25:52.480]  it's like it doesn't matter. It's all the same.
[25:52.480 --> 25:55.600]  I think it's I think it would be worse if you knew the chicken's name.
[25:55.720 --> 25:57.940]  Yeah. Never ask a chicken's name.
[25:58.940 --> 26:01.460]  Word to the wise. Yeah, it's a good tip.
[26:07.120 --> 26:08.760]  Today's episode is sponsored by Honey,
[26:08.900 --> 26:11.480]  the easy way to save when shopping on your iPhone or computer.
[26:11.860 --> 26:14.320]  I love to online shop. It's the main way I shop.
[26:14.680 --> 26:16.700]  I hate going into the store dealing with lines.
[26:16.820 --> 26:17.720]  All that is an annoyance.
[26:17.800 --> 26:19.320]  So I shop online as much as possible.
[26:19.800 --> 26:22.240]  But when it comes to checkout, I never have a coupon code ready.
[26:22.680 --> 26:26.280]  Thanks to Honey, manually searching for coupon codes is a thing of the past.
[26:26.440 --> 26:29.620]  Honey is the free shopping tool that scours the Internet for promo codes
[26:29.620 --> 26:31.440]  and applies the best one it finds to your cart.
[26:31.900 --> 26:34.800]  How it works is imagine you're shopping on one of your favorite sites.
[26:35.260 --> 26:37.120]  When you check out, the Honey button appears
[26:37.120 --> 26:39.340]  and all you have to do is click apply coupons.
[26:39.780 --> 26:42.680]  Wait a few seconds as Honey searches for coupons it can find for that site.
[26:43.160 --> 26:46.740]  If Honey finds a working coupon, you'll watch the prices drop immediately.
[26:47.080 --> 26:49.500]  I recently used Honey to save money on clothing.
[26:50.020 --> 26:53.220]  So many sites I go to, though, it's just so much fun to just hit the button,
[26:53.340 --> 26:56.140]  find coupons, save yourself money. It's great.
[26:56.140 --> 26:57.400]  It's a fantastic service.
[26:57.680 --> 26:59.940]  But did you know that Honey doesn't just work on desktop?
[27:00.440 --> 27:01.600]  It works on your iPhone, too.
[27:02.060 --> 27:04.820]  Just activate it on Safari on your phone and save it on the go.
[27:05.480 --> 27:08.080]  If you don't already have Honey, it could be straight up missing out.
[27:08.220 --> 27:11.000]  And by getting it, you'll be doing yourself a solid in supporting the show.
[27:11.480 --> 27:13.160]  I'd never recommend something I don't use.
[27:13.620 --> 27:16.080]  Get Honey for free at joinhoney.com slash face.
[27:16.580 --> 27:19.240]  That's joinhoney.com slash face.
[27:20.520 --> 27:23.620]  You know, what sucks is all of the advantages that big businesses
[27:23.620 --> 27:26.460]  have over the little guy, like having more access to funding,
[27:26.840 --> 27:30.400]  on top of getting better rates and other privileges reserved for the top dogs.
[27:31.000 --> 27:33.720]  If you run an e-commerce business, you probably feel like it's about time
[27:33.720 --> 27:37.640]  people stop treating e-commerce giants better just because they're bigger.
[27:37.900 --> 27:38.960]  And you're absolutely right.
[27:39.480 --> 27:42.240]  That's why ShipStation gives e-commerce sellers of all sizes
[27:42.240 --> 27:46.900]  access to the same deeply discounted rates usually reserved for Fortune 500 companies.
[27:47.460 --> 27:50.640]  No wonder ShipStation is already trusted by over 100,000 sellers.
[27:51.280 --> 27:53.080]  Terrified of dealing with international shipping?
[27:53.340 --> 27:56.840]  Don't be. ShipStation makes it a breeze to ship anywhere around the world.
[27:57.220 --> 27:59.820]  So scale away. ShipStation can handle it.
[28:00.200 --> 28:02.140]  Saving money while making shipping easier?
[28:02.400 --> 28:03.220]  It's a no brainer.
[28:03.340 --> 28:06.120]  I mean, with the money I could save, I could send an armada of port-a-potties
[28:06.120 --> 28:08.440]  to Geoff's house once again. Do a round two.
[28:09.180 --> 28:12.020]  ShipStation doesn't just save you money, but that's a good place to start.
[28:12.460 --> 28:15.960]  You get deeply discounted shipping rates normally reserved for Fortune 500 companies.
[28:16.480 --> 28:18.720]  ShipStation works with over 45 carriers,
[28:18.720 --> 28:23.420]  easily compare rates and delivery times to quickly find the best option every time.
[28:24.020 --> 28:27.600]  Works with over 300 platforms like Amazon, eBay, Etsy and more
[28:27.600 --> 28:30.360]  to automate processes like fulfillment and tracking
[28:30.360 --> 28:32.460]  so you can save time managing orders.
[28:32.980 --> 28:36.740]  In fact, 98% of the companies that use ShipStation for a year
[28:36.740 --> 28:38.860]  keep using it for as long as they're in business.
[28:39.340 --> 28:41.920]  Don't let the big guys keep all the good discounts for themselves.
[28:42.500 --> 28:47.340]  Sign up using promo code FACE for a free 60 day trial today at ShipStation.com
[28:47.340 --> 28:49.320]  and start saving with every shipment.
[28:49.840 --> 28:52.900]  That's two whole months of discounted shipping, absolutely free.
[28:53.320 --> 28:57.040]  Just go to ShipStation.com, click on the microphone at the top of the page
[28:57.040 --> 29:00.500]  and type in FACE. ShipStation, make ship happen.
[29:01.420 --> 29:03.220]  This ad is brought to you by Raycon.
[29:03.380 --> 29:06.780]  Lately, I've been listening to a lot of Randy Newman, and it's been great.
[29:07.060 --> 29:08.820]  One of the reasons it's been great to listen to,
[29:09.180 --> 29:11.920]  because I use my Raycon wireless earbuds to do it.
[29:12.520 --> 29:15.460]  Raycon's everyday earbuds look, feel and sound better than ever
[29:15.460 --> 29:18.360]  with optimized gel tips for the perfect in-ear fit.
[29:18.800 --> 29:21.840]  These earbuds are so comfortable and they will not budge.
[29:22.040 --> 29:26.760]  Trust me. Raycon offers three sound profiles to match what you're listening to,
[29:27.060 --> 29:29.420]  plus noise isolation and awareness mode.
[29:29.540 --> 29:31.200]  So you can choose to be immersed in sound
[29:31.200 --> 29:33.620]  or be able to hear your surroundings when you need to.
[29:34.440 --> 29:35.900]  Raycon is a great product.
[29:36.000 --> 29:39.060]  Whether you're listening to music or audio books is fantastic.
[29:39.420 --> 29:40.720]  It's great to go on the go with.
[29:41.300 --> 29:44.860]  And they give you eight hours of playtime and 32 hour battery life.
[29:44.860 --> 29:47.100]  Then when you need to charge, it's super easy.
[29:47.220 --> 29:48.300]  You can even do it wirelessly.
[29:48.940 --> 29:50.980]  And this is a huge selling point with Raycons.
[29:51.140 --> 29:54.340]  You get the same quality of audio as other premium audio brands,
[29:54.500 --> 29:57.000]  but at half the price. Yes, really.
[29:57.440 --> 29:58.860]  But that doesn't mean they won't last.
[29:59.020 --> 30:01.760]  I've seen people talking about their Raycons falling three stories,
[30:01.920 --> 30:05.540]  getting lost in the rain and snowstorms and still working afterwards.
[30:06.100 --> 30:10.420]  It's no wonder Raycon's everyday earbuds have over 49,000 five star reviews.
[30:10.880 --> 30:12.920]  Check out Raycon's wireless earbuds.
[30:12.920 --> 30:15.940]  My guess is that you're going to want to leave them a five star review, too.
[30:16.320 --> 30:20.860]  Go to buyraycon.com slash face today to get 15% off your Raycon order.
[30:21.020 --> 30:24.840]  That's buyraycon.com slash face to score 15% off.
[30:25.260 --> 30:27.680]  buyraycon.com slash face.
[30:29.920 --> 30:33.180]  Hey, how's the how's the how's the
[30:33.890 --> 30:36.260]  like the kitchen tabletop going at your house?
[30:36.360 --> 30:38.760]  You got any any new conversations with your mom?
[30:39.120 --> 30:40.460]  No, no, I haven't.
[30:40.460 --> 30:45.160]  I haven't had and she said one thing that was really funny,
[30:45.260 --> 30:47.080]  but I don't know if it plays at all.
[30:47.240 --> 30:49.180]  So I talked to my friend.
[30:49.340 --> 30:50.220]  It's been guessed a lot.
[30:50.320 --> 30:51.900]  This person, Jake, my friend Jake.
[30:52.040 --> 30:54.040]  It's not Jake. I could tell immediately it was.
[30:54.300 --> 30:55.220]  Yeah, it's definitely not Jake.
[30:55.360 --> 30:57.620]  But he's brought it's wild to me that people even know Jake.
[30:57.700 --> 30:59.320]  Like, I don't feel like I've talked about Jake all that much.
[30:59.960 --> 31:03.100]  Jake will play games and then he will get really angry about things.
[31:03.160 --> 31:04.140]  He'll just scream things.
[31:04.280 --> 31:05.040]  He'll get very aggressive.
[31:06.320 --> 31:08.580]  And he he in a fit of rage.
[31:08.720 --> 31:09.920]  I don't remember what I was doing.
[31:09.920 --> 31:15.500]  I said I did something to him and he called my mom a cunt and anger.
[31:15.960 --> 31:20.920]  What? And he and I, I told her that in conversation.
[31:21.180 --> 31:24.300]  And so we were grocery shopping the other day as with her.
[31:24.500 --> 31:27.980]  And she was going through a tough thing, but she loves babies.
[31:28.100 --> 31:29.280]  Like she's having a bad day.
[31:29.560 --> 31:33.880]  And I noticed that the car next to me, there was a baby in it.
[31:33.980 --> 31:35.120]  I was like, oh, look at the baby.
[31:35.120 --> 31:36.060]  And the baby was feeding.
[31:36.500 --> 31:38.060]  And it was like drinking out of a bottle.
[31:38.060 --> 31:41.480]  And my mom said, I'm surprised she's not breastfeeding.
[31:41.700 --> 31:45.060]  When you were when you were a kid, they always used to say breast is best.
[31:45.140 --> 31:49.000]  And I said, I said, that's what Jake says all the time.
[31:49.000 --> 31:50.280]  Just for no reason.
[31:50.660 --> 31:54.100]  And then she immediately replied, the only breast Jake is getting is chicken.
[31:54.560 --> 32:00.620]  She doesn't like Jake now because of because of the because of the.
[32:00.740 --> 32:02.360]  And then she like cut a promo.
[32:02.620 --> 32:07.220]  She's like, and you can tell him that because I know he called me a C word.
[32:07.220 --> 32:09.240]  And I'm not a fan of that.
[32:09.340 --> 32:10.840]  So fuck Jake, essentially.
[32:11.420 --> 32:12.080]  It was just wild.
[32:12.360 --> 32:14.280]  I did not expect her to slam Jake.
[32:14.400 --> 32:16.000]  And she slammed him.
[32:16.180 --> 32:18.160]  Yes, that's probably roasted him.
[32:18.420 --> 32:20.100]  She absolutely roasted Jake.
[32:20.280 --> 32:24.220]  So that's the most recent funny conversation, I guess I've had with my mom.
[32:24.300 --> 32:27.880]  I assume she actually said the phrase C word and not the C word.
[32:28.060 --> 32:29.400]  No, she said C word.
[32:29.540 --> 32:30.660]  She didn't say the actual word.
[32:30.700 --> 32:32.620]  She says the C word. Yeah. Yeah.
[32:32.740 --> 32:34.760]  Do you think your mom has ever said that word out loud?
[32:34.760 --> 32:40.740]  No, if I if I've said it to her, if I said it in general, no, I guess.
[32:40.840 --> 32:41.160]  Never mind.
[32:41.220 --> 32:43.140]  I was going to say she'd think it was a fictitious word.
[32:43.320 --> 32:44.500]  She's very sheltered.
[32:44.500 --> 32:47.680]  But like when it comes to the language and butt plucks as established.
[32:47.840 --> 32:52.280]  But outside of that, there's not too many updates with her.
[32:52.560 --> 32:55.160]  Do you have a favorite bad director, Geoff?
[32:55.440 --> 32:56.720]  The way that I love Rennie Harlan?
[32:57.060 --> 32:58.500]  Favorite bad director?
[32:58.840 --> 33:02.240]  Like they don't make good movies, but you're a fan of their work.
[33:02.680 --> 33:03.660]  Rennie Harlan is my guy.
[33:03.660 --> 33:06.640]  He made Die Hard 2, The Long Kiss Good Night.
[33:06.880 --> 33:09.820]  One of my favorite movies ever, just due to how bad it is.
[33:09.940 --> 33:11.460]  Mind Hunters. Fantastic.
[33:12.080 --> 33:13.500]  12 Rounds with John Cena.
[33:13.960 --> 33:15.940]  One of the great WWE movies.
[33:16.400 --> 33:17.760]  Cliffhanger. Cliffhanger.
[33:17.900 --> 33:19.220]  Like all he does is schlock.
[33:20.280 --> 33:22.840]  I guess it depends on what you consider bad.
[33:23.000 --> 33:26.760]  Like one of my favorite directors for my entire life.
[33:26.820 --> 33:28.680]  And I guess could fit into that category.
[33:29.040 --> 33:30.540]  But I don't think he's a bad director at all.
[33:30.560 --> 33:31.180]  I think he's brilliant.
[33:31.460 --> 33:33.480]  I think what he's doing is brilliant satire.
[33:33.660 --> 33:34.940]  But I would say John Waters.
[33:35.320 --> 33:37.860]  You know, but I think a lot of people have trouble watching John Waters films.
[33:37.980 --> 33:40.560]  But I'm a huge, huge, huge John Waters fan.
[33:40.740 --> 33:41.540]  He's a great director.
[33:41.740 --> 33:46.200]  Yeah. But I mean, you know, you show Pink Flamingos to 10 people
[33:46.200 --> 33:48.000]  and 10 out of 10 are going to say it's a bad movie.
[33:48.240 --> 33:49.080]  It's a tough. Yeah.
[33:49.380 --> 33:52.920]  I was so I've seen all of the Alvin and the Chipmunk movies.
[33:52.980 --> 33:56.620]  And in the last one they made, John Waters has a cameo in it.
[33:56.660 --> 33:58.040]  And I don't know who that was for.
[33:58.320 --> 34:00.540]  It was one of the strangest cameos I've ever seen.
[34:01.080 --> 34:03.640]  Like Alvin is on the plane and John Waters is there.
[34:03.640 --> 34:06.020]  As John Waters. And it's like, you're John Waters.
[34:06.120 --> 34:08.000]  And I'm like, who the fuck? Why is he here?
[34:08.260 --> 34:09.700]  Like, it's great. I love him.
[34:09.820 --> 34:11.220]  That's awesome. He's getting paid.
[34:11.440 --> 34:14.680]  And a kid's like in a kid's movie that came out like 2016.
[34:15.260 --> 34:17.800]  Like, what is why is John Waters?
[34:18.480 --> 34:20.440]  It's sort of like the tuxedo with James Brown.
[34:20.620 --> 34:23.580]  Like, I'd love to know why that cameo.
[34:23.760 --> 34:24.760]  Like, what was the choice?
[34:25.300 --> 34:26.860]  That's one of my questions for Kevin Donovan.
[34:26.980 --> 34:27.780]  Still haven't heard back.
[34:28.040 --> 34:29.480]  We're still waiting. Maybe one day.
[34:29.640 --> 34:30.420]  Yeah, I'm sure he's busy.
[34:30.800 --> 34:32.640]  I. Oh, go ahead, Geoff.
[34:32.640 --> 34:34.640]  I was going to ask Gavin if he had a favorite bad director.
[34:34.920 --> 34:35.980]  Yeah, I couldn't really think of it, could I?
[34:36.240 --> 34:40.420]  I was saying like Brett Ratner sucks, but I've enjoyed Rush Hour and stuff.
[34:40.840 --> 34:43.980]  Although, nah, like X-Men 3 was a piece of dog shit.
[34:44.380 --> 34:45.020]  It wasn't even enjoyable.
[34:45.240 --> 34:46.240]  It was. No, it wasn't.
[34:46.240 --> 34:47.360]  It was not good. Not good.
[34:47.560 --> 34:50.540]  So last episode, we had Dodge the Bov.
[34:50.920 --> 34:54.240]  That was that was a big game because this all started because Geoff, you called me out.
[34:54.380 --> 34:55.520]  You said I didn't have the content.
[34:55.700 --> 34:56.900]  I wasn't. I didn't bring anything.
[34:57.280 --> 35:00.100]  So I wanted to make sure I had games for the next time we recorded.
[35:00.540 --> 35:01.960]  We did Dodge the Bov.
[35:02.360 --> 35:04.400]  Game one. I got game two for you.
[35:04.460 --> 35:07.080]  This is an exciting thing that I came up with.
[35:07.240 --> 35:11.060]  I got to say that one minor throwaway joke
[35:11.060 --> 35:14.140]  I made just to get under your skin at the last minute
[35:14.140 --> 35:18.760]  right before I shut down the podcast and you couldn't retaliate has really bore.
[35:19.000 --> 35:20.460]  No, I just want to. You know what?
[35:20.460 --> 35:21.160]  You made me reflect.
[35:21.240 --> 35:23.300]  So I want to make sure I had games for this one.
[35:23.320 --> 35:26.500]  As stated, I'm going to need some assistance immediately.
