[00:04.900 --> 00:06.400]  Previously on F**kface.
[17:54.660 --> 17:56.480]  So I just got up
[17:56.480 --> 17:58.780]  probably 3 minutes
[17:58.780 --> 18:00.120]  before the credits.
[18:00.420 --> 18:02.520]  And then you came back when the credits
[18:02.520 --> 18:04.520]  started, but the credits only
[18:05.280 --> 18:06.940]  were so short.
[18:06.980 --> 18:07.920]  I didn't give a shit.
[18:08.080 --> 18:10.580]  The credits were 15 seconds long
[18:10.580 --> 18:11.680]  and then it was like, get out.
[18:12.280 --> 18:14.480]  I got up probably 60
[18:14.480 --> 18:16.580]  maybe 65 seconds away
[18:16.580 --> 18:18.620]  from pissing my pants. That was
[18:18.620 --> 18:20.540]  the timer I was on. And it was that
[18:20.540 --> 18:22.780]  stage of piss where your blood is so full
[18:22.780 --> 18:24.560]  if you could feel the stretch in it
[18:24.560 --> 18:26.560]  and you're almost like waddling and you're trying to
[18:26.560 --> 18:28.780]  unbutton the shorts to give it
[18:28.780 --> 18:30.780]  a little bit of freedom. And that's when all of the
[18:30.780 --> 18:32.680]  staff of the movie theater decided they wanted
[18:32.680 --> 18:34.460]  selfies and I was like
[18:34.460 --> 18:36.820]  oh my God, yes, but we gotta keep moving
[18:36.820 --> 18:38.820]  I'm gonna piss myself. So we did a little
[18:38.820 --> 18:40.600]  waddle run of selfies as I went through.
[18:41.160 --> 18:42.860]  I made it back for the 2 second credits.
[18:43.360 --> 18:44.180]  But it was a good experience.
[18:44.760 --> 18:46.640]  Andrew enjoyed a video
[18:46.640 --> 18:48.660]  I sent him of TPG. It was a
[18:48.660 --> 18:50.860]  phenomenal video. It delivered
[18:50.860 --> 18:52.940]  in ways, should we like get into the
[18:52.940 --> 18:55.060]  specifics of the context of that video?
[18:55.200 --> 18:56.300]  And like leading into it? Yeah.
[18:56.760 --> 18:58.860]  So you guys saw it with TPG
[18:58.860 --> 19:00.820]  who is, I think, in my mind
[19:00.820 --> 19:02.800]  at least, famous on the show as
[19:02.800 --> 19:04.800]  being the you fuck with Hobbes and Shaw guy.
[19:05.040 --> 19:07.060]  Which is incredible. Big fan
[19:07.060 --> 19:08.800]  of him. Gavin and I were talking
[19:08.800 --> 19:10.940]  what do we think TPG's top
[19:10.940 --> 19:12.480]  10 movies of all time would be?
[19:12.680 --> 19:14.940]  It has to be a phenomenal list. If you fuck
[19:14.940 --> 19:16.860]  with Hobbes and Shaw, you got a great top
[19:16.860 --> 19:18.900]  10 list. And we're going back and
[19:18.900 --> 19:20.780]  forth. And Gavin opened with Bad
[19:20.780 --> 19:22.760]  Boys 2. And I agreed.
[19:22.900 --> 19:24.920]  I was like, that feels like it would be in the top
[19:24.920 --> 19:26.740]  10. That's a great pick. We basically
[19:26.740 --> 19:28.780]  sat there before we went out, like Andrew
[19:28.780 --> 19:31.020]  and I guessing TPG's top 10 list.
[19:32.200 --> 19:32.800]  And then
[19:32.800 --> 19:34.560]  Gavin said The Raid 2.
[19:34.920 --> 19:37.040]  And I was like, that's a great movie.
[19:37.180 --> 19:38.920]  I love The Raid 2. But it just
[19:38.920 --> 19:40.680]  feels so strange.
[19:40.800 --> 19:43.040]  That's such a strangely specific movie
[19:43.040 --> 19:44.660]  to be in your top 10.
[19:45.260 --> 19:46.800]  And then Gavin sent me
[19:46.800 --> 19:48.920]  a video of TPG
[19:48.920 --> 19:51.020]  not discussing his top 10,
[19:51.360 --> 19:52.880]  discussing his top 2
[19:52.880 --> 19:54.920]  and what potentially might be
[19:54.920 --> 19:56.680]  in the third spot. Which is
[19:56.680 --> 19:59.020]  amazing. It's a phenomenal video.
[19:59.300 --> 20:01.240]  If you were to guess, what do you think TPG's
[20:01.240 --> 20:03.080]  first greatest film of all
[20:03.080 --> 20:03.640]  time is, Geoff?
[20:04.580 --> 20:06.380]  I think it's either going to be
[20:07.040 --> 20:08.240]  The Rock
[20:09.500 --> 20:10.100]  or
[20:12.220 --> 20:13.220]  Con Air
[20:14.940 --> 20:15.540]  or
[20:15.540 --> 20:17.220]  or Bad Boys 2
[20:17.220 --> 20:19.760]  would be up there. Maybe Fast 5
[20:19.760 --> 20:21.000]  would be in there.
[20:21.240 --> 20:23.160]  Or it's going to be like Citizen Kane
[20:23.160 --> 20:24.460]  and Sunset Boulevard.
[20:25.460 --> 20:27.240]  Totally on Golden Pond.
[20:27.560 --> 20:28.900]  Something you totally wouldn't expect.
[20:29.420 --> 20:31.380]  You kind of nailed it. His number one
[20:31.380 --> 20:33.380]  the greatest film of all time from The Goat
[20:33.380 --> 20:34.540]  is Bad Boys 2.
[20:34.820 --> 20:37.120]  The greatest cinematic masterpiece of all time.
[20:37.560 --> 20:38.800]  Then his number 2,
[20:39.360 --> 20:41.180]  which I love so much,
[20:41.260 --> 20:43.140]  he's like, for all the film snobs out there,
[20:43.880 --> 20:44.880]  G1. We going
[20:44.880 --> 20:45.960]  Godfather 1.
[20:47.760 --> 20:48.440]  He called
[20:49.000 --> 20:50.320]  the first Godfather
[20:51.020 --> 20:51.460]  G1.
[20:52.620 --> 20:55.000]  He's the only person on earth who likes
[20:55.000 --> 20:56.220]  Godfather 1 more than 2.
[20:56.640 --> 20:59.160]  He said, this is maybe my favorite part
[20:59.160 --> 21:00.620]  of the video that Gavin sent me.
[21:00.900 --> 21:03.200]  He said, okay, now we're going to 3. The list really
[21:03.200 --> 21:05.220]  drops off at this point. It's your own
[21:05.220 --> 21:05.960]  top 10.
[21:06.500 --> 21:09.100]  What does that mean? Why does it drop off
[21:09.100 --> 21:11.160]  significantly? And then he couldn't
[21:11.160 --> 21:13.140]  decide. It drops off significantly
[21:13.140 --> 21:15.420]  and then he said, this is in the running
[21:15.420 --> 21:16.540]  for number 3.
[21:17.000 --> 21:18.200]  And it was The Raid 2.
[21:18.560 --> 21:20.880]  He said that
[21:20.880 --> 21:23.180]  him and like 20 guys saw
[21:23.180 --> 21:25.240]  The Raid 2 and in the final
[21:25.240 --> 21:27.040]  fight sequence, everybody
[21:27.040 --> 21:29.160]  stood up and was watching it and they felt like
[21:29.160 --> 21:30.940]  it was real. Which is insane.
[21:31.160 --> 21:32.800]  That's how much he likes Bad Boys 2.
[21:33.280 --> 21:35.180]  He thought he watched a brawl in a
[21:35.180 --> 21:36.520]  theater like it was real life.
[21:36.880 --> 21:39.040]  People dying and it's 3. It's not
[21:39.040 --> 21:40.620]  even 3. It might be 3.
[21:41.020 --> 21:41.960]  It's a distant 3.
[21:42.600 --> 21:44.700]  I was pretty much
[21:44.700 --> 21:45.820]  correct on my guesses.
[21:46.100 --> 21:48.780]  He was saying everything I said to you and I just
[21:48.780 --> 21:50.520]  laughed and just stopped the recording.
[21:50.740 --> 21:52.140]  Because I was like, I've got everything I need.
[21:53.380 --> 21:55.120]  And then we had to go and watch the movie.
[21:55.940 --> 21:56.940]  Oh, and then you guys
[21:56.940 --> 21:58.740]  were seeing it in 40x is how it was
[21:58.740 --> 22:00.800]  explained going into it. And I was so
[22:00.800 --> 22:02.880]  jealous of like, I don't have that available
[22:02.880 --> 22:04.900]  to me. I knew Eric was having
[22:04.900 --> 22:06.160]  a great time watching it.
[22:06.160 --> 22:08.360]  I can't watch it with TPG sadly
[22:08.360 --> 22:10.300]  so I feel like I'm missing out on the experience
[22:10.300 --> 22:12.360]  but just the seats alone, it's like that's a whole
[22:12.360 --> 22:13.320]  layer I feel like I'm missing.
[22:13.880 --> 22:16.180]  To then learn that you guys didn't even see it in that way.
[22:16.260 --> 22:17.960]  You just saw it in a normal setting.
[22:18.400 --> 22:20.580]  Yeah, what was that about Eric? Why did we go to that one?
[22:20.940 --> 22:22.060]  I think...
[22:22.060 --> 22:24.000]  Okay, so I will say that Tim
[22:24.000 --> 22:26.320]  texted me the next day and the text
[22:26.320 --> 22:27.520]  just read, bro,
[22:28.160 --> 22:30.160]  that theater? Hidden gem.
[22:30.380 --> 22:31.380]  Might be top 10.
[22:31.700 --> 22:34.200]  So I think he just really likes that theater
[22:34.200 --> 22:36.300]  but also, I thought we were seeing it
[22:36.300 --> 22:38.260]  in 4DX. Turns out, that
[22:38.260 --> 22:40.580]  movie is not in 4DX.
[22:40.860 --> 22:41.800]  That's insane.
[22:42.200 --> 22:44.060]  Can you believe Ambulance
[22:44.060 --> 22:46.200]  is not in 4DX? We saw it
[22:46.200 --> 22:48.060]  in a regular theater and it was the most
[22:48.060 --> 22:50.220]  thrilling time I might have ever had at a movie.
[22:50.820 --> 22:52.180]  Imagine those FPV
[22:52.180 --> 22:54.080]  drone shots in 4DX, it would have been amazing.
[22:54.160 --> 22:56.260]  No, I wouldn't have been able to live tweet
[22:56.260 --> 22:58.360]  the whole... there's no one in that theater. I live
[22:58.360 --> 23:00.120]  tweeted the whole movie because no one was there
[23:00.120 --> 23:01.820]  and I loved every second of it.
[23:01.820 --> 23:03.280]  Oh, yeah. Oh, my
[23:04.320 --> 23:05.840]  Twitter that night was
[23:06.460 --> 23:08.080]  on fire. Insane.
[23:08.740 --> 23:09.820]  Dude, I loved it.
[23:09.880 --> 23:11.140]  I loved it. I had such a good time.
[23:11.700 --> 23:13.820]  And you said the movie was... the theater was
[23:13.820 --> 23:15.780]  empty? Dude, there were like... how many
[23:15.780 --> 23:17.300]  more people were there in that theater, Gavin?
[23:17.740 --> 23:19.960]  Three? Maybe. Was this opening weekend?
[23:20.300 --> 23:21.900]  Oh, yeah. That was like the day it came out.
[23:25.120 --> 23:27.900]  I want to see it so badly. I need to see Ambulance.
[23:28.320 --> 23:30.160]  I don't want to see it at all.
[23:30.160 --> 23:32.200]  Nothing about that trailer looked
[23:32.200 --> 23:34.380]  good to me. It's awesome.
[23:34.940 --> 23:36.340]  It is unhinged.
[23:36.440 --> 23:38.160]  You have to... I want
[23:38.160 --> 23:39.880]  everyone I know to see this movie.
[23:40.160 --> 23:42.000]  It is like
[23:42.000 --> 23:44.260]  there's people who are like
[23:44.260 --> 23:45.780]  oh, yeah, I only watch cinema.
[23:46.120 --> 23:48.200]  This takes cinema to a
[23:48.200 --> 23:50.300]  place where I didn't know it could go. It was
[23:50.300 --> 23:50.860]  incredible.
[23:51.680 --> 23:54.160]  I don't know anything about it. I've somehow
[23:54.160 --> 23:56.140]  avoided all the trailers. I just know it's
[23:56.140 --> 23:58.340]  an action movie with Michael Bay called Ambulance.
[23:58.340 --> 24:00.480]  I saw somebody make a joke tweet
[24:00.480 --> 24:02.480]  that was like, this movie is crazier
[24:02.480 --> 24:04.540]  than I realized. I didn't know the lead character's name
[24:04.540 --> 24:06.480]  was Michael J. Ambulance. And I had to
[24:06.480 --> 24:08.480]  look up to see if that was true. It's the type
[24:08.480 --> 24:10.360]  of movie where if that was true
[24:10.360 --> 24:11.900]  it wouldn't faze me at all.
[24:12.120 --> 24:14.400]  It feels like it could happen. I need to see it.
[24:14.420 --> 24:16.320]  I'm excited to watch it. I was jealous
[24:16.320 --> 24:18.500]  of your great evening with TPG.
[24:19.460 --> 24:20.180]  Yeah, I wish you were there.
[24:20.340 --> 24:21.180]  I wish everyone was there.
[24:21.880 --> 24:24.380]  It would be an amazing experience. I wanted to
[24:24.380 --> 24:25.780]  be in the theater with The Raid 2.
[24:25.780 --> 24:27.840]  I think the thing we all missed
[24:27.840 --> 24:29.160]  witnessing that live fight.
[24:29.260 --> 24:31.680]  I feel like the thing that Tim explained
[24:31.680 --> 24:33.420]  to us later is that
[24:33.420 --> 24:35.740]  he wasn't sure if everyone else
[24:35.740 --> 24:37.680]  was standing or if he was the only one
[24:37.680 --> 24:39.560]  standing believing the movie was real.
[24:40.400 --> 24:41.780]  But either way, he
[24:41.780 --> 24:43.880]  loved it. It's a great movie.
[24:44.220 --> 24:45.340]  The Raid 2 is fucking awesome.
[24:46.140 --> 24:46.960]  Amazing fight scenes.
[24:47.640 --> 24:49.700]  How are you doing, Geoff? I'm good. I'm trying to
[24:49.700 --> 24:51.600]  take pictures of my tattoos for you guys. Oh, nice.
[24:51.740 --> 24:53.380]  Wait, tattoos? You got the second one?
[24:53.380 --> 24:54.620]  I got all three.
[24:55.100 --> 24:56.480]  He's already got all three.
[24:58.980 --> 24:59.440]  That's incredible.
[25:00.100 --> 25:01.440]  We're 25 minutes into
[25:01.440 --> 25:02.140]  the episode.
[25:04.680 --> 25:05.560]  I didn't
[25:05.560 --> 25:06.660]  expect it to take all day.
[25:07.480 --> 25:09.500]  I didn't expect it to take 20
[25:09.500 --> 25:11.480]  minutes. I was wondering
[25:11.480 --> 25:13.240]  if we'd be able to get all three in.
[25:13.320 --> 25:15.420]  I thought, too, all three is wild.
[25:15.600 --> 25:17.560]  I wonder if you didn't say anything, how many
[25:17.560 --> 25:19.420]  tattoos you could get within an hour without
[25:19.420 --> 25:21.440]  us knowing at all. That'd be an amazing
[25:21.440 --> 25:23.560]  reveal that you've gotten, like, 15 tattoos
[25:24.240 --> 25:25.580]  from the beginning to the end of the
[25:25.580 --> 25:27.600]  episode. The moment
[25:27.600 --> 25:29.540]  the camera turned on might have been the greatest
[25:29.540 --> 25:31.300]  reveal in Fuckface history.
[25:31.680 --> 25:33.640]  That was the funniest thing I've ever seen.
[25:33.900 --> 25:34.760]  And cinema history.
[25:35.920 --> 25:37.600]  Like, there is no reveal that
[25:37.600 --> 25:38.200]  could top that.
[25:39.240 --> 25:41.520]  Just every reveal now, that's all I'm going to think about.
[25:42.460 --> 25:43.740]  Geoff on his side
[25:43.740 --> 25:44.860]  with his hands on his head.
[25:45.600 --> 25:47.260]  I guess something else we should talk about,
[25:47.360 --> 25:49.620]  just very briefly, I guess, is
[25:50.500 --> 25:51.740]  there's somebody in the community
[25:51.740 --> 25:52.860]  made a game for us.
[25:53.100 --> 25:55.620]  That's surprisingly fun. What was that? I saw the link to that, but I couldn't do it
[25:55.620 --> 25:56.400]  on my phone. What was that?
[25:57.020 --> 25:59.520]  I had to use my desktop to play it.
[25:59.620 --> 26:01.980]  Just off the browser. It's a...
[26:01.980 --> 26:03.680]  I don't know how to describe the game,
[26:03.760 --> 26:04.340]  but it's...
[26:05.600 --> 26:07.660]  It's from somebody named Michael's Game Lab.
[26:08.460 --> 26:09.180]  What was it called?
[26:09.560 --> 26:11.000]  It's called Fuckface Knob Drop.
[26:11.660 --> 26:12.760]  And it's like...
[26:14.920 --> 26:15.560]  It's a game
[26:15.560 --> 26:17.760]  where, like, things fall down. So you have to collect...
[26:17.760 --> 26:20.160]  You have to eat burgers, hot dogs,
[26:20.220 --> 26:21.960]  and waffles while avoiding
[26:22.620 --> 26:23.060]  pencils,
[26:23.820 --> 26:26.040]  baseball bats, and something else.
[26:26.080 --> 26:27.860]  And you're just moving your mouse, like, across
[26:27.860 --> 26:30.020]  the screen with an... You're controlling an Ian face.
[26:30.300 --> 26:31.820]  And there's a no-scrumping warning
[26:31.820 --> 26:33.820]  that will appear, and apples will, like,
[26:33.860 --> 26:35.820]  fall on the screen, and if you hit an apple, you lose
[26:35.820 --> 26:37.500]  life. Like, you can easily die from the apples.
[26:38.100 --> 26:39.940]  It's a lot of fun. I started it,
[26:40.160 --> 26:41.500]  got number one on the leaderboard,
[26:42.080 --> 26:43.960]  talked shit about it, and just have been
[26:44.460 --> 26:46.100]  demolished. People are way ahead.
[26:46.100 --> 26:47.640]  Geoff just posted his tattoos.
[26:48.120 --> 26:49.760]  Wow. These are amazing.
[26:50.340 --> 26:52.360]  These are, like, so good.
[26:52.760 --> 26:54.220]  I like that Ian's looking
[26:54.220 --> 26:55.540]  at the duck.
[26:56.200 --> 26:57.720]  It's a goose. The goose.
[26:59.220 --> 27:00.260]  And it's close
[27:00.260 --> 27:02.180]  enough that fart hard feels like a thing
[27:02.180 --> 27:04.120]  that Ian could be saying to
[27:04.120 --> 27:06.160]  the goose. Oh, right, like, fart hard
[27:06.160 --> 27:07.540]  is coming out of Ian's mouth. Yeah.
[27:08.940 --> 27:10.100]  Oh, god, they're
[27:10.100 --> 27:12.140]  all really good. They're such good... Well, there you go.
[27:12.300 --> 27:13.960]  Well, I hired, like I said,
[27:13.960 --> 27:16.120]  Derek's one of the best tattooers in America,
[27:16.120 --> 27:16.780]  let alone Austin.
[27:18.260 --> 27:19.400]  So, when you do it, you do it right.
[27:19.900 --> 27:21.420]  Oh, the pencil. That's amazing.
[27:22.020 --> 27:23.880]  That looks fantastic. What a reveal.
[27:24.540 --> 27:25.440]  Speaking of things that
[27:26.180 --> 27:28.000]  reveal... Happy 100, by
[27:28.000 --> 27:29.760]  the way. I've never gotten, in
[27:29.760 --> 27:31.900]  19 years since I started
[27:31.900 --> 27:33.780]  or helped start this company, I've never
[27:33.780 --> 27:35.740]  got a company-related
[27:35.740 --> 27:37.900]  tattoo. These are my first. Wow!
[27:38.300 --> 27:39.220]  That's amazing.
[27:39.920 --> 27:41.340]  I don't know what my nose is on there.
[27:41.340 --> 27:42.900]  Is that just me? Ah,
[27:43.160 --> 27:44.680]  shit, I forgot about your nose. That's true.
[27:44.840 --> 27:47.380]  Yeah, I guess there's that one. That is true.
[27:47.500 --> 27:49.300]  I've only gotten one other company-related tattoo.
[27:53.280 --> 27:54.500]  Andrew, should we get one?
[27:55.540 --> 27:57.260]  I'm not opposed to
[27:57.260 --> 27:59.440]  getting a tattoo. I've just never got one.
[27:59.840 --> 28:01.240]  I've got a good one for you. It's across
[28:01.240 --> 28:02.940]  your ankle and it just says, snap here.
[28:03.340 --> 28:03.620]  Ooh.
[28:04.780 --> 28:07.380]  I don't think that would imply it requires snapping
[28:07.380 --> 28:09.080]  and that it's not already happened.
[28:09.080 --> 28:10.780]  We're already...
[28:10.780 --> 28:11.960]  How are the legs this week?
[28:12.700 --> 28:13.580]  It's okay.
[28:13.960 --> 28:17.140]  I think it would just maybe, like, waste of space
[28:17.140 --> 28:18.860]  would be probably more appropriate.
[28:19.020 --> 28:20.900]  Just useless. Maybe just useless
[28:21.840 --> 28:23.280]  across... different options.
[28:23.480 --> 28:24.280]  We could workshop it.
[28:24.680 --> 28:26.180]  Use and less across the agenda.
[28:28.200 --> 28:29.200]  It just looks like
[28:29.200 --> 28:29.920]  use less.
[28:36.530 --> 28:38.730]  You know what sucks is all of the advantages
[28:38.730 --> 28:40.750]  that big businesses have over the little guy.
[28:40.750 --> 28:42.410]  Like having more access to funding,
[28:42.590 --> 28:44.570]  on top of getting better rates and other privileges
[28:44.570 --> 28:46.250]  reserved for the top dogs.
[28:46.710 --> 28:48.790]  If you run an e-commerce business, you probably feel like
[28:48.790 --> 28:50.670]  it's about time people stop treating e-commerce
[28:50.670 --> 28:52.730]  giants better just because they're
[28:52.730 --> 28:54.370]  bigger. And you're absolutely right.
[28:54.710 --> 28:56.510]  That's why ShipStation gives e-commerce sellers
[28:56.510 --> 28:58.490]  of all sizes access to the same
[28:58.490 --> 29:00.450]  deeply discounted rates usually
[29:00.450 --> 29:02.350]  reserved for Fortune 500 companies.
[29:02.630 --> 29:04.610]  No wonder ShipStation is already trusted
[29:04.610 --> 29:05.970]  by over 100,000 sellers.
[29:06.530 --> 29:08.370]  Terrified of dealing with international shipping?
[29:08.370 --> 29:10.430]  Don't be. ShipStation makes
[29:10.430 --> 29:12.570]  it a breeze to ship anywhere around the world.
[29:12.910 --> 29:13.810]  It's a scale away.
[29:14.210 --> 29:15.530]  ShipStation can handle it.
[29:15.890 --> 29:17.870]  Saving money while making shipping easier?
[29:18.150 --> 29:20.310]  It's a no brainer. With all the money I'd save,
[29:20.390 --> 29:22.130]  I could easily start a new sauce empire.
[29:22.330 --> 29:23.190]  It would be incredible.
[29:23.750 --> 29:25.530]  ShipStation doesn't just save you money,
[29:25.810 --> 29:27.090]  but that's a good place to start.
[29:27.510 --> 29:29.690]  ShipStation works with over 45 carriers,
[29:30.150 --> 29:32.250]  easily compare rates and delivery times
[29:32.250 --> 29:33.790]  to quickly find the best option
[29:34.180 --> 29:35.850]  every time. Works with over
[29:35.850 --> 29:37.990]  300 platforms like Amazon,
[29:38.130 --> 29:40.050]  eBay, Etsy and more to automate
[29:40.050 --> 29:41.850]  processes like fulfillment and
[29:41.850 --> 29:44.030]  tracking so you can save time managing
[29:44.030 --> 29:45.550]  orders. In fact,
[29:45.910 --> 29:48.090]  98% of companies that use ShipStation
[29:48.090 --> 29:49.910]  for a year keep using it
[29:49.910 --> 29:51.350]  for as long as they're in business.
[29:51.850 --> 29:53.870]  Don't let the big guys keep all the good discounts to
[29:53.870 --> 29:55.950]  themselves. Sign up using promo
[29:55.950 --> 29:57.950]  code FACE for a free 60 day
[29:57.950 --> 30:00.650]  trial today at ShipStation.com
[30:00.650 --> 30:01.970]  and start saving with
[30:01.970 --> 30:03.890]  every shipment. That's two whole
[30:03.890 --> 30:05.290]  months of discounted shipping
[30:05.890 --> 30:07.690]  absolutely free. Just go to
[30:07.690 --> 30:09.630]  ShipStation.com, click on the
[30:09.630 --> 30:11.810]  microphone at the top of the page and type in
[30:11.810 --> 30:13.410]  FACE. ShipStation.
[30:13.710 --> 30:15.950]  Make ship happen. Mellower Vibes
[30:15.950 --> 30:17.330]  are a moment away with Dadgrass.
[30:17.690 --> 30:19.670]  They'll take you back to a time when music was on
[30:19.670 --> 30:21.690]  vinyl, books were bought in a store
[30:21.690 --> 30:24.030]  and hipsters were a style of jeans.
[30:24.470 --> 30:26.090]  And to celebrate the passage of time,
[30:26.330 --> 30:27.890]  they're doing a special collab
[30:27.890 --> 30:29.330]  with George Harrison's estate
[30:29.330 --> 30:31.830]  to mark 50 years since his All Things
[30:31.830 --> 30:33.830]  Must Pass album. Dadgrass is
[30:33.830 --> 30:35.630]  legal, organic, smokable hemp
[30:35.630 --> 30:37.950]  that relaxes your body and mellows your mind.
[30:38.430 --> 30:39.770]  Their 100% organic
[30:39.770 --> 30:42.150]  pre-rolled joints are very low in THC
[30:42.150 --> 30:43.470]  and high in CBD
[30:43.470 --> 30:45.610]  so you can enjoy the effects of CBD
[30:45.610 --> 30:47.310]  while keeping a clear head.
[30:47.810 --> 30:49.950]  Chill out without getting stoned. It's like having
[30:49.950 --> 30:51.750]  a glass of wine and not the whole bottle.
[30:52.270 --> 30:54.070]  And Dadgrass knows you get by
[30:54.070 --> 30:55.450]  with a little hemp from a friend.
[30:55.810 --> 30:57.690]  They've partnered with the George Harrison estate
[30:57.690 --> 30:59.830]  to create a new CBD and
[30:59.830 --> 31:01.770]  CBD blend and accessories
[31:01.770 --> 31:03.450]  called All Things Must Grass
[31:03.450 --> 31:05.790]  which pays tribute to the man who always let
[31:05.790 --> 31:07.810]  the good times roll. All Dadgrass
[31:07.810 --> 31:09.770]  products are federally legal for ages
[31:09.770 --> 31:11.770]  21 and over and it ships right
[31:11.770 --> 31:13.530]  to your door anywhere in the US.
[31:14.050 --> 31:15.830]  Whether you're looking for a new buzz or a
[31:15.830 --> 31:17.390]  chill way to enjoy an old favorite,
[31:17.850 --> 31:19.770]  Dadgrass will leave you in a euphoric
[31:19.770 --> 31:21.650]  mood. Right now, Dadgrass
[31:21.650 --> 31:23.950]  is offering our listeners 20% off your first
[31:23.950 --> 31:26.090]  order when you go to dadgrass.com
[31:26.090 --> 31:27.630]  slash face. Go to
[31:27.630 --> 31:29.270]  dadgrass.com slash face
[31:29.270 --> 31:31.550]  for 20% off your first order.
[31:31.730 --> 31:33.590]  That's dadgrass.com
[31:33.590 --> 31:34.990]  slash face.
[31:35.310 --> 31:37.250]  Isn't it crazy that in 2022
[31:37.250 --> 31:39.810]  we have high speed internet, celebrities going to space
[31:39.810 --> 31:41.650]  and electric cars and yet people
[31:41.650 --> 31:43.430]  are still cleaning their bums the way our
[31:43.430 --> 31:45.550]  Victorian brothers and sisters did. With
[31:45.550 --> 31:47.430]  toilet paper. Step into the
[31:47.430 --> 31:49.670]  21st century and upgrade your bathroom routine
[31:49.670 --> 31:51.410]  and start washing your bum with
[31:51.410 --> 31:53.410]  Hello Tissue bidets. Because smearing
[31:53.410 --> 31:55.350]  your business around with toilet paper is so
[31:55.350 --> 31:57.350]  100 years ago. Hello Tissue bidets
[31:57.350 --> 31:59.410]  are incredible. Everybody I know who has gotten
[31:59.410 --> 32:01.410]  one absolutely loves it. It's changed my
[32:01.410 --> 32:03.290]  bathroom routine. They're so easy
[32:03.290 --> 32:05.330]  to install. They're a fantastic product
[32:05.330 --> 32:07.230]  that I would highly recommend. So stop
[32:07.230 --> 32:09.290]  spreading your business around your butthole with toilet
[32:09.290 --> 32:11.490]  paper. Start washing with Hello Tissue
[32:11.490 --> 32:13.490]  bidets. The Hello Tissue bidet
[32:13.490 --> 32:15.430]  attachment washes your bum with fresh water
[32:15.430 --> 32:17.510]  for a way better clean than toilet paper.
[32:18.070 --> 32:19.410]  Simply spray and pat
[32:19.410 --> 32:21.270]  dry. Attaches to your existing
[32:21.270 --> 32:23.350]  toilet. No electrician or plumber needed.
[32:23.350 --> 32:25.390]  Installs in less than 8 minutes.
[32:25.850 --> 32:27.790]  Cuts down your TP use by 80%
[32:27.790 --> 32:29.470]  saving money and paper waste.
[32:29.870 --> 32:31.570]  Make the restroom your best room
[32:31.570 --> 32:33.230]  with the complete Tissue system.
[32:33.650 --> 32:35.570]  Including the Tissue bidet attachment,
[32:36.030 --> 32:37.650]  ottoman, and toilet brush.
[32:38.130 --> 32:39.210]  Hello Tissue has cleaned over
[32:39.210 --> 32:41.370]  1 million happy bums. Join
[32:41.370 --> 32:43.470]  them and take care of your business the
[32:43.470 --> 32:45.450]  cleaner way. We want all of our
[32:45.450 --> 32:47.290]  listeners to have clean bumps. Visit
[32:47.290 --> 32:49.110]  hellotissue.com slash face
[32:49.110 --> 32:51.230]  to get 10% off plus
[32:51.230 --> 32:53.330]  free shipping right now.
[32:53.750 --> 32:55.130]  Tag us and at hellotissue
[32:55.130 --> 32:57.330]  on social media so we can celebrate your clean
[32:57.330 --> 32:58.610]  butt with you. That's
[32:58.610 --> 33:01.010]  hellotissue.com slash face for
[33:01.010 --> 33:02.270]  10% off.
[33:03.490 --> 33:04.790]  You ever, um,
[33:05.170 --> 33:07.250]  this is such a weird poll, did you ever watch that
[33:07.250 --> 33:08.590]  Flat Earth documentary
[33:09.170 --> 33:10.950]  that was like popular to you?
[33:10.970 --> 33:12.930]  It was like a really popular Flat Earth
[33:12.930 --> 33:14.870]  documentary and just like it's so ridiculous.
[33:15.010 --> 33:16.950]  It feels like a, like
[33:16.950 --> 33:19.130]  best in show type movie, but it's
[33:19.130 --> 33:21.230]  a documentary and one of the guys
[33:21.230 --> 33:23.130]  in it is like talking about how
[33:23.130 --> 33:25.270]  marketable, um, it is
[33:25.270 --> 33:26.910]  and how it's like their secret underworld
[33:26.910 --> 33:29.110]  and he shows this guy a license plate
[33:29.110 --> 33:31.210]  and he's like, what does this say to you? And the guy
[33:31.210 --> 33:33.170]  says, NASA lies. He's
[33:33.170 --> 33:34.990]  like, yeah, but it could also be nasal
[33:34.990 --> 33:37.210]  eyes, could be ears, throat, nose specialist.
[33:37.390 --> 33:39.090]  You don't know. We're under the record.
[33:39.950 --> 33:40.750]  Read sneaky.
[33:41.150 --> 33:43.050]  That's always what I think about. Just
[33:43.050 --> 33:44.870]  stupid, like misreading a thing. Nobody would
[33:44.870 --> 33:46.730]  read that as nasal eyes.
[33:46.730 --> 33:48.250]  Yeah, it's like that
[33:48.250 --> 33:50.510]  Penn Island website. Was that the
[33:50.510 --> 33:52.710]  documentary where the guy disproved
[33:52.710 --> 33:54.350]  that the earth was flat in the documentary
[33:54.870 --> 33:56.750]  and then decided that his test must have been
[33:56.750 --> 33:58.690]  flawed? I, yes, yes
[33:58.690 --> 34:00.870]  it was. I forgot about that. I watched
[34:00.870 --> 34:02.670]  that movie. Sometimes when I watch movies
[34:02.670 --> 34:04.590]  I'll take like notes if I plan on
[34:04.590 --> 34:06.810]  talking about them in some way. I took
[34:06.810 --> 34:08.850]  like 200 notes in that
