[00:09.760 --> 00:10.680]  I
[17:14.600 --> 17:16.380]  that's it's funny that that's
[17:16.380 --> 17:18.000]  the only thing I know about this product now
[17:18.660 --> 17:20.340]  I know one fact about it
[17:20.340 --> 17:22.040]  their bondage when dipped in water
[17:22.040 --> 17:24.240]  which is not a great kids toy
[17:24.240 --> 17:26.300]  yeah now I'm faced with
[17:26.300 --> 17:28.080]  knowing the answer to this
[17:28.080 --> 17:30.120]  do I have a responsibility to
[17:30.120 --> 17:31.140]  tell the family
[17:32.360 --> 17:33.640]  I'm not staying out of it
[17:34.140 --> 17:35.560]  yeah you just avoid it
[17:35.560 --> 17:37.260]  you don't get into that
[17:37.260 --> 17:40.240]  Geoff you just let it be. Did you ever have those
[17:40.240 --> 17:41.600]  those little alien
[17:42.220 --> 17:43.900]  squishy alien in the eggs
[17:43.900 --> 17:45.820]  things and everyone said that if you
[17:45.820 --> 17:48.360]  like tied their dicks together they'd make a baby alien
[17:48.360 --> 17:49.500]  what no
[17:49.500 --> 17:52.120]  what does any of that mean
[17:52.120 --> 17:53.560]  what the fuck are you talking about
[17:53.560 --> 17:54.880]  I first of all don't know
[17:55.340 --> 17:57.640]  I don't know what your toy is
[17:57.640 --> 17:59.680]  and I also don't know who the everyone is
[17:59.680 --> 18:01.420]  I didn't have either of those in my life
[18:01.420 --> 18:03.660]  do you tie a lot of dicks together
[18:03.660 --> 18:05.320]  no I never had one
[18:05.320 --> 18:07.740]  it was like a little plastic
[18:07.740 --> 18:09.100]  egg with slime inside
[18:09.100 --> 18:11.980]  and in the slime was like a little
[18:13.080 --> 18:14.000]  rubbery alien
[18:14.000 --> 18:15.140]  like stretchy alien
[18:15.610 --> 18:17.000]  but everyone would always say that like
[18:17.000 --> 18:21.020]  Because they had dicks. Everyone always said if you tied the dicks together a baby alien
[18:21.020 --> 18:21.380]  would grow.
[18:21.500 --> 18:22.340]  Who's everyone?
[18:22.880 --> 18:24.200]  Just all of my friends who had it.
[18:24.680 --> 18:26.140]  Is that what it looked like?
[18:26.580 --> 18:31.260]  Yeah, but it had a schlong. And then all my friends were like, yeah, yeah, yeah, if you
[18:31.260 --> 18:32.920]  tie the dicks together it makes a little baby alien.
[18:33.160 --> 18:36.140]  They're like, okay, so what's going on here?
[18:37.840 --> 18:40.040]  Is that what... these ones don't have dicks.
[18:40.160 --> 18:42.220]  They're making a baby alien.
[18:42.220 --> 18:49.460]  I found a website, Lab Bible, that is, you know, just like Barstool, but for like blokes.
[18:51.000 --> 18:55.680]  Scientific experiment confirms once and for all whether goo aliens can have babies.
[18:56.020 --> 18:58.720]  And it is exactly what Gavin is talking about.
[18:58.840 --> 19:00.460]  They did an experiment to see.
[19:01.160 --> 19:01.420]  Yeah.
[19:01.600 --> 19:03.020]  So my friends would never show me.
[19:03.060 --> 19:08.820]  And one day I was like, look, I really don't believe that tying these two alien dicks together
[19:08.820 --> 19:09.680]  would make a baby.
[19:09.680 --> 19:12.420]  So two of my friends tried it and they're like, oh yeah, it didn't work.
[19:12.500 --> 19:13.580]  It's not working.
[19:15.040 --> 19:19.260]  Like it was like a problem with those specific aliens, but I was like, how, how would it,
[19:19.480 --> 19:20.660]  how did that rumor start?
[19:20.740 --> 19:21.460]  Where'd that come from?
[19:21.920 --> 19:22.400]  Yeah, I don't know.
[19:22.680 --> 19:26.220]  I thought you're talking about like those dinosaurs you put in water and they'd grow.
[19:26.560 --> 19:27.440]  Those are always awesome.
[19:27.780 --> 19:28.000]  As a kid.
[19:28.040 --> 19:29.400]  The little sponge pill thing?
[19:29.600 --> 19:32.820]  Yeah, the little sponge things you put in the water and then like the next day it would
[19:32.820 --> 19:32.940]  become huge.
[19:32.940 --> 19:34.360]  Yeah, they were the shit.
[19:34.760 --> 19:37.420]  So your friends, your friends were like, what do you want to do after school today?
[19:37.440 --> 19:38.680]  You want to go play cricket?
[19:38.680 --> 19:39.840]  Like nah, football?
[19:40.760 --> 19:40.980]  Nah.
[19:41.160 --> 19:42.820]  What if we tied alien dicks together?
[19:42.960 --> 19:44.100]  I'll be over at 315.
[19:44.360 --> 19:49.360]  It was like a, a well known thing that it worked, but no one had ever seen it work.
[19:50.380 --> 19:56.660]  How does that stuff, how does like the schoolyard stuff kind of like prevent, yeah, right.
[19:56.960 --> 19:59.700]  Like propagate to all the schoolyards around the world.
[19:59.760 --> 20:00.260]  I don't know.
[20:00.320 --> 20:05.600]  Like there's stuff like Rod Stewart and Richard Gere that have like urban legends and I just
[20:05.600 --> 20:08.540]  don't know how me in third grade hears about that.
[20:08.580 --> 20:11.600]  What happens if you tie Richard Gere's dick to Rod Stewart's?
[20:12.940 --> 20:14.320]  A gerbil comes out of his ass.
[20:15.480 --> 20:20.640]  I think this just might be genius marketing from the company because really what they're
[20:20.640 --> 20:23.740]  selling is buy two, get one free in this environment.
[20:24.480 --> 20:28.680]  It's like, it's a trick to get you to buy two aliens and it ultimately gives you nothing
[20:28.680 --> 20:31.040]  under the belief of you're going to get a free third one.
[20:31.700 --> 20:31.880]  Yeah.
[20:31.900 --> 20:34.780]  I feel like if that came from within the company, it's the most genius thing I've ever heard.
[20:34.780 --> 20:35.640]  How do we?
[20:35.760 --> 20:35.880]  All right.
[20:35.940 --> 20:36.780]  Well, all right.
[20:36.860 --> 20:37.200]  Hold on.
[20:37.320 --> 20:38.120]  How do we do that?
[20:38.760 --> 20:39.200]  What do you mean?
[20:39.340 --> 20:40.260]  What do we like?
[20:40.380 --> 20:41.640]  If you, how do we do that?
[20:41.760 --> 20:42.740]  How do we tie alien dicks?
[20:43.260 --> 20:43.700]  No, no, no.
[20:43.760 --> 20:49.160]  How do we, how do we, how do we propagate some sort of a schoolyard thing so that people
[20:49.160 --> 20:53.740]  think they have to buy two f*** face merch items and have them have sex to make a new
[20:53.740 --> 20:54.700]  f*** face merch item?
[20:55.060 --> 20:55.220]  What?
[20:55.260 --> 20:56.240]  We getting into scamming?
[20:56.540 --> 20:56.860]  Yeah.
[20:56.900 --> 20:58.160]  I don't want to do that to the audience.
[20:58.320 --> 21:02.380]  Second of all, I don't think you can when you talk about it within the thing.
[21:02.380 --> 21:04.960]  I think that's a, a secret or subtle.
[21:05.240 --> 21:06.120]  It won't work.
[21:06.220 --> 21:09.920]  It won't work for everybody who listens to 175, but think of all the people that miss
[21:09.920 --> 21:10.040]  it.
[21:10.280 --> 21:11.820]  And then somebody will mention it.
[21:11.860 --> 21:13.040]  This is how these things propagate.
[21:13.540 --> 21:16.020]  Do you think maybe it's a thing where like we try to get people to listen?
[21:16.120 --> 21:19.920]  It's like, it's like if you listen to stuff backwards or you like listen to the episode
[21:19.920 --> 21:20.540]  two times.
[21:20.800 --> 21:21.180]  Oh, that's.
[21:21.340 --> 21:21.760]  I like that.
[21:22.560 --> 21:24.400]  I like a listening version of that.
[21:24.480 --> 21:25.120]  Not a monetary.
[21:25.460 --> 21:25.640]  Yeah.
[21:25.640 --> 21:33.300]  Like if you, if you, uh, if you wear an Ian shirt, uh, and say, and say pencil three
[21:33.300 --> 21:37.020]  times into a, into a mirror with the lights off, Ian will appear behind you or something.
[21:37.440 --> 21:38.100]  That's great.
[21:38.640 --> 21:41.880]  You know, my favorite one of those is, and I, I'm so mad that I don't remember her name.
[21:41.960 --> 21:49.240]  She was such a fucking smart, um, ad executive, but she is the reason why in Alka-Seltzer
[21:49.240 --> 21:53.640]  ads they drop in two tablets in the commercial because I guess you only need one and they're
[21:53.640 --> 21:54.540]  originally doing one.
[21:54.540 --> 21:58.760]  And she realized that if they displayed people using two, they would use the product more
[21:58.760 --> 22:02.680]  frequently and they would sell more and like almost overnight doubled the sales.
[22:02.840 --> 22:04.400]  Can you OD on Alka-Seltzer?
[22:04.640 --> 22:05.380]  I don't know.
[22:06.000 --> 22:08.900]  It seems like a vicious thing to OD from like you'd explode.
[22:08.920 --> 22:13.300]  I think you could OD on anything, but also it makes sense with the marketing too, right?
[22:13.340 --> 22:17.640]  Because plop fizz isn't nearly as fun to say as plop plop fizz fizz.
[22:17.760 --> 22:18.300]  Oh, what a relief.
[22:18.300 --> 22:18.980]  That's very true.
[22:19.680 --> 22:21.140]  You can't have that second plop.
[22:21.280 --> 22:21.420]  Yeah.
[22:21.840 --> 22:26.580]  Um, can I take a step back in what we were talking, you were talking about Ian, like,
[22:26.660 --> 22:32.700]  you know, Ian appears behind you, whatever, at a merch meeting that, uh, that, that you
[22:32.700 --> 22:37.940]  missed earlier this week, Andrew, and, uh, you're thinking of me, it was me and Tony
[22:37.940 --> 22:43.740]  kind of like kicking around a couple of ideas and he said something about it, like an Ian,
[22:43.880 --> 22:47.680]  you know, what would like an Ian like figure, like a bobblehead be, you know, is that something?
[22:47.680 --> 22:51.400]  And I'm like, oh, that's like such a fun, it's like such a funny idea to do like a bobblehead
[22:51.400 --> 22:51.680]  Ian.
[22:51.820 --> 22:52.360]  And he's like, right.
[22:52.440 --> 22:53.660]  So what's the back of Ian's head?
[22:53.960 --> 22:56.960]  And I don't know the answer to that question.
[22:57.320 --> 22:58.240]  Is there a back?
[22:58.820 --> 23:00.400]  Well, the back is facing downwards.
[23:02.040 --> 23:03.380]  It would just be like a sauce.
[23:03.480 --> 23:04.960]  It would just be like a hot dog roll, right?
[23:05.940 --> 23:06.180]  Yes.
[23:06.420 --> 23:06.660]  Yeah.
[23:07.380 --> 23:08.340]  You'd have a little head roll.
[23:10.160 --> 23:11.220]  Is that what it is?
[23:11.960 --> 23:12.120]  I think.
[23:12.600 --> 23:16.960]  Well, it was just, I was like, that could be my second sentence.
[23:17.600 --> 23:18.560]  Andrew's running out of bits.
[23:18.820 --> 23:18.840]  Yeah.
[23:18.880 --> 23:19.360]  Okay, cool.
[23:19.360 --> 23:20.200]  So it's not just, okay.
[23:20.260 --> 23:20.840]  I thought it was me.
[23:21.080 --> 23:21.720]  No, he's not worried.
[23:21.980 --> 23:23.160]  Did you leave the planet?
[23:23.580 --> 23:24.700]  What do you mean?
[23:24.760 --> 23:25.880]  Did you switch to your pixel?
[23:26.800 --> 23:27.140]  What's that?
[23:27.500 --> 23:28.080]  Are you on your pixel?
[23:28.600 --> 23:28.840]  No.
[23:30.000 --> 23:32.140]  It sounds like you're talking to us from space.
[23:32.920 --> 23:33.140]  Really?
[23:34.140 --> 23:34.500]  Yeah.
[23:34.580 --> 23:35.160]  You got robot.
[23:35.920 --> 23:38.120]  Is it all these pictures of aliens that have done it?
[23:39.160 --> 23:40.440]  I'm trying to find them.
[23:42.820 --> 23:43.880]  Oh, my God.
[23:44.140 --> 23:44.820]  Stop talking.
[23:45.300 --> 23:45.680]  Oh, hang on.
[23:45.700 --> 23:47.340]  You're going to make Andrew into more of an alien.
[23:47.480 --> 23:48.080]  Gavin, stop.
[23:48.420 --> 23:49.600]  That's the one with the dick on it.
[23:49.660 --> 23:50.620]  You can see it's schlong.
[23:51.080 --> 23:51.240]  What?
[23:51.500 --> 23:52.120]  Oh, yeah.
[23:52.420 --> 23:53.820]  Look at his little wiener.
[23:53.940 --> 23:54.460]  Andrew, are you there?
[23:54.520 --> 23:54.920]  Are you an alien?
[23:56.080 --> 23:56.940]  How do I think?
[23:57.100 --> 23:57.440]  Uh-oh.
[23:57.520 --> 23:58.120]  Oh, boy.
[23:58.400 --> 23:58.980]  Uh-oh.
[24:00.500 --> 24:00.860]  Um...
[24:00.860 --> 24:02.280]  Are you trying to print something right now?
[24:02.360 --> 24:02.740]  Oh, he's gone.
[24:02.900 --> 24:03.380]  He's gone.
[24:03.800 --> 24:04.660]  What are you printing?
[24:05.340 --> 24:07.800]  It's been a while since we've had an Andrew tech problem.
[24:08.020 --> 24:08.180]  Yeah.
[24:08.180 --> 24:08.600]  It's true.
[24:09.900 --> 24:10.540]  Can you talk now?
[24:11.260 --> 24:11.820]  Andrew, are you there?
[24:13.160 --> 24:13.480]  Uh-oh.
[24:13.700 --> 24:14.060]  He...
[24:14.060 --> 24:14.400]  Oh, God.
[24:14.400 --> 24:18.940]  I want everyone at home to know, Andrew dropped from our call and immediately rejoined.
[24:19.100 --> 24:21.180]  We asked him to talk, and he has said nothing.
[24:21.460 --> 24:23.220]  So that means something broke.
[24:24.680 --> 24:25.720]  Oh, my God.
[24:25.920 --> 24:26.500]  Oh, no.
[24:26.760 --> 24:27.660]  Oh, God.
[24:28.300 --> 24:30.100]  This is how seasons change.
[24:31.420 --> 24:33.400]  Is this the end of the summer of 98?
[24:33.860 --> 24:34.060]  What?
[24:34.160 --> 24:35.000]  Yeah, definitely.
[24:37.500 --> 24:38.720]  I can't understand.
[24:39.600 --> 24:42.280]  This is the moment the summer of 98 ends.
[24:42.500 --> 24:44.380]  As of this moment, it's fall, y'all.
[24:45.080 --> 24:46.820]  It was such a good season.
[24:46.960 --> 24:48.900]  It was a great season, but we can't...
[24:48.900 --> 24:49.280]  Season, not yet.
[24:49.400 --> 24:49.760]  It was tremendous.
[24:50.140 --> 24:50.720]  It was one of my favorites.
[24:51.120 --> 24:56.260]  TPG asked me today, he just went, bro, when does the summer of 98 movie thing come out?
[24:56.480 --> 24:57.660]  And I went, what?
[24:58.360 --> 25:02.160]  And he said, yeah, recorded a thing for like the summer of 98, like, movie thing.
[25:02.200 --> 25:02.920]  When does that come out?
[25:02.980 --> 25:04.620]  And I went, like, a month ago?
[25:04.840 --> 25:05.580]  And he went, what?
[25:05.680 --> 25:05.940]  No.
[25:06.480 --> 25:07.180]  No, it didn't.
[25:07.980 --> 25:09.900]  What do you mean, no, it didn't?
[25:10.420 --> 25:13.620]  He couldn't believe that we included his whole thing at, like, the end.
[25:13.620 --> 25:15.480]  He was so excited about that.
[25:16.340 --> 25:16.880]  That's awesome.
[25:16.960 --> 25:17.940]  He's in town right now, right?
[25:18.060 --> 25:18.680]  Yeah, I talked to him.
[25:18.680 --> 25:19.560]  Yeah, I talked to him.
[25:19.600 --> 25:20.020]  I saw him today.
[25:20.140 --> 25:22.980]  I was going to try to swing by and see him in person, but I wasn't able to.
[25:22.980 --> 25:23.720]  I'm seeing him tonight.
[25:24.200 --> 25:26.480]  He told me to watch The Pope's Exorcist.
[25:28.800 --> 25:30.680]  That sounds like a very TPG thing to say.
[25:31.000 --> 25:32.960]  That was his Fuego recommendation.
[25:34.160 --> 25:34.480]  Fuego!
[25:40.160 --> 25:40.480]  Fuego!
[25:47.360 --> 25:48.340]  Oh, man.
[25:48.940 --> 25:50.180]  Hey, I got a...
[25:50.180 --> 25:50.440]  Oh, wait.
[25:50.560 --> 25:50.960]  Is that Andrew?
[25:51.380 --> 25:52.340]  No, that was him leaving.
[25:52.780 --> 25:54.980]  I have a little mini life hack for you guys.
[25:56.160 --> 25:56.480]  Yes.
[25:56.960 --> 25:58.680]  If you're ever bored...
[25:59.260 --> 26:02.820]  You know how sometimes you go stay in a hotel, like a really nice hotel, and you just get
[26:02.820 --> 26:04.260]  a really good night's sleep.
[26:05.300 --> 26:06.460]  It's a nice bed.
[26:06.640 --> 26:07.780]  It's a different bed or whatever.
[26:09.280 --> 26:13.500]  There's just something about being in a calm, new room in an unfamiliar bed, and you go
[26:13.500 --> 26:16.500]  to sleep, and you just wake up and you're like, I slept like a fucking rock in this
[26:16.500 --> 26:16.980]  hotel room.
[26:17.240 --> 26:19.880]  At least that happens to me a lot when I stay in hotel rooms.
[26:21.340 --> 26:26.360]  I figured out the other night, Emily and I, we were tickling each other in bed or something.
[26:26.460 --> 26:28.420]  Not sex, but just fucking annoying each other.
[26:28.460 --> 26:28.500]  What the fuck?
[26:29.560 --> 26:30.500]  Just fucking around.
[26:30.500 --> 26:34.060]  And I ended up on her side of the bed, and she on my side of the bed, and I was like,
[26:34.220 --> 26:35.260]  let's just sleep like this.
[26:35.320 --> 26:37.580]  And I'd never slept on her side of the bed before.
[26:38.360 --> 26:40.060]  I had the best fucking night of sleep.
[26:40.480 --> 26:45.220]  So my life hack is, if you ever get a little bored sleeping in your bedroom, sleep on
[26:45.220 --> 26:46.040]  the other side of the bed.
[26:46.180 --> 26:46.760]  Switch places.
[26:46.880 --> 26:47.760]  You might be surprised.
[26:47.980 --> 26:48.480]  It's fun.
[26:49.140 --> 26:50.440]  And you're not worried that you'll fall out?
[26:50.920 --> 26:51.860]  Fall out of bed?
[26:52.460 --> 26:56.020]  Yeah, because the drop is on a different side.
[26:56.400 --> 26:58.720]  Oh, like I'll think it's safe to roll in my sleep?
[26:58.720 --> 26:58.900]  Yeah.
[26:58.900 --> 27:00.920]  No, dude, I sleep like a vampire.
[27:01.360 --> 27:02.720]  I sleep like Dracula.
[27:03.300 --> 27:07.560]  Like, straight like a pencil, and with my arms folded at my chest.
[27:07.780 --> 27:12.140]  Like, exactly like Bela Lugosi rising from a crypt is how I sleep.
[27:12.280 --> 27:13.800]  And so I don't move at all.
[27:14.000 --> 27:19.180]  I had this conversation with my wife a month or two ago, and we both thought that
[27:19.180 --> 27:21.680]  it was insane to sleep on the other person's side of the bed.
[27:22.100 --> 27:25.460]  I would have never done it if I hadn't found myself on that and just was like
[27:25.460 --> 27:26.980]  feeling adventurous and was like, you know what, fuck it.
[27:27.440 --> 27:28.100]  Let's see what happens.
[27:28.100 --> 27:30.200]  I had a great night's sleep, and it was a lot of fun.
[27:30.300 --> 27:31.180]  And Emily did?
[27:31.820 --> 27:33.600]  Uh, I don't know. I didn't really ask her.
[27:35.960 --> 27:37.980]  No, she slept fine, too. We talked about it the next day.
[27:38.220 --> 27:40.020]  How did Emily sleep? I don't know. I don't give a fuck.
[27:40.280 --> 27:41.660]  Why would I give a shit about that?
[27:42.640 --> 27:45.080]  No, she also agreed that it was a good night's sleep.
[27:45.600 --> 27:48.320]  It wasn't as good a night's sleep for her because she sleeps on...
[27:48.320 --> 27:51.560]  She has like a fan on her... I explained her complicated sleep ritual.
[27:52.000 --> 27:54.220]  Oh, yeah, you'd be like all in her equipment.
[27:54.220 --> 27:59.880]  I was in between her and her equipment, which I think ultimately probably wasn't the best for her.
[28:00.220 --> 28:04.120]  But man, I see why she does it. I was fucking sleeping like a rock.
[28:04.660 --> 28:10.460]  After having spent some more time with your small wife, Eric, I can imagine her not being cool with switching sides.
[28:10.600 --> 28:15.820]  Yeah, she's just, you know, she's particular. She's specific.
[28:18.220 --> 28:20.780]  Sometimes you gotta throw caution to the wind and say fuck it.
[28:20.780 --> 28:23.300]  Okay, yeah, we're in different relationships.
[28:23.400 --> 28:28.160]  Fair enough. So a bad life hack, Eric?
[28:29.060 --> 28:34.320]  Yeah, I don't know. You also started this off by going, you know how you sleep so well in hotels?
[28:34.620 --> 28:35.860]  Oh, I sleep like dog shit.
[28:36.020 --> 28:37.520]  Yeah, I just kept thinking, no.
[28:38.060 --> 28:41.760]  Every once in a while when I go to a hotel, if I'm just there for a night or something,
[28:41.860 --> 28:47.780]  it's a decent, nice hotel with a big king-size bed and this room is super cold and it's pitch black
[28:47.780 --> 28:52.780]  because they have blackout curtains and you throw, like, CNN on quietly in the background or something.
[28:52.980 --> 28:58.520]  I just fucking go to... I sleep deep, like core-of-the-earth sleep.
[28:59.740 --> 29:03.140]  Like, I'm rolling around with slee-stacks in my sleep. I'm so fucking...
[29:03.140 --> 29:06.600]  Okay, but, like, you... do you...
[29:06.600 --> 29:08.260]  Gracie loves a hotel sleep, see?
[29:08.800 --> 29:16.340]  Great. What... what was your... but, like, you slept in, like, the army and stuff where it was, like...
[29:16.340 --> 29:19.760]  You know, you had to, like, really make something work, right?
[29:20.060 --> 29:24.160]  Oh, yeah. Do you want to hear the worst night of sleep in my life?
[29:24.500 --> 29:24.900]  Yes.
[29:25.380 --> 29:32.480]  I was... when I was in the army in 1994, I had...
[29:32.480 --> 29:35.320]  It was a bad year for me. I was deployed... maybe it was 95.
[29:35.480 --> 29:40.760]  I was deployed about eight months out of that year to Kuwait and to all different places.
[29:41.240 --> 29:47.400]  And so I had been gone almost the whole year, and I came home, and I was about to go...
[29:47.400 --> 29:50.520]  I came back home to Fort Hood, where I was stationed, and I went into work on a Monday.
[29:50.880 --> 29:54.160]  I had literally gotten home from Kuwait on Thursday, I think.
[29:54.860 --> 29:59.480]  And I had the weekend, and I got home Monday morning, and I was in a fucking great mood,
[29:59.620 --> 30:03.100]  because Wednesday I was going to go home to Alabama to see my family for Christmas.
[30:03.820 --> 30:07.300]  And so I just had, like, easy two days of work, and then I was, you know, on vacation.
[30:07.680 --> 30:12.460]  And I got into the office Monday morning, and my boss was there, and he goes...
[30:12.460 --> 30:14.120]  It was a really nice guy. I really liked him. He goes,
[30:14.180 --> 30:15.400]  Geoff, come here, son. And I go,
[30:15.720 --> 30:18.140]  Any time your boss calls you son, you know you're in for it.
[30:18.720 --> 30:20.060]  And I was like, in my head, I was like, what?
[30:20.240 --> 30:23.680]  I did a lot of dumb shit recently. What am I about to get in trouble for?
[30:24.380 --> 30:26.320]  And he goes, son, have a seat, okay?
[30:26.740 --> 30:28.300]  And he goes, I'm about to fuck you.
[30:28.600 --> 30:30.780]  And I was like, okay.
[30:30.900 --> 30:31.560]  So you undid your belt.
[30:32.520 --> 30:35.120]  Yeah, and I don't know if this is literal or what. I'm new to the army.
[30:35.460 --> 30:39.920]  And he goes, I really hate to do this to you, but you're getting deployed.
[30:40.160 --> 30:42.180]  And I laughed. I was like, no, I can't be getting deployed.
[30:42.240 --> 30:43.480]  I'm going home in two days. I'm on vacation.
[30:43.620 --> 30:45.000]  He goes, yeah, I had to rescind your leave.
[30:45.320 --> 30:46.000]  I'm really sorry.
[30:46.880 --> 30:51.120]  I need you to go on this important deployment.
[30:51.260 --> 30:55.660]  And I go, well, I have to call my mom and tell her I'm not coming home for Christmas.
[30:56.220 --> 31:00.320]  And he's like, yeah, you can do that, but you can't tell her where you're going.
[31:00.400 --> 31:02.180]  It's a secret mission, and you're not allowed to mention it.
[31:02.300 --> 31:04.020]  And so I was really pissed about that.
[31:04.020 --> 31:05.460]  And we were going to Panama.
[31:05.900 --> 31:07.560]  By the way, I'm telling this story to Vample.
[31:07.680 --> 31:09.240]  Andrew fixes his textbook.
[31:09.280 --> 31:10.320]  Am I fixed?
[31:10.960 --> 31:12.900]  So I can end the story.
[31:13.080 --> 31:14.500]  I'm not trying to take up the whole fucking episode.
[31:14.580 --> 31:15.720]  I was just trying to cover some time.
[31:16.260 --> 31:18.400]  But anyway, he goes, I gotta send you to Panama.
[31:18.600 --> 31:22.660]  What happened was a bunch of Haitian refugees left Haiti.
[31:22.660 --> 31:23.900]  And they ended up in Panama.
[31:24.200 --> 31:25.780]  And they didn't know what to do with them.
[31:25.840 --> 31:26.800]  So they built these...
[31:27.440 --> 31:29.020]  Honestly, like internment camps.
[31:29.020 --> 31:30.760]  It was kind of sketchy and scary.
[31:31.140 --> 31:33.680]  Just to kind of house them all and feed them and take care of them.
[31:33.740 --> 31:35.600]  While they figured out, do they have to go back to Haiti?
[31:35.880 --> 31:37.360]  Or do they assimilate into Panama?
[31:37.500 --> 31:37.800]  Or whatever.
[31:39.600 --> 31:41.760]  And so I had to call my mom in front of him.
[31:41.940 --> 31:43.780]  And tell her that I was going...
[31:43.780 --> 31:45.760]  Which is not a fun call you want to have with your mom.
[31:45.780 --> 31:47.600]  Two days before you're supposed to see her for Christmas.
[31:47.600 --> 31:48.960]  When you're 19 years old.
[31:49.020 --> 31:50.020]  And you've barely left home.
[31:50.560 --> 31:52.820]  And say, I have to go out of the country.
[31:52.880 --> 31:53.860]  I'm not coming home for Christmas.
[31:54.120 --> 31:55.960]  And I'm not allowed to say where I'm going.
[31:56.120 --> 31:57.320]  And my mom just starts crying.
[31:57.320 --> 31:59.020]  And she's like, oh Geoffrey, oh no.
[31:59.180 --> 32:00.800]  And I go, yeah, my boss...
[32:00.800 --> 32:02.720]  He won't let me say where I'm going.
[32:02.880 --> 32:04.920]  But he didn't say I can't rhyme it.
[32:05.760 --> 32:07.080]  It rhymes with Manama.
[32:07.340 --> 32:09.080]  I'm going to a place that rhymes with Manama.
[32:09.940 --> 32:11.440]  And he just fucking...
[32:11.440 --> 32:13.840]  His fucking steam came out of his ears.
[32:14.180 --> 32:15.360]  This was right in front of him?
[32:15.640 --> 32:16.600]  Yeah, it was right in front of him.
[32:17.800 --> 32:18.520]  You idiot.
[32:19.200 --> 32:20.580]  I don't give a fuck, dude. I was mad.
[32:21.700 --> 32:24.020]  And anyway, he just let it go.
[32:24.140 --> 32:25.540]  I saw him settle himself.
[32:25.540 --> 32:26.980]  He did the...
[32:27.700 --> 32:29.280]  Stuff it down, stuff it down.
[32:29.620 --> 32:30.860]  And then he goes, okay.
[32:31.180 --> 32:32.120]  And so I get off the phone with my mom.
[32:32.160 --> 32:33.040]  And I go, where am I going?
[32:33.300 --> 32:35.620]  And he goes, that's the other thing.
[32:35.860 --> 32:38.120]  You need to go pack. You're leaving in like four hours.
[32:38.900 --> 32:40.460]  So I immediately went home.
[32:40.540 --> 32:41.800]  And luckily I had done laundry.
[32:41.940 --> 32:44.120]  Because all my laundry was fucking full of sand from Kuwait.
[32:44.440 --> 32:45.920]  And so I had just done laundry over the weekend.
[32:46.300 --> 32:48.120]  And so I packed up and I went to Panama.
[32:48.660 --> 32:49.400]  Then I get to Panama.
[32:49.520 --> 32:51.280]  I don't really know what's going to happen when I get there.
[32:51.280 --> 32:53.940]  We're staying on the fucking Panama Canal.
[32:54.180 --> 32:56.960]  Like, I'm looking at the Panama Canal from my tent.
[32:57.460 --> 32:58.400]  And, uh...
[32:58.400 --> 32:59.580]  Worst night of sleep of my life.
[33:00.020 --> 33:03.840]  It's not like 140% humidity in Panama somehow.
[33:04.320 --> 33:04.980]  All year round.
[33:05.060 --> 33:07.100]  Like, it's like walking through a shower at all times.
[33:07.460 --> 33:12.040]  And the bugs on the Panama Canal are the size of Eric's dog.
[33:13.420 --> 33:14.380]  And, uh...
[33:14.380 --> 33:16.820]  Also, by the way, we got there and all of our food spoiled.
[33:17.020 --> 33:19.780]  And so the army didn't have food for fucking three days.
[33:20.120 --> 33:20.720]  Like, I didn't get to eat.
[33:20.840 --> 33:21.260]  We fucked up.
[33:23.100 --> 33:24.340]  But that's a different story.
[33:24.600 --> 33:26.240]  So anyway, we set up these tents.
[33:26.680 --> 33:27.860]  These big open air tents.
[33:27.980 --> 33:29.760]  Right on the Panama Canal.
[33:30.340 --> 33:31.800]  Which I'm like, are there alligators?
[33:31.960 --> 33:33.040]  Are they going to come eat me in my sleep?
[33:33.100 --> 33:34.440]  Because I can fucking see the water from here.
[33:34.500 --> 33:35.380]  This doesn't seem safe.
[33:35.820 --> 33:38.780]  But we set up these mosquito nets.
[33:39.380 --> 33:40.700]  Because there were fucking bugs everywhere.
[33:40.860 --> 33:41.680]  And then I went to sleep.
[33:42.080 --> 33:45.060]  And as soon as it gets dark and everybody goes to sleep...
[33:45.060 --> 33:46.680]  The monkeys come out.
[33:47.040 --> 33:49.420]  And the monkeys start screaming.
[33:50.100 --> 33:51.060]  And yelling.
[33:51.420 --> 33:52.140]  And fighting.
[33:52.400 --> 33:53.620]  And attacking each other.
[33:53.980 --> 33:56.880]  And destroying all of our stuff.
[33:57.680 --> 33:58.820]  And you could hear it.
[33:58.880 --> 34:00.140]  The monkeys are like...
[34:00.140 --> 34:02.860]  It's terrifying to hear a monkey in pitch black.
[34:03.100 --> 34:04.740]  And it's even worse to hear like...
[34:04.740 --> 34:05.860]  I don't know, maybe 50 of them.
[34:06.360 --> 34:07.220]  Is what it sounds like.
[34:07.660 --> 34:12.980]  And so I had to sleep through bugs biting me every second.
[34:13.480 --> 34:15.900]  And monkeys screaming in my ear all night long.
[34:16.180 --> 34:18.040]  Praying that a monkey doesn't come and eat me.
[34:18.920 --> 34:21.080]  And that was like the longest night of my life.
[34:21.200 --> 34:22.540]  And when I got up in the morning...
[34:22.540 --> 34:25.820]  I was covered in bug bites from head to toe.
