[00:07.530 --> 00:08.250]  We're live!
[15:31.820 --> 15:32.880]  Yeah, they didn't know each other.
[15:32.880 --> 15:34.080]  No, no, not at all.
[15:34.140 --> 15:35.800]  A lot of these dudes weren't friends or enemies.
[15:35.980 --> 15:36.140]  Yeah.
[15:36.240 --> 15:37.440]  Do girls have favorite dinosaurs?
[15:38.560 --> 15:40.880]  I usually, I would say that my main one
[15:40.880 --> 15:42.180]  would be the Triceratops.
[15:42.200 --> 15:44.600]  It's pretty tight, but I love a good, like, long neck.
[15:44.660 --> 15:45.140]  Now, okay.
[15:45.140 --> 15:46.200]  So, yeah.
[15:46.420 --> 15:49.340]  So the answer for her is she likes Land Before Time.
[15:49.340 --> 15:49.480]  Yeah.
[15:49.860 --> 15:50.700]  Yeah, yeah, yeah, yeah.
[15:50.700 --> 15:52.760]  Pretty much anybody in Land Before Time.
[15:52.860 --> 15:52.940]  Yeah.
[15:53.140 --> 15:54.260]  The correct answer is Stegosaurus.
[15:54.680 --> 15:56.420]  Stegosaurus is the best dinosaur.
[15:56.640 --> 15:58.960]  He was so cute in Land Before Time, though.
[15:59.420 --> 15:59.720]  Let's see.
[16:00.460 --> 16:01.820]  Let's see what's up with Marilyn Monroe.
[16:01.920 --> 16:02.460]  What's she up to?
[16:03.380 --> 16:04.980]  She is in a bathing suit.
[16:05.080 --> 16:05.280]  Yeah.
[16:05.440 --> 16:05.860]  At the beach.
[16:05.880 --> 16:06.500]  That looks like gold.
[16:06.780 --> 16:07.560]  That looks like a painting.
[16:07.560 --> 16:08.500]  That looks like a painting in the background.
[16:08.600 --> 16:10.300]  Oh, no, that's, I bet that's Acapulco.
[16:10.960 --> 16:12.960]  Here she is at the pyramids.
[16:13.720 --> 16:17.080]  Oh, here's a great picture of her at the Eiffel Tower.
[16:18.000 --> 16:18.860]  She's smiling.
[16:19.120 --> 16:19.760]  She's probably at a restaurant.
[16:19.980 --> 16:20.500]  Aw, cutie.
[16:20.700 --> 16:21.640]  Oh, goodness.
[16:22.220 --> 16:22.940]  She forgot her shirt.
[16:23.140 --> 16:23.640]  Uh-oh!
[16:25.400 --> 16:27.960]  Can we show that on roosterteeth.com, roosterteeth.com app?
[16:28.240 --> 16:29.800]  Here she is at a windmill.
[16:30.040 --> 16:32.060]  That looks like Amsterdam, huh?
[16:32.460 --> 16:33.240]  Yeah, that does.
[16:33.300 --> 16:34.620]  That's probably Amsterdam or Holland.
[16:34.740 --> 16:36.220]  Here she is with a pair of soles.
[16:36.300 --> 16:37.000]  Oh, cutie.
[16:37.240 --> 16:39.100]  Oh, here's business Monroe.
[16:39.500 --> 16:39.600]  Busy business woman.
[16:39.600 --> 16:40.700]  She's at the steps of a courthouse.
[16:40.820 --> 16:41.440]  She's probably just...
[16:41.440 --> 16:42.180]  Yeah, she's doing law.
[16:42.180 --> 16:43.980]  Oh, and then we got this.
[16:45.120 --> 16:47.180]  Sort of a silver prism.
[16:47.540 --> 16:47.640]  Ooh.
[16:47.940 --> 16:48.400]  That's cool.
[16:48.600 --> 16:52.000]  Marilyn Monroe, silver wave prism, auto on card.
[16:52.140 --> 16:53.000]  What is it on the back?
[16:53.060 --> 16:54.880]  She's doing the, get my, my darlin'.
[16:55.520 --> 16:56.800]  Follow my rock time gal.
[16:57.120 --> 16:58.860]  She's being Michigan J. Frog.
[16:59.160 --> 17:00.180]  Yeah, she's Michigan J. Frog.
[17:01.200 --> 17:02.760]  Okay, we'll put these away.
[17:02.860 --> 17:04.520]  Then we'll open up this box.
[17:05.500 --> 17:06.860]  This mail is very interesting
[17:06.860 --> 17:08.200]  and I wanted you to open it second.
[17:09.720 --> 17:10.920]  Hello, Geoff.
[17:10.920 --> 17:12.460]  Thanks for everything you guys do.
[17:12.920 --> 17:14.680]  Thank you for watching and listening.
[17:15.020 --> 17:17.120]  I've been a fan since the early days of A.H.
[17:17.380 --> 17:18.320]  That one's dead.
[17:18.780 --> 17:21.640]  But only recently discovered Face.
[17:21.920 --> 17:22.020]  Great.
[17:22.120 --> 17:23.900]  And haven't been able to stop listening since.
[17:24.000 --> 17:24.620]  Thank you so much.
[17:24.780 --> 17:25.120]  This is great.
[17:25.500 --> 17:26.900]  This led me to The Break Show
[17:26.900 --> 17:28.760]  and sparked an interest in collecting and opening cards.
[17:28.880 --> 17:29.800]  After all you've given to us,
[17:29.840 --> 17:31.260]  I figured I would give something for you to return.
[17:31.340 --> 17:32.980]  Here are a few Marcus Smart cards I collected.
[17:33.340 --> 17:35.220]  Hope you don't find any of these in your collection already.
[17:35.460 --> 17:36.720]  Regulation listener, Brandon.
[17:37.300 --> 17:38.100]  Oh, Brandon.
[17:38.560 --> 17:39.160]  Check it out.
[17:39.760 --> 17:40.340]  Marcus Smart.
[17:40.340 --> 17:42.160]  There's a reason I wanted you to check these out.
[17:48.750 --> 17:49.830]  You got it.
[17:49.830 --> 17:50.370]  You're in there, bud.
[17:50.550 --> 17:50.970]  You're in there.
[17:51.170 --> 17:51.610]  Are you shaking?
[17:52.070 --> 17:52.690]  Falling apart.
[17:52.890 --> 17:53.110]  Whoa.
[17:53.670 --> 17:54.250]  Oh, dang.
[17:54.250 --> 17:54.930]  Oh, shit.
[17:55.250 --> 17:56.190]  Yeah, I don't have this.
[17:56.210 --> 17:57.670]  So this is PSA graded.
[17:57.790 --> 17:58.150]  Wow.
[17:58.450 --> 18:00.990]  This is a PSA 9, 2022 Crown Royal.
[18:01.450 --> 18:02.170]  Crystal Gold.
[18:02.270 --> 18:03.170]  This is numbered to 10.
[18:03.210 --> 18:03.970]  Yep, you wanna set it down flat
[18:03.970 --> 18:04.870]  so the camera can see it.
[18:04.890 --> 18:05.710]  This is number four of 10.
[18:06.590 --> 18:06.710]  Yeah.
[18:06.790 --> 18:08.510]  Holy shit, that's a huge hit.
[18:08.670 --> 18:08.770]  Yeah.
[18:09.450 --> 18:10.170]  These are...
[18:10.170 --> 18:11.130]  So Brandon...
[18:11.130 --> 18:12.630]  I don't know Brandon's collection,
[18:12.790 --> 18:14.510]  but it's pretty fucking wild.
[18:14.530 --> 18:15.870]  Oh my God.
[18:17.090 --> 18:18.990]  We gotta send Brandon a care package.
[18:19.070 --> 18:20.790]  A very expensive care package.
[18:20.910 --> 18:21.570]  Brandon sent me...
[18:21.570 --> 18:24.010]  This is a Macula Marcus Smart.
[18:24.830 --> 18:26.610]  One of three auto.
[18:27.170 --> 18:28.230]  It's a patch auto.
[18:28.490 --> 18:28.710]  Wow.
[18:29.010 --> 18:31.290]  So that...
[18:32.790 --> 18:34.310]  Oh my God.
[18:34.370 --> 18:35.190]  Don't know what to say about that.
[18:35.190 --> 18:37.710]  That is instantly one of the best Marcus Smart cards I have.
[18:37.710 --> 18:39.230]  But I've got some more ones.
[18:40.390 --> 18:42.610]  Do you think it's the S on the Celtics?
[18:43.250 --> 18:44.370]  Because it goes back up?
[18:44.890 --> 18:45.670]  Might be.
[18:47.290 --> 18:48.670]  I think it's the C,
[18:48.790 --> 18:49.730]  but it's upside down and backwards.
[18:49.970 --> 18:50.470]  You think so?
[18:50.690 --> 18:51.830]  This is 2022, 2023,
[18:52.130 --> 18:53.210]  so this is last year's Immaculate.
[18:53.250 --> 18:54.130]  Yeah, they put it in backwards.
[18:54.390 --> 18:55.110]  I mean...
[18:55.110 --> 18:55.910]  Yeah, it's all messed up.
[18:57.390 --> 18:58.190]  That's insane.
[18:58.690 --> 18:59.430]  Oh my gosh.
[18:59.450 --> 19:00.050]  I'm a little overwhelmed.
[19:00.290 --> 19:01.730]  Yeah, I thought that might happen.
[19:02.010 --> 19:02.450]  Oh, fuck.
[19:02.470 --> 19:03.270]  So check this out.
[19:03.410 --> 19:04.310]  All right, well...
[19:04.310 --> 19:05.730]  Oh my God!
[19:07.950 --> 19:08.750]  Brandon's crazy.
[19:08.750 --> 19:11.830]  Brandon's going to make me cry on the TV.
[19:13.830 --> 19:17.370]  This is Panini Lux.
[19:17.490 --> 19:23.270]  This is a patch rookie card numbered to 25.
[19:24.150 --> 19:28.150]  This is instantly among the rarest rookie cards I have.
[19:28.370 --> 19:29.150]  And I have a lot.
[19:29.350 --> 19:29.950]  I have thousands.
[19:31.030 --> 19:32.570]  Not thousands of rookie cards, I have hundreds,
[19:32.730 --> 19:33.350]  but I have thousands of them.
[19:34.350 --> 19:34.830]  Dang.
[19:35.450 --> 19:35.850]  Thank you.
[19:35.850 --> 19:35.870]  Wow.
[19:37.410 --> 19:38.170]  Get Brandon.
[19:39.570 --> 19:40.330]  Brandon's really...
[19:40.730 --> 19:42.610]  Let's see what the fucking...
[19:43.410 --> 19:43.970]  Oh, no.
[19:44.170 --> 19:45.510]  Oh my God.
[19:45.830 --> 19:46.770]  Then another...
[19:46.770 --> 19:50.870]  So this is a two-patch RPA.
[19:51.470 --> 19:52.390]  Oh my gosh.
[19:52.410 --> 19:53.770]  So this is...
[19:54.950 --> 19:56.070]  This is a rookie...
[19:56.070 --> 19:56.550]  What is it?
[19:56.550 --> 19:57.510]  Rookie Rampage, I think.
[19:57.970 --> 19:59.330]  Yeah, it's Panini Excalibur.
[19:59.530 --> 20:00.810]  It's one of their higher...
[20:00.810 --> 20:01.550]  I don't know if they still make them,
[20:01.610 --> 20:03.890]  but it was one of their higher-end Panini sets
[20:03.890 --> 20:06.090]  in that era, 2015, 2016.
[20:06.930 --> 20:09.070]  As you can see here, we have...
[20:09.070 --> 20:11.210]  It's numbered 194 of 349.
[20:11.310 --> 20:11.970]  This is a rookie.
[20:12.770 --> 20:13.950]  This is a sticker auto.
[20:14.450 --> 20:16.810]  And then the patch here, we have a part of his jersey,
[20:16.930 --> 20:19.310]  clearly, and then we have a part of a basketball.
[20:19.410 --> 20:19.710]  Yes.
[20:19.810 --> 20:20.130]  Wow.
[20:20.330 --> 20:21.870]  An absolute part of a...
[20:21.870 --> 20:22.030]  Yep.
[20:22.270 --> 20:22.670]  Congratulations.
[20:23.230 --> 20:23.410]  Yep.
[20:23.810 --> 20:24.870]  That's a really nice gift.
[20:26.370 --> 20:27.170]  Thank you, Brandon.
[20:27.670 --> 20:28.070]  Thanks.
[20:28.610 --> 20:30.970]  Like, maybe one of the nicer things
[20:30.970 --> 20:32.990]  a person I've, to my knowledge, never met
[20:32.990 --> 20:33.650]  has ever done for me.
[20:33.650 --> 20:35.950]  Brandon, if you can just contact me
[20:35.950 --> 20:38.150]  on Twitter or Instagram or something,
[20:38.330 --> 20:39.270]  we'll figure it out.
[20:39.310 --> 20:40.870]  I would love to repay you in some way.
[20:40.890 --> 20:41.250]  Yeah.
[20:42.130 --> 20:44.150]  Those cards are...
[20:44.150 --> 20:46.050]  I opened that right before we got here,
[20:46.170 --> 20:48.390]  and I just went, I don't know anything about these,
[20:48.430 --> 20:49.810]  and I went, oh, fuck.
[20:51.210 --> 20:54.690]  The PSA-graded nine was the one you started with.
[20:54.790 --> 20:55.770]  That's a nice card, man.
[20:55.890 --> 20:57.430]  And they got crazier.
[20:58.370 --> 21:00.210]  Yeah, I was afraid, by going from the back,
[21:00.310 --> 21:01.250]  because I thought it was...
[21:01.250 --> 21:02.670]  I could feel that that one was graded.
[21:02.670 --> 21:05.430]  I thought maybe I was going the wrong way with it.
[21:05.470 --> 21:05.970]  But I wasn't.
[21:06.090 --> 21:06.870]  They were all phenomenal.
[21:06.970 --> 21:07.810]  Each one was better than the last.
[21:08.710 --> 21:09.070]  Wow.
[21:11.910 --> 21:12.630]  I'm really...
[21:12.630 --> 21:13.450]  Thank you.
[21:14.770 --> 21:15.450]  You're gonna cry.
[21:16.030 --> 21:16.810]  A little fucking loss for words here.
[21:16.950 --> 21:18.690]  Yeah, I wasn't expecting that.
[21:19.130 --> 21:19.790]  It's pretty incredible.
[21:20.730 --> 21:21.410]  And, Brandon, you are...
[21:21.410 --> 21:22.710]  There's nothing regulation about you, man.
[21:22.970 --> 21:23.270]  Thank you.
[21:23.390 --> 21:23.630]  Yep.
[21:23.970 --> 21:24.830]  I mean, that's really something.
[21:25.510 --> 21:25.870]  Wow.
[21:26.310 --> 21:28.070]  I'm gonna put the army man on top to guard him.
[21:29.170 --> 21:30.450]  Those are going home immediately
[21:30.450 --> 21:31.690]  and never coming back to this building.
[21:34.390 --> 21:34.750]  Ugh.
[21:35.490 --> 21:35.550]  Wow.
[21:35.690 --> 21:36.690]  Man, that's really crazy.
[21:37.230 --> 21:38.330]  Well, that was a great show, guys.
[21:39.270 --> 21:40.950]  So, this will be fucking done.
[21:41.090 --> 21:42.450]  Let's open some packs.
[21:42.570 --> 21:43.410]  You wanna get us some baseball?
[21:43.870 --> 21:44.710]  Let's do some baseball.
[21:44.910 --> 21:45.990]  Okay, now, I think we have to try
[21:45.990 --> 21:47.630]  to keep everything here separate.
[21:47.670 --> 21:48.510]  I'm gonna try that, yeah.
[21:48.590 --> 21:50.990]  Yeah, Emily, you might have to throw them in the...
[21:50.990 --> 21:51.950]  Doritos bag?
[21:53.690 --> 21:54.990]  The binder that you have.
[21:55.150 --> 21:55.470]  Okay.
[21:55.730 --> 21:55.930]  Yeah.
[21:56.290 --> 21:57.050]  That makes sense.
[21:57.250 --> 21:57.550]  Yeah.
[21:58.850 --> 21:59.210]  Let's...
[21:59.210 --> 22:00.970]  We keep these safe in this Doritos bag.
[22:00.970 --> 22:02.050]  So, the Chase...
[22:02.050 --> 22:02.630]  Cool ranch.
[22:02.710 --> 22:05.050]  The big cards you want out of this year's tops
[22:05.050 --> 22:06.590]  are obviously always gonna be rookies.
[22:06.710 --> 22:07.910]  Jason Dominguez.
[22:10.490 --> 22:11.770]  Dustin Henry, is that his name?
[22:13.110 --> 22:15.150]  And then, Ellie De La Cruz.
[22:15.610 --> 22:17.030]  Although, I thought he had a rookie card last year, too,
[22:17.070 --> 22:19.090]  but his rookie card's really sought after right now.
[22:19.910 --> 22:21.090]  So, those are what we're looking for.
[22:21.110 --> 22:22.350]  We're also looking for hometown heroes.
[22:22.790 --> 22:23.150]  That's...
[22:23.150 --> 22:24.090]  And a bunch of other different parallels.
[22:25.050 --> 22:26.690]  They have these things called goldbacks.
[22:27.410 --> 22:30.130]  They have photo variations, as always.
[22:30.130 --> 22:30.870]  Let's see what we got.
[22:30.970 --> 22:31.630]  John Gray.
[22:32.510 --> 22:33.930]  Daniel Palencia, rookie.
[22:35.570 --> 22:35.970]  Seawald.
[22:36.690 --> 22:37.490]  Jesus Lizardo.
[22:38.130 --> 22:38.930]  You think it's Jesus?
[22:39.130 --> 22:40.030]  You think that's how you pronounce it?
[22:40.150 --> 22:40.910]  Jesus Lizardo.
[22:42.330 --> 22:42.670]  George...
[22:42.670 --> 22:42.950]  Boo!
[22:44.350 --> 22:45.310]  Why don't you like him?
[22:45.810 --> 22:48.270]  He was one of the cheating Astros on the cheating Astros.
[22:48.530 --> 22:49.330]  Felix Bautista.
[22:49.870 --> 22:50.370]  Daley Ober.
[22:50.610 --> 22:51.330]  Sterling Marta.
[22:52.890 --> 22:53.470]  Don't matter.
[22:53.710 --> 22:53.930]  It's fine.
[22:54.010 --> 22:54.250]  Keep going.
[22:54.390 --> 22:55.110]  Keep rocking and rolling.
[22:55.670 --> 22:57.310]  This is J-Rod, American League leaders.
[22:57.490 --> 22:58.050]  Oh, that's cool.
[22:58.670 --> 22:59.850]  Adolos Garcia and Kyle Tucker.
[23:02.610 --> 23:02.930]  Angels.
[23:03.910 --> 23:04.230]  Boo!
[23:04.710 --> 23:05.610]  Adley, year two.
[23:07.050 --> 23:08.570]  The Angels are so bad, it's great.
[23:08.650 --> 23:09.470]  Andrew Monasterio.
[23:09.550 --> 23:10.550]  That looks like it could be...
[23:10.550 --> 23:11.130]  Yeah, it might be something.
[23:14.830 --> 23:15.210]  It's not.
[23:15.410 --> 23:16.470]  Look at the poor Angels.
[23:16.610 --> 23:18.170]  Where would it be on the card?
[23:18.210 --> 23:19.990]  Because I can go through and double check the back.
[23:19.990 --> 23:20.970]  Well, for the one of one,
[23:21.050 --> 23:22.190]  it would be like right here, I believe.
[23:22.370 --> 23:22.550]  Okay.
[23:22.830 --> 23:24.450]  But I was looking at the serial number
[23:24.450 --> 23:26.910]  to see if it was a photo variation, but it's not.
[23:27.350 --> 23:28.850]  If it ends in two, I believe it's not.
[23:31.230 --> 23:33.990]  Kiebert Ruiz, Alika Williams.
[23:34.050 --> 23:35.630]  I think it's Kieber Ruiz, but it's okay.
[23:35.890 --> 23:37.910]  I'm not trying to correct you.
[23:38.390 --> 23:39.090]  Kieber Ruiz, that's good.
[23:39.190 --> 23:40.370]  Kieber Ruiz is, yeah.
[23:40.430 --> 23:41.710]  I took most of last year off of these people.
[23:41.710 --> 23:42.710]  I totally understand.
[23:42.970 --> 23:44.250]  Jordan Westberg.
[23:45.510 --> 23:45.950]  Dirty.
[23:46.130 --> 23:46.830]  Eduardo Rodriguez.
[23:47.630 --> 23:48.150]  He's dirty.
[23:48.170 --> 23:48.890]  Mikael Garcia.
[23:48.970 --> 23:49.770]  He had stuff all over him.
[23:50.210 --> 23:52.790]  Tyler Soderstrom, Daniel Bard.
[23:52.890 --> 23:54.070]  I like the Rockies ones.
[23:54.230 --> 23:56.910]  Yeah, their city connects are like nice.
[23:57.390 --> 23:58.170]  Doesn't have anything to do with,
[23:58.170 --> 24:01.010]  I mean, it's a Colorado mountain, but...
[24:01.010 --> 24:03.590]  These are highly controversial, the new design.
[24:03.710 --> 24:05.070]  A lot of people fucking hate them.
[24:05.150 --> 24:05.590]  Okay, let's see.
[24:06.150 --> 24:07.070]  This, I mean, this is,
[24:08.050 --> 24:10.010]  it's a departure from what they've looked like
[24:10.010 --> 24:10.770]  for the last couple of years.
[24:11.090 --> 24:13.770]  Former Padre, now New York Yankee.
[24:14.150 --> 24:16.190]  Trent Grisham in our city connects, too.
[24:17.050 --> 24:20.930]  Here we have a Jose Fermin rookie,
[24:21.590 --> 24:23.930]  like a orange or brown parallel.
[24:24.150 --> 24:25.270]  Oh yeah, it's numbered to...
[24:25.270 --> 24:27.450]  So every year, this is another cool thing that Topps does.
[24:27.450 --> 24:29.830]  They have this color parallel, right?
[24:30.490 --> 24:33.530]  And then they print as many as the year.
[24:33.650 --> 24:35.870]  So this year, this is 1280 out of 2024.
[24:36.170 --> 24:37.950]  So next year, this parallel will be out of 2025.
[24:38.770 --> 24:40.730]  So if you could go ahead and just leave that.
[24:41.290 --> 24:43.690]  We got a backwards card, which means it's a...
[24:43.690 --> 24:44.350]  Oh shit!
[24:44.690 --> 24:45.030]  What'd you get?
[24:45.110 --> 24:45.730]  Hell yeah!
[24:45.870 --> 24:46.370]  Andrew Vaughn.
[24:46.510 --> 24:47.410]  Fuck yeah, dude!
[24:47.510 --> 24:48.650]  I haven't seen one of these yet.
[24:49.370 --> 24:51.610]  It's Andrew Vaughn, but it's a team parallel.
[24:51.710 --> 24:53.110]  So you can see the white socks in the back there.
[24:53.270 --> 24:54.170]  That's really cool.
[24:54.390 --> 24:55.190]  I like that a lot.
[24:55.250 --> 24:56.330]  I was thinking for this year,
[24:56.330 --> 24:58.110]  I might try to get all the white socks
[24:58.110 --> 24:58.790]  and all the tigers.
[24:59.050 --> 24:59.550]  That's a cool idea.
[24:59.810 --> 25:00.670]  Team parallel cards.
[25:01.710 --> 25:02.310]  That's awesome.
[25:02.450 --> 25:04.090]  The gradient at the top of that is weird.
[25:04.150 --> 25:05.430]  But I mean, I guess that's how all the cards are.
[25:05.490 --> 25:07.590]  They have like that sort of gradient at the top.
[25:07.710 --> 25:08.230]  But it's interesting.
[25:08.430 --> 25:10.410]  Here's blue parallel for the Correa shower.
[25:10.790 --> 25:11.750]  Oh, that's a cool picture.
[25:11.950 --> 25:12.130]  There you go.
[25:12.970 --> 25:13.670]  Oh, cool.
[25:13.930 --> 25:14.790]  These are fun cards.
[25:14.870 --> 25:16.010]  I don't know how much they're worth.
[25:16.330 --> 25:17.510]  This one's probably worth a little bit.
[25:18.370 --> 25:19.450]  This is Derek Jeter.
[25:19.970 --> 25:20.510]  Oh wow.
[25:20.850 --> 25:22.390]  These are called...
[25:23.030 --> 25:24.050]  Fuck, I can't remember what they're called.
[25:24.150 --> 25:24.490]  Blueprint.
[25:24.790 --> 25:25.370]  Blueprints, yeah.
[25:26.010 --> 25:26.990]  I believe you're right there.
[25:27.550 --> 25:29.530]  I mean, I just guessed.
[25:30.050 --> 25:30.870]  Anyway, those are cool.
[25:31.170 --> 25:33.590]  And I think they're not case hits, but they're...
[25:33.590 --> 25:33.930]  His...
[25:33.930 --> 25:34.630]  You get like one a box.
[25:34.690 --> 25:36.710]  He's got a whole thing in MLB The Show this year
[25:36.710 --> 25:38.570]  where like you play through his career or whatever.
[25:38.790 --> 25:40.050]  And I don't like him enough to do that.
[25:40.150 --> 25:40.470]  Oh really?
[25:40.590 --> 25:41.470]  Yeah, but I'm still gonna play it.
[25:42.090 --> 25:42.770]  Billy Mays.
[25:43.110 --> 25:46.150]  This is the 89th anniversary.
[25:46.770 --> 25:47.970]  The stamp's cool in the top right.
[25:48.150 --> 25:48.630]  It's just neat.
[25:48.950 --> 25:50.190]  That's the 35th anniversary stamp.
[25:50.350 --> 25:50.550]  So there's...
[25:50.550 --> 25:50.650]  I like that.
[25:51.270 --> 25:52.450]  I think you can get the whole...
[25:52.450 --> 25:53.210]  There's a whole bunch of these.
[25:53.350 --> 25:54.070]  They're really nice.
[25:54.590 --> 25:56.190]  We got Shohei, stars of the MLB.
[25:56.390 --> 25:57.390]  These stars of the MLB,
[25:57.490 --> 26:00.190]  they have these parallels every year and they're dog shit.
[26:00.330 --> 26:01.710]  This year, they actually don't look too bad.
[26:01.790 --> 26:02.170]  No, it's okay.
[26:02.510 --> 26:03.350]  So we got that.
[26:03.430 --> 26:04.230]  Got Bobby Witt Jr.
[26:04.990 --> 26:05.870]  I'm gonna go ahead and slip you back those.
[26:06.510 --> 26:08.730]  Royce Lewis, Luke Bailey.
[26:09.630 --> 26:11.690]  You wanna put him right in the middle of that square.
[26:14.150 --> 26:18.470]  Astros, Jorge Mateo, Byron Buxton, J.D. Davis,
[26:18.810 --> 26:20.830]  Evan Carter, Rookie, and Michael Harris.
[26:22.130 --> 26:24.110]  So, we'll set these aside.
[26:24.230 --> 26:24.530]  Interesting.
[26:24.710 --> 26:25.990]  And say that those are the hangar cards.
[26:26.090 --> 26:27.490]  That's actually a pretty solid box.
[26:27.630 --> 26:29.530]  Do you hate the Dodgers more than the Astros?
[26:29.650 --> 26:31.110]  I hate the Dodgers more than anything.
[26:31.430 --> 26:32.130]  Oh, wow.
[26:32.950 --> 26:34.310]  I think that is, in my life,
[26:34.390 --> 26:36.010]  probably the number one most hated thing.
[26:36.330 --> 26:36.690]  The Dodgers?
[26:36.930 --> 26:36.950]  Yeah.
[26:37.450 --> 26:38.410]  I hate them so much.
[26:39.090 --> 26:40.570]  For a long time, the Raiders.
[26:40.990 --> 26:42.930]  Like, Dodger, you can eliminate...
[26:42.930 --> 26:44.830]  He's back and he's madder than ever.
[26:45.210 --> 26:45.650]  Who?
[26:46.030 --> 26:46.790]  I'm getting there.
[26:46.890 --> 26:49.510]  You can eliminate the Dodgers from existence,
[26:49.510 --> 26:50.470]  or Hitler.
[26:50.930 --> 26:52.530]  I mean, I think I would eliminate Hitler.
[26:52.790 --> 26:54.170]  Okay, you don't hate the Dodgers that much.
[26:54.310 --> 26:58.710]  I hate the Dodgers for baseball.
[26:59.530 --> 27:01.290]  Hitler, I think, is a different...
[27:01.290 --> 27:02.090]  Whole different animals.
[27:02.790 --> 27:03.950]  It's a whole different animal.
[27:04.370 --> 27:05.270]  That's great, though.
[27:05.350 --> 27:06.550]  Let us know in the chat.
[27:06.630 --> 27:08.870]  Would you eliminate the Los Angeles Dodgers
[27:08.870 --> 27:09.870]  or Adolf Hitler?
[27:10.650 --> 27:11.810]  Leave a comment below.
[27:12.030 --> 27:12.430]  It's a...
[27:12.430 --> 27:13.430]  Smash that subscribe button.
[27:13.850 --> 27:15.330]  Fuckfacepod.com slash first.
[27:17.150 --> 27:18.410]  Now we know that he doesn't,
[27:18.410 --> 27:20.070]  that there are things he hates more than the Dodgers.
[27:20.930 --> 27:23.790]  Nick Sinzel, Mike Yastrzemski, Owen White,
[27:23.930 --> 27:26.030]  Raphael Devers, Logan Webb,
[27:28.210 --> 27:29.410]  Johan Rojas.
[27:29.530 --> 27:29.910]  There you go.
[27:30.090 --> 27:32.110]  Jake Rogers, Taylor Rogers.
[27:32.430 --> 27:33.650]  The Rogers twins.
[27:33.850 --> 27:37.370]  No, Taylor Rogers is brothers with a different Rogers
[27:37.370 --> 27:38.170]  that plays baseball.
[27:38.330 --> 27:38.530]  Really?
[27:38.670 --> 27:38.810]  Yeah.
[27:39.130 --> 27:39.670]  That's crazy.
[27:39.910 --> 27:40.990]  Quinn Priester.
[27:42.030 --> 27:43.990]  What's the most common last name in baseball?
[27:44.290 --> 27:44.930]  Probably Rogers.
[27:45.330 --> 27:45.910]  Do you think...
[27:46.690 --> 27:48.830]  Do you think two priests have ever been in a fight
[27:48.830 --> 27:49.670]  about who's a better priest?
[27:49.770 --> 27:51.290]  Someone was like, I'm more priester than you are.
[27:51.330 --> 27:51.730]  I'm priester than you?
[27:52.370 --> 27:53.350]  Alex Bregman.
[27:53.830 --> 27:54.690]  Now you love your asterisk.
[27:55.690 --> 27:57.590]  Corbin Carroll stars in the MLB.
[27:58.010 --> 27:58.770]  We'll go ahead and sleeve that.
[27:59.190 --> 28:00.770]  And then Marco Luciano.
[28:00.890 --> 28:01.970]  So this is the blaster box.
[28:02.110 --> 28:02.490]  We're just gonna...
[28:02.490 --> 28:02.650]  Yeah.
[28:03.030 --> 28:03.550]  Blaster them.
[28:03.810 --> 28:05.170]  None of these were first print.
[28:05.550 --> 28:06.030]  Okay, thank you.
[28:06.030 --> 28:06.390]  I checked.
[28:06.590 --> 28:06.890]  Sad.
[28:07.410 --> 28:07.610]  Cry.
[28:08.490 --> 28:09.710]  Oh shit, here's another one.
[28:09.810 --> 28:10.030]  Great.
[28:11.870 --> 28:13.030]  Jordan Blazovec rookie.
[28:13.310 --> 28:15.030]  And this is the Easter egg parallel.
[28:15.030 --> 28:15.750]  Oh!
[28:15.810 --> 28:16.950]  On a rookie card.
[28:17.310 --> 28:17.630]  That looks like an acorn.
[28:17.650 --> 28:18.610]  That's what you were talking about.
[28:18.630 --> 28:19.730]  It does look like an acorn.
[28:19.810 --> 28:20.870]  Think it's an Easter egg.
[28:21.250 --> 28:21.670]  I think you're right.
[28:21.670 --> 28:22.670]  That's fucking cool.
[28:23.130 --> 28:23.830]  So that's neat.
[28:24.790 --> 28:29.970]  Royce Lewis, Astros, Luke Reilly, Jorge Mateo.
[28:30.250 --> 28:30.990]  Oh, he's flying!
[28:31.150 --> 28:31.610]  There he is.
[28:32.070 --> 28:32.330]  Ah!
[28:32.930 --> 28:33.610]  He's trying to...
[28:33.610 --> 28:34.170]  It looks like he's...
[28:34.170 --> 28:34.690]  Ah!
[28:34.690 --> 28:36.250]  It looks like he's hanging onto the Orioles.
[28:36.270 --> 28:38.690]  It looks like he's taking off like Superman.
[28:38.850 --> 28:39.590]  Or he's pushing it up.
[28:39.790 --> 28:39.890]  Here, go.
[28:41.570 --> 28:44.150]  JP Crawford, Luken Baker, Patrick.
[28:44.150 --> 28:45.290]  Plenty of wisdom.
[28:45.590 --> 28:47.010]  Paul Goldschmidt.
[28:47.630 --> 28:48.430]  Oh, here we go.
[28:48.530 --> 28:51.110]  There's an insert series of the King of Virginia's career.
[28:51.270 --> 28:52.070]  Salvation of the Kids.
[28:52.230 --> 28:54.930]  So here he is as a mariner.
[28:56.890 --> 28:58.890]  Emmett Sheehan, 89 throwback rookie.
[28:59.610 --> 29:01.370]  Mookie Betts, stars of the MLB.
