[00:10.570 --> 00:12.050]  B-U-S-T-I-N?
[13:27.470 --> 13:28.030]  This is awesome.
[13:28.330 --> 13:29.450]  This is my favorite kind of mail.
[13:29.650 --> 13:30.150]  All right.
[13:30.190 --> 13:31.070]  Let's get into it, Audrey.
[13:31.970 --> 13:32.450]  1982.
[13:33.950 --> 13:40.090]  Mariners manager Renee Lachman returns to his hotel room to find it completely empty.
[13:40.270 --> 13:42.190]  No lights, no paintings, no bed.
[13:42.470 --> 13:43.610]  He goes to the bathroom.
[13:43.850 --> 13:48.290]  There's nothing in there either, except the toilet is full of Jell-O.
[13:48.930 --> 13:53.490]  Lachman hunts for Mr. Jell-O for months until Larry Anderson reveals himself as the culprit.
[13:53.830 --> 13:56.710]  Also, Lachman's name is misspelled on his own card.
[13:56.930 --> 13:57.990]  So let's look at that.
[13:58.050 --> 13:59.950]  There's the subject of the Jell-O card.
[14:00.130 --> 14:00.150]  Wow!
[14:00.870 --> 14:02.690]  And he got his name misspelled on his own card.
[14:02.750 --> 14:03.570]  That sucks.
[14:03.710 --> 14:05.190]  That's Jack Patillo energy right there.
[14:06.490 --> 14:07.130]  Love that.
[14:08.390 --> 14:08.710]  2008.
[14:09.210 --> 14:09.490]  Uh-huh.
[14:09.730 --> 14:10.530]  Let's move on to the next one.
[14:10.610 --> 14:11.210]  That was awesome.
[14:11.370 --> 14:11.850]  I love a story.
[14:11.850 --> 14:12.170]  That's great.
[14:12.210 --> 14:12.810]  That's a good one, right?
[14:12.810 --> 14:13.210]  Love a story.
[14:13.210 --> 14:13.370]  Yeah.
[14:14.110 --> 14:14.430]  2008.
[14:14.510 --> 14:17.330]  Phillies manager informs Kyle Kendrick that he has been traded.
[14:17.830 --> 14:19.330]  Specifically, he was traded to Japan.
[14:19.390 --> 14:19.970]  Not a team.
[14:20.150 --> 14:20.930]  The entire country.
[14:21.550 --> 14:23.330]  He was traded, I assume, to a team in Japan.
[14:23.330 --> 14:27.030]  For hot dog eating champion Takaru Kobayashi.
[14:27.670 --> 14:31.230]  Kendrick goes to his teammates to process the news.
[14:31.490 --> 14:32.670]  They're all in on it, too.
[14:33.150 --> 14:34.690]  Even the clubhouse reporters are in on it.
[14:34.710 --> 14:37.070]  Interviewing him about the trade before revealing the prank.
[14:37.370 --> 14:39.030]  He thought he got traded for Kober.
[14:39.590 --> 14:41.170]  Let's see his face.
[14:42.430 --> 14:44.130]  I think this is an actual auto, too.
[14:44.510 --> 14:46.250]  Let me pull this off because it's covering it up.
[14:46.470 --> 14:47.410]  Give me just a second.
[14:47.510 --> 14:47.730]  Okay.
[14:49.010 --> 14:49.510]  Here it goes.
[14:49.630 --> 14:52.330]  You can tell that the dude is...
[14:52.330 --> 14:55.770]  Audrey is a real sports card fan.
[14:57.130 --> 14:58.170]  Painter's tape.
[14:58.590 --> 14:59.510]  Look at that.
[15:00.110 --> 15:00.950]  Going to Japan.
[15:01.150 --> 15:02.510]  Like an on-card auto, too.
[15:02.670 --> 15:03.070]  Pretty good.
[15:03.290 --> 15:04.430]  That is awesome.
[15:04.630 --> 15:05.130]  Those are great.
[15:05.290 --> 15:05.990]  Awesome cards.
[15:06.450 --> 15:07.530]  Even more awesome stories.
[15:08.170 --> 15:12.750]  Also sent us a pack of 1989 score baseball.
[15:13.590 --> 15:14.970]  Rare upside-down pack.
[15:15.190 --> 15:15.330]  Nope.
[15:15.930 --> 15:16.130]  Yep.
[15:16.390 --> 15:17.390]  You didn't see a lot of those.
[15:18.230 --> 15:19.810]  You only get them in hobby boxes.
[15:20.030 --> 15:20.290]  Okay.
[15:20.370 --> 15:21.110]  Let's see what we got.
[15:21.110 --> 15:22.110]  Here we go.
[15:22.190 --> 15:23.430]  From 1989.
[15:23.950 --> 15:24.710]  Tony Pena.
[15:24.910 --> 15:25.290]  Nice.
[15:25.670 --> 15:26.310]  Chet Lemon.
[15:26.490 --> 15:26.710]  Okay.
[15:26.970 --> 15:27.870]  Jose Uribe.
[15:28.150 --> 15:28.530]  Wee.
[15:28.570 --> 15:29.550]  Burt Bleileven.
[15:30.130 --> 15:31.610]  The man with the butt.
[15:31.950 --> 15:32.830]  Cecil Fielder.
[15:33.150 --> 15:33.450]  Nice.
[15:34.090 --> 15:35.130]  Greg Gross.
[15:35.750 --> 15:36.170]  Gross.
[15:36.490 --> 15:36.750]  Yep.
[15:37.070 --> 15:38.930]  1984 was a year to remember.
[15:39.330 --> 15:39.850]  Wow.
[15:40.250 --> 15:40.730]  That was pretty cool.
[15:40.830 --> 15:41.510]  Yeah, it's lenticular.
[15:42.470 --> 15:44.110]  I don't know what you were supposed to remember about it.
[15:44.170 --> 15:44.490]  Oh, no.
[15:44.930 --> 15:49.750]  That was when George Orwell prophesied the end of freedom.
[15:49.810 --> 15:50.790]  It's a trademark for the book.
[15:50.790 --> 15:51.350]  Bob Kempner.
[15:52.930 --> 15:53.750]  Cecilio Guante.
[15:56.230 --> 15:57.070]  Steve Lombardozzi.
[15:57.210 --> 15:57.730]  Don't remember him.
[15:58.790 --> 15:59.630]  Don August.
[16:00.350 --> 16:01.190]  Dave Bergman.
[16:01.570 --> 16:02.350]  Otis Nixon.
[16:02.510 --> 16:03.090]  I liked Otis Nixon.
[16:03.350 --> 16:03.430]  Yeah.
[16:03.730 --> 16:04.770]  Carlton Fiske.
[16:05.050 --> 16:05.210]  Cool.
[16:05.350 --> 16:06.370]  John Franco.
[16:07.570 --> 16:10.530]  Oh, here's a 1988 highlight of Mike Gleenwell.
[16:11.590 --> 16:13.210]  And it's a highlight of him dropping his bat.
[16:13.690 --> 16:15.570]  And then it said there was a spider on it.
[16:15.830 --> 16:16.590]  He picked it up.
[16:16.610 --> 16:17.330]  There was a spider on it.
[16:17.330 --> 16:17.810]  He dropped it.
[16:17.890 --> 16:18.490]  It was an action shot.
[16:18.850 --> 16:20.550]  And then Oral Hershiser.
[16:20.790 --> 16:21.950]  Not a fan.
[16:22.130 --> 16:22.530]  Boo!
[16:22.770 --> 16:26.030]  Hey, dial it back like three cards.
[16:26.810 --> 16:27.470]  John Franco?
[16:27.650 --> 16:27.770]  Yeah.
[16:27.910 --> 16:28.770]  What year?
[16:29.890 --> 16:30.310]  That's...
[16:30.310 --> 16:31.050]  89?
[16:31.710 --> 16:32.550]  This is 89?
[16:32.790 --> 16:33.830]  This is 89 score.
[16:34.050 --> 16:35.870]  That's why I was confused by 84 a year.
[16:35.890 --> 16:36.130]  Got it.
[16:36.370 --> 16:37.990]  So how many years...
[16:37.990 --> 16:40.890]  John Franco pitched until like the mid-2000s.
[16:40.950 --> 16:41.370]  Did he really?
[16:41.510 --> 16:41.810]  Yeah.
[16:42.070 --> 16:43.350]  Well, let's see how old he was.
[16:45.830 --> 16:46.550]  In this...
[16:46.550 --> 16:49.690]  1988 was his 1, 2, 3, 4, 5...
[16:49.690 --> 16:51.110]  It's like his sixth professional year.
[16:51.130 --> 16:52.150]  I'm pretty sure John Franco...
[16:52.150 --> 16:56.590]  I watched a TikTok like two or three days ago where his daughter made one.
[16:56.670 --> 16:58.170]  She's like, rating my dad's cards.
[16:58.510 --> 16:59.270]  And it is...
[16:59.270 --> 17:03.270]  It's John Franco cards from like the early to mid-80s all the way to like...
[17:03.270 --> 17:07.790]  He's pitching for like the Mets or like the Phillies in like 2003, 2004.
[17:08.230 --> 17:08.730]  Good Lord.
[17:08.750 --> 17:09.510]  And it's like, damn, man.
[17:09.570 --> 17:10.850]  Well, you're like just a relief guy.
[17:10.970 --> 17:11.730]  That's fucking crazy.
[17:11.930 --> 17:12.110]  Yeah.
[17:12.110 --> 17:14.390]  But then you run into him and be in the show and he's just fucking...
[17:14.390 --> 17:14.970]  He's so hard to hit.
[17:15.270 --> 17:16.130]  He's just so hard to hit.
[17:17.870 --> 17:19.750]  John, a cocky closer...
[17:21.630 --> 17:24.610]  John, a cocky closer with one of the best change-ups in baseball,
[17:25.050 --> 17:27.570]  was the best left-handed reliever in the majors in 1988.
[17:28.190 --> 17:28.610]  That's...
[17:28.610 --> 17:32.810]  If you can throw hard left-handed, you could probably make AAA ball.
[17:34.030 --> 17:35.530]  If you could throw hard...
[17:35.530 --> 17:36.170]  And fast.
[17:36.510 --> 17:36.690]  Yeah.
[17:37.130 --> 17:37.590]  Left-handed.
[17:37.750 --> 17:39.970]  It has to go at least 80.
[17:39.970 --> 17:41.810]  I just gotta get past this arthritis a little bit.
[17:42.110 --> 17:43.150]  The spine arthritis?
[17:43.610 --> 17:43.750]  Yeah.
[17:45.210 --> 17:46.570]  Everything comes from your spine.
[17:46.950 --> 17:47.370]  Oh, okay.
[17:47.490 --> 17:48.790]  All power is derived from the spine.
[17:49.030 --> 17:49.230]  Oh.
[17:49.650 --> 17:53.810]  They want you to remember 1984 because that's when the Tigers ran away with the pennant.
[17:53.950 --> 17:54.170]  Yeah.
[17:54.370 --> 17:55.430]  I fucking hate them.
[17:55.510 --> 17:57.510]  That's the year the Padres lost in four.
[17:57.710 --> 17:58.570]  Oh, that's a sweat.
[17:59.190 --> 18:01.910]  The Padres sweep Cubs after losing first two games.
[18:02.030 --> 18:02.190]  Yeah.
[18:02.530 --> 18:04.490]  And then got swept by the Tigers.
[18:04.490 --> 18:04.770]  Yeah.
[18:04.770 --> 18:05.930]  And then the Tigers...
[18:05.930 --> 18:06.310]  It's okay.
[18:06.310 --> 18:06.350]  It's okay.
[18:06.430 --> 18:10.190]  We made it again in 1988 or 1998 and they got swept.
[18:10.470 --> 18:11.390]  I'll be here 15 years later.
[18:11.490 --> 18:11.590]  Yeah.
[18:11.690 --> 18:13.630]  And got swept by the New York Yankees.
[18:14.070 --> 18:16.530]  We've been to the World Series twice and have never won a game.
[18:16.690 --> 18:17.730]  If you want, I can give you that.
[18:17.750 --> 18:18.330]  You can burn it later.
[18:18.490 --> 18:18.730]  Yeah.
[18:18.810 --> 18:19.630]  I'll think about it.
[18:19.690 --> 18:20.590]  Uh, let's...
[18:20.590 --> 18:20.950]  We're Pac-Sac?
[18:21.010 --> 18:21.890]  Grab something from the Pac-Sac.
[18:21.930 --> 18:22.090]  All right.
[18:22.250 --> 18:22.810]  See what's up.
[18:23.250 --> 18:24.710]  Today we have...
[18:24.710 --> 18:24.930]  Oh!
[18:25.430 --> 18:25.790]  Awesome!
[18:26.030 --> 18:26.730]  Come on!
[18:27.130 --> 18:27.870]  That's totally random.
[18:28.270 --> 18:28.470]  No!
[18:28.510 --> 18:30.030]  We got Umbrella Academy cards.
[18:30.170 --> 18:31.910]  This is for Rebecca out there if you're out there.
[18:32.350 --> 18:33.830]  These are the worst cards.
[18:33.850 --> 18:34.770]  I know, they are.
[18:34.770 --> 18:36.030]  These are my mouth, Daddy.
[18:36.150 --> 18:36.430]  Fuck.
[18:36.630 --> 18:36.830]  Dude.
[18:38.090 --> 18:38.450]  This...
[18:38.450 --> 18:39.910]  This is the box that won't die.
[18:39.930 --> 18:41.070]  They will not go away.
[18:41.250 --> 18:43.890]  I feel like we've opened Umbrella cards on every break show.
[18:43.910 --> 18:44.510]  I hate it.
[18:44.530 --> 18:45.350]  Uh, there we go.
[18:45.410 --> 18:45.930]  Seen it before?
[18:46.650 --> 18:47.750]  Run, boy, run.
[18:48.030 --> 18:48.410]  Yep, seen it before.
[18:48.530 --> 18:49.430]  Dude, just watched season three.
[18:49.570 --> 18:49.790]  Uh-huh.
[18:49.810 --> 18:50.410]  So good.
[18:50.530 --> 18:50.750]  Uh-huh.
[18:50.870 --> 18:52.150]  There's, uh, Man on the Moon.
[18:52.190 --> 18:52.810]  Yep, seen it before.
[18:52.910 --> 18:53.770]  Yeah, Man on the Moon.
[18:54.590 --> 18:56.370]  And, uh, The Day That Was.
[18:56.710 --> 18:56.930]  Ooh.
[18:56.970 --> 18:57.510]  And, uh...
[18:57.510 --> 18:58.210]  Ooh, Run, Boy, Run.
[18:58.390 --> 18:59.250]  So those are all action.
[18:59.370 --> 19:00.650]  There's five right there, number five.
[19:00.810 --> 19:01.450]  That's a good stare.
[19:01.650 --> 19:03.770]  Talking to...
[19:03.770 --> 19:04.550]  I don't know who he's talking to in that photo.
[19:05.010 --> 19:05.690]  Yep, yep.
[19:05.730 --> 19:06.710]  That was a dud, that pack.
[19:06.810 --> 19:06.930]  Yep.
[19:07.990 --> 19:09.530]  Let's get into your curated playlists.
[19:09.550 --> 19:10.030]  Let's get into it.
[19:10.050 --> 19:10.810]  All right, we're gonna start with...
[19:13.270 --> 19:13.830]  1989, Tops.
[19:14.070 --> 19:15.130]  Is that not what we just...
[19:15.550 --> 19:16.870]  No, that was Score we were opening.
[19:17.230 --> 19:18.070]  Oh, I can't believe we did that.
[19:18.070 --> 19:18.570]  This is Tops.
[19:19.150 --> 19:23.810]  In Tops, we have the potential of pulling...
[19:23.810 --> 19:24.350]  A Don Zimmer.
[19:25.110 --> 19:25.390]  Okay.
[19:25.430 --> 19:27.250]  He was not in the Score cards, but he was in the Top cards.
[19:27.270 --> 19:27.630]  Let's do it.
[19:27.790 --> 19:28.130]  So let's see.
[19:28.170 --> 19:29.430]  Maybe we'll get lucky and hit his in.
[19:29.510 --> 19:29.750]  Here we go.
[19:29.810 --> 19:30.590]  Mickey Brantley.
[19:30.690 --> 19:30.970]  Okay.
[19:31.770 --> 19:32.330]  Frank Viola.
[19:32.770 --> 19:33.030]  That's a good smile.
[19:33.470 --> 19:33.750]  Oswald.
[19:34.750 --> 19:35.970]  I can't read that upside down.
[19:36.030 --> 19:36.350]  Peraza.
[19:37.470 --> 19:38.110]  Jim Presley.
[19:38.350 --> 19:38.950]  Lance Johnson.
[19:39.210 --> 19:40.350]  I wonder how many of these people are dead now.
[19:41.170 --> 19:41.810]  Raphael Santana.
[19:42.530 --> 19:42.930]  Geoff Montgomery.
[19:42.930 --> 19:43.290]  He's confused.
[19:43.530 --> 19:44.410]  Hang on, hang on, hang on, hang on.
[19:44.790 --> 19:45.750]  What is he...
[19:45.750 --> 19:46.270]  No, go...
[19:46.270 --> 19:47.530]  What is he confused about?
[19:49.070 --> 19:49.390]  Oh!
[19:50.110 --> 19:51.370]  You can't see that upside down.
[19:51.410 --> 19:52.290]  Upside down, he doesn't look confused.
[19:52.410 --> 19:53.690]  He is definitely confused.
[19:54.070 --> 19:54.550]  That's a...
[19:54.550 --> 19:55.410]  I think that's a keeper.
[19:56.010 --> 19:56.530]  That's a keeper.
[19:56.610 --> 19:57.290]  We'll figure out.
[19:58.090 --> 19:59.250]  Like, we should have a...
[19:59.250 --> 20:00.630]  Like, what is he confused by?
[20:00.810 --> 20:01.450]  No, like, this item.
[20:01.570 --> 20:02.030]  It was pretty good.
[20:02.490 --> 20:03.490]  Randy St. Clair.
[20:03.570 --> 20:03.730]  Okay.
[20:03.730 --> 20:05.470]  Les Straker.
[20:05.570 --> 20:06.270]  I've never heard of him.
[20:06.710 --> 20:07.630]  Rick Mahler.
[20:08.890 --> 20:09.930]  Tracy Jones.
[20:10.030 --> 20:11.110]  God, I remember the Expos.
[20:11.290 --> 20:12.610]  Just a great logo.
[20:12.810 --> 20:13.010]  Great logo.
[20:13.010 --> 20:13.730]  Just a great logo.
[20:13.830 --> 20:14.530]  Great logo.
[20:14.970 --> 20:15.790]  Carmen Castillo.
[20:15.890 --> 20:16.670]  Totally agree with you.
[20:16.950 --> 20:17.770]  Charlie Puglio.
[20:18.310 --> 20:18.570]  Ah!
[20:18.770 --> 20:20.370]  Jim Leland, manager card.
[20:20.550 --> 20:21.310]  We were close.
[20:21.690 --> 20:22.390]  Great mustache.
[20:22.610 --> 20:25.950]  Jim Leland, manager for a long, long, long time.
[20:26.450 --> 20:27.030]  Long time.
[20:27.290 --> 20:28.330]  That's from 89?
[20:28.550 --> 20:28.930]  It was 89.
[20:29.050 --> 20:29.850]  Jesus, dude.
[20:30.010 --> 20:30.670]  Dave Righetti.
[20:32.650 --> 20:33.430]  All right.
[20:33.430 --> 20:34.090]  No Zimmer.
[20:34.330 --> 20:34.950]  No Zim yet.
[20:35.370 --> 20:36.570]  Maybe in this next pack.
[20:36.670 --> 20:37.250]  Here's a little something.
[20:37.350 --> 20:37.810]  All right.
[20:38.330 --> 20:39.210]  I have here something.
[20:39.410 --> 20:40.130]  I was holding this off.
[20:40.370 --> 20:46.330]  Holding off on these for a while for, once again, for Andrew and Gavin, but at some point,
[20:46.510 --> 20:47.590]  we just have to move forward.
[20:48.130 --> 20:51.510]  So, I'm going to, first off, I'm going to put this in the pack sack, because I have a
[20:51.510 --> 20:51.770]  little more.
[20:51.830 --> 20:52.250]  All right.
[20:52.290 --> 20:53.130]  This is...
[20:53.130 --> 20:54.130]  Because that's how it works.
[20:55.030 --> 20:55.530]  Miss Americana.
[20:55.530 --> 20:56.010]  Miss Americana.
[20:56.930 --> 20:57.290]  19...
[20:57.290 --> 20:58.230]  Heartbreak Prince.
[20:58.330 --> 20:58.610]  There you go.
[21:00.730 --> 21:02.810]  2009 Donruss Americana cards.
[21:02.810 --> 21:04.410]  These were not easy to come by.
[21:04.490 --> 21:04.730]  Okay.
[21:05.130 --> 21:06.350]  And I have a lot of them.
[21:06.450 --> 21:06.710]  Oh.
[21:06.870 --> 21:07.190]  That's fine.
[21:07.190 --> 21:11.390]  One of those things where I bought more than I realized, I bought like 60 packs of these.
[21:11.390 --> 21:14.130]  Were these the ones that you thought were a different one and you bought a bunch?
[21:14.470 --> 21:14.790]  No.
[21:14.890 --> 21:15.110]  Okay.
[21:15.250 --> 21:16.190]  I knew what I was buying.
[21:16.230 --> 21:16.610]  Okay, cool.
[21:16.710 --> 21:22.030]  I just didn't realize that I had bid on a lot of different auctions at once, and then I
[21:22.030 --> 21:22.470]  won them all.
[21:23.350 --> 21:27.890]  So, what we have here is just like, you know, celebrity cards, you know, pop culture cards,
[21:28.870 --> 21:30.190]  but you know who's in this?
[21:30.210 --> 21:30.390]  Who?
[21:31.090 --> 21:31.450]  Uh...
[21:31.930 --> 21:33.010]  One Jackie Chan.
[21:33.290 --> 21:33.650]  Oh!
[21:34.030 --> 21:40.930]  Not only is Jackie Chan in here, you have a potential to hit a Jackie Chan relic or a
[21:40.930 --> 21:41.550]  Jackie Chan auto.
[21:41.730 --> 21:42.070]  What?
[21:42.350 --> 21:43.990]  So we are chasing Jackie Chans.
[21:44.350 --> 21:47.090]  Is this the pack that we opened one time that had like a shark in it?
[21:47.390 --> 21:48.150]  No, I don't think so.
[21:48.150 --> 21:48.970]  I don't think we've opened these yet.
[21:49.030 --> 21:49.610]  This is the first time.
[21:49.730 --> 21:50.330]  Those were...
[21:50.330 --> 21:51.430]  Those were weird.
[21:51.730 --> 21:53.270]  I have had these for a while.
[21:53.570 --> 21:56.290]  It was like a baseball player, the idea of flight, and a shark.
[21:57.450 --> 21:58.430]  That was a...
[21:58.430 --> 21:59.510]  That might have been...
[21:59.510 --> 22:00.590]  That had like the blimp or something.
[22:00.870 --> 22:00.950]  Yeah.
[22:01.050 --> 22:03.630]  Yeah, that might have been Alan and Ginter probably.
[22:04.510 --> 22:05.030]  All right, what do we got?
[22:05.130 --> 22:05.390]  All right.
[22:05.470 --> 22:06.210]  First card.
[22:06.330 --> 22:06.690]  Boom.
[22:06.830 --> 22:07.650]  Major celebrity.
[22:08.310 --> 22:09.110]  Sofia Milos.
[22:09.350 --> 22:09.570]  What?
[22:09.790 --> 22:10.550]  I don't know.
[22:11.570 --> 22:11.830]  Uh...
[22:11.830 --> 22:17.510]  Sofia Milos is best known for her role as Detective Yelena Salas in, uh, CSI Miami.
[22:17.770 --> 22:18.230]  Oh, okay.
[22:18.430 --> 22:18.630]  Yeah.
[22:18.710 --> 22:23.210]  She was also special agent Bianca Legarda in the Canadian crime drama, The Border.
[22:23.410 --> 22:24.530]  She likes to play, uh...
[22:24.530 --> 22:24.890]  The...
[22:24.890 --> 22:25.330]  Wait, hang on.
[22:25.350 --> 22:27.650]  The Canadian has a crime drama called The Border?
[22:27.670 --> 22:28.090]  The Border.
[22:28.090 --> 22:30.390]  Like the border from the U.S. to Canada?
[22:30.830 --> 22:31.350]  Oh, there's more.
[22:31.970 --> 22:36.190]  Uh, so Canadian crime drama, The Border, which follows immigration and customs security agents
[22:36.190 --> 22:39.650]  as they tackle such national security issues as terrorism and smuggling.
[22:40.070 --> 22:42.610]  How prudent in 2022.
[22:43.430 --> 22:43.690]  Wow.
[22:43.810 --> 22:44.130]  What?
[22:44.290 --> 22:44.570]  Crazy.
[22:44.770 --> 22:47.470]  You can't come across the border with all those.
[22:47.790 --> 22:48.610]  You gotta take them back.
[22:49.270 --> 22:49.750]  Sorry.
[22:49.970 --> 22:50.290]  Sorry.
[22:50.490 --> 22:51.010]  Take them back.
[22:51.130 --> 22:51.370]  Sorry.
[22:52.830 --> 22:54.790]  Everybody remembers Yancey Butler.
[22:55.170 --> 22:55.490]  Okay.
[22:55.550 --> 22:57.130]  From, uh...
[22:58.870 --> 23:02.090]  From playing the heroine in the Witchblade TV show.
[23:02.170 --> 23:02.570]  What?
[23:02.970 --> 23:03.650]  What did you just say?
[23:03.650 --> 23:04.790]  Is that another Canadian show?
[23:04.970 --> 23:05.290]  Is this American?
[23:06.130 --> 23:07.870]  Witchblade was a comic book.
[23:08.190 --> 23:09.250]  Her name is Yancey?
[23:09.330 --> 23:09.930]  Her name is Yancey.
[23:10.730 --> 23:13.450]  Yancey Butler, born July 2nd, 1970.
[23:14.330 --> 23:15.150]  Uh, she was also in the...
[23:15.150 --> 23:15.810]  Oh!
[23:16.270 --> 23:21.990]  She was also in Tales of an Ancient Empire, which was a follow-up to The Sword and the
[23:21.990 --> 23:22.170]  Sorcerer.
[23:22.190 --> 23:23.570]  He could be making...
[23:23.570 --> 23:26.250]  I don't think he's quick-witted enough to make it up, but...
[23:26.250 --> 23:27.110]  I am, but I'm not.
[23:27.110 --> 23:27.650]  Yeah.
[23:27.870 --> 23:29.930]  I'm definitely quick-witted enough to do it, but I'm not making it up.
[23:30.270 --> 23:31.070]  Barry Watson.
[23:31.470 --> 23:31.810]  All right!
[23:31.830 --> 23:32.770]  I don't even need to read the back.
[23:32.870 --> 23:33.650]  We all remember...
[23:33.650 --> 23:34.290]  I'll look it up.
[23:34.710 --> 23:35.730]  He's from Seventh Heaven.
[23:36.410 --> 23:36.730]  Oh!
[23:36.950 --> 23:37.810]  The oldest brother.
[23:37.910 --> 23:38.910]  Oh, he's from Days of Our Lives.
[23:39.330 --> 23:40.130]  And Seventh Heaven.
[23:40.410 --> 23:40.530]  Yeah.
[23:40.650 --> 23:41.550]  The dad was a pedophile.
[23:42.330 --> 23:43.370]  He turned out with a bunch of...
[23:43.370 --> 23:43.830]  Yes!
[23:44.010 --> 23:44.330]  Yay!
[23:44.710 --> 23:45.270]  Yeah, yeah, yeah.
[23:47.570 --> 23:47.890]  Uh...
[23:50.110 --> 23:50.750]  We got...
[23:50.750 --> 23:52.510]  This guy's almost got the same name as Jack Pattillo.
[23:52.930 --> 23:55.430]  Uh, this guy's name is Ron Polillo, and you might remember him from...
[23:55.430 --> 23:56.470]  Just like Jack Pattillo.
[23:57.010 --> 23:58.310]  Welcome back, Cotter!
[23:58.530 --> 23:58.890]  Oh!
[23:58.890 --> 24:00.050]  That's the kid from...
[24:00.050 --> 24:00.790]  Mr. Cotter!
[24:01.030 --> 24:01.890]  Yeah, that's the kid...
[24:01.890 --> 24:02.550]  What was his name?
[24:03.150 --> 24:03.510]  Uh...
[24:03.910 --> 24:04.270]  Uh...
[24:04.770 --> 24:05.130]  Horshack!
[24:05.250 --> 24:05.690]  Horshack, yeah.
[24:05.690 --> 24:06.190]  Horshack, right?
[24:06.310 --> 24:07.330]  Up your nose...
[24:07.330 --> 24:07.450]  Yeah.
[24:07.490 --> 24:08.310]  With a rub of hose.
[24:08.490 --> 24:09.070]  That was a great show.
[24:09.230 --> 24:09.410]  Yeah.
[24:09.770 --> 24:11.670]  Oh, and then, boom...
[24:11.670 --> 24:12.310]  Uh...
[24:12.310 --> 24:15.070]  Everybody remembers high school musical Corbin Blue!
[24:15.210 --> 24:15.870]  Corbin Blue!
[24:16.670 --> 24:17.770]  So, not a...
[24:17.770 --> 24:18.230]  That's a good one.
[24:18.390 --> 24:18.610]  Wow.
[24:18.950 --> 24:19.550]  There you go, Corbin.
[24:19.650 --> 24:21.030]  No parallels, no hits.
[24:21.130 --> 24:21.290]  What?
[24:21.650 --> 24:22.510]  It's a box of Hoos.
[24:22.710 --> 24:23.410]  Box of...
[24:24.850 --> 24:25.350]  What's up?
[24:25.350 --> 24:25.990]  Uh...
[24:25.990 --> 24:26.870]  Checking something real quick.
[24:26.930 --> 24:27.270]  Uh-oh.
[24:27.330 --> 24:27.670]  Uh-oh.
[24:27.750 --> 24:28.170]  Are we in trouble?
[24:28.350 --> 24:29.670]  No, Padre just hit a Grand Slam.
[24:30.250 --> 24:30.890]  Oh, really?
[24:30.990 --> 24:31.150]  Yeah.
[24:31.550 --> 24:31.910]  I wonder who...
[24:31.910 --> 24:33.630]  I wonder who was juiced enough to hit that.
[24:35.630 --> 24:36.550]  Oh, this is great.
[24:36.550 --> 24:37.550]  He had worms!
[24:38.590 --> 24:39.870]  I'm gonna save that one for last.
[24:40.010 --> 24:40.670]  That's the best.
[24:40.750 --> 24:41.210]  He's just...
[24:41.210 --> 24:42.050]  My excuse is...
[24:42.050 --> 24:44.710]  Listen, I was on the gas, and also, I have worms!
[24:47.110 --> 24:47.470]  Uh...
[24:47.970 --> 24:48.770]  I'm not even gonna bother.
[24:49.150 --> 24:49.390]  Uh...
[24:49.390 --> 24:50.030]  Eddie Burns.
[24:50.470 --> 24:50.930]  He's old.
[24:51.810 --> 24:52.170]  Uh...
[24:52.170 --> 24:53.350]  Wow, that's a really...
[24:53.350 --> 24:54.070]  Is it 2D?
[24:54.430 --> 24:54.790]  2009?
[24:55.770 --> 24:56.490]  Ed Burns.
[24:56.650 --> 24:58.090]  Yeah, he was born in 1930-something.
[24:58.250 --> 24:59.030]  He's old as dicks.
[24:59.190 --> 24:59.410]  All right.
[25:00.070 --> 25:00.430]  Uh...
[25:00.930 --> 25:01.650]  Lorna Luft.
[25:01.970 --> 25:02.310]  Luft.
[25:03.230 --> 25:04.450]  She was, uh...
[25:04.450 --> 25:04.670]  Who?
[25:05.190 --> 25:05.910]  She was in Grease 2.
[25:06.710 --> 25:07.990]  She was in Grease 2.
[25:08.110 --> 25:08.950]  Grease as well?
[25:09.050 --> 25:09.890]  Or Grease...
[25:09.890 --> 25:10.530]  The second one.
[25:11.910 --> 25:12.270]  Grease...
[25:12.270 --> 25:12.550]  2.
[25:12.790 --> 25:13.110]  The sequel.
[25:13.150 --> 25:14.670]  Wasn't it like Michelle Pfeiffer was saved in that?
[25:14.750 --> 25:14.870]  Yeah.
[25:15.450 --> 25:16.130]  Oh, man.
[25:16.210 --> 25:16.870]  Speaking of...
[25:17.290 --> 25:17.650]  Rip.
[25:17.930 --> 25:18.590]  Yeah, Rip.
[25:19.090 --> 25:20.110]  Do you think her...
[25:20.110 --> 25:20.810]  Olivia Newton-John died.
[25:20.950 --> 25:23.330]  Yeah, do you think her boyfriend's gonna come out of hiding now, or what?
[25:23.330 --> 25:23.950]  I don't think so.
[25:24.010 --> 25:24.870]  I think he hides forever.
[25:25.130 --> 25:25.250]  Yeah.
[25:25.590 --> 25:29.010]  Uh, Nadine Velasquez, you might remember from My Name is Earl.
[25:30.170 --> 25:31.310]  I never saw that show, but...
[25:31.310 --> 25:31.450]  Oh, yeah.
[25:31.450 --> 25:31.590]  Oh, yeah.
[25:31.730 --> 25:33.590]  Yeah, she was also in The League.
[25:34.010 --> 25:34.550]  Oh, there you go.
[25:34.670 --> 25:34.810]  Yeah.
[25:35.030 --> 25:36.330]  Uh, and then...
[25:36.330 --> 25:37.410]  Valessa Roberts.
