[00:10.030 --> 00:11.330]  How's that asshole feeling?
[23:24.500 --> 23:24.900]  That
[23:27.280 --> 23:32.440]  I got a feeling andrew that if you had been here four minutes ago, you wouldn't want this box. Anyway, oh really?
[23:33.160 --> 23:38.600]  Yeah, but but I also think that there's a world where you definitely want the box more now
[23:39.340 --> 23:40.600]  I just need to
[23:41.100 --> 23:45.680]  Was it ever explained what was in the box kind of? Yeah. Oh, fuck
[23:46.260 --> 23:50.500]  The closest you're gonna come is you're gonna have to wait till this episode comes out and go back and listen to it
[23:50.500 --> 23:56.940]  I will now he'll he'll perv on the files. No, I will. Yeah, you're right perv on the file
[23:56.940 --> 23:59.120]  He's a he's a file perver
[24:00.440 --> 24:04.700]  Yeah, he'll go to the google drive and start listening to our individual tracks
[24:05.880 --> 24:10.900]  Are you a file pervert andrew? Well, I dabble in some file perving i'll be honest
[24:12.420 --> 24:15.640]  What when you file perv what do you get out of that? What are you looking for?
[24:15.640 --> 24:21.600]  Uh, it's mainly like so the last time I did it was when I left the show for the austin thing with the cucumber
[24:21.600 --> 24:26.500]  To hear your guys reaction. Oh, yeah went to all the the files. So it's just stuff I missed
[24:27.300 --> 24:28.560]  or if uh
[24:28.560 --> 24:33.080]  Somebody did something that I thought was really funny going back to it. So not very often
[24:33.640 --> 24:39.160]  No, it's only happened less than I don't know three or four times. Yeah, what figures that tracks? Yeah
[24:39.900 --> 24:41.900]  I'm, sorry about that. I had to use the bathroom
[24:41.900 --> 24:45.800]  That's why I left I was trying my best to hold but I used the gavin excuse
[24:47.120 --> 24:51.580]  That's not the same as being late though. If you leave well, it's i'd say at least I was here
[24:51.580 --> 24:56.740]  I let people know so oh, wait a minute. So are we confirming that you're not in the bathtub for this episode?
[24:57.040 --> 25:02.020]  No, no, no, not in the tub. It was too dangerous. I was giving away too much information. I was too relaxed
[25:02.840 --> 25:04.060]  We can't do that again
[25:05.580 --> 25:09.640]  Your guard was too down my guard was way too down while in the tub
[25:11.060 --> 25:15.880]  It also was just a nightmare because it's kind of echoey so I was trying to do my best to mitigate that but then I
[25:15.880 --> 25:20.140]  Was just like holding a shower curtain in front of my face while I was talking for large sections
[25:20.680 --> 25:25.220]  I made trying to look at my notes really difficult. There were some disadvantages to it
[25:25.220 --> 25:30.480]  We need to work out if we wanted to continue bathtub recording, but so for now i'm back at my desk
[25:30.480 --> 25:37.660]  Do you know what's been a huge disadvantage in my life? What if I meet a dog giant nose with it? What?
[25:38.360 --> 25:41.420]  I thought you I thought he was gonna say being british, but oh
[25:42.180 --> 25:44.320]  You meet a dog if I meet a dog
[25:44.880 --> 25:46.420]  And it's got a human name
[25:46.960 --> 25:49.760]  It's burned into my head that that is a dog's name
[25:50.300 --> 25:51.580]  for the rest of my life
[25:51.580 --> 25:57.980]  So henry is a dog's name to you now. No, no, because I knew a henry before I heard it as a dog's name
[25:57.980 --> 25:59.700]  I see I see
[25:59.700 --> 26:04.760]  So like anytime I meet like a cleo or a monty or like a tilly
[26:04.760 --> 26:07.900]  It's like these are all dogs from my childhood and it's so confusing to me
[26:07.900 --> 26:11.480]  So you always thought of so it bothered you that monty's name was monty
[26:11.920 --> 26:16.600]  No, I got used to it. Okay, but you always thought of it as a dog's name before a human's name
[26:17.280 --> 26:17.680]  Yeah
[26:19.260 --> 26:24.040]  Interesting. Like do you have that with any uh childhood animals that you knew?
[26:27.020 --> 26:32.860]  No, i'm trying to think I mean I had terrible names for my pets I had a fish named fluffy
[26:34.000 --> 26:35.660]  Not that's a cute name for a fish
[26:36.600 --> 26:43.320]  Yeah, my first my first cat was named smoky and I don't think i've ever met a smoky that's a great
[26:43.320 --> 26:45.940]  But if I did I might think of my cat
[26:45.940 --> 26:50.820]  Can I ask about it going the other way? What if you get an animal and you name it after a person?
[26:51.780 --> 26:57.020]  Like it's a name that like you knowingly like I had an idea in college that I wanted to get like a cat and name
[26:57.020 --> 26:58.440]  It after my roommate david burger
[26:59.000 --> 27:03.620]  And just name the cat david burger and then like yell at it because it's not doing
[27:03.620 --> 27:08.620]  A very good job at being david burger, which it sort of doesn't really understand what that is
[27:08.620 --> 27:12.260]  But I think naming an animal after a person that you know that you live with
[27:12.720 --> 27:16.380]  It can lead to confusion, but I think it'll also lead to like a lot of fun
[27:16.920 --> 27:20.240]  Like howard stern named his bulldog. Bianca romaine stamos
[27:23.100 --> 27:27.560]  Yeah, all my cats are named after dead actors or dead legends
[27:28.540 --> 27:32.040]  Yeah, didn't didn't robin have a cat named jennifer aniston, I think
[27:32.760 --> 27:36.340]  And you had bob hoss smy as bob hoss. What was the cat's full name?
[27:37.020 --> 27:41.940]  Smy technically his full name's full name is bob hoskins is smy bob hoskins is smy
[27:45.440 --> 27:52.080]  Have you ever explained the dave burger idea to people eric outside of this thing or is this just a thing you're gonna do
[27:52.080 --> 27:57.380]  No, i've explained it to other people before i've also explained it to david burger
[27:57.380 --> 27:59.020]  And he wasn't thrilled at the time
[27:59.440 --> 28:02.320]  Then that wouldn't work because you don't live with him. That's true
[28:02.320 --> 28:06.820]  And so no i'm just maybe i'm maybe it's less of an idea that I will do and if you
[28:06.820 --> 28:09.980]  Like it if you're listening to this at home and you're like i'm gonna get a cat
[28:09.980 --> 28:14.780]  Maybe i'll name it after my roommate. This is now you'd have to name your cat small wife. Oh
[28:15.320 --> 28:18.520]  Or yeah, or hey if you're listening to this and you're gonna get a cat or a dog
[28:18.520 --> 28:22.500]  Maybe name it eric baddour. I don't know why you would do that. That's the opposite
[28:22.500 --> 28:24.860]  I'm saying the person you live with is the fun situation
[28:24.860 --> 28:29.240]  That's what i'm saying not name it after don't name a cat after me
[28:29.240 --> 28:33.300]  I think you should name it after eric. I think you should eric baddour the cat. You don't have to do that
[28:33.300 --> 28:34.560]  Everyone else spell it wrong
[28:37.100 --> 28:38.220]  It's whole life
[28:39.560 --> 28:45.160]  Then all the people who meet the cat before they meet you will think it's weird that your name is eric baddour
[28:45.160 --> 28:46.160]  That would be okay
[28:46.160 --> 28:53.160]  So that would be crazy if you met the cat and then found out like about this show like years later
[28:53.160 --> 28:57.320]  And then me and you're like, oh I had a friend who had a cat named eric baddour
[28:57.320 --> 29:01.660]  All right. I might be on board for this now this might just for just for like the long game
[29:01.660 --> 29:05.720]  The advantage the cat has over you is it won't realize its name is spelled wrong
[29:05.720 --> 29:09.840]  None of it means advantage that the cat will have over me
[29:09.840 --> 29:15.620]  Yeah, because you can get annoyed by the fact that you see your name spelled wrong and none of the cat doesn't know to read
[29:15.620 --> 29:16.180]  letters
[29:16.180 --> 29:18.080]  None of it makes sense to the cat
[29:19.120 --> 29:19.740]  that's the
[29:20.980 --> 29:24.900]  Advantage yeah, there are a few advantages that the cat has that's one of them
[29:25.420 --> 29:29.260]  Another one other advantages the cat claws night vision
[29:29.960 --> 29:31.320]  night vision claws
[29:33.340 --> 29:36.900]  Smell when you get older as a cat, you can't retract the claws
[29:36.900 --> 29:42.040]  So you don't want to always be claws out like that could be a problem. There's a disadvantage with claws as well
[29:42.040 --> 29:47.600]  Well, it's I mean they kind of they come with advantages and disadvantages. Uh, you can jump real good. You always land on your feet
[29:48.280 --> 29:48.720]  uh
[29:48.720 --> 29:51.800]  Better warmth protection i'd say being able to
[29:51.800 --> 29:55.820]  Being able to poop in a box of sand whenever you feel like it's pretty good
[29:55.820 --> 30:01.240]  That doesn't that feels like something I could do if I wanted to yeah, but it's not it's frowned upon
[30:01.240 --> 30:06.150]  You get celebrated if you do that as cat better at birding and micing than you are
[30:08.780 --> 30:14.940]  Birding and micing. Yeah, like it could kill birds and mice better than you. I just didn't know there were terms for that
[30:14.940 --> 30:16.480]  I think so. Yeah
[30:16.480 --> 30:19.280]  I don't know about micing, but i've heard birding before I assume
[30:20.800 --> 30:27.020]  That's different you've explained that cats are cats are better at dogging than you are
[30:28.300 --> 30:33.720]  I made a discovery the other day about my cat. Uh, bob hoskins is smi. He understands pointing
[30:34.560 --> 30:35.040]  Okay
[30:35.600 --> 30:36.540]  like most cats
[30:37.200 --> 30:40.200]  If you point at something if like sometimes i'm like look look at bird out there
[30:40.200 --> 30:44.660]  It just looks at your finger because it doesn't understand that a point it doesn't understand what that means
[30:44.660 --> 30:49.020]  But smi actually knows to look where i'm pointing and it really freaked me out
[30:49.020 --> 30:55.580]  So you send out the applications to harvard or like what was the response to realizing your cat recognized points?
[30:56.000 --> 30:57.380]  Yeah, what is the cat equivalent of harvard?
[30:58.720 --> 30:59.140]  harvard
[31:00.740 --> 31:05.620]  For cats it just lives in the dorms. You would send it to a meow-niversity
[31:07.420 --> 31:08.080]  Thank you
[31:09.580 --> 31:13.040]  Thank you, nobody said what was the last time we read from the joke book
[31:14.120 --> 31:17.880]  I don't know where I need to find the joke book. Maybe it's time to get a different year
[31:18.560 --> 31:24.480]  Yeah. Oh, that's actually a great idea like go further back. I wonder if there's like a the jokes of 98
[31:26.880 --> 31:27.640]  The jokes
[31:32.040 --> 31:37.260]  I ate that I had I had a crazy encounter with somebody in a grocery store. Do you want to hear a joke?
[31:38.540 --> 31:38.920]  Yeah
[31:39.980 --> 31:43.800]  Oh, oh, i'm, sorry meow-niversity doesn't want to hear any comedy
[31:45.940 --> 31:52.640]  That's the anniversary of when two cats fall in love. Meow-niversity is where a cat goes to get higher education. Jesus christ
[31:52.640 --> 31:57.460]  Yeah, that was a fumble. I have a terrible joke if you want to hear it. Yeah
[31:58.420 --> 31:59.240]  this is
[31:59.240 --> 32:02.680]  So for context I was in line at a grocery store
[32:02.680 --> 32:06.480]  And there's an older woman in front of me that you could just tell
[32:06.480 --> 32:11.960]  Was sort of uh crazy, you know how you just sometimes get crazy vibes off of people. Were you checking out?
[32:12.200 --> 32:17.580]  Oh, you like I was checking out. Yeah, I was in line to check out and there's this this older lady in front of me
[32:17.580 --> 32:19.420]  and she asked
[32:20.140 --> 32:23.960]  The person behind the counter. Hey, do you want to hear a joke? I write my own jokes
[32:24.980 --> 32:30.960]  And so I overheard this joke that she told and he's like, I guess and this is this is her great joke
[32:31.440 --> 32:32.240]  there are two
[32:33.080 --> 32:34.320]  There are two on your this is
[32:35.360 --> 32:37.280]  This is so bad, they're two one-year-olds
[32:37.840 --> 32:39.540]  Uh, and they're at the doctor's office
[32:40.280 --> 32:42.700]  And uh, one of them says to the other one
[32:42.700 --> 32:45.580]  Oh, why are you here? What are you getting done?
[32:46.080 --> 32:51.280]  And the one says oh i'm getting my consoles removed and and the one said oh, that's great
[32:51.280 --> 32:57.400]  You're gonna get like so much candy. I had that done myself. You get treats and stuff after it. It's fantastic
[32:57.400 --> 32:58.600]  You're gonna have a great time
[32:59.120 --> 33:00.180]  What are you here for?
[33:00.760 --> 33:03.620]  And and the other one says oh i'm here to get circumcised
[33:04.320 --> 33:09.480]  And then and then it says back to him. Oh, that's rough last time that happened to me. I didn't walk for a year
[33:12.780 --> 33:13.960]  That was her joke
[33:16.400 --> 33:18.040]  That was a written joke
[33:18.760 --> 33:21.240]  She just walks around and does that to people
[33:22.320 --> 33:29.140]  Did you know in 1998 that titanic overtook jurassic park to become the highest grossing film of all time?
[33:29.220 --> 33:30.060]  You can tell this is a little dated
[33:30.660 --> 33:35.240]  I guess the titanic can't survive an iceberg, but it can beat a spielberg
[33:36.920 --> 33:43.940]  Uh, what do monica lewinsky and a vending machine have in common? This is not very good. This is not
[33:44.720 --> 33:51.300]  This is i'm trying i'm i'm being very loud about this as i'm distancing myself from whatever's about to happen
[33:51.300 --> 33:55.360]  Let it happen. What did what did billy mays do on 12 31 1998?
[33:56.700 --> 33:58.360]  He partied like it's 1999
[34:00.940 --> 34:02.020]  $19.99
[34:03.260 --> 34:05.540]  Oh, was he still alive at that point?
[34:06.280 --> 34:09.340]  I assume so. Yeah, what was the vending machine one?
[34:10.620 --> 34:12.480]  Here's one time zones are weird
[34:13.240 --> 34:19.040]  In australia, it's 2020 in america. It's 2019 in des moines. It's 1998 in alabama
[34:19.040 --> 34:21.920]  It's 1865 and in saudi arabia. It's 1576
[34:23.180 --> 34:25.660]  So that was just a joke with 1998 in it
[34:25.660 --> 34:30.640]  Yeah, I just googled 1998 jokes and that one popped up I realized as I read it that it was just I think that that's
[34:30.640 --> 34:31.220]  the only connection
[34:31.220 --> 34:31.900]  Uh
[34:35.280 --> 34:38.500]  Uh, oh did fidel castro die in 1998?
[34:39.040 --> 34:46.060]  All right, that's it that's enough if you're looking to name your pet something fidel castro is available
[34:46.820 --> 34:50.620]  Feel free. I think our worst bits on this podcast, uh
[34:50.620 --> 34:52.020]  intentional jokes
[34:52.620 --> 34:55.840]  Like whenever we're talking about jokes or doing jokes
[34:55.840 --> 34:57.700]  Horrendous. Yeah
[34:58.860 --> 34:59.880]  It's not great
[35:01.380 --> 35:01.860]  Ugh
[35:03.180 --> 35:03.980]  All right
[35:10.050 --> 35:11.950]  Wait, wait, wait, wait. Okay. Listen
[35:13.030 --> 35:16.910]  Ad break, but I have an important message if you're canadian
[35:17.490 --> 35:21.850]  Specifically if you're canadian, I mean I if you're not i'm, sorry, you don't have poutine
[35:21.850 --> 35:23.070]  You're missing all this great stuff
[35:23.070 --> 35:30.150]  But there is a deal happening right now at the rt store if you spend a hundred dollars or more and put in code
[35:30.150 --> 35:34.930]  Canada you get free shipping free shipping on any order of a hundred dollars or more
[35:34.930 --> 35:36.350]  This is a huge deal
[35:36.350 --> 35:38.830]  International shipping is someone who lives in canada
[35:39.310 --> 35:43.650]  Brutal all over the place so to be able to get it free with a hundred dollars
[35:43.650 --> 35:48.290]  Which is you know a lot of money, but the holiday season is here and we have some great stuff
[35:48.290 --> 35:53.710]  We have the gerpler straw bundle, which I personally love the shirts are so cool
[35:53.710 --> 35:58.270]  And the straw is an absolute nightmare in a way that you have to experience
[35:58.270 --> 36:01.370]  We're going to try to do a gerpler chug coming up
[36:01.370 --> 36:07.190]  Uh using the face silly straw and it might take us an hour to get through it
[36:07.190 --> 36:11.810]  It is the least effective straw i've ever experienced, but I would highly recommend it
[36:11.810 --> 36:15.870]  And we also have tons of sloppy clocks, which are awesome. I have one on my wall
[36:16.390 --> 36:21.890]  It's great for me to look and go. Holy shit. It's slop time and they're just also really cool looking clocks
[36:21.890 --> 36:26.570]  I genuinely love the design of them. Anyway, thank you so much for listening and supporting our show
[36:26.570 --> 36:34.370]  Make sure to use promo code canada a hundred dollars or more that deal lasts from december 4th through december 10th. Love you
[36:35.150 --> 36:39.990]  This show is sponsored by better help. We are in the holiday season
[36:40.590 --> 36:45.650]  and it's a really exhausting time of year in so many ways and it's also like
[36:46.090 --> 36:47.710]  a really um
[36:47.710 --> 36:54.470]  For me emotionally fulfilling time. I love being able to get gifts for people. That's something that's really exciting for me
[36:55.030 --> 36:56.210]  sometimes though
[36:56.550 --> 36:58.610]  You know dynamics with that change
[36:59.430 --> 37:00.470]  we're pretty
[37:00.470 --> 37:06.110]  a heavy gift giving family, but there are years where like my mom will not want a gift or
[37:06.110 --> 37:10.670]  You know just all sorts of different options, but what's really important
[37:11.350 --> 37:15.390]  During this time of year is to also not forget to take care of yourself
[37:15.390 --> 37:22.510]  And also treat yourself like that's really important. That's something that I have been bad at in the past of um
[37:22.510 --> 37:27.190]  For a variety of reasons not taking care of myself or investing
[37:27.730 --> 37:33.330]  The time or treating myself in the way that I should because it's uh a lot easier
[37:33.330 --> 37:38.750]  I find to do that for other people than it is yourself, but you always deserve that time
[37:38.750 --> 37:43.430]  Um, and that's something that I had to learn and then even after learning it
[37:44.030 --> 37:45.010]  come to terms with
[37:45.630 --> 37:48.310]  Uh, which is something that therapy helped me with
[37:48.310 --> 37:50.050]  uh in so many ways
[37:50.590 --> 37:51.390]  It's not just
[37:51.950 --> 37:52.850]  identifying a problem
[37:52.850 --> 37:56.070]  but then for me at least coming up with solutions and systems that
[37:56.070 --> 38:00.350]  Work for me because as great as it is to just talk about things
[38:00.350 --> 38:06.790]  being able to talk to an expert and come up with a plan and different approaches of attack and also just accepting that
[38:06.790 --> 38:11.850]  maybe solutions you have might not work, but then being able to continue to
[38:11.850 --> 38:13.810]  attack the problem or just
[38:13.810 --> 38:19.730]  Focus on the problem and come up with alternate solutions. Therapy is wonderful. I'd highly recommend it to anyone
[38:19.730 --> 38:22.890]  So if you're thinking of starting therapy give better help a try
[38:22.890 --> 38:27.350]  It's entirely online designed to be convenient flexible and suited to your schedule
[38:27.350 --> 38:34.970]  Just fill out a brief questionnaire and get matched with a licensed therapist and you can switch therapists at any time for no additional charge
[38:35.510 --> 38:40.570]  In the season of giving give yourself what you need with better help visit betterhelp.com
[38:40.570 --> 38:47.370]  Slash face today to get 10% off your first month. That's better help help.com slash face
[38:48.090 --> 38:52.970]  There is no better time of year than to sit down and make yourself a nice delicious
[38:53.530 --> 38:56.950]  Glass of titty milk and if you're in the market for tinny milk
[38:56.950 --> 39:02.590]  There's no better titty milk than what's provided by gamer sups big fan of gamer sups
[39:03.110 --> 39:09.230]  Fantastic titty milk gamer sups is a healthier more affordable alternative to energy drinks or soda
[39:09.230 --> 39:16.530]  Gamer sups helps you stay focused during the day without a crash or regret zero sugar zero carbs less than one calorie
[39:16.530 --> 39:19.090]  Keto-friendly and it's diabetic safe
[39:19.090 --> 39:23.890]  Uh, they have caffeine free options for people trying to stay away from sugary drinks. It's great
[39:23.890 --> 39:29.770]  They have all around just fantastic products as i've said as a as a titty milk connoisseur
[39:29.770 --> 39:34.270]  I don't know if that's the right word. I don't think it is actually but anyway, that's a big
[39:34.270 --> 39:36.050]  Love me some titty milk
[39:36.050 --> 39:42.370]  Best titty milk on the market, but they have all sorts of flavors. They don't just have that they got snake oil flavor. They got
[39:42.370 --> 39:49.410]  Uh, so many other delicious blends that you could have. I don't know why I said blends. That's typically a coffee thing, but seriously
[39:50.170 --> 39:50.610]  fantastic
[39:51.690 --> 39:56.010]  Incredible titty milk. They got the great brand risk
[39:56.010 --> 40:00.450]  I also really like the cherry limesicle because I like I like that fruit flavor very good
[40:00.450 --> 40:01.950]  Couldn't recommend them enough
[40:01.950 --> 40:07.250]  So if you would like some GamerSupps, please go to GamerSupps.gg
[40:07.250 --> 40:12.170]  Slash face and use code face at checkout to get 10% off your order. That is
[40:13.370 --> 40:16.750]  GamerSupps.gg slash face and use code face to get 10% off your order
[40:17.210 --> 40:21.470]  It's great. Highly recommend check it out. Every tub is $3.99. Use cold water
[40:21.470 --> 40:24.650]  I don't know why I didn't just end the ad with the call to action
[40:24.650 --> 40:26.050]  But you know what i'm going to call it action again
[40:26.050 --> 40:30.310]  Go to GamerSupps.gg slash face and use code face at checkout
[40:30.450 --> 40:32.270]  To get 10% off your order
[40:33.030 --> 40:36.830]  This ad is brought to you by HelloFresh, America's number one meal kit
[40:36.830 --> 40:40.730]  Say hello to a stressless holiday season with the help of HelloFresh
[40:40.730 --> 40:46.430]  Skip the grocery store and save time with easy tasty recipes delivered to your door
[40:46.430 --> 40:51.490]  Tis the season for giving and gathering and with HelloFresh can also be the season of saving
[40:51.490 --> 40:58.050]  Actually save money this month with HelloFresh recipes delivered cheaper than takeout and with pre-portioned ingredients
[40:58.050 --> 41:02.070]  You'll never waste money on excess food after a full day of work
[41:02.070 --> 41:06.810]  There's still so much to do some days. It feels like eating a wholesome dinner is next to impossible
[41:06.810 --> 41:14.510]  But with HelloFresh you can turn busy weeknights into memorable mealtimes with delicious practical options designed to save you time
[41:14.510 --> 41:16.290]  Like they're 15 minute meals
[41:16.290 --> 41:19.990]  I absolutely love HelloFresh. The food is always so good
[41:19.990 --> 41:24.910]  The box is so fun to open you have the pre-portioned ingredients regardless of your skill level
[41:24.910 --> 41:30.150]  It is something I would highly recommend just because the food is always delicious and it's fun to cook plus
[41:30.150 --> 41:33.730]  You know with how busy this season is just having that stuff be sent to you
[41:33.730 --> 41:37.430]  Awesome. It's so good. So go to hellofresh.com
[41:37.430 --> 41:42.110]  Slash face free and use code face free for free breakfast for life
[41:42.110 --> 41:48.830]  One breakfast item per box while subscription is active. That's free breakfast for life at hellofresh.com
[41:48.830 --> 41:52.410]  Slash face free with code face free
[41:54.510 --> 41:54.870]  I
[41:54.870 --> 42:00.590]  Have a question for you guys that's thinking about is the question should this episode come out because I don't have the answer
[42:00.590 --> 42:04.170]  No, relax. Calm down. Listen, you're gonna get married in like a week
[42:04.170 --> 42:07.430]  This isn't a time for you to have one of these negative spirals for your head
[42:07.430 --> 42:12.330]  Oh, i'm not no i'm not negatively spiraling. We're far enough ahead that we can flush this one and still be fine
[42:12.330 --> 42:18.410]  No, it's fine. Second. My question is have there been amazing experiences that were wasted on you?
[42:18.870 --> 42:22.470]  Like for me as an example, do you remember I told that story about
[42:22.470 --> 42:23.030]  uh
[42:23.030 --> 42:26.870]  The last straw when I was with my cousins and my grandma and she told us to shut up
[42:26.870 --> 42:30.910]  We were we went on that trip to see Cirque du Soleil
[42:30.910 --> 42:36.450]  Which is I think one of like the biggest circuses in the world. Like it's this very can you say it again?
[42:36.990 --> 42:41.430]  No, I can't uh Cirque du Soleil. Okay. Thank you. Well, how should I say it?
[42:41.510 --> 42:44.190]  I just want to make sure that's what you're saying. I just wanted I was just asking. Okay
[42:45.030 --> 42:48.830]  Getting clarity. Okay. Well, anyway, I went to that
[42:48.830 --> 42:53.930]  So I saw it's a spectacle show obviously like these top of the line whatever in that field
[42:54.470 --> 42:57.870]  the only things I remember from that experience are
[42:57.870 --> 43:03.790]  A piece of confetti on the ground after the show ended and walking into the tent
[43:03.790 --> 43:07.710]  How big the electrical cables were running out of the thing?
[43:08.010 --> 43:10.610]  I don't remember a single detail
[43:11.170 --> 43:16.790]  Of the performance at all. Those are the only two things that are actually in my brain. You just took away like logistics
[43:17.250 --> 43:21.250]  Yeah, well, I saw the cable and I thought wow, that's a thick cable
[43:21.250 --> 43:24.550]  That would suck the trip over and then years later
[43:24.550 --> 43:31.170]  A UFC fighter blew out his knee tripping over an electrical cable while doing an interview on Fox. It's like I was justified
[43:31.170 --> 43:34.850]  That was an understandable fear by me. I called that
[43:34.850 --> 43:38.210]  So I was curious if you guys had those where like people
[43:38.670 --> 43:44.490]  Spent money or or brought you on this adventure or this experience that is notable
[43:44.490 --> 43:51.070]  But you didn't take anything away from it. Oh, I'm sure that's how Gavin and Eric feel about the NBA Summer League trip
[43:51.070 --> 43:53.630]  I made him go on. Oh, I had such a great time at that
[43:53.630 --> 43:58.110]  I was gonna say going to the Grand Canyon when I was a kid. I uh, I love the Summer League
[43:58.110 --> 44:00.750]  I thought that was fun as hell. Yeah, I had fun of that. I would say for me
[44:00.750 --> 44:03.570]  It's gonna be like fancy stuff like a nice
[44:04.010 --> 44:04.910]  wine or something
[44:04.910 --> 44:05.230]  I could
[44:06.950 --> 44:12.030]  Waste it on me Andrew. My first thought was like yeah every time I've ever eaten sushi
[44:12.610 --> 44:17.030]  Really? Really? Yeah, which is like like I go to Uchiko or whatever and it's fine
[44:17.030 --> 44:23.850]  But I don't enjoy eating sushi as much as I would just enjoy having a pastrami sandwich somewhere, you know
[44:23.850 --> 44:26.990]  But i'll eat it because everybody around me is in heaven and it's fun
[44:26.990 --> 44:32.630]  it's fun to be around people enjoying something that much to get sort of an understanding like Uchi is a
[44:32.630 --> 44:35.050]  Very expensive high-end
[44:35.650 --> 44:43.310]  Sushi place here in Austin Gavin. You've been yeah. Yes. How much better is it than just getting like regular, you know, like quick sushi
[44:44.490 --> 44:45.890]  It's probably incomparable
[44:47.350 --> 44:53.910]  Gavin is maybe the worst person to ask also you said you got sleep Gavin that was fucking 40 seconds as just
[44:55.050 --> 44:58.510]  Being time now on probation. Well, I was thinking are you talking like
[44:58.510 --> 45:04.810]  Are you talking like rolls or like well, I mean jeff is saying that like he gets sushi and he's like it's fine
[45:04.810 --> 45:07.570]  You know, it's sushi whatever but you've had regular just you know
[45:07.570 --> 45:14.630]  Sushi, whatever and then you've gone to Uchi like is like the is really like the gap between like regular sushi and Uchi
[45:14.630 --> 45:20.350]  Like really really high like is it very it's like super high end. I've had sushi from H-E-B more than i've had it from Uchi
[45:22.190 --> 45:23.630]  Right, but how do they compare?
[45:23.630 --> 45:27.930]  Yeah, jesus christ, let me answer i've had grocery store sushi eric and i've had
[45:27.930 --> 45:33.870]  High-end restaurant sushi and they taste completely different like the rice you could tell is a better quality
[45:33.870 --> 45:36.490]  Just all of the ingredients feel fresher
[45:36.490 --> 45:42.370]  It is a substantial taste difference between the two products for me. I could tell it's it's lower quality
[45:42.370 --> 45:46.350]  But it's still not it doesn't justify the leap in price. Like I would still happily
[45:46.870 --> 45:52.510]  Yeah, but you would if you could you would eat a flavorless protein brick every day that just gave you nutrients
[45:52.510 --> 45:55.870]  Yeah, that's true. Yeah, so like wait
[45:56.530 --> 45:59.750]  Gavin has zero respect for for food or drink
[46:01.450 --> 46:01.890]  Uh
[46:03.210 --> 46:09.710]  Yeah, I mean I I can eat the same thing every day. I it doesn't need I don't need my mouth to be that excited
[46:12.780 --> 46:16.060]  Like I just want it to be not repulsive and just glide down
[46:18.040 --> 46:19.880]  What are you saying
[46:20.620 --> 46:22.360]  He i'm not a fancy guy
[46:23.180 --> 46:27.720]  No, but that's not even having an excited mouth doesn't mean fancy
[46:30.700 --> 46:36.780]  I had a chocolate chip cookie the other day gavin. My mouth was very excited. It was not a fancy thing
[46:36.780 --> 46:38.020]  It's a two dollar cookie
[46:38.620 --> 46:43.400]  You're just not a taste guy and i'm not i'm not judging you for that. That's an established thing for yeah
[46:43.400 --> 46:44.480]  I'm, not a big taste guy
[46:45.060 --> 46:51.340]  I'm surprised eric didn't realize this. Uh, well, I yeah, I didn't know that he would eat a protein brick or whatever every day
[46:51.340 --> 46:54.580]  I just figured that he was the only other person here who had been to uchi
[46:54.980 --> 46:56.260]  He just wants
[46:56.820 --> 47:00.020]  Food to be efficient as possible and gavin's what?
[47:00.560 --> 47:03.340]  Yeah, like he is. I don't know why i'm talking on behalf of gavin. You're here
[47:03.340 --> 47:05.960]  Yeah, if there was food that was like three times as efficient
[47:07.500 --> 47:12.000]  Like if I only needs to eat in the morning and then not eat until the next morning I would take that
[47:12.000 --> 47:18.980]  Isn't that what all those protein like huel and uh, like soylent and all that shit is though there's like meal
[47:18.980 --> 47:26.020]  Like yes scientifically designed meal replacements that are just like weird green powder like you could do it you could live like that now
[47:26.700 --> 47:31.300]  Hmm, how healthy is that? I think it's super healthy. That's why it's a big deal. Oh
[47:31.820 --> 47:36.680]  We should try putting you on one of those because from what I understand like they hit your nutrients
[47:36.680 --> 47:42.180]  But they taste awful to the point where I feel like it's been outlawed in some places those bricks
[47:42.180 --> 47:44.940]  Eating just takes quite a long time, especially if you go out
[47:45.460 --> 47:46.560]  right, but isn't that the
[47:46.560 --> 47:47.140]  It
[47:47.640 --> 47:49.440]  It's more than just the eating isn't it?
[47:49.560 --> 47:52.740]  It's like the experience hanging out with friends like even even I recognize
[47:52.740 --> 47:55.980]  While i've never had grocery store sushi before
[47:55.980 --> 47:57.500]  When I go to uchiko
[47:57.500 --> 48:02.020]  It's kind of a whole event and you put on nice clothes and you feel fancy and you have
[48:02.020 --> 48:07.020]  Like a lot of fun with you go doubles date or something and you like you have conversations
[48:07.020 --> 48:09.620]  And you try stuff you wouldn't normally try
[48:09.620 --> 48:12.420]  But in austin, it's just really
[48:13.200 --> 48:16.600]  Loud people all around you and if you're like at the sushi bar
[48:16.600 --> 48:20.600]  You got like some knobhead next to you who just won't stop talking to the chef
[48:20.600 --> 48:21.640]  And I just uncomfortable
[48:23.840 --> 48:25.140]  Like shut up guy
[48:26.160 --> 48:28.580]  Just order your protein brick and leave
[48:28.580 --> 48:35.260]  No, stop talking the whole time and he's not clearing all our little bowls because you've still got freaking food in yours. Shut up
[48:35.260 --> 48:36.520]  That's how I feel
[48:37.960 --> 48:39.200]  There you go, I hope that
