[00:14.960 --> 00:15.880]  Well, here we are.
[35:19.260 --> 35:21.080]  You can see all the pictures there if you listen
[35:21.080 --> 35:23.100]  to this like a freak. You can go
[35:23.100 --> 35:25.000]  on our YouTube channel and watch the video
[35:25.000 --> 35:27.200]  of it. If you do both, that really
[35:27.200 --> 35:27.880]  helps us out.
[35:29.400 --> 35:31.040]  Can't promise it's going to help you out.
[35:32.840 --> 35:35.260]  So, thank you very much. Any parting words
[35:35.740 --> 35:36.620]  for your pizzas?
[35:36.960 --> 35:39.040]  I just want to say, my last parting word
[35:39.040 --> 35:41.260]  would just be, what a phenomenal job
[35:41.260 --> 35:43.140]  you have taken over doing
[35:43.140 --> 35:44.820]  in season five as the intro-outro guy.
[35:45.140 --> 35:46.400]  And I just really appreciate it.
[35:47.720 --> 35:49.000]  After Andrew's confession
[35:49.000 --> 35:51.040]  that he understands intros now, I'm glad
[35:51.040 --> 35:52.920]  that there's an appeal here.
[35:53.420 --> 35:55.180]  We're trying to reset. We're trying to make it
[35:55.180 --> 35:57.040]  make sense to people who come in on
[35:57.040 --> 35:59.120]  this number episode. So we don't have to
[35:59.120 --> 36:00.660]  go, yeah, go back to 16!
[36:02.980 --> 36:03.780]  Episode 128?
[36:04.300 --> 36:06.880]  Find episode 46 and count backwards
[36:06.880 --> 36:08.380]  until you find the one you're looking for.
[36:11.280 --> 36:12.600]  Any last words, Gavin?
[36:13.460 --> 36:14.120]  I don't think so.
[36:16.460 --> 36:17.200]  Andrew, anything
[36:17.200 --> 36:18.600]  strong to take us out on?
[36:19.220 --> 36:21.340]  No, I'm sad I didn't get to try some seven
[36:21.340 --> 36:22.880]  pizzas, but I'm glad I
[36:22.880 --> 36:25.260]  I'm sort of glad I'm not there, to avoid whatever
[36:25.260 --> 36:26.120]  the fuck Gavin made.
[36:26.920 --> 36:28.400]  The plowman's number two.
[36:28.480 --> 36:30.040]  Yeah, this is to all the plowmen out there.
[36:30.180 --> 36:32.680]  Hey, if you do make your own plowman's number two,
[36:33.740 --> 36:34.460]  please don't.
[36:34.900 --> 36:37.480]  Send us a picture, but also rethink
[36:37.480 --> 36:39.280]  what you're doing. And don't plow in the rain.
[36:40.520 --> 36:41.240]  Yeah, we found
[36:41.240 --> 36:42.720]  that British people don't like wet.
[36:43.340 --> 36:44.880]  Yeah, I don't know why they live there, but alright.
[36:45.400 --> 36:46.980]  Okay, goodbye. Thank you. Bye.
