[00:05.160 --> 00:06.580]  Previously on F*** Face.
[21:25.380 --> 21:32.380]  Uh, we were all very surprised, and I think, I don't, I can't tell if Geoff was strolling out there with confidence or whether he was just hoping.
[21:33.060 --> 21:37.080]  Uh, what do you think it was, Geoff? Were you just relieved or were you like, oh, I knew I was going to do that?
[21:37.500 --> 21:43.780]  Uh, I'll be honest with you guys, I, I have that level of confidence in all this stuff.
[21:43.880 --> 21:47.560]  I still think I can throw, I still think I can throw the ball 80 miles an hour.
[21:47.660 --> 21:49.360]  I wouldn't have said it if I didn't think I could do it.
[21:49.400 --> 21:56.640]  My body has gotten in the way, but, uh, the thing that was, that I realized, I don't know if we talked about this on the podcast or not, but I'm 46.
[21:57.160 --> 22:00.020]  I hadn't hit a baseball with a baseball bat since I was 17.
[22:01.000 --> 22:03.180]  And so it's been 29 years.
[22:03.460 --> 22:06.400]  In my head, I could still hit like I was 17.
[22:07.280 --> 22:09.980]  Uh, and it turns out, I could.
[22:10.580 --> 22:16.700]  I, I was still able, I would say I, my batting average on the day was probably 750, which is astronomical.
[22:17.360 --> 22:21.840]  Uh, again, the pitching machine was only pitching 45, but, I mean, that's about as fast as I can throw.
[22:22.400 --> 22:24.300]  Uh, and, uh, at the moment.
[22:24.600 --> 22:27.980]  And I, and I, I probably knocked out 40 or 50 home runs.
[22:28.060 --> 22:29.600]  I felt really, really good about that.
[22:29.640 --> 22:35.700]  That first video, that first video, oh man, you really, you really got me with that one.
[22:37.640 --> 22:38.460]  Boy, did ya.
[22:39.340 --> 22:42.760]  But, uh, but out of 200, I hit 250 balls that day.
[22:42.860 --> 22:46.160]  We probably lost 20, 20 of the home runs that we just couldn't get to.
[22:46.760 --> 22:48.720]  Uh, how did I feel the next day? Eric asked.
[22:49.160 --> 22:51.740]  Um, but no, Andrew, I was, I was relieved.
[22:52.080 --> 22:56.620]  I was super relieved that it, that I, that I didn't embarrass myself.
[22:56.740 --> 23:02.900]  I felt vindicated because there were about 10 people that went out there purely to watch me fall on my face.
[23:02.900 --> 23:06.960]  Including my girlfriend, including her parents who were in from Oregon.
[23:08.800 --> 23:13.340]  Uh, including Superfan Jack and Cole and a bunch of Eric's friends.
[23:13.540 --> 23:18.720]  And I went out and first pitched, put one over the field and then proceeded to do it 50 more times.
[23:19.200 --> 23:22.960]  Uh, so I felt like, I felt good about myself for once.
[23:23.600 --> 23:24.260]  That was nice.
[23:24.560 --> 23:29.020]  Now, to answer Eric's question, uh, how did I feel about the next day?
[23:29.120 --> 23:30.020]  Or how did I feel the next day?
[23:30.020 --> 23:33.420]  Uh, I, I, today is the first day I haven't limped.
[23:34.460 --> 23:35.520]  Oh no.
[23:37.520 --> 23:42.960]  I could, I had, Monday was hell, was excruciating.
[23:43.560 --> 23:44.460]  Oh no.
[23:44.560 --> 23:48.780]  My hip, my right hip where I was swinging, it was on fire.
[23:49.120 --> 23:50.560]  My legs hurt.
[23:50.940 --> 23:52.260]  My elbows hurt.
[23:52.400 --> 23:53.480]  My back hurt.
[23:54.020 --> 23:56.020]  Uh, my, my shoulders hurt.
[23:56.020 --> 24:01.360]  Not all of that though, paled in comparison to my hands.
[24:02.040 --> 24:07.180]  Which were just, I don't know if you've ever bruised the palms of your hands.
[24:07.580 --> 24:09.240]  I guess I had not.
[24:09.500 --> 24:10.820]  Certainly not to this extent.
[24:11.060 --> 24:13.900]  My right hand was black, uh, on the padding.
[24:14.600 --> 24:22.840]  And I, both of my hands, the entirety of the inside of my hands hurt so bad that just touching them was excruciating.
[24:22.840 --> 24:27.160]  I, I, and by the way, fuck glass, let me get back to that.
[24:27.440 --> 24:35.900]  I was in the bathroom, and I picked up a glass to get some laundry detergent from this thing, and my hand just immediately dropped it and shattered it everywhere.
[24:36.080 --> 24:42.080]  And I couldn't hold the broom, because I couldn't hold the broom with my hands to sweep it up.
[24:42.260 --> 24:44.080]  It hurt so fucking bad.
[24:44.740 --> 24:45.700]  It probably was a pizza.
[24:47.740 --> 24:48.560]  It hurt.
[24:48.620 --> 24:50.720]  I mean that surely is not the glass's fault.
[24:50.800 --> 24:51.960]  My hands are fine now.
[24:51.960 --> 24:55.580]  But my, my finger, I had no tensile strength.
[24:55.920 --> 24:57.880]  My finger, I could barely drive.
[24:58.240 --> 25:00.220]  It was hard to put my hands around the steering wheel.
[25:00.580 --> 25:01.620]  For, until yesterday.
[25:01.760 --> 25:02.980]  My hands started to feel better yesterday.
[25:03.080 --> 25:03.500]  Today they're fine.
[25:03.540 --> 25:08.180]  You took your glove off on the day, and you had like a big fat forearm and wrist.
[25:08.320 --> 25:09.360]  Like it would already swell up.
[25:09.360 --> 25:09.540]  Oh yeah.
[25:09.920 --> 25:12.220]  And my left wrist would swell up insane.
[25:12.340 --> 25:12.820]  It was crazy.
[25:13.300 --> 25:16.580]  But I hit 250 fucking baseballs swinging as hard as I could, so.
[25:16.960 --> 25:18.520]  I guess, uh, you know.
[25:18.880 --> 25:21.380]  I apologize if you've covered, how long were you guys out there?
[25:21.380 --> 25:22.320]  How long did this take?
[25:23.620 --> 25:24.760]  A couple hours?
[25:25.140 --> 25:25.680]  Two hours maybe?
[25:26.040 --> 25:27.200]  Yeah, probably about two.
[25:27.400 --> 25:31.660]  I really thought it was going to take, I thought it was going to take us four or five hours to do this.
[25:31.720 --> 25:33.560]  Because I thought there were going to be a lot of breaks.
[25:34.100 --> 25:36.860]  Geoff took, maybe two breaks.
[25:37.220 --> 25:42.220]  And that was mostly to give the outfielders a break from just standing in the sun.
[25:42.660 --> 25:46.020]  Watching 200 foot bombs fly over their heads.
[25:48.900 --> 25:53.340]  You once asked me in a podcast earlier, Eric, how far I thought I could hit the ball.
[25:53.720 --> 25:56.580]  And I said I thought I could hit it about 200 feet and you laughed at me.
[25:57.440 --> 25:59.320]  I think 200 feet is about my range though.
[25:59.740 --> 26:02.220]  Oh, you were crushing of 200 consistently.
[26:02.420 --> 26:04.640]  Like back to backers where they were going like the same spot.
[26:05.880 --> 26:07.800]  I bet even people at the car show were impressed.
[26:09.020 --> 26:10.020]  What was that?
[26:12.660 --> 26:13.700]  There was a car show?
[26:15.440 --> 26:16.740]  Eric, what was going on there?
[26:17.200 --> 26:18.760]  What was the reaction when you arrived?
[26:19.440 --> 26:22.840]  There was, so this is the park where we play all the time.
[26:22.900 --> 26:26.500]  Like me and my friends, the guys who came out, Jordan Sweers and Cole and a few other people.
[26:27.060 --> 26:30.100]  Every time we go out, it's a big empty park.
[26:30.220 --> 26:32.320]  And we go to the baseball field, it's a big empty baseball field.
[26:32.960 --> 26:36.860]  I show up Sunday morning to start getting set up before everyone gets there.
[26:37.400 --> 26:40.560]  And it is just, it's like, Andrew, it's a car show.
[26:40.560 --> 26:47.480]  Like a, like a tricked out, like, it's a car, it's like a full on car show.
[26:47.640 --> 26:49.900]  And I almost had a panic attack.
[26:51.020 --> 27:00.300]  I just, I pulled my 90, like my 2007 Hyundai Accent up to this car show where I usually park to go to baseball.
[27:00.560 --> 27:04.120]  And the guy just looked at me and went, I don't think you're supposed to be here.
[27:04.180 --> 27:08.360]  And I went, I don't think I am either, but can I unload my stuff and then park anywhere else?
[27:08.360 --> 27:09.660]  And he's like, yeah, that's fine.
[27:10.480 --> 27:13.400]  There's just a car show. A lot of people at this car show.
[27:13.820 --> 27:15.440]  On a Sunday morning. So weird.
[27:15.620 --> 27:23.240]  Yeah, with like the bonnets up, big tricked out rims, like big purple hummers with art on, like 19 speakers hanging out the back, like that kind of thing.
[27:23.420 --> 27:26.700]  And then we're just there getting dropped off in normal cars.
[27:27.200 --> 27:29.020]  And they're very confused about it.
[27:29.620 --> 27:35.180]  It made me so excited because I've been actively avoiding all info about this because I want to hear it for the first time on the show.
[27:35.180 --> 27:41.920]  The only thing I saw relating to this was Eric posted a map and a group text of where to go.
[27:42.040 --> 27:45.800]  And it looked like reconnaissance from like a military movie.
[27:46.140 --> 27:48.600]  It's like a Google Maps top down view.
[27:48.660 --> 27:52.020]  And there's lines like the fact it seemed like a whole mission just to get there.
[27:52.060 --> 27:54.700]  And I was immediately it just furthered the excitement.
[27:55.440 --> 27:58.260]  This is great. I'm so glad that this finally came together.
[27:58.380 --> 28:01.080]  When are we going to sell the baseballs? Do we have a date for that yet?
[28:01.080 --> 28:03.820]  I don't know, but I would like... they were supposed to pick them up this week.
[28:04.240 --> 28:06.160]  Econ was supposed to pick them up this week and they haven't done it yet.
[28:06.240 --> 28:08.140]  But I got 250 baseballs.
[28:08.200 --> 28:13.800]  And by the way, we have another 100 baseballs that we haven't... like we just didn't even open the final box.
[28:13.940 --> 28:16.440]  So we can hit them with another color of paint.
[28:16.640 --> 28:17.940]  Or maybe have Gavin hit them.
[28:18.160 --> 28:21.900]  Or come up with some... we got 100 baseballs to fuck with in some way.
[28:22.020 --> 28:23.520]  Or sell them pristine if we want.
[28:23.580 --> 28:27.720]  But I feel like we could do... I feel like what we've done here is very fun and very clever.
[28:27.940 --> 28:29.820]  And I think people will really like it.
[28:29.820 --> 28:32.720]  We should say that there's not just a signature on these balls.
[28:32.920 --> 28:38.140]  The way the pitching machine worked, I realized, was just a spinning tire inside that red thing.
[28:38.220 --> 28:40.200]  So they all have a skid mark on them too.
[28:40.400 --> 28:44.800]  Yeah, and there's also a lot of grass and mud and leaves and stuff.
[28:45.480 --> 28:50.940]  Geoff, how many seconds into that first video did you realize that I'd screwed with you?
[28:51.740 --> 28:56.420]  A second... well, the second... at that. So, immediately.
[28:56.420 --> 28:56.980]  Immediately.
[28:59.560 --> 29:00.320]  Yeah, immediately.
[29:01.960 --> 29:07.400]  Man, I will say, I don't know why I haven't been hitting baseballs for the last 29 years.
[29:07.520 --> 29:09.180]  It is a ton of fucking fun.
[29:09.400 --> 29:11.280]  And I had never hit a pitching machine before.
[29:11.540 --> 29:13.300]  Holy shit, those things are great!
[29:13.620 --> 29:16.280]  Is that gonna be your new hobby now? Are you just gonna be in batting cages?
[29:16.300 --> 29:20.180]  Yeah, but not... I'm gonna... I'll do like 50, not 250.
[29:20.240 --> 29:22.600]  Yeah, you'll be immobilized.
[29:28.600 --> 29:30.920]  This ad is brought to you by ExpressVPN.
[29:31.480 --> 29:37.620]  Watching Netflix without using ExpressVPN is like buying tickets to a Taylor Swift concert but only being allowed to watch the opening act.
[29:38.080 --> 29:39.360]  Why do you need ExpressVPN?
[29:39.920 --> 29:45.420]  Netflix has thousands of shows, but without a VPN you only get access to a fraction of that based on your location.
[29:45.920 --> 29:47.620]  How does ExpressVPN unblock content?
[29:48.280 --> 29:50.540]  ExpressVPN lets you change your online location.
[29:50.780 --> 29:53.980]  Control where you want Netflix or other streaming websites to think you're located.
[29:53.980 --> 29:57.900]  I recently used it to watch Lassie because it was available in my region.
[29:58.080 --> 30:04.600]  But you can use it to watch the libraries of any show or movie in any region that is available on the streaming service you're using.
[30:04.920 --> 30:08.580]  Also, they have a Netflix content unblocking chart which you can find on their site.
[30:09.060 --> 30:11.040]  It's super easy to use the service.
[30:11.220 --> 30:16.620]  You just open the app, select the country name, tap one button to connect to it, and then once you refresh the page, it's there.
[30:17.140 --> 30:19.880]  Why choose ExpressVPN over other VPNs?
[30:19.880 --> 30:24.220]  ExpressVPN has blazing fast speeds, streaming HD with zero buffering,
[30:24.640 --> 30:28.860]  it's compatible with all your devices, phones, laptops, media consoles, smart TVs, and more.
[30:29.200 --> 30:33.120]  Servers in 94 different countries, gain access to thousands of new shows,
[30:33.480 --> 30:37.620]  and it works with other streaming services, BBC iPlayer, YouTube, and more.
[30:38.200 --> 30:43.620]  So be smart. Stop paying full price for streaming services and only getting access to a fraction of their content.
[30:44.020 --> 30:46.440]  Get your money's worth at expressvpn.com.
[30:47.120 --> 30:54.520]  Don't forget to use my link at expressvpn.com to get an extra three months of ExpressVPN for free.
[30:54.940 --> 30:58.020]  This ad is brought to you by HelloFresh, America's number one meal kit.
[30:58.320 --> 31:02.740]  Get farm-fresh seasonal produce and easy-to-make recipes delivered right to your door every week.
[31:03.300 --> 31:07.300]  Ingredients travel from the farm to your doorstep in under a week so they always arrive fresh,
[31:07.660 --> 31:10.260]  all without a trip to the grocery store or farmer's market.
[31:10.640 --> 31:12.260]  It's all about convenience with HelloFresh.
[31:12.260 --> 31:15.960]  Not only do the ingredients come pre-portioned so you're not overbuying or wasting food,
[31:16.240 --> 31:22.400]  but it's easier than ever to get filling meals on the table in a snap with options like family-friendly or quick and easy recipes.
[31:22.800 --> 31:28.400]  I love HelloFresh. Literally every time I talk about it, I discuss even just how exciting getting the box is.
[31:28.520 --> 31:31.160]  It's so cool. You open it and you have all the pre-portioned ingredients.
[31:31.580 --> 31:34.900]  It's so easy to navigate. The recipes are always delicious.
[31:35.260 --> 31:41.040]  Regardless of what your skill level is, it's super approachable, and cooking is a thing that I've really enjoyed learning how to do.
[31:41.040 --> 31:46.240]  And HelloFresh has made it easier to expand the recipes that I'm able to make. It's a great service.
[31:46.780 --> 31:55.280]  So go to HelloFresh.com and use code FACE16 for up to 16 free meals and 3 free gifts.
[31:55.600 --> 32:04.780]  That is HelloFresh.com and use code FACE16 for up to 16 free meals and 3 free gifts. Thank you.
[32:05.100 --> 32:08.860]  Have you ever just been too damn high? With today's weed, it can be a dangerous game.
[32:08.860 --> 32:12.140]  And we don't always have the time to play reefer roulette when we're looking to light up.
[32:12.740 --> 32:16.440]  Dadgrass is reviving the pleasure of the casual smoke so you can chill out without the stress.
[32:17.080 --> 32:21.140]  Dadgrass is legal, organic, smokeable hemp that relaxes your body and mellows your mind.
[32:21.700 --> 32:29.800]  Their 100% organic pre-rolled joints are very low in THC and high in CBD so you can enjoy the effects of CBD while keeping a clear head.
[32:30.220 --> 32:35.380]  Want the toke without the smoke? Dadgrass also has a CBD tincture made with the same high quality hemp.
[32:35.760 --> 32:37.920]  It's easy to dose and the effects come on smooth.
[32:37.920 --> 32:42.280]  Chill out without getting stoned. It's like having a glass of wine and not the whole bottle.
[32:42.760 --> 32:48.480]  All Dadgrass products are federally legal for ages 18 and over and it ships right to your door anywhere in the U.S.
[32:49.020 --> 32:54.680]  Whether you're looking for a new buzz or a chill way to enjoy an old favorite, Dadgrass will leave you in a euphoric mood.
[32:55.140 --> 33:00.960]  Right now, Dadgrass is offering our listeners 20% off your first order when you go to dadgrass.com.
[33:00.960 --> 33:08.860]  Go to dadgrass.com for 20% off your first order. That's dadgrass.com slash face.
[33:10.380 --> 33:16.800]  So is it safe to say that beans are not a cure for swelling and just general hip pain?
[33:17.120 --> 33:20.120]  Because I'm assuming it sounded like before those were back-to-back endeavors.
[33:20.320 --> 33:30.220]  We went straight to the beans and I've not yet prepared the bean video, but I do have two pictures from it that I think sum it up quite nicely.
[33:30.220 --> 33:31.520]  Oh, I'm so excited.
[33:32.000 --> 33:37.340]  So, it's been a long day. Or two hours at least, sweating hot out in Texas, swinging at baseballs.
[33:38.440 --> 33:39.960]  You come home for the-
[33:42.100 --> 33:43.560]  So Gaff...
[33:43.560 --> 33:52.250]  I look like dog shit!
[33:58.260 --> 34:03.340]  What a heart-breaking story!
[34:03.640 --> 34:04.280]  Two photos!
[34:06.980 --> 34:11.720]  Nick said it looks like the pots of food in Resident Evil 7
[34:11.720 --> 34:12.560]  It does!
[34:15.540 --> 34:19.300]  It's so bad! I can't believe
[34:19.300 --> 34:22.220]  There was a time in which I was sad I missed the beans!
[34:34.040 --> 34:36.660]  How many people came over for the beans?
[34:37.600 --> 34:40.260]  Just Nick and Eric and Gavin
[34:41.360 --> 34:44.640]  It was a very exclusive... it was limited to f***face
[34:44.640 --> 34:45.880]  And Emily's parents
[34:45.880 --> 34:47.480]  Well yeah and Emily and her parents
[34:49.040 --> 34:51.120]  Emily's dad was so sweet he had two helpings
[34:51.120 --> 34:52.360]  I don't know why
[35:01.300 --> 35:04.800]  It was a contrasting day of highs and lows
[35:05.460 --> 35:08.360]  I think that the baseball thing couldn't have gone better
[35:08.360 --> 35:11.220]  Biggest vindication of my adult life
[35:11.220 --> 35:21.900]  It turns out I am... I should be back in cleanup for the Dodgers, but probably not cooking for them.
[35:22.300 --> 35:26.380]  The bean hole was a disaster. An unmitigated disaster.
[35:27.780 --> 35:34.160]  Not only did it come out of the ground looking like that, they were undercooked.
[35:36.020 --> 35:37.960]  And lukewarm at best.
[35:39.500 --> 35:43.560]  At one point we went to the hole where we just buried all the ashes the day before.
[35:43.960 --> 35:47.640]  And I put my hand on the ground and I was like, ooh, it's a bit warm.
[35:47.820 --> 35:53.460]  And then Eric was like, is it warm because of the fire or warm because the sun is on it?
[35:53.540 --> 35:57.540]  And I just put my hand on a different piece of the yard that had the sun on it.
[35:57.600 --> 35:59.880]  And I was like, it's because the sun's on it.
[36:01.480 --> 36:04.600]  Absolutely no heat coming from underground whatsoever.
[36:04.600 --> 36:11.200]  It's clear to me that we... I'll be honest, I was pretty demoralized.
[36:11.580 --> 36:18.260]  I actually haven't moved that Dutch oven of beans from that spot. It's still sitting there.
[36:19.520 --> 36:20.880]  I'm just avoiding my backyard.
[36:21.640 --> 36:24.800]  Can you quickly take a photo of what the beans look like now? Can we get a bean update?
[36:25.140 --> 36:26.660]  Yeah, I'll go outside in a second and do it.
[36:29.200 --> 36:34.000]  They definitely didn't fully cook. Clearly the fire went out early.
[36:34.000 --> 36:36.700]  I don't know if we didn't put enough coals in there. I don't know.
[36:37.080 --> 36:39.500]  We gotta go back to the drawing board.
[36:39.700 --> 36:43.060]  You didn't have enough space to put coals in your one-foot hole?
[36:43.080 --> 36:47.540]  Dude, it was so hot. Gavin and I could barely get them in. It was so hot, right?
[36:47.920 --> 36:49.760]  Because it's one foot off the ground!
[36:50.300 --> 36:55.780]  I was wondering whether we should have left an air chimney to keep the embers alive.
[36:55.920 --> 36:58.400]  But I think in all the videos it just says completely burial.
[36:58.900 --> 37:00.080]  Yeah, it's so weird.
[37:00.900 --> 37:02.820]  So clearly we have to do it again.
[37:04.360 --> 37:07.840]  Because while we were eating the beans, and we all ate the beans,
[37:09.400 --> 37:12.240]  we realized that we should make a cookbook.
[37:12.780 --> 37:14.000]  F***face cooks the food.
[37:14.340 --> 37:17.480]  And we can have our perfected bean hole recipe in there.
[37:18.240 --> 37:20.460]  What was the other recipe?
[37:20.500 --> 37:24.600]  Well, we wanted to use the pizza oven that you've never touched.
[37:25.040 --> 37:28.760]  Gavin's gonna make pizza in my pizza oven, and we're gonna come up with a F***face pizza recipe.
[37:28.760 --> 37:31.720]  Andrew can make it. We can put Andrew's salad in there.
[37:31.840 --> 37:36.780]  Andrew, did you know Geoff has a fully massive proper outdoor pizza oven?
[37:37.220 --> 37:38.440]  I'm seeing this now.
[37:38.640 --> 37:40.620]  And he doesn't use it. He's never used it.
[37:40.880 --> 37:43.080]  I mean, that checks out. That feels like a thing you...
[37:43.080 --> 37:43.500]  Do you know why?
[37:43.760 --> 37:44.020]  Why?
[37:44.180 --> 37:45.160]  It's right behind me in that photo.
[37:45.520 --> 37:46.700]  Because there's a spider in it.
[37:48.040 --> 37:51.160]  So I'm gonna go in there, pest control, I'm gonna burn out all the wildlife.
[37:52.020 --> 37:54.460]  I can't. I can't. I can't do this.
[37:55.100 --> 38:02.040]  Oh my god. Why? Why is that just... Why is that the reason?
[38:02.880 --> 38:05.960]  Well, I also don't know how to make pizza in a pizza oven.
[38:05.980 --> 38:07.060]  Yeah, that's fine.
[38:07.080 --> 38:09.100]  But it's icky. It's like icky in there.
[38:09.620 --> 38:10.840]  I'll clean it out. I'll clean it out.
[38:11.280 --> 38:11.580]  Alright!
[38:12.420 --> 38:15.600]  Gavin's gonna... and it's gonna be... and we're gonna illustrate.
[38:15.800 --> 38:20.740]  I was even thinking we could use the illustrations from the F***face regulation animation show.
[38:21.300 --> 38:25.880]  So we could have really well-illustrated, complicated cooks.
[38:26.300 --> 38:28.380]  Because like the beanhole, it's not easy. It's not for the faint of heart.
[38:28.480 --> 38:30.560]  But when we get it perfected, it's gonna go right in the book.
[38:31.120 --> 38:32.180]  Gavin's pizza, boom.
[38:32.460 --> 38:34.500]  F***face just became so much work all at once.
[38:34.640 --> 38:37.860]  I've got... I'm editing like multiple videos in the F***face universe.
[38:38.160 --> 38:41.560]  I'm cleaning buckets of house paint off the front of my camera.
[38:41.800 --> 38:44.840]  I'm trying to buy a new leg for my tripod because...
[38:45.420 --> 38:51.860]  As soon as one ball whizzed right by my camera, Andrew, the game completely changed for Geoff.
[38:51.960 --> 38:53.940]  He was no longer going for the ball signing.
[38:54.380 --> 38:59.240]  He was trying his absolute hardest to wreck my camera with baseballs.
[38:59.700 --> 39:03.120]  You know, that's a good point. I probably could have hit more home runs.
[39:03.360 --> 39:09.740]  But for the last... I would say the last half of the day, I was trying purely to kill Gavin's camera.
[39:10.180 --> 39:12.520]  And I did take out his tripod.
[39:12.520 --> 39:16.700]  It's true. And I've looked into replacement parts because I don't really want to...
[39:16.700 --> 39:22.040]  He basically bent one leg, but it's really just one, like, telescopic segment of one leg.
[39:22.440 --> 39:25.240]  And I looked it up, they're $45 per segment.
[39:25.840 --> 39:27.520]  So I think I could just replace it with two.
[39:28.620 --> 39:32.620]  I'm just glad you didn't hit the lens. You painted the lens, but it's not functioning.
[39:32.960 --> 39:37.620]  I tried so hard. And you know, if I would have hit that lens, I wouldn't have felt bad at all.
[39:37.620 --> 39:44.120]  No, I know. You would have cheered. And I would have had to congratulate you because I chose to put it there.
[39:45.600 --> 39:47.640]  If you would have hit the lens, we'd only have one video.
[39:48.200 --> 39:49.520]  It would only be the first video.
[39:49.860 --> 39:53.980]  The leg got hit. And then it was like, oh man, it won't even close.
[39:54.280 --> 40:00.440]  And then it was Gavin, when we were done trying to close it, until eventually he did get it closed.
[40:01.160 --> 40:04.840]  And then couldn't get it back open because it's bent.
[40:05.080 --> 40:06.220]  And then it just broke off.
[40:06.220 --> 40:12.160]  Yeah, I think by shoving... I was trying to bend it back and I shoved the leg in and now it's permanently stuck in.
[40:12.260 --> 40:17.700]  So now I feel like I'm actually going to have to replace the entire leg instead of just removing that bent in section.
[40:18.340 --> 40:22.840]  Just send me the thing and I'll buy it. Happy to do it.
[40:23.580 --> 40:26.740]  Jesus Christ. I'm laughing so hard.
[40:26.780 --> 40:28.560]  It was a very eventful weekend.
[40:29.220 --> 40:33.540]  It was a huge face weekend. And it was sad that you weren't there, Andrew.
[40:33.540 --> 40:39.660]  We actually talked about, we wanted to conference call you in on the bean hole, but then we didn't want to spoil anything for you.
[40:39.840 --> 40:45.920]  Yeah, we wanted your reaction for the episode, but also it made me just super excited for our first Canada trip.
[40:46.140 --> 40:50.140]  Oh, that's another thing. We're going to have a crab leg recipe.
[40:50.600 --> 40:55.040]  Because we're going to go crabbing and then we'll have a crab... F***face cooks the food.
[40:55.400 --> 40:59.720]  We'll have crabs and pizza and beans and Andrew's salads and hot dogs.
[41:00.280 --> 41:03.080]  You want to make ramen in a Keurig?
[41:03.720 --> 41:05.080]  Andrew's got the recipe.
[41:05.400 --> 41:09.100]  Can we make a hot dog hole? Can we figure out a way to do this?
[41:09.100 --> 41:10.960]  We can totally make a hot dog hole.
[41:11.240 --> 41:14.400]  Would we just drill little individual holes?
[41:16.640 --> 41:20.040]  No, that's a funny idea. I was thinking just putting them in a giant pot.
[41:20.680 --> 41:24.780]  Like boiling, like water boil, like hot dogs, like that type of style.
[41:24.980 --> 41:27.460]  There's no way it'll work, but it can't be worse than the beans.
[41:27.900 --> 41:29.720]  The bar's already been set so low.
[41:29.720 --> 41:35.340]  Flavor-wise, I feel like we're fine. They just tasted a little bit like room-temperature, day-old baked beans.
[41:35.640 --> 41:37.000]  That weren't fully cooked.
[41:38.000 --> 41:39.720]  But nobody gets sick.
[41:40.120 --> 41:46.640]  That's true. I was pretty gassy because I had two full bowls, but didn't throw up.
[41:46.960 --> 41:49.540]  Nick said they weren't that bad. They weren't, but they weren't that good either.
[41:49.680 --> 41:51.280]  And they definitely looked like shit.
[41:54.720 --> 41:58.480]  When you took the lid off, they looked so pale brown.
[41:58.620 --> 42:00.280]  It was a weird color.
[42:00.960 --> 42:05.500]  It was such a letdown after such a successful day hitting home runs.
[42:06.140 --> 42:10.000]  I went from home runs to striking out fucking hard on beans.
[42:10.480 --> 42:11.560]  Oh my god.
[42:11.840 --> 42:16.260]  But I'm going to get over it, and we're going to go back to the drawing board.
[42:16.360 --> 42:20.120]  We're going to improve the hole, we're going to improve the process, and we're going to figure it out.
[42:20.120 --> 42:22.640]  And that's what making a cookbook is all about.
[42:23.080 --> 42:26.800]  Figuring out the recipe that nobody else has managed to get right.
[42:27.260 --> 42:31.140]  Ooh, maybe I should buy a jackhammer of some sort.
[42:31.140 --> 42:32.020]  That's not a bad idea.
[42:32.180 --> 42:33.720]  To get deeper through the rocks.
[42:34.160 --> 42:34.340]  Yeah.
[42:34.940 --> 42:38.340]  My mind went pickaxe. I like that you've gone all the way to the jackhammer.
[42:38.580 --> 42:46.320]  I feel like there couldn't be a larger jump between just a literal hammer to a jackhammer being your next tool.
[42:48.320 --> 42:51.460]  Look, if we're going to start cooking stuff in the ground more, we're going to need the tools.
[42:52.100 --> 42:54.440]  We're going to start cooking stuff in the ground more.
[42:54.720 --> 42:58.640]  It's an untapped market. We cook exclusively underground.
[43:00.320 --> 43:01.200]  Oh man.
[43:02.380 --> 43:06.740]  So there you go. Hitting the baseballs, huge success.
[43:08.380 --> 43:12.580]  Signature, it's cool. It may not look like my name, but it looks like something.
[43:13.500 --> 43:16.380]  Bean hole, to be continued.
[43:17.220 --> 43:20.060]  I would argue the bean hole couldn't be more successful.
[43:20.460 --> 43:22.520]  It was everything I'd want from the bean hole.
[43:22.840 --> 43:25.780]  If we get good at it, we can dig in public. We could have a little sign.
[43:27.280 --> 43:29.160]  It would be my hubby's hole.
[43:29.900 --> 43:30.540]  My hubby's hole.
[43:32.620 --> 43:35.500]  Oh, I watched my hubby's bagels.
[43:35.740 --> 43:39.380]  They were Instagram living last night. I watched them give a little tour of their facility.
[43:40.420 --> 43:41.580]  Aren't they so sweet?
[43:41.580 --> 43:42.740]  Yeah, they're awesome.
[43:43.100 --> 43:46.080]  I can't wait. I can't wait to get their shop opens in like a week.
[43:46.160 --> 43:47.180]  I can't wait to buy.
[43:47.600 --> 43:52.160]  I think they're at like 250 something followers on Twitter, which is very funny.
[43:52.280 --> 43:52.980]  They're at 315.
[43:53.780 --> 43:55.460]  That's amazing. It's fantastic.
[43:55.700 --> 43:58.780]  It's going to become our official hangout spot in Canada.
[43:59.000 --> 44:00.440]  Absolutely. I'm so excited. It looks great.
[44:00.540 --> 44:03.800]  Maybe you should go there when it opens and give a little bagel review video.
[44:04.760 --> 44:07.280]  Oh, I'm absolutely going to buy them as soon as it opens for sure.
[44:08.380 --> 44:11.440]  I mean, it's... I'm not going to promise that. Maybe.
[44:11.660 --> 44:12.640]  I mean, you're a bagel guy.
[44:13.480 --> 44:15.660]  I'm a bagel guy. Here's the thing, though.
[44:16.160 --> 44:19.640]  I'm not going to commit to this because if I don't post a review, I didn't like the bagels.
[44:20.160 --> 44:20.540]  I see.
[44:21.180 --> 44:24.080]  Like if there's no review, then people will assume I didn't like them.
[44:24.080 --> 44:25.380]  So I'm not going to say it. Maybe I will.
[44:25.520 --> 44:28.480]  Maybe their Facebook account will just unfollow it randomly.
[44:28.900 --> 44:30.160]  They'll be like, it never happened.
[44:30.820 --> 44:31.180]  No.
[44:32.160 --> 44:33.600]  I can't wait to try their food.
[44:34.240 --> 44:40.100]  Before we go too far, Gavin said if we get good at it, we can do this in public places.
[44:40.480 --> 44:44.840]  Do you really think that if somebody walks by and is like, why are you doing this?
[44:45.060 --> 44:46.740]  Say, don't worry, I'm an expert.
[44:46.980 --> 44:50.080]  Like solves any of the issues that would cause being in public.
[44:50.360 --> 44:55.200]  Like what does our skill level or proficiency have to do with publicly doing it?
