[00:15.100 --> 00:15.440]  I
[25:49.620 --> 25:53.200]  We were probably seven bits further by the time... you know what I mean?
[25:53.420 --> 25:54.760]  It's unfortunate.
[25:55.880 --> 25:57.020]  It's so funny.
[25:57.780 --> 26:00.860]  But it's so awesome that we found out. And we get to release these videos now.
[26:01.980 --> 26:03.020]  I don't think we need to.
[26:03.480 --> 26:04.300]  No, we need to.
[26:04.680 --> 26:05.440]  No, we do.
[26:06.380 --> 26:07.260]  They're coming out.
[26:07.640 --> 26:09.460]  I don't think the audience knew they were missing them.
[26:10.100 --> 26:12.820]  We talked about...
[26:12.820 --> 26:16.920]  Didn't we talk about how there were so many baseball videos coming out and I've got my supercut coming?
[26:17.120 --> 26:18.120]  I don't think anyone cared.
[26:18.460 --> 26:19.400]  No, I care.
[26:19.720 --> 26:22.100]  I've been anticipating this for weeks.
[26:22.320 --> 26:25.980]  They probably just saw the two baseball videos that were already out and thought that that's what you meant.
[26:27.080 --> 26:28.060]  Oh, I'm so excited.
[26:28.380 --> 26:31.260]  And then we're putting out stuff like the overkill. Oh, God.
[26:32.420 --> 26:33.420]  But we'll get them out.
[26:33.420 --> 26:34.940]  Oh, man.
[26:35.600 --> 26:44.400]  I wish I had that mechanism internally that allowed me to feel empathy for you in this moment.
[26:44.540 --> 26:45.420]  Because I think I would.
[26:46.280 --> 26:48.840]  I can see why I would.
[26:49.160 --> 26:50.060]  I don't.
[26:50.380 --> 26:50.820]  Clearly.
[26:52.240 --> 26:54.140]  But I kind of wish I did.
[26:54.260 --> 26:55.500]  I wish I felt bad for you right now.
[26:55.520 --> 26:56.840]  Because it seems like you're probably upset.
[26:57.100 --> 26:59.380]  I can imagine how annoying and frustrating that would be.
[26:59.380 --> 27:01.740]  If it was week of...
[27:01.740 --> 27:06.600]  I guess I've forgotten mostly of how busy all that time was.
[27:06.920 --> 27:09.320]  If it was closer to it, I'd probably be more annoyed.
[27:09.400 --> 27:10.660]  I'm not annoyed. It's funny.
[27:11.760 --> 27:13.640]  It's a very us thing to have happened.
[27:14.060 --> 27:14.740]  It is.
[27:15.500 --> 27:16.080]  Oh, man.
[27:21.240 --> 27:25.320]  This ad is brought to you by HelloFresh, America's number one meal kit.
[27:25.720 --> 27:31.740]  With HelloFresh, you get farm-fresh pre-portioned ingredients and seasonal recipes delivered right to your doorstep.
[27:31.740 --> 27:38.520]  Skip trips to the grocery store and count on HelloFresh to make home cooking easy, fun, and affordable.
[27:39.020 --> 27:41.180]  That's why it's America's number one meal kit.
[27:42.000 --> 27:49.300]  Choose from 55-plus weekly options featuring pre-portioned high-quality ingredients picked at peak ripeness.
[27:49.840 --> 27:56.960]  HelloFresh delivers fresh quality produce from the farm to your door in less than a week, so you can savor summer flavors right from home.
[27:56.960 --> 28:02.080]  Select meals from the Taste of Summer series that are sure to become everyone's new favorite,
[28:02.260 --> 28:07.280]  like the Old Bay Shrimp and Sausage Boil and Family Style Grilled Steak Lettuce Wraps.
[28:07.900 --> 28:11.980]  I talk about HelloFresh all the time. I love it. It's awesome. It's so much fun.
[28:12.600 --> 28:16.820]  Getting the boxes cool, making new recipes that always taste delicious is awesome.
[28:17.060 --> 28:20.080]  It's just a fantastic service that I love so much.
[28:20.080 --> 28:31.580]  So please, go to HelloFresh.com slash FACE16 and use code FACE16 for up to 16 free meals and 3 free gifts.
[28:31.940 --> 28:41.080]  That's HelloFresh.com slash FACE16 and use code FACE16 for up to 16 free meals and 3 gifts.
[28:41.460 --> 28:42.400]  Thank you.
[28:43.380 --> 28:47.780]  I love that sound. It's the sound of another sale on Shopify,
[28:47.780 --> 28:52.040]  the all-in-one commerce platform to start, run, and grow your business.
[28:52.720 --> 28:56.440]  Shopify gives entrepreneurs the resources once deserved for big business,
[28:56.600 --> 29:00.820]  so upstarts, startups, and established businesses alike can sell everywhere,
[29:01.380 --> 29:05.580]  synchronize online and in-person sales, and effortlessly stay informed.
[29:06.180 --> 29:08.580]  Scaling your business is a journey of endless possibility.
[29:09.140 --> 29:13.800]  Believe me, this podcast started out selling t-shirts, and today we're selling grown tubes.
[29:13.800 --> 29:18.980]  And we're not stopping there, because success is a million milestones on a forever evolving path.
[29:19.560 --> 29:23.280]  Shopify powers millions of businesses from first sale to full scale.
[29:23.940 --> 29:29.660]  Reach customers online and across social networks with an ever-growing suite of channel integrations and apps,
[29:29.820 --> 29:34.860]  including Facebook, Instagram, TikTok, Pinterest, and more.
[29:35.480 --> 29:37.700]  Synchronize your online and in-person sales.
[29:37.700 --> 29:43.920]  Gain insights as you grow with detailed reporting of conversion rates, profit margins, and beyond.
[29:44.500 --> 29:47.420]  More than a store, Shopify grows with you.
[29:48.200 --> 29:50.720]  This is possibility powered by Shopify.
[29:51.320 --> 29:57.400]  Go to shopify.com slash face all lowercase for a free 14-day trial
[29:57.400 --> 30:01.540]  and get full access to Shopify's entire suite of features.
[30:01.540 --> 30:08.280]  Grow your business with Shopify today. Go to shopify.com slash face right now.
[30:08.700 --> 30:11.800]  Shopify.com slash face.
[30:12.760 --> 30:15.700]  Now a word from our sponsor, BetterHelp.
[30:16.520 --> 30:19.520]  It's so important to have methods that can help your mental health.
[30:20.020 --> 30:24.440]  I know for me, when I'm working through something, I found listening to music to be incredibly helpful.
[30:24.820 --> 30:29.540]  It allows me to be present while comfortably processing things in a way that other media doesn't,
[30:29.540 --> 30:35.240]  even though I love movies and video games, it's just a different experience I have when I'm listening to music.
[30:35.880 --> 30:38.660]  There's also BetterHelp online therapy.
[30:39.320 --> 30:43.040]  I've talked about it a lot, but therapy is something that has made a real impact in my life,
[30:43.100 --> 30:45.420]  so it's always something I would highly recommend trying.
[30:46.300 --> 30:49.180]  BetterHelp offers a large variety of communication methods,
[30:49.320 --> 30:51.860]  so you don't have to see anyone on camera if you don't want to.
[30:52.380 --> 30:58.060]  It's much more affordable than in-person therapy, and you can be matched with a therapist within 48 hours.
[30:58.880 --> 31:04.960]  Our listeners get 10% off their first month at BetterHelp.com slash face.
[31:05.340 --> 31:10.380]  That's BetterHelp.com slash face.
[31:12.640 --> 31:15.240]  Hey, I saw a comment the other day.
[31:15.400 --> 31:21.820]  I didn't write down who said it, unfortunately, but somebody said that it was their suspicion
[31:23.300 --> 31:33.040]  that future Gavin came back in time, climbed a tree, and threw the branch at past Gavin and framed me.
[31:33.180 --> 31:37.060]  So I have a question. Why is future Gavin trying to frame current Geoff?
[31:37.200 --> 31:38.640]  What does future you have against me?
[31:38.840 --> 31:41.460]  Because he fucking ignored his feedback on the baseball video?
[31:41.600 --> 31:43.600]  Is this how it starts?
[31:43.600 --> 31:44.160]  It's this.
[31:47.020 --> 31:51.540]  Yeah, if I'd have just heard, and that's for the baseballs, after I got hit, that would have been confusing.
[31:53.120 --> 31:58.600]  Yeah, I wonder why. I must have needed to move. Or maybe I was about to get sunburned or something.
[31:58.900 --> 32:04.700]  You were either saving your life, but I don't know why I'm getting the heat for it, like it was me, because I clearly didn't do it.
[32:05.020 --> 32:07.900]  I don't think there's any way I could have known you would take the heat for it, though.
[32:08.580 --> 32:10.880]  I mean, you knew everything. You were in the future.
[32:11.520 --> 32:11.960]  That's true.
[32:11.960 --> 32:15.100]  Does that mean it happened before this episode, though, or after?
[32:15.760 --> 32:17.840]  Do you have the power to time travel currently?
[32:17.980 --> 32:18.940]  That's a good point.
[32:19.080 --> 32:23.540]  Unless you just let something slip.
[32:25.080 --> 32:30.400]  That means... okay, so it's gonna have to be pretty soon, though, because I don't know whether I'm gonna be able to climb trees for that much longer.
[32:31.940 --> 32:35.320]  I'm not gonna be coming back in my 70s and do it, am I?
[32:36.060 --> 32:39.640]  I was thinking about, like, old people things.
[32:39.640 --> 32:43.340]  Have you ever heard a whippersnapper, like, unironically, in the wild?
[32:43.500 --> 32:45.020]  I don't think I've ever heard... really?
[32:45.580 --> 32:45.700]  Yeah.
[32:45.820 --> 32:48.240]  I'd love to be called a whippersnapper. What was the context?
[32:48.660 --> 32:51.240]  I mean, people used to say... dude, I'm so old.
[32:51.420 --> 32:54.660]  Like, I grew up in the late, late 70s and early 80s.
[32:54.920 --> 32:58.040]  People said shit... old people in Alabama said shit like that all the time.
[32:58.200 --> 32:58.520]  Really?
[32:59.260 --> 33:02.700]  Sport, and chief, and champ, and whippersnapper, yeah, all that stuff.
[33:04.320 --> 33:08.320]  Oh, that'd be great. I'd love to... I don't think there's any... I guess it's an insult.
[33:08.320 --> 33:12.040]  I think if I was going to be called an insult, that's probably number one on my big board.
[33:12.500 --> 33:13.880]  I don't think I've ever been called a whippersnapper.
[33:13.940 --> 33:14.140]  Is it an insult?
[33:14.140 --> 33:17.940]  I don't think it's an insult. I think it's more of, like, just a terminology for, like, a rambunctious kid.
[33:18.080 --> 33:19.920]  Like, oh, you whippersnapper. Yeah, you little rascal.
[33:19.920 --> 33:24.640]  But I feel like it's typically used in the context of, I'm sick of this kid. This asshole.
[33:25.440 --> 33:25.880]  Not in my experience.
[33:25.900 --> 33:28.020]  I feel like there's a negative connotation. Really? Interesting.
[33:28.460 --> 33:28.540]  Yeah.
[33:28.540 --> 33:32.920]  My perception of whippersnappers is totally off. Is it... is there an age limit?
[33:33.140 --> 33:35.520]  When do you exceed the line of whippersnapper?
[33:35.920 --> 33:37.820]  When do you age out of whippersnapper?
[33:37.820 --> 33:39.620]  But, like, is that...
[33:39.620 --> 33:42.980]  Age... sooner than aging out of climbing trees, I think.
[33:44.140 --> 33:49.120]  I was trying to figure out, is it dependent on the person saying it, or is there a clear line?
[33:49.480 --> 33:52.220]  Like, if they're 100, does the bar move?
[33:53.480 --> 34:01.000]  Because I would say if somebody who's, like, 70, they're probably maybe, like, 11 or 12, I'd assume is the cutoff.
[34:01.060 --> 34:06.940]  If they're, like, 100, I feel like it would be appropriate for them to call, like, a 20-year-old a whippersnapper.
[34:06.940 --> 34:11.340]  I bet a 100-year-old person has called a 70-year-old a whippersnapper.
[34:11.620 --> 34:11.920]  Probably.
[34:12.320 --> 34:12.460]  I think so.
[34:13.240 --> 34:14.340]  Yeah, I think that's happened.
[34:15.020 --> 34:18.800]  Well, I will say, Andrew, I think you are more right than I was.
[34:19.040 --> 34:32.480]  I don't ever remember being used derogatorily, but Dictionary Kid says that a whippersnapper is a young, impertinent, and irritatingly overconfident person.
[34:32.860 --> 34:34.280]  So I guess it is negative.
[34:34.900 --> 34:38.320]  Yeah, well, I always feel like these damn whippersnappers...
[34:38.320 --> 34:40.480]  I guess I've only heard it ironically.
[34:40.700 --> 34:46.500]  That's what I mean, but even in the ironic context, I feel like it's aimed at somebody who's doing something against the person saying it.
[34:46.800 --> 34:51.600]  Did you see that picture recently of the Queen coming out on her balcony, stood next to Prince Charles?
[34:51.780 --> 34:56.820]  It's basically an old woman stood next to an old man, but it's her kid.
[34:57.100 --> 34:58.640]  But I bet she could call him a whippersnapper.
[34:59.460 --> 35:03.260]  Gavin, I don't know if this is, like, a not-British DNA thing.
[35:03.260 --> 35:06.740]  I don't think I've ever just come across a photo of the Queen, ever.
[35:08.020 --> 35:10.300]  Me seeing the Queen never comes into play.
[35:10.340 --> 35:12.440]  It was in the news. It was a big jubilee.
[35:12.540 --> 35:13.660]  Yeah, it was the Platinum Jubilee.
[35:13.980 --> 35:15.820]  I don't know. I have no idea.
[35:15.880 --> 35:17.020]  You don't know about the Platinum Jubilee?
[35:18.700 --> 35:20.380]  I'm aware of Platinum Games.
[35:21.500 --> 35:23.740]  I don't know of Platinum Jubilee.
[35:23.860 --> 35:28.320]  This year was the 70th anniversary of her reign as monarch.
[35:29.160 --> 35:30.160]  That's right, right, Gavin?
[35:30.520 --> 35:31.560]  I'm not getting this wrong.
[35:31.560 --> 35:34.160]  I mean, complete respect to her.
[35:34.600 --> 35:37.720]  You couldn't measure how insignificant that is to me.
[35:38.040 --> 35:39.860]  Fuck it, I couldn't care less. Who cares?
[35:40.240 --> 35:42.460]  I think she's the second longest living monarch.
[35:42.980 --> 35:44.180]  I couldn't care less.
[35:44.740 --> 35:45.860]  Well, I mean, you don't have to...
[35:45.860 --> 35:48.560]  I'm just saying, it was in the damn news.
[35:48.940 --> 35:51.040]  It's not in my world. I didn't see that news.
[35:51.280 --> 35:52.980]  That's not the picture that comes across my sheet.
[35:53.540 --> 35:54.560]  Oh, shit. What the...
[35:55.100 --> 35:56.840]  Aren't you part of England or something?
[35:57.320 --> 35:58.920]  I saw her with Paddington Bear.
[35:59.320 --> 35:59.840]  That was cool.
[35:59.980 --> 36:00.720]  She's on your money.
[36:00.720 --> 36:02.220]  Yeah, aren't you guys...
[36:02.220 --> 36:02.880]  Aren't you British?
[36:03.680 --> 36:05.720]  Yeah, but I don't use...
[36:06.480 --> 36:07.960]  Oh, what a cute photo.
[36:08.600 --> 36:09.560]  That is a nice photo.
[36:09.800 --> 36:11.720]  The guy on the left, that's a kid.
[36:12.280 --> 36:14.320]  And the guy to her right...
[36:14.320 --> 36:16.160]  Well, he murdered his wife, right?
[36:16.800 --> 36:17.840]  Didn't he kill his wife?
[36:19.020 --> 36:19.940]  Prince William?
[36:20.820 --> 36:21.820]  On the right.
[36:22.260 --> 36:23.540]  Her right, not my right.
[36:23.940 --> 36:25.500]  The kid?
[36:25.780 --> 36:27.320]  No, not the kid.
[36:28.560 --> 36:29.980]  Who is he?
[36:29.980 --> 36:30.940]  Prince Charles?
[36:31.840 --> 36:32.360]  Charles?
[36:33.920 --> 36:35.420]  Didn't Charles kill Diana?
[36:35.900 --> 36:36.260]  No!
[36:37.200 --> 36:39.040]  I thought he killed her. I'm sorry.
[36:39.480 --> 36:43.300]  She died running from paparazzi in a tunnel with Dodi Fayed.
[36:44.060 --> 36:47.880]  I feel like I've heard that he killed her.
[36:47.980 --> 36:52.260]  Dude, there is a conspiracy theory for every celebrity death ever made.
[36:52.360 --> 36:53.760]  But that's not a large one, I don't think.
[36:54.540 --> 36:56.640]  Yeah, that guy... Charles is her son.
[36:57.240 --> 36:58.620]  So the picture's left, but...
[36:58.620 --> 37:01.300]  Yeah, that's Charles and Camilla.
[37:02.220 --> 37:02.660]  Yeah.
[37:03.540 --> 37:05.640]  Didn't he cheat on Diana with Camilla?
[37:05.980 --> 37:06.220]  Yes.
[37:06.760 --> 37:07.880]  So that's right.
[37:08.580 --> 37:11.480]  Why don't you just start saying allegedly every time you have peed your mouth?
[37:11.620 --> 37:13.080]  Well, I'm asking questions.
[37:13.260 --> 37:15.120]  I'm not saying these as facts.
[37:15.300 --> 37:16.880]  I phrase both of these as questions.
[37:17.160 --> 37:21.520]  I feel like I need to step in and say this before you go too far down this road, Andrew.
[37:22.180 --> 37:26.380]  Just so you know, Gavin knows next to nothing about England.
[37:26.380 --> 37:30.780]  So his English knowledge is brutally limited.
[37:30.940 --> 37:31.980]  I've learned over the years.
[37:32.120 --> 37:35.100]  So just take some of the stuff he says with a grain of salt.
[37:35.500 --> 37:36.380]  Ask me a question, Andrew.
[37:38.700 --> 37:40.360]  I don't even know what to ask.
[37:40.560 --> 37:42.920]  Are those William's kids?
[37:43.100 --> 37:44.980]  I think that's William to the left, right?
[37:45.080 --> 37:47.660]  That's William and Kate.
[37:48.060 --> 37:49.080]  Yep, that's the kids.
[37:50.600 --> 37:54.160]  I keep wanting to say McKinnon, but it's definitely not Kate McKinnon.
[37:54.700 --> 37:54.980]  Middleton.
[37:55.580 --> 37:57.060]  Middleton, yeah.
[37:57.840 --> 37:59.580]  Okay, those are their kids.
[38:00.260 --> 38:04.080]  And you're saying that she could refer to those kids as whippersnappers.
[38:04.780 --> 38:05.260]  What?
[38:05.680 --> 38:10.140]  She could refer to her son, who's next to her, who's 70 years old, as a whippersnapper.
[38:10.140 --> 38:12.100]  The queen could call Charles a whippersnapper.
[38:12.180 --> 38:12.600]  Got it.
[38:12.640 --> 38:14.380]  It's like an ironic...
[38:15.040 --> 38:15.540]  Understood.
[38:16.880 --> 38:18.920]  I don't know anything about the royal family.
[38:19.180 --> 38:19.980]  They're not part of my world.
[38:19.980 --> 38:21.920]  How does Geoff know more about it than you, though?
[38:21.920 --> 38:24.500]  It's not part of my world.
[38:24.720 --> 38:25.360]  It's the Commonwealth.
[38:26.100 --> 38:28.660]  I don't know what to tell you. I don't think about them at all.
[38:29.100 --> 38:31.480]  It's literally more part of your world than mine.
[38:31.900 --> 38:36.640]  I just know about shit because, well, A, I was in London a month ago and they were setting up for the Platinum Jubilee.
[38:37.580 --> 38:41.500]  But B, I just pay attention to the world and what's happening in it.
[38:41.800 --> 38:44.380]  I guess my world doesn't contain the royal family.
[38:44.620 --> 38:46.880]  It literally does, though. You're a part of the British Commonwealth.
[38:47.560 --> 38:49.880]  Yeah, but it's not in my peripheral.
[38:49.880 --> 38:52.000]  I get what you're saying, but it's just...
[38:52.000 --> 38:52.200]  It's in your wallet.
[38:53.160 --> 38:55.600]  No, I don't have any cash on me.
[38:55.600 --> 38:56.880]  Okay. Alright.
[38:57.780 --> 38:59.700]  Andrew's heavily invested in altcoin.
[38:59.860 --> 39:00.880]  He pays for everything with Dogecoin.
[39:00.880 --> 39:03.740]  No, I'm not. Absolutely not.
[39:03.800 --> 39:06.240]  I could tell you about Bayonetta, Platinum Games.
[39:06.420 --> 39:07.640]  I know a lot about Platinum Games.
[39:08.180 --> 39:08.920]  Bayonetta 2?
[39:09.300 --> 39:09.640]  Okay.
[39:10.320 --> 39:13.700]  Nier Automata? Is that how you say that one?
[39:14.040 --> 39:17.680]  They make great games. I just don't know anything about Platinum Jubilee.
[39:17.680 --> 39:21.920]  Is that just a title that she got for reigning so long, or what is...?
[39:21.920 --> 39:25.580]  Well, Platinum is just like a... you know how people have wedding anniversaries and stuff?
[39:26.260 --> 39:26.840]  I see.
[39:27.200 --> 39:29.780]  Like a golden anniversary. Usually different decades.
[39:30.320 --> 39:33.320]  Do you think the Queen ever used her gold-plated Wii?
[39:34.260 --> 39:37.600]  There's some video game company that... there was some other anniversary of hers.
[39:37.740 --> 39:39.000]  They sent her a gold Wii.
[39:39.700 --> 39:40.640]  Do you think she ever got that?
[39:40.900 --> 39:44.120]  Do you think the Queen has ever played Wii Bowling?
[39:45.200 --> 39:45.680]  Uh...
[39:45.680 --> 39:46.980]  I feel like absolutely.
[39:47.220 --> 39:47.720]  I bet she gave it a go.
[39:48.080 --> 40:05.180]  I bet there is a whole wing of Buckingham Palace where dignitaries and foreign leaders and kings and queens of other monarchies have given gifts to the royal family that just get chucked in... like, throw it in that room.
[40:05.520 --> 40:08.360]  They get so much of it. I'm sure she doesn't see 90% of it.
[40:08.620 --> 40:11.160]  Yeah, I don't think she... I also don't think she needs any more gold.
[40:11.300 --> 40:12.240]  So she probably didn't even...
[40:12.240 --> 40:15.420]  So is it Nintendo or another company just did that?
[40:15.980 --> 40:18.360]  I think a different company did that. I don't think it was Nintendo.
[40:19.220 --> 40:20.880]  I think they were trying to promote their game.
[40:20.980 --> 40:21.980]  I don't remember what it was for.
[40:22.080 --> 40:24.080]  It was like a $250,000 Wii or something.
[40:24.520 --> 40:24.780]  Jesus.
[40:25.600 --> 40:31.580]  So would you say that the Queen has more or less gifts than Price is Right winners have prizes?
[40:32.180 --> 40:33.900]  If you're going to measure those against each other.
[40:34.020 --> 40:34.460]  More.
[40:34.920 --> 40:35.440]  Way more.
[40:37.360 --> 40:40.240]  And she doesn't have to pay all the tax on it.
[40:40.240 --> 40:41.820]  I bet the Queen...
[40:41.820 --> 40:47.160]  I bet the Queen could have a tag sale at Buckingham Palace that would blow you away.
[40:47.860 --> 40:50.640]  Do you think the Queen would be interested in a metal bread clip?
[40:51.300 --> 40:52.600]  She might. I don't know.
[40:52.900 --> 40:54.640]  I just watched Martha Stewart's...
[40:54.640 --> 40:55.140]  Let's make a gold bread clip.
[40:55.520 --> 40:58.340]  I just watched Martha Stewart's Great American Yard Sale or whatever.
[40:58.480 --> 40:59.600]  I don't know why the Queen wouldn't do it.
[41:00.160 --> 41:02.960]  Martha Stewart is the closest thing to American royalty we have.
[41:03.380 --> 41:04.320]  What was she getting rid of?
[41:04.840 --> 41:06.300]  Dude, she got rid of so much stuff.
[41:06.920 --> 41:09.300]  She got rid of a lot of different cutlery.
[41:09.300 --> 41:11.620]  She got rid of some really old knives.
[41:11.760 --> 41:14.460]  She got rid of a bunch of really pretty plates.
[41:14.660 --> 41:15.640]  And furniture.
[41:16.380 --> 41:17.620]  Like chest of drawers.
[41:17.940 --> 41:19.220]  I don't know. You watch it. It's on Hulu.
[41:19.340 --> 41:19.920]  I watch the whole thing.
[41:22.360 --> 41:24.240]  So all that came from whippersnappers, huh?
[41:24.980 --> 41:25.440]  I guess.
[41:28.320 --> 41:29.300]  What a fucking...
[41:30.580 --> 41:31.780]  Do you think...
[41:31.780 --> 41:33.940]  This is another thought I had recently.
[41:34.160 --> 41:34.440]  Uh oh.
[41:34.640 --> 41:37.040]  Do you think anyone has stolen
[41:37.040 --> 41:38.900]  the equivalent of what
[41:38.900 --> 41:40.920]  somebody has made in Oceans 11
[41:40.920 --> 41:42.180]  in small goods?
[41:42.700 --> 41:45.020]  What's the most value amount somebody has
[41:45.020 --> 41:47.160]  stolen? I don't know, like going into Walmart
[41:47.160 --> 41:48.360]  and stealing an apple.
[41:48.820 --> 41:49.700]  Scrumping an apple.
[41:49.940 --> 41:51.880]  Or a chocolate bar.
[41:52.120 --> 41:54.160]  Something very cheap.
[41:54.460 --> 41:56.220]  Low value but extreme quantities.
[41:56.320 --> 41:58.320]  Low value but extreme quantities.
[41:58.480 --> 42:00.840]  Has somebody gotten what would be the equivalent
[42:00.840 --> 42:02.980]  of a cut of an Oceans heist
[42:02.980 --> 42:05.060]  throughout their life in apples
[42:05.060 --> 42:07.140]  or candy? Small items.
[42:07.280 --> 42:08.520]  What's the most anyone
[42:09.000 --> 42:11.020]  without getting caught has successfully
[42:11.020 --> 42:12.400]  stolen in small quantities?
[42:13.240 --> 42:15.280]  Would that even be feasible? Could you steal
[42:15.280 --> 42:16.480]  enough, let's just say
[42:16.480 --> 42:18.980]  I don't know, like bottles of soda
[42:18.980 --> 42:19.920]  or candy bars?
[42:20.240 --> 42:22.540]  Wasn't that kind of the plot of Authorspace?
[42:22.880 --> 42:24.240]  To steal tenths of a cent?
[42:24.340 --> 42:25.380]  It was, yeah.
[42:25.780 --> 42:28.260]  But that was like a digital...
[42:28.260 --> 42:29.900]  That was like how they were moving pennies.
[42:29.960 --> 42:32.000]  There was no physical transaction in that.
[42:32.000 --> 42:34.020]  I'm just imagining, you know how like a serial
[42:34.020 --> 42:36.100]  killer has their trophies? Like a guy that only
[42:36.100 --> 42:37.560]  steals like, oh, Henry Bars
[42:37.560 --> 42:40.220]  has like 20,000 wrappers in his house.
[42:41.540 --> 42:42.140]  What if
[42:42.140 --> 42:44.140]  someone went around and took
[42:44.140 --> 42:45.960]  all of the first dollars from every
[42:45.960 --> 42:47.540]  business? Like the Frames store.
[42:49.000 --> 42:49.900]  I wonder how many
[42:49.900 --> 42:51.940]  first... I wonder how rich you would be if you had
[42:51.940 --> 42:53.560]  every first dollar in the world.
[42:54.380 --> 42:55.660]  I'd be really rich.
[42:56.740 --> 42:58.040]  I saw... You'd obviously have to frame the
[42:58.040 --> 42:59.980]  first one you stole. This is a
[42:59.980 --> 43:01.700]  little bit of an aside, but it reminded me.
[43:01.840 --> 43:03.900]  I saw the other day that Shaq
[43:03.900 --> 43:06.060]  said he had the largest single purchase
[43:06.060 --> 43:07.860]  in the history of Walmart. Wow.
[43:08.320 --> 43:10.000]  Wow. I don't know if it's true or how
[43:10.000 --> 43:11.980]  it was verified, but apparently he was
[43:11.980 --> 43:13.220]  saying when he got traded... What, he'd buy at Walmart?
[43:13.440 --> 43:15.540]  When he got traded from Orlando to Phoenix,
[43:16.100 --> 43:17.700]  he got to Phoenix and had nothing.
[43:17.820 --> 43:19.740]  And he just said, I'm gonna buy everything I need.
[43:19.780 --> 43:21.840]  And he went to Walmart at like three in the morning
[43:21.840 --> 43:23.540]  and spent... bought $70,000
[43:23.540 --> 43:25.940]  worth of stuff in one purchase
[43:25.940 --> 43:27.940]  from Walmart. That was back when he played
[43:27.940 --> 43:30.000]  for Phoenix, so it's possible some other
[43:30.000 --> 43:31.920]  person has spent more
[43:31.920 --> 43:33.700]  at Walmart since then, but
[43:33.700 --> 43:35.840]  according to him, when he played for the
[43:35.840 --> 43:37.420]  Phoenix Suns, he had the largest
[43:37.960 --> 43:39.680]  single purchase in the history of...
[43:39.680 --> 43:42.100]  He thought, I'll give money to the richest
[43:42.100 --> 43:43.180]  family in America. Yeah.
[43:43.940 --> 43:46.060]  Could you imagine trying to park a moving
[43:46.060 --> 43:48.060]  truck in a standard parking space?
[43:52.020 --> 43:53.500]  You'd just have to take a whole row.
[43:53.740 --> 43:55.880]  And people couldn't even be mad at it. I love the idea of
[43:55.880 --> 43:57.920]  Shaq, like, parking his moving truck
[43:57.920 --> 43:59.660]  to the front of Walmart. Just be like,
[43:59.740 --> 44:01.960]  we're loading up. I need chairs, I need
[44:01.960 --> 44:03.960]  tables, I need lights.
[44:04.940 --> 44:05.580]  $70,000?
[44:05.860 --> 44:07.180]  Does that, like, go through a checkout?
[44:07.700 --> 44:10.080]  Yeah. He said he, like, paid for it with his...
[44:10.080 --> 44:11.880]  Like, so I didn't... I was kind of, like, half
[44:11.880 --> 44:13.660]  listening. It was... I was doing something else at the time.
[44:14.060 --> 44:15.840]  But he said that his credit card got
[44:15.840 --> 44:17.780]  declined. And he was like, run it again.
[44:17.820 --> 44:19.800]  I ain't poor. And then they tried again and his credit
[44:19.800 --> 44:21.980]  card got declined. And then he had to call, like, American Express
[44:21.980 --> 44:24.000]  or whoever and, like, convince them that it was him.
[44:24.000 --> 44:26.060]  And he said he got a call and they were like, Shaq, you're never
[44:26.060 --> 44:28.240]  gonna believe this, but somebody just tried to spend $70,000
[44:28.240 --> 44:30.040]  of your money at Walmart. And he's like, I'm
[44:30.040 --> 44:31.960]  that guy, it's me. So they proved it.
[44:34.160 --> 44:36.240]  Eric said, imagine being behind him in line.
[44:36.440 --> 44:38.180]  That'd be great. How many shopping
[44:38.180 --> 44:39.080]  carts he would need?
[44:40.740 --> 44:42.160]  Or the idea of him trying to, like,
[44:42.240 --> 44:43.740]  sneak in Express Checkout.
[44:44.180 --> 44:46.020]  Like, it crosses the line of
[44:46.020 --> 44:48.100]  so absurd that you just have to allow it.
[44:48.400 --> 44:49.920]  He said he bought... He was like, I bought, like, seven
[44:49.920 --> 44:52.160]  TVs, you know, all stereos.
[44:52.160 --> 44:53.740]  I had to buy, like, underwear, toothpaste,
[44:54.080 --> 44:56.200]  T-shirts, plates. Like, he bought
[44:56.200 --> 44:58.100]  an entire life. Like, everything a person
[44:58.100 --> 45:00.200]  would need to live. I guess he just left everything else
[45:00.200 --> 45:01.780]  in Orlando and was like, I'll see you eventually.
[45:02.500 --> 45:04.280]  Seven TVs. Yeah, I was about to say
[45:04.280 --> 45:06.020]  I love the idea of, I'm getting all the essentials.
[45:06.260 --> 45:08.140]  Seven TVs. We're opening with seven
[45:08.140 --> 45:09.760]  TVs. Need seven of those.
[45:10.340 --> 45:12.180]  What could you do with seven? Yeah, not
[45:12.180 --> 45:13.480]  start with one.
[45:13.940 --> 45:16.080]  We'll see how many more I need. Just start with seven.
[45:16.560 --> 45:18.140]  You're really committed to the tech
[45:18.140 --> 45:20.240]  of that time, too. Not to, like,
[45:20.240 --> 45:22.500]  we've had TV talk recently, but TVs
[45:22.500 --> 45:24.100]  I feel like are changing, like, every
[45:24.100 --> 45:26.340]  five years. Like, buying all
[45:26.340 --> 45:28.300]  seven at the same time is a decision.
[45:28.560 --> 45:30.560]  Alright, I gotta figure out what year it was
[45:30.560 --> 45:32.660]  that he... Yeah, they could have been CRTs.
[45:32.880 --> 45:33.460]  Hold on a second. Yeah.
