[00:13.210 --> 00:15.090]  Yeah! That's okay.
[16:42.180 --> 16:44.220]  Tatis card. I didn't want to say that it was a rookie
[16:44.220 --> 16:45.780]  because I wasn't sure, but I thought it was.
[16:47.020 --> 16:48.160]  It's not crazy,
[16:48.380 --> 16:50.160]  but it's, you know, it's a Tatis
[16:50.160 --> 16:52.260]  rookie. Yeah, no, that's sweet. I think
[16:52.260 --> 16:53.640]  the real get
[16:54.220 --> 16:54.800]  is the
[16:57.360 --> 16:58.440]  story we learned
[16:58.440 --> 17:00.120]  about Reese McGuire jerking off
[17:00.120 --> 17:02.120]  in a parking lot. The auto
[17:03.300 --> 17:04.100]  on card
[17:04.920 --> 17:06.440]  of Reese McGuire.
[17:10.320 --> 17:10.640]  So
[17:10.640 --> 17:12.100]  when we get our permanent set,
[17:12.100 --> 17:14.380]  we're going to have on the wall, we're going to be able to put
[17:14.380 --> 17:16.120]  our favorite. We're going to have our official collection.
[17:16.960 --> 17:18.100]  That one's going on there.
[17:18.360 --> 17:20.460]  Oh boy. Well, thank you, Joel.
[17:20.720 --> 17:21.820]  I appreciate that, man.
[17:22.140 --> 17:22.960]  These were great.
[17:23.980 --> 17:26.400]  We got to add this Zimmer to the pile.
[17:26.780 --> 17:28.240]  Look at that. We got a Zimmer, man.
[17:28.320 --> 17:29.800]  Isn't that cool? That's so great.
[17:30.100 --> 17:32.380]  Man, thank you, Joel. Appreciate you. Yeah, Joel, you're the best.
[17:32.460 --> 17:34.380]  Thank you. Wow. If you want to send us
[17:34.380 --> 17:36.380]  stuff, you can. 1901 East 51st
[17:36.380 --> 17:37.900]  Street, Austin, Texas 78723.
[17:38.120 --> 17:40.020]  Just address it to fuckfacebreakshit.
[17:40.160 --> 17:42.280]  That's fine. Doesn't have to be
[17:42.280 --> 17:43.640]  related to jerking off, but
[17:44.900 --> 17:46.400]  who are we to judge? Not everything has
[17:46.400 --> 17:48.180]  to have a crazy story. Some can be cool cards,
[17:48.300 --> 17:50.160]  stuff that you find. We've had some good stuff
[17:50.160 --> 17:51.880]  that are sent, but I will say
[17:51.880 --> 17:54.060]  that the guy jerking off
[17:54.500 --> 17:56.360]  is the funniest card
[17:56.360 --> 17:57.540]  I've seen on this show.
[18:00.880 --> 18:02.500]  He wasn't jerking off in the photo.
[18:02.660 --> 18:04.580]  No, but he signed the card.
[18:05.680 --> 18:06.740]  I'm going to go ahead and open up
[18:06.740 --> 18:08.520]  while we're doing mail. Yeah, let's do it.
[18:08.620 --> 18:11.020]  I got a letter. This is from Jason M.
[18:11.960 --> 18:12.700]  He said, my wife and I
[18:12.700 --> 18:14.560]  took a trip from San Diego
[18:14.560 --> 18:16.920]  to L.A. this weekend. San Diego, that's where you're from. Hey, that's where I'm from.
[18:17.120 --> 18:18.620]  You're a big... we'll talk about this
[18:18.620 --> 18:20.800]  tomorrow on fuckface, but you're a big water guy in San Diego.
[18:21.520 --> 18:22.600]  He went out to L.A. for the
[18:22.600 --> 18:24.600]  past weekend, and while he was up there, he went to the last book
[18:24.600 --> 18:26.480]  shop, which I've heard a lot about and
[18:26.480 --> 18:28.560]  have yet to go to, and found these
[18:28.560 --> 18:30.700]  cards here. Hope you have some good finds
[18:30.700 --> 18:32.720]  that Eric may remember from his childhood.
[18:32.720 --> 18:34.720]  From my childhood? Kind of related
[18:34.720 --> 18:36.720]  to you. Okay. And so, I thought
[18:36.720 --> 18:37.900]  that was pretty exciting. Okay.
[18:38.720 --> 18:40.800]  Here we got a pack of cards from the
[18:40.800 --> 18:42.420]  San Diego Zoo!
[18:43.420 --> 18:44.960]  World famous San Diego Zoo.
[18:44.980 --> 18:46.860]  It is the best zoo I've ever been to.
[18:47.000 --> 18:48.280]  I will say, when I was a kid
[18:48.280 --> 18:50.800]  in Alabama, the San Diego Zoo was the one
[18:50.800 --> 18:52.880]  you hear about. It is... it's a great
[18:52.880 --> 18:54.180]  zoo. It's a really
[18:54.720 --> 18:56.780]  great zoo. I went not too long ago. How long?
[18:57.240 --> 18:58.640]  Probably like last year. Really?
[18:58.760 --> 19:00.340]  How many times would you say you've been in your life?
[19:00.780 --> 19:02.260]  Oh my god. Dozens?
[19:02.460 --> 19:04.140]  Because we would go for like school field trips every year.
[19:04.500 --> 19:06.460]  That's where we would go. It would just be
[19:06.460 --> 19:08.360]  like the SeaWorld or the Zoo.
[19:08.740 --> 19:09.500]  When you
[19:10.700 --> 19:12.440]  did go to the Zoo, do you remember running
[19:12.440 --> 19:14.480]  into either of those two characters? Yeah, I remember
[19:14.480 --> 19:15.100]  the guy with the mustache.
[19:16.340 --> 19:18.460]  I don't remember the cats. Then there's
[19:18.460 --> 19:19.900]  this guy. Oh, elephant.
[19:20.160 --> 19:21.560]  Got an elephant. Oh!
[19:22.340 --> 19:24.360]  Ew, what? Here's a baby condor.
[19:24.420 --> 19:26.060]  Why did you... look at that!
[19:26.340 --> 19:28.180]  What the fuck? It's a little baby.
[19:28.180 --> 19:30.160]  No! It's a little baby California
[19:30.160 --> 19:31.960]  condor. That's you from California.
[19:32.120 --> 19:34.040]  That's your birthright. Yeah, they were almost
[19:34.040 --> 19:35.820]  gone. There was almost no more of those.
[19:35.940 --> 19:38.200]  Now there's a bunch, so that's nice. It's because people like you didn't
[19:38.200 --> 19:40.040]  think they were cute. Well, look at this fucking... gross.
[19:42.300 --> 19:44.080]  Horticulture fact card. Love it.
[19:44.620 --> 19:45.840]  Oh, shit, dude.
[19:45.980 --> 19:48.120]  Sun bear? This is pretty cool. Eurasian
[19:48.120 --> 19:49.440]  brown bear. That was close.
[19:49.900 --> 19:51.240]  Fucking solid blue background.
[19:52.100 --> 19:53.720]  Don't like this. One bit.
[19:54.220 --> 19:55.020]  Don't care about that.
[19:55.020 --> 19:56.540]  Sort of...
[19:56.540 --> 19:57.720]  fucking another one.
[19:59.060 --> 20:00.900]  Fucking another. And then here's a bird that would
[20:00.900 --> 20:03.080]  eat the snakes. Yeah, here's a marabou
[20:03.080 --> 20:04.900]  stork. See, he would eat snakes
[20:04.900 --> 20:06.800]  probably. That seems right.
[20:07.000 --> 20:07.640]  Looks like Gavin.
[20:09.060 --> 20:09.300]  Oh.
[20:10.980 --> 20:13.000]  Dude, that's awesome. Thank you for the
[20:13.000 --> 20:14.580]  zoo card. That's a great send.
[20:14.940 --> 20:16.640]  That was a lot of fun. I got some more.
[20:16.680 --> 20:19.040]  Let's do it. I have a bunch
[20:19.040 --> 20:21.000]  that's a little bit older than this that I haven't gotten
[20:21.000 --> 20:22.500]  to. I can't believe we got a zimmer.
[20:22.500 --> 20:24.840]  I can't believe we actually got it. That is so cool.
[20:25.260 --> 20:26.340]  It's pretty fucking rad.
[20:26.580 --> 20:29.460]  Oh, this one doesn't have any...
[20:29.460 --> 20:31.020]  There's no note or anything?
[20:31.040 --> 20:32.520]  I think this person talked to me on Twitter, though.
[20:33.040 --> 20:34.320]  And mentioned that they had this. These are crazy.
[20:34.480 --> 20:36.720]  Will you set those down so we can see them? So these are Taco Bell
[20:36.720 --> 20:39.000]  NBA hoops cards. What is this?
[20:39.620 --> 20:40.740]  I've heard of these.
[20:40.860 --> 20:42.320]  So Panini doesn't have...
[20:42.320 --> 20:44.540]  Panini's named after a sandwich. Doesn't have the
[20:44.540 --> 20:46.480]  MLB license, but has the Taco Bell
[20:46.480 --> 20:48.480]  license? In 2012, 2013
[20:48.480 --> 20:50.600]  they did. Now, Eric, do me a favor.
[20:50.960 --> 20:52.840]  Look up who were the top NBA rookies
[20:52.840 --> 20:55.680]  in 2012, because off the top of my head, I cannot...
[20:55.680 --> 20:56.500]  You want me to just look up
[20:56.500 --> 20:58.600]  rookie of the year? Rookie of the year 2012.
[20:59.860 --> 21:00.120]  Okay.
[21:01.700 --> 21:02.580]  You got it.
[21:03.940 --> 21:04.580]  Oh, man.
[21:05.280 --> 21:05.980]  Who's it gonna be?
[21:08.020 --> 21:08.620]  Damien Lillard.
[21:09.860 --> 21:10.760]  Who else was in that track?
[21:10.860 --> 21:12.360]  It's a unanimous selection, bud.
[21:12.840 --> 21:14.620]  Ouch. Wow. So you could get a Damien Lillard
[21:14.620 --> 21:16.700]  rookie in this. We could. Do you think
[21:16.700 --> 21:18.280]  we're going to? Nah. Yeah, I didn't think so.
[21:18.280 --> 21:20.280]  But that's okay. It's opening up a piece of
[21:20.280 --> 21:22.380]  fucking awesome history. Thank you so much to whoever sent
[21:22.380 --> 21:24.160]  this. This is an insane gift.
[21:24.300 --> 21:26.280]  Okay. Here we go. Probably not
[21:26.280 --> 21:27.860]  cheap. Kind of a weird way to open it, but alright.
[21:28.080 --> 21:30.780]  Well, that's how it...
[21:30.780 --> 21:31.840]  Weird packaging.
[21:33.160 --> 21:34.400]  Okay, let's see what we got here.
[21:34.400 --> 21:36.160]  Here we go. Alright, we got...
[21:36.160 --> 21:37.240]  These are weird cards.
[21:38.260 --> 21:40.000]  Manu Ginobili. Easily
[21:40.000 --> 21:42.040]  one of my least favorite players
[21:42.040 --> 21:44.200]  in the history of basketball. What do you mean? This guy's doing it
[21:44.200 --> 21:46.140]  for us 35-year-olds also. Way to go, man.
[21:47.260 --> 21:48.200]  Here's a Landry
[21:48.200 --> 21:50.000]  Fields rookie card. Great.
[21:50.200 --> 21:52.140]  Don't think he's in the league anymore. Paul George.
[21:53.480 --> 21:54.440]  Okay. Oh, look.
[21:55.140 --> 21:56.120]  NBA's newest analyst,
[21:56.240 --> 21:58.060]  J.J. Redick. And then...
[21:59.060 --> 22:00.100]  Chris Bosch. Nice.
[22:00.400 --> 22:02.280]  I saw Chris Bosch running on Town Lake
[22:02.280 --> 22:04.360]  not too long ago. Really? Yeah. That's pretty cool.
[22:04.440 --> 22:06.020]  He was riding my bike. I rode right by him.
[22:06.040 --> 22:07.420]  Did you, like, ride by him and you go,
[22:07.840 --> 22:10.240]  hey, I'm a big fan, and then just ride... No, I wish
[22:10.240 --> 22:11.980]  I had the presence of mind to do that.
[22:12.100 --> 22:14.300]  Those are very cool. Thank you for sending those. Feels like
[22:15.400 --> 22:16.440]  J.J.
[22:16.520 --> 22:18.300]  Redick is not long for the world
[22:18.300 --> 22:20.240]  of ESPN with the
[22:21.000 --> 22:22.480]  salient points that he makes
[22:22.480 --> 22:23.800]  that shut down every argument.
[22:24.300 --> 22:26.260]  Yeah, it really steps in the way of Stephen A.'s
[22:26.260 --> 22:28.200]  bullshit. He's like...
[22:30.920 --> 22:31.960]  Bob Cozy?
[22:32.340 --> 22:34.460]  We fucking played against Bob Cozy?
[22:36.760 --> 22:37.800]  So cool.
[22:38.780 --> 22:40.280]  Okay, we got one more box.
[22:40.500 --> 22:42.260]  Let's see what this is. Let's do it.
[22:44.300 --> 22:45.260]  This is...
[22:46.460 --> 22:48.320]  weird. It's a weird from.
[22:48.560 --> 22:48.860]  Alright.
[22:50.000 --> 22:50.760]  Ah, shit.
[22:51.680 --> 22:52.600]  Falling apart.
[22:53.880 --> 22:55.820]  Whoa, this is sick.
[22:56.040 --> 22:56.840]  I don't know what that is.
[22:58.640 --> 23:00.000]  Fucking old ass gum.
[23:00.240 --> 23:01.380]  Okay, we got...
[23:01.380 --> 23:03.540]  some sort of satanic symbol.
[23:04.520 --> 23:05.600]  Paragon Disc Golf.
[23:05.820 --> 23:08.280]  What did we get?
[23:08.740 --> 23:10.220]  From the Disc Golf store?
[23:10.580 --> 23:12.080]  Thank you for shopping with us.
[23:12.080 --> 23:13.980]  The Disc Golf store?
[23:14.420 --> 23:15.720]  Yeah. I mean, maybe they sell
[23:16.440 --> 23:17.280]  other shit too.
[23:18.400 --> 23:18.760]  2022
[23:20.460 --> 23:20.820]  Golf
[23:22.500 --> 23:24.040]  Disc Golf Training Card!
[23:24.420 --> 23:25.740]  Of course, that's what we got.
[23:25.940 --> 23:27.800]  That makes so much sense.
[23:27.980 --> 23:28.880]  What the fuck?
[23:29.000 --> 23:30.200]  I'm gonna save a pack or two.
[23:31.980 --> 23:33.640]  One or two of those need to go in the pack sack.
[23:33.800 --> 23:36.060]  Dude, we gotta put one of these in the pack sack right now.
[23:36.220 --> 23:38.560]  As you may or may not know...
[23:38.560 --> 23:39.720]  I know it says sack pack.
[23:39.720 --> 23:41.660]  And you might be confused by that.
[23:41.760 --> 23:42.820]  We have a pack sack.
[23:43.760 --> 23:45.320]  You gotta feed the pack sack.
[23:45.720 --> 23:47.000]  And you eat from the pack sack.
[23:47.660 --> 23:48.560]  We just fed it.
[23:50.280 --> 23:52.100]  Fingers crossed we get a Caleb Denecor.
[23:53.760 --> 23:54.940]  We have to, right?
[23:55.000 --> 23:56.120]  What do you think the chances are?
[23:56.840 --> 23:59.300]  You'd have to call him.
[24:00.040 --> 24:01.800]  That would be the second fuckface time
[24:01.800 --> 24:02.480]  we've called him.
[24:04.240 --> 24:05.240]  Putting him in rarefied air.
[24:05.360 --> 24:06.060]  Here's the checklist.
[24:06.780 --> 24:08.220]  Let's see if he's on there.
[24:09.040 --> 24:10.160]  I'm gonna guess he's not.
[24:10.300 --> 24:11.340]  No, I would think he's not.
[24:11.900 --> 24:14.940]  If he was, I would shit your pants.
[24:15.140 --> 24:15.220]  What?
[24:15.520 --> 24:17.080]  Get ready for that.
[24:18.120 --> 24:19.020]  Sorry, I'm still...
[24:20.500 --> 24:22.360]  Here's Kona Star Panis.
[24:22.540 --> 24:23.280]  Peanut Panis.
[24:25.040 --> 24:26.400]  Dean and Carrie.
[24:27.700 --> 24:28.700]  Everybody's favorite
[24:28.700 --> 24:30.120]  Valerie Mendojano.
[24:30.740 --> 24:32.320]  There's a guy named Gannon Burr.
[24:32.520 --> 24:33.820]  That's a really good name.
[24:33.820 --> 24:36.520]  Not to be outdone by Vanessa Van Dyken.
[24:37.500 --> 24:38.740]  James Conrad.
[24:38.920 --> 24:41.560]  Looking like the Norseman.
[24:43.260 --> 24:45.020]  Matt Bell does not.
[24:45.820 --> 24:47.180]  Gavin Rathburn.
[24:47.520 --> 24:48.220]  That's a British name.
[24:48.640 --> 24:50.940]  Ben Calloway.
[24:51.680 --> 24:52.760]  Aaron Gossage.
[24:52.840 --> 24:54.040]  I wonder if he's related to Goose Gossage.
[24:54.860 --> 24:56.140]  Mason Ford.
[24:56.380 --> 24:59.900]  Looking like he works at a Ford dealership.
[24:59.920 --> 25:01.060]  There's a guy named Eagle McMahon.
[25:01.060 --> 25:02.100]  That's a good name.
[25:02.660 --> 25:03.600]  We get that one.
[25:03.720 --> 25:06.600]  That's a great... what is this?
[25:06.720 --> 25:07.680]  Disc Golf name?
[25:08.220 --> 25:10.700]  You know this guy's probably a dick with a name like Brody Smith.
[25:11.040 --> 25:13.240]  And then most improved player
[25:13.240 --> 25:14.760]  is Kyle Klein.
[25:14.940 --> 25:17.240]  Wow, Kyle Klein, you used to fucking suck.
[25:17.360 --> 25:18.940]  But guess what? You figured it out.
[25:19.040 --> 25:21.280]  You figured it out. You were a fucking loser.
[25:21.500 --> 25:22.440]  And now you're not.
[25:22.560 --> 25:24.020]  You threw the frisbee so good.
[25:24.780 --> 25:26.180]  Straight and hard and fast.
[25:26.460 --> 25:27.500]  I can't throw a frisbee.
[25:28.400 --> 25:29.820]  Frisbee's an acquired...
[25:30.580 --> 25:30.900]  ability.
[25:31.100 --> 25:32.980]  I can't throw it straight.
[25:33.540 --> 25:35.700]  Can't do it. Well, I don't see Caleb on here.
[25:36.000 --> 25:37.000]  It's sad. Maybe next year.
[25:37.460 --> 25:39.660]  You know what? Maybe he can get most improved next year.
[25:39.800 --> 25:41.140]  I'm going to save the other one for the PacSec, too.
[25:41.320 --> 25:42.000]  That's awesome.
[25:43.340 --> 25:44.760]  Thank you so much for doing that.
[25:45.520 --> 25:47.040]  How are we doing on time? We got some time left.
[25:47.740 --> 25:48.680]  Let's do a little bit of basketball.
[25:49.660 --> 25:51.680]  It's basketball time. We're in the playoffs.
[25:52.180 --> 25:53.960]  Oh my god. Eric, who's going to win the...
[25:54.880 --> 25:55.760]  Who's going to win the finals?
[25:58.320 --> 25:59.480]  I don't know.
[25:59.720 --> 26:01.100]  Let's just say anybody but Milwaukee.
[26:01.220 --> 26:03.720]  Yeah, I think he'd look good.
[26:04.380 --> 26:05.520]  He'd do look good, don't they?
[26:05.680 --> 26:07.220]  I don't think the Sixers are going to...
[26:07.220 --> 26:08.080]  No, no.
[26:08.940 --> 26:10.940]  They are mentally beaten already.
[26:11.060 --> 26:12.600]  Hey, Geoff, trust the process.
[26:14.180 --> 26:15.040]  You feeding the PacSec?
[26:15.280 --> 26:16.380]  Yeah, I got to feed the PacSec.
[26:16.620 --> 26:17.820]  Putting the pack in right now.
[26:19.720 --> 26:20.420]  PacSec's fed.
[26:20.600 --> 26:23.140]  And then we have these packs of NBA...
[26:23.140 --> 26:25.820]  Donners 2022. That's this year's.
[26:26.200 --> 26:26.520]  Cards.
[26:26.660 --> 26:27.960]  I didn't think that was the noise it was going to make.
[26:30.320 --> 26:31.800]  I thought it was going to be bong.
[26:32.040 --> 26:33.160]  And then it went...
[26:33.160 --> 26:34.660]  It didn't do that.
[26:35.340 --> 26:37.800]  Here we go with Christoph Sporzingas.
[26:38.240 --> 26:40.280]  You know who the Dallas Mavericks
[26:40.280 --> 26:41.140]  could use right about now?
[26:41.980 --> 26:42.620]  Christoph Sporzingas.
[26:42.660 --> 26:43.420]  Yeah, I think you're right.
[26:44.060 --> 26:46.960]  Unfortunately, Spencer Dinwiddie is not showing up in the playoffs.
[26:47.900 --> 26:49.800]  Devin Vassell, we got his rookie card over there
[26:49.800 --> 26:50.820]  with a post-it note on it.
[26:52.560 --> 26:54.300]  You know who the Lakers could use right now?
[26:54.300 --> 26:56.780]  A trade partner for Russell Westbrook.
[26:56.980 --> 26:57.900]  Oh my god.
[26:58.540 --> 27:00.800]  They are not working out there in LA.
[27:01.440 --> 27:02.780]  The Buss family
[27:02.780 --> 27:04.260]  needs to make some moves.
[27:04.580 --> 27:05.580]  Ty Jerome.
[27:06.620 --> 27:07.420]  Here he goes.
[27:08.180 --> 27:10.360]  You know who the Philadelphia 76ers could use right now
[27:10.360 --> 27:12.460]  is Matisse Teibold to get a vaccination
[27:12.980 --> 27:15.060]  and then also get his shot back.
[27:15.260 --> 27:16.240]  The defense is there, but his offense is gone.
[27:16.240 --> 27:18.040]  So he needs two shots.
[27:18.980 --> 27:19.920]  Jarrett Allen.
[27:20.800 --> 27:21.900]  Everybody loves Jarrett Allen.
[27:21.900 --> 27:23.640]  Okay, nothing bad we say about him.
[27:23.840 --> 27:25.280]  Greg Brown, rookie.
[27:25.620 --> 27:28.260]  And then Nurkic, orange parallel.
[27:28.480 --> 27:29.760]  Laser parallel, I believe.
[27:29.920 --> 27:30.460]  That's cute.
[27:31.520 --> 27:32.480]  Where's the laser?
[27:32.760 --> 27:33.020]  Hang on.
[27:33.860 --> 27:36.160]  Do it again.
[27:46.470 --> 27:47.070]  Do you remember earlier
[27:47.070 --> 27:47.630]  when we were
[27:48.630 --> 27:50.390]  opening cards from
[27:51.110 --> 27:52.110]  disc golf players?
[27:54.230 --> 27:55.390]  That was awesome.
[27:55.770 --> 27:56.850]  Remember when we got the card
[27:56.850 --> 27:58.450]  about the guy jerking off? That was awesome.
[27:58.630 --> 28:00.890]  Dude, I need to read up on him.
[28:01.030 --> 28:01.750]  He's my new hero.
[28:02.730 --> 28:04.350]  I don't want to get caught jerking off in public.
[28:04.630 --> 28:06.230]  No, just don't jerk off in public.
[28:07.550 --> 28:09.090]  Yeah, that's the solution to that.
[28:09.650 --> 28:10.930]  I was trying to figure out how not to get
[28:10.930 --> 28:12.410]  caught, but I just don't do it.
[28:13.590 --> 28:14.970]  I gotta figure out how to do
[28:14.970 --> 28:15.810]  this more secret.
[28:16.850 --> 28:18.830]  If only there was a place where no one could
[28:18.830 --> 28:21.010]  catch me. And it's not the parking
[28:21.010 --> 28:22.530]  lot. Brandon Ingram.
[28:23.010 --> 28:24.710]  I'm a professional athlete.
[28:24.710 --> 28:26.310]  I have millions of dollars.
[28:27.070 --> 28:28.870]  Where can I go to jerk
[28:28.870 --> 28:30.730]  off? So he's just cranking it and he hears
[28:33.390 --> 28:34.190]  Toronto PD.
[28:35.150 --> 28:36.370]  P.J. Tucker.
[28:39.270 --> 28:40.070]  Desmond Bain.
[28:40.810 --> 28:42.970]  Very good so far. I feel bad for the Grizzlies.
[28:43.330 --> 28:44.570]  I don't know if you saw, they've announced that
[28:44.570 --> 28:45.970]  Ja's out for the Red Devils playoffs.
[28:46.550 --> 28:48.590]  Bone bruise. You gotta hate that. That's what happened to my butt.
[28:49.510 --> 28:50.710]  I couldn't ride my bike.
[28:51.290 --> 28:52.530]  Here's the deal. If
[28:52.530 --> 28:54.230]  Ja Morant's bone bruise on his shin
[28:54.230 --> 28:56.450]  is anything like the bone bruise on my butt,
[28:56.750 --> 28:57.970]  he's down for three months.
[28:58.010 --> 29:00.510]  Think about how hurting your tailbone hurts.
[29:00.690 --> 29:02.390]  Think about if you bang your shin on the
[29:02.390 --> 29:04.310]  side of a table. Now imagine it's a bone bruise.
[29:04.750 --> 29:06.190]  Thinking about it gives me chills.
[29:06.410 --> 29:08.410]  It hurts me without even knowing what it
[29:08.410 --> 29:09.730]  really feels like. It'd be horrible.
[29:10.050 --> 29:11.750]  I couldn't sit down for a week.
[29:12.030 --> 29:14.370]  Imagine doing that and then having to go play how many
[29:14.370 --> 29:16.270]  minutes of professional basketball. Good luck.
[29:16.430 --> 29:18.290]  I couldn't do it. Patrick Beverley.
[29:18.670 --> 29:20.650]  Hey, Pat Bev. My favorite
[29:20.650 --> 29:22.830]  player. He's always got something to say
[29:22.830 --> 29:24.810]  no matter what. Pure passion.
[29:25.590 --> 29:26.610]  One of my favorite
[29:26.610 --> 29:28.190]  moments of this season was
[29:28.190 --> 29:30.250]  the NBA on TNT guy.
[29:30.390 --> 29:32.890]  Trash was great. That was great.
[29:33.330 --> 29:34.610]  That was really
[29:34.610 --> 29:36.730]  fun. But it was when
[29:36.730 --> 29:38.610]  Shaq and Charles
[29:38.610 --> 29:40.590]  Barkley were clowning on him because he was crying
[29:40.590 --> 29:42.610]  and hugging his mom after they got into
[29:42.610 --> 29:44.770]  the play-in game.
[29:45.150 --> 29:46.030]  They're like, it's not the playoffs.
[29:47.430 --> 29:48.870]  It's not even the playoffs.
[29:48.870 --> 29:50.290]  Luke Kennard.
[29:52.070 --> 29:53.110]  Kelvin Johnson.
[29:53.890 --> 29:54.830]  DeAndre Ayton.
[29:55.290 --> 29:56.610]  Give that man his money.
[29:57.110 --> 29:58.330]  And James Booknight, rookie.
[29:58.490 --> 29:59.470]  Nice laser.
[30:05.170 --> 30:06.370]  Nailed it. That was perfect.
[30:07.010 --> 30:07.430]  Oh no.
[30:08.770 --> 30:10.590]  It's my favorite sound on the board.
[30:11.090 --> 30:12.230]  It's so funny.
[30:12.350 --> 30:14.870]  It's funny because we have one Gavin on the sound
[30:14.870 --> 30:17.070]  board and it's kind of like having one Gavin.
[30:17.270 --> 30:18.790]  Well, it's like him being here
[30:18.790 --> 30:20.350]  because what's he going to say about
[30:20.350 --> 30:21.470]  James Booknight?
[30:21.850 --> 30:24.910]  Gavin, you got any James Booknight fans?
[30:26.050 --> 30:26.530]  He's like,
[30:26.690 --> 30:28.550]  Booknight looks more like
[30:28.550 --> 30:29.750]  Magazine Day.
[30:32.530 --> 30:34.690]  There we go. Peyton Pritchard. Still waiting for him
[30:34.690 --> 30:36.470]  to show up in the series. Jason Tatum
[30:36.470 --> 30:38.030]  would like him to show up again tonight.
[30:38.950 --> 30:40.970]  Here we got Kendrick Nunn.
[30:41.190 --> 30:42.890]  He now plays for the Lakers, I believe.
[30:44.390 --> 30:45.170]  J'shawn Tate.
[30:45.450 --> 30:46.710]  Love J'shawn Tate.
[30:46.710 --> 30:47.350]  Giannis.
[30:48.190 --> 30:49.130]  I like him.
[30:49.450 --> 30:52.270]  I like him except for right now. I'll like him again
[30:52.270 --> 30:53.430]  in a couple days maybe.
[30:54.650 --> 30:56.450]  Devin Booker had a phenomenal game last night.
[31:00.380 --> 31:01.460]  Something's marmy about him.
[31:01.760 --> 31:04.640]  Something's wearing me down about him.
[31:05.360 --> 31:06.400]  Yeah, I don't know what it is.
[31:06.420 --> 31:07.120]  Think he's too clean cut?
[31:07.900 --> 31:08.880]  He is kind of clean cut.
[31:09.800 --> 31:11.220]  He's kind of got that...
[31:13.480 --> 31:14.360]  He's kind of got that
[31:18.080 --> 31:18.440]  like...
[31:18.440 --> 31:20.160]  I don't know how to describe it.
[31:21.120 --> 31:22.280]  Gordon Hayward has it too.
[31:22.580 --> 31:24.180]  Where you just like...
[31:24.180 --> 31:26.120]  He's like smug
[31:26.120 --> 31:27.580]  and breaks the rules.
[31:27.700 --> 31:28.980]  I didn't do that.
[31:30.700 --> 31:32.000]  It's just an attitude.
[31:32.200 --> 31:33.900]  I don't know. It's wearing me out though in the playoffs.
[31:35.060 --> 31:35.900]  Who we got there?
[31:35.980 --> 31:36.700]  I can't even read that.
[31:38.740 --> 31:39.740]  Oh, Nimaeus Keita.
[31:40.400 --> 31:41.980]  And then Bam Adebayo.
[31:42.520 --> 31:44.360]  Power in the paint insert.
[31:44.540 --> 31:46.500]  I hope he doesn't bring that power in a couple days
[31:46.500 --> 31:48.140]  when he plays against hopefully the Celtics.
[31:49.300 --> 31:51.340]  Bam has been a tough matchup for us.
[31:51.640 --> 31:53.020]  Hopefully we have Rob Williams back.
[31:53.700 --> 31:54.080]  Okay.
[31:54.760 --> 31:55.220]  Okay.
[31:56.080 --> 31:58.260]  Moving along. Here we have PJ Washington Jr.
[31:59.160 --> 32:00.280]  Jay Crowder
[32:00.280 --> 32:02.100]  getting beat up in the playoffs right now.
[32:02.400 --> 32:03.680]  Ex-Celtic by the way.
[32:03.740 --> 32:04.920]  Trey Young.
[32:07.100 --> 32:08.220]  Doug McDermott.
[32:08.400 --> 32:09.480]  PJ Warren.
[32:09.920 --> 32:11.260]  Kyle Anderson.
[32:11.680 --> 32:14.780]  Dennis Schroeder is a rocket I believe now.
[32:14.780 --> 32:16.260]  And Jalen Brunson
[32:16.660 --> 32:19.080]  who is playing his heart out in the playoffs right now.
[32:19.280 --> 32:20.360]  You're keeping all of the...
[32:20.360 --> 32:21.820]  Oh, I guess you are keeping all of those cards.
[32:21.960 --> 32:23.900]  Oh, I wasn't even paying attention. I'm not.
[32:24.440 --> 32:25.140]  I'll deal with it later.
[32:26.540 --> 32:27.560]  You're right. You're right.
[32:28.000 --> 32:29.120]  I fucked that up.
[32:30.040 --> 32:31.320]  Okay. Gary Trent Jr.
[32:31.560 --> 32:33.980]  Cam Johnson. He needs to find a shot.
[32:34.100 --> 32:36.000]  Although maybe he doesn't because it would be cool if Dallas won.
[32:36.640 --> 32:37.440]  Nikola Jokic.
[32:38.060 --> 32:40.580]  Seti Osman. Killian Hayes.
[32:40.900 --> 32:41.900]  Carmelo Anthony.
[32:41.900 --> 32:44.020]  Let's see where he's going to be playing next year.
[32:44.400 --> 32:45.120]  Jared Butler.
[32:46.020 --> 32:47.340]  Oh, I think he's playing.
[32:49.020 --> 32:49.900]  Yeka Okungwu.
[32:50.080 --> 32:50.760]  Second year card.
[32:51.120 --> 32:52.120]  That's a cool looking one.
[32:58.780 --> 33:00.180]  Yeah, I think he wants...
[33:00.180 --> 33:01.340]  I think Melo...
[33:01.340 --> 33:03.440]  He's at that phase in his career where he
[33:03.440 --> 33:06.060]  wants to win a title and he doesn't really have
[33:06.060 --> 33:08.040]  any allegiance to anything other than getting that ring.
[33:08.180 --> 33:10.420]  So he can just go be a six man somewhere.
[33:11.260 --> 33:12.020]  Jared Jackson.
[33:12.860 --> 33:13.620]  Tyrese Halliburton.
[33:15.060 --> 33:16.320]  Weirdest thing in the world to me
