[00:00.500 --> 00:01.140]  We're back.
[18:32.900 --> 18:33.500]  Yeah, you can.
[18:34.880 --> 18:35.200]  Nope.
[18:36.200 --> 18:37.440]  You really want to have-
[18:37.440 --> 18:37.680]  No!
[18:38.460 --> 18:39.440]  Couldn't quite make it there.
[18:39.520 --> 18:40.200]  Oh, my God.
[18:40.900 --> 18:41.860]  Can you get those two coins, buddy?
[18:41.860 --> 18:42.840]  Gavin, do you think we can get that?
[18:43.980 --> 18:46.020]  This moves the goddamn out of my way.
[18:47.440 --> 18:48.820]  Move, you little monkey bastard!
[18:51.140 --> 18:52.700]  I can't let you do that, Gavin.
[18:52.700 --> 18:53.300]  I can't get that.
[18:53.360 --> 18:54.240]  There's no way.
[18:54.600 --> 18:54.960]  Whoa!
[18:55.480 --> 18:57.260]  Nick, Nick, Nick, you've got to play defense.
[18:58.300 --> 18:58.660]  Yeah.
[18:58.840 --> 19:00.220]  Nick, you've got to play defense.
[19:00.500 --> 19:00.860]  You're right.
[19:03.000 --> 19:03.800]  No, Nick!
[19:04.020 --> 19:04.920]  That's not defense!
[19:05.960 --> 19:06.900]  That's good defense.
[19:07.620 --> 19:08.560]  How do I get this other coin?
[19:08.860 --> 19:09.580]  You've got to go down.
[19:09.600 --> 19:10.980]  There's no way you can get the other one.
[19:11.000 --> 19:12.260]  You've got to go down all the way.
[19:13.320 --> 19:14.020]  Gotta go for greed.
[19:15.200 --> 19:15.800]  Okay, you got it.
[19:16.060 --> 19:17.040]  Right, and here you go.
[19:17.300 --> 19:18.160]  It's not going to happen.
[19:18.300 --> 19:19.040]  There's no-
[19:19.040 --> 19:19.960]  You got it, you got it, you got it.
[19:20.040 --> 19:20.800]  Get the coin, get the coin.
[19:20.920 --> 19:21.540]  You got it!
[19:22.080 --> 19:22.840]  No, die!
[19:23.920 --> 19:24.280]  What?
[19:24.620 --> 19:25.740]  No, we should be dead!
[19:27.040 --> 19:28.200]  Oh, wait, you've got to-
[19:29.620 --> 19:31.160]  Oh, that block is-
[19:31.160 --> 19:32.140]  It'll fall, though, right?
[19:32.160 --> 19:32.360]  No.
[19:34.160 --> 19:34.980]  How many-
[19:35.880 --> 19:36.240]  Yes!
[19:37.240 --> 19:38.140]  My trap works!
[19:43.540 --> 19:44.420]  I did it!
[19:44.620 --> 19:46.020]  I did it, guys, I did it!
[19:46.060 --> 19:47.660]  That was such a convoluted trap.
[19:49.500 --> 19:51.320]  I can't believe you fell for it.
[19:51.560 --> 19:53.780]  Well, I wasn't really falling for anything, was I?
[19:54.180 --> 19:55.380]  I was just trying to get down.
[19:55.520 --> 19:56.440]  You fell into the spikes.
[20:07.370 --> 20:08.290]  Oh, shit!
[20:09.370 --> 20:09.830]  What?
[20:10.170 --> 20:10.630]  No!
[20:11.430 --> 20:13.030]  What is happening?
[20:16.790 --> 20:17.870]  Gavin's trying to get here!
[20:18.030 --> 20:18.810]  Raccoon bastard!
[20:20.050 --> 20:21.570]  Gavin's trying to play defense here.
[20:22.510 --> 20:23.110]  Give me the coin.
[20:23.470 --> 20:24.270]  Give me the coin.
[20:25.330 --> 20:26.470]  Give me the coin, schmuck!
[20:30.050 --> 20:30.650]  Oh!
[20:31.950 --> 20:34.670]  Oh, what a defensive hold!
[20:35.510 --> 20:36.030]  Oh!
[20:36.610 --> 20:37.790]  What a no!
[20:40.610 --> 20:43.070]  Nick, that's how you play defense!
[20:44.570 --> 20:45.950]  I got him in the end.
[20:47.210 --> 20:48.390]  I got him in the end.
[21:00.380 --> 21:02.300]  Oh, what a tease that coin is.
[21:04.000 --> 21:04.920]  A wallet tease.
[21:05.240 --> 21:06.880]  A little wallet.
[21:11.640 --> 21:12.520]  Oh, God.
[21:13.100 --> 21:14.660]  Oh, God, no, no!
[21:15.360 --> 21:16.320]  Oh, shite!
[21:18.660 --> 21:20.620]  Oh, it's Eric's game!
[21:23.820 --> 21:24.440]  No!
[21:25.620 --> 21:25.940]  Fuck!
[21:27.260 --> 21:29.380]  Easy peasy, this is baby stuff.
[21:29.560 --> 21:30.580]  This is baby stuff.
[21:31.540 --> 21:32.960]  No, fuck no, I just need some points.
[21:34.020 --> 21:35.380]  Give me it, please.
[21:35.540 --> 21:36.420]  You'll get underdogs here.
[21:36.460 --> 21:36.480]  Oh, my God.
[21:37.000 --> 21:37.620]  Wow!
[21:38.200 --> 21:39.460]  He takes the lead!
[21:39.460 --> 21:40.980]  Worst of first.
[21:41.800 --> 21:42.360]  No!
[21:42.740 --> 21:43.340]  My weapon!
[21:43.960 --> 21:45.240]  This is Eric's game.
[21:46.540 --> 21:48.120]  You have to kill Eric.
[21:50.820 --> 21:52.360]  Oh, I like your thinking.
[21:53.320 --> 21:53.880]  Oh!
[21:55.880 --> 21:57.540]  Thanks, Nick.
[21:57.960 --> 21:58.660]  That was personal.
[21:59.020 --> 22:00.060]  I didn't blow it up.
[22:01.220 --> 22:02.540]  But I think you might be shooting it.
[22:02.600 --> 22:02.840]  No!
[22:03.120 --> 22:03.420]  No!
[22:03.800 --> 22:03.940]  No!
[22:04.160 --> 22:04.520]  Ah!
[22:04.800 --> 22:05.940]  Oh, it might be.
[22:06.520 --> 22:07.460]  Stupid camera.
[22:10.180 --> 22:11.560]  Oh, shit, Gavin.
[22:11.560 --> 22:12.360]  Get that boulder in the mix.
[22:12.700 --> 22:13.260]  Gavin!
[22:13.700 --> 22:14.640]  Can I duck this?
[22:15.380 --> 22:15.680]  Oh!
[22:16.700 --> 22:16.760]  No way!
[22:17.400 --> 22:18.760]  No way!
[22:19.480 --> 22:20.880]  For the steal!
[22:24.480 --> 22:26.620]  Why are you still alive?
[22:26.920 --> 22:27.480]  Yeah!
[22:28.920 --> 22:30.620]  How are you even meant to do that bit?
[22:31.080 --> 22:33.820]  I guess you can go up, like, left side.
[22:34.500 --> 22:34.780]  Maybe.
[22:35.460 --> 22:36.400]  Ah, shit!
[22:36.860 --> 22:38.200]  That would have been so good there!
[22:48.550 --> 22:49.610]  That's so mean.
[22:52.330 --> 22:53.570]  It's so mean.
[22:55.070 --> 22:56.350]  You just go down and get it.
[22:56.530 --> 22:57.110]  What's the big deal?
[22:57.670 --> 22:58.390]  Go grab it.
[22:58.890 --> 22:59.790]  Just go grab it.
[22:59.790 --> 23:00.390]  It's right there.
[23:00.470 --> 23:01.790]  There's a little platform and everything.
[23:04.310 --> 23:04.790]  Um...
[23:04.790 --> 23:05.330]  Oh, okay.
[23:06.710 --> 23:07.370]  Eric, get off me.
[23:07.450 --> 23:07.790]  You idiot!
[23:07.790 --> 23:09.330]  You're the one on me!
[23:09.650 --> 23:10.710]  You're on me!
[23:10.810 --> 23:11.850]  I'm not on you!
[23:12.650 --> 23:12.890]  Ah!
[23:13.430 --> 23:13.890]  No!
[23:15.390 --> 23:16.690]  Eric, you...
[23:17.290 --> 23:17.990]  Worthless fuck!
[23:20.050 --> 23:21.010]  Don't! Don't, Andrew!
[23:21.190 --> 23:21.330]  Get real low!
[23:21.690 --> 23:22.350]  Get real low!
[23:22.710 --> 23:23.510]  Oh, wow!
[23:24.150 --> 23:27.590]  Andrew, all I'm gonna say is that coin at the end, you gotta get it if you want first place here.
[23:27.590 --> 23:28.370]  I'm going for it.
[23:28.910 --> 23:30.050]  That's what I'm talking about.
[23:30.350 --> 23:31.130]  You got this, Andrew.
[23:31.710 --> 23:32.030]  You got it.
[23:32.030 --> 23:32.810]  How do I get up there?
[23:33.090 --> 23:33.310]  Now.
[23:33.750 --> 23:33.990]  Okay.
[23:34.930 --> 23:35.290]  Oh!
[23:35.650 --> 23:36.970]  Oh my god!
[23:38.030 --> 23:40.890]  Ready? Ready? Ready? Ready?
[23:41.250 --> 23:41.670]  Are you ready?
[23:43.110 --> 23:43.350]  Go.
[23:43.650 --> 23:44.830]  You got it. You got it right there.
[23:45.150 --> 23:45.830]  Wait, wait, wait!
[23:45.830 --> 23:46.850]  Okay, all the way up.
[23:47.070 --> 23:47.450]  You got it.
[23:47.810 --> 23:48.470]  Okay, you got it.
[23:48.550 --> 23:50.750]  You gotta go left, then right, then up and around.
[23:50.930 --> 23:51.250]  You got it.
[23:51.450 --> 23:52.290]  This is baby stuff.
[23:52.290 --> 23:52.870]  It's pushing me!
[23:53.050 --> 23:54.090]  This is so fucking easy.
[23:54.090 --> 23:55.870]  You can do this so easily.
[23:55.870 --> 23:56.390]  There you go! There you go!
[23:56.830 --> 23:57.470]  Oh my god!
[23:57.490 --> 23:57.790]  Get the coin!
[23:58.010 --> 23:59.610]  Can I grab the thing?
[23:59.750 --> 24:00.610]  Can I stand on the ledge?
[24:00.750 --> 24:02.490]  You can stand on that ledge probably.
[24:02.630 --> 24:02.830]  Get the coin!
[24:03.050 --> 24:03.750]  Get the coin! Get the coin!
[24:05.430 --> 24:06.010]  Get it!
[24:06.090 --> 24:07.070]  He's gonna double coin this.
[24:07.370 --> 24:07.770]  Double coin!
[24:08.410 --> 24:09.130]  Double coin!
[24:11.090 --> 24:12.290]  Oh my god!
[24:12.490 --> 24:12.850]  See?
[24:13.370 --> 24:13.730]  Oh!
[24:14.470 --> 24:14.610]  Wow!
[24:16.250 --> 24:17.350]  Two turns left.
[24:18.610 --> 24:20.330]  It is anybody's game.
[24:20.670 --> 24:21.790]  Oh, damn it.
[24:22.490 --> 24:24.770]  These coins are such a game changer.
[24:30.200 --> 24:30.720]  Jesus.
[24:30.920 --> 24:31.520]  Come on, man.
[24:32.160 --> 24:32.680]  What?
[24:33.380 --> 24:34.260]  We're having fun!
[24:35.140 --> 24:35.620]  Oh, yeah.
[24:35.800 --> 24:36.520]  Play defense.
[24:38.600 --> 24:39.500]  Locked into this.
[24:39.600 --> 24:40.500]  Two turns left.
[24:41.280 --> 24:42.080]  Defense time.
[24:43.760 --> 24:44.960]  Nick is like, come on!
[24:44.980 --> 24:46.660]  And then trying to put us on our spawn.
[24:46.800 --> 24:47.820]  You're a psycho.
[24:50.080 --> 24:50.720]  Yahoo!
[24:52.680 --> 24:53.880]  Holy shit.
[24:53.880 --> 24:55.140]  Say yahoo.
[24:55.780 --> 24:56.280]  Did I?
[24:56.520 --> 24:57.600]  I'll say yahoo.
[24:58.100 --> 24:58.340]  Yahoo!
[25:01.400 --> 25:02.820]  Two can play this game.
[25:03.620 --> 25:03.940]  Fuck.
[25:04.560 --> 25:05.200]  No!
[25:05.340 --> 25:05.980]  No!
[25:06.280 --> 25:06.700]  No!
[25:07.540 --> 25:09.280]  I was racing against the clock.
[25:09.400 --> 25:10.340]  I wanted it so bad.
[25:12.800 --> 25:14.700]  I didn't even consider that.
[25:15.700 --> 25:19.300]  I just went down and punched Nick in the face.
[25:22.480 --> 25:25.840]  I know Geoff saw it, too, because he lost his fucking mind.
[25:35.170 --> 25:36.230]  That's just not...
[25:39.550 --> 25:40.030]  No!
[25:43.090 --> 25:44.610]  Come, fucking monkey. Get out of the way.
[25:45.610 --> 25:46.410]  Fucking A.
[25:47.050 --> 25:47.490]  No!
[25:48.110 --> 25:48.430]  Oh, damn.
[25:49.550 --> 25:50.350]  Dumb monkey.
[25:51.690 --> 25:52.390]  Oh, God.
[25:52.390 --> 25:53.850]  Oh, shit, Nick. You killed me, Nick.
[25:54.170 --> 25:57.150]  Oh, my God. How?
[25:58.050 --> 25:58.930]  All right.
[25:59.390 --> 26:00.390]  Nick, you got this.
[26:00.610 --> 26:02.710]  Go, go, go, go, go, go, go, go, go.
[26:02.710 --> 26:04.870]  This is going to be the win of the century if you pull this off.
[26:05.050 --> 26:05.250]  Go!
[26:05.950 --> 26:06.750]  Stop stopping!
[26:07.330 --> 26:08.390]  He slid off.
[26:09.410 --> 26:10.610]  Definitely not the win of the century.
[26:11.950 --> 26:12.370]  Victory!
[26:13.830 --> 26:15.310]  Patton with that one round.
[26:15.550 --> 26:15.930]  Wow.
[26:17.770 --> 26:18.610]  Congratulations, Andrew.
[26:18.910 --> 26:19.490]  Thank you.
[26:20.250 --> 26:21.570]  You all got one more in us?
[26:24.940 --> 26:26.180]  Oh, my God.
[26:26.660 --> 26:27.600]  Oh, holy hell.
[26:28.440 --> 26:29.720]  Did I unlock a hat yet?
[26:31.740 --> 26:32.160]  No.
[26:35.040 --> 26:36.200]  I just want a hat.
[26:36.620 --> 26:40.160]  I felt so confident in the run before that when Gavin punched me in the face.
[26:40.600 --> 26:41.120]  Oh, volcano.
[26:41.320 --> 26:41.980]  Andrew, I'm with you.
[26:42.840 --> 26:44.180]  Yeah, I'm with you, dude.
[26:45.660 --> 26:46.860]  Let's get some Dante's Peak.
[26:46.860 --> 26:47.920]  The son of a bitch.
[26:48.400 --> 26:51.360]  Look out for the melting granny.
[26:54.980 --> 26:56.000]  Oh, shit.
[26:57.060 --> 26:57.520]  Rezno.
[27:06.580 --> 27:07.100]  Interesting.
[27:07.460 --> 27:07.720]  Okay.
[27:08.180 --> 27:09.240]  I hate the sticky.
[27:09.660 --> 27:10.460]  I hate it so much.
[27:12.900 --> 27:14.140]  Oh, this is pretty bad.
[27:14.380 --> 27:15.220]  Oh, no.
[27:15.560 --> 27:16.100]  No, no!
[27:16.940 --> 27:18.380]  That was nasty.
[27:19.140 --> 27:19.560]  Yeah, go ahead.
[27:20.240 --> 27:21.340]  You guys killed me.
[27:21.780 --> 27:22.880]  Oh, piss.
[27:23.020 --> 27:23.920]  Bollocks piss.
[27:27.860 --> 27:30.280]  I fucking get off my goddamn head.
[27:30.580 --> 27:31.080]  What do you mean?
[27:32.320 --> 27:33.460]  Get up.
[27:33.980 --> 27:34.280]  No!
[27:36.280 --> 27:37.960]  I got rat cooked.
[27:38.000 --> 27:38.600]  Zoom in.
[27:38.720 --> 27:40.480]  A single sheep remains.
[27:41.860 --> 27:43.080]  One last sheep.
[27:43.120 --> 27:43.740]  Will he make it?
[27:44.840 --> 27:45.760]  He got too excited.
[27:46.040 --> 27:46.260]  What?
[27:46.580 --> 27:47.520]  Stuck on the Rezno.
[27:47.960 --> 27:48.560]  Okay.
[27:48.560 --> 27:49.560]  He's done it.
[27:49.840 --> 27:50.320]  He did it.
[27:52.500 --> 27:53.780]  Little sheep hands.
[27:57.320 --> 27:58.580]  I don't know what I grabbed.
[28:02.160 --> 28:02.940]  Come on, man.
[28:03.000 --> 28:03.740]  You can do it.
[28:04.000 --> 28:04.980]  I'm going to get some flowers.
[28:08.700 --> 28:09.500]  That is...
[28:09.500 --> 28:10.400]  God damn it, Gavin.
[28:10.920 --> 28:11.480]  There we go.
[28:12.240 --> 28:13.140]  You know, this is great.
[28:14.680 --> 28:16.020]  Oh, you're a monster.
[28:16.560 --> 28:17.800]  Put it where the cannon shoots.
[28:17.940 --> 28:19.000]  Andrew, don't do that.
[28:19.080 --> 28:19.540]  Oh, you can't.
[28:21.380 --> 28:22.860]  Oh, that's a yucky platform.
[28:22.960 --> 28:24.000]  That is a tough one.
[28:24.540 --> 28:26.820]  That's a real who's who of who's getting boned there.
[28:27.480 --> 28:28.620]  I'm just going to get out of here.
[28:28.620 --> 28:29.920]  I'm just going to get away from the rabble.
[28:31.540 --> 28:32.540]  Eric, fuck off!
[28:32.680 --> 28:33.320]  What are you talking about?
[28:34.360 --> 28:34.660]  Eric!
[28:34.980 --> 28:35.180]  Yeah?
[28:36.300 --> 28:36.880]  Get away.
[28:38.080 --> 28:38.440]  Shit!
[28:38.600 --> 28:39.720]  Oh, God.
[28:41.680 --> 28:42.200]  Alright, Andrew.
[28:42.260 --> 28:42.960]  I'll go, then you go.
[28:43.300 --> 28:44.140]  Yeah, I'm in the back.
[28:44.200 --> 28:44.760]  I'm fine waiting.
[28:45.900 --> 28:46.260]  No!
[28:46.260 --> 28:46.940]  No!
[28:48.060 --> 28:48.460]  Alright.
[28:49.500 --> 28:50.460]  Oh, my God.
[28:50.700 --> 28:51.660]  Eric almost killed me.
[28:52.200 --> 28:53.160]  I got...
[28:53.160 --> 28:56.300]  I didn't realize the barbed wire one was that one.
[28:56.360 --> 28:57.280]  I thought it was the next one.
[28:57.300 --> 28:58.040]  Yeah, it was that one.
[28:58.560 --> 28:59.360]  Oh, fuck!
[28:59.600 --> 29:00.320]  Oh, the flower!
[29:01.560 --> 29:02.040]  Oh, man.
[29:02.100 --> 29:02.660]  He almost hit me.
[29:02.760 --> 29:04.020]  Let me grab onto this lava.
[29:08.180 --> 29:09.280]  Good weapon, good weapon.
[29:10.040 --> 29:10.440]  Fuck.
[29:10.620 --> 29:10.840]  Oh.
[29:11.320 --> 29:11.720]  Platforms.
[29:13.340 --> 29:14.480]  Too early for a bomb.
[29:14.540 --> 29:15.300]  We're still building, baby.
[29:17.820 --> 29:18.200]  Okay.
[29:18.800 --> 29:19.480]  Ooh, I like it.
[29:19.500 --> 29:20.060]  I like it, Gavin.
[29:21.220 --> 29:22.020]  Oh, damn it, Gavin.
[29:25.580 --> 29:26.340]  You're crazy!
[29:27.500 --> 29:28.260]  That's crazy!
[29:28.680 --> 29:29.300]  Andrew, don't.
[29:29.380 --> 29:30.060]  Andrew, don't.
[29:30.160 --> 29:30.700]  Andrew, don't.
[29:30.800 --> 29:31.400]  Don't do it.
[29:32.940 --> 29:33.500]  Do it.
[29:34.300 --> 29:35.500]  Andrew, go insane mode.
[29:38.660 --> 29:39.040]  No!
[29:39.660 --> 29:41.080]  I got rugby tackle!
[29:41.140 --> 29:41.860]  Who did that?
[29:42.020 --> 29:42.620]  I forgot!
[29:42.760 --> 29:43.440]  What was that?
[29:44.100 --> 29:44.380]  No!
[29:44.700 --> 29:45.080]  Get off me!
[29:45.080 --> 29:45.580]  Fuck off!
[29:45.840 --> 29:46.060]  Fuck off!
[29:46.120 --> 29:46.520]  That was me!
[29:46.820 --> 29:48.680]  You just barrel-rolled me off the floor.
[29:48.900 --> 29:50.520]  I forgot that it wasn't solid.
[29:51.180 --> 29:52.440]  I went to hug the wall.
[29:52.640 --> 29:52.880]  No!
[29:53.000 --> 29:53.420]  You fucker!
[29:54.840 --> 29:57.060]  I just got dive-tackled out the window.
[29:58.440 --> 29:58.880]  No!
[29:59.400 --> 29:59.660]  No!
[30:00.120 --> 30:01.780]  Oh, you're still in the neck.
[30:02.880 --> 30:05.300]  We're just mainly getting killed by each other and the level.
[30:05.560 --> 30:07.160]  We're barely touching our traps.
[30:08.280 --> 30:08.980]  Alright, here we go.
[30:09.680 --> 30:10.200]  There you go.
[30:10.340 --> 30:10.480]  Not that.
[30:11.180 --> 30:11.900]  Not that.
[30:12.860 --> 30:13.480]  Not that.
[30:14.160 --> 30:14.980]  There you go.
[30:14.980 --> 30:16.960]  That might be it.
[30:17.120 --> 30:18.180]  Oh, there you go.
[30:18.680 --> 30:19.960]  Alright, that one's okay.
[30:20.160 --> 30:21.120]  He's just hitting the button.
[30:21.640 --> 30:23.440]  He's just hitting the button so much.
[30:23.660 --> 30:25.220]  He just keeps hitting the button.
[30:25.360 --> 30:26.400]  Shut the fuck up!
[30:26.420 --> 30:27.140]  Shut the fuck up!
[30:27.360 --> 30:27.800]  Hold on!
[30:29.180 --> 30:31.300]  I could just hear things in my ear!
[30:31.480 --> 30:31.920]  Hurry up!
[30:31.920 --> 30:32.660]  There you go!
[30:33.860 --> 30:35.220]  I can't believe he made it.
[30:35.360 --> 30:36.560]  He keeps pressing the button.
[30:37.540 --> 30:39.360]  And you kept saying, he keeps pushing the button.
[30:39.480 --> 30:40.500]  He keeps pushing the button.
[30:40.960 --> 30:41.860]  He keeps pressing it.
[30:43.020 --> 30:44.580]  Yeah, I know, I kept pushing it.
[30:46.980 --> 30:50.020]  Wow, Gavin, you're crazy.
[30:51.960 --> 30:52.360]  Gavin!
[30:53.560 --> 30:54.360]  I suck.
[30:56.100 --> 30:58.400]  To be fair, I was on your head when it happened.
[30:59.500 --> 31:00.300]  Oh, I went in the air.
[31:01.080 --> 31:02.060]  Oh my god.
[31:02.100 --> 31:04.280]  What the fuck? Andrew just pushed me out of the air.
[31:05.060 --> 31:05.460]  Sorry.
[31:05.800 --> 31:06.060]  Andrew's a menace.
[31:06.180 --> 31:07.260]  I'm not trying to.
[31:07.920 --> 31:09.300]  He's trying to, you can tell.
[31:09.360 --> 31:09.980]  Nick, get away!
[31:10.400 --> 31:11.240]  Nick's trying to.
[31:11.240 --> 31:12.400]  Go down, go Nick, go!
[31:14.980 --> 31:16.560]  Oh, Andrew, no!
[31:18.480 --> 31:19.280]  Wait a minute, hold on.
[31:19.960 --> 31:20.120]  No!
[31:20.860 --> 31:21.260]  Nick!
[31:21.480 --> 31:22.540]  Alright, alright, Nick.
[31:22.860 --> 31:23.560]  Nick, get up there.
[31:23.660 --> 31:24.740]  Just don't press the button a lot.
[31:24.860 --> 31:25.160]  You're good.
[31:26.200 --> 31:28.080]  Nick, you didn't press the button enough!
[31:28.640 --> 31:30.180]  Nick, you didn't press the button enough!
[31:30.980 --> 31:32.320]  I don't know what moved me.
[31:32.480 --> 31:33.000]  How did I move?
[31:33.040 --> 31:33.980]  I was just standing still.
[31:33.980 --> 31:34.160]  No!
[31:37.020 --> 31:37.740]  Party box!
[31:37.820 --> 31:42.840]  It's just been us bumping into each other, nothing else is happening.
[31:43.080 --> 31:45.540]  Turning on buzzing has made it a whole different game.
[31:45.940 --> 31:46.340]  Oh, definitely.
[31:50.500 --> 31:50.940]  Yes.
[31:52.040 --> 31:53.680]  Damn, the only good platform is a glue one.
[31:53.700 --> 31:54.340]  Good luck, fellas.
[31:56.860 --> 31:57.300]  No!
[31:57.760 --> 31:59.180]  Oh, Nick got mushed.
[31:59.260 --> 31:59.840]  Alright Gavin, let's go.
[31:59.980 --> 32:01.380]  Get off my head!
[32:02.300 --> 32:03.020]  What are you talking about?
[32:05.300 --> 32:06.340]  I hate...
[32:07.720 --> 32:08.240]  Die.
[32:08.500 --> 32:08.900]  Jesus.
[32:09.080 --> 32:09.340]  No!
[32:10.040 --> 32:10.560]  Yes!
[32:10.560 --> 32:12.520]  Get off my head and die somewhere!
[32:19.180 --> 32:20.440]  You got that?
[32:23.760 --> 32:24.380]  Get him!
[32:24.940 --> 32:25.640]  Get him!
[32:27.360 --> 32:28.260]  Gavin, look out!
[32:28.640 --> 32:29.720]  Oh, come on, flower!
[32:32.100 --> 32:32.740]  Hit him.
[32:34.200 --> 32:35.140]  Get off the glue.
[32:35.480 --> 32:36.160]  Get off the sticky.
[32:36.500 --> 32:37.100]  Get off the icky.
[32:39.180 --> 32:39.900]  No!
[32:42.240 --> 32:42.960]  Wow.
[32:43.800 --> 32:44.860]  A three-way...
[32:44.860 --> 32:45.740]  Huge comeback.
[32:45.800 --> 32:46.260]  Big time.
[32:46.460 --> 32:47.780]  What a win.
[32:50.820 --> 32:51.180]  No!
[32:51.960 --> 32:52.380]  Damn.
[32:53.500 --> 32:53.980]  Sorry, Nick.
[32:55.000 --> 32:55.620]  It's alright.
[33:02.450 --> 33:03.890]  That's insane!
[33:04.270 --> 33:06.050]  What are you doing?
[33:06.850 --> 33:08.230]  So, we're just...
[33:08.230 --> 33:09.670]  We can't use any of that.
[33:09.790 --> 33:11.590]  There's one space you can use.
[33:11.590 --> 33:13.170]  Yeah, it's next to us.
[33:13.170 --> 33:14.070]  Spike ball!
[33:16.870 --> 33:17.890]  No, Eric!
[33:18.450 --> 33:19.890]  Eric, stop...
[33:20.630 --> 33:21.630]  touching me!
[33:23.930 --> 33:26.070]  I can't move, I'm stuck.
[33:26.610 --> 33:28.370]  Fuck, fuck, fuck, fuck, fuck, fuck!
[33:29.390 --> 33:30.030]  Okay.
[33:30.650 --> 33:31.810]  Get off my shit!
[33:32.450 --> 33:33.650]  I got him!
[33:33.950 --> 33:35.230]  Geoff, I got him!
[33:35.750 --> 33:36.210]  No!
[33:37.350 --> 33:38.730]  It's doing it again!
[33:42.190 --> 33:45.350]  How does Andrew have so much heft behind him?
[33:47.330 --> 33:48.190]  Damn it, Eric!
[33:48.790 --> 33:50.170]  What are you doing, man?
[33:50.250 --> 33:51.450]  Geoff, I caught him, didn't you see?
[33:51.490 --> 33:51.930]  He's done it.
[33:52.050 --> 33:52.710]  I saw, buddy.
[33:54.750 --> 33:55.690]  It's those ankles.
[33:55.930 --> 33:56.130]  Yeah!
[33:59.050 --> 34:00.010]  Incredible play.
[34:00.610 --> 34:01.090]  Disaster.
[34:01.690 --> 34:03.570]  Oh, this is bad for everybody.
[34:04.010 --> 34:04.450]  Oh, shit.
[34:04.510 --> 34:05.070]  I wanted that.
[34:05.350 --> 34:06.390]  I don't even...
[34:06.390 --> 34:06.770]  Whatever.
[34:10.290 --> 34:12.650]  I'm about to ruin everybody's day.
[34:15.130 --> 34:15.570]  Gavin?
[34:16.210 --> 34:17.170]  You wanna work together?
[34:18.310 --> 34:19.970]  I've always enjoyed working with you, Nick.
[34:20.670 --> 34:22.390]  Oh, that little son of a bitch.
[34:22.710 --> 34:23.410]  Me too, man.
[34:27.190 --> 34:27.710]  Good luck!
[34:27.730 --> 34:28.090]  See ya!
[34:36.770 --> 34:38.070]  Hang on!
[34:40.730 --> 34:42.110]  What is happening?
[34:43.550 --> 34:45.230]  What is going on?
[34:45.330 --> 34:48.470]  Gavin, you dodged the shit out of two bunches, buddy.
[34:48.790 --> 34:49.170]  Dude!
[34:49.510 --> 34:49.990]  Dude!
[34:50.450 --> 34:50.670]  Stop!
[34:57.580 --> 34:59.270]  He turned around!
[35:02.930 --> 35:05.650]  I thought he faced one way!
[35:06.290 --> 35:07.050]  No, he turns.
[35:07.110 --> 35:07.740]  Utter chaos.
[35:08.550 --> 35:10.430]  He's a dynamic flower, that one.
[35:23.470 --> 35:25.450]  Oh, that's... Nick, that's insane.
[35:26.070 --> 35:27.010]  Yeah, you're right.
[35:28.830 --> 35:30.090]  What the fuck?
[35:31.970 --> 35:32.990]  Nick is a monster.
[35:34.190 --> 35:34.370]  Sorry.
[35:35.530 --> 35:36.590]  You're seeing two, Nick!
[35:37.110 --> 35:37.590]  Goddammit!
[35:39.350 --> 35:39.510]  Yahoo!
[35:40.250 --> 35:41.130]  Oh, good float, Gavin.
[35:41.170 --> 35:41.690]  Oh, sh...
[35:41.690 --> 35:42.570]  Oops!
[35:43.950 --> 35:45.170]  Oh, sticky, ooh!
[35:47.010 --> 35:47.490]  Gavin...
[35:47.490 --> 35:48.190]  No!
[35:48.410 --> 35:49.570]  What a recovery!
[35:49.830 --> 35:50.490]  Stop trying me!
[35:50.550 --> 35:51.070]  Real messy!
[35:51.530 --> 35:52.570]  Stop trying me!
[35:52.790 --> 35:52.970]  No!
[35:58.770 --> 35:59.870]  Still in it, Eric!
[36:00.510 --> 36:01.650]  You got this, Eric.
[36:02.690 --> 36:04.230]  Oh, Eric is dodging the flower!
[36:04.530 --> 36:06.290]  He's still dodging the flower!
[36:06.530 --> 36:07.630]  Oh, I dodged it!
[36:07.730 --> 36:09.470]  A little more left, that was so close!
[36:13.410 --> 36:15.790]  Oh, I felt so good about getting up through that middle part, too.
[36:15.930 --> 36:16.290]  Fuck.
[36:16.710 --> 36:18.410]  Where's that frickin' jetpack when you need it?
[36:18.790 --> 36:19.330]  Yeah, no kidding.
[36:20.270 --> 36:20.970]  No bombs.
[36:21.290 --> 36:22.270]  How about a bale of hay?
[36:23.750 --> 36:24.110]  Yeah.
[36:29.590 --> 36:31.750]  It'd be cool if the bale of hay was flammable.
[36:33.330 --> 36:33.990]  Bale of hate?
[36:34.410 --> 36:34.670]  Yeah.
[36:35.950 --> 36:38.130]  That was a video we did a hundred years ago.
[36:38.350 --> 36:38.510]  Yeah.
[36:42.350 --> 36:43.570]  I don't like being in the back.
[36:43.730 --> 36:45.450]  I think that was Assassin's Creed Brotherhood.
[36:47.390 --> 36:48.470]  We danced to that.
[36:49.110 --> 36:49.870]  What'd you say?
[36:50.390 --> 36:51.250]  How'd you remember that?
