[00:01.400 --> 00:02.300]  We're rolling!
[18:29.920 --> 18:31.120]  Okay, it's blue, go purple.
[18:32.400 --> 18:32.880]  Sorry.
[18:34.400 --> 18:35.660]  He's just clearing a path.
[18:36.940 --> 18:39.780]  I thought that the hole of two was a bit too stingy,
[18:39.840 --> 18:40.540]  so I went for a third.
[18:41.060 --> 18:41.400]  I agree.
[18:42.000 --> 18:42.480]  Yeah.
[18:44.400 --> 18:44.880]  Okay.
[18:46.500 --> 18:47.140]  Green's up.
[18:48.420 --> 18:50.140]  I'm going up, don't shoot me.
[18:50.940 --> 18:51.340]  Blue.
[18:52.700 --> 18:53.180]  Red.
[18:54.420 --> 18:54.900]  Purple.
[18:55.740 --> 18:57.300]  Okay, here comes green.
[18:57.300 --> 18:57.840]  Green.
[18:59.040 --> 18:59.360]  Orange.
[19:01.140 --> 19:01.460]  Blue.
[19:03.480 --> 19:03.800]  Blue.
[19:05.220 --> 19:05.840]  Get it, get it, get it.
[19:06.540 --> 19:08.840]  Here, follow me.
[19:10.380 --> 19:10.800]  That's it.
[19:11.600 --> 19:12.140]  That's all we need.
[19:14.200 --> 19:16.560]  Guys, thank you so much for watching.
[19:16.720 --> 19:17.580]  This has been Pico Park.
[19:17.700 --> 19:18.280]  It's been a lot of fun.
[19:18.320 --> 19:19.240]  Oh, just sent me in.
[19:23.080 --> 19:24.620]  We're doing so well.
[19:24.620 --> 19:25.320]  We're doing great.
[19:25.380 --> 19:26.220]  This is easy.
[19:26.480 --> 19:28.480]  This is simple.
[19:28.680 --> 19:29.560]  Getting on to 501.
[19:29.640 --> 19:30.760]  I can't wait for 501.
[19:31.160 --> 19:32.240]  For the children.
[19:32.840 --> 19:36.000]  Is it the same again?
[19:36.300 --> 19:37.780]  Not all of us.
[19:37.860 --> 19:38.900]  I wasn't in a vehicle.
[19:40.940 --> 19:42.040]  I'm in a vehicle.
[19:43.360 --> 19:44.340]  I shouldn't jump.
[19:44.700 --> 19:45.460]  It's me and you, Andrew.
[19:45.820 --> 19:48.580]  If you're standing, don't jump.
[19:49.060 --> 19:50.000]  That's why I was learning.
[19:50.000 --> 19:51.080]  You've got to learn.
[19:51.260 --> 19:52.120]  Me and you, Andrew.
[19:53.560 --> 19:54.860]  That's what I was learning.
[19:57.100 --> 19:58.260]  That's what I was learning.
[19:58.460 --> 20:00.060]  I didn't know whether it was like jumping on a train.
[20:00.960 --> 20:01.880]  Blue stop firing.
[20:02.100 --> 20:02.700]  It's just purple.
[20:03.220 --> 20:04.380]  Get me there.
[20:06.060 --> 20:08.260]  Eric wouldn't let me shoot because he had me too high.
[20:08.500 --> 20:08.900]  Eric?
[20:09.240 --> 20:11.160]  I was green at the top.
[20:12.040 --> 20:12.440]  Sorry.
[20:12.800 --> 20:13.200]  Sorry.
[20:16.300 --> 20:17.800]  Andrew doesn't want the pressure.
[20:18.580 --> 20:20.400]  He took one look at the challenge.
[20:22.060 --> 20:23.340]  Go Geoff!
[20:23.520 --> 20:25.180]  It was me that time.
[20:25.360 --> 20:27.280]  That was my fault.
[20:28.180 --> 20:29.080]  It's me and Andrew.
[20:29.800 --> 20:31.060]  I'm locked in.
[20:31.440 --> 20:32.020]  Team foreign.
[20:33.720 --> 20:34.360]  Easy.
[20:36.000 --> 20:36.640]  Blasting.
[20:38.180 --> 20:38.760]  There we go.
[20:38.880 --> 20:39.660]  Down a little bit.
[20:40.740 --> 20:41.920]  Now we're in business.
[20:42.600 --> 20:45.160]  Go up!
[20:45.160 --> 20:47.260]  Oh no!
[20:49.160 --> 20:50.260]  Did you just lose connection?
[20:50.460 --> 20:51.120]  Gavin, are you there?
[20:52.260 --> 20:52.580]  Gavin?
[20:53.880 --> 20:56.860]  I thought we were doing a bit.
[20:57.300 --> 20:58.920]  Maybe his power is out.
[20:59.300 --> 21:01.280]  Oh my god!
[21:02.400 --> 21:03.880]  I didn't enter the code.
[21:04.220 --> 21:05.760]  I just joined Gavin.
[21:06.380 --> 21:07.460]  Oh, cheeky.
[21:07.620 --> 21:09.340]  You've got to keep that shit to yourself, man.
[21:12.020 --> 21:13.800]  Alright, me and Eric.
[21:13.800 --> 21:14.700]  Fire in the chamber.
[21:16.660 --> 21:18.820]  I ain't got no friends in this one.
[21:18.900 --> 21:20.220]  What is happening?
[21:20.520 --> 21:20.660]  Red!
[21:22.740 --> 21:24.100]  Oh my god.
[21:24.840 --> 21:26.240]  You guys didn't even kill
[21:26.240 --> 21:27.440]  the things you were supposed to kill.
[21:27.540 --> 21:28.100]  What happened?
[21:29.020 --> 21:30.120]  I was mashing X.
[21:31.960 --> 21:33.860]  I have no responsibility here.
[21:34.260 --> 21:35.040]  Good job, Eric.
[21:35.360 --> 21:37.060]  Don't worry, we'll take those out too.
[21:38.200 --> 21:38.640]  Orange.
[21:39.340 --> 21:40.280]  Out of the way, orange.
[21:40.280 --> 21:41.680]  Out of the way, orange.
[21:42.620 --> 21:43.720]  Yeah, good job.
[21:44.600 --> 21:45.740]  Good job, everybody.
[21:46.620 --> 21:48.200]  Why did you knock me off?
[21:48.780 --> 21:49.180]  Where'd he go, Geoff?
[21:50.380 --> 21:52.360]  Wasn't Geoff's fault? Somebody knocked him off.
[21:52.600 --> 21:53.060]  Oh, sorry.
[21:54.640 --> 21:55.620]  Alright, me and Eric.
[21:58.060 --> 22:00.040]  Are you going to fire at all?
[22:00.240 --> 22:00.860]  Shit, shit, shit.
[22:01.160 --> 22:04.000]  I figured I'd stop it before
[22:04.000 --> 22:05.080]  because they just did this again.
[22:05.880 --> 22:08.620]  I just want to be the shooty McShooterton.
[22:08.620 --> 22:09.680]  And now I'm not.
[22:10.540 --> 22:12.620]  It doesn't...
[22:14.040 --> 22:15.860]  Gavin flew me into Nick.
[22:16.140 --> 22:17.880]  Guys, this is so easy. What's happening?
[22:18.140 --> 22:19.960]  I think you were about to get hit by a bullet.
[22:20.260 --> 22:20.820]  Alright, here you go.
[22:22.000 --> 22:23.740]  Way to go, Andrew Olmos.
[22:23.920 --> 22:24.840]  Jesus fucking Christ.
[22:25.260 --> 22:27.060]  Jesus fucking Christ.
[22:27.380 --> 22:29.260]  This is the easiest part.
[22:29.700 --> 22:31.540]  Alright, Gavin, here we go. Click an X.
[22:32.520 --> 22:32.980]  Shoot, Gavin.
[22:33.400 --> 22:35.740]  Who's red? I am. I'm just clicking X.
[22:35.740 --> 22:37.120]  Okay, great. I just want to make sure.
[22:37.360 --> 22:38.780]  I know who I'm playing with.
[22:39.260 --> 22:40.440]  Get me a hole. Get me a gap.
[22:41.080 --> 22:43.180]  That's my fault. I flew too high.
[22:43.560 --> 22:45.620]  I flew too close to the sun.
[22:45.660 --> 22:46.340]  My bad.
[22:47.260 --> 22:48.080]  All I can do is shoot.
[22:49.200 --> 22:49.940]  All I can do is shoot.
[22:51.020 --> 22:52.440]  Blue, I'm in your hands.
[22:53.560 --> 22:54.640]  Green clear in the way.
[22:56.240 --> 22:56.960]  Making space.
[22:57.380 --> 22:58.780]  Alright, there we go. Cleared a hole.
[22:59.920 --> 23:00.280]  Beautiful.
[23:00.760 --> 23:01.460]  Getting shot in the head.
[23:01.460 --> 23:02.180]  Yep.
[23:03.340 --> 23:04.320]  Alright, nice job.
[23:05.180 --> 23:05.800]  Look at that.
[23:06.220 --> 23:07.800]  Careful, careful.
[23:07.980 --> 23:09.860]  Everyone commute.
[23:11.120 --> 23:11.700]  Oh my god.
[23:13.360 --> 23:15.600]  You guys freaked me out.
[23:16.840 --> 23:18.200]  You guys freaked me out.
[23:18.640 --> 23:19.400]  Alright, shoot Geoff.
[23:19.560 --> 23:19.720]  It's you.
[23:21.200 --> 23:22.540]  Buzzing around like crazy.
[23:27.090 --> 23:28.430]  There you go.
[23:29.090 --> 23:29.330]  Alright.
[23:30.690 --> 23:31.550]  Go to town.
[23:31.790 --> 23:32.870]  I'm not shooting anymore.
[23:33.170 --> 23:33.550]  There we go.
[23:35.970 --> 23:37.170]  Yep, yep, yep.
[23:38.610 --> 23:39.110]  Why?
[23:44.750 --> 23:46.550]  I didn't expect you to die.
[23:47.250 --> 23:48.350]  That really shocked me.
[23:50.050 --> 23:50.810]  We're fine.
[23:51.470 --> 23:51.870]  Purple.
[23:53.630 --> 23:54.670]  Okay, now orange.
[23:54.790 --> 23:55.530]  Go up, go up, go up.
[23:55.530 --> 23:55.830]  Go up.
[23:59.530 --> 24:00.250]  Stop shooting.
[24:00.530 --> 24:01.530]  Stop shooting.
[24:02.070 --> 24:03.770]  I did, I'm sorry. That's my bad.
[24:04.230 --> 24:05.950]  Nick was just wanting to do more work.
[24:05.970 --> 24:07.670]  The thing Nick has been doing
[24:07.670 --> 24:09.510]  on 100% Eat is he fucks up
[24:09.510 --> 24:11.430]  and he goes, that's on me. And it's like, yeah, I know.
[24:11.990 --> 24:12.350]  Orange.
[24:14.630 --> 24:15.710]  Blue has to get it.
[24:15.910 --> 24:16.310]  There you go.
[24:18.150 --> 24:19.330]  Alright, let's see what we got next.
[24:19.370 --> 24:20.170]  Oh, it's just the door.
[24:20.270 --> 24:23.030]  Please stop. Oh my god.
[24:23.030 --> 24:24.790]  Just be patient.
[24:24.890 --> 24:25.310]  There you go.
[24:26.050 --> 24:27.750]  I was worried I'd run out of time.
[24:27.930 --> 24:28.630]  Oh my god.
[24:28.970 --> 24:33.110]  Why did it take me before Geoff?
[24:33.390 --> 24:34.070]  That was crazy.
[24:34.770 --> 24:36.270]  Geoff, will you just mash it X there?
[24:36.310 --> 24:37.450]  Because I think you saved us.
[24:37.750 --> 24:39.590]  No, I hit up.
[24:40.710 --> 24:41.670]  Oh god.
[24:44.990 --> 24:45.630]  Oh jeez.
[24:46.970 --> 24:47.950]  It's pretty zoomed in now.
[24:48.650 --> 24:49.530]  Oh jeez.
[24:50.090 --> 24:50.690]  Oh boy.
[24:51.130 --> 24:52.070]  Oh shit.
[24:52.430 --> 24:53.990]  Now go up.
[24:55.350 --> 24:56.550]  Alright, who's next?
[24:57.070 --> 24:57.290]  Green.
[25:03.090 --> 25:12.420]  Alright, blue and green.
[25:15.860 --> 25:17.600]  I don't know what you want.
[25:17.720 --> 25:19.000]  They were on top of me, man.
[25:21.640 --> 25:22.900]  Could you just not get up?
[25:24.340 --> 25:24.740]  No.
[25:26.060 --> 25:26.460]  No.
[25:27.000 --> 25:27.520]  I should have moved.
[25:28.600 --> 25:29.200]  Oh, it's me.
[25:29.860 --> 25:30.260]  Guys.
[25:33.320 --> 25:34.740]  Could be me again. It's not.
[25:36.040 --> 25:36.740]  All good.
[25:37.100 --> 25:38.120]  Very good. Very strong.
[25:38.860 --> 25:39.660]  Very amazing.
[25:40.300 --> 25:42.200]  Right at the top. There we go.
[25:43.280 --> 25:44.240]  I'm shot good.
[25:44.960 --> 25:46.100]  Green coming through. Move down, blue.
[25:46.300 --> 25:46.720]  There we go.
[25:47.280 --> 25:48.020]  Oh god.
[25:49.960 --> 25:51.600]  Why couldn't you guys fit?
[25:52.580 --> 25:53.940]  Someone was on top of me.
[25:54.600 --> 25:55.740]  I couldn't go up.
[25:57.480 --> 25:58.880]  Oh, I'm getting a burp stuck.
[25:58.980 --> 25:59.700]  I'm going to vomit again.
[26:00.140 --> 26:01.880]  Three of us went through no problem.
[26:02.440 --> 26:04.300]  Right, and two of us were stuck.
[26:07.300 --> 26:08.020]  See what?
[26:08.500 --> 26:09.240]  There we go.
[26:09.880 --> 26:11.960]  You were on top of me in that moment.
[26:12.060 --> 26:13.340]  I could not move.
[26:13.340 --> 26:15.060]  I was on the other side.
[26:16.140 --> 26:16.660]  Easy.
[26:19.620 --> 26:20.800]  There we go.
[26:22.300 --> 26:23.460]  Wow, it gave me
[26:23.460 --> 26:24.620]  no responsibility.
[26:25.340 --> 26:26.000]  That's perfect.
[26:29.820 --> 26:31.680]  I had 100% accuracy
[26:31.680 --> 26:33.220]  on that one. Way to go, buddy.
[26:33.500 --> 26:33.820]  Yeah.
[26:34.240 --> 26:35.020]  It's all good.
[26:42.140 --> 26:43.420]  Is that a shield?
[26:43.720 --> 26:44.980]  Yeah, it looks like a shield.
[26:45.320 --> 26:45.940]  Oh, what the?
[26:47.960 --> 26:48.960]  I got you.
[26:49.380 --> 26:50.900]  Nick, when you hit X, does it do anything?
[26:51.600 --> 26:52.680]  This is just what you have.
[26:53.040 --> 26:53.800]  This is what I got.
[26:54.560 --> 26:55.640]  Look for some components.
[26:56.020 --> 26:57.260]  What is that?
[26:58.580 --> 26:59.260]  Boss fight!
[26:59.260 --> 27:00.320]  Boss fight!
[27:01.700 --> 27:02.960]  Don't shoot each other.
[27:03.280 --> 27:03.480]  Yeah.
[27:06.360 --> 27:07.180]  We gotta
[27:07.180 --> 27:09.220]  stay kind of in fourths.
[27:09.220 --> 27:09.580]  Yeah.
[27:11.040 --> 27:12.520]  You got it, Gavin.
[27:14.180 --> 27:15.380]  How did the shield
[27:15.380 --> 27:16.360]  guy get hit?
[27:17.780 --> 27:19.420]  I'm gonna guess green shot him.
[27:19.800 --> 27:21.020]  I haven't shot him.
[27:23.060 --> 27:24.180]  Fan out.
[27:24.560 --> 27:27.160]  Stay above me, purple, and I'll stay below you.
[27:27.160 --> 27:28.360]  Then we won't kill each other.
[27:28.460 --> 27:30.000]  You mean me stay below you?
[27:30.320 --> 27:31.740]  Purple above orange.
[27:32.040 --> 27:34.820]  Oh, I'm sorry. I thought you were red.
[27:34.980 --> 27:36.120]  I thought you were red.
[27:38.140 --> 27:40.820]  I just turned the game on.
[27:40.860 --> 27:41.360]  Which one are you?
[27:42.800 --> 27:44.480]  I just shot the shit out of green.
[27:44.820 --> 27:47.200]  It's okay. I'm just staying away.
[27:48.000 --> 27:48.440]  Evading.
[27:48.800 --> 27:49.960]  Doing my best here.
[27:50.880 --> 27:51.220]  Oh!
[27:53.240 --> 27:54.180]  Get behind Andrew!
[27:54.180 --> 27:54.940]  Get behind Andrew!
[27:56.520 --> 27:58.340]  Gonna have to be behind Andrew there.
[27:58.800 --> 27:59.960]  Okay, whoever has the shield,
[28:00.080 --> 28:00.960]  you gotta stay in that middle.
[28:01.620 --> 28:02.380]  Orange, you wanna shoot these?
[28:03.080 --> 28:08.280]  Okay, I'm gonna stay at the very bottom.
[28:08.820 --> 28:10.080]  And then...
[28:10.080 --> 28:12.240]  Orange above green, green below orange.
[28:13.400 --> 28:14.240]  I'll stay in middle.
[28:14.700 --> 28:15.420]  Yeah, yeah, yeah.
[28:16.380 --> 28:18.320]  I think the thing we have to be aware of
[28:18.320 --> 28:20.380]  is when these bullets come, you just have to move some.
[28:20.640 --> 28:20.780]  Yep.
[28:20.780 --> 28:21.180]  Yeah.
[28:21.600 --> 28:24.280]  Nick, you might be up a little too far,
[28:24.420 --> 28:25.420]  but I mean, it's up to you.
[28:27.200 --> 28:28.180]  Oh my god.
[28:29.020 --> 28:29.440]  So close.
[28:30.540 --> 28:31.540]  Yeah, that works.
[28:32.840 --> 28:33.560]  There we go.
[28:35.180 --> 28:36.460]  So much damage.
[28:37.500 --> 28:38.340]  Keep firing!
[28:38.720 --> 28:39.760]  Get behind Nick!
[28:40.380 --> 28:41.540]  Stack it! Stack it!
[28:41.800 --> 28:42.660]  Stack up, fellas!
[28:44.400 --> 28:45.900]  Oh, who's jumbling?
[28:46.640 --> 28:47.780]  Geoff, he's just hitting buttons.
[28:48.340 --> 28:48.860]  Alright, go!
[28:49.620 --> 28:50.700]  Oh shit, Andrew!
[28:51.440 --> 28:52.460]  Uh, okay.
[28:52.780 --> 28:53.740]  Oh, more missiles!
[28:55.300 --> 28:56.900]  We can dodge them though, we don't need the shield.
[28:57.840 --> 28:58.680]  I'll stay in the middle.
[29:00.720 --> 29:01.360]  Sorry, Nick.
[29:01.560 --> 29:02.080]  That was me.
[29:03.700 --> 29:04.540]  I got you with one.
[29:05.400 --> 29:05.860]  Geoff died.
[29:06.040 --> 29:10.080]  Oh, this is gonna be a long boss fight.
[29:10.160 --> 29:10.580]  This is hard.
[29:11.200 --> 29:12.660]  I think we got it.
[29:12.740 --> 29:13.620]  Oh, I can do the shield.
[29:15.680 --> 29:16.040]  Uh...
[29:16.880 --> 29:17.240]  Okay.
[29:18.160 --> 29:19.320]  Are we in different spots now?
[29:19.600 --> 29:21.060]  Yeah, we are. Why are you up here?
[29:21.180 --> 29:21.980]  I'm gonna stay down here.
[29:22.080 --> 29:22.800]  Alright, I'll go down then.
[29:25.800 --> 29:27.520]  The only thing that's really tough
[29:27.520 --> 29:29.840]  is when we start, like when those bullets come in,
[29:30.040 --> 29:32.240]  just stop shooting
[29:32.240 --> 29:33.980]  and move sort of back and forth.
[29:34.120 --> 29:36.080]  What do I do as a Mr. Shield man?
[29:36.220 --> 29:37.280]  Do I just stand in the middle here?
[29:37.580 --> 29:39.200]  Yeah, stay in the middle and then shield.
[29:39.520 --> 29:41.660]  And then somebody shoots me from behind.
[29:41.660 --> 29:42.900]  Yeah, yeah, get shot by Andrew.
[29:43.360 --> 29:44.400]  And then, yeah, you got it.
[29:45.220 --> 29:46.560]  Mr. Shield man.
[29:47.620 --> 29:49.380]  Bring me a shield.
[29:49.820 --> 29:51.040]  It's in your name.
[29:51.380 --> 29:52.780]  Get behind him.
[29:54.000 --> 29:54.840]  Oh my god.
[29:55.080 --> 29:55.700]  Oh my god!
[30:00.300 --> 30:01.280]  Alright, spread out.
[30:01.440 --> 30:02.140]  Back to where we were.
[30:02.760 --> 30:05.520]  Yeah, that was really tough.
[30:06.400 --> 30:07.080]  Oh, he's so low.
[30:07.080 --> 30:07.760]  Ah!
[30:10.020 --> 30:10.460]  Yeah!
[30:12.500 --> 30:13.860]  Oh yeah, there we go.
[30:13.940 --> 30:14.920]  There we go, there we go.
[30:15.120 --> 30:15.440]  Easy.
[30:15.560 --> 30:18.840]  Great job, everybody.
[30:20.460 --> 30:21.260]  So good.
[30:21.640 --> 30:23.060]  Another level down for the
[30:23.060 --> 30:25.480]  Regulation Podcast, guys. Thank you so much for watching.
[30:26.940 --> 30:27.700]  This is a gameplay.
[30:27.960 --> 30:29.020]  Thanks for all the gifted subs.
[30:29.440 --> 30:31.320]  It's been great.
[30:31.460 --> 30:31.800]  Thank you!
[30:32.880 --> 30:35.220]  Everybody in the chat, do you guys listen
[30:35.220 --> 30:36.420]  to the Regulation Podcast?
[30:36.780 --> 30:38.680]  Or do you just watch us on Twitch?
[30:39.360 --> 30:41.200]  Or do you just watch us on YouTube?
[30:41.860 --> 30:42.740]  I wonder.
[30:43.600 --> 30:45.420]  You guys listen to the podcast?
[30:45.820 --> 30:46.360]  What's the podcast?
[30:47.080 --> 30:47.940]  Yeah, that's right.
[30:48.480 --> 30:50.480]  I'm afraid of that answer, but, you know.
[30:52.740 --> 30:53.820]  That was my homie.
[30:53.940 --> 30:54.340]  The who?
[30:54.940 --> 30:56.400]  That was my homie Mark the Frog.
[30:57.000 --> 30:58.180]  Mark the Frog.
[30:58.540 --> 31:00.500]  What is this?
[31:00.960 --> 31:01.440]  Slug.
[31:01.440 --> 31:03.380]  We know these from Gears.
[31:04.260 --> 31:05.900]  What's the thing on the top doing?
[31:06.360 --> 31:07.180]  I don't know.
[31:07.180 --> 31:07.620]  What does it mean?
[31:08.340 --> 31:09.980]  I don't know. I don't understand.
[31:11.460 --> 31:13.320]  Let's just keep moving.
[31:13.980 --> 31:16.640]  It stops you from moving if you're...
[31:16.640 --> 31:17.380]  Oh, I see.
[31:17.520 --> 31:19.440]  The three who are moving cause the other two
[31:19.440 --> 31:20.640]  to be unable to move.
[31:21.640 --> 31:22.640]  Does that make sense?
[31:23.800 --> 31:24.860]  I see. Yeah.
[31:27.480 --> 31:28.740]  Why am I sliding away?
[31:28.740 --> 31:29.960]  I don't know.
[31:30.840 --> 31:32.960]  Because only the three who are in the top
[31:32.960 --> 31:33.900]  can move at the moment.
[31:34.100 --> 31:34.860]  Oh, it's a fan.
[31:40.720 --> 31:42.900]  Nick just yelling the same thing.
[31:45.920 --> 31:47.320]  I'm just explaining it to you.
[31:47.420 --> 31:48.400]  You guys are going to need that.
[31:48.620 --> 31:50.100]  I fell over. I haven't gotten that far of it.
[31:50.800 --> 31:51.180]  Hold on.
[31:55.600 --> 31:56.620]  There we go.
[31:56.860 --> 31:57.340]  Easy.
[31:57.340 --> 31:57.520]  Easy.
[32:01.200 --> 32:03.220]  I still don't know if I fully understand
[32:03.220 --> 32:05.220]  what just happened, but we beat it, so I don't really care.
[32:05.320 --> 32:07.600]  I'll tell you what happened. We kicked the shit out of that level.
[32:07.900 --> 32:09.320]  The three at the top could move
[32:09.320 --> 32:10.140]  and the rest of...
[32:10.840 --> 32:13.300]  Oh, there's a fan.
[32:14.700 --> 32:15.240]  NFTSteven asked
[32:15.240 --> 32:16.940]  where this week's GTA and Minecraft are.
[32:17.040 --> 32:18.500]  I think GTA came out.
[32:23.300 --> 32:25.500]  We're in the middle of no Nick November
[32:25.500 --> 32:27.200]  which is all of our heists.
[32:28.160 --> 32:28.280]  Yeah!
[32:30.180 --> 32:34.220]  I don't know what we're supposed to do.
[32:34.420 --> 32:35.180]  Just wait a second.
[32:35.700 --> 32:36.480]  Stop moving!
[32:37.980 --> 32:38.960]  He's not scared.
[32:38.980 --> 32:40.380]  He's not intimidated by the jump.
[32:40.760 --> 32:42.500]  Is it like a boo? Like granny footsteps?
[32:44.080 --> 32:45.040]  Oh, yeah.
[32:45.940 --> 32:47.060]  I think we have to walk
[32:47.060 --> 32:48.160]  really, really, really slow.
[32:51.560 --> 32:52.620]  How's everybody's ankles?
[32:55.240 --> 32:55.660]  Like...
[32:55.660 --> 32:56.380]  Oh, God.
[32:57.300 --> 32:58.280]  Do it in little nugs.
[32:58.900 --> 33:00.900]  Yeah, it's not about holding a stick.
[33:01.120 --> 33:02.440]  It's about doing a little tap.
[33:03.120 --> 33:03.960]  Oh, my God.
[33:04.580 --> 33:06.020]  Was that a little tap that got you killed?
[33:06.240 --> 33:07.760]  Wait, it's red light, green light?
[33:07.980 --> 33:09.880]  How is it like red light, green light?
[33:14.280 --> 33:14.700]  What?
[33:16.180 --> 33:17.130]  I still don't...
[33:17.860 --> 33:19.340]  Is it too many people moving at once?
[33:19.440 --> 33:20.660]  Like only one person can move?
[33:20.960 --> 33:20.980]  Oh!
[33:20.980 --> 33:22.400]  Okay, so ready and go.
[33:23.460 --> 33:23.980]  Stop.
[33:24.580 --> 33:25.100]  Orange.
[33:27.640 --> 33:28.640]  Okay, here I go.
[33:29.780 --> 33:30.760]  Nick went for some reason.
[33:30.780 --> 33:31.840]  That's my bad.
[33:31.960 --> 33:32.480]  Sorry.
[33:34.280 --> 33:36.980]  Nope, I just...
[33:39.680 --> 33:40.760]  Nope, that was my fault.
[33:41.120 --> 33:41.380]  Go on.
[33:44.860 --> 33:46.320]  Nick, I'm gonna go.
[33:48.260 --> 33:48.780]  What?
[33:55.860 --> 33:57.180]  Look at us.
[33:57.420 --> 33:58.420]  Now I'm going?
[33:58.740 --> 33:59.500]  All the way to the door, yeah.
[34:01.400 --> 34:02.560]  Alright, my turn?
[34:03.760 --> 34:05.620]  Nick, I'm going to go.
[34:07.140 --> 34:07.780]  What?
[34:19.080 --> 34:19.500]  Oh!
[34:22.460 --> 34:23.100]  Oh!
[34:24.960 --> 34:25.600]  Oh!
[34:25.760 --> 34:27.260]  Oh, my God!
[34:28.140 --> 34:29.580]  This is a horror movie.
[34:30.240 --> 34:30.880]  Oh!
[34:30.880 --> 34:31.160]  Oh!
[34:35.060 --> 34:36.440]  I'm scared to move now.
[34:37.060 --> 34:37.700]  Ah!
[34:38.100 --> 34:41.000]  Did we get killed by the menu?
[34:41.420 --> 34:41.920]  What happened?
[34:42.660 --> 34:43.740]  Press X button to...
[34:43.740 --> 34:45.340]  To show what?
[34:46.220 --> 34:46.760]  Oh!
[34:48.040 --> 34:50.700]  We only move behind the...
[34:52.040 --> 34:53.540]  Okay, I'm gonna show it.
[34:54.720 --> 34:55.940]  Oh, my God!
[34:56.540 --> 34:58.240]  Red, you stay still.
[34:58.240 --> 34:59.080]  Everyone else move right.
[35:01.220 --> 35:02.000]  Am I moving?
[35:02.400 --> 35:04.340]  Okay, I think we're good. Here we go.
[35:05.340 --> 35:06.260]  We didn't move.
[35:06.620 --> 35:08.120]  So, Geoff, did you not move?
[35:08.280 --> 35:09.860]  I can't move. There he goes.
[35:10.320 --> 35:11.180]  You wouldn't let me.
[35:12.680 --> 35:14.420]  Why didn't the guy above me move?
[35:18.200 --> 35:19.820]  Everyone but Andrew hold right.
[35:21.640 --> 35:22.800]  Wait, who's on the top?
[35:22.880 --> 35:23.800]  You probably shouldn't hold right.
[35:24.340 --> 35:25.040]  No, I'm not gonna.
[35:25.040 --> 35:27.460]  Okay, cool. Oh, my God. How are we gonna do this?
[35:27.980 --> 35:29.240]  Maybe I'll go right first.
[35:29.900 --> 35:30.980]  Oh, I'm just gonna fall in.
[35:31.380 --> 35:31.840]  Oh, boy.
[35:31.920 --> 35:33.440]  I made it.
[35:34.880 --> 35:35.460]  Did you?
[35:36.900 --> 35:38.400]  Nice. Oh, buddy, Geoff.
[35:38.500 --> 35:39.140]  Get off me.
[35:40.520 --> 35:43.240]  Oh, my God. What are we gonna do?
[35:43.720 --> 35:44.400]  Did you go?
[35:44.940 --> 35:45.200]  Yeah.
[35:46.240 --> 35:47.100]  Okay, here we go.
[35:50.160 --> 35:50.600]  Wow.
[35:52.300 --> 35:52.740]  Yes!
[35:54.000 --> 35:54.360]  Okay.
[35:55.220 --> 35:56.880]  Yeah, I think you're gonna have to.
[35:58.280 --> 35:58.940]  All right, Geoff.
[35:58.960 --> 35:59.460]  Hold right.
[36:03.270 --> 36:04.210]  Oh, my God.
[36:04.830 --> 36:05.310]  Did I jump?
[36:05.790 --> 36:06.530]  Yeah, I heard it.
[36:08.030 --> 36:08.390]  Yay!
[36:10.630 --> 36:11.830]  Okay, Geoff, you stay there.
[36:12.810 --> 36:13.890]  Nick, you're gonna have to go and jump.
[36:14.610 --> 36:14.870]  Yep.
[36:18.250 --> 36:19.930]  Okay, I'm gonna jump.
[36:20.030 --> 36:21.390]  Andrew, I just need you to move a little bit right.
[36:21.390 --> 36:21.570]  Okay.
[36:22.610 --> 36:24.390]  Okay, there you go.
[36:24.430 --> 36:25.690]  Okay, that should be good.
[36:26.190 --> 36:27.210]  All right, Gavin, you ready?
[36:29.910 --> 36:31.050]  Just to get up there, you mean?
[36:31.210 --> 36:31.930]  Yeah, yeah, yeah.
[36:34.510 --> 36:35.890]  Eric walking into someone.
[36:36.150 --> 36:36.710]  Just shut up.
[36:37.390 --> 36:37.750]  Yep.
[36:38.970 --> 36:40.130]  Okay, so you didn't go.
[36:42.630 --> 36:43.590]  I'm gonna get up there.
[36:44.270 --> 36:45.370]  Oh, yeah? All right.
[36:45.510 --> 36:46.750]  Oh, the thing that he said to do?
[36:47.010 --> 36:47.370]  Crazy.
[36:48.050 --> 36:50.150]  Well, I was waiting for Geoff, but Geoff didn't go.
[36:50.530 --> 36:52.790]  Oh, now we're gonna have to stack.
[36:52.970 --> 36:54.270]  No fucking way!
[36:56.450 --> 36:58.070]  All right, let me get up right behind Andrew.
[36:58.290 --> 36:58.710]  Okay.
[37:00.290 --> 37:01.370]  Okay, ready?
[37:01.870 --> 37:02.310]  Yeah.
[37:03.950 --> 37:05.630]  I'm gonna jump and go over to the right.
[37:05.750 --> 37:05.770]  Ready?
[37:07.370 --> 37:07.890]  Oh, boy.
[37:10.010 --> 37:11.250]  I heard a jump.
[37:12.530 --> 37:13.030]  Oh, nice.
[37:13.410 --> 37:15.070]  Gotta do it twice.
[37:17.370 --> 37:18.910]  Oh, fuck. That's it.
[37:22.310 --> 37:23.650]  Oh, God. Okay.
[37:23.890 --> 37:24.790]  I should get on Eric?
