[00:00.000 --> 00:00.780]  It's an Xbox.
[17:16.040 --> 17:17.480]  They're down here, Nick.
[17:18.020 --> 17:19.120]  I think they're all the way down here.
[17:19.580 --> 17:21.440]  Oh boy, they're like right on top of Nick.
[17:22.360 --> 17:23.680]  I got you, buddy. I got you.
[17:25.600 --> 17:26.440]  Ahoy, sea dogs.
[17:26.760 --> 17:27.480]  Why am I in the ocean?
[17:30.080 --> 17:31.720]  Why am I in the ocean?
[17:33.780 --> 17:35.060]  The problem is running backwards.
[17:35.720 --> 17:36.920]  Ah, you shouldn't do that.
[17:37.460 --> 17:38.200]  That'll do it.
[17:40.100 --> 17:40.960]  What's over here?
[17:42.340 --> 17:43.100]  Cannonball barrel.
[17:45.300 --> 17:46.840]  Hey, get away from me.
[17:47.400 --> 17:48.200]  Get out of here.
[17:50.240 --> 17:50.680]  Skeletons.
[17:51.120 --> 17:52.280]  Bad boys coming up at you.
[17:52.960 --> 17:54.580]  We just gotta keep running in circles until more guys come?
[17:54.660 --> 17:55.040]  Is that what's happening?
[17:57.580 --> 17:58.460]  Andrew doesn't know.
[17:59.340 --> 18:01.040]  There should be some around.
[18:01.680 --> 18:02.860]  Oh yeah, they're up here.
[18:03.740 --> 18:05.300]  As soon as all the ones
[18:05.300 --> 18:07.520]  of a current wave are dead, the next wave spawns.
[18:07.520 --> 18:07.720]  Okay.
[18:09.720 --> 18:10.520]  No respite.
[18:12.260 --> 18:12.860]  Is that it?
[18:13.640 --> 18:14.200]  Yeah, there we go.
[18:14.780 --> 18:15.620]  There they are.
[18:22.740 --> 18:25.200]  Watch out behind you. They're spawning behind you.
[18:25.400 --> 18:25.980]  They're spawning. Oh.
[18:28.160 --> 18:29.220]  Ow! Was that me?
[18:29.340 --> 18:29.780]  Who shot me?
[18:29.780 --> 18:32.060]  Oh no.
[18:32.960 --> 18:33.680]  Behind you.
[18:34.400 --> 18:36.280]  Thank you. Nice.
[18:36.900 --> 18:37.660]  I need food.
[18:38.700 --> 18:39.640]  Look for barrels.
[18:41.700 --> 18:42.240]  Ah, they're back.
[18:42.660 --> 18:44.100]  They're coming up out of the ground.
[18:44.900 --> 18:45.360]  Keymasters!
[18:46.860 --> 18:48.440]  I think they might catch you on fire
[18:48.440 --> 18:49.300]  if you hit them with a sword.
[18:50.340 --> 18:51.660]  Uh, no. Oh, Jesus.
[18:52.020 --> 18:52.640]  Oh my God.
[18:54.240 --> 18:55.320]  Not at all.
[18:55.540 --> 18:56.400]  You don't know what you're talking about.
[18:57.180 --> 18:58.780]  That is not a thing, but I like
[18:58.780 --> 19:00.660]  the idea. I get why you would think that.
[19:01.120 --> 19:02.780]  When I hit one earlier, I did catch fire
[19:02.780 --> 19:04.000]  and that must have been because of you.
[19:04.900 --> 19:06.540]  Yeah, that was, I threw a fire grenade.
[19:07.240 --> 19:08.360]  Okay, well that was you.
[19:08.680 --> 19:10.480]  Oh my God, Ashen Guardian's still chasing me.
[19:10.840 --> 19:13.100]  Get away from me. No, no! I missed my barrel.
[19:14.360 --> 19:14.500]  Uh oh.
[19:15.400 --> 19:15.940]  Uh oh.
[19:16.080 --> 19:18.620]  Uh oh. Get away!
[19:21.420 --> 19:21.960]  Hi, prick.
[19:22.420 --> 19:23.440]  Where is this guy? There he is.
[19:23.440 --> 19:24.920]  I'm still fucking him up.
[19:25.240 --> 19:26.980]  Yeah, I'm fighting the Ashen Keymaster.
[19:28.340 --> 19:30.080]  Me and Geoff against this Ashen Guardian.
[19:31.180 --> 19:32.520]  Okay, Keymaster is down.
[19:33.280 --> 19:33.720]  Bang!
[19:34.360 --> 19:35.420]  Shot him in the back. Did we drop a key?
[19:36.020 --> 19:38.080]  We sure did, but it's not the one to open the thing.
[19:38.520 --> 19:39.460]  A vanilla...
[19:39.940 --> 19:40.800]  Ooh, Gold Dutch.
[19:41.620 --> 19:43.840]  Take two. A villainous bounty skull.
[19:44.000 --> 19:45.360]  Yeah, we got villainous bounty.
[19:46.260 --> 19:47.500]  We got a skull.
[19:48.120 --> 19:48.680]  The Duchess!
[19:50.080 --> 19:51.040]  Ahoy, the Duchess!
[19:51.040 --> 19:52.400]  Oh, the Duchess.
[19:53.200 --> 19:55.240]  Ow. Oh my God!
[19:55.480 --> 19:55.840]  I'm down.
[19:56.280 --> 19:58.180]  I'm down if you can get me up.
[19:58.400 --> 19:58.740]  I'm coming.
[20:00.600 --> 20:01.500]  I'm so far.
[20:06.250 --> 20:07.830]  Who are you going for?
[20:09.110 --> 20:10.010]  Looks like Geoff.
[20:10.470 --> 20:11.330]  You're not gonna make it.
[20:12.310 --> 20:12.990]  He's gone.
[20:14.910 --> 20:16.350]  Oh no, you're all gone. Ow, I'm shot.
[20:19.670 --> 20:20.710]  Hey, it's all of us.
[20:20.710 --> 20:23.390]  Welcome to the boat of death.
[20:24.550 --> 20:25.190]  Hello.
[20:25.730 --> 20:26.050]  Goodbye.
[20:27.250 --> 20:28.410]  Where'd you go?
[20:29.510 --> 20:30.570]  Boss lady.
[20:32.550 --> 20:33.730]  Ooh, milestone
[20:33.730 --> 20:34.550]  class three.
[20:35.090 --> 20:36.130]  Oh, she's chasing me.
[20:36.890 --> 20:38.230]  Duchess, no! Ow!
[20:38.650 --> 20:41.810]  Duchess, no. You said it like it was a small dog.
[20:42.210 --> 20:42.310]  Alright, here we go.
[20:42.310 --> 20:43.090]  We're back, boys.
[20:44.490 --> 20:46.970]  We're back, boys. Let's do it.
[20:48.190 --> 20:48.870]  Here?
[20:50.090 --> 20:51.150]  She's summoning
[20:51.150 --> 20:52.210]  skeletons.
[20:56.030 --> 20:56.710]  Ow!
[21:00.250 --> 21:01.350]  How you doing, Nick?
[21:01.810 --> 21:02.510]  Things are bad.
[21:02.650 --> 21:03.130]  Sounds good.
[21:05.170 --> 21:05.890]  Things are bad.
[21:07.270 --> 21:08.630]  Bad things.
[21:09.510 --> 21:11.250]  Hello. Put your blunderbuss down.
[21:11.490 --> 21:12.290]  Ooh, what are you?
[21:12.670 --> 21:14.730]  I got him.
[21:15.550 --> 21:17.430]  Ow! Are you digging something up?
[21:17.990 --> 21:19.850]  Yeah, the skeleton
[21:19.850 --> 21:21.730]  that you guys killed gave us a little diggable map
[21:21.730 --> 21:23.790]  for the island, so I'm digging up the treasure for that.
[21:23.890 --> 21:26.030]  And the key, we'll go into it.
[21:26.210 --> 21:27.090]  Got it. Okay, cool.
[21:27.650 --> 21:28.490]  I'm shooting the duchess.
[21:29.550 --> 21:30.730]  I'm stabbing the duchess.
[21:31.970 --> 21:33.170]  I'm with you, Andrew.
[21:33.430 --> 21:33.950]  I got your back.
[21:35.030 --> 21:37.030]  Murder, stab, kill.
[21:37.790 --> 21:37.910]  Ah!
[21:39.610 --> 21:41.350]  Move it to the dock and then
[21:41.350 --> 21:42.510]  feel free to go up and help her.
[21:42.510 --> 21:45.490]  Oh, are you alive still?
[21:46.210 --> 21:48.070]  Yes, very slowly dying.
[21:48.470 --> 21:49.110]  Don't die.
[21:50.030 --> 21:51.470]  Oh, yeah. Goodbye.
[21:52.670 --> 21:54.230]  She apparently is...
[21:54.230 --> 21:54.910]  Oh, goodness.
[21:55.690 --> 21:56.590]  Goodbye, friends.
[21:57.770 --> 22:00.090]  Oh, why didn't you say that you were down?
[22:02.790 --> 22:03.430]  I'm coming, Geoff.
[22:04.210 --> 22:04.690]  Yeah, fair play.
[22:06.590 --> 22:07.710]  You wouldn't have reached me anyway.
[22:08.310 --> 22:09.470]  I was down on the beach.
[22:11.050 --> 22:12.230]  She's gotta be pretty
[22:12.230 --> 22:14.270]  close to dead, though, at this point, I would think.
[22:14.270 --> 22:15.750]  I would think? Where is she?
[22:16.310 --> 22:17.070]  Ah, I found her!
[22:18.950 --> 22:19.710]  Get away, duchess!
[22:21.290 --> 22:21.970]  Duchess, no!
[22:23.410 --> 22:24.070]  Not the plants.
[22:26.230 --> 22:26.630]  Bang.
[22:27.410 --> 22:27.770]  Oh!
[22:28.850 --> 22:29.250]  Wow!
[22:30.230 --> 22:31.430]  Whoa, that was crazy.
[22:31.590 --> 22:34.610]  She does a ground pound and it's not good for you.
[22:34.990 --> 22:35.730]  No, it's a bad one.
[22:35.890 --> 22:37.130]  It's bad when she does a ground pound.
[22:37.710 --> 22:40.750]  Yeah, I'm alive. I just need to eat food and come back.
[22:41.390 --> 22:42.410]  I hear that.
[22:43.650 --> 22:44.910]  Where's she at?
[22:45.090 --> 22:45.710]  Where's she at?
[22:48.570 --> 22:49.050]  Duchess?
[22:49.310 --> 22:50.310]  She's over here, Andrew.
[22:50.710 --> 22:51.970]  I'm gonna go kill her.
[22:52.550 --> 22:54.430]  Hit the explosive button, you guys.
[22:55.350 --> 22:56.350]  Oh, that's a cannonball thing.
[22:56.510 --> 22:57.590]  Fuck, I'm out of ammo.
[22:59.270 --> 22:59.470]  Uh oh.
[23:00.350 --> 23:02.550]  I jumped at the right time.
[23:03.110 --> 23:03.390]  Oof.
[23:04.430 --> 23:05.410]  Hey, there's another boat coming.
[23:06.290 --> 23:07.070]  Is there?
[23:08.590 --> 23:09.930]  That's really not good.
[23:09.930 --> 23:10.870]  It's red.
[23:11.710 --> 23:13.310]  I don't know, are you gonna put a pin in the map?
[23:14.530 --> 23:15.830]  It's over here in the water.
[23:17.050 --> 23:18.110]  Please don't pound again.
[23:18.270 --> 23:19.230]  I'm going back to the boat for a minute.
[23:22.930 --> 23:24.270]  Coming up behind our boat.
[23:24.970 --> 23:25.650]  To the left of it.
[23:26.010 --> 23:27.630]  I assume that's very bad.
[23:28.630 --> 23:29.490]  Oh, yeah, that's bad.
[23:29.630 --> 23:31.310]  We gotta head back to the boat, get ready.
[23:31.650 --> 23:33.610]  Are we about to get in a boat fight?
[23:34.150 --> 23:34.310]  Yeah.
[23:36.470 --> 23:38.670]  Should I bring the ashen chest to the boat?
[23:38.670 --> 23:39.690]  Or leave it?
[23:40.470 --> 23:43.110]  We should try to get it with the...
[23:44.350 --> 23:44.670]  Harpoon?
[23:45.030 --> 23:45.550]  Yeah, if we can.
[23:45.950 --> 23:47.150]  It's gonna ram us!
[23:48.770 --> 23:49.670]  It rammed us!
[23:51.050 --> 23:51.910]  Right on them.
[23:53.290 --> 23:54.510]  I'm gonna board their boat and kill them.
[23:54.750 --> 23:55.650]  Yeah, you go ahead and do that.
[23:58.030 --> 23:59.670]  The duchess is on the dock waiting for us.
[23:59.770 --> 24:01.110]  She's like, I can't catch up with the boat.
[24:03.110 --> 24:04.150]  Can't catch up with the boat, fine.
[24:06.170 --> 24:07.270]  Gonna check below deck.
[24:07.270 --> 24:08.770]  They ran away. Yeah, why don't you do that?
[24:09.110 --> 24:10.490]  Andrew is on their boat.
[24:10.770 --> 24:12.170]  Yep, I'm gonna make sure it sinks.
[24:12.350 --> 24:12.750]  Yep.
[24:14.710 --> 24:18.010]  Oh, Andrew's on their boat and he is gonna blow this thing up.
[24:18.750 --> 24:21.310]  If anybody can help me in the basement, we have water.
[24:21.470 --> 24:22.450]  We are taking on water.
[24:22.450 --> 24:23.550]  Okay, what do you need?
[24:24.010 --> 24:25.250]  Can you scoop out the water?
[24:25.470 --> 24:26.270]  I'll patch holes.
[24:27.410 --> 24:29.510]  Alright, I'm on my way down.
[24:30.590 --> 24:30.870]  Thank you!
[24:31.310 --> 24:33.050]  Andrew, you're taking care of this.
[24:33.270 --> 24:33.370]  They're sunk.
[24:34.130 --> 24:34.790]  They're sunk?
[24:35.630 --> 24:37.170]  Do we need to worry about them coming back?
[24:38.430 --> 24:39.150]  Uh, potentially.
[24:40.750 --> 24:42.430]  That just sounds like a yes.
[24:43.850 --> 24:44.830]  Most likely, yeah.
[24:45.490 --> 24:46.130]  All the water's gone.
[24:46.390 --> 24:46.770]  You did it.
[24:47.550 --> 24:51.290]  We have to worry about them coming back and also knowing how to play the game better than us, potentially.
[24:51.650 --> 24:52.330]  Except for Andrew.
[24:52.950 --> 24:55.490]  Well, it doesn't seem like they did since Andrew sunk their ship.
[24:55.590 --> 24:56.370]  Well, Andrew's very good.
[24:57.390 --> 24:58.610]  You know what? Fair point.
[24:59.130 --> 25:00.110]  Let's load up the cannons.
[25:00.570 --> 25:02.230]  Oh yeah, that's actually a really good idea.
[25:02.390 --> 25:04.850]  I'm gonna shoot her with the cannon.
[25:05.430 --> 25:05.750]  Can you?
[25:06.370 --> 25:07.330]  Yeah, you can.
[25:07.490 --> 25:07.910]  Where is she?
[25:09.550 --> 25:11.150]  She was on the dock.
[25:12.810 --> 25:13.710]  I don't see her anymore.
[25:14.190 --> 25:15.250]  I don't see her anymore either.
[25:16.210 --> 25:17.410]  Are you all good on the boat front, Nick?
[25:18.310 --> 25:19.430]  Yep, we're all good.
[25:20.410 --> 25:23.270]  I'm loading all the cannons with cannonballs right now.
[25:23.370 --> 25:23.990]  I am as well.
[25:24.830 --> 25:25.430]  Just in case.
[25:25.830 --> 25:28.630]  I wonder if she respawned or despawned or something.
[25:28.630 --> 25:30.530]  It's been way too long.
[25:31.310 --> 25:32.210]  Does that happen?
[25:34.510 --> 25:35.070]  Sometimes.
[25:35.450 --> 25:36.390]  Not often, but it can.
[25:38.510 --> 25:39.450]  Where'd she go?
[25:40.190 --> 25:41.270]  Oh, she's right here.
[25:42.290 --> 25:42.990]  Touch ass!
[25:44.870 --> 25:47.050]  I saw you go flying, Geoff.
[25:47.150 --> 25:47.530]  Yeah.
[25:48.490 --> 25:49.850]  Is she up?
[25:50.010 --> 25:53.250]  Oh wow, Geoff got boned.
[25:54.250 --> 25:56.330]  I'll put some licks into her before I let her down.
[25:57.910 --> 25:58.590]  I'll hit her.
[25:58.910 --> 26:00.890]  She's gonna blow! She's gonna blow! Run!
[26:02.790 --> 26:03.830]  Oh, she didn't blow.
[26:07.510 --> 26:08.530]  Now she is.
[26:08.950 --> 26:09.750]  Oh, she's gone.
[26:13.890 --> 26:14.930]  My body!
[26:18.850 --> 26:19.630]  My legs!
[26:20.770 --> 26:21.310]  They're broken.
[26:23.190 --> 26:24.610]  Oh, she just went down?
[26:24.750 --> 26:26.590]  She's gonna teleport somewhere.
[26:26.590 --> 26:28.070]  Oh, is that what she does?
[26:28.450 --> 26:28.810]  Yeah.
[26:29.110 --> 26:29.470]  Okay.
[26:29.730 --> 26:30.030]  Out.
[26:30.330 --> 26:32.190]  There she is. She's in the... in the base.
[26:33.630 --> 26:34.370]  In the fort.
[26:35.430 --> 26:35.790]  Where?
[26:37.090 --> 26:37.950]  Oh, I see, I see.
[26:38.130 --> 26:38.550]  Bye, Andrew.
[26:41.370 --> 26:42.170]  Boy, I'm shooting her.
[26:42.970 --> 26:43.910]  Skeletons behind you, Geoff!
[26:44.130 --> 26:44.970]  Skeletons behind you, Geoff!
[26:44.970 --> 26:45.830]  Yeah, they have a ton of health.
[26:46.970 --> 26:47.330]  Ow!
[26:49.290 --> 26:50.430]  That should hurt her, guys.
[26:50.470 --> 26:50.970]  Okay, she's down.
[26:51.350 --> 26:51.710]  Yeah!
[26:52.850 --> 26:54.010]  Fuck you, Dutchess.
[26:54.030 --> 26:54.770]  Way to go, boys!
[26:55.210 --> 26:56.810]  I'm gonna check out for the other ship.
[26:57.690 --> 26:59.090]  Alright, you got the key?
[26:59.410 --> 27:00.930]  I'm grabbing gold pouches.
[27:01.190 --> 27:02.530]  Don't see anything.
[27:02.790 --> 27:04.590]  Nice, let's get all the pouches and stuff.
[27:04.730 --> 27:05.150]  Follow me.
[27:05.930 --> 27:07.870]  So we're going below, right here.
[27:08.370 --> 27:08.590]  Okay.
[27:10.850 --> 27:12.790]  And then, putting the key in.
[27:13.110 --> 27:13.530]  Hell yeah!
[27:16.690 --> 27:19.350]  Okay, let's quickly load up all the loot onto the dock.
[27:19.490 --> 27:20.190]  And then...
[27:21.470 --> 27:22.770]  Pick up treasure chest.
[27:22.770 --> 27:23.370]  You got it.
[27:25.450 --> 27:26.250]  Follow me!
[27:26.470 --> 27:26.930]  Oh my god.
[27:27.670 --> 27:29.310]  This is the best way to do it!
[27:29.470 --> 27:30.670]  Yeah, there's water.
[27:32.070 --> 27:32.470]  Crazy.
[27:33.030 --> 27:33.490]  You can swim.
[27:34.670 --> 27:37.530]  I didn't know it was there when I jumped, but I was hoping.
[27:41.730 --> 27:43.670]  That one boat gave us a scare, huh?
[27:44.610 --> 27:45.410]  Oh, terrifying.
[27:46.230 --> 27:48.450]  I think we gave them a bigger scare.
[27:48.930 --> 27:51.210]  I'm gonna go on the boat and start pulling these things up.
[27:51.750 --> 27:52.550]  Sounds good.
[27:54.170 --> 27:55.090]  Anything left, Andrew?
[27:55.450 --> 27:56.390]  Yeah, some chests.
[27:56.550 --> 27:57.750]  Lots of stuff.
[28:09.230 --> 28:10.330]  What am I...?
[28:10.330 --> 28:11.110]  Here, I'll move it for you.
[28:11.410 --> 28:12.310]  Thank you.
[28:19.920 --> 28:21.500]  The closer you put it to the front, the better.
[28:21.500 --> 28:22.300]  There you go, thank you.
[28:24.040 --> 28:24.800]  Thank you.
[28:25.360 --> 28:26.280]  Good work, boys.
[28:27.180 --> 28:29.420]  Probably be the last little bit, I think.
[28:30.400 --> 28:31.940]  Oh, we got four more things.
[28:32.120 --> 28:33.140]  Now, there's stuff
[28:33.140 --> 28:35.340]  over by where Andrew sunk
[28:35.340 --> 28:37.660]  their ship. Is that stuff to be concerned with?
[28:37.700 --> 28:38.700]  Like, we should go get it or no?
[28:39.360 --> 28:41.700]  It's probably, like, food barrels
[28:41.700 --> 28:42.860]  and cannibal crates.
[28:42.900 --> 28:45.660]  If it doesn't sparkle,
[28:45.920 --> 28:46.620]  you don't need it.
[28:46.820 --> 28:47.140]  Got it.
[28:49.340 --> 28:49.800]  Oh, wait.
[28:49.880 --> 28:51.100]  The zipline is faster, Geoff.
[28:51.580 --> 28:52.140]  Oh, okay.
[28:53.440 --> 28:54.740]  What am I missing? Here we go.
[28:56.900 --> 28:59.220]  I was about to move that
[28:59.220 --> 28:59.620]  for you there.
[29:00.860 --> 29:02.320]  Is this too much behind that?
[29:02.460 --> 29:03.680]  Yeah, it's behind the pole.
[29:04.440 --> 29:06.520]  There we go.
[29:08.260 --> 29:09.320]  Come on in, boys!
[29:09.320 --> 29:10.760]  I'm gonna hang on to that.
[29:13.720 --> 29:16.880]  He got ripped from the water.
[29:17.320 --> 29:19.220]  Why do we have this gunpowder barrel?
[29:20.460 --> 29:20.760]  Uh...
[29:20.760 --> 29:22.660]  Whose idea was that?
[29:22.820 --> 29:25.200]  I thought maybe it looked good. You guys don't like it?
[29:25.940 --> 29:27.280]  We're gonna dump that in the ocean.
[29:27.420 --> 29:28.040]  It's nice.
[29:29.120 --> 29:31.360]  If we were gonna be... If our goal was to
[29:31.360 --> 29:32.780]  board another ship...
[29:32.780 --> 29:33.660]  What happened?
[29:35.820 --> 29:37.680]  Did Geoff just drop it into the ocean?
[29:37.680 --> 29:38.600]  He did!
[29:38.880 --> 29:41.260]  If it touches our boat, it explodes.
[29:42.160 --> 29:42.920]  Next time.
[29:42.960 --> 29:45.480]  Hey, you guys should check to see if there's any water underneath the boat.
[29:45.980 --> 29:46.900]  There seems to be a lot.
[29:48.060 --> 29:48.900]  Thank you.
[29:49.140 --> 29:52.000]  There seems to be.
[29:52.140 --> 29:53.340]  Now, why is that?
[29:54.300 --> 29:55.040]  I don't know.
[29:56.100 --> 29:57.200]  Something weird happened.
[29:57.480 --> 29:59.320]  It's weird. I wet down the gunpowder
[29:59.320 --> 30:00.280]  so it wouldn't fire.
[30:01.300 --> 30:03.540]  I wet down the gunpowder.
[30:05.740 --> 30:07.560]  Always saying he's a gunpowder wetter.
[30:07.820 --> 30:10.500]  I mean, I just jumped off the boat with it into the ocean.
[30:10.600 --> 30:12.380]  I didn't actually touch the boat, I don't think.
[30:13.060 --> 30:14.420]  Well, it did somehow.
[30:16.820 --> 30:17.180]  Uh...
[30:17.180 --> 30:17.900]  We did it.
[30:18.240 --> 30:19.040]  We sure did.
[30:20.020 --> 30:21.400]  Let's go to the skull up ahead.
[30:21.960 --> 30:23.480]  Ooh, the red one. The orange one.
[30:23.560 --> 30:24.920]  Alright, I'm coming. I'm on my way back.
[30:25.500 --> 30:26.480]  Oh, good lord.
[30:26.660 --> 30:27.160]  That's pretty cool.
[30:29.600 --> 30:31.480]  I mean, you should wait for me, probably.
[30:31.480 --> 30:32.880]  Yeah, we don't have the sails down.
[30:32.940 --> 30:35.580]  So, it's just gonna allow us to move once we drop.
[30:35.600 --> 30:36.640]  Don't worry, guys. I'll be there.
[30:37.300 --> 30:38.920]  Also, there's a mask thing.
[30:39.920 --> 30:41.480]  I'm the communications director.
[30:44.220 --> 30:46.340]  Alright, I'm up. Let's go.
[30:47.740 --> 30:48.640]  Set sail for adventure.
[30:49.660 --> 30:50.900]  I'm still raised in anchor.
[30:51.280 --> 30:52.540]  That takes too long.
[30:52.600 --> 30:53.480]  I'm looking majestic.
[30:54.080 --> 30:56.400]  Someone wants to help on the anchor.
[30:56.940 --> 30:58.300]  I would, but I'm looking majestic.
[30:59.460 --> 31:00.320]  Alright, guys. I'm here.
[31:00.380 --> 31:01.660]  Let me lower the anchor.
[31:05.200 --> 31:06.740]  Alright, I'll pull down the sails.
[31:08.340 --> 31:10.420]  Okay, we might bump into some stuff on the way out.
[31:10.980 --> 31:11.560]  Don't do that.
[31:12.280 --> 31:13.120]  Is it explosive?
[31:13.580 --> 31:14.780]  Hopefully not.
[31:16.020 --> 31:17.460]  Anything good in that little
[31:18.940 --> 31:20.040]  turret thing in the water?
[31:23.600 --> 31:24.040]  Cannibals.
[31:24.520 --> 31:25.620]  That doesn't sound good.
[31:25.620 --> 31:27.060]  Do I need to check?
[31:27.520 --> 31:27.760]  I'm checking.
[31:27.960 --> 31:31.720]  I don't
[31:31.720 --> 31:33.040]  see any water coming in.
[31:33.620 --> 31:34.340]  We're fine.
[31:35.520 --> 31:36.360]  Something blew up!
[31:40.940 --> 31:41.740]  Where's the wood?
[31:41.880 --> 31:42.420]  Do I have wood?
[31:43.800 --> 31:44.720]  There's a wood barrel.
[31:45.480 --> 31:47.780]  I got the water out.
[31:48.320 --> 31:48.640]  Good job.
[31:49.660 --> 31:51.480]  Don't worry, guys. I'm still majestic
[31:51.480 --> 31:52.140]  up on the mast.
[31:52.140 --> 31:53.200]  Aw, good.
[31:54.440 --> 31:55.380]  You put sunscreen on?
[31:56.180 --> 31:57.400]  Fucking you know it, dude.
[31:57.660 --> 32:00.000]  Man, it must have been
[32:00.000 --> 32:01.680]  miserable back then on these boats.
[32:02.340 --> 32:04.000]  Hey, we might make it in like
[32:04.000 --> 32:05.880]  three months. I can imagine
[32:05.880 --> 32:07.720]  the first sunscreen crater,
[32:07.960 --> 32:09.140]  everyone thinking it's a fake.
[32:10.080 --> 32:11.880]  You hear that Bob's trying to sell some
[32:11.880 --> 32:13.780]  elixir that fights the sun?
[32:14.240 --> 32:16.400]  It's like he's rubbing some guy's cum all over his arms
[32:16.400 --> 32:17.580]  trying to get a sunburn.
[32:18.260 --> 32:19.860]  The vibes are in check.
[32:19.860 --> 32:20.640]  Good.
[32:22.920 --> 32:23.920]  Vibe Inspector
[32:23.920 --> 32:25.660]  has passed us.
[32:26.040 --> 32:27.200]  We got an A+.
[32:35.100 --> 32:35.780]  We got
[32:35.780 --> 32:37.080]  anything coming up ahead?
[32:39.100 --> 32:40.220]  Got some...
[32:40.220 --> 32:42.040]  Looks like...
[32:42.040 --> 32:43.600]  No, we're good. Some sort of a
[32:44.580 --> 32:45.880]  base on the
[32:45.880 --> 32:47.440]  immediate right, but I'm sure you're aware of that.
[32:50.100 --> 32:51.720]  A little island base.
[32:52.340 --> 32:52.780]  Boom.
[32:58.590 --> 32:59.470]  Incoming cannonballs.
[32:59.510 --> 33:00.310]  Uh-oh. We're getting attacked.
[33:00.450 --> 33:01.750]  Which side? Right side?
[33:02.250 --> 33:03.090]  On the right.
[33:04.190 --> 33:04.950]  It's on a ship.
[33:05.890 --> 33:07.810]  Oh, we're hit.
[33:09.270 --> 33:09.970]  Uh-oh.
[33:10.970 --> 33:11.470]  Is that underneath?
[33:13.050 --> 33:13.590]  I got my bucket.
[33:14.390 --> 33:14.970]  I'm a bucket man.
[33:16.450 --> 33:18.050]  We got water coming in.
[33:18.790 --> 33:19.730]  We got water coming out.
[33:22.230 --> 33:23.390]  Missed every shot I took.
[33:23.390 --> 33:24.030]  This is terrible.
[33:25.610 --> 33:26.790]  Just fucking bad.
[33:26.910 --> 33:29.670]  You may have missed every shot you took,
[33:29.750 --> 33:31.310]  but don't forget you also miss 100%
[33:31.310 --> 33:32.630]  of the shots you don't take.
[33:33.830 --> 33:34.970]  Now that's inspiration.
[33:35.430 --> 33:36.610]  Yeah, I'm real inspired.
[33:37.250 --> 33:38.730]  You may have missed, but you would have missed anyway.
[33:40.150 --> 33:40.950]  Where are we?
[33:41.250 --> 33:43.110]  We're gonna loop back around.
[33:45.130 --> 33:46.370]  Wow, it got dark fast.
[33:47.130 --> 33:49.390]  We want to go and fight these guys? Is that what's happening?
[33:49.590 --> 33:49.790]  Yep.
[33:51.290 --> 33:52.950]  Yeah, they said something about your mom.
[33:53.590 --> 33:53.910]  What?
[33:54.830 --> 33:55.150]  Yeah.
[33:56.370 --> 33:57.930]  Nobody wanted to tell you, but
[33:57.930 --> 33:59.870]  we just wanted to take care of it without you finding out,
[33:59.930 --> 34:01.290]  but it's better to be honest.
[34:02.050 --> 34:03.010]  Okay, we have a choice.
[34:04.050 --> 34:06.150]  Do we want to cash out what we have,
[34:07.070 --> 34:08.930]  or do we want to fight this boat
[34:09.630 --> 34:10.950]  that's coming towards us?
[34:11.130 --> 34:11.690]  I want to fight the boat.
[34:12.150 --> 34:13.150]  Don't you want to fight the boat?
[34:13.570 --> 34:15.070]  I'm good with fighting the boat, it's just
[34:15.070 --> 34:17.990]  do we want to try to cash out first so we don't lose everything
[34:17.990 --> 34:19.650]  before the boat kills us, but that's okay.
[34:20.010 --> 34:20.570]  Give a shit?
[34:21.570 --> 34:22.350]  Where's the boat?
[34:22.590 --> 34:26.050]  Until I can get a monkey, nothing matters.
[34:26.470 --> 34:27.070]  What do we got?
[34:27.350 --> 34:28.450]  See the boat coming up?
[34:28.790 --> 34:29.030]  No.
[34:29.210 --> 34:30.990]  No, where is it?
[34:32.350 --> 34:33.310]  It's uh...
[34:33.890 --> 34:35.390]  southwest of us.
[34:37.050 --> 34:38.270]  What a clock.
[34:38.610 --> 34:39.410]  I don't want to pull up a compass.
[34:41.050 --> 34:42.470]  It's directly in front of us.
[34:43.550 --> 34:44.910]  Do you see a boat?
[34:44.910 --> 34:46.350]  Directly in front.
[34:46.490 --> 34:47.350]  I'm looking.
[34:48.130 --> 34:49.350]  I don't see a boat.
[34:49.770 --> 34:51.470]  Let me get my looking glass.
[34:52.270 --> 34:53.330]  I feel nuts.
[34:53.770 --> 34:55.390]  I see a boat.
[34:55.690 --> 34:57.630]  It's way out there.
[34:58.010 --> 35:00.650]  Does it want to fight us?
[35:01.210 --> 35:01.550]  Yes.
[35:02.270 --> 35:05.190]  It has a combative flag on it.
[35:05.270 --> 35:05.590]  Oh, really?
[35:06.490 --> 35:07.690]  Combat flag.
[35:09.010 --> 35:10.010]  Oh, is it that thing?
[35:11.110 --> 35:12.490]  I didn't see it either.
[35:12.490 --> 35:14.090]  It's okay, Nick. I'm with you.
[35:15.370 --> 35:16.730]  You have a good eyesight, Andrew.
[35:16.870 --> 35:17.630]  Oh, we just unlocked a ship.
[35:17.650 --> 35:18.310]  It's on the map.
[35:19.890 --> 35:21.110]  How do you use the map?
[35:21.650 --> 35:22.730]  You go down to the map board.
[35:23.010 --> 35:24.150]  Oh, there's like a map room.
[35:24.330 --> 35:26.470]  I'm not going up down there.
