[00:00.000 --> 00:00.880]  We should be live.
[16:15.050 --> 16:15.810]  From above.
[16:16.050 --> 16:16.910]  I'm not hitting nothing.
[16:18.710 --> 16:19.470]  Oh, no.
[16:19.550 --> 16:19.990]  The grenade.
[16:23.550 --> 16:24.430]  I'm arming it.
[16:24.870 --> 16:25.430]  No, I'm not.
[16:25.630 --> 16:26.650]  I'm just throwing it into the sea.
[16:27.370 --> 16:27.570]  Lava.
[16:27.890 --> 16:28.010]  Lava.
[16:28.310 --> 16:28.770]  What was that?
[16:29.050 --> 16:30.310]  Andrew left Discord.
[16:30.770 --> 16:31.110]  Is that a tie?
[16:32.850 --> 16:33.170]  How?
[16:35.070 --> 16:38.050]  He probably just hit a button or something.
[16:38.950 --> 16:41.310]  He's still playing, but he's not on Discord.
[16:43.210 --> 16:48.190]  What is that in the middle?
[16:49.410 --> 16:50.950]  God damn, good job.
[16:53.530 --> 16:54.510]  All right, Gavin.
[16:54.930 --> 16:56.610]  Does that mean...
[16:56.610 --> 16:57.270]  Hello?
[16:58.150 --> 16:58.930]  Now I'm back.
[16:59.710 --> 17:00.910]  You left Discord.
[17:01.730 --> 17:02.970]  Discord crashed.
[17:03.290 --> 17:04.010]  I didn't leave Discord.
[17:04.650 --> 17:05.750]  Discord left him.
[17:06.290 --> 17:06.810]  It did.
[17:08.730 --> 17:09.290]  Drill.
[17:11.030 --> 17:12.030]  This ain't a drill.
[17:12.910 --> 17:13.670]  This ain't no drill.
[17:14.070 --> 17:15.030]  This ain't no drill.
[17:15.210 --> 17:16.290]  This is a real event.
[17:16.290 --> 17:17.250]  I got a little shotty.
[17:20.550 --> 17:21.670]  Oh, wow.
[17:22.750 --> 17:25.790]  Who's got a lightsaber now, bitches?
[17:31.010 --> 17:31.410]  Oh.
[17:33.990 --> 17:35.590]  Oh, shit, shit, shit.
[17:35.790 --> 17:36.690]  Oh, you grabbed it.
[17:36.770 --> 17:37.590]  That was so cool.
[17:38.970 --> 17:41.350]  I fired a grenade and you grabbed it.
[17:41.990 --> 17:42.990]  I want the crossbow.
[17:43.950 --> 17:45.390]  So the game audio is still too loud.
[17:46.510 --> 17:47.950]  Okay, we'll just get rid of the game audio.
[17:48.710 --> 17:49.110]  Yeah.
[17:49.310 --> 17:50.110]  Who needs it?
[17:50.370 --> 17:54.090]  We'll just keep the music off and sound down a little bit.
[17:55.650 --> 17:57.510]  The sound effects are as low as they can go.
[17:57.830 --> 17:58.810]  I'll get rid of music.
[17:59.370 --> 18:00.470]  All right, so tennis.
[18:01.650 --> 18:02.950]  Oh, shit, I threw it again.
[18:06.230 --> 18:06.670]  Options.
[18:07.330 --> 18:07.990]  Oh, God.
[18:08.510 --> 18:09.610]  Oh, my God.
[18:09.770 --> 18:10.670]  Did that thing tackle you?
[18:11.710 --> 18:12.670]  That thing shot.
[18:12.770 --> 18:14.690]  I shot you with it sitting there fucking flying.
[18:15.250 --> 18:16.710]  That was such an undeserved win.
[18:16.850 --> 18:17.610]  I was upsetting the entire time.
[18:17.610 --> 18:18.970]  Andrew won by standing still, yeah.
[18:19.990 --> 18:23.710]  Oh, that was cool.
[18:28.550 --> 18:30.070]  Oh, fuck.
[18:30.330 --> 18:31.630]  I went right into it.
[18:32.130 --> 18:33.510]  I don't know why I lived.
[18:34.330 --> 18:34.770]  I don't either.
[18:35.270 --> 18:36.110]  I don't appreciate it.
[18:36.130 --> 18:36.650]  I'll tell you that.
[18:38.370 --> 18:39.810]  I got the dead space gun.
[18:43.570 --> 18:44.890]  You sent yourself.
[18:45.350 --> 18:47.450]  I just wanted to get away from you at the very least.
[18:48.030 --> 18:50.530]  Oh, that was so cool.
[18:50.770 --> 18:52.270]  That was amazing, Gavin.
[18:52.270 --> 18:53.210]  Oh, Geoff.
[18:54.790 --> 18:55.650]  I won.
[18:56.710 --> 18:57.330]  Def won.
[19:01.630 --> 19:03.450]  Stop changing game audio.
[19:03.930 --> 19:04.210]  Okay.
[19:05.150 --> 19:05.570]  That's done.
[19:06.390 --> 19:06.870]  Yeah.
[19:07.330 --> 19:08.430]  Geoff, it is what it is.
[19:08.530 --> 19:09.070]  It doesn't matter.
[19:09.570 --> 19:10.890]  The audio is what it is.
[19:12.230 --> 19:14.010]  And what it is is audio.
[19:16.330 --> 19:16.930]  Right.
[19:18.070 --> 19:18.550]  Right.
[19:20.070 --> 19:22.430]  Geoff almost getting slipped by the middle thing.
[19:24.770 --> 19:25.730]  Take that.
[19:25.970 --> 19:26.870]  Whatever that does.
[19:27.190 --> 19:28.890]  Oh, I don't like you guys with the weapons.
[19:30.410 --> 19:30.830]  Get back.
[19:33.710 --> 19:35.230]  Is that thing gonna blow up, Geoff?
[19:35.710 --> 19:35.930]  No.
[19:36.710 --> 19:37.550]  But I will.
[19:40.990 --> 19:41.950]  Oh, no.
[19:42.050 --> 19:42.890]  Andrew Penn's about to win.
[19:43.190 --> 19:43.850]  I don't like that.
[19:44.250 --> 19:45.070]  No, that shouldn't happen.
[19:45.790 --> 19:46.830]  What are we playing to?
[19:47.530 --> 19:47.910]  Seven.
[19:48.290 --> 19:50.290]  Alright, I need to get quite a lot more.
[19:50.790 --> 19:51.230]  Die!
[19:52.930 --> 19:54.150]  Oh, no!
[19:54.550 --> 19:55.170]  Let me out of here!
[19:55.730 --> 19:56.250]  Oh, no!
[20:01.340 --> 20:02.520]  That was awesome.
[20:02.880 --> 20:03.900]  Well, I unlocked a plunger.
[20:04.660 --> 20:04.880]  Yeah!
[20:06.480 --> 20:07.660]  Wait, you won the game?
[20:09.040 --> 20:09.600]  How did you?
[20:10.180 --> 20:11.040]  I killed two people.
[20:11.260 --> 20:11.940]  I got a double kill.
[20:13.100 --> 20:14.340]  Oh, you get points for kills?
[20:14.440 --> 20:15.180]  I thought it was a round.
[20:16.880 --> 20:17.400]  Oh.
[20:18.200 --> 20:20.440]  Maybe it was 6-6 and I just didn't see it.
[20:21.040 --> 20:22.040]  Oh, Geoff.
[20:22.700 --> 20:23.320]  I'm sorry.
[20:25.560 --> 20:27.420]  Oh, I really liked what I had going there.
[20:27.460 --> 20:29.480]  You just blasted it out of the sky.
[20:30.220 --> 20:31.220]  Oh, fuck.
[20:36.920 --> 20:37.960]  Throw it!
[20:38.700 --> 20:40.080]  Oh, you got it!
[20:40.340 --> 20:41.060]  Oh, no!
[20:41.440 --> 20:41.940]  Oh, no!
[20:42.380 --> 20:42.900]  No!
[20:45.180 --> 20:45.400]  Ha!
[20:49.360 --> 20:51.140]  So, no points for anyone.
[20:51.680 --> 20:52.320]  No points.
[20:53.820 --> 20:54.540]  Oh, Geoff, get it.
[20:54.860 --> 20:55.280]  What are you doing?
[20:55.480 --> 20:55.800]  Oh!
[20:57.860 --> 20:58.820]  From above!
[20:59.060 --> 20:59.860]  Oh, no!
[21:00.020 --> 21:00.240]  Get it!
[21:01.300 --> 21:03.740]  Oh, there is so much force that got into me.
[21:04.140 --> 21:05.520]  Geoff, my stick got a small.
[21:06.960 --> 21:07.900]  It happens.
[21:09.740 --> 21:10.780]  Oh, my God.
[21:11.720 --> 21:13.840]  You propelled him into that lava.
[21:13.840 --> 21:15.220]  That's a point for Gavy.
[21:15.620 --> 21:16.100]  Fuck.
[21:16.580 --> 21:17.820]  Oh, it's Gavin's wall.
[21:19.740 --> 21:20.100]  Fungi.
[21:21.380 --> 21:22.800]  Alright, what kind of gun is this?
[21:22.940 --> 21:23.180]  Shotty?
[21:23.680 --> 21:24.020]  Love it.
[21:24.980 --> 21:27.360]  I like that you can shoot other items.
[21:28.280 --> 21:28.760]  Oh, shit.
[21:28.940 --> 21:29.800]  Yeah, that is really cool.
[21:32.060 --> 21:32.780]  Kabir said...
[21:32.780 --> 21:34.960]  I take back everything Gavin said about this game.
[21:35.000 --> 21:35.540]  It's pretty fun.
[21:36.980 --> 21:38.080]  I like it quite a bit.
[21:38.660 --> 21:38.880]  Yeah.
[21:39.720 --> 21:40.720]  I like it more.
[21:41.380 --> 21:42.200]  I liked it when I won.
[21:42.700 --> 21:43.960]  I'm not liking it as much this time.
[21:46.380 --> 21:47.920]  I'm gonna go for a clean sheet.
[21:48.780 --> 21:49.480]  Oh, shit.
[21:51.380 --> 21:53.140]  Fight me on the pendulous box.
[21:54.640 --> 21:55.080]  Fuck.
[21:55.380 --> 21:55.520]  No.
[21:55.860 --> 21:56.120]  No.
[21:58.860 --> 22:00.580]  I couldn't figure out how to throw.
[22:01.280 --> 22:01.640]  Oops.
[22:02.140 --> 22:03.600]  Oh, you guys are breaking the box.
[22:03.620 --> 22:04.120]  We cut it.
[22:04.400 --> 22:05.240]  We cut the thing.
[22:05.340 --> 22:05.900]  Oh, shit.
[22:07.040 --> 22:08.600]  This is a real Jedi battle.
[22:09.460 --> 22:10.860]  I have the high ground.
[22:17.720 --> 22:20.240]  Do, do, do, do, do, do, do, do.
[22:20.240 --> 22:20.640]  Oh.
[22:21.920 --> 22:22.440]  Oh.
[22:22.920 --> 22:25.400]  Do, do, do, do, do, do, do, do.
[22:25.400 --> 22:26.720]  Oh, you got me.
[22:27.560 --> 22:29.000]  From the low ground.
[22:29.860 --> 22:30.520]  Who could have saw it coming?
[22:30.580 --> 22:31.680]  You got me.
[22:33.060 --> 22:34.840]  Calf your arms and most of your leg.
[22:37.840 --> 22:39.740]  Oh, that was a blow-up thing.
[22:40.100 --> 22:41.060]  I need tools.
[22:43.420 --> 22:45.460]  Andrew just got dismissed in this round.
[22:45.460 --> 22:48.040]  I'm just, yeah, I was like, let's figure this out a little bit.
[22:56.160 --> 22:58.240]  I can't hear them over my lawnmower.
[22:58.480 --> 22:59.180]  Oh, Christ.
[23:02.980 --> 23:04.140]  What is, oh.
[23:04.560 --> 23:05.000]  What do you want?
[23:05.080 --> 23:05.480]  No.
[23:05.920 --> 23:06.860]  What a shot.
[23:07.500 --> 23:09.600]  That was, that was real good, Geoff.
[23:09.800 --> 23:10.620]  Dude, thank you.
[23:10.660 --> 23:10.980]  Thank you.
[23:11.020 --> 23:11.760]  Thank you.
[23:14.680 --> 23:15.980]  Yeah, I dare you to shoot at this.
[23:19.640 --> 23:20.610]  I don't want to.
[23:33.520 --> 23:35.100]  You're good with that lightsaber.
[23:35.280 --> 23:36.000]  I'll give you credit.
[23:36.200 --> 23:37.700]  You could have been a real good Jedi.
[23:38.400 --> 23:40.140]  You're a real, you're a real Ewan McGregor.
[23:42.220 --> 23:44.380]  Oh, I got Ewan McGregor for you.
[23:44.820 --> 23:45.280]  No, I don't.
[23:45.820 --> 23:46.800]  No, I don't.
[23:47.940 --> 23:48.880]  Oh, Geoff killed himself.
[23:49.240 --> 23:50.000]  Oh, Geoff.
[23:50.160 --> 23:52.200]  Not yet, but I came pretty fucking close.
[23:52.200 --> 23:52.820]  Oh, shit.
[23:53.160 --> 23:54.180]  Oh, you're still alive.
[23:54.680 --> 23:54.820]  Yeah.
[23:54.880 --> 23:56.460]  I wasted my last thing.
[23:56.680 --> 24:04.980]  Oh, a little grenade celebration.
[24:05.540 --> 24:06.020]  I like it.
[24:06.800 --> 24:07.820]  I gotta get back in this.
[24:08.040 --> 24:08.560]  I gotta get a point.
[24:10.700 --> 24:12.140]  Nope, not this round.
[24:14.020 --> 24:17.140]  You're just splashing like you fell in a pond.
[24:31.800 --> 24:32.920]  Oh, shit.
[24:32.920 --> 24:35.440]  Oh, shit.
[24:36.500 --> 24:37.300]  Get back.
[24:37.460 --> 24:38.640]  No, you get back too.
[24:39.840 --> 24:41.440]  Everyone, get away from me.
[24:42.460 --> 24:43.020]  No.
[24:44.880 --> 24:47.540]  Oh, I won.
[24:50.160 --> 24:51.440]  We gotta stop Gavin.
[24:51.440 --> 24:52.920]  We gotta focus in on him.
[24:53.220 --> 24:54.300]  Oh, these are awesome.
[24:55.480 --> 24:56.000]  Grenade!
[24:57.660 --> 24:59.440]  Shit, I didn't arm it.
[25:01.280 --> 25:01.540]  No!
[25:05.320 --> 25:06.180]  Where's the high ground?
[25:06.720 --> 25:07.760]  Geoff, it's all on you!
[25:11.100 --> 25:11.620]  Yeah!
[25:12.740 --> 25:14.240]  I was trying to get that weapon.
[25:16.120 --> 25:17.360]  Alright, we're still alive.
[25:25.500 --> 25:26.420]  Is this fire?
[25:26.680 --> 25:27.200]  What does this do?
[25:28.300 --> 25:29.120]  I can stab.
[25:31.620 --> 25:32.900]  I'm going for him.
[25:32.960 --> 25:33.600]  What'd you get, you little bitch?
[25:33.940 --> 25:35.640]  Oh shit!
[25:36.260 --> 25:37.100]  Let's box him in.
[25:37.920 --> 25:38.780]  No, I don't want the box.
[25:39.920 --> 25:41.040]  I'm coming with the box!
[25:42.220 --> 25:43.060]  Give me this.
[25:43.840 --> 25:45.640]  Oh no, you blew it up!
[25:46.180 --> 25:47.700]  Oh shit, I blew up the weapons!
[25:47.700 --> 25:48.360]  Oh!
[25:55.980 --> 25:56.460]  Oh!
[25:56.680 --> 25:57.440]  Thank you!
[25:59.660 --> 26:01.660]  That was a pretty epic battle
[26:01.660 --> 26:02.860]  until we both didn't realize
[26:02.860 --> 26:04.060]  the ground was rising.
[26:07.640 --> 26:09.180]  This game is insane.
[26:09.340 --> 26:10.080]  Oh shit, I'm sorry, Andrew.
[26:10.360 --> 26:10.840]  That's okay.
[26:12.440 --> 26:13.780]  Are you idiots teaming up?
[26:14.340 --> 26:15.760]  Oh absolutely, we are. You're one away.
[26:18.600 --> 26:19.220]  God damn it!
[26:19.220 --> 26:19.940]  Stay alive, baby!
[26:20.900 --> 26:21.640]  Oh, fuck.
[26:22.700 --> 26:24.000]  I gotta get off the floor.
[26:26.440 --> 26:26.960]  Give me that.
[26:27.040 --> 26:28.260]  Give me that sabre.
[26:31.540 --> 26:32.780]  Ha, yeah!
[26:33.920 --> 26:34.400]  Nice.
[26:34.400 --> 26:37.120]  That was a complete accident, but I'll take it.
[26:38.980 --> 26:40.860]  Offer you Geoff with the high ground!
[26:41.900 --> 26:42.080]  Bah!
[26:42.900 --> 26:43.400]  Bah!
[26:44.960 --> 26:45.760]  Oh no!
[26:45.760 --> 26:45.820]  No!
[26:48.640 --> 26:49.480]  Did a weapon
[26:49.480 --> 26:50.600]  fall on top of me?
[26:52.120 --> 26:53.760]  Oh, that's so funny.
[26:55.560 --> 26:56.720]  Oh, I got another one of these.
[26:59.720 --> 26:59.880]  Oh.
[27:01.740 --> 27:03.120]  There we go, okay.
[27:04.160 --> 27:04.920]  Damn, we are quiet.
[27:05.700 --> 27:06.380]  I don't like that.
[27:10.600 --> 27:10.960]  Oh shit!
[27:14.480 --> 27:15.360]  Oh no!
[27:15.360 --> 27:16.380]  Oh shit!
[27:19.860 --> 27:21.700]  Oh! I went flying!
[27:22.500 --> 27:23.000]  Oh god.
[27:24.540 --> 27:25.300]  Stop!
[27:25.860 --> 27:26.740]  Oh, where's my weapon?
[27:27.180 --> 27:27.780]  I need a weapon!
[27:29.500 --> 27:29.560]  Oh!
[27:31.060 --> 27:31.820]  Ah!
[27:33.120 --> 27:35.000]  Oh! No!
[27:36.160 --> 27:36.720]  Oh!
[27:36.840 --> 27:39.020]  Oh god, dude.
[27:39.120 --> 27:40.080]  That is intense.
[27:41.380 --> 27:42.720]  Oh, this is fun.
[27:43.560 --> 27:44.360]  I like this.
[27:45.080 --> 27:45.260]  Yeah.
[27:48.620 --> 27:49.460]  Had a...
[27:49.460 --> 27:50.620]  Had a delivery.
[27:50.900 --> 27:51.240]  Oh no!
[27:52.020 --> 27:53.020]  Get me off this thing!
[27:55.340 --> 27:56.160]  It's all on you, Geoff.
[27:57.840 --> 27:58.680]  It's all on you.
[27:58.840 --> 27:58.900]  Get up!
[28:02.460 --> 28:03.060]  What's this?
[28:04.000 --> 28:04.920]  What do I need to do with this?
[28:07.580 --> 28:08.360]  Nothing, apparently.
[28:08.620 --> 28:10.060]  Oh my god.
[28:10.940 --> 28:12.060]  Congratulations, Gavin.
[28:12.600 --> 28:13.740]  Alright, so that's one to Geoff.
[28:13.980 --> 28:14.820]  One to me.
[28:16.680 --> 28:17.460]  That's one-one.
[28:17.880 --> 28:19.480]  One-one. O.
[28:20.720 --> 28:22.020]  Where O stands for zero.
[28:22.500 --> 28:23.140]  The absence of a one.
[28:23.160 --> 28:25.420]  I'm doing better than the audio, so I feel good about that.
[28:26.320 --> 28:27.220]  I'm winning there.
[28:29.660 --> 28:31.020]  Oh my god.
[28:31.220 --> 28:32.360]  That just worked.
[28:32.900 --> 28:34.320]  That sucked.
[28:35.620 --> 28:36.100]  Oops!
[28:36.100 --> 28:36.400]  Oops!
[28:38.340 --> 28:40.060]  Somebody asked if Chain Together doesn't work.
[28:40.240 --> 28:42.260]  Yeah, but Chain Together would play four-player.
[28:42.660 --> 28:44.540]  Although I think we talked about it, audience,
[28:44.800 --> 28:46.360]  and we decided that I think we're gonna
[28:46.360 --> 28:48.020]  stream it some more.
[28:48.420 --> 28:49.480]  Right? We discussed that?
[28:51.580 --> 28:54.740]  Do checkpoints so that we can see what's after the first 30 minutes.
[28:55.340 --> 28:56.920]  I was seeing how long I could cook for.
[28:58.380 --> 28:59.480]  Get away, get away, get away.
[29:00.040 --> 29:01.260]  Oh god, I did!
[29:01.560 --> 29:03.860]  Wow! How did you do that?
[29:03.860 --> 29:05.180]  I didn't make it fly.
[29:05.380 --> 29:06.380]  The weapons, yeah.
[29:07.120 --> 29:07.600]  Jesus.
[29:09.180 --> 29:10.400]  What do we got?
[29:12.060 --> 29:13.440]  What is that? Holy Hand Grenade?
[29:13.940 --> 29:15.780]  I don't know, but I just told you!
[29:18.780 --> 29:19.800]  Oh, you guys are on?
[29:20.180 --> 29:20.660]  Oh!
[29:21.380 --> 29:22.840]  Dude, high ground actually
[29:22.840 --> 29:25.040]  actually helps out.
[29:25.600 --> 29:27.600]  It really does. It really does.
[29:30.020 --> 29:31.900]  Somebody said they'll always believe in Geoff. Why?
[29:32.600 --> 29:33.640]  Oops, oops, oops, oops.
[29:34.280 --> 29:36.000]  Oh my god, I'm so
[29:36.000 --> 29:38.040]  thick. Get away, get away, get away,
[29:38.060 --> 29:39.700]  get away, I don't like it, I don't like your sword.
[29:40.540 --> 29:41.920]  I did win the first time,
[29:42.000 --> 29:42.320]  I guess.
[29:43.580 --> 29:43.980]  Oh!
[29:49.920 --> 29:50.900]  I'm getting some points.
[29:55.880 --> 29:57.200]  Is this gonna go?
[29:57.420 --> 29:59.160]  I don't know.
[29:59.160 --> 30:00.120]  Oh dear.
[30:00.540 --> 30:01.300]  Get off my thing.
[30:03.160 --> 30:03.680]  Whoops.
[30:05.860 --> 30:06.300]  Give me the weapon.
[30:07.740 --> 30:08.260]  No!
[30:09.980 --> 30:11.240]  Do I wanna be in this
[30:11.240 --> 30:12.020]  spring thing?
[30:12.580 --> 30:14.140]  Oh, you get some air.
[30:14.320 --> 30:17.140]  Looks like you got a ninja star up there.
[30:20.180 --> 30:20.700]  Whoops.
[30:23.140 --> 30:25.720]  Oh my god, I fell so fast.
[30:25.780 --> 30:27.620]  Olympic dive right into the lava.
[30:28.320 --> 30:29.520]  Well that was easy,
[30:29.580 --> 30:30.900]  I just had to not
[30:31.540 --> 30:32.480]  outlast you idiots.
[30:39.620 --> 30:41.640]  I don't know how this works.
[30:42.500 --> 30:43.340]  Oh my god!
[30:43.680 --> 30:45.240]  Let me catch it.
[30:45.940 --> 30:47.480]  Oh no, get away!
[30:48.340 --> 30:49.300]  Oh shit!
[30:49.960 --> 30:51.560]  We're just giving them to Geoff.
[30:52.740 --> 30:53.880]  He's on a roll.
[30:57.620 --> 30:57.940]  Hey.
[31:00.660 --> 31:01.300]  Oops.
[31:01.680 --> 31:02.040]  Oh.
[31:03.140 --> 31:04.360]  I didn't do anything.
[31:05.560 --> 31:07.480]  How does the hammer...
[31:07.480 --> 31:09.480]  Oh shit, the whole outline.
[31:09.760 --> 31:10.780]  It's all bad.
[31:12.500 --> 31:13.580]  There's nothing worse than just
[31:13.580 --> 31:14.600]  dribbling off.
[31:15.060 --> 31:16.360]  Yeah, it's so disappointing.
[31:20.320 --> 31:20.960]  Okay.
[31:21.520 --> 31:22.280]  Give me the stuff.
[31:23.960 --> 31:25.580]  I don't know if I want this grenade.
[31:25.580 --> 31:27.920]  Oh god.
[31:28.380 --> 31:29.520]  Yeah, yeah, yeah.
[31:29.560 --> 31:31.420]  Yeah, yeah, land on him.
[31:31.500 --> 31:33.160]  No, no, no.
[31:33.480 --> 31:37.780]  I blew myself up!
[31:41.780 --> 31:43.460]  Geoff with five in a row.
[31:43.980 --> 31:45.120]  Geoff's winning by standing.
[31:46.600 --> 31:48.620]  I killed somebody in that one.
[31:50.880 --> 31:51.400]  Oh!
[31:51.600 --> 31:52.760]  I was so close!
[31:52.760 --> 31:54.480]  You ain't getting this one!
[31:54.540 --> 31:55.460]  Like a millimeter.
[31:56.220 --> 31:58.400]  Oh, you son of a bitch.
[31:58.480 --> 31:58.960]  That was awesome.
[32:01.020 --> 32:02.340]  You're so glad we
[32:02.340 --> 32:04.560]  play this game. The people make another great
[32:04.560 --> 32:06.000]  comic called Stick Fight the game.
[32:06.080 --> 32:07.180]  Oh yeah, I remember Stick Fight.
[32:08.700 --> 32:09.880]  I want the gun.
[32:11.600 --> 32:12.520]  Oh, I don't want this.
[32:15.440 --> 32:18.680]  Oh, what a shitty and suck face.
[32:20.040 --> 32:20.340]  Oh,
[32:20.340 --> 32:22.080]  whoever subscribed, thank you very much.
[32:22.380 --> 32:23.400]  Yeah, thank you so much.
[32:24.360 --> 32:26.180]  It's hard for us to see, but
[32:26.180 --> 32:27.440]  it doesn't mean we don't appreciate it.
[32:27.600 --> 32:29.500]  No, very much appreciate it.
[32:30.000 --> 32:32.480]  Where am I? What am I doing? Ah, I was looking at the wrong character.
[32:33.840 --> 32:34.780]  Are you looking at me?
[32:35.080 --> 32:37.460]  Yeah, he's having a double take on both of us.
[32:37.480 --> 32:37.840]  Maybe.
[32:40.880 --> 32:41.220]  Whoops!
[32:47.240 --> 32:48.400]  No! That was...
[32:48.400 --> 32:49.280]  I wanted that!
[32:49.280 --> 32:51.000]  That was so cool.
[32:52.000 --> 32:52.960]  Come here Geoff!
[32:53.220 --> 32:53.500]  Oh!
[32:54.680 --> 32:55.760]  What a kill!
[32:57.700 --> 32:59.720]  You just bounced him off.
[33:01.040 --> 33:02.720]  What did you do to me?
[33:07.060 --> 33:08.360]  That was awesome.
[33:08.600 --> 33:10.080]  Fuck, fuck.
[33:10.640 --> 33:12.080]  I just want this weapon.
[33:14.920 --> 33:15.440]  Oh!
[33:17.100 --> 33:18.860]  That was so close.
[33:21.680 --> 33:22.720]  What a...
[33:22.720 --> 33:23.120]  No!
[33:24.880 --> 33:25.400]  Yes!
[33:25.600 --> 33:26.720]  You killed me though.
[33:29.220 --> 33:30.440]  Geoff is one point away.
[33:30.480 --> 33:31.560]  We gotta focus in on Geoff.
[33:31.740 --> 33:32.360]  Alright, let's focus.
[33:32.620 --> 33:33.400]  He's sneaky about this.
[33:35.820 --> 33:36.720]  Where am I?
[33:37.200 --> 33:39.200]  Alright, Geoff.
[33:39.960 --> 33:40.800]  Easy does it.
[33:40.800 --> 33:42.660]  Oh, Gavin!
[33:43.700 --> 33:44.260]  Gavin!
[33:45.200 --> 33:46.220]  Thank you.
[33:46.580 --> 33:47.760]  We killed each other!
[33:48.480 --> 33:48.980]  Why?
[33:50.600 --> 33:53.100]  We just jumped into each other.
[33:53.700 --> 33:58.020]  Hey, Crackler said it's the first time he's ever caught a regulation stream.
[33:58.260 --> 34:01.240]  How about a regulation welcome the fuck to the stream, Crackler?
[34:02.940 --> 34:03.320]  Welcome!
[34:03.320 --> 34:03.880]  Geoff peacefully winning.
[34:04.260 --> 34:06.400]  It's typically more organized than this.
[34:06.620 --> 34:10.040]  This one's a shit show, but sometimes there's like an 80% chance that it won't be.
[34:10.820 --> 34:11.260]  Oh!
[34:11.920 --> 34:14.380]  Should we try one of the...
[34:14.380 --> 34:15.360]  Is there like a running one?
[34:16.140 --> 34:17.300]  Like a navigating one?
[34:17.840 --> 34:19.200]  There is, but I don't think that's multiplayer.
[34:20.400 --> 34:21.720]  That's what I wanted to do.
[34:22.400 --> 34:23.900]  Like a speedrunner's type?
[34:23.960 --> 34:24.700]  Yeah, yeah, yeah.
[34:26.320 --> 34:27.900]  Yeah, there's like
[34:27.900 --> 34:28.900]  horde mode and stuff.
[34:31.100 --> 34:31.840]  Alright, so that's
[34:31.840 --> 34:33.640]  2-1-0.
[34:35.340 --> 34:35.780]  To Geoff.
[34:36.340 --> 34:36.700]  No!
[34:36.700 --> 34:38.860]  Oh, I got a tire!
[34:39.200 --> 34:40.360]  Oh, you little fucker.
[34:40.780 --> 34:41.420]  You got a saw blade.
[34:42.980 --> 34:44.300]  Oh god, that hit me.
[34:44.920 --> 34:45.400]  Stop it.
[34:45.540 --> 34:47.780]  I like being dead because then I can look at the chat.
[34:47.900 --> 34:50.220]  Thank you, Dysilver13.
[34:50.940 --> 34:51.320]  I guess.
[34:53.080 --> 34:54.620]  Mymulletman gave us some piss rats.
[34:54.780 --> 34:55.720]  Appreciate those piss rats.
[34:56.020 --> 34:56.880]  Everybody loves a piss rat.
[34:57.720 --> 34:58.460]  Thanks for the piss.
[34:59.480 --> 35:01.100]  Rocking the rat. We appreciate it.
[35:01.500 --> 35:01.680]  Oh!
[35:01.680 --> 35:01.760]  Oh!
[35:04.140 --> 35:04.660]  Oh!
[35:07.120 --> 35:08.580]  You made it change colors.
[35:09.500 --> 35:11.080]  Oh, you changed the color of it.
[35:11.400 --> 35:13.100]  Oh, it's looping around!
[35:13.680 --> 35:13.820]  Oh!
[35:15.220 --> 35:15.740]  No!
[35:16.820 --> 35:18.040]  Geoff, come here. Come here, Geoff.
[35:18.240 --> 35:18.820]  Come here, Geoff.
[35:20.600 --> 35:21.680]  God damn it.
[35:22.520 --> 35:23.920]  God damn it.
[35:25.400 --> 35:26.160]  Go, go now.
[35:27.480 --> 35:29.480]  I presume Twitch chat rules are the same
[35:29.480 --> 35:30.400]  as the RT chat rules.
[35:30.500 --> 35:32.000]  I don't even know what they are.
[35:34.040 --> 35:34.460]  Uh-oh.
[35:35.620 --> 35:36.160]  Uh-oh.
[35:37.640 --> 35:38.120]  Oh!
[35:39.640 --> 35:40.800]  Oh, Geoff's got one too.
[35:41.260 --> 35:41.880]  Oh, shit.
[35:43.360 --> 35:44.820]  Shit, shit, shit.
[35:45.020 --> 35:45.180]  No!
[35:47.260 --> 35:47.740]  Wait.
[35:49.080 --> 35:50.160]  Let me out!
[35:53.520 --> 35:54.860]  I thought I could make it.
[35:55.920 --> 35:56.400]  Core.
[35:56.980 --> 35:58.540]  John Kratos at it again.
[36:01.020 --> 36:03.000]  Did you guys know that Kratos' first name is John?
[36:03.480 --> 36:04.460]  No, I didn't know that.
[36:05.040 --> 36:05.320]  Apparently.
[36:08.620 --> 36:09.980]  According to my streams, apparently.
[36:11.300 --> 36:12.500]  How have your streams been going?
[36:13.200 --> 36:13.640]  Good!
[36:14.020 --> 36:15.560]  I learned all about John Kratos.
[36:20.200 --> 36:21.640]  I'm staying on the outskirts.
[36:21.640 --> 36:22.020]  Oops.
[36:22.720 --> 36:23.700]  Oh, my God.
[36:25.280 --> 36:26.100]  How'd I do that?
[36:27.760 --> 36:29.780]  I hate it when I throw something
[36:29.780 --> 36:30.680]  before I arm it.
[36:31.120 --> 36:32.040]  I do that a lot.
[36:32.340 --> 36:33.520]  I just got the lightsaber gun.
[36:35.060 --> 36:35.960]  I don't like that.
[36:37.320 --> 36:38.300]  That's so cool.
[36:39.480 --> 36:40.380]  It is, well, for you.
[36:40.480 --> 36:42.240]  I don't like the guy in the middle.
[36:49.730 --> 36:51.430]  Oh, that was almost amazing.
