[00:02.580 --> 00:04.380]  It's Summer Games Fest!
[20:40.020 --> 20:43.280]  Do you think it's Mario, or do you think it's Garfield?
[20:43.420 --> 20:46.460]  Crash. No, CTR. Dude, Crash Team Racing.
[20:47.040 --> 20:52.000]  Wow. Well, Nintendo, not really known for their cross-platform stuff.
[20:53.560 --> 20:54.820]  Shots fired at Garfield Kart.
[20:59.040 --> 21:05.880]  Oh! It's Minecraft!
[21:06.000 --> 21:07.440]  Yeah, we're playing this.
[21:07.440 --> 21:08.620]  We're playing this.
[21:09.220 --> 21:09.700]  What?!
[21:09.700 --> 21:10.700]  Chicken jockey!
[21:12.980 --> 21:14.600]  Okay, well, we have to do that.
[21:14.980 --> 21:21.220]  Just so the audience is clear, that's the only Minecraft we'll ever play.
[21:21.620 --> 21:24.420]  Why don't we just say we're playing Minecraft and that's the game?
[21:29.360 --> 21:31.000]  Geoff got very quiet after that.
[21:33.560 --> 21:34.700]  I don't know what you're talking about.
[21:40.440 --> 21:41.880]  Ooh! Big ugly ball.
[21:42.940 --> 21:43.920]  No, it's from...
[21:46.020 --> 21:47.400]  The World Spore.
[21:48.000 --> 21:48.780]  Oh, I'm out.
[21:50.300 --> 21:50.740]  Oh!
[21:51.160 --> 21:51.820]  Oh, wait.
[21:52.080 --> 21:52.960]  I might be in.
[21:54.060 --> 21:54.720]  Devil May Cry?
[21:55.460 --> 21:56.280]  That's what I thought.
[21:56.380 --> 21:57.060]  Is that what this is?
[21:57.360 --> 21:58.320]  No, it's Bandai.
[21:58.420 --> 21:58.920]  Bandai doesn't make...
[21:58.920 --> 22:00.120]  Yeah, Bandai doesn't do that.
[22:00.220 --> 22:00.660]  Oh, no.
[22:01.000 --> 22:02.540]  And it has a Devil May Cry aesthetic.
[22:04.820 --> 22:05.720]  Oh, shit!
[22:05.960 --> 22:06.620]  That's cool.
[22:06.620 --> 22:08.900]  That is so cool.
[22:11.860 --> 22:12.740]  Oh!
[22:12.960 --> 22:14.880]  Oh, Kong everywhere.
[22:15.900 --> 22:18.220]  Yeah, candle wax all over.
[22:19.320 --> 22:21.040]  Yeah, old finger!
[22:22.460 --> 22:23.400]  It's very Bond-like.
[22:24.980 --> 22:25.540]  Whoa!
[22:28.060 --> 22:29.660]  The monsters look really cool.
[22:33.500 --> 22:35.680]  Put out the candles.
[22:35.680 --> 22:37.720]  I'm an innocent candle face.
[22:38.300 --> 22:38.800]  Wait a minute.
[22:44.870 --> 22:46.530]  I see her heart.
[22:47.330 --> 22:47.670]  Huh.
[22:51.360 --> 22:53.280]  We could have time in a bottle.
[22:54.820 --> 22:56.620]  There's one thing I'd like to do.
[22:57.580 --> 22:58.580]  Nestle thinks of everything.
[23:05.020 --> 23:06.880]  Uh, they... they did it.
[23:07.440 --> 23:07.800]  Oh.
[23:09.600 --> 23:10.180]  They...
[23:10.180 --> 23:11.120]  How do you say this?
[23:15.530 --> 23:16.010]  Hmm.
[23:18.310 --> 23:19.330]  I'm less interested.
[23:20.050 --> 23:23.490]  I'm kind of tired of these worlds that are all messed up looking like this.
[23:24.530 --> 23:26.950]  You don't like the color blue everywhere?
[23:28.030 --> 23:28.190]  No.
[23:29.870 --> 23:32.430]  Cool, a motorcycle you probably don't actually drive.
[23:34.210 --> 23:35.070]  Cutscene motorcycle.
[23:39.280 --> 23:43.940]  The art's really interesting because it seems like it's a mix of, like, a cel-shaded kind of thing
[23:43.940 --> 23:46.960]  and then sort of, uh, like, uh, like those souls-like kind of games.
[23:47.220 --> 23:47.620]  Uh, yeah.
[23:48.180 --> 23:49.940]  Phil's very code-veiny to me.
[23:50.000 --> 23:50.960]  Oh, code-veiny too!
[23:51.080 --> 23:51.880]  There you go, that explains it.
[23:51.880 --> 23:52.500]  Oh, wow, Jack, you called it.
[23:52.560 --> 23:53.540]  That's pretty... that's pretty cool.
[23:54.800 --> 23:56.980]  Well, thanks for the subs, JetSPD.
[23:57.640 --> 23:58.320]  Thank you.
[24:01.690 --> 24:03.530]  Do you think they're gonna show Suda51's new game?
[24:04.410 --> 24:04.950]  They already did.
[24:05.010 --> 24:05.130]  Maybe.
[24:05.590 --> 24:07.810]  I know, but do you think they're gonna show it here today so I can watch it again?
[24:08.150 --> 24:08.870]  I don't think so.
[24:09.350 --> 24:09.910]  Aw, man.
[24:10.590 --> 24:11.370]  What is this?
[24:12.670 --> 24:13.850]  Somebody walking down the hallway, Nick.
[24:14.870 --> 24:15.630]  Repo 2.
[24:17.990 --> 24:19.110]  Oh, definitely not.
[24:23.320 --> 24:24.780]  Oh, another blue place.
[24:28.380 --> 24:31.260]  Oh, this is cool.
[24:32.840 --> 24:34.080]  It's like a top-down...
[24:35.160 --> 24:38.180]  Makes sense that that's a...
[24:38.880 --> 24:42.040]  I thought he had a giant fishing pole out in front of him for some reason.
[24:42.600 --> 24:42.980]  Oh, no, the hail!
[24:44.320 --> 24:45.400]  Oh, I'm into this.
[24:46.460 --> 24:47.840]  Oh, that's cool.
[24:48.420 --> 24:50.360]  They drop you off, you go figure it out.
[24:51.140 --> 24:52.860]  It reminds me of Inside in Limbo.
[24:53.000 --> 24:58.400]  I was gonna say, it almost feels like a SWAT unit coming in to clear the offices of Inside.
[24:59.560 --> 25:00.420]  Oh, God.
[25:00.660 --> 25:04.580]  This feels like a game where you're supposed to lose a whole bunch of times before you beat it.
[25:06.060 --> 25:07.820]  Like, roguelike whatever.
[25:08.480 --> 25:09.820]  End of the Abyss.
[25:11.720 --> 25:12.240]  Awesome.
[25:18.160 --> 25:21.020]  Do you think he tried to match his shoes for those two planets?
[25:22.600 --> 25:23.460]  Oh, that's a good call.
[25:23.540 --> 25:24.620]  Because he did perfectly.
[25:24.980 --> 25:26.240]  Yeah, he did, holy shit.
[25:26.600 --> 25:27.940]  Which is not easy to pull off.
[25:28.100 --> 25:28.420]  No!
[25:30.220 --> 25:30.840]  That's a planet!
[25:33.220 --> 25:36.420]  And everybody knows that Jesse Lee is like the Beyoncé of these events.
[25:36.820 --> 25:38.040]  Alright, we gotta play this game, guys.
[25:39.880 --> 25:41.200]  Mighty Mouse, thank you!
[25:41.680 --> 25:42.220]  Gotta help him out.
[25:42.220 --> 25:43.040]  It looks like Ratty Boy.
[25:44.060 --> 25:44.860]  It doesn't.
[25:44.880 --> 25:45.280]  Damn.
[25:45.820 --> 25:46.500]  Nope, not at all.
[25:47.000 --> 25:47.980]  Have you not seen this, Nick?
[25:48.220 --> 25:48.700]  Uh-uh, no.
[25:48.760 --> 25:49.880]  Oh, this is fucking sick.
[25:49.900 --> 25:50.260]  It looks really cool.
[25:50.360 --> 25:51.340]  Oh, I love this!
[25:51.660 --> 25:54.700]  This is something that they showed like two or three years ago at this point.
[25:54.800 --> 25:56.260]  And it's finally coming out, I think.
[25:57.480 --> 25:57.760]  Oh!
[26:01.080 --> 26:01.820]  Holy shit!
[26:01.820 --> 26:04.140]  Yes, it's uh...
[26:04.140 --> 26:06.560]  Less Ratty Boy, more Rat Shaker.
[26:07.020 --> 26:08.300]  Yeah, big time.
[26:08.460 --> 26:10.180]  And it's like, the FPS of it is very cool.
[26:10.180 --> 26:12.340]  Wow, guys, you won't believe who's the voice in this.
[26:14.040 --> 26:16.440]  It's good to see Troy get to work.
[26:16.640 --> 26:18.200]  Wow, honestly, I thought that guy...
[26:18.200 --> 26:20.820]  I didn't know if he was ever going to be in the game again, but hey, good for him.
[26:23.280 --> 26:25.480]  Well, thank goodness after...
[26:25.480 --> 26:28.720]  That was really short for how long that game has been in the back.
[26:28.720 --> 26:28.880]  Yeah!
[26:28.980 --> 26:30.300]  Was that made by the Cuphead people?
[26:31.520 --> 26:33.100]  Uh, I don't know, but it's...
[26:33.100 --> 26:33.160]  Or is it just similar?
[26:33.540 --> 26:35.660]  No, I think it's just like a similar feeling, yeah.
[26:38.780 --> 26:39.100]  RTS!
[26:41.400 --> 26:41.780]  RTX?
[26:43.340 --> 26:44.620]  That would be a fantasy.
[26:46.540 --> 26:48.160]  We can do it at the convention center.
[26:49.580 --> 26:51.100]  You guys seem to get it sooner lately.
[26:51.640 --> 26:53.520]  I sent a picture to Erik earlier today.
[26:53.980 --> 26:56.880]  Wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait.
[26:56.880 --> 26:59.400]  They're making an RTS of Game of Thrones.
[26:59.580 --> 27:00.720]  Yeah, but only the last season.
[27:01.860 --> 27:03.180]  So it's going to be...
[27:03.720 --> 27:04.040]  Bad.
[27:05.000 --> 27:06.300]  But you have no idea.
[27:06.740 --> 27:07.940]  True life, Jon Snow.
[27:11.260 --> 27:11.740]  Oh
[27:14.220 --> 27:15.360]  Way of Thrones
[27:16.680 --> 27:20.580]  It sounds like what's his name Charles dance it sure does I
[27:21.540 --> 27:28.860]  Think they're doing a walking dead destinies type thing with this where it's like the characters, you know, but a different story. Oh, that's cool
[27:28.860 --> 27:30.560]  I like what is walking dead destinies
[27:31.100 --> 27:36.840]  It's uh, it's a game that we should really play at some point where it is a choose-your-own walking dead game
[27:37.680 --> 27:44.060]  Yuck like a tell-tale game. No. Oh, oh dear then. I don't know. What do you mean?
[27:45.680 --> 27:52.480]  Did you ever play the tell-tale Game of Thrones game? Yes. Yeah, it was good. Yeah. Yeah, I liked it
[27:52.480 --> 27:57.360]  I think I played every tell-tale game except for the I didn't finish the future one
[27:58.060 --> 28:00.400]  I didn't do that one. I also didn't do the
[28:01.540 --> 28:06.300]  Guardians of the Galaxy. Oh, you know what? I didn't play that one either. What's your fault?
[28:08.400 --> 28:11.340]  Some of the best games ever though. Oh
[28:11.340 --> 28:12.180]  Look, oh
[28:12.820 --> 28:15.940]  Yeah. Oh my god. It's different now. I
[28:15.940 --> 28:17.860]  Mean that's honestly better than the ending we got
[28:18.720 --> 28:23.420]  But that I like everything about this outside of the genre it is in
[28:25.520 --> 28:32.220]  This was an action game, I'm all about this and you'd be cool if it was the same people just different genre
[28:32.220 --> 28:33.580]  So it's like Jon Snow
[28:33.580 --> 28:35.880]  But he looked like Han Solo and he shot a gun
[28:36.840 --> 28:37.600]  Why not?
[28:38.480 --> 28:40.720]  Okay, just asking. Clarity.
[28:42.640 --> 28:45.540]  I love RTS games, so I'm excited about this
[28:48.820 --> 28:51.520]  He's a big Starcraft guy. That's cool
[28:53.960 --> 29:02.160]  All right, now it is time for the global reveal of an FPS action adventure. They should put Hodor in Sonic Racer
[29:04.400 --> 29:06.000]  That was pretty good
[29:08.680 --> 29:09.380]  I
[29:12.680 --> 29:18.180]  Think the Borderlands telltale games are probably the best of the bunch. Red Alert 4
[29:29.500 --> 29:33.180]  Okay, oh we're gonna shoot all the intelligent beings
[29:44.380 --> 29:45.080]  Whoa
[29:49.140 --> 29:49.540]  Huh
[29:50.920 --> 29:55.180]  I was gonna say that kind of felt Atomic Heart like. It looked very much like it.
[29:56.680 --> 30:01.600]  A lot of squeak-wels, dude. These are the new franchises, I guess
[30:02.800 --> 30:08.360]  We'll be doing this in like six years and it'll be Atomic Heart 5. We'll be talking about how far they strayed from the original
[30:10.100 --> 30:15.180]  I never played the first one. Yeah, I guess. Is there anything like this?
[30:17.220 --> 30:23.200]  It looks like this. I don't know if the gameplay is like this, but this is how it looks.
[30:23.340 --> 30:28.060]  Because the gameplay looks kind of like Apex or Titanfall.
[30:28.660 --> 30:32.300]  Oh, yeah, maybe more Titanfall. Run it on the wall. Yeah
[30:33.260 --> 30:34.500]  Minus the mechs, obviously.
[30:36.240 --> 30:42.960]  I think the first game was viewed as having a lot of style, but wasn't necessarily all that much fun to play. Yeah
[30:44.900 --> 30:45.580]  That's me
[30:54.440 --> 30:55.540]  It looks cool
[30:57.160 --> 31:02.760]  Yeah, all the cutscenes that they're showing are very interesting. Yeah, I like these Far Cry 6 scenes there, where they...
[31:04.200 --> 31:05.580]  I did that in Roadcraft earlier.
[31:09.100 --> 31:11.860]  Oof. Okay, yeah. There you go. Get the spice.
[31:13.420 --> 31:13.940]  Oh
[31:16.380 --> 31:16.900]  Okay
[31:28.360 --> 31:33.620]  Huh. It's a video game. Huh, it's pretty much it. The fact that it doesn't even have a year. Yep.
[31:34.900 --> 31:40.860]  And no gameplay? That's right. Atomic Heart 2. Or any whisper of what the plot will be.
[31:41.220 --> 31:47.200]  A spiritual successor to the first game, with a retro-futuristic world on a global scale, and this time
[31:47.200 --> 31:53.620]  there's a greater emphasis on RPG elements and player freedom. But that, believe it or not... Don't make him read all that.
[31:56.020 --> 32:00.520]  They paid a lot of money to make him read all that. Just say that in your fucking trailer.
[32:04.240 --> 32:11.160]  It's in the sky, a giant cube. Oh shit, Peter Molyneux. He's back!
[32:13.720 --> 32:15.000]  Everybody start clicking!
[32:17.200 --> 32:22.920]  He showed up, I was in the lab. I didn't even see it. He was working in his lab late one night.
[32:33.100 --> 32:35.420]  The new sequel to Halo, Cube.
[32:36.780 --> 32:43.360]  What the fuck is that outfit? These guys are in full armor, and that lady's walking around like a sexy schoolgirl. That makes no sense.
[32:43.760 --> 32:46.220]  She's probably a robot. Yeah, it's okay.
[32:47.160 --> 32:49.680]  No, this is Fortnite. This is Fortnite.
[32:51.680 --> 32:55.660]  This is Atomic Heart's Fortnite. Everything needs a Fortnite mode.
[32:57.900 --> 33:04.860]  Maybe this is like their Apex. They took Titanfall and turned it into Apex. It's definitely what it is, right? Yeah.
[33:06.540 --> 33:13.540]  If that's the case, then say goodbye to Atomic Heart and hello to whatever this franchise is they're gonna put all their effort into and abandon the other thing.
[33:15.560 --> 33:19.200]  Good lord. Just a lot of crotch. A lot of crotch!
[33:20.200 --> 33:22.460]  That's not very Borg-like.
[33:24.160 --> 33:27.380]  The Cube. Atomic Universe. That's me. Yeah.
[33:34.800 --> 33:41.960]  They need to make like a fun version of any of these. Like one of these Atomic Heart games need to be good for me to care about.
[33:42.480 --> 33:44.160]  Yep, that universe. Absolutely.
[33:44.940 --> 33:49.140]  That's an MMORPG. That could be something if it is good for us to play with, though.
[33:49.960 --> 33:51.700]  Oh, that'd be interesting to look at.
[33:56.640 --> 34:01.920]  Okay. Dude, I love multiplayer fun. There's four of us on this call right now.
[34:02.360 --> 34:06.760]  There's Geoff. Geoff's popping claws. He's got the Wolverine. He's ready to go. Oh, shit. I'm ready to go.
[34:07.920 --> 34:13.540]  Schnicked. I'm the best at what I do. What I do isn't very pretty. That's me! They start with me!
[34:15.380 --> 34:18.640]  This is great. All of us are in this. Oh, come on.
[34:19.440 --> 34:23.980]  Oh, I'm playing the fuck out of this game. This looks pretty cool. Yeah, I'm into this.
[34:24.780 --> 34:34.700]  Streets of Rage, scrolling, beat'em up. Oh my god. This is all... this and FPS are like the two genres of games that I go to all the time. I love this shit.
[34:36.660 --> 34:41.360]  The Power Rangers one, the Ninja Turtles one, like all of these games are so good.
[34:41.640 --> 34:46.500]  He says FPS, but then he doesn't play Call of Duty. No, I don't play online FPS. Not like that.
[34:46.500 --> 34:50.800]  Look at that. Oh, it's the classic. Oh, this is gonna be so good. I'm stoked. That's awesome.
[34:50.940 --> 34:54.780]  We had so much fun doing a playthrough of the X-Men game in Achievement Hunter back in the day.
[34:54.780 --> 35:01.320]  Cool. I'm so gonna be Wolverine. Capcom!
[35:02.480 --> 35:04.920]  What are they fucking with? Oh, is this Onimusha?
[35:09.320 --> 35:15.680]  I think it might be. Maybe. Do you think they're doing Onimusha in the vein of like, um...
[35:16.380 --> 35:19.300]  You don't have a choice. What are those? What is it?
[35:21.300 --> 35:28.900]  Mirrors? Yeah, yeah, like what? Nier Automata? No, it's uh... Nioh? Nioh.
[35:29.400 --> 35:37.180]  Oh! This feels like that, right? Nioh's a hip-hop artist? No. Yeah. Nioh, the video game.
[35:37.600 --> 35:43.900]  But also, yes. Star Battle Los Angeles. You have to wear a little hat. He knows kung fu.
[35:51.030 --> 35:51.990]  Blergh! Blergh!
[35:56.450 --> 35:56.930]  Whoa!
[36:00.850 --> 36:04.670]  Can we talk for a second about how much fun Sea of Thieves was yesterday?
[36:05.310 --> 36:09.510]  Oh my god, what a blast. Holy shit. We finally played Sea of Thieves, audience.
[36:09.950 --> 36:13.570]  We recorded it. Oh! Yeah, there you go.
[36:14.670 --> 36:20.410]  I like the first one. Sekiro was... you like the one from 20 years ago? Oh yeah, it's the first one.
[36:20.530 --> 36:26.050]  It's the only one I've played. The first one on PlayStation 2. Yeah, Gus and I played that one.
[36:28.250 --> 36:35.630]  I like the first one. It's so funny for this thing. Onimusha's been gone for like 18 years.
[36:36.190 --> 36:41.710]  That was a new look at Onimusha, Way of the Sword, which we announced back in December at the TGAs. It is coming
[36:41.710 --> 36:47.690]  in 2026. Didn't they just release a remake of the second one? I think they did. Yeah, it says
[36:47.690 --> 36:52.870]  they're on Steam right now, 1 and 2, a remake on Steam. There you go. And this next project is what I've been
[36:52.870 --> 36:57.990]  tracking for a few years as a team at Sans String Studios. I'd love to see what his tracking looks
[36:57.990 --> 37:03.770]  like. Like do you think he's got a whiteboard, a bunch of red string? Actually a thing. What you're about to
[37:03.770 --> 37:09.370]  see is running completely in real time in Unreal and I cannot wait to play it. Here is an unexpected
[37:09.370 --> 37:14.070]  new game announcement that combines comedic storytelling. Thanks, Moist Giblets.
[37:15.810 --> 37:18.470]  Dude, I love comedic storytelling.
[37:20.530 --> 37:23.610]  I thought we were getting a Muppets game for a minute and I was very excited. Yeah.
[37:23.830 --> 37:25.770]  Somebody's about to beat the shit out of that Muppet.
[37:43.740 --> 37:48.720]  Was this a Melissa McCarthy movie? Yes, that's exactly what this looks like. Murder Town or whatever.
[37:53.320 --> 37:57.260]  Did you ever watch the show Greg the Bunny when it was on Fox? Yeah. Are you fucking kidding dude?
[37:57.280 --> 38:02.580]  I loved Greg the Bunny. I loved it. I have it on DVD. Oh do you really? Because I am desperate to watch
[38:02.580 --> 38:08.860]  the scene where they try to get the Dracula to say, I, I, and he goes, I eat it. And he can't fucking
[38:08.860 --> 38:16.640]  say it. And I can't find it online anywhere. You can, you can take the discs for a bit. Hell yeah,
[38:16.700 --> 38:24.160]  dude. I don't, what am I, what am I watching? Is this, he keeps saying it's running in real time
[38:24.160 --> 38:32.100]  on Unreal. I don't understand what is a game. This is the game? Yeah. That's fucking crazy.
[38:32.100 --> 38:36.740]  Fulfilling your destiny. That's what that, that's what the game looks like?
[38:39.800 --> 38:42.100]  Yeah, but it's, I just, I don't know. I'd like to,
[38:43.160 --> 38:49.060]  I don't know what this is. I don't either, but like, is that what, huh? Put it on your wishlist.
[38:50.900 --> 38:53.100]  Super fun, gotta wishlist that, right?
[38:57.720 --> 38:59.940]  You can tell that was the mandate for today.
[39:02.000 --> 39:05.300]  Oh, I'm so happy I don't have to do this kind of shit. I'm so happy there are Greg Millers and
[39:05.300 --> 39:06.280]  Geoff Keighley's out in the world.
[39:20.000 --> 39:21.040]  Let's go lambs.
[39:24.040 --> 39:26.140]  They're over, they're due any day now.
[39:28.920 --> 39:33.500]  Killer Inn. Oh, oh shit.
[39:39.920 --> 39:46.560]  Dude, if this is anything like that game, The Ship, we'll be fucking set. Do you ever play
[39:46.560 --> 39:52.560]  that game, Andrew? No. Oh, it was a great game for Let's Plays. It's like, it's like a very,
[39:52.560 --> 39:58.880]  like Among Us type game. Yeah, you're on a ship. There's a bunch of NPCs. You get a mission to kill
[39:58.880 --> 40:02.900]  one of the other shipmates and then you have to go kill them without anybody seeing you. Yeah.
[40:02.980 --> 40:06.380]  And they're having to kill somebody too. And so it's just everybody running around trying not to
[40:06.380 --> 40:11.060]  look like humans and killing each other without getting caught. I'm seeing a lot of murder,
[40:11.140 --> 40:22.400]  not a lot of mystery. Yeah, I don't know what the mystery part is. You can't accuse me,
[40:22.400 --> 40:34.400]  I'll kill you. Come on, lambs, let's go. That trailer didn't show much of shit about the game,
[40:34.440 --> 40:41.520]  but I'm interested in it. Should we register and see if we can get in the beta? Yeah,
[40:41.560 --> 40:50.580]  sure. Go for it. We is not me, Nick. It's true. Listen to this guy, Geoff knows what he's talking
[40:50.580 --> 41:29.220]  about. Okay. Oh, this is supposed to be really good. Oh, I like that logo. Sprenza! Ow. Oh,
[41:30.140 --> 41:39.280]  MKNudstrup gave us 10 subs. Thank you so much. Is that your kitchen, Nick? Yeah,
[41:39.400 --> 41:43.000]  cat food everywhere. Well, I thought it was just like cans of tuna or whatever.
[41:44.440 --> 41:46.840]  He eats it to go to sleep like Frank and Charlie.
[41:55.790 --> 42:02.530]  This is an extraction shooter, I believe. You said a distraction shooter? Extraction. Yeah.
[42:02.530 --> 42:05.710]  Oh, you're trying to play, but there's a guy right next to you jingling his keys.
[42:05.950 --> 42:11.370]  Oh my God. What's that? Look over there. What's that?
[42:14.530 --> 42:20.210]  Distraction shooter. Thanks for the subs, Cameron Cardinal. You didn't distract me from that.
[42:20.510 --> 42:21.790]  Thank you. Oh,
[42:24.430 --> 42:30.110]  wear a fucking helmet. Yeah, they had a beta for this game recently and people really liked it.
[42:30.110 --> 42:34.830]  Oh, really? Yeah. Is it FPS or third person? FPS, I believe.
[42:38.610 --> 42:46.430]  We already saw this. Oh, distraction shooter. That's what I'm saying. Number one distraction
[42:46.430 --> 42:52.430]  shooter right there. I'm willing to give it a shot. Yeah, me too. Get it because it's a shooter.
[42:53.770 --> 42:55.470]  Oh, but he's genius.
[43:02.380 --> 43:08.010]  Which console? All right, Dune fans. Here you go, Nick.
[43:10.950 --> 43:15.430]  I know this is really dumb. I haven't seen any of the Dune movies,
[43:15.690 --> 43:21.910]  largely because I just think the nose thing looks really dumb and I can't get over it.
[43:22.430 --> 43:25.990]  You said that and I'm like, what nose thing? It didn't even clock with me right away,
[43:26.030 --> 43:30.490]  like what you're talking about. Any screenshot I see of that movie, it's them with the nose thing
[43:30.490 --> 43:36.490]  on. That's so funny. I just like, so I just like, don't even like, I don't even like clock it when
[43:36.490 --> 43:41.170]  I'm watching the movies. That's interesting. I think it just looks so stupid. I totally,
[43:41.310 --> 43:44.890]  I mean, I understand. I've never seen the new ones. I've only seen the David Lynch one.
[43:45.290 --> 43:50.750]  They are, they are good movies that I feel nothing for. That's that Villeneuve dude,
[43:50.750 --> 43:56.810]  did that right? He's the one that did the second. He did, he did Arrival. He did Prisoners.
[43:58.390 --> 44:03.470]  I always forget the name of Arrival. What's the sci-fi one? Well, those are all sci-fi. Dune?
[44:05.050 --> 44:12.330]  No, with Harrison Ford. Or he's an android. He's a replicant. Oh, Blade Runner. Yeah,
[44:12.390 --> 44:18.270]  Blade Runner. He did the Blade Runner 2048 one, right? Yeah. That's a beautiful film. He's a,
[44:18.270 --> 44:22.710]  he's an incredible filmmaker. I'm a really big fan of Denny Villeneuve, but like,
[44:23.830 --> 44:30.030]  Dune is just a thing where it's like Lord of the Rings to me, where it's, it's just,
[44:30.330 --> 44:34.230]  hey, do you guys know this is like an allegory for religion? It's like, yeah,
[44:34.310 --> 44:38.650]  no, I mean, I get it. And they're like, right, because it's a, it's like that. It's very,
[44:38.650 --> 44:43.710]  I get it. I feel very similar to the Final Destination franchise, which I just finished
[44:43.710 --> 44:51.070]  on that class. Right there with you. Those movies are so much fun. Dude, they are so good. I
[44:51.070 --> 44:56.370]  fucking loved every single one of them. Everybody says four is the worst. I guess it was, but it was
[44:56.370 --> 45:03.570]  still fucking good, dude. Oh no. Oh no. They divided into their enemies. They were friends,
[45:03.690 --> 45:09.970]  now enemies. But a house divided cannot stand, Nick. She had my share of the spice. How do I get
[45:09.970 --> 45:23.080]  back? Every time I see the worms. Thanks, Phil. Pickies. Pickles. He was all excited. Gifted
[45:23.080 --> 45:27.640]  subs. He's all excited for you to read his name. I'm trying to make the experience memorable for
[45:27.640 --> 45:33.920]  Phil Pickles. Shoot him. Damn, y'all aren't observing at all. They were right there.
[45:34.000 --> 45:38.840]  They were right there. Where's the worm? Show me the worm. It looks like,
[45:38.840 --> 45:46.040]  you guys remember that movie Powder? You guys ever seen that film? This dude looks like powder.
[45:46.240 --> 45:51.060]  He's powder-esque, bro. He's gonna run off into the into the fucking rain and turn into lightning
[45:51.060 --> 45:58.820]  at the end of this game. Yep. I know like Dune is epic universe type like amazing visual thing,
[45:58.960 --> 46:03.180]  but all I know about is they wear no shit and they're all upset about spices. So it's once
[46:03.180 --> 46:09.520]  again, it's another. Also, they pee in their suit and it's recycled. Yeah, and then they drink it.
[46:12.540 --> 46:18.040]  Did they even show the worm? No, they didn't show the worm. Did they? Yeah. Did they show
[46:18.040 --> 46:22.760]  the safton? I didn't see any spice representation. It's true. Spice rats stand up.
[46:26.540 --> 46:28.860]  Elbow deep daddy. Oh boy, you can name yourself anything.
[46:28.860 --> 46:36.820]  I feel like we've seen a lot of video game trailers today that look like a lot of the same
[46:36.820 --> 46:42.340]  games. Yeah. Yes. Yeah. Big time. Like we've seen this one three times now. A hundred percent.
[46:43.220 --> 46:47.840]  The Sentinels just fixed the fucking text earlier. Why do we have to watch you do it?
[46:48.240 --> 46:56.100]  Oh, again? I kind of like it. Andrew's a big clock guy, so he's kind of a big clock text guy. Yeah.
[47:01.460 --> 47:05.960]  Can we go back to watching Rocket Raccoon again? Dude, they're hiding gameplay behind those fucking
[47:05.960 --> 47:11.500]  sideways letters. They're like, the longer we take to set the letters right, the less shots we
[47:11.500 --> 47:21.470]  have to include of an undone game. Maynard's Hands of Fate? Yeah. That's awesome. Is this like
[47:21.470 --> 47:27.410]  Remnant 3 or something? I think Remnant has more shooting. We'll probably fucking play it,
[47:27.410 --> 47:36.350]  whatever it is. Chrono Odyssey. Huh. Well, at least there's not a 2 behind it. It just seems
[47:36.350 --> 47:42.610]  like it should be Chrono Odyssey, like one word, and it's weird that it's two. I mean, good for
[47:42.610 --> 47:49.130]  them. I got no problem with that. Is this the same game? Yeah. That would be crazy if it was the same
[47:49.130 --> 47:56.110]  game. Look, dragon. There was a dragon in the last one. People fighting like that? Definitely in the
[47:56.110 --> 48:02.710]  last one. This looks like... I don't know what Shin Megami Tensai is, but I assume it's this.
[48:09.470 --> 48:16.110]  I'm thinking this is a different game. What happened while I was out?
[48:25.170 --> 48:27.070]  They should just reskin this and make it Ruby.
[48:29.950 --> 48:34.550]  Why not? I don't know who they are, but I agree with you.
[48:35.150 --> 48:42.010]  Well, I am Bear Warrior, gifted 50 subs. Oh, fuck. Thank you so much. Holy shit. That's a
[48:42.010 --> 48:46.470]  lot of saiyans. Wouldn't it be cool if anytime you got gifted a sub, like two days later, Jimmy
[48:46.470 --> 48:52.170]  John showed up at your door? Yeah, it'd be pretty cool. Oh, I like this one. That's so many. I am
[48:52.170 --> 48:58.530]  Bear Warrior. You truly are a warrior of bears. Yeah, this looks cool. This looks cool. Action
[48:59.270 --> 49:09.340]  platformer? No, thank you. I think I'm out of town the week you guys play Mio Memories.
[49:12.400 --> 49:17.200]  Whoa, generally disinterested, posted some sort of a red diamond
[49:17.780 --> 49:21.980]  crystalline structure that has a number 10,000 next to it. I think that might be a lot.
[49:22.340 --> 49:27.220]  Oh my god. Wow. Thank you so much. Absolutely love the work you guys do. Super funny and always
[49:27.220 --> 49:32.320]  entertaining. Please never stop. For you, we will continue. Thank you so much. Also,
[49:32.380 --> 49:38.340]  there's a guy out there called DG Geoff in the chat who is definitely not me, obviously. Oh,
[49:38.340 --> 49:43.220]  really? Yeah, I'm him. I'm fake Geoff on Twitch. Oh, then we should probably thank you very much.
[49:43.320 --> 49:45.800]  Right. I don't know that he's trying to be me. It could just be a coincidence,
[49:46.160 --> 49:51.720]  but just think it's a coincidence. What? That his name is drunk gamers, Geoff as well. I mean,
[49:52.620 --> 49:57.540]  seven and a half billion people on this planet, Eric. I can't assume that I'm the only one 20
[49:57.540 --> 50:01.780]  years ago. Oh, this is is this the same game we were just looking at? It's a split fiction.
[50:02.720 --> 50:10.220]  Oh, this could be even more split. This is a different Geoff here. No, it's not. Yeah. You and
