[00:00.700 --> 00:01.660]  Tombstone Tally.
[22:05.220 --> 22:06.300]  Where are you sending me?
[22:06.900 --> 22:08.060]  We're not going anywhere in here.
[22:10.480 --> 22:11.880]  I'm over here now.
[22:13.580 --> 22:17.140]  Man, these are really good.
[22:20.880 --> 22:22.580]  Oh, oh, oh.
[22:23.000 --> 22:25.060]  I saw perished as well.
[22:25.240 --> 22:25.800]  Shit, fuck.
[22:26.860 --> 22:27.700]  I suck.
[22:28.560 --> 22:29.360]  Where was the perished?
[22:30.880 --> 22:32.260]  Clayton Q Humphrey.
[22:32.740 --> 22:34.920]  Invented the extra spicy icy.
[22:35.220 --> 22:36.500]  It's worse than it sounds.
[22:39.280 --> 22:41.180]  Went swimming right after eating.
[22:43.160 --> 22:45.960]  Oh, a couple of people coming over the wall.
[22:46.360 --> 22:48.240]  Yeah, that was me and Andrew.
[22:48.320 --> 22:49.200]  I hit Andrew.
[22:49.200 --> 22:51.200]  And then I got groundskeepered.
[22:52.260 --> 22:53.900]  Oh, could this be death by a friend?
[22:54.820 --> 22:55.680]  Nah, you bitch.
[22:56.380 --> 22:58.400]  Bitten by a bunch of snakes in a pit.
[23:01.900 --> 23:03.020]  That's Geoff's worst nightmare.
[23:03.280 --> 23:04.160]  Oh, it's proctoduct doctor.
[23:06.080 --> 23:08.600]  I saw the fucking flashlight, you son of a bitch.
[23:09.500 --> 23:11.620]  I saw the light behind the tombstone.
[23:14.300 --> 23:16.100]  I don't trust the timing.
[23:16.680 --> 23:16.880]  Nope.
[23:16.880 --> 23:17.580]  Ah!
[23:20.200 --> 23:21.540]  Didn't I have a dove?
[23:22.900 --> 23:24.800]  Oh, there it is.
[23:27.080 --> 23:27.800]  Don't touch me!
[23:28.880 --> 23:29.280]  Ah!
[23:32.340 --> 23:33.660]  You gave me just enough time.
[23:33.920 --> 23:35.220]  I know, I heard you squiggle.
[23:40.680 --> 23:44.260]  Ah, you bitch!
[23:44.920 --> 23:46.740]  We both got groundskeepered.
[23:47.280 --> 23:48.440]  Okay, I thought it was you.
[23:52.780 --> 23:54.640]  I got a perished, thank God.
[23:55.940 --> 23:56.600]  Oh, candles!
[23:56.680 --> 23:57.840]  I haven't been looking for candles.
[23:58.460 --> 24:00.280]  Well, at least candles are really easy to find.
[24:01.180 --> 24:01.340]  Yeah.
[24:04.900 --> 24:06.400]  You know what, that's a fair point.
[24:09.160 --> 24:11.240]  Oh, you freaking were ready for that one.
[24:11.760 --> 24:13.820]  I saw your flashlight approaching.
[24:14.900 --> 24:15.300]  Ah!
[24:15.300 --> 24:18.900]  Did we do it to each other?
[24:19.240 --> 24:19.460]  Yep.
[24:19.900 --> 24:26.150]  I like that someone could stumble on this game
[24:26.150 --> 24:28.250]  and would have no idea of all the references
[24:28.250 --> 24:29.950]  and it's still a totally functioning game.
[24:30.050 --> 24:31.290]  Yeah, it totally makes sense.
[24:33.790 --> 24:35.490]  Are you stuck in a bench?
[24:35.710 --> 24:36.190]  I am.
[24:40.470 --> 24:45.390]  There, I got you.
[24:45.390 --> 24:46.630]  Thanks, buddy.
[24:46.750 --> 24:49.070]  Alright, I'm back.
[24:49.170 --> 24:51.490]  I can join whenever you guys are done.
[24:51.510 --> 24:52.390]  Do it.
[24:52.510 --> 24:53.450]  Oh, it crashed the game.
[24:57.350 --> 24:58.430]  Oh, wow!
[25:18.060 --> 25:19.140]  Standing desks.
[25:19.660 --> 25:20.760]  I remember when we did that.
[25:20.760 --> 25:22.520]  I think I just have to wait
[25:22.520 --> 25:23.140]  until y'all are done.
[25:23.820 --> 25:26.080]  That sucks.
[25:26.560 --> 25:27.760]  Nah, it's okay.
[25:29.260 --> 25:29.740]  Truce?
[25:30.760 --> 25:32.760]  Truce, I'm going to read there, you read there.
[25:33.180 --> 25:33.240]  Ha!
[25:36.420 --> 25:38.320]  Sadly died of ligma.
[25:42.000 --> 25:42.800]  That's great.
[25:44.940 --> 25:46.480]  Oh no, an inventing accident.
[25:46.680 --> 25:48.160]  Fuck, that's forever ago.
[25:52.760 --> 25:53.870]  Oh, oh, oh.
[25:55.300 --> 25:56.960]  No, no, no, get away, no!
[25:57.400 --> 25:57.560]  No!
[26:00.540 --> 26:02.780]  I was about to shout I avenged you, but I missed.
[26:04.840 --> 26:06.380]  Get over the wall, oh shit!
[26:08.640 --> 26:10.080]  He sent me flying.
[26:13.300 --> 26:13.720]  Oh.
[26:14.500 --> 26:16.080]  I can't believe there are so many.
[26:19.020 --> 26:20.600]  There are so many graves.
[26:25.050 --> 26:25.570]  Shit.
[26:25.890 --> 26:27.850]  I could hear that and I got panicked.
[26:28.170 --> 26:29.010]  I could hear the swinging.
[26:29.190 --> 26:31.070]  I popped out of my grave to swing around.
[26:32.210 --> 26:32.730]  Ow!
[26:38.460 --> 26:39.800]  Bought the system.
[26:41.040 --> 26:41.480]  Oh!
[26:44.900 --> 26:46.880]  Oh no, alliteration!
[26:47.040 --> 26:47.560]  Ah, balls.
[26:50.820 --> 26:52.580]  Have I seen a sir yet?
[26:52.580 --> 26:57.710]  Yeah, balls.
[26:58.410 --> 26:59.510]  Oh, isn't dead.
[27:00.090 --> 27:01.650]  Shot dead in the matrix.
[27:03.870 --> 27:05.430]  Oh, oh, oh, oh, oh.
[27:06.550 --> 27:06.670]  Uh.
[27:07.590 --> 27:08.430]  That's not what this is.
[27:13.980 --> 27:15.300]  How we doing with the cards?
[27:16.040 --> 27:18.680]  So, I'm just, I'm getting there, but man, it's a lot.
[27:19.580 --> 27:20.220]  It's a lot.
[27:20.540 --> 27:23.120]  Lost a fight against security falcons.
[27:30.690 --> 27:32.690]  Oh god, oh, the groundskeeper!
[27:33.410 --> 27:34.890]  Oh, that son of a...
[27:43.180 --> 27:45.200]  A lot of people are dying due to salad cream.
[27:46.080 --> 27:46.420]  Yeah.
[27:47.020 --> 27:47.480]  Oh ha!
[27:50.200 --> 27:50.640]  Oh!
[27:52.780 --> 27:54.580]  He hit me while I was down!
[27:58.240 --> 27:59.320]  Oh god, this...
[27:59.320 --> 27:59.780]  Oh no.
[28:02.000 --> 28:03.520]  Yeah, good luck getting back in here.
[28:05.560 --> 28:06.620]  We hit each other.
[28:06.620 --> 28:07.460]  That was perfect.
[28:11.000 --> 28:15.020]  Sasha X Little Dog Thornton.
[28:15.320 --> 28:18.120]  I found that one and then I realized I had a nickname.
[28:23.820 --> 28:24.540]  Shit!
[28:27.620 --> 28:29.680]  You launched me onto a bench.
[28:32.940 --> 28:33.200]  Ah!
[28:33.200 --> 28:33.440]  Ah!
[28:37.500 --> 28:37.900]  Ah!
[28:37.900 --> 28:39.080]  No, I was clear!
[28:47.300 --> 28:49.320]  Ah, you rat fuck.
[28:51.040 --> 28:52.240]  Ah! Look out, Eric!
[28:52.520 --> 28:52.920]  Groundskeeper.
[28:54.720 --> 28:55.540]  I got him, Nick.
[28:56.140 --> 28:56.880]  Nice job.
[28:57.620 --> 28:59.020]  I want to read this, don't touch me.
[29:02.960 --> 29:03.760]  Uh oh.
[29:04.400 --> 29:04.780]  Ah!
[29:04.900 --> 29:13.490]  Oh, I did just see a doctor.
[29:13.490 --> 29:14.470]  Man, I'm dumb.
[29:14.930 --> 29:16.550]  Holy shit, it's hard being dumb.
[29:16.750 --> 29:17.730]  You saw a doctor?
[29:18.650 --> 29:19.130]  Yeah.
[29:19.670 --> 29:20.930]  I gotta get over to you.
[29:22.510 --> 29:24.970]  No, I'm close!
[29:27.370 --> 29:28.730]  I thought I had it!
[29:29.650 --> 29:30.230]  Kill Eric!
[29:31.850 --> 29:32.290]  Where is he?
[29:32.690 --> 29:33.550]  He was just by me.
[29:38.080 --> 29:40.180]  Is this a fight? Would the cricket bat be a fight?
[29:40.960 --> 29:41.880]  Oh no, liquid!
[29:44.620 --> 29:44.980]  Shit.
[29:46.300 --> 29:46.660]  You...
[29:48.600 --> 29:48.960]  Fuck.
[29:49.580 --> 29:49.940]  Fuck!
[29:52.100 --> 29:53.160]  Would that be a fight?
[29:53.960 --> 29:54.680]  Just click it.
[29:54.800 --> 29:55.280]  Just try.
[29:57.260 --> 29:57.980]  I did.
[29:58.960 --> 29:59.840]  What do you want from me?
[29:59.860 --> 30:00.940]  Then why are you still pondering?
[30:02.820 --> 30:05.700]  I pondered first when I remembered it and ran back to it.
[30:05.820 --> 30:07.280]  And then I pondered again as I clicked it.
[30:07.280 --> 30:07.320]  I see, I see.
[30:08.060 --> 30:09.000]  That's right, that's fair.
[30:09.000 --> 30:10.480]  I'm sorry.
[30:10.600 --> 30:11.420]  No, from my perspective.
[30:11.800 --> 30:13.340]  I thought you were just staring at it.
[30:13.540 --> 30:14.880]  Is it? Is it not?
[30:16.560 --> 30:18.140]  You have the whole company on a Friday afternoon.
[30:25.490 --> 30:27.430]  I need more graves.
[30:30.050 --> 30:31.010]  More graves.
[30:31.250 --> 30:31.610]  No!
[30:32.170 --> 30:34.690]  No more graves. Daddy wins.
[30:35.150 --> 30:35.490]  Shit.
[30:36.830 --> 30:38.610]  Yes! Blackout baby, look at that.
[30:38.650 --> 30:39.910]  They put me in the game and everything.
[30:41.450 --> 30:41.930]  Crazy.
[30:42.970 --> 30:44.290]  White guy with a mustache, baby.
[30:45.810 --> 30:47.990]  Look at that. You guys weren't even close.
[30:48.570 --> 30:49.270]  Shut up.
[30:49.670 --> 30:51.030]  You guys weren't even fucking close.
[30:51.570 --> 30:53.630]  Let's get Geoff back in here.
[30:53.750 --> 30:54.610]  God damn it.
[30:54.990 --> 30:57.430]  I just spit water all over myself.
[30:58.010 --> 30:59.090]  Let me know when there's a lobby.
[30:59.630 --> 31:01.650]  Yeah, you can join on Gavin.
[31:02.110 --> 31:03.150]  Let me try.
[31:03.890 --> 31:06.450]  Do you want to go out on a shovel fight?
[31:06.830 --> 31:07.150]  Yes.
[31:08.190 --> 31:09.530]  Let's do it.
[31:10.930 --> 31:12.770]  Gavin, you made me laugh so hard.
[31:12.870 --> 31:14.050]  I spit out water everywhere.
[31:16.470 --> 31:19.570]  I like that the shoveling is just as fun as the actual bingo.
[31:20.010 --> 31:23.310]  It is so fun.
[31:23.530 --> 31:24.630]  This is so fun.
[31:25.450 --> 31:26.030]  Whoa!
[31:29.010 --> 31:30.910]  We're still playing bingo?
[31:31.830 --> 31:32.030]  What?
[31:32.030 --> 31:32.690]  What?
[31:33.950 --> 31:35.170]  Oh my god.
[31:35.930 --> 31:36.930]  This is insane.
[31:39.770 --> 31:41.330]  Where are the shovels?
[31:42.090 --> 31:43.070]  We don't get them.
[31:43.930 --> 31:45.210]  Wait, what are we supposed to do?
[31:45.450 --> 31:46.490]  Last name is a job.
[31:47.470 --> 31:48.950]  We have to look for...
[31:48.950 --> 31:51.150]  They just pop up?
[31:52.450 --> 31:53.630]  Nice, way to go, Gavin.
[31:53.790 --> 31:54.170]  No!
[31:54.970 --> 31:57.390]  You just happened to walk up to the one.
[31:57.690 --> 31:58.550]  How did you get that?
[32:02.030 --> 32:02.430]  Oh shit!
[32:02.930 --> 32:03.490]  Kick the bucket.
[32:05.370 --> 32:05.870]  Ow!
[32:08.290 --> 32:10.370]  Where the god damn is it?
[32:12.330 --> 32:12.890]  Yes!
[32:13.210 --> 32:13.590]  No!
[32:14.190 --> 32:15.670]  You lucky son of a bitch!
[32:16.610 --> 32:17.050]  No!
[32:19.530 --> 32:21.790]  Born before sliced bread.
[32:21.890 --> 32:22.770]  Just really old.
[32:23.990 --> 32:24.550]  Ah!
[32:25.730 --> 32:26.110]  Ow!
[32:26.410 --> 32:28.970]  You son of a bitch.
[32:29.510 --> 32:30.550]  I'm not even...
[32:30.550 --> 32:32.250]  I'm not even looking at these things.
[32:32.350 --> 32:33.270]  I'm just swinging.
[32:38.410 --> 32:39.750]  Died in the 20s.
[32:39.850 --> 32:41.950]  I lost my shovel for that.
[32:42.210 --> 32:44.710]  You bitch.
[32:45.790 --> 32:46.270]  Oh!
[32:46.410 --> 32:47.570]  It went over the side.
[32:48.390 --> 32:50.190]  Get the fuck out of here.
[32:50.450 --> 32:52.210]  It takes so long to go down.
[32:52.670 --> 32:52.850]  Shit!
[32:53.670 --> 32:53.910]  Ah!
[32:58.970 --> 32:59.530]  Got it!
[33:01.090 --> 33:02.330]  Bye bye!
[33:03.850 --> 33:04.350]  Damn it, Nick.
[33:06.250 --> 33:07.130]  Last name's a job.
[33:11.250 --> 33:11.870]  Nicholson.
[33:14.310 --> 33:14.930]  Doyle.
[33:15.070 --> 33:16.010]  Jesus Christ.
[33:16.630 --> 33:17.710]  The classic job, Doyle!
[33:18.130 --> 33:18.330]  No!
[33:19.650 --> 33:20.810]  What was the job?
[33:21.270 --> 33:21.830]  It was a mayor.
[33:22.610 --> 33:26.030]  Oh my god, lived 70 years.
[33:26.030 --> 33:27.390]  Quick shovel maths.
[33:28.590 --> 33:29.350]  Not that one.
[33:30.530 --> 33:33.590]  Every time I look at a fucking grave, I'm dead immediately.
[33:33.590 --> 33:34.010]  I read it wrong.
[33:34.050 --> 33:35.770]  Oh, you're just supposed to read it without touching it.
[33:35.810 --> 33:36.770]  Yeah, I read it wrong.
[33:36.910 --> 33:38.270]  Oh, that's what you're supposed to do?
[33:38.350 --> 33:38.750]  Got it!
[33:39.910 --> 33:41.290]  I've just been mashing them.
[33:41.790 --> 33:43.830]  No, no, you're mashing it and it knocks you around.
[33:44.590 --> 33:46.550]  Oh my god, another one lived 70 plus years?
[33:47.170 --> 33:47.510]  Jesus.
[33:50.470 --> 33:50.890]  Damn it.
[33:51.190 --> 33:52.130]  What the fuck?
[33:53.970 --> 33:54.450]  Shit.
[33:55.950 --> 33:57.010]  Oh, close there.
[33:57.970 --> 33:58.250]  Ah!
[33:58.910 --> 34:01.170]  Oh no, he hit me so high in the air.
[34:01.390 --> 34:02.970]  Oh, I'm never coming down.
[34:04.690 --> 34:05.170]  Shit.
[34:08.190 --> 34:08.670]  Yeah!
[34:09.090 --> 34:10.590]  Oh, Andrew got it.
[34:10.790 --> 34:11.710]  Oh god, Nick.
[34:11.850 --> 34:13.310]  Oh, Eric, no!
[34:15.330 --> 34:17.210]  Can you see a Star Wars in the theaters?
[34:18.170 --> 34:18.950]  Oh, it's this one.
[34:20.850 --> 34:21.650]  Not this one.
[34:21.910 --> 34:22.430]  Damn it.
[34:23.450 --> 34:23.850]  Yeah!
[34:25.550 --> 34:27.430]  Now that Andrew knows how to play the game.
[34:27.930 --> 34:29.010]  It's a whole new game.
[34:30.250 --> 34:31.010]  Killed by crime, huh?
[34:31.430 --> 34:34.250]  No kidding.
[34:35.090 --> 34:35.550]  Got it.
[34:35.750 --> 34:37.050]  Oh, come on!
[34:38.550 --> 34:39.730]  I just pressed the first one.
[34:39.750 --> 34:39.890]  By Gavin.
[34:41.390 --> 34:42.910]  Killed by a friend, that was me just now.
[34:43.070 --> 34:44.350]  That was you, right now.
[34:46.190 --> 34:46.990]  Oh no.
[34:46.990 --> 34:47.170]  Oh.
[34:54.670 --> 34:56.450]  Nick, I'm gonna remember that.
[34:56.690 --> 34:57.710]  Oh, you bastard, man.
[34:59.010 --> 35:00.610]  This mode is awesome.
[35:00.710 --> 35:01.970]  What a great idea.
[35:02.250 --> 35:03.310]  This mode is cool.
[35:03.750 --> 35:05.070]  This mode is awesome.
[35:07.350 --> 35:07.830]  Ha ha!
[35:09.110 --> 35:09.590]  Damn it.
[35:09.590 --> 35:10.070]  Damn you.
[35:11.650 --> 35:13.810]  Why couldn't you have fallen off the cliff forever?
[35:14.110 --> 35:15.350]  Oh, is it actually dead?
[35:15.790 --> 35:16.410]  Oh, hell yeah.
[35:17.770 --> 35:18.550]  Got it!
[35:18.890 --> 35:20.430]  Come on!
[35:21.410 --> 35:22.430]  No, you didn't.
[35:22.650 --> 35:24.070]  I made sure of that.
[35:25.550 --> 35:26.590]  Clothing incident.
[35:27.450 --> 35:28.770]  Ah, Nick!
[35:29.850 --> 35:31.350]  I won't let you win!
[35:31.570 --> 35:32.090]  Damn you!
[35:33.730 --> 35:35.450]  Oh, I took a big swing
[35:35.450 --> 35:37.550]  in guessing that maybe a CPAP machine
[35:37.550 --> 35:38.810]  could count his clothes.
[35:39.230 --> 35:41.010]  I was guessing a grenade counted his clothes.
[35:41.310 --> 35:42.250]  I got one that said,
[35:42.350 --> 35:43.890]  died inventing a new pocket.
[35:45.910 --> 35:47.410]  Just relax for a minute.
[35:47.450 --> 35:48.350]  Killed by a crime.
[35:48.610 --> 35:49.950]  Ah, it's not it!
[35:52.470 --> 35:53.610]  There you go.
[35:55.070 --> 35:59.270]  No, damn it!
[35:59.350 --> 36:00.670]  I just hit the button.
[36:02.030 --> 36:03.970]  Don't let Gavin look at any grenades.
[36:04.210 --> 36:05.250]  Don't let me look.
[36:05.330 --> 36:05.930]  No, Geoff!
[36:10.030 --> 36:11.370]  No, I made it to you!
[36:14.350 --> 36:15.890]  Oh, did it go away?
[36:16.090 --> 36:17.990]  Yeah, nobody got it.
[36:18.590 --> 36:20.070]  Died in their sleep.
[36:22.090 --> 36:23.750]  Got them both, baby!
[36:24.970 --> 36:25.350]  Damn it.
[36:26.090 --> 36:26.590]  I got saved.
[36:28.290 --> 36:28.530]  Yes!
[36:28.930 --> 36:29.510]  Shit.
[36:32.010 --> 36:33.650]  Went away from what?
[36:33.730 --> 36:34.430]  How do you know that?
[36:35.150 --> 36:36.670]  Oh, really?
[36:37.410 --> 36:38.730]  Oh, I didn't know that.
[36:39.770 --> 36:40.250]  Damn it.
[36:41.550 --> 36:42.590]  Struck by an object?
[36:42.590 --> 36:43.150]  No, that's bullshit!
[36:44.550 --> 36:46.350]  If you die in a shootout,
[36:46.470 --> 36:47.350]  you die from an object.
[36:48.970 --> 36:49.490]  Well,
[36:50.330 --> 36:50.850]  perished.
[36:51.430 --> 36:54.710]  Here we go.
[36:55.450 --> 36:55.790]  Oh!
[36:57.250 --> 36:58.110]  It was on me!
[36:59.210 --> 37:01.330]  I was on your tail, man.
[37:02.950 --> 37:03.910]  It's a win!
[37:04.950 --> 37:05.510]  That was great.
[37:06.130 --> 37:06.810]  Way to go, Geoff.
[37:06.810 --> 37:08.470]  Oh, dude, I was just hitting people.
[37:08.710 --> 37:09.350]  I was having fun.
[37:11.450 --> 37:12.770]  This game is awesome.
[37:12.930 --> 37:14.290]  Tombstone Tally is fucking cool.
[37:14.530 --> 37:16.930]  It's free on Steam.
[37:17.270 --> 37:18.590]  This is not an ad.
[37:18.830 --> 37:20.070]  This game is awesome.
[37:21.210 --> 37:21.610]  Incredible.
[37:22.090 --> 37:23.130]  This is fun.
[37:24.350 --> 37:25.350]  Yeah, we should definitely play it again.
[37:26.430 --> 37:28.170]  Do you know how many people it supports?
[37:28.290 --> 37:29.110]  I could never find an answer.
[37:30.710 --> 37:32.790]  I feel like it's set up to six.
[37:33.430 --> 37:34.370]  I think at least six.
[37:34.370 --> 37:34.610]  Yeah.
[37:35.790 --> 37:38.430]  Wow, what a fun game.
[37:39.110 --> 37:40.730]  Thanks for watching us play Tombstone Tally.
[37:40.790 --> 37:41.550]  Go download it.
[37:42.510 --> 37:43.270]  Play it yourself.
[37:43.870 --> 37:45.090]  You could get 12 people.
[37:46.170 --> 37:46.570]  Really?
[37:47.110 --> 37:49.470]  I would do this with Falcons.
[37:50.070 --> 37:52.210]  Yeah, I would do this with Falcons for sure.
[37:52.710 --> 37:54.350]  And if you want to become a Falcon, you can.
[37:54.630 --> 37:55.970]  Go to patreon.com
[37:55.970 --> 37:57.650]  slash the regulation pod.
[37:58.010 --> 37:59.890]  Sign up now. We have monthly Falcon events.
[38:00.750 --> 38:02.590]  And so much other stuff for all the other tiers.
[38:03.370 --> 38:04.930]  New stuff coming out all the time
[38:04.930 --> 38:07.530]  on the Regulation Podcast and Regulation Gameplay channels.
[38:07.630 --> 38:09.110]  You can go to regulationstore.com
[38:09.110 --> 38:11.330]  or regulationstore.store.
[38:11.850 --> 38:13.170]  But that's it for us.
[38:13.230 --> 38:14.730]  And for now, go to jeff.sucks.
[38:14.890 --> 38:16.030]  We'll see you next time. Bye!
[38:16.550 --> 38:16.950]  Bye!
