[00:00.000 --> 00:01.140]  Let's set sail.
[15:02.070 --> 15:02.850]  Yeah, here he comes.
[15:03.050 --> 15:03.250]  Cannons.
[15:03.490 --> 15:05.850]  Geoff, I'll get these second two if you want to get the first two.
[15:06.610 --> 15:06.790]  Okay.
[15:08.230 --> 15:09.210]  Okay, here he comes.
[15:09.470 --> 15:09.810]  All right.
[15:09.890 --> 15:10.750]  Wait for it.
[15:11.350 --> 15:12.030]  You gotta wait.
[15:12.390 --> 15:13.450]  He's not in front of me yet.
[15:15.950 --> 15:16.310]  Fire!
[15:18.050 --> 15:18.590]  Got him.
[15:21.250 --> 15:21.610]  Nice.
[15:25.500 --> 15:26.240]  Not off the ship.
[15:26.340 --> 15:26.560]  It's okay.
[15:29.040 --> 15:30.040]  That's so far, Geoff.
[15:30.040 --> 15:30.620]  How you shooting that?
[15:30.680 --> 15:31.120]  That's crazy.
[15:31.800 --> 15:32.500]  I got him.
[15:32.700 --> 15:33.420]  I hit him.
[15:35.420 --> 15:36.560]  Hey, too much.
[15:36.800 --> 15:37.580]  I've got more coming in.
[15:41.410 --> 15:41.950]  He's gone.
[15:44.790 --> 15:45.590]  Good shot.
[15:47.990 --> 15:49.070]  I'm out of cannonballs.
[15:49.150 --> 15:49.690]  Oh, shit.
[15:49.770 --> 15:50.190]  Here they come.
[15:50.350 --> 15:51.110]  Oh, we're hit.
[15:51.770 --> 15:52.810]  Oh, they're ghosting us.
[15:54.250 --> 15:55.430]  Oh, that hit me directly.
[15:55.670 --> 15:56.890]  Where do you pick up wood again, Geoff?
[15:57.750 --> 15:59.690]  From the wood barrel downstairs.
[16:00.030 --> 16:01.190]  There's a wood barrel, huh?
[16:01.730 --> 16:03.790]  Oh, there's a boat coming right for us.
[16:03.830 --> 16:04.010]  Yeah.
[16:04.690 --> 16:05.410]  Looks like he's...
[16:06.050 --> 16:06.310]  Damn.
[16:06.390 --> 16:07.790]  I don't think we're gonna be able to get him at this angle.
[16:10.930 --> 16:11.630]  Come on, Louie.
[16:11.670 --> 16:12.130]  What are we doing?
[16:12.650 --> 16:13.290]  All right.
[16:13.370 --> 16:13.990]  We gotta patch up.
[16:14.450 --> 16:14.930]  I'm patching.
[16:15.110 --> 16:16.010]  I'm going down to patch.
[16:16.330 --> 16:16.830]  We're gonna...
[16:16.830 --> 16:17.490]  We're almost done.
[16:17.650 --> 16:18.350]  You can stay up there.
[16:18.790 --> 16:18.930]  Okay.
[16:19.030 --> 16:20.390]  Well, I'm gonna grab some fucking...
[16:20.390 --> 16:21.350]  some of the water out of the bottom.
[16:22.110 --> 16:22.650]  Good idea.
[16:24.570 --> 16:25.730]  Okay, got cannonballs loaded.
[16:26.730 --> 16:28.910]  What a haphazard way to patch this ship.
[16:30.590 --> 16:31.990]  Oh, we're taking hits.
[16:33.470 --> 16:34.550]  Oh my God.
[16:34.630 --> 16:36.350]  Everything I do is undone instantly.
[16:36.750 --> 16:37.070]  Oh shit.
[16:39.790 --> 16:41.930]  Geoff, is the sound of running water good or bad?
[16:42.870 --> 16:43.410]  Oh, it's good.
[16:43.450 --> 16:44.210]  We're surrounded by water.
[16:44.330 --> 16:44.630]  So it's good.
[16:44.750 --> 16:45.170]  It's not good.
[16:45.430 --> 16:46.970]  Well, earlier you said we're surrounded by water.
[16:48.190 --> 16:48.630]  So...
[16:49.410 --> 16:50.810]  We want it outside the boat.
[16:52.970 --> 16:55.650]  Are we supposed to fight all of these ships?
[16:56.310 --> 16:56.630]  Yep.
[16:57.190 --> 16:57.410]  What?
[16:57.770 --> 16:58.630]  Only to the death.
[16:59.470 --> 16:59.970]  Oh, cool.
[17:01.070 --> 17:01.450]  All right.
[17:01.470 --> 17:02.130]  Is there anybody to kill?
[17:02.270 --> 17:02.550]  All right, here.
[17:02.690 --> 17:03.330]  Coming up on the left here.
[17:03.870 --> 17:04.750]  Yeah, coming up on the left.
[17:07.090 --> 17:07.510]  All right.
[17:07.510 --> 17:08.170]  You hit him once.
[17:08.230 --> 17:08.830]  I'll hit him twice.
[17:08.970 --> 17:09.850]  I'm gonna try.
[17:10.670 --> 17:11.730]  Yeah, here we go, boys.
[17:12.190 --> 17:13.290]  All right, firing now.
[17:14.870 --> 17:16.230]  Oh, I don't have any cannonballs in here.
[17:16.350 --> 17:16.570]  Fuck.
[17:17.150 --> 17:17.710]  I got it.
[17:19.070 --> 17:20.990]  Oh, it lit.
[17:20.990 --> 17:21.250]  Got him.
[17:22.770 --> 17:23.050]  Nice.
[17:23.270 --> 17:23.850]  Good job, fellas.
[17:25.330 --> 17:26.070]  GG, fellas.
[17:26.770 --> 17:28.130]  Got another guy coming right up our dicks.
[17:28.130 --> 17:29.190]  On the other side.
[17:29.350 --> 17:30.150]  Which side? Other side?
[17:30.390 --> 17:31.110]  Yeah, other side.
[17:31.550 --> 17:32.130]  Yeah, I see it.
[17:33.050 --> 17:33.670]  Put one in him.
[17:35.030 --> 17:35.850]  I don't think I can...
[17:35.850 --> 17:37.010]  I can't shoot him from this angle.
[17:37.990 --> 17:38.470]  He's only...
[17:38.470 --> 17:39.330]  He's only needs one more.
[17:39.430 --> 17:40.030]  Good repairs, Nate.
[17:40.030 --> 17:40.910]  Go around the other side.
[17:41.610 --> 17:41.830]  Yep.
[17:42.270 --> 17:42.770]  You got him.
[17:44.050 --> 17:44.910]  Come on around, dickhead.
[17:44.970 --> 17:45.810]  Oh, shit.
[17:45.850 --> 17:46.750]  I took a direct hit.
[17:46.950 --> 17:47.610]  The mast has hit.
[17:47.710 --> 17:48.370]  The mast has hit.
[17:48.790 --> 17:49.110]  Coming around.
[17:49.190 --> 17:50.230]  He's fucking up our ass.
[17:50.610 --> 17:50.790]  Yep.
[17:51.630 --> 17:52.350]  Oh, fuck, man.
[17:52.630 --> 17:53.290]  We're not gonna be able to get him.
[17:53.310 --> 17:54.430]  Oh, we're on fire down below.
[17:54.830 --> 17:55.350]  He's fucking us.
[17:55.350 --> 17:55.710]  Yeah, I got it.
[17:55.750 --> 17:56.010]  I got it.
[17:56.030 --> 17:56.910]  Right up the ass.
[17:56.910 --> 17:58.250]  Oh, that angle is fucked.
[17:58.430 --> 17:59.050]  I can't get him.
[17:59.290 --> 17:59.970]  Are we taking out water?
[18:00.170 --> 18:00.510]  The angle is fucked.
[18:00.510 --> 18:00.730]  I'm waiting.
[18:01.870 --> 18:03.410]  Okay, here comes another one on the left.
[18:03.810 --> 18:04.550]  It's coming into us.
[18:04.670 --> 18:05.390]  Fire, fire, fire.
[18:06.930 --> 18:07.490]  Oh, shit.
[18:07.510 --> 18:08.410]  Where'd he come from?
[18:08.910 --> 18:09.510]  What's going on?
[18:09.630 --> 18:09.850]  Out of nowhere.
[18:10.230 --> 18:11.470]  Where did that come from?
[18:11.610 --> 18:12.290]  Came out of nowhere.
[18:14.770 --> 18:16.290]  I need to patch up some stuff.
[18:16.510 --> 18:17.490]  Loading up cannonball.
[18:18.550 --> 18:19.670]  And let me know, Nick, if you get in there.
[18:19.670 --> 18:20.170]  Oh, my God.
[18:20.270 --> 18:20.790]  The whole...
[18:20.790 --> 18:21.830]  God damn it.
[18:22.010 --> 18:22.230]  Below deck.
[18:22.230 --> 18:23.250]  Another guy coming down to help, Nick.
[18:23.590 --> 18:24.670]  Where's the wood that I...
[18:24.670 --> 18:26.150]  Ah, Andrew, we're underwater.
[18:26.770 --> 18:27.130]  Yeah.
[18:27.730 --> 18:28.470]  I got you.
[18:28.590 --> 18:28.770]  All right.
[18:28.790 --> 18:29.110]  Got him.
[18:29.190 --> 18:29.730]  He's down.
[18:30.930 --> 18:31.870]  Nick, you patch up.
[18:31.990 --> 18:32.350]  I'll bucket.
[18:32.630 --> 18:33.550]  I need to...
[18:34.110 --> 18:36.290]  I'll get a little bit more before, and then I'll go.
[18:36.490 --> 18:37.330]  We got a fight.
[18:37.470 --> 18:38.550]  We have a fire up top.
[18:38.970 --> 18:39.950]  Okay, getting it.
[18:42.810 --> 18:44.150]  No, don't place the trinket.
[18:44.270 --> 18:44.590]  Damn you.
[18:44.730 --> 18:45.290]  Grab the wood.
[18:46.850 --> 18:47.730]  Oh, I can still hear one.
[18:48.110 --> 18:48.650]  Guys, it's...
[18:50.030 --> 18:51.630]  Yeah, there's a lot of water.
[18:51.890 --> 18:52.650]  Also running out of wood.
[18:53.030 --> 18:54.370]  Yeah, we took a lot of hits.
[18:54.930 --> 18:55.690]  Oh, Geoff, Geoff.
[18:55.690 --> 18:57.130]  We got another guy coming from this side.
[18:57.170 --> 18:58.570]  Okay, I just got to get some water out of here, man.
[18:58.630 --> 18:59.790]  This is... we're not going to be...
[19:01.950 --> 19:03.690]  Okay, I think I got...
[19:04.290 --> 19:05.010]  Yeah, good job, Nick.
[19:05.290 --> 19:05.650]  Thank you.
[19:05.850 --> 19:07.390]  I'll try to fire and then get the next one.
[19:07.450 --> 19:07.930]  Where are we at, Eric?
[19:08.130 --> 19:08.690]  Where is the...
[19:08.690 --> 19:10.130]  I'm on my side over here.
[19:10.430 --> 19:11.550]  I don't know how to...
[19:11.550 --> 19:12.210]  Oh, geez.
[19:13.010 --> 19:13.610]  Coming through.
[19:15.510 --> 19:15.930]  Oh, yeah.
[19:16.190 --> 19:16.490]  Away.
[19:17.630 --> 19:17.930]  Nice.
[19:18.270 --> 19:18.490]  Great.
[19:18.970 --> 19:19.390]  Is he dead?
[19:19.630 --> 19:19.810]  Nope.
[19:20.030 --> 19:20.630]  He is now, though.
[19:20.790 --> 19:21.350]  Ah, damn.
[19:21.430 --> 19:21.770]  We got him.
[19:21.790 --> 19:22.030]  Got him.
[19:22.410 --> 19:22.630]  Good work.
[19:23.290 --> 19:23.610]  Good work.
[19:24.130 --> 19:25.790]  Loaded that bad boy up.
[19:25.850 --> 19:27.070]  Okay, we doing okay on that side?
[19:27.170 --> 19:27.270]  Yeah.
[19:28.750 --> 19:29.550]  Loading cannonball.
[19:29.970 --> 19:30.370]  Good.
[19:31.170 --> 19:32.230]  Guys, we got all the...
[19:32.230 --> 19:33.490]  just about all the water out of the bottom.
[19:33.650 --> 19:34.910]  I think we're patched at the bottom.
[19:36.810 --> 19:37.210]  Sweet.
[19:38.030 --> 19:38.270]  Let's...
[19:38.270 --> 19:38.890]  Oh, we got some guys coming up on...
[19:38.890 --> 19:39.710]  Oh, we got some guys coming up on bottom now.
[19:39.810 --> 19:40.410]  Coming up on the right.
[19:41.670 --> 19:42.290]  Oh, shit.
[19:43.170 --> 19:43.910]  Both sides.
[19:44.370 --> 19:45.190]  Front and back.
[19:45.830 --> 19:46.630]  Oh, fuck.
[19:47.230 --> 19:48.130]  Okay, coming straight on.
[19:52.070 --> 19:53.350]  How did that miss?
[19:55.270 --> 19:55.950]  Oh, this is out.
[19:56.150 --> 19:56.390]  Shit.
[19:56.390 --> 19:56.730]  That's it.
[19:57.890 --> 19:58.590]  Okay, one.
[19:58.930 --> 19:59.630]  Come on, come on.
[19:59.710 --> 20:00.650]  I'm not gonna be able to get him.
[20:01.810 --> 20:03.070]  Whoa, where'd that guy come from?
[20:03.890 --> 20:05.210]  Out of fucking nowhere.
[20:06.030 --> 20:06.390]  Ugh.
[20:06.970 --> 20:08.510]  Gotta go get fucking cannonballs.
[20:09.590 --> 20:10.850]  Okay, let me patch this up.
[20:10.870 --> 20:12.030]  Wish there was a cannon on the ass.
[20:12.190 --> 20:13.230]  Why don't we have an ass cannon?
[20:13.990 --> 20:15.050]  It'd be perfect for this.
[20:16.250 --> 20:17.490]  Okay, we should be patched.
[20:17.490 --> 20:18.730]  Hey, another one coming up on the right.
[20:19.430 --> 20:19.970]  I see him.
[20:20.490 --> 20:20.770]  Yeah.
[20:23.430 --> 20:26.870]  Is there a faster way to get to my items than just going to the menu?
[20:27.290 --> 20:32.570]  You can go into the keys, or like controller settings.
[20:32.850 --> 20:33.330]  You got him, Geoff?
[20:33.730 --> 20:34.090]  Oh, okay.
[20:34.190 --> 20:34.330]  That's it.
[20:34.750 --> 20:35.070]  Nice.
[20:35.910 --> 20:36.250]  Way to go.
[20:37.190 --> 20:37.670]  Oh, this guy.
[20:39.190 --> 20:39.590]  What do you mean?
[20:39.630 --> 20:40.250]  That one has more health.
[20:40.570 --> 20:41.150]  There you go.
[20:41.170 --> 20:41.250]  Oh, shit.
[20:41.450 --> 20:41.950]  Okay, you got him.
[20:42.370 --> 20:43.150]  All right, this one's loaded.
[20:43.350 --> 20:44.150]  Oh, we got another one coming.
[20:44.970 --> 20:45.290]  Yeah.
[20:45.510 --> 20:45.670]  Where?
[20:45.750 --> 20:46.470]  Oh, never mind.
[20:46.470 --> 20:47.350]  He's going up on the right.
[20:47.630 --> 20:47.930]  Here we go.
[20:47.990 --> 20:48.330]  Far right.
[20:48.330 --> 20:48.410]  Okay.
[20:51.940 --> 20:52.860]  What are you, a loser?
[20:53.000 --> 20:53.940]  No, he's gone.
[20:54.060 --> 20:54.480]  Oh, they're leaving.
[20:54.620 --> 20:55.200]  He's scared.
[20:55.460 --> 20:56.060]  Did we do it?
[20:56.240 --> 20:57.080]  Did we leave the area?
[20:59.120 --> 20:59.840]  Fucking hell.
[20:59.900 --> 21:00.800]  Or did we win?
[21:04.020 --> 21:04.540]  Oh, boy.
[21:04.580 --> 21:05.400]  There's a lot of water down here.
[21:05.420 --> 21:06.380]  Vortex is still here.
[21:07.560 --> 21:08.320]  Oh, they're coming back.
[21:08.640 --> 21:09.000]  No!
[21:09.900 --> 21:10.820]  Damn it all.
[21:11.160 --> 21:11.400]  Oh.
[21:13.140 --> 21:13.800]  Where's the leak?
[21:13.860 --> 21:14.320]  There it is.
[21:15.220 --> 21:15.860]  Holy shit.
[21:15.960 --> 21:16.940]  A whole bunch of them coming up left.
[21:16.940 --> 21:17.260]  Left, left.
[21:17.260 --> 21:18.020]  Oh my god.
[21:18.320 --> 21:19.020]  No, let me...
[21:19.020 --> 21:19.680]  Okay, so it's just...
[21:19.700 --> 21:20.680]  It's just this left side?
[21:21.380 --> 21:21.420]  Yep.
[21:21.640 --> 21:22.200]  Alright, here they come.
[21:22.700 --> 21:23.540]  Oh, this one's got a...
[21:23.540 --> 21:24.860]  This is special when he's got a...
[21:24.860 --> 21:26.060]  Maybe there's like the boss or something.
[21:26.200 --> 21:26.580]  Oh, god.
[21:26.680 --> 21:27.060]  Oh, god.
[21:27.800 --> 21:28.540]  Nick, do you need help?
[21:28.780 --> 21:29.660]  I think...
[21:29.660 --> 21:30.600]  I think I stopped it.
[21:30.640 --> 21:31.740]  It's just full of water right now.
[21:32.220 --> 21:32.360]  Okay.
[21:35.820 --> 21:36.260]  I don't know.
[21:36.280 --> 21:37.300]  Some shit's happening to me.
[21:38.440 --> 21:39.040]  Oh my god.
[21:39.320 --> 21:39.820]  Oh, god.
[21:39.920 --> 21:41.260]  Keep your shots high, dudes.
[21:42.500 --> 21:43.320]  Am I on fire?
[21:43.460 --> 21:44.380]  You seem to be on fire.
[21:44.460 --> 21:44.780]  Go to the basement.
[21:44.780 --> 21:45.080]  Yeah, you're on fire.
[21:45.080 --> 21:45.480]  You'll be alright.
[21:45.940 --> 21:47.320]  Alright, I'm not on fire anymore.
[21:47.320 --> 21:47.840]  Woah.
[21:48.480 --> 21:49.460]  Maybe it'll evaporate.
[21:49.820 --> 21:50.820]  They all took off?
[21:50.980 --> 21:51.160]  I...
[21:51.160 --> 21:51.340]  What?
[21:51.980 --> 21:53.020]  We got a fire in the deck!
[21:55.460 --> 21:56.040]  Oh, fuck.
[21:56.080 --> 21:56.680]  I'm out of cannonballs.
[22:00.260 --> 22:00.960]  Oh, you got it?
[22:00.980 --> 22:01.180]  Nice.
[22:04.260 --> 22:05.460]  Alright, they're still back there.
[22:05.520 --> 22:07.520]  We should really be bigger crews than four on a ship.
[22:08.080 --> 22:08.560]  Yeah, no kidding.
[22:08.800 --> 22:09.440]  Load cannon.
[22:12.240 --> 22:12.840]  Oh, okay.
[22:12.960 --> 22:13.840]  You see where those...
[22:13.840 --> 22:14.660]  Oh my god.
[22:14.860 --> 22:15.120]  ...ghost things are?
[22:16.580 --> 22:18.740]  On the water, see the ghost things above the water?
[22:19.600 --> 22:20.120]  To the left?
[22:20.480 --> 22:20.900]  Uh-huh.
[22:20.920 --> 22:22.440]  That should be crates we can retrieve.
[22:22.560 --> 22:24.500]  Let's have somebody try to harpoon one of those up.
[22:24.660 --> 22:26.520]  Because we could use the resources.
[22:27.440 --> 22:28.640]  I'm almost dead.
[22:29.640 --> 22:30.520]  Oh, yeah.
[22:30.820 --> 22:31.480]  And they're...
[22:31.480 --> 22:33.180]  And they're coming right for us, boys.
[22:33.860 --> 22:34.640]  Eat a banana.
[22:35.080 --> 22:37.100]  So drop down and go to the food barrel.
[22:37.920 --> 22:39.460]  And then grab some food.
[22:40.420 --> 22:41.680]  And then you can eat it.
[22:42.300 --> 22:42.780]  Get health.
[22:43.820 --> 22:44.940]  What's the food barrel?
[22:45.400 --> 22:45.880]  It's a...
[22:45.880 --> 22:47.380]  It's a barrel with, like, food marked on it.
[22:47.400 --> 22:48.220]  It's over here by me, Eric.
[22:48.920 --> 22:50.140]  I don't know where you are.
[22:50.260 --> 22:51.740]  I'm in the right next to you.
[22:51.960 --> 22:52.200]  Oh, okay.
[22:52.260 --> 22:52.500]  Here we go.
[22:52.660 --> 22:53.140]  Thank you.
[22:56.480 --> 22:57.500]  Damn it to hell!
[22:57.580 --> 22:58.640]  Where is the leak?
[22:59.660 --> 23:00.580]  Okay, we got one.
[23:00.900 --> 23:01.140]  Yep.
[23:01.400 --> 23:02.260]  He's down.
[23:02.580 --> 23:02.700]  Ah!
[23:03.580 --> 23:04.320]  A new leak!
[23:05.420 --> 23:06.440]  Hit that big guy.
[23:06.760 --> 23:07.120]  Come on!
[23:08.740 --> 23:10.040]  I think maybe he's...
[23:11.500 --> 23:11.940]  Oh!
[23:13.780 --> 23:14.660]  We're underwater.
[23:15.780 --> 23:16.060]  Yep.
[23:16.960 --> 23:17.240]  Gotcha.
[23:17.300 --> 23:17.660]  We got him!
[23:17.660 --> 23:18.320]  Well, we got the big guy.
[23:18.400 --> 23:18.780]  We got the big guy.
[23:18.840 --> 23:19.400]  We got the big guy.
[23:19.500 --> 23:19.720]  Good deal.
[23:19.740 --> 23:20.580]  Nice, nice, nice.
[23:20.600 --> 23:23.400]  I'm out of...
[23:23.800 --> 23:25.040]  Let me go get some more...
[23:27.160 --> 23:27.440]  Cannons.
[23:28.720 --> 23:29.860]  Oh, we're out of regular cannons.
[23:29.960 --> 23:31.240]  Yeah, we definitely need to get those supplies.
[23:32.840 --> 23:33.840]  Oh, we have a...
[23:33.840 --> 23:34.620]  We have the heavy...
[23:34.620 --> 23:35.180]  Oh, guys.
[23:35.200 --> 23:36.360]  We got two boats coming right for us.
[23:36.860 --> 23:37.420]  Oh, boys.
[23:37.720 --> 23:38.220]  I'm on him.
[23:39.000 --> 23:39.980]  As soon as he gets around.
[23:42.620 --> 23:42.840]  All right.
[23:42.840 --> 23:43.440]  That's the end of him.
[23:43.440 --> 23:43.920]  Nice.
[23:44.660 --> 23:45.020]  Unload.
[23:46.120 --> 23:46.520]  Oh, God.
[23:46.580 --> 23:47.520]  He's coming right for us!
[23:48.120 --> 23:48.400]  Oh!
[23:51.060 --> 23:51.420]  Can't...
[23:51.420 --> 23:52.020]  Couldn't get to him.
[23:55.120 --> 23:55.480]  Uh...
[23:56.320 --> 23:57.860]  Okay, I got one of the things.
[23:58.200 --> 23:58.920]  Okay, good deal.
[23:59.040 --> 23:59.840]  It's a storage crate.
[23:59.980 --> 24:00.040]  Cool.
[24:00.040 --> 24:00.360]  Here you go.
[24:00.420 --> 24:01.480]  I loaded these up for you guys.
[24:01.740 --> 24:03.100]  There's cannons and wooden.
[24:03.140 --> 24:05.560]  I can't quite get to the other storage crate.
[24:05.640 --> 24:05.920]  Fuck.
[24:06.060 --> 24:06.400]  This thing.
[24:07.120 --> 24:08.080]  Okay, I'm gonna spin left.
[24:08.120 --> 24:08.900]  We got treasure in the water.
[24:08.940 --> 24:10.040]  If you can spin left, I can get it.
[24:10.400 --> 24:10.660]  Yeah.
[24:11.200 --> 24:11.560]  Spinning.
[24:12.540 --> 24:14.040]  Nick, can you check on the holes, please?
[24:14.200 --> 24:14.320]  Yeah.
[24:14.520 --> 24:14.720]  Looking.
[24:15.100 --> 24:15.780]  We have water.
[24:16.740 --> 24:17.500]  Don't sink.
[24:18.260 --> 24:19.060]  Don't sink.
[24:19.800 --> 24:20.600]  Don't sink.
[24:21.280 --> 24:22.080]  Don't sink.
[24:22.440 --> 24:23.320]  We're not sinking yet.
[24:23.660 --> 24:24.460]  No, I'm talking about the treasure.
[24:24.680 --> 24:25.020]  Oh, okay.
[24:26.880 --> 24:28.760]  Can I patch up the hole at the bottom?
[24:28.880 --> 24:29.300]  Nice job.
[24:29.500 --> 24:29.980]  Thank you.
[24:31.300 --> 24:32.280]  I'll empty us out.
[24:33.040 --> 24:33.680]  Got one.
[24:35.120 --> 24:35.520]  Woo!
[24:36.640 --> 24:37.400]  That was close.
[24:37.560 --> 24:38.700]  I got what I could from that angle.
[24:38.840 --> 24:39.460]  Oh, there's more coming.
[24:39.620 --> 24:39.800]  Shit.
[24:42.400 --> 24:42.940]  More what?
[24:43.080 --> 24:44.560]  Okay, I'm spinning us back around to the left.
[24:44.960 --> 24:45.560]  Oh, I see.
[24:45.840 --> 24:46.120]  There's...
[24:46.600 --> 24:47.280]  Trigger to the right.
[24:47.420 --> 24:47.840]  There's some on the right.
[24:48.220 --> 24:48.680]  Can't get to it.
[24:48.800 --> 24:49.300]  Can you get to it from the right?
[24:49.300 --> 24:49.640]  Coming out.
[24:49.760 --> 24:50.220]  There, you got it.
[24:51.460 --> 24:52.000]  I got it.
[24:52.100 --> 24:52.420]  You got it?
[24:52.500 --> 24:52.640]  Alright.
[24:53.640 --> 24:53.900]  Alright.
[24:54.840 --> 24:56.120]  Maybe I can get the one on the left now.
[24:57.320 --> 24:57.760]  Alright, we got it.
[24:57.820 --> 24:58.500]  Still not quite.
[24:59.260 --> 24:59.580]  Oh, no.
[24:59.980 --> 25:00.500]  Ships are back.
[25:01.080 --> 25:01.340]  Yeah.
[25:03.320 --> 25:03.600]  One.
[25:04.200 --> 25:04.480]  Two.
[25:04.480 --> 25:04.900]  He's gone.
[25:05.340 --> 25:05.720]  Good work.
[25:06.080 --> 25:06.640]  Oh, he's not?
[25:06.840 --> 25:07.200]  He's not dead.
[25:07.240 --> 25:07.880]  He's got more health.
[25:08.020 --> 25:08.360]  I got him.
[25:08.360 --> 25:08.580]  He's got more health.
[25:08.740 --> 25:09.140]  There we go.
[25:09.300 --> 25:09.720]  There he goes.
[25:09.840 --> 25:10.300]  The third hit.
[25:10.540 --> 25:10.800]  Alright, cool.
[25:10.880 --> 25:11.300]  Good work, boys.
[25:11.440 --> 25:12.180]  Good shots, fellas.
[25:12.820 --> 25:13.060]  Yep.
[25:14.580 --> 25:15.680]  Ooh, what is this?
[25:15.980 --> 25:17.240]  Storage crate of the damned.
[25:17.920 --> 25:18.780]  The hell is that?
[25:19.680 --> 25:22.200]  It's one of the treasure things that Andrew grabbed.
[25:22.400 --> 25:22.720]  Oh, okay.
[25:23.140 --> 25:26.440]  I'm hopping down to repair some holes quickly if someone wants to keep their eyes open for
[25:26.440 --> 25:27.340]  treasure in the water.
[25:28.020 --> 25:30.320]  Okay, this one had lots of good stuff in it.
[25:30.820 --> 25:31.140]  Yeah.
[25:31.560 --> 25:32.080]  Good, good, good.
[25:32.700 --> 25:33.940]  Need a coconut real fast.
[25:35.160 --> 25:35.380]  Okay.
[25:36.760 --> 25:38.460]  Load these bad boys up.
[25:39.940 --> 25:41.520]  Alright, we loaded on every side.
[25:41.980 --> 25:44.700]  Loaded, loaded, loaded, loaded.
[25:44.980 --> 25:45.160]  Okay.
[25:46.220 --> 25:48.480]  I'm just going to bring this chest.
[25:49.460 --> 25:50.600]  Uh, it looks like...
[25:51.120 --> 25:52.080]  This storage...
[25:52.080 --> 25:52.800]  Oh, treasure to the right?
[25:52.920 --> 25:54.420]  Yeah, treasure over here.
[25:54.620 --> 25:55.700]  I don't know how to...
[25:55.700 --> 25:57.100]  I don't know how to aim for it.
[25:58.220 --> 26:01.060]  So, it kind of auto-aims if you just look in the right direction for it.
[26:01.340 --> 26:01.640]  Okay.
[26:04.580 --> 26:06.800]  Got some treasure on the left here.
[26:06.820 --> 26:07.280]  There we go.
[26:07.280 --> 26:07.840]  Got something.
[26:08.140 --> 26:08.760]  Just keep shooting it.
[26:09.020 --> 26:09.240]  Okay.
[26:10.640 --> 26:11.660]  They're behind us.
[26:13.240 --> 26:13.960]  I got...
[26:14.500 --> 26:14.860]  ...everything.
[26:15.000 --> 26:15.280]  Beautiful.
[26:15.280 --> 26:15.860]  Got everything there.
[26:16.200 --> 26:17.120]  Guys showing up on the left.
[26:18.140 --> 26:18.580]  Or on the right.
[26:18.580 --> 26:20.160]  I'm with you, I'm with you, I'm with you, I'm with you, I'm with you.
[26:20.260 --> 26:20.420]  Right.
[26:20.700 --> 26:21.200]  I'm with you.
[26:22.400 --> 26:22.760]  Okay.
[26:23.800 --> 26:26.160]  There's a lot of distance there, so we should have time.
[26:26.240 --> 26:27.100]  Just make sure the cannon...
[26:27.100 --> 26:28.980]  If you can, load the cannons up.
[26:29.640 --> 26:30.960]  All the cannons are loaded right now.
[26:31.040 --> 26:31.340]  I already checked.
[26:31.780 --> 26:32.100]  Great.
[26:32.460 --> 26:34.060]  All right, we're out of wood down here then.
[26:34.780 --> 26:37.120]  Yeah, so just use the storage crate that's up above.
[26:38.000 --> 26:38.280]  Okay.
[26:38.440 --> 26:40.680]  If you need to pick it up...
[26:41.240 --> 26:43.080]  Yeah, the glowing storage crate has a ton of stuff in it.
[26:43.180 --> 26:46.500]  Yeah, if you pick up the crate and then take it down lower, that might be faster.
[26:46.640 --> 26:46.780]  I'll do that.
[26:46.780 --> 26:48.860]  Geoff, it looks like they're going to come back around to this left side.
[26:49.300 --> 26:49.460]  Okay.
[26:50.360 --> 26:52.720]  I think that's all the holes patched.
[26:53.840 --> 26:54.160]  Nice.
[26:55.420 --> 26:56.660]  Okay, we'll see if we...
[26:56.660 --> 26:58.100]  We should wait, we should wait, we should wait.
[26:58.820 --> 27:00.300]  Okay, I'm turning us to our right.
[27:00.300 --> 27:03.060]  We got two boats coming up straight on us from the right.
[27:03.660 --> 27:04.260]  Oh, shit.
[27:06.280 --> 27:07.440]  Geoff, back over to this side.
[27:07.940 --> 27:10.420]  I think they're going to go in front of us to the other side.
[27:10.660 --> 27:12.520]  Yeah, I'm cutting, I'm cutting to get us straight.
[27:12.800 --> 27:14.060]  Get ready to unload from the front.
[27:14.060 --> 27:14.640]  I'm ready, I'm ready.
[27:17.060 --> 27:18.240]  Oh, he's going to ram us.
[27:18.880 --> 27:19.500]  No, no, we're good.
[27:19.640 --> 27:20.440]  He's going to go right through us.
[27:20.480 --> 27:20.880]  You're going to hit him.
[27:21.560 --> 27:21.840]  Fire.
[27:22.500 --> 27:22.780]  I can't.
[27:23.040 --> 27:24.220]  We don't have the angles wrong.
[27:25.600 --> 27:25.900]  Fire.
[27:28.360 --> 27:28.880]  Uh-oh.
[27:29.620 --> 27:31.000]  All right, we got him.
[27:31.220 --> 27:31.580]  Beautiful.
[27:32.180 --> 27:33.300]  Oh, shit, another one.
[27:33.820 --> 27:34.380]  That's okay.
[27:34.640 --> 27:35.320]  We got him.
[27:35.980 --> 27:36.700]  Nice shot.
[27:38.580 --> 27:39.520]  And he's down.
[27:39.780 --> 27:40.820]  No, fuck, how?
[27:41.140 --> 27:41.660]  They take three now.
[27:41.860 --> 27:42.140]  It's okay.
[27:42.340 --> 27:43.020]  Oh, my God.
