[00:03.080 --> 00:04.040]  What happened?!
[18:29.080 --> 18:29.540]  That, yeah.
[18:29.840 --> 18:32.340]  I don't know if that was the idea, but hey, no bad ideas.
[18:32.720 --> 18:33.540]  No bad ideas!
[18:35.160 --> 18:36.000]  Keep moving up?
[18:36.920 --> 18:39.160]  Yeah, I guess I'll just go through the front door.
[18:39.300 --> 18:39.560]  The front door?
[18:42.440 --> 18:43.400]  What's up, dude?
[18:44.020 --> 18:44.880]  Hell yeah, get him.
[18:47.300 --> 18:47.700]  What?
[18:48.520 --> 18:48.920]  Okay.
[18:48.920 --> 18:50.160]  I'm just gonna keep this up.
[18:51.300 --> 18:52.580]  Nice, nice, Nick!
[18:53.380 --> 18:54.320]  No bad ideas!
[18:55.520 --> 18:57.120]  No bad ideas.
[18:57.900 --> 18:58.820]  Life motto, baby.
[18:58.940 --> 18:59.540]  Let's keep it up.
[19:01.260 --> 19:02.060]  Where's the target?
[19:03.880 --> 19:04.800]  This way...
[19:04.800 --> 19:05.760]  Oh god, I fell!
[19:07.860 --> 19:08.820]  Yeah, let's do it.
[19:11.900 --> 19:12.560]  There he is.
[19:13.340 --> 19:14.620]  Got him, got him, got him.
[19:15.020 --> 19:15.340]  Nice!
[19:16.180 --> 19:16.580]  Geronies!
[19:17.100 --> 19:20.460]  Come on in, there's a...
[19:22.320 --> 19:23.580]  Alright, hop in.
[19:24.340 --> 19:25.000]  It's alright, we got it.
[19:25.900 --> 19:27.300]  Oh my god, why are we in two cars?
[19:28.420 --> 19:29.200]  Team tape!
[19:30.920 --> 19:31.720]  Team tape!
[19:32.300 --> 19:34.080]  Look at the back of this van's back seats.
[19:36.020 --> 19:37.480]  Hang on, let me into your car.
[19:38.360 --> 19:40.320]  Yeah, but get in the back, because that'll be cooler.
[19:42.060 --> 19:43.700]  Yes! This rocks!
[19:43.700 --> 19:44.760]  Let's go!
[19:47.080 --> 19:48.040]  Alright, let's leave the area.
[19:48.260 --> 19:49.620]  This might dead end.
[19:51.040 --> 19:52.040]  No, back this way.
[19:53.260 --> 19:53.920]  Oh shit.
[19:54.080 --> 19:54.560]  Nice!
[19:55.300 --> 19:56.540]  Oh my god!
[19:56.980 --> 19:58.520]  Oh Gavin!
[20:00.420 --> 20:01.180]  Sorry dude.
[20:01.740 --> 20:03.640]  Alright, let's help deliver...
[20:03.640 --> 20:05.620]  Hey Gavin, I just want to point out...
[20:05.620 --> 20:06.560]  Team tape, we're already done.
[20:07.940 --> 20:10.020]  Help deliver the deposition to the planet.
[20:10.100 --> 20:11.000]  We're done, we did it.
[20:11.000 --> 20:12.220]  Team tape is done.
[20:13.660 --> 20:17.380]  I don't know why, to be honest, I don't know why it drove us to that little outlook spot when we could've just...
[20:17.380 --> 20:18.860]  We could've just walked in.
[20:19.240 --> 20:23.980]  I think they want us to take out all the guys and be like stealthy.
[20:24.180 --> 20:27.600]  But as long as you just run down and get to that guy before he runs off, you're good.
[20:28.460 --> 20:31.200]  And as long as you take a pearler off the top balcony right down to him.
[20:31.780 --> 20:35.000]  You just jump right down, you don't worry about your health or your armor.
[20:35.340 --> 20:37.260]  You just take a header down and you're good, baby.
[20:37.740 --> 20:40.080]  I just watched you disappear down there in front of me.
[20:40.080 --> 20:42.200]  Oh, I thought maybe there were stairs. There weren't.
[20:44.020 --> 20:46.100]  But hey, you know what? That's the way it is with team tape.
[20:46.480 --> 20:47.880]  That's the way it is.
[20:48.900 --> 20:51.040]  No bad ideas. Messy. Unfortunate.
[20:51.720 --> 20:52.400]  Okay, we're back.
[20:53.040 --> 20:53.360]  Sticky.
[20:55.300 --> 20:56.620]  Yeah, I don't like being sticky.
[20:56.640 --> 20:57.520]  I don't either. Not a fan.
[20:57.640 --> 20:59.060]  And Eric doesn't like it either for some reason.
[20:59.060 --> 20:59.320]  Oh, I hate it.
[21:01.420 --> 21:01.920]  Tape, huh?
[21:05.500 --> 21:08.420]  Sort of a big part of an adhesive, you might say.
[21:09.140 --> 21:10.000]  The most vital.
[21:10.300 --> 21:12.960]  So we can spectate you?
[21:13.520 --> 21:14.080]  Ooh, how?
[21:14.620 --> 21:15.260]  No bad ideas.
[21:17.400 --> 21:18.360]  Spectate crew.
[21:18.880 --> 21:20.180]  Spectate Andrew Panton.
[21:20.220 --> 21:21.200]  How are you doing that?
[21:21.440 --> 21:24.640]  No bad ideas.
[21:24.640 --> 21:25.440]  Oh, spectate crew.
[21:26.340 --> 21:28.200]  Spectate Nick. Okay, I'm watching Nick.
[21:28.800 --> 21:31.800]  Oh, they seem to be driving in the same car together.
[21:32.160 --> 21:32.300]  Okay.
[21:32.440 --> 21:34.060]  Ooh, almost hit a white car.
[21:34.460 --> 21:35.920]  Mine's loading. Mine's loading.
[21:36.860 --> 21:38.080]  Alright, here we go.
[21:38.080 --> 21:39.140]  Wow, looking good.
[21:39.720 --> 21:42.900]  Nick, how does it feel being in that car? Cool turn, good 360.
[21:43.360 --> 21:44.080]  Wanted to do a 180.
[21:44.900 --> 21:45.600]  No bad ideas.
[21:45.940 --> 21:46.440]  No bad ideas.
[21:48.040 --> 21:49.300]  No bad ideas.
[21:51.500 --> 21:52.260]  And here we go.
[21:53.480 --> 21:54.900]  Yeah, just gotta take a nice little left.
[21:55.260 --> 21:55.940]  Yeah, and you stay in the back.
[21:55.940 --> 21:57.000]  Oh my god!
[21:58.160 --> 21:59.760]  Look at how fast that turned me over.
[21:59.760 --> 22:00.600]  That was as planned.
[22:01.880 --> 22:04.680]  See, they can't...
[22:04.680 --> 22:06.800]  They can't lie about what they're doing.
[22:06.900 --> 22:09.760]  No, no, but before you started watching, we actually met about that.
[22:09.840 --> 22:10.520]  We talked about that.
[22:10.960 --> 22:12.400]  We wrote that down.
[22:13.060 --> 22:13.980]  That he was gonna do that.
[22:14.780 --> 22:15.920]  That was scheduled.
[22:20.140 --> 22:20.840]  We're almost there.
[22:21.040 --> 22:23.620]  So what did you guys do? You grabbed a plan or something?
[22:24.080 --> 22:24.860]  No, we killed two guys.
[22:24.880 --> 22:27.020]  Yeah, we assassinated a team.
[22:28.220 --> 22:29.360]  And then we stole
[22:30.620 --> 22:31.420]  their plans.
[22:31.600 --> 22:32.820]  And then we evaded the police.
[22:33.570 --> 22:35.720]  I'm kind of worried in this nice cinematic
[22:35.720 --> 22:37.640]  mode of spectating, I'm worried that I'm gonna see
[22:37.640 --> 22:38.800]  myself get run over.
[22:39.020 --> 22:41.160]  I feel the same way.
[22:41.340 --> 22:42.320]  Alright, let's get out.
[22:44.740 --> 22:45.820]  Quit spectator mode.
[22:46.160 --> 22:46.520]  Here we go.
[22:48.140 --> 22:48.600]  Hey guys.
[22:50.200 --> 22:50.640]  Hey!
[22:51.420 --> 22:52.260]  Everybody in!
[22:54.640 --> 22:55.920]  To a black screen.
[22:56.040 --> 22:56.360]  Yeah!
[22:57.620 --> 22:58.600]  We did it.
[22:59.880 --> 23:00.460]  Whoa!
[23:01.960 --> 23:03.380]  I'm looking at
[23:03.380 --> 23:05.120]  the inside of your apartment
[23:05.120 --> 23:07.320]  straight up and down. This is fucking
[23:07.320 --> 23:07.760]  crazy.
[23:08.280 --> 23:10.780]  It's all invisible see-through.
[23:11.040 --> 23:11.780]  Holy shit.
[23:12.800 --> 23:13.500]  Oh!
[23:14.930 --> 23:16.280]  Wait, no!
[23:19.300 --> 23:19.880]  Bollocks.
[23:22.020 --> 23:24.360]  This is some horse shit.
[23:26.140 --> 23:26.880]  Have you guys seen this?
[23:27.340 --> 23:28.820]  Have you looked at this yet?
[23:29.780 --> 23:31.600]  Gavin, if you could, would you help me
[23:31.600 --> 23:33.560]  throw him out that window? I would, yeah.
[23:33.880 --> 23:34.800]  Have you guys even seen this?
[23:35.180 --> 23:35.880]  I'd rip the tape.
[23:36.280 --> 23:36.440]  Yeah.
[23:41.880 --> 23:43.480]  So are we done with setup?
[23:44.260 --> 23:45.180]  Yeah, I think so.
[23:45.280 --> 23:46.220]  I think we're gonna go get him now.
[23:47.660 --> 23:48.300]  Let's do it.
[23:48.980 --> 23:50.500]  Oh, Andrew can arrange the cuts.
[23:51.780 --> 23:52.120]  Oh.
[23:52.980 --> 23:54.500]  No bad ideas, Andrew.
[23:55.720 --> 23:57.340]  I don't know, I think our tape budget
[23:57.340 --> 23:59.240]  should be increased. Yeah, I agree.
[23:59.580 --> 24:02.260]  Let's reduce this, first of all.
[24:03.040 --> 24:04.220]  Very generous of you.
[24:04.600 --> 24:05.820]  You spent the money on it though,
[24:05.860 --> 24:06.800]  so make sure you make your cut.
[24:07.480 --> 24:10.480]  He's got Andrew at 40, Nick at 25%,
[24:10.480 --> 24:11.520]  me at 20%,
[24:11.520 --> 24:13.300]  and Eric at 15%.
[24:13.300 --> 24:14.400]  Why do I get 15?
[24:16.580 --> 24:18.280]  Why is Nick getting 25?
[24:18.820 --> 24:19.560]  Who's getting what?
[24:20.140 --> 24:20.920]  No bad ideas.
[24:21.800 --> 24:23.720]  Who gives a fuck about no bad ideas?
[24:23.840 --> 24:25.020]  I'm not readying up for this.
[24:25.020 --> 24:25.940]  I'm out.
[24:27.580 --> 24:28.460]  No thanks.
[24:29.300 --> 24:30.820]  Four minutes, 30 seconds.
[24:32.800 --> 24:34.280]  I'll get a glass of water.
[24:34.500 --> 24:36.380]  You think I won't make you wait four minutes
[24:36.380 --> 24:37.820]  instead of giving me more percentage?
[24:39.700 --> 24:40.920]  What percentage do you want?
[24:41.020 --> 24:41.300]  25.
[24:41.520 --> 24:42.620]  No, what percentage do you want?
[24:42.720 --> 24:44.520]  I'm willing to give five more percent
[24:44.520 --> 24:46.640]  if you two can figure out who gets it between you two.
[24:48.200 --> 24:49.480]  We're not caged animals.
[24:49.980 --> 24:51.520]  I want 25 for both of us.
[24:51.700 --> 24:52.700]  That's my final offer.
[24:55.140 --> 24:56.160]  Good for you.
[24:56.460 --> 24:56.860]  Congrats.
[24:57.700 --> 24:59.140]  You're getting none of it.
[25:01.500 --> 25:03.180]  I'm gonna call Geoff right now
[25:03.180 --> 25:05.300]  and swap you out. I can get another crew in here.
[25:05.680 --> 25:07.540]  Go ahead, call Geoff right now.
[25:07.680 --> 25:08.420]  Yeah, swap him out.
[25:10.420 --> 25:13.140]  You know what, Andrew?
[25:13.240 --> 25:15.260]  You take the 40 and I'll be 20 with them.
[25:17.260 --> 25:20.300]  No, I don't want to be 20 with you.
[25:20.460 --> 25:22.460]  I don't want to be 20 with you.
[25:22.460 --> 25:23.740]  I want 25.
[25:24.340 --> 25:25.980]  He paid for this.
[25:26.700 --> 25:27.640]  Yeah, he's true.
[25:27.900 --> 25:30.860]  He bankrolled this.
[25:32.100 --> 25:33.620]  So he has to make his cut.
[25:35.300 --> 25:36.560]  It means nothing to me.
[25:37.020 --> 25:39.480]  Right, because you're a bad teammate.
[25:40.420 --> 25:42.660]  $25,000 was the setup cost.
[25:44.700 --> 25:44.900]  Right.
[25:45.400 --> 25:46.980]  Your call has been forwarded to voicemail.
[25:47.240 --> 25:49.300]  I thought you put Geoff on the line.
[25:49.360 --> 25:51.760]  You got no one, son.
[25:53.820 --> 25:54.220]  Okay.
[25:55.140 --> 25:55.820]  Well, listen.
[25:55.980 --> 25:58.820]  I put money in, so I need to have a little bit higher cut.
[26:00.040 --> 26:00.260]  Okay.
[26:00.560 --> 26:01.420]  That's just fair.
[26:01.720 --> 26:04.460]  Okay, so here's what I propose.
[26:04.500 --> 26:05.280]  That's just fair.
[26:05.380 --> 26:08.160]  Are you all happy with this?
[26:09.440 --> 26:11.000]  I want Gavin to have 25.
[26:14.760 --> 26:16.060]  I gotta get more.
[26:16.200 --> 26:18.120]  I gotta get a little more because I put money in.
[26:18.240 --> 26:20.320]  Okay, so take it off of Nick and put it on Gavin
[26:20.320 --> 26:21.120]  and then let's go.
[26:23.640 --> 26:24.880]  Geoff just texted me.
[26:24.980 --> 26:26.160]  I'm in the car with my in-laws.
[26:29.600 --> 26:30.680]  Tell him it's important.
[26:31.720 --> 26:33.100]  This is life or death.
[26:35.700 --> 26:36.420]  Alright, fine.
[26:38.440 --> 26:41.440]  Nick, do you have any idea what we're about to do?
[26:42.400 --> 26:43.500]  I'm about to fly a plane.
[26:46.060 --> 26:48.520]  But you guys are about to get on the bus.
[26:48.820 --> 26:49.800]  Stop another bus.
[26:51.560 --> 26:52.280]  And then...
[26:52.940 --> 26:54.360]  Get in the prison bus.
[26:54.420 --> 26:57.420]  I'm gonna go intercept the prison bus.
[26:57.980 --> 26:59.280]  Okay. Andrew, hop in.
[27:00.280 --> 27:00.760]  Getting in.
[27:05.120 --> 27:06.440]  I'm going to the airport, fellas.
[27:09.240 --> 27:10.560]  Oh my god, it's all the way over there.
[27:17.020 --> 27:19.380]  Oh god, I suddenly have to pee really bad.
[27:21.200 --> 27:22.580]  That just makes you fly better.
[27:22.760 --> 27:23.980]  Oh, I don't think that's true.
[27:24.400 --> 27:26.180]  Yeah, that's what they're always saying.
[27:30.460 --> 27:31.920]  You got a bottle at your desk?
[27:34.600 --> 27:36.220]  No. No bad ideas!
[27:37.740 --> 27:40.040]  I do have one over there.
[27:41.440 --> 27:44.360]  I have a bud-like clamato in the fridge.
[27:46.060 --> 27:48.940]  You'd have to chug it before you could piss in it.
[27:48.940 --> 27:50.160]  Yeah, I'll be right back.
[27:51.160 --> 27:53.420]  There's nothing more gross
[27:53.420 --> 27:55.300]  than a man chugging a bud-like
[27:55.300 --> 27:56.820]  clamato to pee in.
[27:56.920 --> 27:57.780]  Fucking vile.
[27:58.460 --> 27:59.600]  Oh, to pee. I'm sorry.
[28:00.000 --> 28:02.320]  I thought you meant, like, take a drink.
[28:02.740 --> 28:03.360]  When you said bottle.
[28:03.880 --> 28:07.920]  Right, I have to pee.
[28:08.140 --> 28:10.940]  Dude, I have to piss. I gotta chug this bud-like
[28:10.940 --> 28:12.040]  clamato now.
[28:14.060 --> 28:15.940]  I thought it was common nerves.
[28:19.080 --> 28:20.580]  Do you have a bottle?
[28:20.800 --> 28:23.360]  Oh, I guess I could use a refreshment right now.
[28:23.500 --> 28:24.900]  What are you talking about?
[28:24.920 --> 28:26.300]  I don't know how this is a functional business.
[28:26.480 --> 28:29.260]  There are so many such easy
[28:29.980 --> 28:30.420]  misunderstandings.
[28:30.560 --> 28:32.000]  I don't know how anything works.
[28:32.420 --> 28:34.480]  Are you talking about the game or our business?
[28:35.140 --> 28:35.580]  Both!
[28:35.940 --> 28:37.600]  We had the whole, like,
[28:39.000 --> 28:40.140]  seasonal upload thing
[28:40.140 --> 28:41.840]  conversation this morning that Nick was
[28:41.840 --> 28:42.800]  his last juror.
[28:44.120 --> 28:45.440]  At least we got a life now.
[28:45.980 --> 28:48.300]  Alright, I've reached the
[28:48.300 --> 28:48.880]  plane.
[28:53.800 --> 28:54.940]  Alright, I'm hoppin'
[28:55.020 --> 28:55.820]  in the plane.
[28:59.480 --> 29:00.240]  What am I doing?
[29:00.440 --> 29:00.640]  Oh!
[29:02.860 --> 29:04.400]  Okay, that wasn't great.
[29:04.960 --> 29:06.020]  Stop, stop, stop, stop.
[29:06.440 --> 29:07.220]  That was pretty cool.
[29:10.500 --> 29:10.900]  Okay.
[29:11.600 --> 29:13.180]  Eric, are you helping get the prison bus?
[29:13.440 --> 29:15.680]  I'm getting the prison bus right now. I just took out the
[29:15.680 --> 29:17.040]  corrections officer. I should be
[29:17.640 --> 29:19.680]  free and clear here in just a second. We'll see
[29:19.680 --> 29:21.240]  if I get popped for anything for cops.
[29:21.700 --> 29:23.040]  But it looks like I'm good.
[29:24.620 --> 29:25.740]  Okay, I'm
[29:25.740 --> 29:27.820]  heading to Sandy Shore's airfield now.
[29:28.960 --> 29:29.420]  Okay.
[29:29.680 --> 29:30.600]  Gettin' in the prison bus.
[29:31.120 --> 29:33.120]  Alright, wheels are up, baby!
[29:35.080 --> 29:35.600]  Uh-oh.
[29:36.560 --> 29:37.820]  This is it.
[29:38.100 --> 29:39.320]  The apocalypse.
[29:40.600 --> 29:40.880]  Woah.
[29:41.500 --> 29:43.720]  Now make sure to turn all the gain up so you distort
[29:43.720 --> 29:44.600]  in every single word.
[29:45.880 --> 29:47.200]  In my mind!
[29:48.120 --> 29:48.560]  Hahaha.
[29:51.880 --> 29:52.640]  Nick's singing,
[29:52.880 --> 29:55.260]  Welcome to the new age while peeing in a Clamato
[29:55.260 --> 29:57.280]  bottle. No, he's chugging it, he's not peeing.
[29:57.320 --> 29:59.620]  He's chugging it. He's singing and he's chugging.
[30:00.120 --> 30:01.280]  He's calming his nerves
[30:01.280 --> 30:02.820]  by overfilling his bladder.
[30:03.860 --> 30:05.040]  I'm so nervous!
[30:05.180 --> 30:06.480]  I gotta drink until I piss!
[30:07.000 --> 30:07.360]  Aargh!
[30:09.020 --> 30:11.300]  This is a team. This is... Can you guys believe
[30:11.300 --> 30:13.040]  we started a business? We started a business
[30:13.040 --> 30:15.100]  and we're at work. Oh, it's great.
[30:15.920 --> 30:16.800]  This rocks.
[30:18.420 --> 30:18.660]  We are
[30:18.660 --> 30:20.760]  so appreciative of you. Absolutely!
[30:20.960 --> 30:22.740]  Thank you for people who actually watch this.
[30:23.180 --> 30:25.160]  Yeah, yeah! Cause I love, I certainly love
[30:25.160 --> 30:27.200]  doing it. Although I'm in more meetings
[30:27.200 --> 30:28.720]  now than I used to be. Yeah.
[30:28.860 --> 30:30.720]  Yeah, one. You're in one.
[30:31.460 --> 30:32.720]  That's more than I used to have.
[30:32.820 --> 30:33.480]  It's true.
[30:35.200 --> 30:36.900]  Are we gonna park inside the prison? I'd say
[30:36.900 --> 30:38.900]  mine have reduced by...
[30:38.900 --> 30:40.920]  Oh, 90%? Oh, I mean
[30:40.920 --> 30:42.800]  90 might be...
[30:42.800 --> 30:44.680]  Like a low-ball number. Yeah.
[30:46.380 --> 30:48.640]  My wife said that the other day. She was just like
[30:48.640 --> 30:50.820]  the amount of time that you
[30:50.820 --> 30:52.900]  are making stuff now has gone up
[30:52.900 --> 30:53.900]  like crazy.
[30:54.680 --> 30:56.440]  It's really how it feels.
[30:57.400 --> 30:58.800]  Let's not give away anything,
[30:58.960 --> 31:00.940]  Gavin. Let's not give away anything
[31:00.940 --> 31:03.140]  as I push you with my bright pink gun.
[31:04.120 --> 31:04.280]  Yeah.
[31:05.120 --> 31:06.700]  Just some standard
[31:06.700 --> 31:07.900]  prisoner inmate.
[31:09.040 --> 31:10.940]  That was the same thing. Prisoner
[31:10.940 --> 31:12.860]  guard prisoner inmate.
[31:15.680 --> 31:16.200]  Oh!
[31:20.260 --> 31:20.780]  Evasive
[31:20.780 --> 31:21.680]  maneuvers!
[31:23.880 --> 31:24.880]  I'm glad I'm not
[31:24.880 --> 31:26.900]  the pilot. It sounds like
[31:26.900 --> 31:28.820]  it sucks. I remember being the pilot.
[31:29.080 --> 31:29.820]  Stop! Stop!
[31:31.300 --> 31:31.980]  Where's the jets?
[31:32.320 --> 31:33.720]  What are we supposed to do here?
[31:35.200 --> 31:36.600]  What?! Cause he said
[31:36.600 --> 31:39.000]  stop or I'll shoot! What were we doing wrong?
[31:39.700 --> 31:40.820]  I don't know!
[31:41.200 --> 31:42.300]  Oh god, it's kicking off!
[31:43.380 --> 31:44.700]  It's kicking off so bad!
[31:45.900 --> 31:47.140]  I'm making my way through the prison
[31:47.140 --> 31:48.960]  I guess. I don't know what I'm doing. Where'd you go?
[31:49.760 --> 31:51.020]  I went up the ladder. Okay, I'm
[31:51.020 --> 31:53.220]  coming up the ladder. How the hell do I
[31:53.220 --> 31:53.980]  evade jets?
[31:55.140 --> 31:56.940]  You can do it. Oh
[31:56.940 --> 31:58.600]  fuck. Does anyone have rockets?
[32:00.440 --> 32:00.780]  No.
[32:01.020 --> 32:03.540]  Yeah, I got a rocket. Well...
[32:03.920 --> 32:04.920]  I don't know if that's helpful.
[32:05.280 --> 32:06.020]  Where are you, Andrew?
[32:06.020 --> 32:09.000]  Uh oh. Uh...
[32:09.000 --> 32:09.920]  I'm running back.
[32:10.100 --> 32:11.120]  I'm on the blue thing.
[32:12.040 --> 32:13.640]  Oh, I gotta return to the prison yard!
[32:13.900 --> 32:14.160]  Fuck!
[32:16.780 --> 32:17.300]  Okay.
[32:19.120 --> 32:20.120]  Oh, I'm getting lit up.
[32:20.260 --> 32:21.560]  I'm getting lit up over here.
[32:22.100 --> 32:23.080]  Where? Where from?
[32:24.400 --> 32:25.900]  Uh, just everywhere. Look at
[32:25.900 --> 32:27.020]  all the dots!
[32:30.560 --> 32:31.820]  Noose is on the way.
[32:32.320 --> 32:33.360]  Not the noose!
[32:36.040 --> 32:38.120]  I don't think my laser gun is very good.
[32:40.180 --> 32:41.420]  But it's so cool!
[32:42.180 --> 32:42.980]  Sounds cool.
[32:44.260 --> 32:45.100]  Looks cool too.
[32:46.240 --> 32:47.980]  The jet and I seem to be dancing.
[32:48.520 --> 32:50.180]  You got it, Nick. You just keep doing your thing, Nick.
[32:50.220 --> 32:51.280]  You got it. Collecting our man.
[32:53.040 --> 32:54.120]  I'm stealing the
[32:54.120 --> 32:56.060]  buzzard and I hope that it's
[32:56.060 --> 32:57.900]  to steal the buzzard and help you. I have no idea.
[32:57.900 --> 32:58.660]  I think it is.
[32:59.740 --> 33:01.460]  I'm almost there. I'm so close.
[33:01.940 --> 33:02.560]  Just sit tight.
[33:03.900 --> 33:04.380]  Geronimo!
[33:07.080 --> 33:08.300]  He's just hanging out.
[33:09.560 --> 33:10.100]  Eating a meat pie?
[33:10.500 --> 33:11.240]  Grab the gun, son!
[33:12.180 --> 33:13.160]  No bad idea!
[33:14.140 --> 33:15.980]  Hell yeah, Andrew. Say it.
[33:16.900 --> 33:18.020]  I just did!
[33:18.300 --> 33:20.660]  Say it again! No bad ideas!
[33:25.720 --> 33:26.620]  Buzzard acquired!
[33:28.320 --> 33:30.380]  Are you gonna pick us up from the prison?
[33:31.780 --> 33:32.740]  It says
[33:32.740 --> 33:34.060]  protect the vellum.
[33:34.140 --> 33:36.340]  What's the vellum? That's the thing I'm in.
[33:38.240 --> 33:40.260]  Eric, I'm on the tail of the jet!
[33:40.720 --> 33:41.720]  How do I fire guns?
[33:42.860 --> 33:44.020]  You gotta switch to the rockets.
[33:47.040 --> 33:48.420]  How is this jet going
[33:48.420 --> 33:50.060]  slower than this prop plane?
[33:52.940 --> 33:54.240]  Randy Quaid is just
[33:54.240 --> 33:56.440]  riding by you. Are you in front of it
[33:56.440 --> 33:57.900]  or behind it? Behind it!
[33:57.900 --> 34:00.080]  He can't get me if I'm behind him.
[34:00.380 --> 34:00.980]  I'm almost there.
[34:01.700 --> 34:03.860]  Oh, fuck me. Unless he tricks me.
[34:07.380 --> 34:10.200]  Alright, F this. I'm going back to the...
[34:11.000 --> 34:11.700]  I'm coming.
[34:12.120 --> 34:13.160]  I'm right here with you.
[34:14.020 --> 34:15.260]  So you just turn... Okay, I see.
[34:16.260 --> 34:17.680]  I'm dropping down low
[34:17.680 --> 34:18.840]  so he can't shoot me.
[34:20.120 --> 34:21.260]  I'm out of bullets, Gavin.
[34:22.840 --> 34:23.720]  Gavin died?!
[34:23.720 --> 34:25.540]  It's okay, he just has to respawn.
[34:27.900 --> 34:28.560]  Yeah, you start life.
[34:30.080 --> 34:32.140]  Alright, Eric, did you change from bullets to rockets?
[34:32.580 --> 34:33.600]  How do you do that?
[34:33.840 --> 34:34.180]  X.
[34:35.100 --> 34:37.180]  Here we go.
[34:37.260 --> 34:40.500]  What was that?
[34:41.200 --> 34:41.740]  He's got luck!
[34:43.140 --> 34:43.840]  Dodge it!
[34:45.080 --> 34:46.040]  Dick and duck!
[34:48.260 --> 34:49.540]  Dick, duck, and dive!
[34:51.260 --> 34:51.780]  Dick!
[34:52.480 --> 34:53.620]  Can you lock on?
[34:54.980 --> 34:56.080]  One of those rockets
[34:56.080 --> 34:56.620]  is homing.
[34:57.100 --> 34:58.040]  Here we go.
[34:59.820 --> 35:00.360]  Rockets away!
[35:01.560 --> 35:02.820]  There's more of them!
[35:03.140 --> 35:03.880]  Rockets away!
[35:07.220 --> 35:08.540]  Where is he?
[35:10.320 --> 35:11.320]  Nick, I'm coming.
[35:14.060 --> 35:15.740]  Nick, keep evading. You're doing great.
[35:16.500 --> 35:17.100]  I'm over the prison!
[35:18.400 --> 35:19.380]  Rockets away!
[35:20.520 --> 35:21.340]  Rockets away!
[35:25.170 --> 35:25.730]  Got him!
[35:26.090 --> 35:27.330]  Hit him!
[35:28.850 --> 35:29.890]  There we go!
[35:30.050 --> 35:30.530]  We got him!
[35:31.910 --> 35:33.230]  Now where are we going, Nick?
[35:34.390 --> 35:35.250]  There's another one!
[35:35.510 --> 35:35.910]  No!
[35:39.790 --> 35:40.510]  He's west.
[35:41.190 --> 35:42.430]  We gotta clear the area, Gavin.
[35:42.670 --> 35:43.810]  Why would we get in that?
[35:44.910 --> 35:46.250]  You keep doing what you're doing, Nick.
[35:46.310 --> 35:46.750]  You're doing great.
[35:47.290 --> 35:47.650]  Alright!
[35:51.640 --> 35:52.700]  What the fuck?
[35:53.320 --> 35:54.920]  Wish I realized what they were talking about with that bottle.
[35:57.740 --> 35:58.920]  Don't drink a Clamato!
[36:00.940 --> 36:01.820]  I see him.
[36:04.680 --> 36:05.920]  He's coming. He's coming the other way.
[36:06.180 --> 36:06.760]  Coming the other way.
[36:08.080 --> 36:08.800]  Oh, Nick.
[36:11.140 --> 36:11.660]  There's Eric.
[36:11.740 --> 36:12.340]  Trying to cut around.
[36:13.600 --> 36:14.320]  Come on!
[36:16.620 --> 36:17.680]  Rockets away!
[36:18.100 --> 36:19.880]  Starting to push.
[36:20.440 --> 36:21.720]  Homing rockets out.
[36:22.260 --> 36:23.040]  Two rockets out.
[36:24.340 --> 36:25.640]  Nice shot, Eric!
[36:27.240 --> 36:28.640]  One more!
[36:28.840 --> 36:29.040]  One more!
[36:30.580 --> 36:31.000]  Another!
[36:31.600 --> 36:32.820]  Third wave!
[36:33.400 --> 36:36.080]  How many bloody jets are there?
[36:36.300 --> 36:37.780]  I think it's until they get done.
[36:43.150 --> 36:44.270]  Pulling back on the yoke.
[36:44.790 --> 36:46.430]  Come back around. The way you're going is good.
[36:46.750 --> 36:47.490]  Pushing up.
[36:48.250 --> 36:50.150]  Trying to spot him. I don't see him.
[36:51.290 --> 36:52.250]  He's away. He's away.
[36:52.410 --> 36:53.310]  Yeah, yeah. He's...
[36:53.310 --> 36:54.210]  There he is.
[36:56.250 --> 36:57.730]  We gotta be near the end.
[36:58.350 --> 36:58.850]  We gotta be.
[36:59.030 --> 36:59.850]  Rockets away.
[37:01.410 --> 37:03.070]  Go and collect them. Oh, we gotta go get him.
[37:04.170 --> 37:05.010]  Alright, I got him.
[37:05.150 --> 37:06.550]  Did I get him?
[37:07.790 --> 37:09.410]  Nick, tell me that was good.
[37:09.630 --> 37:10.430]  That was gorgeous.
[37:10.430 --> 37:11.810]  I'm gonna get out of here with him.
[37:12.230 --> 37:13.310]  Fuck, that was awesome!
[37:15.270 --> 37:16.770]  Do we get in the prison bus now?
[37:16.990 --> 37:18.170]  Yeah, go get a bus to pick us up.
[37:18.750 --> 37:19.110]  Yeah.
[37:19.370 --> 37:20.530]  Oh, he fell!
[37:22.410 --> 37:23.510]  You keep him up!
[37:26.470 --> 37:28.550]  I turned around to head back towards the bus
[37:28.550 --> 37:29.410]  so I just knocked him.
[37:30.370 --> 37:32.750]  Yeah, yeah. There you go. Keep circling the airfield like that.
[37:32.790 --> 37:33.290]  It's doing great.
[37:33.890 --> 37:34.790]  I'm full of holes.
[37:36.630 --> 37:38.010]  The bus is still locked.
[37:38.010 --> 37:38.530]  Shit.
[37:39.830 --> 37:40.770]  Can't use the bus.
[37:41.130 --> 37:43.550]  What if we left the keys for the heist?
[37:44.030 --> 37:45.150]  How do we get out?
