[00:00.000 --> 00:01.800]  Andrew's singing the song.
[24:46.400 --> 24:52.120]  The sucky thing about Vampire Dracula 2 is that it doesn't get picked up for a third season,
[24:52.260 --> 24:59.820]  so, like, 100,000 people have to mail, like, wax Dracula teeth to the network to, you know, fucking...
[25:01.220 --> 25:05.640]  cut the budget by 80% and let them make four of the eight episodes.
[25:06.080 --> 25:06.240]  Yep.
[25:07.820 --> 25:09.400]  He ain't gonna be in Surf Dracula 2.
[25:13.500 --> 25:16.920]  I want to thank Grunkfunkle for the prime sub. Thank you, Grunkfunkle.
[25:17.000 --> 25:17.940]  Hell yeah, Grunkfunkle.
[25:20.440 --> 25:23.520]  And Grunkfunkle also gifted 10. Grunkfunkle coming through big style.
[25:23.940 --> 25:29.360]  Do you think they would have been more or less successful if the band was named Simon and Grunkfunkle?
[25:30.300 --> 25:31.900]  Oh man, I would love them way more.
[25:32.380 --> 25:36.240]  I think they would have been more popular. It's got a way better ring to it.
[25:39.360 --> 25:42.840]  I just like to hear that Simon and Grunkfunkle are really meeting.
[25:51.310 --> 25:52.530]  What happened out here?
[25:55.130 --> 25:58.770]  There's a bunch of dudes laying... making out with each other on the ground.
[26:01.690 --> 26:05.150]  I think somebody's gonna die. I think your guy is about to kill somebody.
[26:07.450 --> 26:09.390]  Prepare to learn the fighting mechanics, Andrew.
[26:09.930 --> 26:10.510]  I'm ready.
[26:11.670 --> 26:14.250]  Stab, stab, stab. Upwards, upwards, upwards.
[26:19.390 --> 26:23.030]  That was an Italian student English.
[26:24.370 --> 26:25.170]  What does that mean?
[26:32.100 --> 26:33.160]  Here we go.
[26:38.260 --> 26:39.900]  Do you firestorm in?
[26:40.200 --> 26:42.100]  I thought he had like a bull whip.
[26:45.480 --> 26:46.920]  I think he killed the monk.
[26:51.580 --> 26:55.420]  He's still going though.
[27:05.620 --> 27:10.560]  I don't think I'm supposed to be able to get him stuck in that corner like I did.
[27:10.900 --> 27:13.060]  You stabbed him so many times.
[27:13.060 --> 27:16.840]  He's essentially... you could pull him apart like he was perforated.
[27:19.480 --> 27:22.480]  Don't talk to me like that.
[27:25.000 --> 27:26.040]  Alright, kill this fool.
[27:28.200 --> 27:28.840]  There we go.
[27:33.100 --> 27:37.620]  Uh oh. Uh oh.
[27:39.040 --> 27:39.780]  Now we're good.
[27:43.060 --> 27:44.060]  Back to it.
[27:46.880 --> 27:48.360]  His health recharges.
[27:48.900 --> 27:50.380]  Yeah, you gotta dodge.
[27:53.060 --> 27:54.800]  He coagulates between rounds.
[27:55.340 --> 27:56.560]  He might be Serf Dracula.
[27:58.580 --> 28:00.200]  It'd be bright outside for Serf Dracula.
[28:01.200 --> 28:03.200]  We don't know how Serf Dracula operates.
[28:04.040 --> 28:05.280]  That's true. Uh oh.
[28:09.500 --> 28:12.280]  Maybe the winner of this fight gets to play the game.
[28:13.060 --> 28:14.250]  Don't be so sure.
[28:17.220 --> 28:17.920]  Yeah!
[28:24.600 --> 28:26.240]  What does that mean?
[28:34.120 --> 28:35.620]  Thanks for showing up, Mose Nose.
[28:39.980 --> 28:40.680]  Run!
[28:46.520 --> 28:47.200]  A horse!
[28:47.680 --> 28:50.100]  Hit the horse button!
[28:50.220 --> 28:50.600]  Stab the horse!
[28:51.080 --> 28:52.500]  Oh yeah, get on the horse. That's better.
[28:53.540 --> 28:55.600]  Andrew, what do you name your horses typically in games?
[28:56.760 --> 28:58.140]  Uh... horses in games?
[28:58.940 --> 29:01.920]  Like, did you name your horse in Red Dead or anything like that?
[29:02.460 --> 29:05.380]  What did I name my horse in Red Dead? Maybe Trottlesworth?
[29:08.280 --> 29:09.080]  That's interesting.
[29:10.640 --> 29:11.640]  Likes to trot.
[29:12.420 --> 29:13.220]  What about you, Gavin?
[29:13.220 --> 29:15.660]  I don't know what I named my horse.
[29:16.040 --> 29:18.140]  I named my horse Clyde.
[29:18.700 --> 29:20.260]  That seems like what you would name a horse.
[29:20.820 --> 29:24.860]  I think I named one Spiders, and then I named another one Ravioli.
[29:25.420 --> 29:27.580]  That was, uh... yeah.
[29:28.020 --> 29:31.700]  Sometimes you just have to take inspiration from what's around you.
[29:32.520 --> 29:35.520]  I always name my horse Mystery after SpongeBob's horse.
[29:38.080 --> 29:39.500]  Never got into SpongeBob.
[29:39.840 --> 29:40.300]  Me neither.
[29:40.300 --> 29:47.820]  My kid was the age, so that's why I watched a whole lot of SpongeBob.
[29:47.840 --> 29:51.480]  I also was the age, but it just didn't connect, which is unfortunate.
[29:52.280 --> 29:52.560]  Same.
[29:54.740 --> 29:56.460]  There's a shotgun in your lemons!
[29:57.640 --> 29:58.820]  You got an achievement for that.
[30:00.080 --> 30:02.000]  There's epic music playing. I muted the music.
[30:02.120 --> 30:05.000]  Oh, okay, Clyde. I wasn't sure if there'd be anything licensed, so that is why.
[30:05.260 --> 30:08.780]  The plaque says, Goulash is my go-to horse name.
[30:10.300 --> 30:10.500]  Haha.
[30:15.000 --> 30:15.440]  Tino.
[30:16.900 --> 30:18.320]  I'm afraid not, Tino.
[30:19.120 --> 30:20.240]  Tino Turner.
[30:24.420 --> 30:25.440]  You skip this?
[30:31.140 --> 30:33.260]  Is that what it's playing?
[30:33.620 --> 30:34.820]  It is, yeah.
[30:38.300 --> 30:42.160]  Why did that fish just talk like pussy?
[30:43.440 --> 30:45.140]  That's what that bell was doing.
[30:48.780 --> 30:50.240]  Poor kill is a good name.
[30:50.900 --> 30:51.760]  Oh, Christ.
[30:52.100 --> 30:54.160]  Who was your friend, the one that, uh, booty?
[30:54.520 --> 30:54.920]  Pussy!
[30:59.980 --> 31:01.220]  Trottlesworth, take me home.
[31:02.940 --> 31:05.280]  They're demolishing the MLK bridge at 35?
[31:07.180 --> 31:09.000]  Yeah. Are they doing it today?
[31:09.380 --> 31:10.800]  Uh, Saturday, it looks like.
[31:11.500 --> 31:12.620]  Yeah, they do it pretty soon.
[31:12.620 --> 31:12.800]  Saturday.
[31:14.120 --> 31:15.040]  Will it blow it up?
[31:15.540 --> 31:16.100]  I guess so.
[31:18.880 --> 31:24.480]  We gotta make a new one. Gotta make room for the 10-year interstate expansion project that we're under now.
[31:24.580 --> 31:25.680]  And it should be so fast.
[31:25.760 --> 31:29.080]  That we just lost $150 million of federal funding for.
[31:29.200 --> 31:31.100]  Yeah, it should be pretty quick. Don't worry about it.
[31:32.320 --> 31:37.880]  So now they're, uh, gotta figure out what to do with the project, because they just lost a significant portion of the revenue that was supposed to pay for it.
[31:39.220 --> 31:43.560]  Luckily, we've already started and done way too much work on it to stop now.
[31:46.660 --> 31:49.380]  When you're already deep, just keep digging down, baby.
[31:49.760 --> 31:50.500]  That's right.
[31:51.420 --> 31:52.680]  Donkey Kong's still in the hole.
[31:55.380 --> 31:56.300]  I carumba?
[31:59.800 --> 32:06.800]  Okay, use your detective mode.
[32:09.140 --> 32:10.560]  You have eagle vision?
[32:11.040 --> 32:11.280]  Yeah.
[32:13.100 --> 32:13.900]  There you go.
[32:14.360 --> 32:15.460]  God, it is Assassin's Creed.
[32:15.720 --> 32:17.540]  Yeah. This game is derogatory to rats.
[32:21.480 --> 32:24.680]  Where am I supposed to go?
[32:26.380 --> 32:29.940]  Oh yeah, just to keep you guys updated, my Snoopy has evolved into Woodstock, so...
[32:30.860 --> 32:31.740]  Oh, nice!
[32:32.060 --> 32:33.160]  Was it supposed to do that?
[32:33.440 --> 32:37.080]  Uh, he can. He has many different outfits, and then sometimes Woodstock or Harriet show up.
[32:37.700 --> 32:38.320]  Oh, okay.
[32:38.660 --> 32:39.740]  Well, congratulations then.
[32:39.880 --> 32:40.640]  Thank you. Thank you so much.
[32:41.660 --> 32:45.000]  Are we gonna play Borderlands 4? I assume so.
[32:45.200 --> 32:45.420]  Yeah, absolutely.
[32:45.740 --> 32:47.780]  I assume we'll probably do a couple of gameplays in it.
[32:47.960 --> 32:50.720]  I'm gonna play it regardless, so yeah, I hope so.
[32:51.460 --> 32:53.620]  Sounds like Gavin's a no, but maybe the rest of us will.
[32:55.480 --> 32:59.960]  Maybe we should do a playthrough on Borderlands on the hardest difficulty or something, if it has one. I don't know.
[33:01.540 --> 33:02.800]  Andrew, please go kill that guy.
[33:05.420 --> 33:06.980]  He's gonna kill you if you don't kill him.
[33:06.980 --> 33:08.060]  I'm not begging you.
[33:11.240 --> 33:12.040]  Oh, Choco.
[33:13.340 --> 33:16.240]  Use your little paws. Use your little paws.
[33:16.420 --> 33:18.420]  I'm gonna get that tattooed on my neck.
[33:22.020 --> 33:23.080]  What about your inner lip?
[33:23.580 --> 33:25.240]  No, that's a different one.
[33:27.700 --> 33:29.260]  Oh, hell yeah, dude. You got a whetstone.
[33:31.460 --> 33:33.820]  Will we get more limbo? You'll definitely get more limbo.
[33:34.240 --> 33:34.580]  Oh, yeah.
[33:35.300 --> 33:37.200]  You see how far he got last time, dude? It was pretty cool.
[33:38.240 --> 33:40.860]  I think the next time I limbo, I'm gonna start a little bit earlier in the day.
[33:41.560 --> 33:42.740]  Like, really go for it, huh?
[33:43.580 --> 33:45.540]  Yeah, I'll just go beyond 501.
[33:45.740 --> 33:46.020]  Okay.
[33:46.620 --> 33:47.380]  I'm down with that.
[33:47.800 --> 33:49.980]  I'm making, like, little baby step progress.
[33:50.140 --> 33:52.520]  I think you're doing great. I think you're doing great with it so far.
[33:53.420 --> 33:54.200]  Use your bat vision.
[34:04.370 --> 34:05.710]  I can feel my wings.
[34:07.110 --> 34:07.550]  Gunkalus.
[34:10.130 --> 34:10.570]  Gunkatus.
[34:11.070 --> 34:11.670]  What does it say?
[34:12.210 --> 34:15.090]  It says, is this on the calendar? Yes, it is.
[34:16.730 --> 34:18.710]  The 4pm, 501.
[34:27.870 --> 34:29.550]  Do we knife him or choke him?
[34:29.830 --> 34:30.810]  Let's try knife him this time.
[34:32.250 --> 34:33.550]  You gotta use your little paws.
[34:37.470 --> 34:40.110]  Maybe when I feel confident that I can do the limbo achievement,
[34:40.470 --> 34:42.050]  and I'm, like, about to do the run,
[34:42.850 --> 34:44.030]  maybe we can all do it together.
[34:45.350 --> 34:46.030]  What does that mean?
[34:46.730 --> 34:47.210]  What does that mean?
[34:47.350 --> 34:48.350]  Well, that's what Andrew said.
[34:48.390 --> 34:51.110]  He was just gonna play, like, 10 seconds behind me to learn.
[34:52.150 --> 34:53.610]  Yeah, that's my plan still.
[34:53.890 --> 34:54.330]  That's so smart.
[34:54.330 --> 34:56.170]  So we should just do it with the chat as well.
[34:58.190 --> 34:59.810]  See if the chat wants to jump on also.
[34:59.910 --> 35:01.190]  They can just play 10 seconds behind you.
[35:02.110 --> 35:02.430]  Yeah.
[35:02.430 --> 35:03.110]  Woo!
[35:12.370 --> 35:17.110]  I used to have so much fun with those things in Assassin's Creed multiplayer.
[35:17.910 --> 35:18.770]  With what things?
[35:19.190 --> 35:20.450]  Those bales of hay.
[35:20.650 --> 35:20.990]  Oh.
[35:21.090 --> 35:22.130]  You could hide into them.
[35:22.490 --> 35:24.690]  There was this complicated sequence of things I could do
[35:24.690 --> 35:27.530]  to piss off but not kill an enemy,
[35:27.730 --> 35:28.770]  and he could never fight back.
[35:29.230 --> 35:30.090]  He'd keep going.
[35:30.790 --> 35:32.050]  Right hook him and then...
[35:32.050 --> 35:32.910]  Run off.
[35:34.030 --> 35:37.090]  And then trap the thing so when he comes in he gets bombed.
[35:37.990 --> 35:40.250]  Front of the cream line, thanks for the five gifted subs.
[35:43.310 --> 35:44.470]  I want this hat.
[35:44.990 --> 35:46.370]  I want this hat real bad.
[35:46.490 --> 35:47.290]  Give me this hat.
[35:49.570 --> 35:51.570]  Yankee Doodle-ass hat, dude. Take it.
[35:52.530 --> 35:56.350]  Speaking of Yankee Doodle, thanks front of the cream line for the subs.
[35:56.530 --> 35:57.010]  Thank you so much.
[35:58.150 --> 36:00.390]  Hey, thanks front of the cream line for the subs.
[36:00.390 --> 36:04.210]  Hey, just want to give a shout out to front of the cream line for those subs.
[36:04.350 --> 36:05.430]  Thank you so much.
[36:07.610 --> 36:09.530]  Gavin's more of a back of the cream line guy.
[36:11.790 --> 36:13.890]  Gavin can't even finish tying his shoes.
[36:14.710 --> 36:16.210]  I don't have any laces.
[36:16.550 --> 36:18.430]  Uh oh, this guy's back.
[36:18.630 --> 36:20.570]  Oh hey, thanks front of the cream line for the subs.
[36:25.770 --> 36:28.970]  While this is going on, there's a guy choked out in a bale of hay.
[36:28.970 --> 36:34.110]  Oh, I like the little butthole heart that Mockingbird has there.
[36:35.490 --> 36:35.850]  Cute.
[36:36.630 --> 36:39.250]  That would be a good start to a game if you woke up in a bale of hay.
[36:40.490 --> 36:41.290]  It would be pretty good.
[36:42.750 --> 36:43.770]  Like you were the needle?
[36:44.510 --> 36:45.730]  Just in the Assassin's Creed universe.
[36:49.990 --> 36:52.250]  Is the hay stack the same as the hay bale?
[36:54.250 --> 36:55.870]  Isn't the stack a ton of bales?
[36:56.610 --> 36:57.390]  I guess so.
[36:57.390 --> 36:58.990]  Maybe there's like a twine element.
[37:02.690 --> 37:05.170]  A lot of people are going crazy with the butthole hearts.
[37:05.550 --> 37:05.990]  Love it.
[37:08.070 --> 37:09.190]  That would be a cool game.
[37:09.590 --> 37:13.470]  There should be an Assassin's Creed game where you're just like a little street rat kid.
[37:13.590 --> 37:16.510]  Like think of a young Eric, and you're sleeping in a bale of hay,
[37:16.790 --> 37:18.410]  eating like a stolen apple,
[37:18.670 --> 37:22.150]  and then like an assassin drops into it and then runs off and you see him,
[37:22.150 --> 37:23.050]  and then you follow him,
[37:23.150 --> 37:27.170]  and then you slowly become like a ragtag pseudo-assassin, you know?
[37:29.270 --> 37:30.710]  But it's like Ezio.
[37:31.690 --> 37:33.990]  It's kind of like what they did with the Ender's Game series eventually,
[37:34.130 --> 37:36.550]  where it's like you're watching Ezio run around,
[37:36.710 --> 37:38.090]  but you're just like some little turd, you know?
[37:39.410 --> 37:40.350]  Once again, think Eric.
[37:40.570 --> 37:40.890]  Thanks, man.
[37:41.670 --> 37:42.270]  No problem.
[37:44.050 --> 37:45.050]  Gotta get one of these hats.
[37:51.940 --> 37:54.080]  That's a very good looking character model.
[37:54.080 --> 37:57.300]  That looks graphically ugly.
[37:57.340 --> 37:58.760]  Like he's sexy, or it looks really real?
[37:59.140 --> 38:00.240]  Yeah, why don't you marry him?
[38:00.500 --> 38:02.040]  Graphically, why don't you make out with him?
[38:02.820 --> 38:04.400]  His shirt looks really good, too.
[38:04.680 --> 38:08.260]  Yeah, his shirt looks awesome, and I feel like his shirt looks even better.
[38:09.780 --> 38:12.860]  You can tell he works out.
[38:12.940 --> 38:13.880]  Only one way to find out.
[38:17.180 --> 38:18.540]  That's go muscle, not show muscle.
[38:21.360 --> 38:25.500]  It's a weird detail to notice, but the buttons look great on all these clothing items.
[38:25.640 --> 38:26.560]  That is a weird detail.
[38:26.560 --> 38:27.200]  They look very realistic.
[38:29.900 --> 38:30.960]  Ray-traced buttons.
[38:31.660 --> 38:31.900]  Yeah.
[38:34.240 --> 38:36.240]  They're so small, you could make them in 8K.
[38:49.460 --> 38:51.800]  I'm really sad that with the switch to Nintendo,
[38:51.940 --> 38:54.820]  they didn't double down on HD rumble and make it like 8K rumble.
[38:56.940 --> 38:57.700]  Dude.
[38:58.840 --> 39:01.300]  Speaking of rumble...
[39:01.300 --> 39:07.240]  We moved the pinball machine into a different room yesterday.
[39:08.300 --> 39:11.040]  Into the same room as the guillotine.
[39:11.840 --> 39:17.660]  And the floor under the pinball machine in that room is not as secure.
[39:18.160 --> 39:20.780]  That shakes the whole fucking room now.
[39:20.780 --> 39:25.460]  When you get an Earthshaker bonus, the entire room shakes.
[39:25.640 --> 39:26.480]  That's incredible.
[39:29.770 --> 39:32.990]  Is there like a Geiger counter app you can get?
[39:34.510 --> 39:35.250]  Not a Geiger counter.
[39:36.130 --> 39:37.190]  I know what you mean.
[39:39.890 --> 39:41.370]  The seismograph or whatever it's called.
[39:41.470 --> 39:44.670]  I mean, we can see what radiation it's throwing off, but I can't imagine it's very much.
[39:48.310 --> 39:50.410]  Geiger counter is just vibrating.
[39:51.590 --> 39:53.330]  Yeah, still at zero, guys.
[40:03.610 --> 40:06.450]  Who's the best at pinball besides Gavin? I don't even have the high score on this.
[40:07.130 --> 40:08.230]  Who has the 5 million?
[40:08.790 --> 40:10.270]  I do right now.
[40:11.550 --> 40:12.590]  It's anybody's game.
[40:13.490 --> 40:15.890]  Now that we have it going the right speed.
[40:16.350 --> 40:17.950]  I haven't played it since we moved it.
[40:18.470 --> 40:19.390]  We leveled it.
[40:20.410 --> 40:24.910]  It was at 5 degrees previously, now it's at 6, the appropriate degree, I guess.
[40:25.050 --> 40:25.510]  So we'll see.
[40:25.890 --> 40:32.410]  We should see if I wear headphones on Discord and play pinball and Andrew just says left or right.
[40:32.750 --> 40:34.070]  We can see if Andrew goes left.
[40:39.630 --> 40:40.830]  I think we did.
[40:51.390 --> 40:53.730]  I do like the idea of blindfolded pinball, though.
[40:54.770 --> 40:55.510]  Teams with teams.
[40:56.310 --> 40:58.010]  Wasn't there a whole rock opera about that?
[41:02.530 --> 41:15.730]  Man, being in the Mafia is a lot different than I thought it would be.
[41:16.230 --> 41:19.670]  Yeah, I've been watching too much Sopranos. I'm getting the wrong idea.
[41:23.310 --> 41:24.010]  Is it open?
[41:24.770 --> 41:27.730]  No, but I just like what happens if I get it?
[41:27.790 --> 41:31.270]  I was going to say, I have a feeling this is the kind of game that goes like you're not supposed to be over here.
[41:32.050 --> 41:33.110]  Go, go, go, go.
[41:33.630 --> 41:34.370]  I'm coming, Luca.
[41:36.610 --> 41:40.750]  You can put tags in the stream and I keep it generally keep it the same.
[41:40.810 --> 41:43.390]  But this time I put in Tony Soprano as one of our guys.
[41:46.170 --> 41:47.870]  You see those vines in the fields?
[41:49.190 --> 41:50.690]  Eventually, the grapes will become.
[41:50.690 --> 41:51.530]  What was that?
[41:53.570 --> 41:55.730]  Sorry, I had a friend who sent me a thing.
[41:55.750 --> 42:01.970]  He's in the calendar crew for the firefighters.
[42:02.450 --> 42:04.290]  That's the banana ball thing.
[42:05.730 --> 42:07.150]  Yeah, yeah, yeah.
[42:07.150 --> 42:09.350]  He sent me a video of something he'd done recently.
[42:11.270 --> 42:14.410]  Did you guys see that guy from the banana ball who did the front flip on CNN?
[42:15.150 --> 42:17.430]  What? Wait, was that a banana ball guy?
[42:18.070 --> 42:18.370]  Yeah.
[42:18.550 --> 42:19.110]  No way!
[42:19.110 --> 42:21.870]  That horse's mouth is up that horse's ass.
[42:23.910 --> 42:25.870]  That's how that guy felt after he did that front flip.
[42:26.450 --> 42:27.650]  Those horses are loved.
[42:32.630 --> 42:35.030]  Shame Gavin can't see the calendar crew.
[42:36.910 --> 42:38.890]  Gaspari will look after your horse while you're here.
[42:41.810 --> 42:42.550]  Ciao, Gaspari.
[42:42.810 --> 42:44.610]  You left early in a rush.
[42:45.290 --> 42:46.410]  Horse centipede.
[42:46.410 --> 42:47.550]  It's fine.
[42:48.150 --> 42:50.630]  Just a few unexpected visitors.
[42:55.150 --> 42:58.650]  Skrrt, X2 just said mailman just dropped off the Gurpler.
[42:58.790 --> 42:59.510]  This thing is vibrant.
[42:59.790 --> 42:59.990]  Hell yeah.
[43:00.650 --> 43:01.530]  Hell yeah.
[43:02.010 --> 43:04.030]  I'm seeing lots of Gurplers arriving today.
[43:04.090 --> 43:04.310]  Oh yeah.
[43:04.850 --> 43:05.350]  It's weird.
[43:06.370 --> 43:08.970]  But don't go poking around or you'll find yourself in trouble.
[43:09.450 --> 43:10.290]  It's a beautiful cup.
[43:10.830 --> 43:13.050]  Genuinely, it's my favorite Gurpler.
[43:14.410 --> 43:17.750]  Just remember, with great Gurpler comes great responsibility.
[43:18.430 --> 43:18.990]  Use it well.
[43:19.450 --> 43:21.750]  I believe those were Stan Lee's last words.
[43:22.210 --> 43:22.650]  That's true.
[43:23.190 --> 43:24.070]  I thought it was Kurt Russell.
[43:25.410 --> 43:26.370]  He's still alive.
[43:29.560 --> 43:31.000]  We gotta get Kurt Russell a Gurpler.
[43:34.920 --> 43:36.820]  What the fuck is this?
[43:36.920 --> 43:37.940]  Ah, it's a cup from a podcast.
[43:41.160 --> 43:42.940]  It's probably easier than you think.
[43:44.420 --> 43:45.120]  You get some rest.
[43:45.600 --> 43:47.040]  I'll be back later to talk about work.
[43:55.050 --> 43:56.630]  Is the game gonna begin?
[43:57.830 --> 43:58.870]  You fucking wish.
[43:59.490 --> 44:00.350]  Go do horse chores.
[44:01.750 --> 44:02.610]  How about a cutscene?
[44:03.510 --> 44:04.750]  Mafia horse chores?
[44:09.170 --> 44:11.630]  Wake up, I'm gonna be mean to you.
[44:16.980 --> 44:19.640]  You're like a mob doctor, but it's just for horses.
[44:19.640 --> 44:24.380]  Your character looks like the character from that Star Wars game.
[44:25.680 --> 44:26.760]  Oh, I can see that.
[44:28.420 --> 44:30.140]  Is he good or bad one?
[44:30.280 --> 44:31.760]  Yeah, he looks exactly like that guy.
[44:32.980 --> 44:34.900]  Darth Itches or whatever the fuck. Starkiller.
[44:38.820 --> 44:40.120]  Starkiller. Yeah, that's his name.
[44:41.260 --> 44:43.060]  Thank you who let the rats out.
[44:49.610 --> 44:51.310]  This is why I don't play games.
[44:51.310 --> 44:54.330]  Nothing is happening. I'm watching them watching nothing happen.
[44:55.110 --> 44:56.710]  We're on video games, baby.
[45:02.950 --> 45:05.290]  Candy desk official. Holy shit.
[45:05.650 --> 45:07.790]  Thank you so much, candy desk.
[45:10.110 --> 45:12.010]  Candy desk, that would be delicious.
[45:12.310 --> 45:13.270]  Have you guys...
[45:13.270 --> 45:16.350]  Thanks, front of the cream line for those five gifts.
[45:16.470 --> 45:17.710]  Thank you so much.
[45:18.370 --> 45:19.170]  Thank you so much.
[45:19.250 --> 45:19.850]  Oh, charcoal rust.
[45:20.210 --> 45:22.570]  Yeah, charcoal rust, definitely.
[45:22.710 --> 45:22.950]  Charcoal.
[45:23.510 --> 45:24.810]  Oh, I don't have a candle.
[45:25.330 --> 45:26.810]  The princess for Kovala? Damn.
[45:28.950 --> 45:30.190]  Have you guys seen any of those...
[45:30.190 --> 45:31.130]  Speaking of candy desk.
[45:31.230 --> 45:32.790]  Have you guys seen any of those TikToks?
[45:32.810 --> 45:34.530]  I know you haven't, Gavin, but people that use it.
[45:35.050 --> 45:36.950]  Those AI TikToks that are like...
[45:36.950 --> 45:40.950]  What bed is associated with your month?
[45:41.090 --> 45:41.710]  And it's like January.
[45:42.150 --> 45:43.530]  It's the cloud bed.
[45:43.610 --> 45:45.790]  And February is the marshmallow bed.
[45:46.510 --> 45:48.610]  That's some fucking weird content.
[45:49.130 --> 45:49.330]  What?
[45:49.970 --> 45:50.730]  No, I don't...
[45:50.730 --> 45:51.110]  You've never seen it, Gavin?
[45:51.110 --> 45:51.890]  I don't have that.
[45:52.030 --> 45:56.790]  They'll be like, March is a scab bed and April is chicken cutlet bed.
[45:57.010 --> 46:00.470]  And then it'd be like somebody crawling into a bed made out of chicken cutlets.
[46:00.570 --> 46:01.230]  And it's like all like...
[46:01.930 --> 46:02.410]  Gross.
[46:04.550 --> 46:05.030]  AI.
[46:06.290 --> 46:09.290]  Speaking of candy, I got push pop gummies.
[46:09.790 --> 46:11.790]  The gummy itself, very average.
[46:12.690 --> 46:15.250]  Really fun mechanism for getting the gummy out.
[46:15.570 --> 46:15.870]  Oh, really?
[46:16.630 --> 46:24.890]  Yeah, they do the push pop thing where you lift it up and then you like cock it, essentially, and the candy shoots up from it.
[46:25.090 --> 46:27.150]  Like the platform pulls it to the top.
[46:27.550 --> 46:27.670]  Huh.
[46:28.030 --> 46:29.250]  It's very fun.
[46:30.650 --> 46:33.470]  It feels like a thing that you would very much enjoy using, Jack.
[46:34.670 --> 46:35.870]  I want to try it.
[46:36.730 --> 46:38.910]  I feel like I would like an ice cream bed.
[46:39.850 --> 46:41.050]  Oh, that's a good one.
[46:42.250 --> 46:43.390]  Keep me cool in the summer.
[46:43.750 --> 46:43.970]  Yeah.
[46:44.790 --> 46:47.250]  Then you get your hair all over it.
[46:47.870 --> 46:49.570]  Ah, can I have a shower every morning?
[46:50.290 --> 46:52.570]  Yeah, but hair's gonna fall off your body. You're a hairy man.
[46:53.250 --> 46:55.230]  Hair is gonna fall off your body?
[46:56.210 --> 46:57.910]  Yeah, hair falls off the body.
[46:58.830 --> 46:59.610]  In my sleep?
[47:00.110 --> 47:00.490]  Yeah.
[47:01.370 --> 47:03.250]  There might be a few in there, but I mean...
[47:03.250 --> 47:04.850]  I'm not eating the ice cream, I'm just sleeping in it.
[47:05.490 --> 47:07.950]  I feel like it would get gross pretty quickly.
[47:09.050 --> 47:09.450]  Let's...
[47:13.050 --> 47:15.610]  So you think maybe I'd have to get a new one every night?
[47:16.130 --> 47:18.710]  Okay, wait. What flavor of ice cream are we talking here?
[47:20.650 --> 47:24.290]  Because if it's vanilla, then that's gonna be gross. You're gonna see everything.
[47:24.430 --> 47:29.670]  But if it's chocolate, and it covers up stuff, that could be okay. You can persuade me.
[47:30.170 --> 47:32.210]  What's the least sticky flavor of ice cream?
[47:34.230 --> 47:36.970]  I think they're all equally sticky.
[47:36.970 --> 47:39.350]  I don't think the flavor has much to do with the stickiness.
[47:40.150 --> 47:47.290]  But next time you are at an ice cream store, or maybe just approach an ice cream truck, please ask them.
[47:47.470 --> 47:49.010]  I'd love to know what they say.
[47:49.330 --> 47:51.790]  Alright, what if it's an ice cream bed, but there's sheets over the top?
[47:52.270 --> 47:54.010]  I mean, I assume there would be sheets on it.
[47:55.390 --> 47:57.510]  Are there sheets in the weird AI videos, Geoff?
[47:58.910 --> 48:01.890]  Yeah, there are, as a matter of fact. And I'm trying to send you one right now.
[48:02.750 --> 48:06.690]  If it was edible sheets, I'd be okay with it. If it was a candy sheet?
[48:09.210 --> 48:10.910]  If it's fabric, I don't like it.
[48:13.510 --> 48:15.050]  Is there any fabric you can eat?
[48:18.550 --> 48:20.530]  Probably not that you're supposed to.
[48:22.410 --> 48:24.950]  Say you are doing horse chores, like that's what's happening here.
[48:27.090 --> 48:28.790]  You know that horses love their wine.
[48:32.570 --> 48:33.930]  Oh, that's a cool pipe.
[48:34.710 --> 48:40.430]  There's a lot of different videos like this, varying degrees of grossness, but here's just an average one.
[48:40.590 --> 48:41.630]  I sent it to the text group.
[48:42.550 --> 48:44.130]  Thank you, ElbowDeepDaddy.
[48:44.350 --> 48:45.130]  Good to see you again.
[48:49.650 --> 48:52.890]  The guy climbing into some cheese pizza.
[48:54.650 --> 48:55.110]  That's dangerous.
[48:55.230 --> 48:57.390]  Yeah, that's minging. I hate this.
[48:58.290 --> 48:59.310]  Señora, do you need help?
[49:01.230 --> 49:03.790]  February's slime bed, I think.
[49:05.790 --> 49:08.550]  Oh, the guy's just leaking. Okay, that's disgusting.
[49:14.930 --> 49:17.710]  I think I'd want to sleep on a bed of hands. I just want to try it.
[49:18.710 --> 49:26.270]  I've been getting a lot of AI videos of a dog and a cat that have a podcast that makes fun of humans.
[49:29.310 --> 49:30.550]  Yeah, I don't know if you guys see those.
[49:30.870 --> 49:33.990]  I get a lot of AI TikToks these days.
[49:34.850 --> 49:39.510]  I started following a cat named WasUpWithGup and he's got huge weird eyes.
[49:41.110 --> 49:42.290]  Now that's content.
[49:51.310 --> 49:57.810]  Whenever I get TikToks like the AI animal podcast thing, I just think of...
[49:57.810 --> 50:03.590]  Some company sees that and says, $5 billion more in investment. This is cool.
[50:05.250 --> 50:06.130]  The future.
[50:07.110 --> 50:13.890]  I get a lot of those and a lot of alien hosts, like aliens that have late night TV shows.
[50:14.290 --> 50:18.950]  And it'll be like the alien Johnny Carson and it'll have another alien come on and they'll talk about how dumb humans are.
