[00:00.000 --> 00:00.840]  That's a big logo.
[19:44.080 --> 19:44.480]  That's good.
[19:45.900 --> 19:47.160]  Gotta really want it.
[19:49.940 --> 19:50.740]  You idiot.
[19:51.440 --> 19:51.760]  No!
[19:55.460 --> 19:57.620]  Come on, you gotta go for the...
[19:57.620 --> 19:58.460]  Oh, you gotta shoot it.
[20:00.140 --> 20:01.280]  Send me!
[20:08.420 --> 20:09.860]  Damn it.
[20:11.500 --> 20:12.960]  That would have been great.
[20:17.350 --> 20:18.570]  Good times.
[20:19.150 --> 20:20.670]  No, I hit the wrong button!
[20:28.320 --> 20:30.080]  Oh my god, you're a psychopath.
[20:34.120 --> 20:34.580]  Damn.
[20:45.980 --> 20:47.640]  That would have been amazing.
[20:48.440 --> 20:49.780]  It was on the run of a lifetime.
[20:53.450 --> 20:54.290]  Hey, Rebecca.
[20:54.830 --> 20:55.790]  Hey, what's up, Rebecca?
[20:55.790 --> 20:58.150]  Blow something up.
[20:58.150 --> 20:59.190]  God, finally.
[20:59.990 --> 21:00.550]  No!
[21:03.470 --> 21:05.030]  Geoff, don't blow that up!
[21:05.130 --> 21:06.350]  That's the only way to get back!
[21:06.970 --> 21:08.170]  You said finally.
[21:10.970 --> 21:11.990]  There you go.
[21:16.990 --> 21:17.350]  No!
[21:18.370 --> 21:19.250]  Super dead.
[21:24.250 --> 21:25.170]  Damn it.
[21:25.170 --> 21:25.830]  Hmm.
[21:31.150 --> 21:47.360]  Oh, I forgot about the other one!
[21:49.460 --> 21:50.300]  Idiot!
[21:52.600 --> 21:54.160]  Oh, shit, that's Geoff.
[21:54.700 --> 21:55.800]  Oh, no!
[21:56.700 --> 21:57.120]  Yes!
[21:58.760 --> 21:59.600]  Yes!
[22:01.640 --> 22:03.160]  Come back, coin!
[22:03.480 --> 22:05.120]  Holy shit.
[22:05.880 --> 22:06.560]  Boys!
[22:06.560 --> 22:08.640]  Look at that!
[22:23.300 --> 22:24.340]  You elephant!
[22:25.560 --> 22:26.560]  That's me, I'm an elephant.
[22:28.580 --> 22:29.620]  Hurry up and die!
[22:30.520 --> 22:31.740]  Oh, will it be the double coin
[22:31.740 --> 22:32.640]  comeback win?
[22:32.780 --> 22:34.180]  No shot, no shot.
[22:34.200 --> 22:35.160]  He doesn't have the guts!
[22:37.100 --> 22:37.800]  I was close.
[22:38.140 --> 22:39.080]  Are you holding X, Geoff?
[22:39.400 --> 22:42.020]  Yeah, it's for Jason.
[22:43.100 --> 22:43.620]  What?
[22:44.700 --> 22:45.780]  That's X for Jason.
[22:47.120 --> 22:47.800]  Remember that?
[22:48.160 --> 22:49.660]  Heavy rain is a thing.
[22:52.100 --> 22:53.500]  The fuck are you saying?
[22:53.960 --> 22:55.140]  Remember that game?
[22:57.740 --> 22:59.240]  To find Jason, remember?
[22:59.760 --> 23:01.480]  He was lost in the mall, you had to hit a button
[23:01.480 --> 23:02.740]  and it was like press X, I believe.
[23:03.280 --> 23:04.320]  How do I kick Geoff?
[23:04.500 --> 23:06.960]  I'm trying to...
[23:09.100 --> 23:10.360]  Oh, my plank.
[23:16.630 --> 23:17.150]  Okay.
[23:20.170 --> 23:21.990]  Alright, let's do some clear up on this one.
[23:22.230 --> 23:23.870]  No! No! No!
[23:24.290 --> 23:25.830]  Yes! Yes! Yes!
[23:26.030 --> 23:27.090]  Yes! Yes!
[23:27.430 --> 23:28.850]  Son of a bitch.
[23:31.790 --> 23:33.070]  Oh, I was totally right.
[23:33.150 --> 23:33.990]  Press X to Jason.
[23:34.630 --> 23:35.430]  That is right.
[23:35.710 --> 23:37.650]  You fuckin' PlayStation gamers, you don't even know.
[23:39.310 --> 23:40.230]  Oh, it's a
[23:40.230 --> 23:41.770]  frickin' tie break!
[23:43.810 --> 23:45.190]  First to reach the flat wins!
[23:46.230 --> 23:46.590]  Oops.
[23:48.710 --> 23:49.070]  Okay.
[23:51.370 --> 23:52.270]  God damn it.
[23:56.780 --> 23:58.040]  Oh, I came back to life?
[23:58.300 --> 23:59.520]  I didn't realize I could do it again!
[24:00.060 --> 24:01.700]  The ultimate raccoon, baby!
[24:02.920 --> 24:03.400]  That's awesome.
[24:03.420 --> 24:05.560]  Yeah, you came back to life and you just didn't do anything.
[24:05.680 --> 24:06.340]  That was pretty cool.
[24:07.400 --> 24:07.760]  Congratulations.
[24:08.680 --> 24:10.840]  Yeah, why would I tell you? I wanted to win, idiot.
[24:11.220 --> 24:13.560]  He's got a point there. Let's do another one, though.
[24:14.080 --> 24:14.760]  Yeah, hell yeah.
[24:15.240 --> 24:16.840]  We're getting on to 5-0-1, guys.
[24:16.960 --> 24:18.120]  424, we're almost there.
[24:18.340 --> 24:19.800]  There might be a new level in this level.
[24:20.420 --> 24:21.040]  Oh, you think so?
[24:21.060 --> 24:22.200]  It says question mark.
[24:32.180 --> 24:32.580]  Oh!
[24:33.020 --> 24:34.220]  Oh, there is something up there.
[24:38.080 --> 24:39.280]  Where do we start?
[24:42.720 --> 24:43.940]  We'll get something normal style.
[24:44.160 --> 24:44.420]  We're good.
[24:48.090 --> 24:48.450]  Okay.
[24:48.690 --> 24:52.590]  It'll be a level or it'll be like a hat for Eric.
[24:52.590 --> 24:55.330]  It better be a hat for Eric.
[24:56.410 --> 24:57.290]  There you go, Geoff.
[24:57.490 --> 24:58.610]  That fucking killed me dead.
[24:59.810 --> 25:01.530]  Oh, you discovered a new level.
[25:01.530 --> 25:03.390]  It was a level for Geoff that I already had.
[25:03.490 --> 25:03.890]  Thank you.
[25:06.430 --> 25:07.830]  Thank you, thank you, thank you.
[25:17.880 --> 25:19.920]  I guess that's why you're not supposed to go chasing them
[25:19.920 --> 25:21.800]  because when you're ready for them, they'll be right there.
[25:25.560 --> 25:26.620]  That must be it.
[25:26.960 --> 25:28.040]  Oh my god, that's crazy.
[25:28.040 --> 25:28.400]  Fuck.
[25:34.100 --> 25:36.660]  Oh, someone messed with the lift as well.
[25:41.910 --> 25:43.050]  What happened to me?
[25:43.850 --> 25:44.170]  What?
[25:45.070 --> 25:46.690]  What happened to me?
[25:46.990 --> 25:48.630]  I got iced into the cloth.
[25:48.910 --> 25:50.370]  What happened to me?
[25:54.270 --> 25:55.710]  Hmm, how am I going to do this?
[25:58.230 --> 25:59.350]  Hmm, okay.
[25:59.750 --> 26:00.550]  Alright, hang on.
[26:01.310 --> 26:02.650]  So I've thought...
[26:02.650 --> 26:04.610]  Now I've considered my mistakes.
[26:05.190 --> 26:07.130]  I've thought long and hard about this.
[26:08.390 --> 26:08.670]  How?
[26:11.950 --> 26:13.290]  Where am I supposed to...
[26:13.290 --> 26:13.430]  How?
[26:13.610 --> 26:13.910]  No!
[26:16.910 --> 26:19.210]  I had to see what I could jump into
[26:19.210 --> 26:20.070]  and what I could avoid.
[26:25.800 --> 26:27.140]  When do you see Geoff
[26:27.140 --> 26:28.160]  in celebrity boxing?
[26:28.440 --> 26:29.600]  That will never happen.
[26:40.090 --> 26:40.430]  Hmm.
[26:43.750 --> 26:44.270]  Oh,
[26:44.470 --> 26:46.330]  did someone throw me upwards?
[26:46.450 --> 26:47.790]  How did I jump so high?
[26:48.090 --> 26:50.170]  I did, you bounced off me.
[26:50.590 --> 26:51.690]  That sucks!
[26:52.490 --> 26:53.790]  No, I thought it was pretty cool.
[26:55.970 --> 26:57.210]  Don't die, don't die, don't die!
[26:57.470 --> 26:57.990]  No!
[26:59.850 --> 27:01.190]  Oh, that killed me.
[27:01.790 --> 27:03.050]  What did you die on?
[27:03.310 --> 27:04.550]  Sharp glass.
[27:04.850 --> 27:05.350]  Oh, same.
[27:07.310 --> 27:09.770]  I didn't realize that was sharp glass.
[27:09.770 --> 27:11.010]  Yeah, it's sharp.
[27:15.370 --> 27:16.290]  Fucking hell.
[27:18.530 --> 27:19.470]  I don't want this.
[27:20.510 --> 27:21.350]  What was that?
[27:22.330 --> 27:22.810]  You
[27:24.130 --> 27:24.610]  fool.
[27:25.910 --> 27:27.130]  Do something about it.
[27:27.970 --> 27:29.190]  Do something about it, bitch.
[27:30.670 --> 27:32.050]  I didn't have to say the last part,
[27:32.170 --> 27:32.890]  Geoff said it for me.
[27:36.010 --> 27:37.370]  No, you pushed me!
[27:37.370 --> 27:39.390]  Oh, you just tackled me
[27:39.390 --> 27:41.730]  into the fricking thorns!
[27:42.190 --> 27:43.450]  Right into the bramble.
[27:44.330 --> 27:45.410]  Why are you staying on it?
[27:45.770 --> 27:46.610]  Why did it kill me?
[27:48.050 --> 27:49.070]  I'm getting smushed.
[27:50.290 --> 27:50.890]  Smushed.
[27:52.150 --> 27:53.230]  Oh, man.
[28:07.920 --> 28:08.520]  Why?
[28:10.600 --> 28:11.600]  Gotta do something.
[28:13.640 --> 28:14.980]  I gotta do something.
[28:14.980 --> 28:15.500]  And I'm dead.
[28:16.960 --> 28:17.440]  No!
[28:18.660 --> 28:20.560]  I didn't know the propeller could kill you.
[28:20.660 --> 28:21.300]  That's terrible.
[28:21.780 --> 28:22.880]  Yeah, it shot blade.
[28:23.260 --> 28:24.160]  Yeah, it killed me a bunch.
[28:26.300 --> 28:26.780]  Damn.
[28:29.060 --> 28:29.520]  Puck!
[28:31.160 --> 28:31.900]  Oh, money.
[28:40.690 --> 28:41.650]  Holy shit.
[28:42.190 --> 28:43.970]  It's getting insane over there.
[28:44.070 --> 28:44.470]  Be careful.
[28:44.930 --> 28:45.150]  Money!
[28:47.770 --> 28:49.350]  Ah, this is so good.
[28:49.350 --> 28:50.170]  Yeah.
[28:51.950 --> 28:53.090]  Oh, don't worry.
[28:53.130 --> 28:53.570]  Eric wins.
[28:56.070 --> 28:57.170]  Steal that from him, Geoff.
[28:58.930 --> 28:59.730]  Damn it!
[29:00.190 --> 29:01.490]  No points except for the coin
[29:01.490 --> 29:02.190]  if Geoff finishes.
[29:03.670 --> 29:04.630]  Jesus Christ.
[29:04.750 --> 29:05.930]  Geoff is scared.
[29:06.950 --> 29:08.450]  Look at the fear in Mudang.
[29:11.150 --> 29:11.670]  Damn.
[29:15.330 --> 29:15.990]  Punch glove.
[29:15.990 --> 29:17.070]  Oh, fuck.
[29:27.730 --> 29:29.010]  God damn it.
[29:29.550 --> 29:30.670]  God damn it.
[29:31.690 --> 29:33.270]  No, short blast!
[29:39.640 --> 29:40.060]  Okay.
[29:40.840 --> 29:41.780]  Oh my god.
[29:43.140 --> 29:43.660]  Crazy.
[29:45.860 --> 29:46.240]  Damn.
[29:46.620 --> 29:47.640]  Damn, damn, damn.
[29:49.360 --> 29:52.000]  Somebody in the audience asked if we would play Fall Guys again someday.
[29:52.140 --> 29:52.780]  I think so, right?
[29:52.940 --> 29:53.540]  We had fun with that.
[29:53.540 --> 29:54.980]  That was a good time.
[29:56.200 --> 29:56.620]  Which one was that?
[29:56.680 --> 29:57.940]  The little bean guys?
[29:58.860 --> 30:00.460]  Yeah, it's like...
[30:01.140 --> 30:03.680]  It's the same dudes that you fight with
[30:03.680 --> 30:04.900]  but you're not fighting this time.
[30:05.880 --> 30:06.940]  A question mark?
[30:07.400 --> 30:08.900]  Yeah, we just did that level there.
[30:10.020 --> 30:11.840]  But it's the question mark level.
[30:12.120 --> 30:13.280]  You can do it again if you want.
[30:14.180 --> 30:15.880]  There's a rollercoaster question mark.
[30:16.420 --> 30:16.840]  Where?
[30:17.240 --> 30:18.080]  Oh, let's do that.
[30:19.720 --> 30:20.240]  Boom.
[30:21.320 --> 30:21.960]  Love it.
[30:33.170 --> 30:35.750]  Mark Sally is craving a hot dog.
[30:35.930 --> 30:36.690]  I know that game.
[30:37.470 --> 30:39.630]  Can 5pm on Fridays be regulation hot dog time?
[30:39.710 --> 30:40.310]  I don't see why not.
[30:41.610 --> 30:43.110]  I haven't had a hot dog in a couple days.
[30:44.270 --> 30:45.950]  Actually, I haven't had a hot dog since England.
[30:46.330 --> 30:47.070]  That's been a while.
[30:47.890 --> 30:49.010]  How were the English dogs?
[30:49.230 --> 30:49.990]  Oh, it was dog shit.
[30:51.350 --> 30:52.550]  That's not fair. It wasn't dog shit.
[30:52.570 --> 30:53.330]  It was very mediocre.
[30:54.290 --> 30:55.890]  I'd give it like a 6 out of 10.
[30:56.870 --> 30:57.750]  Damn it!
[30:58.390 --> 30:59.530]  Nice build, guys.
[30:59.650 --> 31:00.650]  What do we do next?
[31:01.330 --> 31:02.290]  You figure it out.
[31:02.630 --> 31:03.410]  Yeah, you're the genius.
[31:05.230 --> 31:08.890]  I need to wait until the fan is at its lowest.
[31:09.370 --> 31:10.610]  Not get hit by the rollercoaster.
[31:11.010 --> 31:12.050]  Land on the fan.
[31:12.230 --> 31:12.430]  Now!
[31:13.810 --> 31:15.850]  Oh, you missed it.
[31:15.950 --> 31:16.430]  You blew it.
[31:17.770 --> 31:19.130]  Now you haven't done it.
[31:19.210 --> 31:20.630]  Watch this.
[31:21.950 --> 31:23.990]  You thought you could jump through the railing,
[31:23.990 --> 31:25.270]  but you can't.
[31:25.590 --> 31:28.030]  I knew you couldn't, but I thought the fan was low enough.
[31:30.530 --> 31:30.930]  Disappointment.
[31:33.050 --> 31:33.450]  Disappointing.
[31:38.720 --> 31:40.660]  We had a pretty good flub of
[31:40.660 --> 31:42.680]  Regulatory on recently that I was happy with.
[31:43.100 --> 31:44.060]  I don't remember where it was.
[31:45.640 --> 31:46.540]  Was it yesterday?
[31:46.920 --> 31:48.240]  I think so. It was phenomenal.
[31:50.180 --> 31:50.860]  Oh, I can't see the...
[31:54.520 --> 31:54.920]  No!
[31:54.920 --> 31:55.000]  No!
[31:56.700 --> 31:58.340]  Thought I was just low enough.
[31:58.520 --> 31:59.100]  And I wasn't.
[32:00.660 --> 32:01.920]  That's a hard jump, man.
[32:02.400 --> 32:04.680]  I'm a careful, cautious
[32:04.680 --> 32:05.440]  little elephant.
[32:05.920 --> 32:07.280]  I'm gonna do what I did with that coin.
[32:08.280 --> 32:09.120]  Way to go, buddy.
[32:16.880 --> 32:18.660]  I'm a stupid,
[32:18.860 --> 32:19.960]  short-sighted little elephant.
[32:21.320 --> 32:22.040]  It's true.
[32:22.280 --> 32:22.860]  I've seen it.
[32:30.530 --> 32:31.790]  What the fuck?
[32:32.810 --> 32:33.410]  What's that?
[32:36.940 --> 32:37.980]  Oh, shit, Eric.
[32:38.700 --> 32:39.440]  Oh, shit, Eric.
[32:39.520 --> 32:41.880]  No! I was trying to bounce off the side.
[32:43.540 --> 32:44.460]  Can I go on this?
[32:44.820 --> 32:46.220]  Trying to get freaky-beaky, baby.
[32:46.580 --> 32:47.320]  Don't get punched.
[32:48.460 --> 32:49.400]  You missed it.
[32:50.660 --> 32:54.040]  Alright, Geoff, you got this thing.
[32:54.080 --> 32:55.980]  You got it, buddy. Here you go. Boom!
[32:56.380 --> 32:57.660]  And here he goes.
[32:59.320 --> 32:59.720]  Fuck.
[32:59.720 --> 33:00.780]  Can I hit that thing with a jump?
[33:02.640 --> 33:03.720]  You hit your head on that,
[33:03.840 --> 33:04.200]  big guy.
[33:13.160 --> 33:14.180]  I like that you can
[33:14.180 --> 33:15.280]  make your curse a sprint.
[33:19.890 --> 33:21.150]  What do I want to get rid of?
[33:21.610 --> 33:22.650]  Nothing. That's crazy.
[33:22.990 --> 33:24.190]  I think I dumped it here.
[33:25.230 --> 33:25.970]  I don't like that.
[33:26.710 --> 33:28.430]  I don't like that one specific part.
[33:29.210 --> 33:30.810]  The rest of it is allowed to stay.
[33:32.890 --> 33:33.450]  Are you gonna
[33:33.450 --> 33:35.010]  throw? What's this thing doing?
[33:35.130 --> 33:35.490]  There we go.
[33:36.330 --> 33:40.910]  Get punched.
[33:41.210 --> 33:42.610]  No! No! No!
[33:44.910 --> 33:45.710]  Fuckin' idiot.
[33:49.700 --> 33:50.660]  That was great.
[33:51.740 --> 33:53.540]  We still haven't reached the end
[33:53.540 --> 33:54.100]  once.
[33:54.900 --> 33:57.540]  There's some pretty heavy onion talk going on in the chat.
[33:58.020 --> 33:59.180]  Oh, what's the latest on onions?
[34:00.240 --> 34:01.500]  A lot of people like
[34:01.500 --> 34:03.440]  onion straws, people like raw
[34:03.440 --> 34:05.280]  onion, crispy onions.
[34:05.360 --> 34:07.300]  Grilled is better, but sometimes you need the
[34:07.300 --> 34:08.540]  crunch of a raw onion.
[34:08.740 --> 34:10.360]  I agree with all that.
[34:11.260 --> 34:12.760]  I'll take an onion in any form.
[34:14.780 --> 34:15.260]  Bloomin'?
[34:15.260 --> 34:16.520]  Yeah. Fuck yeah, dude.
[34:17.380 --> 34:18.760]  We've been on a bloomin' kick.
[34:19.900 --> 34:20.440]  Have we?
[34:21.440 --> 34:23.240]  I went with your wife
[34:23.240 --> 34:24.340]  to go get a bloomin' onion.
[34:26.340 --> 34:27.360]  Hit the button!
[34:29.820 --> 34:31.160]  Went to Texas Roadhouse
[34:31.160 --> 34:32.900]  to get it two more times
[34:34.260 --> 34:35.220]  with Burndog
[34:35.220 --> 34:35.640]  and Vanessa.
[34:38.900 --> 34:39.900]  You killed me!
[34:40.980 --> 34:42.240]  You killed me!
[34:42.680 --> 34:43.660]  You killed me!
[34:44.420 --> 34:45.880]  A lot of blame going around.
[34:49.200 --> 34:50.220]  It's apparently a very
[34:50.700 --> 34:52.680]  common final sentence to say.
[34:53.380 --> 34:54.700]  You killed me? You killed me.
[34:55.620 --> 34:56.500]  Oh, what was that?
[34:56.720 --> 34:57.140]  Oh!
[35:00.300 --> 35:01.800]  Too easy, I don't want you to have that.
[35:04.900 --> 35:06.760]  What the fuck?!
[35:07.420 --> 35:08.900]  I've never seen
[35:08.900 --> 35:09.960]  that happen so early.
[35:25.180 --> 35:33.140]  Dude, I don't know why that was so funny.
[35:33.140 --> 35:35.440]  That was really good. That was really, really funny.
[35:35.560 --> 35:36.240]  Holy shit.
[35:37.560 --> 35:39.140]  Anybody saw it comin'?
[35:39.720 --> 35:41.220]  Oh, wow, that's a new level!
[35:41.460 --> 35:42.900]  I've never played that. We gotta play that level.
[35:43.460 --> 35:43.720]  Okay.
[35:44.880 --> 35:46.960]  Somebody has to win, finally, and then we can do it.
[35:47.100 --> 35:48.440]  Metro Boomin'. Let's do it.
[35:51.620 --> 35:53.200]  That'd be a great social clip.
[35:53.280 --> 35:54.860]  You just getting eaten by the...
[35:54.860 --> 35:57.380]  Both just going in the rollercoaster.
[35:59.600 --> 36:00.120]  Oh.
[36:03.630 --> 36:04.150]  Oh!
[36:04.370 --> 36:05.210]  I need that!
[36:10.690 --> 36:12.230]  Get off of me!
[36:12.390 --> 36:14.730]  You stood on my head until I died, you idiot!
[36:14.930 --> 36:16.230]  You stood on me!
[36:16.810 --> 36:18.330]  You were on me!
[36:18.470 --> 36:19.590]  I wasn't on you!
[36:19.790 --> 36:21.170]  On my screen, you were on me!
[36:21.370 --> 36:21.770]  No!
[36:21.770 --> 36:22.110]  What was that?
[36:22.490 --> 36:29.130]  Oh, Christ.
[36:40.010 --> 36:40.490]  Brutal.
[36:43.650 --> 36:45.690]  How did you not get hit by that?
[36:46.010 --> 36:46.630]  Dodged it.
[36:47.330 --> 36:48.970]  And I dodged the platform, but not below it.
[36:49.390 --> 36:50.390]  Yeah, saw that.
[36:53.410 --> 36:54.270]  I'm not worried, though.
[36:54.290 --> 36:55.190]  Neither of you will make it.
[36:56.070 --> 36:56.490]  Hey!
[36:56.710 --> 36:57.410]  What the...
[37:00.190 --> 37:00.610]  Geoff!
[37:00.990 --> 37:01.810]  What the fuck happened?
[37:01.870 --> 37:03.130]  Were you on each other's heads again?
[37:03.150 --> 37:04.270]  He pushed me off!
[37:05.010 --> 37:06.630]  You just both did nothing.
[37:08.050 --> 37:09.250]  He pushed me off!
[37:09.590 --> 37:10.910]  You pushed me!
[37:11.050 --> 37:11.990]  I didn't push anybody!
[37:12.650 --> 37:13.650]  You were on my right!
[37:13.850 --> 37:15.090]  Dude, I was minding my own business.
[37:24.120 --> 37:25.100]  You're crazy.
[37:26.760 --> 37:28.100]  No, you saw it!
[37:28.240 --> 37:28.460]  No!
[37:29.540 --> 37:30.060]  No!
[37:32.460 --> 37:33.500]  Raccoon wins!
[37:33.720 --> 37:34.540]  Damn you!
[37:34.780 --> 37:36.200]  Stop paying attention to me!
[37:39.700 --> 37:41.300]  I'll go ahead and sew this up.
[37:41.840 --> 37:42.560]  Here we go.
[37:43.260 --> 37:44.600]  Here comes a big...
[37:44.600 --> 37:45.680]  Geoff, come from behind.
[37:46.040 --> 37:47.380]  There's a portal right behind you.
[37:47.980 --> 37:48.500]  Yeah.
[37:48.500 --> 37:50.100]  Yeah.
[37:51.660 --> 37:53.240]  I was gonna do it that way.
[37:53.600 --> 37:54.540]  Oh, man.
[37:56.800 --> 37:57.600]  No!
[38:06.970 --> 38:07.370]  No!
[38:12.690 --> 38:13.490]  Oh.
[38:14.490 --> 38:16.130]  How bad do you want it?
[38:16.230 --> 38:16.950]  Really bad.
[38:18.030 --> 38:18.830]  Yes!
[38:23.610 --> 38:24.030]  What?
[38:25.090 --> 38:26.710]  Oh, I died!
[38:26.810 --> 38:27.750]  I'm dead!
[38:27.750 --> 38:27.950]  I'm dead!
[38:28.650 --> 38:30.570]  You arrived dead.
[38:31.470 --> 38:32.930]  Did I live?
[38:33.910 --> 38:34.670]  I lived!
[38:36.010 --> 38:36.670]  Yes!
[38:41.310 --> 38:44.010]  He just showed up dead.
[38:45.030 --> 38:45.930]  Oh, my God.
[38:48.470 --> 38:48.910]  No.
[38:50.570 --> 38:52.130]  How bad do you want it?
[38:52.270 --> 38:52.690]  Loads.
[39:03.870 --> 39:05.050]  Psycho shit.
[39:08.720 --> 39:09.380]  No!
[39:11.160 --> 39:12.300]  Did you die?
[39:12.820 --> 39:13.520]  Did I?
[39:14.200 --> 39:15.500]  Where did I come out?
[39:16.180 --> 39:17.080]  Where did you go?
[39:17.220 --> 39:19.680]  What happened? You went to hell!
[39:19.920 --> 39:20.780]  I got eaten.
[39:38.630 --> 39:40.770]  What's gonna be safest for me?
[39:42.370 --> 39:43.690]  Maybe this.
[39:44.790 --> 39:45.790]  Yeah.
[39:46.350 --> 39:47.350]  This.
[39:49.630 --> 39:50.130]  Geronimo!
[39:51.330 --> 39:51.830]  No!
[39:53.110 --> 39:58.870]  What happened?
[39:59.670 --> 40:01.050]  I just stood up and died.
[40:01.910 --> 40:02.630]  Oh, my God.
[40:05.270 --> 40:05.770]  Hey!
[40:06.730 --> 40:07.850]  Jesus Christ.
[40:08.430 --> 40:09.250]  You got a new level.
[40:09.250 --> 40:11.370]  Yeah, we gotta go check it out.
[40:11.430 --> 40:12.230]  Let's check out the Metro.
[40:12.670 --> 40:13.790]  Play that until 5.01.
[40:15.830 --> 40:16.610]  20 minutes, guys.
[40:16.710 --> 40:17.690]  Thank you so much for watching.
[40:18.250 --> 40:21.030]  None of you motherfuckers exist again to me until Monday.
[40:21.130 --> 40:22.330]  Unless I hang out with you this weekend.
[40:25.310 --> 40:26.450]  Gavin, I think I might be available.
[40:26.570 --> 40:27.350]  I just have to check with my wife.
[40:28.650 --> 40:29.490]  I'm doing the same thing.
[40:30.270 --> 40:30.550]  Interesting.
[40:33.590 --> 40:34.630]  Go, go, now, Joey.
[40:35.010 --> 40:35.750]  Tamara got married.
[40:35.750 --> 40:38.130]  Oh, that's fun.
[40:39.250 --> 40:40.210]  Where is it?
[40:40.290 --> 40:40.770]  It's underground.
[40:41.330 --> 40:44.290]  Oh, it's over here.
[40:44.350 --> 40:44.810]  Oh, okay.
[40:46.330 --> 40:47.170]  Dude, look at that.
[40:47.870 --> 40:48.410]  That's pretty cool.
[40:49.230 --> 40:51.550]  I can't wait to watch Geoff get hit by a train.
[40:53.070 --> 40:54.030]  BBL Drizzy.
[40:55.850 --> 40:58.310]  Geoff, walk to the fucking right.
[40:58.990 --> 40:59.530]  My name's Geoff.
[41:01.330 --> 41:01.810]  Christ.
[41:03.190 --> 41:05.970]  I love that Gavin still uses the same skin for the last decade.
[41:07.230 --> 41:08.670]  Has it been that long?
[41:08.830 --> 41:09.090]  Shit.
[41:09.550 --> 41:11.570]  Maybe it's time to switch it up.
[41:12.310 --> 41:13.590]  Geoff, sit still!
[41:18.190 --> 41:19.910]  Physically incapable of stopping.
[41:20.690 --> 41:21.510]  Sounds right.
[41:29.130 --> 41:31.690]  Can we walk on the tracks?
[41:31.930 --> 41:32.730]  I bet we can't.
[41:35.770 --> 41:36.670]  I don't know how this works.
[41:38.010 --> 41:39.430]  Only one way to find out, boys.
[41:41.250 --> 41:42.330]  Oh my god.
[41:44.430 --> 41:44.870]  Nice.
[41:45.030 --> 41:46.530]  It's all electrified all the time.
[41:47.390 --> 41:48.050]  Oh, a turtle!
[41:48.430 --> 41:49.170]  Oh, shit!
[41:51.170 --> 41:53.050]  I didn't realize it was so big.
[41:53.510 --> 41:55.970]  Yeah, I didn't know how exactly it happened.
[41:56.350 --> 41:58.150]  You have to go very fast on this level.
[41:58.350 --> 41:59.450]  Is it always electrified?
[42:00.590 --> 42:02.470]  It was electrified for me the whole time.
[42:10.280 --> 42:12.060]  Putting it back is diabolical.
[42:12.300 --> 42:14.480]  I started dead!
[42:14.680 --> 42:15.100]  Ah, shit!
[42:15.600 --> 42:17.000]  I can't get away from it!
[42:17.020 --> 42:18.500]  Oh, it's electrified the whole time.
[42:18.640 --> 42:19.840]  Even when it's not zapping.
[42:21.020 --> 42:23.920]  No, even when it's off, it's electrified.
[42:24.600 --> 42:25.020]  Are you sure?
[42:25.760 --> 42:27.900]  I touched it twice when it was off,
[42:27.920 --> 42:29.020]  and it killed me both times.
[42:29.720 --> 42:31.000]  You can do it. You do it.
[42:31.060 --> 42:31.440]  I don't care.
[42:32.860 --> 42:34.320]  Yeah, the fuck do I care? You do it.
[42:35.720 --> 42:36.080]  No!
[42:36.080 --> 42:37.060]  Look, it's fine.
[42:40.480 --> 42:41.740]  Oh, my God.
[42:41.760 --> 42:43.140]  It comes so fast.
[42:43.300 --> 42:44.500]  You probably gotta get on top of it.
[42:44.860 --> 42:47.240]  We're building left and right.
[42:47.360 --> 42:48.580]  We gotta build vertical.
[42:50.900 --> 42:52.320]  Can you run along the top of it?
[42:53.320 --> 42:54.040]  Let's find out.
[42:54.100 --> 42:54.880]  Like Tom Cruise?
[42:55.620 --> 42:56.000]  Yeah.
[43:02.230 --> 43:02.990]  Oh, no.
[43:03.630 --> 43:04.310]  I'm fucked.
[43:05.790 --> 43:07.130]  Okay, let's do a test.
[43:09.450 --> 43:10.950]  What the f...
[43:10.950 --> 43:12.270]  What happened? How are we doing this?
[43:13.430 --> 43:15.130]  I'm on your head, but you're on the ceiling.
[43:15.590 --> 43:16.910]  You killed me!
[43:17.030 --> 43:18.370]  You please threw me out!
[43:19.330 --> 43:19.490]  What?
[43:21.030 --> 43:23.290]  We jumped on each other's head in the sky.
[43:23.530 --> 43:24.670]  That was crazy.
[43:25.570 --> 43:27.430]  We got, like, attached to the top.
[43:28.490 --> 43:29.170]  That's crazy.
[43:29.350 --> 43:30.650]  We couldn't do that again if we tried.
[43:31.210 --> 43:32.070]  No, absolutely not.
[43:32.850 --> 43:33.370]  All right.
[43:33.910 --> 43:35.030]  I'm going the distance, baby.
[43:35.030 --> 43:35.870]  You should try.
[43:40.890 --> 43:42.010]  That's hilarious.
[43:42.410 --> 43:43.170]  Oops.
[43:43.270 --> 43:43.670]  Get the coin.
[43:45.110 --> 43:46.150]  Damn it.
[43:46.710 --> 43:47.110]  You got the coin.
[43:49.270 --> 43:50.030]  No!
[43:53.250 --> 43:53.930]  No!
[43:54.470 --> 43:54.870]  Yes!
[43:55.250 --> 43:55.830]  Nice!
[43:57.310 --> 43:58.450]  Raccoon time, baby!
[43:59.770 --> 44:01.110]  Raccoon time, baby!
[44:02.130 --> 44:02.930]  That's a dam.
[44:08.920 --> 44:10.020]  Oh, what?
