[00:00.000 --> 00:00.760]  Alright
[24:58.450 --> 25:00.030]  Oh, I got cabbaged.
[25:00.330 --> 25:02.090]  There's a dude in that room with the
[25:02.090 --> 25:04.670]  shut blinds.
[25:05.310 --> 25:06.010]  Oh, is there?
[25:06.110 --> 25:07.690]  There might be him.
[25:08.210 --> 25:09.030]  Just popped out.
[25:10.350 --> 25:10.610]  Sir?
[25:12.070 --> 25:13.370]  Right behind you!
[25:17.830 --> 25:18.890]  That was crazy.
[25:19.090 --> 25:21.230]  Go over here and reevaluate.
[25:21.630 --> 25:22.730]  You rubbed butts with that guy.
[25:27.830 --> 25:28.090]  Nice.
[25:30.070 --> 25:30.910]  19 more, huh?
[25:31.330 --> 25:33.330]  Hey fellas, you know what? You guys are gonna go down the stairs.
[25:33.970 --> 25:34.510]  Calling it right now.
[25:36.310 --> 25:36.950]  Oh, one of you were.
[25:36.950 --> 25:37.430]  Oh!
[25:38.950 --> 25:40.630]  Ah, good try.
[25:45.130 --> 25:46.250]  We're gonna get this.
[25:46.830 --> 25:47.850]  Oh, we're gonna get it right here.
[25:48.970 --> 25:50.430]  Oh, my controller is...
[25:50.750 --> 25:51.030]  Sir?
[25:52.290 --> 25:54.850]  Hold on. I can't move.
[25:55.390 --> 25:55.910]  Oh god, dude.
[25:59.170 --> 26:01.070]  I can't out-move my controller.
[26:02.530 --> 26:03.390]  Hold on.
[26:05.810 --> 26:06.770]  I literally...
[26:07.170 --> 26:08.930]  Oh, my game's freaking out.
[26:09.170 --> 26:10.030]  Oh, maybe that's why?
[26:11.210 --> 26:12.590]  Signed in elsewhere.
[26:13.670 --> 26:15.450]  Wait, did someone turn on the other Xbox
[26:15.450 --> 26:16.250]  and sign me out?
[26:18.830 --> 26:20.630]  Gavin has left your Xbox Live party.
[26:20.970 --> 26:21.990]  Oh, shit!
[26:22.530 --> 26:23.950]  At least we weren't on a good run.
[26:24.990 --> 26:27.590]  You think your wife logged in?
[26:27.810 --> 26:28.170]  On a 360?
[26:29.370 --> 26:29.570]  What?
[26:30.130 --> 26:30.610]  Rayped.
[26:30.950 --> 26:33.050]  Why did you put me on Gavin's Xbox?
[26:33.510 --> 26:35.730]  Ray's controller hopped to the fifth Xbox
[26:35.730 --> 26:37.150]  and it signed me in.
[26:39.350 --> 26:40.850]  What do you mean?
[26:42.670 --> 26:44.330]  Now, that's never happened.
[26:44.470 --> 26:45.870]  I don't think we've ever had that happen.
[26:46.990 --> 26:49.330]  I've never seen anything like that.
[26:51.150 --> 26:52.970]  Hey, which Xbox do I connect?
[26:53.190 --> 26:54.290]  I also brought another controller.
[26:55.890 --> 26:57.570]  Well, part of this is because...
[26:57.570 --> 26:58.850]  They switch?
[26:59.110 --> 27:01.610]  The controllers literally just switch.
[27:02.310 --> 27:03.810]  Look, we're under the regulation budget.
[27:03.990 --> 27:05.670]  Geoff bought four cheap Chinese
[27:05.670 --> 27:06.930]  controllers off Amazon.
[27:07.330 --> 27:09.550]  It was unclear that they were cheap
[27:09.550 --> 27:11.150]  Chinese controllers when I bought them.
[27:11.410 --> 27:12.790]  They just looked like controllers.
[27:12.790 --> 27:14.630]  They say made in China on the battery thing
[27:14.630 --> 27:16.630]  and there's no X on the jewel.
[27:16.890 --> 27:18.790]  But they've done the job.
[27:19.870 --> 27:21.650]  Can we get some more support on Patreon
[27:21.650 --> 27:22.990]  so Geoff can afford an official
[27:22.990 --> 27:24.770]  fucking 360 controller?
[27:24.770 --> 27:27.950]  Look, I'm doing the best that I can here.
[27:27.990 --> 27:29.810]  Even if you got the wired version.
[27:32.010 --> 27:33.130]  What the fuck?
[27:34.230 --> 27:34.670]  Alright.
[27:35.890 --> 27:37.690]  I guess I need another invite.
[27:38.030 --> 27:39.850]  Thanks for coming over today, Ray.
[27:40.050 --> 27:40.410]  And Tina.
[27:40.850 --> 27:43.370]  Thanks for inviting us.
[27:43.830 --> 27:45.070]  I'm so glad. We've been
[27:45.710 --> 27:47.930]  trying to set this up, this exact
[27:47.930 --> 27:49.810]  thing up with you for almost two years now.
[27:49.930 --> 27:51.570]  It's taken us this long to get it.
[27:51.930 --> 27:52.130]  Yeah.
[27:53.750 --> 27:55.230]  Hopefully if we do this again
[27:55.230 --> 27:57.170]  there won't be 45 minutes of sign-in issues.
[27:57.490 --> 27:58.230]  Yeah, no.
[27:58.490 --> 27:59.870]  Next time I'll just bring my own Xbox.
[28:00.470 --> 28:02.710]  Well-oiled machine next time.
[28:03.430 --> 28:05.150]  But no, this has been a blast. I'm loving this.
[28:06.010 --> 28:07.050]  What year did you
[28:07.050 --> 28:07.590]  quit, Ray?
[28:08.730 --> 28:09.210]  2015.
[28:10.290 --> 28:11.470]  I would have guessed 2014.
[28:11.970 --> 28:14.770]  I think at the time we were actually doing a Rainbow Six
[28:15.810 --> 28:16.290]  campaign.
[28:16.930 --> 28:18.750]  It was either Rainbow Six or Mini Golf.
[28:19.230 --> 28:21.210]  Because Geoff just
[28:21.210 --> 28:23.030]  asked that we finish that playthrough before I left.
[28:23.110 --> 28:23.810]  And I'm like, yeah, absolutely.
[28:24.570 --> 28:27.190]  Instead of a two weeks notice, it was just a Mini Golf finish up.
[28:27.710 --> 28:28.490]  Pretty much, yeah.
[28:28.850 --> 28:30.050]  It was 18 holes notice.
[28:30.890 --> 28:32.850]  Alright, I'll give you a guess. 36 holes notice max.
[28:33.250 --> 28:35.070]  What if that's what we have to do? Whenever one of us quits
[28:35.070 --> 28:36.430]  we have to give an 18 hole notice.
[28:38.670 --> 28:39.150]  I remember
[28:39.150 --> 28:41.130]  telling Geoff in that meeting like, hey, this is like
[28:41.130 --> 28:42.990]  we don't have to make this whole thing. We don't need to have
[28:42.990 --> 28:45.110]  like a no episode about it and then fucking three hours
[28:45.110 --> 28:45.310]  later.
[28:47.490 --> 28:48.570]  Like I fucking hate it here.
[28:50.350 --> 28:51.690]  Alright, let's go. We all in?
[28:52.330 --> 28:52.930]  I'm joining.
[28:53.690 --> 28:55.390]  Okay. I knew something was up because
[28:55.890 --> 28:57.670]  I think it was the first time you'd ever like
[28:57.670 --> 28:59.030]  address the room with anything.
[28:59.430 --> 29:00.150]  I was like, oh.
[29:00.490 --> 29:03.570]  I tell a story all the time. That was
[29:03.570 --> 29:05.230]  the most stress I've ever been in my life.
[29:07.550 --> 29:09.570]  Hey, I'd like to address more than one of you at once
[29:09.570 --> 29:09.990]  for a second.
[29:11.270 --> 29:13.710]  I had to go and tell Geoff that I'm leaving and I'm like
[29:13.710 --> 29:15.750]  I'd rather anything else
[29:15.750 --> 29:16.450]  happen right now.
[29:16.450 --> 29:18.670]  That was a rough conversation.
[29:18.850 --> 29:20.550]  That was not great. But you know what Ray?
[29:21.250 --> 29:22.530]  I respected it and I
[29:22.530 --> 29:24.510]  appreciated your honesty and your
[29:25.270 --> 29:25.670]  forthrightness.
[29:26.730 --> 29:28.530]  And I appreciate you taking the conversation
[29:28.530 --> 29:30.590]  and kind of knowing what
[29:30.590 --> 29:31.890]  I was going to do or what I was going to say.
[29:32.410 --> 29:33.930]  Yeah, it was nice to
[29:34.530 --> 29:36.590]  see that you also immediately
[29:36.590 --> 29:38.610]  did well. Like your first day of streaming was insane.
[29:38.610 --> 29:40.490]  Yeah, that was stressful. I'm glad and
[29:40.950 --> 29:42.570]  now ten plus years later it's still
[29:42.570 --> 29:44.510]  my full time job. The way I tried
[29:44.510 --> 29:46.570]  to explain it to people would be when they'd ask me like
[29:47.110 --> 29:48.450]  if I was upset about it, I'd be like
[29:48.450 --> 29:50.710]  why would I be upset with Ray
[29:50.710 --> 29:51.910]  for betting on Ray?
[29:52.390 --> 29:54.450]  The reason I'm Rooster Teeth exists is
[29:54.450 --> 29:56.430]  because we bet on ourselves, you know?
[29:57.050 --> 29:58.690]  True. And it's like it would be so
[29:58.690 --> 30:00.450]  it would be so fucked of me
[30:00.450 --> 30:01.490]  as a person to
[30:02.510 --> 30:04.370]  not support other people that
[30:04.370 --> 30:06.690]  are my friends when they try to do the same thing
[30:06.690 --> 30:07.590]  I did.
[30:08.470 --> 30:10.370]  I'm not saying what you did was very different
[30:10.370 --> 30:12.010]  but you know what I mean, like take a chance,
[30:12.010 --> 30:14.130]  roll the dice, go out on your
[30:14.130 --> 30:14.430]  own.
[30:16.530 --> 30:18.050]  Also I figured you'd fail and you'd be back
[30:18.050 --> 30:20.070]  in three months. Yeah, yeah, absolutely. I was young
[30:20.070 --> 30:21.990]  enough to have to just blow up in my face and be like, hey Geoff,
[30:22.130 --> 30:22.330]  psych.
[30:23.910 --> 30:26.230]  Gotcha. I didn't even put your notice
[30:26.230 --> 30:27.030]  in for like a- Oh shit!
[30:28.310 --> 30:30.030]  Goddamn Gavin. I remember being really
[30:30.590 --> 30:31.990]  bummed but then there
[30:31.990 --> 30:34.070]  were a lot of breaching
[30:34.070 --> 30:35.510]  charges in Minecraft that year.
[30:38.790 --> 30:40.210]  You were actually the reason I left.
[30:40.210 --> 30:40.530]  Yeah.
[30:41.690 --> 30:42.770]  I always felt that way.
[30:44.930 --> 30:46.110]  Your last day,
[30:46.350 --> 30:48.370]  Ray, coincidentally, I just happened
[30:48.370 --> 30:49.570]  to go to Austin
[30:49.990 --> 30:52.290]  your final week. And it was one of the
[30:52.290 --> 30:54.270]  most awkward things where you were saying goodbye
[30:54.270 --> 30:56.410]  to everybody in like a big circle
[30:56.410 --> 30:58.070]  and I had just met you
[30:58.070 --> 31:00.230]  and I was in the room and I was like, I guess I'm part
[31:00.230 --> 31:02.090]  of the circle but I have no business being there.
[31:02.410 --> 31:04.230]  You don't know me. It's weird.
[31:05.250 --> 31:06.550]  I think we shook hands
[31:06.550 --> 31:08.330]  and I was like, I don't know what I'm supposed to do
[31:08.330 --> 31:09.890]  here. I tagged you in.
[31:10.250 --> 31:11.570]  I'm out, I'm tagging you in.
[31:12.410 --> 31:14.430]  It's so fucking funny how
[31:14.990 --> 31:16.410]  quietly Andrew was around
[31:16.410 --> 31:17.790]  for so much important stuff.
[31:19.790 --> 31:20.490]  To the point
[31:20.490 --> 31:22.370]  where if he was around, it's like, oh, what's
[31:22.370 --> 31:24.270]  gonna happen? He was like Forrest Gump in the movie.
[31:24.410 --> 31:26.670]  He was part of so many very important things.
[31:26.870 --> 31:27.990]  Oh, there he is with JFK.
[31:32.660 --> 31:33.320]  Grenade out.
[31:34.360 --> 31:34.760]  Yuppers.
[31:37.720 --> 31:38.520]  I'm inside.
[31:40.840 --> 31:42.560]  Oh, I'm flashed.
[31:43.100 --> 31:43.580]  Oh, Ray.
[31:43.820 --> 31:46.080]  Oh, behind! Maybe? I don't know.
[31:46.540 --> 31:48.100]  In the garage?
[31:48.960 --> 31:49.260]  Garage?
[31:49.720 --> 31:51.060]  They went to our spawn location.
[31:51.460 --> 31:53.920]  He threw a grenade.
[31:54.320 --> 31:56.240]  He threw a grenade. He flashbanged
[31:56.240 --> 31:56.680]  me again.
[32:01.100 --> 32:02.220]  Nice. Oh, fuck.
[32:03.000 --> 32:04.260]  Alright, I died once. There's one guy
[32:04.260 --> 32:06.200]  in one of the repel areas. Also, I think I just leveled up
[32:06.200 --> 32:06.960]  something. What the fuck?
[32:09.260 --> 32:10.080]  To your right.
[32:10.480 --> 32:11.580]  Gavin in that. Right there.
[32:12.780 --> 32:13.920]  I'm gonna go clear fountain.
[32:16.260 --> 32:17.700]  Ah, shit. Ah, shit!
[32:18.160 --> 32:18.760]  Let me get out of your way.
[32:20.220 --> 32:21.960]  I'm gonna support you, Andrew, since they're...
[32:22.760 --> 32:23.680]  Well, nevermind. Ray went to.
[32:24.740 --> 32:25.680]  On the patio.
[32:25.760 --> 32:26.580]  I think it's clear.
[32:28.420 --> 32:29.540]  Still on the patio, I think.
[32:32.640 --> 32:33.660]  Yup. Repelling.
[32:33.660 --> 32:33.720]  Repelling.
[32:36.300 --> 32:36.920]  Damn it.
[32:37.980 --> 32:38.820]  Flank around.
[32:40.200 --> 32:41.580]  A little flanksy. One at the
[32:41.580 --> 32:42.280]  repel location.
[32:43.480 --> 32:44.600]  Another one coming down the repel.
[32:46.200 --> 32:46.620]  Alright.
[32:48.620 --> 32:49.040]  Nice.
[32:49.880 --> 32:50.920]  Oh, he still got on the patio.
[32:51.120 --> 32:52.720]  I think another guy at repel as well.
[32:55.220 --> 32:57.360]  Oh, he just went
[32:57.360 --> 32:57.940]  inside the repel.
[33:02.180 --> 33:03.020]  One guy
[33:03.020 --> 33:04.420]  right next to me on patio, I think.
[33:05.600 --> 33:07.100]  Guys, there's only five people left.
[33:07.420 --> 33:09.120]  Four. Yeah. I got one of them in front
[33:09.120 --> 33:10.960]  of me. I just gotta kill... make... make
[33:11.320 --> 33:12.500]  him die. Okay.
[33:15.400 --> 33:16.540]  Oh, that's a grenade. Alright, he's dead.
[33:16.800 --> 33:18.160]  It went up in the top window. Oh, fuck.
[33:18.920 --> 33:20.180]  Alright, two more. Two more?
[33:20.660 --> 33:20.980]  Wow.
[33:22.980 --> 33:24.220]  Oh! Oh, no.
[33:24.720 --> 33:26.620]  Living room. Oh, Ray,
[33:26.680 --> 33:28.040]  behind you. Oh, yup, yup, yup. Upstairs.
[33:28.420 --> 33:28.740]  Yup, yup.
[33:32.020 --> 33:32.580]  One more!
[33:32.960 --> 33:34.760]  I'm gonna do it before the game ends.
[33:35.480 --> 33:36.740]  I think this guy's still on the patio.
[33:36.760 --> 33:37.380]  He's still on the patio.
[33:39.180 --> 33:40.000]  Oh, I got him. Sorry.
[33:41.700 --> 33:42.260]  Let's go.
[33:42.980 --> 33:44.620]  All we had to do was reminisce about
[33:44.620 --> 33:46.140]  the good old days. There you go.
[33:46.920 --> 33:48.420]  Wow, dude. Nobody died. Nice.
[33:48.620 --> 33:50.100]  That was no deaths. Perfect.
[33:50.480 --> 33:51.600]  Yo, Gavin, we carry the game. Let's go.
[33:53.460 --> 33:54.720]  I don't think I was ever
[33:55.120 --> 33:56.540]  this close to you in the leaderboard back
[33:56.540 --> 33:57.000]  in the day.
[33:58.480 --> 34:00.920]  I've fallen off. I'm 35 now.
[34:01.540 --> 34:03.000]  Well, there you have it. That's another
[34:03.000 --> 34:05.020]  what we like to call absolute
[34:05.020 --> 34:06.500]  fucking clinic
[34:06.500 --> 34:08.680]  on how to beat that level on
[34:08.680 --> 34:11.120]  Realistic. You're gonna need four of the best
[34:11.120 --> 34:12.700]  gamers on the planet Earth.
[34:12.760 --> 34:14.580]  Thanks for having me again, Geoff.
[34:14.660 --> 34:16.320]  Oh, thank you for being here. Oh, dude, no problem.
[34:16.740 --> 34:19.060]  Can I have my documentation again before I leave?
[34:19.660 --> 34:21.140]  It is weird you needed this.
[34:21.340 --> 34:22.380]  You know me.
[34:23.460 --> 34:24.540]  I'll mail it to you.
[34:25.300 --> 34:26.960]  Ray, we'll just go ahead and make
[34:26.960 --> 34:28.860]  this a weekly Thursday thing.
[34:28.860 --> 34:30.080]  So go ahead and see you next week.
[34:30.400 --> 34:32.420]  How many...
[34:33.980 --> 34:34.780]  How many
[34:34.780 --> 34:36.840]  fucking maps are there?
[34:37.060 --> 34:38.760]  Too many. I think it's like 10
[34:38.760 --> 34:39.740]  or something, maybe more.
[34:40.320 --> 34:41.820]  Because this is a mode they actually cared about.
[34:42.180 --> 34:43.620]  All the multiplayer maps.
[34:45.240 --> 34:46.640]  You have to check. I can't check.
[34:46.820 --> 34:48.380]  What if we just do two maps every year?
[34:48.940 --> 34:50.800]  Two maps a year. Two maps a year?
[34:51.100 --> 34:52.920]  Let's do it. I promise every time
[34:52.920 --> 34:54.620]  I'll get as many kills as I have eyes.
[34:54.740 --> 34:56.140]  That's my promise to you all.
[34:56.140 --> 34:57.000]  Oh god.
[34:58.380 --> 35:00.020]  Alright, that sounds good. Go ahead
[35:00.020 --> 35:02.480]  and check out our Patreon if you get a chance.
[35:02.760 --> 35:03.180]  Please do.
[35:04.400 --> 35:06.180]  Go ahead and check out Ray
[35:06.180 --> 35:08.020]  Twitch.com slash
[35:08.020 --> 35:09.520]  Twitch.tv slash Ray.
[35:09.720 --> 35:11.920]  There you go. Twitch.com slash Ray TV.
[35:12.140 --> 35:12.920]  Slash Ray is great.
[35:14.800 --> 35:16.320]  You'll find me. Just type in Ray.
[35:16.540 --> 35:17.040]  Who cares?
[35:17.520 --> 35:19.320]  That's a great get, the old slash Ray.
[35:19.780 --> 35:21.880]  It took me six years to
[35:22.620 --> 35:23.700]  argue with them to get it.
[35:23.700 --> 35:25.800]  Alright, that's it.
[35:25.960 --> 35:26.800]  Bye!
[35:27.220 --> 35:27.720]  Bye!
