[00:00.000 --> 00:01.520]  I changed my head.
[17:42.020 --> 17:44.160]  Geoff, we're just gonna start running into shit.
[17:44.360 --> 17:45.400]  Like that. Go left.
[17:45.680 --> 17:46.220]  No, no, no.
[17:46.520 --> 17:48.380]  Oh, oh.
[17:50.300 --> 17:51.720]  Somehow on the other side of that.
[17:52.700 --> 17:53.760]  There we go.
[17:54.420 --> 17:55.960]  I think we have to go this way.
[17:56.860 --> 17:57.520]  What are you guys doing?
[17:58.160 --> 17:59.560]  That thing's moving us a bit.
[18:00.140 --> 18:01.860]  Alright, well let's try...
[18:01.860 --> 18:02.320]  Hang on, hang on.
[18:03.800 --> 18:04.600]  Holy shit.
[18:05.640 --> 18:07.040]  We gotta throw...
[18:07.040 --> 18:08.300]  There we go, there we go.
[18:09.340 --> 18:10.920]  I think Andy Dalton might live here.
[18:11.200 --> 18:11.840]  Hang on, we gotta hold...
[18:11.840 --> 18:13.560]  Hold X.
[18:14.660 --> 18:16.020]  There we go, there we go.
[18:16.400 --> 18:17.640]  We gotta throw it into that one though.
[18:18.980 --> 18:19.660]  Alright, where are we going?
[18:19.860 --> 18:21.060]  Okay, let me grab the other side.
[18:21.920 --> 18:22.720]  Come on, sir.
[18:23.580 --> 18:24.740]  Why does it keep doing that?
[18:25.500 --> 18:26.760]  No! Yes!
[18:27.100 --> 18:29.240]  Can we break these?
[18:29.880 --> 18:32.840]  We have to break all this stuff.
[18:33.680 --> 18:34.820]  Give me a hand with that.
[18:35.000 --> 18:35.700]  Let's go in here.
[18:37.140 --> 18:38.560]  Can we go over there?
[18:39.200 --> 18:40.820]  Oh, let's just chuck it, maybe.
[18:40.980 --> 18:42.300]  We might not have to break...
[18:42.300 --> 18:43.600]  Geoff, we don't have to break anything in here.
[18:43.700 --> 18:44.940]  We just have to get everything out of there.
[18:46.420 --> 18:48.160]  Let's just grab this and start moving stuff.
[18:49.260 --> 18:50.800]  Start jumping to get through.
[18:51.800 --> 18:53.180]  Oh, what an annoying spot.
[18:54.140 --> 18:55.260]  Alright, we gotta chuck it out.
[18:56.780 --> 18:57.960]  It's to the left now.
[18:58.320 --> 18:58.920]  Hang on, hang on.
[18:58.940 --> 18:59.920]  We got something in here too.
[18:59.920 --> 19:00.300]  Yeah!
[19:01.380 --> 19:03.320]  If we can clear out room by room,
[19:03.440 --> 19:04.580]  I think we'll be effective.
[19:05.600 --> 19:06.320]  Oh, fuck!
[19:07.320 --> 19:09.360]  I don't think we need to break anything else.
[19:09.460 --> 19:10.420]  There we go.
[19:12.680 --> 19:15.140]  Hit Y and see if there's anything in there you need to grab.
[19:16.120 --> 19:16.400]  Whoa!
[19:17.320 --> 19:19.180]  Geoff, do you want to help me in here?
[19:19.260 --> 19:20.960]  There's a present up at the top.
[19:22.420 --> 19:23.920]  I'll grab the other side.
[19:24.080 --> 19:25.080]  This is a bouncy room.
[19:27.260 --> 19:27.680]  Oh, Andrew,
[19:27.680 --> 19:29.320]  I think we need to chuck this out of here.
[19:29.540 --> 19:30.240]  Oh, never mind.
[19:31.320 --> 19:31.840]  Ignore me.
[19:32.100 --> 19:33.280]  We have a lot of weight.
[19:35.760 --> 19:37.120]  I think I can get around it.
[19:37.500 --> 19:37.820]  There we go.
[19:39.500 --> 19:40.140]  We're good.
[19:41.600 --> 19:42.520]  Jump, jump, jump.
[19:43.560 --> 19:44.840]  You might have to throw it, dude.
[19:45.560 --> 19:46.780]  Yeah, you gotta throw it over that.
[19:47.480 --> 19:48.800]  Alright, let me get over to the other side.
[19:50.040 --> 19:50.580]  Try to.
[19:53.040 --> 19:54.140]  I'm trying to drag it back.
[19:54.320 --> 19:54.600]  There you go.
[19:55.180 --> 19:56.520]  Gummy bear couch.
[19:56.720 --> 19:57.140]  Oh.
[19:58.520 --> 19:59.460]  Try one more time.
[19:59.920 --> 20:01.380]  I'm trying to fucking hold it.
[20:01.520 --> 20:02.320]  There we go.
[20:05.420 --> 20:06.020]  Let's go.
[20:06.200 --> 20:07.660]  We gotta go out and around here.
[20:09.240 --> 20:10.580]  We're killing this, Nick.
[20:10.820 --> 20:12.500]  We're doing so good.
[20:12.740 --> 20:14.000]  Ah! Ah! Ah! Ah!
[20:14.240 --> 20:18.200]  We got a team lift.
[20:18.420 --> 20:19.500]  We got two team lifts here.
[20:19.900 --> 20:20.980]  I'll help you chuck this.
[20:20.980 --> 20:21.800]  Thank you.
[20:21.800 --> 20:24.600]  Hang on, Nick.
[20:24.980 --> 20:26.160]  Come to the back.
[20:27.380 --> 20:28.160]  I'm coming.
[20:28.940 --> 20:30.460]  Geoff, I'm coming to you.
[20:31.120 --> 20:32.200]  There we go.
[20:32.760 --> 20:34.580]  All the way.
[20:34.940 --> 20:36.620]  Yeah, baby.
[20:36.840 --> 20:37.260]  Oh, no, no.
[20:38.040 --> 20:38.820]  Oh, you drowned.
[20:39.900 --> 20:40.320]  That's sad.
[20:41.300 --> 20:43.420]  That sounded not that it wasn't sad.
[20:44.040 --> 20:45.580]  Help me at the very top.
[20:47.780 --> 20:48.660]  There you go.
[20:48.660 --> 20:50.160]  Oh, Andrew's got me.
[20:52.720 --> 20:53.320]  There it goes.
[20:53.620 --> 20:55.640]  All the way. That's what I'm talking about.
[20:55.780 --> 20:57.220]  Can somebody help me get this over the hump here?
[20:57.380 --> 20:57.780]  It's a tour.
[20:59.060 --> 21:02.280]  Oh, fuck. It just moved us all.
[21:02.380 --> 21:02.680]  Hang on.
[21:05.240 --> 21:05.600]  There it goes.
[21:05.980 --> 21:06.500]  I'm coming, Andrew.
[21:07.580 --> 21:08.940]  Geoff, can you help Nick in the bottom?
[21:09.920 --> 21:10.980]  Help me, please.
[21:12.140 --> 21:12.560]  Let's go.
[21:13.140 --> 21:14.340]  Throw this shit back.
[21:14.340 --> 21:15.000]  There we go.
[21:15.440 --> 21:16.380]  What is this?
[21:16.820 --> 21:18.680]  Oh, that's the last of it.
[21:19.380 --> 21:20.380]  That's the last thing.
[21:21.680 --> 21:22.880]  There you go.
[21:23.120 --> 21:24.980]  Good, good, good.
[21:25.080 --> 21:26.740]  Throw it up there if you can.
[21:27.340 --> 21:28.740]  You're not going to be able to fit it otherwise.
[21:30.700 --> 21:31.420]  Let's try.
[21:32.380 --> 21:33.040]  Wrong way.
[21:34.400 --> 21:34.680]  Yeah!
[21:35.520 --> 21:36.160]  There we go.
[21:37.260 --> 21:37.740]  Easy.
[21:39.500 --> 21:40.920]  You pair off.
[21:40.920 --> 21:41.980]  Team up.
[21:42.480 --> 21:43.380]  Boom, boom.
[21:43.520 --> 21:44.400]  So who lives here?
[21:44.560 --> 21:47.240]  It's Andy Dalton, Ron Howard.
[21:48.520 --> 21:49.440]  Who else?
[21:50.860 --> 21:52.100]  Price Dallas Howard.
[21:53.000 --> 21:54.660]  The whole Howard clan.
[21:55.120 --> 21:56.640]  The whole ginger district.
[21:57.200 --> 21:57.980]  Oh, man.
[21:58.240 --> 22:00.180]  We fucking nailed that, dude.
[22:00.360 --> 22:01.300]  Made it in four seconds.
[22:01.320 --> 22:02.360]  That might be a world record.
[22:03.840 --> 22:07.520]  I feel like we were bad at that and we still beat it with a minute left.
[22:07.520 --> 22:07.740]  No, no.
[22:07.740 --> 22:09.360]  We teamed up.
[22:09.440 --> 22:11.040]  We teamed up really well.
[22:11.300 --> 22:13.400]  And effectively took...
[22:13.400 --> 22:14.780]  Who's this fucking nerd?
[22:15.940 --> 22:16.860]  Stinky Dragon.
[22:17.880 --> 22:19.320]  Great job, team. You found another...
[22:19.320 --> 22:19.560]  No!
[22:20.440 --> 22:23.300]  Maybe the portal can open up a little and we can peek in.
[22:24.460 --> 22:25.360]  Uh, nope.
[22:26.660 --> 22:27.980]  I don't need...
[22:27.980 --> 22:29.720]  Interdimensional nerd talking.
[22:30.320 --> 22:30.860]  I was...
[22:31.340 --> 22:32.980]  We're back over here all of a sudden?
[22:33.420 --> 22:34.740]  Yeah, but go back up to Candy Place.
[22:35.060 --> 22:36.660]  Well, hold on. Let's talk to this nerd.
[22:37.340 --> 22:38.260]  Yeah, let's talk to the nerd.
[22:38.540 --> 22:39.520]  How do we get to the nerd?
[22:39.920 --> 22:40.880]  I don't want to talk to the nerd.
[22:40.980 --> 22:42.660]  There's no talking to the nerd.
[22:44.180 --> 22:45.400]  Let's go back to Candyland.
[22:46.320 --> 22:47.580]  Let's go back to Candyland.
[22:48.780 --> 22:49.420]  Fucking nerd.
[22:50.540 --> 22:52.880]  I was streaming on Twitch last night and some person was like,
[22:52.920 --> 22:54.600]  Hey, I've never... I don't know who you are,
[22:55.040 --> 22:56.180]  but I recognize your voice.
[22:56.260 --> 22:57.240]  Have you been on Stinky Dragon?
[22:58.680 --> 22:59.000]  Wow!
[22:59.740 --> 23:01.040]  It was like, that's what you...
[23:01.040 --> 23:03.340]  That was it? Stinky Dragon?
[23:04.180 --> 23:04.740]  That's awesome.
[23:05.040 --> 23:06.100]  That's cool, man. Crazy.
[23:06.960 --> 23:09.980]  Alright, we've done Gingerbread Testing Facility.
[23:10.100 --> 23:11.160]  How do we get up there?
[23:11.640 --> 23:13.220]  Oh, oh, oh, go up on the honeycomb.
[23:15.060 --> 23:15.300]  No?
[23:15.620 --> 23:16.360]  Uh, no.
[23:16.700 --> 23:17.360]  Oh, there it goes.
[23:18.660 --> 23:19.160]  Wow!
[23:20.260 --> 23:21.540]  This is dumb. This sucks.
[23:21.600 --> 23:22.240]  Hell yeah.
[23:23.260 --> 23:26.040]  Look, guys! A basketball game!
[23:26.960 --> 23:28.740]  Dude, I love...
[23:28.740 --> 23:30.720]  Ice cream sandwich.
[23:31.040 --> 23:32.680]  Alright, pass scores 2,
[23:32.760 --> 23:33.480]  pro scores 8.
[23:34.620 --> 23:36.200]  We're aces at this.
[23:36.780 --> 23:38.880]  I'm gonna be... Geoff, you can be
[23:39.660 --> 23:40.780]  Luka Dongchich
[23:40.780 --> 23:42.380]  and I'm gonna be Zach Collins.
[23:42.640 --> 23:44.320]  Backup center for the
[23:45.240 --> 23:46.340]  San Antonio Spurs.
[23:46.720 --> 23:48.620]  I'm Ray Allen in 2009.
[23:48.920 --> 23:51.160]  No, 2008. I'm 2008 Ray Allen.
[23:51.580 --> 23:52.640]  I'm Anuja Nobly!
[23:53.280 --> 23:54.000]  Oh, no.
[23:54.160 --> 23:55.820]  Get the highest score before the time runs out.
[23:55.820 --> 23:56.140]  Alright.
[23:56.880 --> 23:59.300]  Oh, no. It's duos.
[23:59.620 --> 24:00.280]  Alright, Geoff.
[24:01.140 --> 24:02.180]  Me and you.
[24:02.660 --> 24:03.760]  Go to the left.
[24:04.660 --> 24:06.480]  Grab a ball!
[24:07.320 --> 24:08.280]  Andrew, this way.
[24:08.600 --> 24:09.200]  Ready?
[24:11.600 --> 24:12.940]  Wait, wait, wait.
[24:13.400 --> 24:14.540]  We load it.
[24:14.800 --> 24:15.920]  We load it.
[24:16.880 --> 24:17.240]  Oh!
[24:19.540 --> 24:20.280]  What are you doing?
[24:20.640 --> 24:21.520]  What's happening?
[24:22.480 --> 24:22.880]  Oh!
[24:23.180 --> 24:24.560]  You put it to the front.
[24:26.100 --> 24:28.660]  Geoff, that's you.
[24:29.980 --> 24:31.120]  Hang on, we gotta pull it back.
[24:32.580 --> 24:32.940]  Ready?
[24:33.180 --> 24:34.560]  Wait, wait, wait.
[24:35.660 --> 24:36.460]  Hang on.
[24:37.100 --> 24:37.680]  Right there.
[24:39.080 --> 24:39.700]  Come on!
[24:41.260 --> 24:43.260]  So you gotta pull it really far.
[24:43.400 --> 24:45.520]  Here, Geoff, you wanna keep shooting and I'll keep
[24:45.520 --> 24:46.000]  loading it up?
[24:47.680 --> 24:49.460]  You gotta pull it back further, I think.
[24:49.460 --> 24:50.780]  How do I pull it back?
[24:51.060 --> 24:52.620]  Oh, hang on. It's two people.
[24:53.420 --> 24:54.200]  That's my bad.
[24:56.280 --> 24:57.460]  There we go.
[24:58.000 --> 24:59.400]  But the ball isn't loaded up.
[24:59.820 --> 25:01.160]  How do you guys load up the ball?
[25:01.640 --> 25:02.540]  You put it on the front.
[25:04.240 --> 25:05.420]  How did you do that?
[25:05.600 --> 25:05.660]  Oh!
[25:06.820 --> 25:07.700]  Geoff, come.
[25:09.560 --> 25:10.000]  Teamwork!
[25:10.360 --> 25:12.580]  Hang on. There it is.
[25:13.340 --> 25:13.960]  That's in.
[25:15.120 --> 25:15.560]  No!
[25:15.560 --> 25:15.880]  No!
[25:18.440 --> 25:19.500]  We're redoing this
[25:19.500 --> 25:21.380]  so fucking hard, and also
[25:21.380 --> 25:23.620]  I want to only play this from now on.
[25:23.700 --> 25:24.860]  Yeah, fuck the rest of the game.
[25:25.420 --> 25:27.180]  Hey, you guys wanna switch to golf?
[25:29.120 --> 25:30.760]  Hang on, hang on. We gotta go left.
[25:32.640 --> 25:33.160]  That's in.
[25:33.380 --> 25:34.200]  Backboard shot!
[25:35.620 --> 25:36.360]  Boom, baby.
[25:37.000 --> 25:39.320]  Geoff, we're loaded up. Let's go.
[25:39.420 --> 25:40.040]  Alright, let's go.
[25:41.580 --> 25:41.980]  Go!
[25:41.980 --> 25:42.580]  Go!
[25:44.020 --> 25:44.740]  Bank shot!
[25:45.680 --> 25:48.040]  Guys, me and Geoff made it.
[25:48.120 --> 25:49.900]  How come you didn't make it?
[25:50.160 --> 25:51.080]  Me and Geoff made it.
[25:51.220 --> 25:52.220]  Alright, here we go.
[25:53.200 --> 25:54.400]  We gotta go back this way.
[25:55.560 --> 25:56.440]  We got this.
[25:58.140 --> 25:58.860]  Come on!
[25:59.860 --> 26:00.360]  I'll load it up.
[26:00.680 --> 26:02.520]  And fire!
[26:04.500 --> 26:04.860]  No!
[26:06.500 --> 26:07.660]  We gotta redo this.
[26:07.900 --> 26:08.520]  Alright, one more.
[26:08.520 --> 26:09.120]  We gotta redo this.
[26:09.780 --> 26:10.940]  Well, now we know what to do.
[26:11.420 --> 26:13.720]  My ball wasn't loading up every time I put it there.
[26:13.860 --> 26:14.600]  I know, it's crazy.
[26:15.120 --> 26:16.460]  It had to, like, grip.
[26:16.840 --> 26:19.360]  Hey, did you guys get your free taquito coupon?
[26:20.240 --> 26:20.600]  No.
[26:21.020 --> 26:21.800]  What the hell?
[26:22.320 --> 26:23.520]  No, they handed them out.
[26:23.580 --> 26:25.060]  We walked right by the person who handed them out.
[26:28.920 --> 26:30.240]  Let's do restart job.
[26:30.420 --> 26:30.820]  What did we get?
[26:33.580 --> 26:33.940]  100%.
[26:33.940 --> 26:35.360]  That guy was incredible, though.
[26:37.700 --> 26:38.780]  At the basketball game.
[26:38.980 --> 26:40.300]  Alright, Geoff, I'm gonna load up.
[26:40.500 --> 26:41.780]  And you start...
[26:41.780 --> 26:42.320]  I'll start pulling.
[26:43.260 --> 26:45.580]  I'm gonna go to the left, and you're gonna get it going.
[26:45.960 --> 26:47.240]  I'm gonna immediately load, Nick.
[26:47.400 --> 26:48.320]  Okay, I'll be waiting.
[26:49.520 --> 26:50.100]  Come on.
[26:50.280 --> 26:51.820]  God, there's so many A's I have to hit.
[26:51.980 --> 26:52.300]  I know.
[26:53.900 --> 26:54.620]  Hang on.
[26:56.680 --> 26:58.300]  Okay, load it up.
[26:59.920 --> 27:01.000]  Hang on, wait, wait, wait.
[27:02.080 --> 27:02.460]  There it is.
[27:02.460 --> 27:03.500]  There we go.
[27:04.200 --> 27:05.900]  Come on, get in there.
[27:06.600 --> 27:07.460]  No way!
[27:07.740 --> 27:08.140]  Shit!
[27:10.100 --> 27:10.680]  Yeah!
[27:12.100 --> 27:12.680]  Perfectly!
[27:13.500 --> 27:14.820]  That's good, that's good.
[27:16.460 --> 27:17.400]  There we go.
[27:18.680 --> 27:19.100]  Quick, Andrew.
[27:20.060 --> 27:21.700]  Fuck, fuck, it's not...
[27:23.000 --> 27:23.900]  That's gonna work.
[27:24.400 --> 27:25.460]  Oh, it's too left.
[27:26.100 --> 27:26.600]  Too left.
[27:27.820 --> 27:28.400]  Middle.
[27:28.400 --> 27:29.400]  Wait, wait, wait.
[27:29.440 --> 27:30.600]  There we go.
[27:31.940 --> 27:32.160]  Perfect.
[27:34.180 --> 27:35.220]  Okay, there we go.
[27:35.960 --> 27:36.520]  Oh, no!
[27:36.860 --> 27:37.660]  Oh, no!
[27:39.360 --> 27:41.260]  That was money, too.
[27:42.360 --> 27:43.580]  Oh, god damn it.
[27:43.900 --> 27:46.080]  I hope the NBA never does this.
[27:46.860 --> 27:48.420]  Oh, it moves so fast!
[27:49.060 --> 27:50.040]  That's such bullshit.
[27:50.560 --> 27:51.400]  Oh, get in!
[27:51.820 --> 27:52.380]  No!
[27:53.460 --> 27:56.880]  Okay, all the way right.
[27:56.880 --> 27:58.180]  Sorry, sorry.
[27:58.900 --> 27:59.960]  No, Geoff, too soon!
[28:00.580 --> 28:01.600]  My bad, my bad.
[28:01.920 --> 28:03.500]  You have to wait for the X to get up there.
[28:04.000 --> 28:04.460]  Okay, hold on.
[28:05.600 --> 28:06.620]  Here we go, pull back.
[28:08.720 --> 28:08.960]  Right there.
[28:10.360 --> 28:10.820]  That's in.
[28:12.680 --> 28:15.240]  That's five, that's better than last time.
[28:17.560 --> 28:18.240]  Come on!
[28:18.840 --> 28:20.640]  I think we gotta speed it up a little bit, Andrew.
[28:21.140 --> 28:22.440]  There we go, that's it, it's gonna work.
[28:22.660 --> 28:23.060]  Oh, no.
[28:23.060 --> 28:23.440]  No!
[28:25.060 --> 28:25.460]  Sorry.
[28:26.080 --> 28:26.860]  We're gonna have to do this again.
[28:28.940 --> 28:30.160]  We still got time.
[28:30.720 --> 28:32.620]  It's moving, it's moving, it's moving.
[28:33.040 --> 28:33.440]  Fire!
[28:34.540 --> 28:35.940]  No, it's not far enough.
[28:36.840 --> 28:37.240]  No!
[28:38.220 --> 28:38.620]  No!
[28:40.460 --> 28:41.900]  Okay, yeah, we're gonna have to do this again.
[28:43.260 --> 28:44.340]  Oh, no, come on!
[28:44.440 --> 28:45.900]  There we go, that's good.
[28:47.260 --> 28:48.740]  We're gonna get...
[28:48.740 --> 28:50.060]  Oh, hell yeah!
[28:50.060 --> 28:51.440]  How did we not make it?
[28:51.900 --> 28:53.120]  If we both hit it in.
[28:54.860 --> 28:56.500]  How many was that for us, Nick?
[28:56.620 --> 28:56.980]  Five?
[28:57.160 --> 28:59.180]  I think it's five or six.
[29:00.060 --> 29:02.220]  No, we got six, but I'm saying Nick and I
[29:02.220 --> 29:03.020]  think we got five.
[29:04.520 --> 29:06.860]  I'll have to watch a replay of that.
[29:07.000 --> 29:08.180]  I don't think so.
[29:08.480 --> 29:10.300]  Good news, we have four angles on that
[29:10.300 --> 29:10.840]  son of a bitch.
[29:11.560 --> 29:13.320]  We don't even have the people to edit.
[29:13.740 --> 29:14.660]  You want a replay?
[29:16.720 --> 29:18.020]  Oops, I hit the wrong button.
[29:18.020 --> 29:18.740]  Oh, cool!
[29:19.020 --> 29:20.680]  We can drive around again.
[29:21.440 --> 29:22.200]  One more time.
[29:23.020 --> 29:24.900]  This is what the all-star game should be.
[29:26.020 --> 29:27.680]  Can you imagine if Adam Silver
[29:27.680 --> 29:28.980]  was like, listen, I had a dream.
[29:29.240 --> 29:30.580]  Okay, I got a new idea.
[29:31.180 --> 29:33.700]  Candy balls, we're doing a chocolate river.
[29:34.160 --> 29:36.200]  Getting launched from a giant slingshot.
[29:36.820 --> 29:38.040]  Made of licorice.
[29:39.340 --> 29:40.300]  Honeycomb back...
[29:40.300 --> 29:40.620]  board.
[29:41.540 --> 29:42.500]  Alright, focus.
[29:43.300 --> 29:45.660]  Everyone has been asking about the four-point shot.
[29:45.660 --> 29:47.900]  I'm here to introduce the honeycomb backboard.
[29:51.580 --> 29:52.880]  Alright, Geoff, me and you again.
[29:53.820 --> 29:54.700]  Moving left.
[29:55.620 --> 29:55.900]  Alright.
[29:56.640 --> 29:57.820]  Here we go.
[29:59.560 --> 30:00.100]  Hang on.
[30:01.100 --> 30:02.140]  God damn it.
[30:03.540 --> 30:04.060]  Geoff!
[30:06.060 --> 30:07.700]  We helped him get in though.
[30:08.640 --> 30:09.760]  No, we didn't.
[30:09.840 --> 30:10.220]  Yeah, we did.
[30:10.500 --> 30:13.820]  We got the assist on that.
[30:13.820 --> 30:15.380]  There it is.
[30:15.760 --> 30:16.600]  Move, move, move.
[30:16.880 --> 30:17.400]  That's us.
[30:18.580 --> 30:19.340]  Oh, come on.
[30:19.840 --> 30:20.240]  Ah!
[30:22.820 --> 30:23.660]  Oh, what the hell?
[30:24.760 --> 30:26.940]  I got thrown across the level.
[30:27.300 --> 30:28.140]  Geoff, left her.
[30:29.980 --> 30:31.260]  Far back as we go.
[30:33.640 --> 30:34.440]  It's not gonna be in.
[30:34.900 --> 30:35.420]  It's not gonna be in.
[30:36.760 --> 30:37.360]  Thanks, man.
[30:38.760 --> 30:39.020]  Hang on.
[30:39.020 --> 30:39.760]  Oh.
[30:41.340 --> 30:42.440]  What the fuck?
[30:43.400 --> 30:44.460]  Where did you go?
[30:44.820 --> 30:45.760]  I don't know.
[30:46.740 --> 30:48.040]  What are you two doing?
[30:48.600 --> 30:51.620]  I keep getting launched across the level.
[30:51.720 --> 30:53.120]  Looks like we're scrolling again.
[30:53.360 --> 30:55.640]  We're also making baskets, so I don't know what you're doing.
[30:55.980 --> 30:58.100]  We pulled that to the right a little too much, I think.
[30:58.320 --> 30:58.920]  Fuck, yeah.
[30:59.060 --> 30:59.500]  I got this one.
[31:00.020 --> 31:01.080]  Don't worry, we scored.
[31:01.440 --> 31:02.940]  We got it. It's fine, guys.
[31:03.160 --> 31:07.020]  As soon as we let go, we should be...
[31:07.020 --> 31:09.040]  going for our own rebound, you know what I'm saying?
[31:09.400 --> 31:10.340]  Come on!
[31:10.860 --> 31:11.700]  Oh, shit.
[31:13.480 --> 31:13.600]  No!
[31:15.420 --> 31:16.020]  There we go.
[31:16.700 --> 31:18.300]  Oh, you see that switch?
[31:19.100 --> 31:20.220]  You see that switch?
[31:20.600 --> 31:22.380]  You see that switch over here?
[31:25.320 --> 31:25.880]  Alright.
[31:26.160 --> 31:27.220]  We just need one.
[31:27.900 --> 31:29.020]  Oh, drop.
[31:29.840 --> 31:32.540]  Go. Yeah, that's it.
[31:33.560 --> 31:34.120]  No.
[31:34.120 --> 31:34.320]  No.
[31:37.780 --> 31:38.600]  All the way left.
[31:38.960 --> 31:40.060]  All the way, all the way, all the way.
[31:40.360 --> 31:41.420]  Further. Pull back.
[31:41.980 --> 31:43.740]  I'm back as far as I can go, man.
[31:44.020 --> 31:44.840]  Oh, my God.
[31:46.640 --> 31:48.100]  What are you two doing?
[31:48.220 --> 31:49.040]  Fire at it!
[31:49.360 --> 31:50.320]  It wouldn't let us go.
[31:51.280 --> 31:52.100]  Get in there.
[31:53.380 --> 31:54.180]  Don't worry.
[31:55.280 --> 31:56.120]  We got you.
[31:58.320 --> 31:59.640]  I'm pretty sure...
[32:00.080 --> 32:02.060]  I think me and Geoff got six.
[32:02.060 --> 32:04.520]  So, I appreciate your help with the two.
[32:04.620 --> 32:05.740]  Of the eight, yeah.
[32:06.060 --> 32:08.280]  I believe you were counting the amount of times
[32:08.280 --> 32:10.480]  you fucking died by launching off the level.
[32:11.080 --> 32:12.040]  Not baskets.
[32:12.420 --> 32:13.560]  I don't know how that happened.
[32:13.880 --> 32:16.380]  I just... I just kept getting
[32:16.380 --> 32:18.480]  tossed, like, across
[32:18.480 --> 32:19.760]  so far.
[32:20.200 --> 32:21.620]  Never happened any other time.
[32:21.720 --> 32:24.100]  Just in that run. A bunch.
[32:24.460 --> 32:26.100]  Why did it keep happening so many times?
[32:26.400 --> 32:27.620]  It was fucking weird.
[32:28.300 --> 32:29.740]  I don't know what I was doing to cause it.
[32:29.740 --> 32:30.900]  I was just getting launched.
[32:31.020 --> 32:32.880]  Alright, do you think this will be last map?
[32:33.140 --> 32:34.160]  Yeah, let's do last map.
[32:34.440 --> 32:35.700]  I feel good about this one.
[32:37.040 --> 32:39.380]  Looks like it's another parlor game of some kind.
[32:39.920 --> 32:40.720]  Lollipop Gallery.
[32:41.820 --> 32:42.700]  Lollipop Gallery!
[32:43.340 --> 32:43.780]  24.
[32:45.160 --> 32:46.160]  Oh, goodness.
[32:46.440 --> 32:48.220]  What do we have to do?
[32:49.700 --> 32:51.240]  Your score is all that matters.
[32:51.740 --> 32:53.740]  Sunshine, lollipops, and rainbows, Eric.
[32:55.460 --> 32:57.200]  Oh, shit, it's a duos game again.
[32:57.200 --> 32:59.020]  Oh, man. Alright, Andrew.
[32:59.340 --> 33:00.180]  We're the team to beat.
[33:00.360 --> 33:02.900]  Alright, I got it.
[33:02.980 --> 33:04.000]  You and I both love loading.
[33:06.020 --> 33:06.100]  Oh!
[33:07.420 --> 33:07.900]  Yeah!
[33:08.640 --> 33:10.440]  There it is.
[33:11.140 --> 33:11.380]  Oh!
[33:13.240 --> 33:13.900]  Let's see.
[33:14.320 --> 33:15.480]  You say dropping loads?
[33:17.080 --> 33:18.560]  Definitely dropping loads.
[33:20.080 --> 33:21.040]  Alright, let's...
[33:21.040 --> 33:21.980]  We're gonna go all the way far.
[33:22.500 --> 33:23.760]  Hang on, they're going for it.
[33:24.160 --> 33:24.480]  Yeah!
[33:25.160 --> 33:27.120]  We got it, you little son of a gun!
[33:28.140 --> 33:28.760]  Yee-haw!
[33:29.160 --> 33:31.700]  You guys get the one in the top right, we'll get the smaller ones at the bottom.
[33:31.820 --> 33:32.500]  Geoff, you got it.
[33:33.180 --> 33:35.080]  Oh, my God, how did we miss that?
[33:36.000 --> 33:37.060]  That wasn't we, that was you.
[33:37.980 --> 33:38.760]  Hang on, wait, wait, wait.
[33:39.900 --> 33:40.640]  It's not in there.
[33:41.460 --> 33:43.920]  I think we could probably...
[33:43.920 --> 33:45.100]  It's not... Why won't it...
[33:45.100 --> 33:46.400]  There we go.
[33:47.280 --> 33:48.320]  Oh, fuck you!
[33:50.400 --> 33:50.720]  Now...
[33:50.720 --> 33:51.300]  There it is.
[33:52.640 --> 33:53.500]  Alright, good to know.
[33:53.880 --> 33:55.620]  I know exactly how much to lead it now.
[33:55.960 --> 33:56.420]  Alright, here we go.
[33:58.160 --> 33:59.860]  You get the one down here.
[34:00.520 --> 34:02.160]  Alright, I got this one.
[34:02.260 --> 34:02.640]  There you go.
[34:04.220 --> 34:05.780]  You guys get the one in the top if you can.
[34:06.940 --> 34:09.000]  We will as soon as we...
[34:09.000 --> 34:09.460]  Never mind.
[34:10.600 --> 34:11.360]  You're good.
[34:12.260 --> 34:12.600]  Fire!
[34:13.620 --> 34:14.960]  Geoff got the star!
[34:15.380 --> 34:16.100]  Hell yeah!
[34:16.100 --> 34:16.420]  Star!
[34:19.140 --> 34:19.660]  Oh, no.
[34:21.400 --> 34:22.540]  What a shot!
[34:24.220 --> 34:25.240]  Me and you, Geoff.
[34:25.380 --> 34:25.880]  All the way up there.
[34:27.200 --> 34:27.420]  Boom!
[34:28.480 --> 34:29.220]  Fuck you!
[34:30.960 --> 34:33.460]  Low is one person, high is two people.
[34:34.760 --> 34:35.000]  Nice.
[34:35.100 --> 34:37.860]  If you guys can focus on high and we can go for low,
[34:37.980 --> 34:38.900]  I feel good about this.
[34:39.200 --> 34:40.900]  Yeah, when you go high, we go low.
[34:41.180 --> 34:42.280]  Damn, I was about to say that.
[34:42.280 --> 34:43.360]  Except the other.
[34:44.700 --> 34:45.140]  Go for it, Geoff.
[34:46.780 --> 34:47.260]  Fire!
[34:48.300 --> 34:49.180]  Oh, I think I got it.
[34:49.940 --> 34:50.420]  Nice.
[34:52.260 --> 34:53.820]  Hit the star if you can.
[34:54.160 --> 34:54.980]  He's too high.
[34:55.720 --> 34:57.720]  No, too fast.
