[00:00.000 --> 00:00.680]  Andrew, thoughts?
[18:19.090 --> 18:19.250]  Woo!
[18:20.730 --> 18:21.230]  Woo!
[18:22.710 --> 18:25.270]  Oh, BMW texted me.
[18:25.430 --> 18:25.770]  Die.
[18:27.770 --> 18:29.350]  I can just hear the sound
[18:29.350 --> 18:30.610]  of a text being opened.
[18:30.890 --> 18:31.890]  I have a car again.
[18:32.430 --> 18:35.410]  Oh, we have to keep them in the net.
[18:35.930 --> 18:36.230]  Oh.
[18:36.370 --> 18:37.870]  How do we make the net real?
[18:38.650 --> 18:39.670]  There we go.
[18:39.670 --> 18:40.130]  For real?
[18:42.450 --> 18:43.710]  Seems like we have to stay in position.
[18:43.730 --> 18:45.910]  Let's all focus on one at a time.
[18:46.030 --> 18:46.430]  There we go.
[18:48.210 --> 18:49.510]  Let's get this one.
[18:50.270 --> 18:51.070]  There's two.
[18:51.490 --> 18:52.450]  Let's move to the right.
[18:53.630 --> 18:54.910]  Focus on just one.
[18:55.550 --> 18:55.950]  Nope.
[18:57.370 --> 18:58.030]  There we go.
[18:58.070 --> 18:58.730]  Which one are we doing?
[18:59.110 --> 18:59.970]  The one on the left.
[19:01.330 --> 19:04.790]  Perfect. Up top.
[19:05.270 --> 19:05.510]  This one.
[19:05.510 --> 19:06.150]  Here we go.
[19:06.990 --> 19:08.030]  I'm going to do this one again.
[19:08.170 --> 19:10.290]  I'm going to be really easy next time.
[19:10.630 --> 19:11.030]  Easy.
[19:12.630 --> 19:14.430]  We didn't know what we were doing for half the timer.
[19:15.810 --> 19:16.910]  We still got four of six.
[19:17.990 --> 19:19.710]  Man, people keep posting the 501 thing
[19:19.710 --> 19:21.250]  in the chat and it's really confusing me.
[19:22.750 --> 19:23.410]  There we go.
[19:23.790 --> 19:24.830]  Let's just spread out more.
[19:25.230 --> 19:25.850]  Get fucked.
[19:27.070 --> 19:28.030]  There you go.
[19:28.350 --> 19:29.010]  Get all this shit.
[19:29.730 --> 19:30.390]  Two of them.
[19:30.390 --> 19:30.650]  There you go.
[19:30.730 --> 19:30.950]  Down.
[19:35.150 --> 19:36.110]  Get big.
[19:38.610 --> 19:40.410]  Where do you think you're going, Butterfly?
[19:40.550 --> 19:41.070]  Up left.
[19:46.030 --> 19:47.430]  We got it. Go.
[19:47.530 --> 19:49.050]  Go up.
[19:50.270 --> 19:51.230]  Door's up.
[19:52.330 --> 19:53.230]  We did it.
[19:55.650 --> 19:57.450]  We got a net caught in the door.
[19:59.290 --> 20:00.010]  Somebody said,
[20:00.150 --> 20:01.110]  this has gotten a lot more complicated
[20:01.110 --> 20:02.770]  since I last watched. No shit.
[20:03.690 --> 20:04.170]  I agree.
[20:09.810 --> 20:11.430]  Press X button to hide.
[20:11.830 --> 20:13.110]  Only one player.
[20:14.450 --> 20:15.050]  I'm in a box.
[20:16.750 --> 20:17.610]  Can we all
[20:17.610 --> 20:18.470]  hide under the thing?
[20:19.010 --> 20:20.890]  Yeah, but if you start moving...
[20:20.890 --> 20:22.590]  Alright, watch this.
[20:24.610 --> 20:25.370]  Get under.
[20:26.150 --> 20:26.630]  Oh.
[20:27.670 --> 20:29.570]  So Gavin, what...
[20:29.570 --> 20:30.890]  Did you...
[20:30.890 --> 20:31.690]  What happened?
[20:32.270 --> 20:33.370]  Where did the box go?
[20:34.730 --> 20:35.970]  Alright, I'm going to box now.
[20:37.050 --> 20:39.290]  Maybe after they see you, you can't do it.
[20:39.330 --> 20:40.770]  Yeah, I think I was too late on the box.
[20:41.690 --> 20:42.630]  Box, box, box.
[20:43.570 --> 20:44.310]  Alright, check this out.
[20:45.730 --> 20:46.210]  Boxing.
[20:46.670 --> 20:47.170]  Hit it now.
[20:47.570 --> 20:48.730]  I can't box over there.
[20:49.510 --> 20:52.510]  Maybe the box jumps around.
[20:52.510 --> 20:53.870]  Oh, random box.
[20:54.030 --> 20:54.950]  Find out who has the box.
[20:56.910 --> 20:57.730]  Geoff has it.
[20:58.290 --> 20:58.550]  Nice.
[21:01.050 --> 21:02.230]  Do we want to get in this box?
[21:02.430 --> 21:02.590]  Yep.
[21:07.800 --> 21:09.100]  Ready? Go.
[21:10.800 --> 21:11.480]  Oh boy, that's hard.
[21:11.480 --> 21:11.780]  What are you doing?
[21:12.800 --> 21:15.900]  We can't leave without the box being moved.
[21:16.240 --> 21:17.540]  Yeah, I mean, I gotta move the box.
[21:18.120 --> 21:18.600]  Who's got it?
[21:18.960 --> 21:19.760]  Not me.
[21:20.660 --> 21:23.040]  Alright, hold on.
[21:23.040 --> 21:24.460]  I'm going to wait until the...
[21:25.040 --> 21:25.600]  And... go.
[21:27.360 --> 21:29.200]  We're going to have to edge like a bastard.
[21:31.200 --> 21:32.580]  Okay, ready? Go.
[21:33.540 --> 21:34.420]  Oh, sh...
[21:34.920 --> 21:36.300]  It's hard to drop it again, right?
[21:37.080 --> 21:38.560]  You gotta re-box real quick.
[21:39.220 --> 21:40.340]  It doesn't let you.
[21:40.560 --> 21:42.160]  Okay, I got it.
[21:42.440 --> 21:44.040]  That's your boxing speed.
[21:44.600 --> 21:45.760]  You guys just wait a minute?
[21:46.220 --> 21:46.340]  Yeah.
[21:50.000 --> 21:50.780]  Shit, sorry.
[21:50.780 --> 21:54.020]  I was trying to get to the middle so it could just be one rotation.
[21:54.220 --> 21:55.520]  Geoff, I need you to wait a minute.
[21:55.980 --> 21:57.180]  I'm waiting.
[21:57.880 --> 21:59.020]  I don't have it anymore.
[21:59.660 --> 22:01.040]  No, I don't want it.
[22:01.080 --> 22:02.840]  I don't want that fucking box.
[22:03.580 --> 22:04.780]  What's in the box?
[22:05.340 --> 22:06.180]  It's Nick's stress.
[22:07.280 --> 22:08.040]  Yeah, really.
[22:09.120 --> 22:09.320]  Go!
[22:10.240 --> 22:13.440]  I fell right off. I didn't realize I was so low.
[22:13.680 --> 22:14.860]  That was very strange.
[22:16.120 --> 22:16.600]  Gavin has it.
[22:16.960 --> 22:18.560]  This is really weird.
[22:18.560 --> 22:19.920]  Fuck, I'm still in jail!
[22:26.340 --> 22:27.440]  Andrew has it.
[22:27.740 --> 22:28.900]  I got it? Fuck.
[22:30.520 --> 22:32.120]  You stopped my box.
[22:36.220 --> 22:37.740]  Do you want us to calm?
[22:38.420 --> 22:39.900]  I mean, that's up to you.
[22:40.120 --> 22:41.320]  Three, two...
[22:41.320 --> 22:44.120]  As soon as they turn their heads again...
[22:45.780 --> 22:46.660]  Okay, that...
[22:46.660 --> 22:48.040]  Oh, what a move!
[22:48.040 --> 22:49.060]  Holy shit!
[22:50.860 --> 22:52.060]  Get in the box!
[22:52.660 --> 22:53.440]  Way to go, Nick!
[22:53.500 --> 22:54.380]  Way to go, Gavin!
[22:56.000 --> 22:56.840]  Good work, boys.
[22:58.540 --> 23:00.200]  I have the box.
[23:01.060 --> 23:02.360]  We could all just hold right.
[23:02.860 --> 23:02.940]  Geoff!
[23:04.440 --> 23:06.980]  We don't have to worry about the box.
[23:08.500 --> 23:09.520]  Do you think that was me?
[23:09.960 --> 23:11.520]  Okay, Andrew has the box.
[23:11.960 --> 23:13.880]  Everyone on the inside of the box can just hold right.
[23:14.000 --> 23:14.960]  And then it's on the other box.
[23:14.960 --> 23:16.520]  I'm gonna wait until they turn.
[23:17.400 --> 23:17.800]  Go.
[23:19.860 --> 23:20.760]  Careful of the black.
[23:20.960 --> 23:22.720]  And then once they turn...
[23:22.720 --> 23:23.360]  Go.
[23:26.520 --> 23:26.920]  Nice.
[23:28.700 --> 23:29.100]  Box!
[23:32.400 --> 23:33.100]  That's on me.
[23:33.240 --> 23:34.200]  That's my bad. Sorry.
[23:34.900 --> 23:36.620]  Wait, how's that not on Eric?
[23:37.320 --> 23:38.600]  What do you mean? I was way ahead.
[23:38.780 --> 23:40.160]  I wasn't doing anything.
[23:40.260 --> 23:41.500]  What the fuck are you talking about?
[23:41.500 --> 23:43.740]  You lost the safety of the box, though.
[23:43.780 --> 23:44.820]  You screwed up the box plan.
[23:45.460 --> 23:46.600]  Ah, shit. Am I the bot?
[23:46.620 --> 23:48.860]  I was past where we needed the box, bud.
[23:49.740 --> 23:50.620]  Yeah, he was safe.
[23:50.820 --> 23:52.100]  What are you talking about?
[23:53.260 --> 23:54.680]  Alright, you guys ready?
[23:54.880 --> 23:55.960]  Alright, here we go, guys.
[23:56.380 --> 23:57.340]  Alright, here we go.
[23:59.140 --> 24:02.240]  Oh, no!
[24:03.840 --> 24:05.260]  Alright, everybody line up.
[24:05.680 --> 24:05.880]  Okay.
[24:07.220 --> 24:08.140]  I'm gonna go again. You ready?
[24:08.140 --> 24:08.620]  Yep.
[24:10.600 --> 24:11.440]  Love it.
[24:11.840 --> 24:13.420]  I'm holding right, I'm holding right.
[24:13.600 --> 24:15.740]  They fucking didn't all go at the same time!
[24:18.320 --> 24:19.040]  I went.
[24:20.400 --> 24:21.720]  Oh, it's Gabby's box.
[24:22.500 --> 24:23.340]  Alright, ready?
[24:24.120 --> 24:24.340]  Yep.
[24:25.300 --> 24:25.500]  Oh.
[24:27.800 --> 24:29.540]  Wait. Oh, this is a mess.
[24:29.800 --> 24:30.400]  Okay, go!
[24:33.980 --> 24:34.460]  Go!
[24:35.300 --> 24:35.860]  Alright, don't.
[24:36.520 --> 24:37.280]  Don't rush me.
[24:48.250 --> 24:49.870]  I appreciate the confidence.
[24:51.690 --> 24:52.030]  Alright.
[24:52.130 --> 24:53.070]  Guess we have to wait until they go back.
[24:53.070 --> 24:54.810]  Alright, it's Daddy's box. Here we go. Hang on.
[24:55.270 --> 24:56.290]  Ready? Yep.
[24:57.470 --> 24:58.150]  Don't wake Daddy.
[25:00.510 --> 25:01.470]  Alright, everyone hold right.
[25:01.990 --> 25:02.430]  Holding right.
[25:05.790 --> 25:07.230]  I'm just making sure you guys don't go anywhere.
[25:07.230 --> 25:09.230]  Oh, shit, where are ya?
[25:09.890 --> 25:10.050]  Get!
[25:10.990 --> 25:12.230]  I need you to go all the way back.
[25:14.890 --> 25:17.670]  I thought you didn't dive for the box, you just ran all the way back.
[25:18.130 --> 25:19.970]  Well, wouldn't they have killed us in the box anyway?
[25:21.010 --> 25:21.270]  Nope.
[25:21.690 --> 25:22.850]  No? Oh.
[25:24.330 --> 25:24.530]  Sorry.
[25:24.850 --> 25:25.750]  There's safety in the box.
[25:26.190 --> 25:27.930]  Ready? Yep.
[25:28.090 --> 25:28.750]  Watch me!
[25:31.410 --> 25:34.430]  Not sure how we're getting worse at this point, but it's pretty exciting to see.
[25:34.430 --> 25:35.610]  You said ready and then didn't go.
[25:35.610 --> 25:36.750]  I'm just getting ready to go.
[25:38.230 --> 25:39.190]  That's my box again.
[25:39.290 --> 25:40.530]  Just stay behind me.
[25:41.850 --> 25:46.150]  Now, what if instead, Andrew, what if in front?
[25:47.310 --> 25:48.410]  I don't think it'll work.
[25:49.390 --> 25:49.950]  Oh, okay.
[25:51.410 --> 25:53.270]  If you say so, man, I don't know.
[25:54.530 --> 25:56.070]  Alright, next one. Yep.
[25:58.570 --> 25:59.750]  That's fucking blue!
[26:00.750 --> 26:02.190]  I hit X, nothing's happening!
[26:02.350 --> 26:03.230]  Was it not me this time?
[26:03.230 --> 26:04.310]  I think it was, wasn't it?
[26:05.110 --> 26:05.990]  Top left?
[26:06.210 --> 26:07.850]  It's always top left.
[26:07.890 --> 26:10.230]  Top left?
[26:10.930 --> 26:11.370]  Yeah.
[26:11.790 --> 26:14.130]  I don't know what's confusing about that.
[26:14.270 --> 26:15.190]  The top left starter.
[26:17.110 --> 26:17.930]  Oh, fuck!
[26:21.770 --> 26:23.350]  See, now it should be Geoff, right?
[26:24.750 --> 26:25.790]  There you go.
[26:26.410 --> 26:27.530]  Alright, you little bitches wanna go?
[26:28.610 --> 26:29.210]  Oh, I can't.
[26:31.410 --> 26:31.810]  Alright.
[26:34.350 --> 26:35.990]  C041H, this is so infuriating.
[26:36.210 --> 26:37.270]  Imagine doing it.
[26:37.530 --> 26:39.170]  Yeah, it's way worse to be us.
[26:39.390 --> 26:40.190]  Wait, Gavin!
[26:40.890 --> 26:42.010]  I'm with ya.
[26:45.580 --> 26:46.320]  Okay, ready?
[26:46.500 --> 26:47.080]  Everyone hold right.
[26:49.460 --> 26:50.360]  Oh, go, box!
[26:50.520 --> 26:51.620]  Oh, come on!
[26:51.820 --> 26:53.320]  It wouldn't let me throw the box after we were spotted.
[26:54.260 --> 26:54.880]  Is that true?
[26:56.000 --> 26:56.280]  Yeah.
[26:57.320 --> 26:58.000]  Daddy's box.
[26:59.920 --> 27:01.020]  Way to go, Gavin!
[27:02.580 --> 27:03.540]  Thank you.
[27:04.780 --> 27:05.260]  Awesome.
[27:08.300 --> 27:09.000]  Daddy's box.
[27:11.100 --> 27:12.260]  Here we go.
[27:15.040 --> 27:16.120]  Waiting for the next cycle.
[27:16.220 --> 27:17.720]  Everyone hold right. Watch the black.
[27:18.900 --> 27:19.000]  Go.
[27:20.320 --> 27:21.440]  Clump of victory.
[27:21.620 --> 27:22.840]  Hang on, Gavin! Come back!
[27:24.420 --> 27:25.180]  Hang on.
[27:25.260 --> 27:25.580]  Wait.
[27:26.360 --> 27:26.920]  Gavin!
[27:28.440 --> 27:30.380]  What is your problem?
[27:30.700 --> 27:31.320]  I was in there.
[27:31.440 --> 27:32.840]  Why would you leave?
[27:33.640 --> 27:35.360]  You don't have the box!
[27:35.700 --> 27:37.260]  I can't leave.
[27:37.620 --> 27:39.540]  Get ready.
[27:40.160 --> 27:41.640]  Ready? Go.
[27:42.620 --> 27:44.800]  The only way I can leave the box is if you lift the box.
[27:48.620 --> 27:49.700]  Oh, boy.
[27:49.700 --> 27:50.920]  I thought I did.
[27:51.100 --> 27:52.620]  You got it, Andrew.
[27:54.000 --> 27:57.100]  Gavin wants to be at the front of the pile so bad.
[27:57.340 --> 27:57.960]  It's crazy.
[27:58.700 --> 27:59.800]  I don't want to be left behind again.
[28:02.040 --> 28:03.720]  See how I can't leave the box?
[28:04.180 --> 28:06.120]  I said lead, not leave.
[28:06.380 --> 28:06.900]  Lead.
[28:07.340 --> 28:09.160]  How can you lead a box?
[28:09.700 --> 28:10.060]  Nice.
[28:13.080 --> 28:14.420]  Why do you want to lead?
[28:14.440 --> 28:15.180]  Let's wait.
[28:15.180 --> 28:15.360]  Wait.
[28:15.380 --> 28:18.340]  You're wrong.
[28:18.500 --> 28:20.460]  Play the tape.
[28:21.220 --> 28:22.060]  Wait.
[28:23.740 --> 28:24.420]  Let him go back.
[28:24.840 --> 28:25.100]  Go.
[28:26.340 --> 28:28.220]  We're going to die.
[28:28.860 --> 28:30.560]  What are you doing?
[28:30.800 --> 28:32.160]  We have to get a little closer.
[28:34.320 --> 28:36.220]  Wait until they come across.
[28:36.820 --> 28:36.980]  Wait.
[28:37.640 --> 28:39.460]  Go to the right.
[28:40.060 --> 28:40.700]  No!
[28:41.480 --> 28:42.700]  You killed us!
[28:43.220 --> 28:44.520]  You were just a little quick.
[28:46.900 --> 28:47.560]  Daddy's box.
[28:47.960 --> 28:49.900]  You guys have to go down.
[28:50.280 --> 28:51.300]  I have to get the key.
[28:51.660 --> 28:52.500]  I think we should all get the key.
[28:52.640 --> 28:55.480]  I don't care what you think.
[28:56.180 --> 28:57.700]  Their vision encompasses too much.
[28:57.900 --> 28:58.480]  They see all.
[28:59.920 --> 29:00.420]  Oh, wow.
[29:02.860 --> 29:03.960]  Here we go.
[29:07.260 --> 29:07.940]  Hang on.
[29:07.940 --> 29:09.680]  Let me get to the top.
[29:11.680 --> 29:13.680]  Gavin, I know desperately you want to be at the top.
[29:13.980 --> 29:15.260]  I don't know why you're doing that.
[29:16.560 --> 29:17.440]  Doing what?
[29:21.740 --> 29:23.620]  If we are going down,
[29:24.040 --> 29:25.920]  we have to go very low.
[29:26.180 --> 29:27.980]  Yes, you guys have to go
[29:27.980 --> 29:28.700]  very low.
[29:29.000 --> 29:30.600]  You want us all to go different directions?
[29:31.400 --> 29:34.080]  You guys are going to go right and down
[29:34.080 --> 29:35.260]  as low as you can go.
[29:35.880 --> 29:37.620]  I'm going to go right and get the key.
[29:38.340 --> 29:39.320]  Are you ready?
[29:39.840 --> 29:40.380]  I'm ready.
[29:40.940 --> 29:47.500]  I don't know
[29:47.500 --> 29:49.660]  what's confusing about what all that was.
[29:50.020 --> 29:51.000]  It's not confusing.
[29:51.140 --> 29:52.360]  We all have to wait for you anyway.
[29:52.500 --> 29:53.260]  Why don't we all just go?
[29:54.580 --> 29:57.200]  Why don't we all just have the chance to get spotted
[29:57.200 --> 29:57.900]  by the bat?
[29:59.880 --> 30:00.780]  That's what you're saying.
[30:02.040 --> 30:03.540]  Four people get clear.
[30:03.540 --> 30:05.160]  I mean, here's the thing, Gavin.
[30:05.240 --> 30:06.340]  It doesn't matter. I was right.
[30:06.820 --> 30:07.660]  What are we doing?
[30:08.860 --> 30:11.640]  I think Gavin's concern was that the bats
[30:11.640 --> 30:13.760]  also could have had a vision long enough
[30:13.760 --> 30:15.140]  to see us down there.
[30:16.360 --> 30:17.540]  Here's the thing. It doesn't matter.
[30:17.620 --> 30:17.960]  I was right.
[30:19.580 --> 30:21.260]  Wait, wait, wait.
[30:21.300 --> 30:21.840]  Stop, stop, stop.
[30:23.400 --> 30:25.220]  Do we spread out
[30:25.220 --> 30:28.020]  or do we go all in one line?
[30:28.600 --> 30:29.780]  I think we should try
[30:29.780 --> 30:31.720]  going in one line in order.
[30:31.720 --> 30:33.680]  Blue or orange first.
[30:34.100 --> 30:36.640]  Okay, because I'm worried
[30:36.640 --> 30:37.920]  that we're going to get up here
[30:37.920 --> 30:39.120]  and we're going to have to come back
[30:39.120 --> 30:40.780]  because there's going to be switches we have to hit.
[30:42.160 --> 30:43.920]  I'm worried that I won't be able to go to the left
[30:43.920 --> 30:46.000]  without pulling Andrew into the abyss.
[30:46.840 --> 30:47.060]  Yep.
[30:47.940 --> 30:50.320]  So that's what I was worried about.
[30:51.140 --> 30:52.980]  Okay, let's line up.
[30:53.080 --> 30:53.440]  Alright.
[30:53.900 --> 30:55.560]  So we don't die, it looks like.
[30:55.660 --> 30:56.500]  Okay, we're all going to go up.
[30:56.800 --> 30:58.200]  I'm getting tugged.
[30:58.200 --> 30:59.740]  Take it easy.
[31:00.060 --> 31:00.880]  Chill the beans.
[31:01.200 --> 31:02.480]  Left, left, up.
[31:03.520 --> 31:05.260]  You almost had it, Geoff. You're alright.
[31:06.140 --> 31:08.080]  This doesn't seem that hard. I shouldn't have said that.
[31:08.180 --> 31:08.460]  I'm sorry.
[31:10.100 --> 31:12.480]  Guys, this one's actually
[31:12.480 --> 31:13.200]  an easy one.
[31:14.280 --> 31:15.200]  Stop tugging me.
[31:16.820 --> 31:18.560]  Geoff, what are you doing?
[31:18.580 --> 31:19.380]  Geoff's already up there.
[31:20.240 --> 31:20.880]  I hit the button.
[31:21.540 --> 31:23.000]  Geoff, you're flying!
[31:23.460 --> 31:24.540]  Check this out. What if...
[31:24.540 --> 31:25.040]  Fuck you.
[31:25.780 --> 31:28.340]  The faster you go, the easier it is
[31:28.340 --> 31:29.100]  on this stuff.
[31:30.180 --> 31:30.960]  Is that right?
[31:31.400 --> 31:33.100]  Here we go, the fast way.
[31:34.140 --> 31:36.080]  I'm getting tugged senseless.
[31:36.340 --> 31:37.260]  Why are we doing this?
[31:37.620 --> 31:37.940]  I'm dead.
[31:38.820 --> 31:41.280]  It was working for me, I lived.
[31:42.280 --> 31:43.640]  That's true, Geoff did make it.
[31:45.700 --> 31:46.500]  I didn't do it that time.
[31:50.880 --> 31:52.300]  Alright, let's try slower again.
[31:55.620 --> 31:56.900]  You guys wanna try slower?
[31:57.080 --> 31:58.180]  I cut a corner.
[31:59.500 --> 32:00.600]  That's the first time
[32:00.600 --> 32:02.540]  it's been on me the whole game.
[32:04.440 --> 32:05.340]  That was me.
[32:05.820 --> 32:07.120]  I got my switch.
[32:12.080 --> 32:12.560]  Gavin.
[32:17.940 --> 32:18.980]  I got my switch.
[32:22.220 --> 32:22.940]  I've never
[32:22.940 --> 32:23.720]  made it to my button.
[32:28.380 --> 32:28.900]  Switch.
[32:29.360 --> 32:30.260]  Got the key.
[32:30.420 --> 32:31.080]  Go up.
[32:34.820 --> 32:36.260]  Geoff, I like
[32:36.260 --> 32:37.880]  Geoff saying go up and then
[32:37.880 --> 32:39.580]  I feel like you're stationary.
[32:40.400 --> 32:41.000]  Keep going up.
[32:42.380 --> 32:43.740]  Alright, I got my button.
[32:46.460 --> 32:47.680]  We're so close.
[32:47.900 --> 32:50.260]  I'm so excited for the stats on this one.
[32:50.420 --> 32:52.480]  God, it's just 28 minutes till 5.
[32:53.280 --> 32:54.380]  28 minutes later.
[32:54.380 --> 32:55.420]  I got it.
[32:57.780 --> 32:58.300]  Nice!
[32:59.320 --> 33:00.240]  We did it.
[33:00.300 --> 33:02.960]  Just get out of here.
[33:03.480 --> 33:04.620]  Oh, there's a fan on that one?
[33:06.400 --> 33:08.360]  For Geoff to be killed.
[33:08.900 --> 33:09.160]  Yeah!
[33:10.580 --> 33:12.280]  That world was nothing.
[33:12.740 --> 33:13.800]  That was easy peasy.
[33:14.140 --> 33:14.840]  That was baby mode.
[33:16.480 --> 33:18.360]  Now, Gavin, are you more of a skills
[33:18.360 --> 33:19.220]  or devices guy?
[33:20.500 --> 33:22.400]  I'm a skills man.
[33:22.400 --> 33:22.860]  Go!
[33:24.160 --> 33:25.420]  Oh, we gotta do the last
[33:26.640 --> 33:27.280]  Wait, what?
[33:27.720 --> 33:29.680]  We gotta do the lowest count?
[33:31.400 --> 33:31.880]  Go!
[33:33.020 --> 33:33.540]  What the fuck?
[33:34.960 --> 33:36.740]  Uh, Geoff?
[33:37.020 --> 33:38.600]  Guys, what do you think Geoff is doing?
[33:38.980 --> 33:40.380]  I wasn't gonna get
[33:40.380 --> 33:41.080]  the lowest count.
[33:41.540 --> 33:43.300]  So what do we have to try and get?
[33:43.420 --> 33:45.420]  2 between us?
[33:46.420 --> 33:48.000]  Yeah, you have to be between
[33:48.000 --> 33:49.840]  .05 and 2 seconds.
[33:50.320 --> 33:50.760]  Oops.
[33:53.540 --> 33:54.360]  Sorry, sorry.
[33:54.460 --> 33:56.420]  I was trying to edge up on it.
[33:57.900 --> 33:58.880]  Oh, wait, not even.
[34:00.440 --> 34:01.720]  It seemed like we all did it.
[34:02.520 --> 34:03.360]  I thought so too.
[34:08.160 --> 34:09.260]  Jump the gun.
[34:12.400 --> 34:12.840]  Shit.
[34:14.100 --> 34:15.280]  Was that you Gavin?
[34:15.320 --> 34:16.600]  It was not me, it was Gavin.
[34:18.140 --> 34:18.880]  Got it.
[34:19.140 --> 34:20.580]  I got .16.
[34:21.000 --> 34:22.280]  Uh, Gavin was too fast.
[34:22.660 --> 34:23.300]  Oh, no you weren't.
[34:24.240 --> 34:24.440]  Yeah.
[34:29.460 --> 34:29.940]  Shit.
[34:33.700 --> 34:35.760]  Welcome to the rest of the stream.
[34:36.480 --> 34:37.620]  So this is Christmas.
[34:38.960 --> 34:39.740]  So we need to average
[34:39.740 --> 34:40.860]  under half a second each.
[34:41.240 --> 34:43.340]  Oh, Gavin.
[34:43.760 --> 34:45.580]  I hate this game.
[34:45.760 --> 34:47.720]  I hate it, I hate it, I hate it.
[34:48.320 --> 34:48.800]  Shit.
[34:52.380 --> 34:52.860]  Shit.
[34:55.900 --> 34:58.060]  I'm only going because I see Gavin go.
[34:58.600 --> 34:59.660]  Oh my god.
[35:00.020 --> 35:01.320]  Oh my god!
[35:02.940 --> 35:03.640]  Oh, that's that.
[35:03.740 --> 35:04.020]  You know what?
[35:05.100 --> 35:06.120]  First time for everything.
[35:07.700 --> 35:08.640]  Oh, close.
[35:09.240 --> 35:11.000]  Get right up on it.
[35:11.420 --> 35:11.980]  Well, not that close.
[35:15.100 --> 35:16.800]  Oh my god.
[35:16.800 --> 35:18.180]  It's impossible to tell
[35:18.180 --> 35:19.280]  when it's actually going to start.
[35:19.280 --> 35:20.920]  That's why I was trying to do it preemptively.
[35:22.400 --> 35:23.180]  Way to go, Nick.
[35:27.210 --> 35:27.930]  Alright, why don't we
[35:27.930 --> 35:28.830]  just count down?
[35:28.930 --> 35:30.990]  No, because it's not the same.
[35:31.230 --> 35:32.010]  It changes.
[35:33.050 --> 35:35.250]  Yeah, but at least we'll all be on the same time.
[35:35.730 --> 35:36.910]  That doesn't make any sense.
[35:37.150 --> 35:38.110]  What are we counting down to?
[35:38.810 --> 35:41.950]  No, because we might get it right by fluke.
[35:42.450 --> 35:43.990]  This is the craziest
[35:43.990 --> 35:45.430]  fucking guy in the world.
[35:49.530 --> 35:51.950]  Is there a pattern every other like...
[35:52.550 --> 35:53.710]  0.38, come on!
[35:53.730 --> 35:56.270]  That's got to be good enough. Come on, guys! I'm old and slow.
[35:56.570 --> 35:57.750]  Sorry, I'm just trying to...
[35:57.750 --> 35:59.690]  I'm trying to get right up on it.
[36:02.730 --> 36:03.130]  Damn.
[36:03.510 --> 36:04.970]  0.1 of a second off.
[36:09.110 --> 36:09.510]  Damn.
[36:09.510 --> 36:09.990]  Oh.
[36:12.630 --> 36:14.270]  Trying to get close.
[36:15.530 --> 36:16.090]  Damn it.
[36:17.050 --> 36:18.590]  Stop kicking me off!
[36:23.410 --> 36:25.450]  It's really making my anus clench.
[36:27.030 --> 36:29.830]  It's not the same. God, the time is so fucked.
[36:32.990 --> 36:33.670]  I...
[36:33.670 --> 36:35.230]  God damn it!
[36:35.590 --> 36:36.830]  You son of a bitch!
[36:42.760 --> 36:43.200]  Reflexes!
[36:43.200 --> 36:43.220]  Reflexes!
[36:43.540 --> 36:43.700]  Yes!
[36:43.980 --> 36:46.060]  Thank god.
[36:47.860 --> 36:49.040]  0.33, good job.
[36:49.200 --> 36:49.980]  Let me out of here.
[36:53.080 --> 36:54.140]  God, that was crazy.
[36:57.680 --> 36:59.900]  Oh man, we're going to have to do that again, probably.
[37:02.420 --> 37:03.220]  With bombs.
[37:04.660 --> 37:04.880]  Yeah.
[37:04.880 --> 37:04.940]  Yeah.
[37:08.780 --> 37:09.580]  Oh, jeez.
[37:11.080 --> 37:11.880]  Holy shit.
[37:12.880 --> 37:14.980]  Alright, let's collide midair and fall on the key.
[37:15.480 --> 37:16.780]  That's... yeah, that's...
[37:16.780 --> 37:17.540]  Ow, ow.
[37:18.080 --> 37:20.200]  You want me to push this thing?
[37:20.900 --> 37:21.620]  Yeah, hit me with the block.
[37:23.300 --> 37:23.700]  Ow.
[37:24.760 --> 37:25.300]  There we go.
[37:26.740 --> 37:27.960]  Where am I? Oh, I'm over here.
[37:29.240 --> 37:30.240]  Please stop pushing me.
[37:30.680 --> 37:33.800]  Everyone can collide with each other apart from the last person in the block, right?
[37:33.800 --> 37:34.340]  Yep.
[37:34.880 --> 37:36.040]  Ready, Geoff?
[37:36.780 --> 37:37.440]  Now.
[37:38.280 --> 37:38.960]  Close.
[37:40.220 --> 37:40.380]  Alright.
[37:43.250 --> 37:44.140]  Oh shit.
[37:44.640 --> 37:45.360]  Ready?
[37:46.080 --> 37:47.820]  Damn it.
[37:48.320 --> 37:49.780]  Can we climb and get the key?
[37:50.140 --> 37:50.680]  Somebody fall.
[37:53.730 --> 37:55.440]  Damn it.
[37:56.280 --> 37:56.580]  Tough.
[37:58.020 --> 37:59.140]  Ready?
[37:59.960 --> 38:01.480]  It's on your head.
[38:01.480 --> 38:03.600]  Yeah, I'm getting it off of him.
[38:03.700 --> 38:03.900]  Ready?
[38:04.740 --> 38:05.200]  Perfect.
[38:06.300 --> 38:06.760]  Nice.
[38:11.880 --> 38:13.140]  I'll help you.
[38:13.720 --> 38:14.240]  We'll just sink.
[38:14.460 --> 38:14.880]  Ready?
[38:16.680 --> 38:17.500]  3...
