[00:00.000 --> 00:01.480]  Let's play this game!
[20:21.640 --> 20:24.160]  It's hell on earth, but it starts off quite nice.
[20:27.640 --> 20:29.140]  Didn't you guys...
[20:29.140 --> 20:30.280]  Didn't you guys do
[20:31.780 --> 20:32.560]  every level?
[20:33.860 --> 20:35.600]  We didn't finish, because I think
[20:35.600 --> 20:37.100]  the end is completely impossible.
[20:38.540 --> 20:39.280]  That's a bummer.
[20:40.060 --> 20:41.480]  And then I think we were going to stream it
[20:41.480 --> 20:43.060]  until we beat it, and then
[20:43.740 --> 20:45.960]  the stream just ended after like an hour
[20:45.960 --> 20:48.200]  instead, and I was very confused by it.
[20:48.200 --> 20:48.860]  Oh!
[20:49.380 --> 20:50.580]  Sounds like Achievement Hunter.
[20:53.900 --> 20:56.200]  Seems like a lot of build-up for a...
[20:58.220 --> 20:59.420]  A pretty flat ending.
[20:59.420 --> 21:00.060]  Oh, nice!
[21:02.380 --> 21:04.160]  I don't know who shot across,
[21:04.280 --> 21:04.640]  but that was awesome.
[21:04.660 --> 21:06.740]  You could just describe the company that way.
[21:08.760 --> 21:10.340]  A lot of build-up for a flat
[21:10.340 --> 21:10.600]  ending.
[21:22.920 --> 21:23.400]  Cool.
[21:27.220 --> 21:27.640]  No!
[21:28.260 --> 21:29.540]  I think we're about to face the eagle.
[21:31.200 --> 21:32.040]  Third time.
[21:32.580 --> 21:34.400]  Can we kill this fucking thing permanently?
[21:35.220 --> 21:35.740]  Let's do it.
[21:36.460 --> 21:37.660]  Let's get rid of this thing.
[21:39.180 --> 21:40.900]  I'm yet to touch the eagle.
[21:41.920 --> 21:42.080]  Same.
[21:42.520 --> 21:42.940]  Really?
[21:44.080 --> 21:46.000]  You got it this time, I believe in you.
[21:46.100 --> 21:47.100]  I'm just going to do what you do.
[21:48.920 --> 21:50.300]  What the fuck?
[21:52.240 --> 21:53.680]  What is that ball?
[21:53.680 --> 21:54.400]  Oh!
[21:56.120 --> 21:57.120]  Jesus Christ.
[22:00.720 --> 22:01.780]  It's so hard.
[22:01.900 --> 22:02.820]  I don't know how you keep doing it.
[22:03.480 --> 22:04.560]  This is no good.
[22:04.680 --> 22:06.040]  This is no good.
[22:06.680 --> 22:08.740]  This takes an Andrew to do, god damn.
[22:09.040 --> 22:10.000]  This is no good.
[22:10.400 --> 22:12.380]  It's like when he was soloing the Destiny raids.
[22:12.520 --> 22:12.960]  Look at this.
[22:14.920 --> 22:16.160]  Soloing Sam the Eagle?
[22:16.500 --> 22:18.240]  Yeah, I got this.
[22:18.360 --> 22:20.420]  Hit him with your Fjallhorn or whatever.
[22:20.940 --> 22:23.320]  It got a lot easier after the first one.
[22:23.740 --> 22:25.080]  That first one sucked.
[22:25.740 --> 22:26.540]  Give me the coins.
[22:27.360 --> 22:28.680]  Oh, and there's so much tea.
[22:28.900 --> 22:29.820]  Look at all this tea.
[22:29.960 --> 22:30.700]  Oh, shit.
[22:36.000 --> 22:37.400]  It's a fucking idiot.
[22:40.240 --> 22:41.540]  We're all dumb.
[22:42.580 --> 22:43.360]  Let's do this.
[22:43.960 --> 22:44.200]  Alright.
[22:47.400 --> 22:48.340]  That's really hard.
[22:48.340 --> 22:51.660]  You seemed genuinely surprised by that death.
[22:51.920 --> 22:52.800]  Yeah, I was.
[22:56.760 --> 22:58.200]  Get to the fucking door.
[23:06.640 --> 23:07.780]  Geoff, it's all on you.
[23:08.440 --> 23:09.400]  Geoff's done his learning.
[23:09.820 --> 23:10.840]  No, Geoff!
[23:12.280 --> 23:13.360]  What was that?
[23:14.220 --> 23:16.280]  That was me fucking me-ing it.
[23:16.460 --> 23:17.400]  What do you mean, what was that?
[23:18.020 --> 23:18.500]  No!
[23:18.880 --> 23:19.400]  What was that?
[23:22.020 --> 23:22.780]  Oh, is that it?
[23:22.780 --> 23:23.620]  Oh, we're out.
[23:23.940 --> 23:25.580]  Is it 5-0-1?
[23:26.380 --> 23:28.660]  Fuck! How is it only 4-30?
[23:28.780 --> 23:30.180]  We didn't start till 4-30.
[23:30.700 --> 23:32.760]  We gotta do better than that somehow.
[23:33.660 --> 23:34.800]  Am I stuck in a time loop?
[23:34.820 --> 23:35.920]  Is it really only 4-30?
[23:36.040 --> 23:41.240]  That's the longest 15 minutes of my life.
[23:43.700 --> 23:44.940]  Alright, we can beat that.
[23:45.160 --> 23:45.840]  That'd be easy.
[23:47.480 --> 23:48.920]  We're still getting points, though.
[23:49.360 --> 23:50.160]  How high do we get?
[23:51.160 --> 23:52.500]  I mean, we're in space.
[23:53.020 --> 23:54.540]  Oh, yeah, and then...
[23:54.540 --> 23:56.620]  Did we just forget to buy lives that last time?
[23:57.220 --> 23:58.340]  No, we just died
[23:58.340 --> 24:00.080]  three times each.
[24:00.960 --> 24:01.960]  Yeah, we just sucked.
[24:02.280 --> 24:02.940]  Holy shit.
[24:04.060 --> 24:06.460]  Oh, I got a new hat from a duck.
[24:07.240 --> 24:08.380]  I'm using my T.
[24:08.680 --> 24:09.540]  I was the fastest player.
[24:10.120 --> 24:11.340]  I'm spending 50 T's.
[24:11.480 --> 24:12.860]  Oh, I got a unihorse.
[24:15.400 --> 24:16.200]  Do we try again,
[24:16.240 --> 24:17.300]  or do you want to go to a different level?
[24:18.160 --> 24:19.180]  I think we should probably
[24:19.180 --> 24:20.020]  do a different level, right?
[24:20.340 --> 24:21.600]  Yeah, I would agree.
[24:23.000 --> 24:23.980]  Oh, what did I get?
[24:24.140 --> 24:26.540]  Oh, okay, nevermind.
[24:26.840 --> 24:29.440]  When you're done, return to lobby for us.
[24:31.000 --> 24:32.780]  I accidentally changed to a horse.
[24:33.340 --> 24:34.780]  You both did. Look at you two.
[24:35.200 --> 24:35.760]  Little twins.
[24:37.600 --> 24:38.980]  I don't want to be the horse.
[24:40.180 --> 24:41.040]  Well, change it.
[24:42.800 --> 24:44.280]  Am I stuck as an horse?
[24:47.300 --> 24:48.280]  How do I change back?
[24:49.340 --> 24:50.780]  Click your guy.
[24:51.200 --> 24:52.260]  Yeah, click on it.
[24:52.580 --> 24:53.260]  Click your name.
[24:56.140 --> 24:56.580]  Oh.
[24:56.740 --> 24:57.580]  Then you can swap characters.
[24:57.720 --> 24:58.200]  There you go.
[25:01.320 --> 25:02.620]  I was doing it in the menu,
[25:02.720 --> 25:04.400]  and it wasn't doing it.
[25:09.570 --> 25:10.690]  Hey, I'm the chicken.
[25:13.790 --> 25:14.750]  There's no coins.
[25:15.710 --> 25:16.470]  Here we go.
[25:17.070 --> 25:17.590]  Bomb.
[25:19.670 --> 25:20.110]  Oh, look.
[25:20.270 --> 25:21.270]  It's you. I'm famous.
[25:22.570 --> 25:23.610]  Holy shit.
[25:26.070 --> 25:28.050]  What does this do? Oh, it's a fuse.
[25:28.310 --> 25:30.490]  Go, go, go. Run, run.
[25:35.700 --> 25:36.540]  Oh my god.
[25:39.280 --> 25:40.320]  Mission impossible.
[25:41.360 --> 25:42.360]  Oh, it's not.
[25:43.300 --> 25:44.720]  I fell. I died.
[25:44.720 --> 25:46.800]  Well, that's where I went.
[25:48.600 --> 25:49.740]  We've got to stay on it longer.
[25:50.920 --> 25:51.360]  Okay.
[25:57.150 --> 25:57.970]  Stick with it.
[25:58.070 --> 25:59.250]  Stick with it. Wait.
[26:02.610 --> 26:03.050]  Okay.
[26:03.730 --> 26:05.850]  I can't believe that killed us last time.
[26:05.950 --> 26:06.650]  That was so easy.
[26:09.110 --> 26:10.490]  I can't believe that it's...
[26:10.490 --> 26:10.810]  Oh, no.
[26:13.950 --> 26:15.030]  Hey, there's me. I'm a duck.
[26:16.790 --> 26:18.610]  I can't believe that if we die three times,
[26:18.650 --> 26:19.250]  it's all over.
[26:22.750 --> 26:23.630]  What the fuck?
[26:23.830 --> 26:24.930]  What the fuck?
[26:25.310 --> 26:27.070]  Were we supposed to use that to light the fuse?
[26:27.290 --> 26:29.190]  Oh, no. Okay, it's back. It's back.
[26:29.870 --> 26:31.290]  Oh, shit. Okay.
[26:32.470 --> 26:32.870]  Well...
[26:33.470 --> 26:35.030]  I think I've got to... You've got to time it.
[26:35.230 --> 26:37.010]  I think I've got to... That's it.
[26:37.170 --> 26:39.370]  Wrong way. Oh, that's the wrong way. Wrong way.
[26:44.180 --> 26:45.040]  There we go.
[26:46.200 --> 26:47.380]  Very good. Yeah.
[26:50.180 --> 26:51.760]  Go. Go. Go.
[26:52.180 --> 26:52.640]  Go. Go.
[26:57.780 --> 26:59.180]  Oh, good job, Geoff.
[26:59.240 --> 27:00.940]  This seems way harder than the last level.
[27:02.180 --> 27:03.100]  So much harder.
[27:04.820 --> 27:07.500]  I just get all panicky when I see the screen shake
[27:07.500 --> 27:08.600]  and things are breaking.
[27:08.900 --> 27:10.140]  Oh, it's coming down!
[27:10.460 --> 27:12.160]  Where are we going? Where are we going?
[27:17.140 --> 27:17.620]  Okay.
[27:25.400 --> 27:26.400]  Give me one of them hearts.
[27:29.820 --> 27:31.600]  Where did we get to last time? Level 90.
[27:32.340 --> 27:33.540]  Man, I looked over at the...
[27:33.540 --> 27:35.680]  I looked over at the chat for a second
[27:35.680 --> 27:37.660]  and they're talking about cooking down beef fat.
[27:38.660 --> 27:38.880]  Oh.
[27:39.460 --> 27:41.380]  What the hell is going on over there?
[27:45.830 --> 27:47.130]  What's the latest on beef?
[27:49.690 --> 27:50.570]  It's expensive.
[27:51.870 --> 27:52.750]  It's pricey.
[27:54.530 --> 27:55.350]  What's the crown?
[27:55.790 --> 27:57.350]  This might kill me. Sure did.
[27:57.730 --> 27:59.150]  That's just sure did. It's graffiti.
[28:00.210 --> 28:01.710]  Yeah, I learned that the hard way.
[28:01.930 --> 28:03.250]  I got real excited about it.
[28:06.150 --> 28:07.310]  I thought maybe it would be
[28:07.310 --> 28:08.890]  a nice little secret crown down there.
[28:09.850 --> 28:10.730]  Would you rather eat a...
[28:10.730 --> 28:13.490]  Would you rather eat a horse, duck, or a chicken?
[28:13.650 --> 28:14.790]  I guess I'd rather eat a chicken
[28:14.790 --> 28:16.530]  because I had some for lunch.
[28:19.850 --> 28:21.050]  Duck's good, though. I mean, I feel like
[28:21.050 --> 28:22.690]  in North America, at least. Duck's okay.
[28:22.690 --> 28:24.930]  Not a big duck fan. On a rare occasion.
[28:26.810 --> 28:27.850]  A little rich.
[28:28.470 --> 28:30.310]  I like those crispy duck pancakes.
[28:32.230 --> 28:33.870]  What are crispy duck pancakes?
[28:34.590 --> 28:36.130]  It's like little wraps that you make.
[28:37.070 --> 28:38.290]  Get it from a Chinese.
[28:46.390 --> 28:48.790]  Like a restaurant, you mean?
[28:48.910 --> 28:49.150]  Yeah.
[28:50.030 --> 28:50.630]  Okay.
[28:51.690 --> 28:52.470]  Was that unclear?
[28:54.250 --> 28:55.370]  No, not entirely.
[28:55.890 --> 28:58.590]  Oh, shit!
[29:03.840 --> 29:04.320]  Keep up, losers.
[29:09.020 --> 29:10.720]  Man, the upper deck is speedy.
[29:17.070 --> 29:19.330]  I'm worried about what the boss is going to look like for this.
[29:19.550 --> 29:20.250]  Whenever we get there.
[29:20.970 --> 29:22.270]  I am terrified.
[29:24.010 --> 29:24.870]  Keep up, loser.
[29:24.870 --> 29:24.910]  Keep up, loser.
[29:25.610 --> 29:26.550]  I'm trying.
[29:28.370 --> 29:29.930]  I'm too busy down here losing.
[29:34.050 --> 29:36.230]  Oh, look at that textbook. Look at this.
[29:38.310 --> 29:38.910]  Alright.
[29:39.710 --> 29:41.010]  We got one life.
[29:43.410 --> 29:44.550]  Let's not lose it.
[29:44.590 --> 29:45.330]  Everyone be sensible.
[29:47.690 --> 29:47.930]  Nope.
[29:49.670 --> 29:50.590]  Will not.
[29:54.440 --> 29:55.040]  Okay.
[29:56.100 --> 29:57.080]  There's no rush.
[29:57.300 --> 29:59.620]  Nothing's happening that means you need to rush.
[30:00.940 --> 30:03.320]  Yeah, being so sensible, it's insane.
[30:06.320 --> 30:06.920]  Wild.
[30:07.200 --> 30:07.400]  Wild!
[30:17.380 --> 30:19.380]  I don't know what I'm doing!
[30:19.600 --> 30:20.920]  I don't know what I'm doing!
[30:21.080 --> 30:21.600]  You gotta commit!
[30:22.540 --> 30:23.640]  I'm so scared!
[30:24.100 --> 30:25.440]  Alright, you've got three lives.
[30:29.740 --> 30:30.100]  Woo!
[30:30.520 --> 30:31.140]  You did it.
[30:32.660 --> 30:33.800]  You son of a bitch.
[30:34.620 --> 30:36.160]  Let's buy some hearts.
[30:38.080 --> 30:38.960]  Get all of them.
[30:43.330 --> 30:44.390]  Can we get like...
[30:44.390 --> 30:45.410]  They need to give us more.
[30:45.830 --> 30:46.670]  I don't like three.
[30:47.190 --> 30:48.770]  How do we level up our character?
[30:49.430 --> 30:52.390]  Whenever we're at one, just pretend you got three and then you'll relax.
[30:52.530 --> 30:52.650]  Okay.
[30:54.290 --> 30:55.070]  Start doing that.
[30:55.870 --> 30:58.450]  And maybe when we're at three, we should pretend we got one so we don't lose any.
[31:00.510 --> 31:00.990]  Ah!
[31:02.750 --> 31:03.230]  No!
[31:05.630 --> 31:06.410]  God damn it.
[31:06.990 --> 31:08.370]  That was what we weren't supposed to do.
[31:08.790 --> 31:10.670]  So how often can you buy a heart?
[31:10.750 --> 31:12.030]  Is it every ten or every five?
[31:12.150 --> 31:14.090]  I think every ten.
[31:15.210 --> 31:15.690]  Damn.
[31:15.970 --> 31:16.910]  I'm gonna go on the left.
[31:19.690 --> 31:20.890]  Maximize the coinage.
[31:21.470 --> 31:22.190]  Good coinage.
[31:24.750 --> 31:26.330]  Okay, we just gotta go nine more.
[31:26.810 --> 31:28.230]  Without losing lives.
[31:29.230 --> 31:30.610]  Come on.
[31:31.190 --> 31:31.910]  Oh!
[31:32.510 --> 31:34.450]  Just fucking suck.
[31:35.410 --> 31:35.990]  Oh!
[31:37.130 --> 31:38.450]  Holy shit!
[31:39.010 --> 31:39.870]  Great job, horse.
[31:40.030 --> 31:41.670]  That was absolutely amazing.
[31:41.790 --> 31:42.330]  Oh my god!
[31:44.110 --> 31:45.990]  I can't believe I made that.
[31:46.350 --> 31:46.670]  Okay.
[31:52.510 --> 31:53.490]  I mean...
[31:53.490 --> 31:55.650]  I'm shitting myself over here.
[31:56.550 --> 31:57.450]  Yeah, I'm shit also.
[31:58.830 --> 32:00.170]  Oh, it's speeding up.
[32:01.250 --> 32:01.850]  Okay.
[32:02.690 --> 32:03.570]  Get real good.
[32:06.790 --> 32:08.350]  Look at that!
[32:12.140 --> 32:13.300]  Oh shit!
[32:14.300 --> 32:15.180]  This is...
[32:15.180 --> 32:15.960]  I don't know when we go.
[32:17.900 --> 32:19.060]  You're good, you're good, you're good.
[32:19.460 --> 32:19.640]  Ah!
[32:20.460 --> 32:21.600]  Oh my god.
[32:22.080 --> 32:22.400]  Okay.
[32:24.280 --> 32:26.580]  If I look at the time, is it still gonna be 437?
[32:27.620 --> 32:28.220]  No.
[32:29.280 --> 32:30.080]  Before 38.
[32:30.080 --> 32:32.280]  I mean, if you were gonna be stuck in a time loop though...
[32:33.140 --> 32:34.160]  I can think of worse ones.
[32:34.280 --> 32:34.880]  Oh shit!
[32:36.400 --> 32:36.860]  446.
[32:37.980 --> 32:39.580]  Time's still moving. Time still exists.
[32:41.500 --> 32:42.940]  And the next will force...
[32:42.940 --> 32:43.280]  Oh!
[32:44.440 --> 32:44.760]  Oh!
[32:46.160 --> 32:47.500]  Oops. Don't do that.
[32:48.000 --> 32:48.780]  Don't do that.
[32:50.300 --> 32:50.740]  Oh!
[32:53.180 --> 32:54.360]  You do it!
[32:54.800 --> 32:55.080]  Oh!
[32:55.940 --> 32:57.280]  Thank god. Thank you.
[32:57.280 --> 32:57.840]  Oh!
[33:00.480 --> 33:01.360]  Someone yelling,
[33:01.480 --> 33:02.220]  did you do it?
[33:05.180 --> 33:07.540]  The platforms were freaking out.
[33:07.680 --> 33:08.700]  I'm sorry.
[33:09.200 --> 33:10.940]  That's okay. We made it. We made it. We're fine.
[33:11.600 --> 33:13.160]  Alright, we can almost buy our heart back.
[33:14.460 --> 33:15.160]  Keep moving.
[33:20.610 --> 33:21.490]  Keep moving?
[33:21.990 --> 33:23.530]  And you just ran off the side.
[33:23.530 --> 33:23.790]  Oh!
[33:25.490 --> 33:25.970]  Oh!
[33:32.460 --> 33:34.440]  I think after we're done, we should
[33:34.440 --> 33:36.300]  force Eric and Nick into this time loop.
[33:36.640 --> 33:38.060]  Oh god. Yeah, absolutely.
[33:38.440 --> 33:39.020]  No kidding.
[33:39.980 --> 33:41.220]  Let's get some lives, eh?
[33:45.600 --> 33:46.440]  Fuck me.
[33:50.570 --> 33:52.870]  Oh, any thoughts on the...
[33:52.870 --> 33:54.690]  Zach Lee wants to know if there's any thoughts
[33:54.690 --> 33:56.710]  on McDonald's bringing the snack wrap
[33:56.710 --> 33:57.170]  back.
[33:58.170 --> 33:58.910]  Never left.
[33:58.910 --> 34:00.070]  I don't know what it is.
[34:00.810 --> 34:02.770]  So, it's a wrap.
[34:03.050 --> 34:04.090]  It's just a snack wrap.
[34:04.750 --> 34:05.890]  What's in it? Is this a boss?
[34:07.170 --> 34:08.710]  It's chicken. It's like different
[34:08.710 --> 34:10.870]  types of... you do like a chicken and bacon
[34:11.670 --> 34:12.930]  type thing. I like chicken
[34:12.930 --> 34:14.690]  and bacon. Is it like in a tortilla?
[34:15.270 --> 34:16.850]  Or is it a pita? Yeah, it's just rolled up.
[34:17.050 --> 34:18.790]  It's a tortilla. Oh, we have to crash
[34:18.790 --> 34:19.770]  the fuses into it.
[34:20.810 --> 34:21.070]  Okay.
[34:25.120 --> 34:26.460]  Oh shit. Oh!
[34:27.020 --> 34:28.360]  Jesus! Oh no.
[34:28.360 --> 34:29.140]  Oh no.
[34:29.920 --> 34:31.280]  What am I gonna... Oh no!
[34:32.320 --> 34:33.080]  Oh shit!
[34:34.800 --> 34:35.600]  Oh no.
[34:36.040 --> 34:38.800]  Oh no. A lot of stuff has to go right.
[34:38.900 --> 34:40.240]  Fuses and then barriers.
[34:41.560 --> 34:42.540]  You gotta like knock it back?
[34:42.680 --> 34:43.900]  There you go. Yeah.
[34:46.920 --> 34:47.600]  Shit it out.
[34:48.800 --> 34:49.680]  Shit it out.
[34:50.880 --> 34:51.280]  Oops.
[34:52.140 --> 34:53.560]  Alright, you don't want to fall in too close.
[34:59.200 --> 34:59.680]  Go!
[34:59.960 --> 35:00.440]  Nice!
[35:01.120 --> 35:03.100]  So fuses come out of his mouth.
[35:06.460 --> 35:07.580]  Bombs come out of his butt.
[35:07.920 --> 35:09.320]  I don't think the coins are worth it.
[35:09.340 --> 35:11.300]  I would just stay away from his asshole.
[35:12.040 --> 35:13.380]  I don't know if we could let
[35:13.380 --> 35:15.280]  Eric and Nick play this level.
[35:16.260 --> 35:17.220]  Ah, shit.
[35:17.700 --> 35:18.860]  Ah, he's just...
[35:18.860 --> 35:20.320]  He's shitting him in stupid places.
[35:21.680 --> 35:23.580]  It's gonna just encourage them
[35:23.580 --> 35:25.100]  to end up back in the emergency room.
[35:25.780 --> 35:26.380]  Haha.
[35:33.850 --> 35:35.370]  Alright, get ready for his gob.
[35:37.890 --> 35:38.490]  Nice!
[35:38.930 --> 35:39.530]  Nice!
[35:40.650 --> 35:43.470]  Oh, I'm not excited for him to escalate difficulty.
[35:43.870 --> 35:44.590]  That sucked.
[35:45.010 --> 35:46.070]  Just as it was.
[35:47.130 --> 35:48.230]  Let's get this heart back.
[35:52.780 --> 35:55.640]  Oh, nice tea you get.
[35:56.720 --> 35:57.060]  Yeah.
[35:58.580 --> 36:00.080]  Gotta get those teas.
[36:04.770 --> 36:05.530]  Oh.
[36:09.260 --> 36:10.020]  Oh.
[36:10.480 --> 36:10.740]  Ah.
[36:11.820 --> 36:12.680]  What the fuck?
[36:12.680 --> 36:13.520]  Is this good? Is it bad?
[36:20.320 --> 36:21.220]  Panic it.
[36:21.480 --> 36:25.360]  Oh, shit!
[36:28.560 --> 36:30.460]  Is this good?
[36:30.720 --> 36:31.340]  Is this bad?
[36:32.760 --> 36:33.920]  I'm freaking out.
[36:33.920 --> 36:35.660]  I'm freaking out.
[36:39.880 --> 36:40.600]  Oh, chief!
[36:40.800 --> 36:43.860]  Oh, we fucking annihilated them.
[36:45.980 --> 36:47.140]  Thanks for the easy ones.
[36:47.260 --> 36:49.740]  Oh, do I get in one of these cars?
[36:53.960 --> 36:54.960]  Good job, Geoff.
[36:57.220 --> 36:58.880]  Is he gonna swing the other way?
[36:58.960 --> 37:01.640]  Wait for it to swing the other way and just get crushed.
[37:02.500 --> 37:03.500]  Can I duck?
[37:04.080 --> 37:06.120]  Oh, I can walk under this thing?
[37:06.940 --> 37:07.620]  I mean, you are one.
[37:08.600 --> 37:09.360]  Oh, that's a good point.
[37:09.660 --> 37:12.160]  I hadn't considered that I wasn't the thing.
[37:13.200 --> 37:14.120]  I thought you just rolled.
[37:14.640 --> 37:16.020]  I thought you did that for a minute.
[37:16.120 --> 37:17.640]  I was like, wow, he failed the roll button.
[37:17.960 --> 37:18.160]  Yeah.
[37:18.900 --> 37:19.700]  Advanced tactics.
[37:24.080 --> 37:24.400]  Oh, no.
[37:31.260 --> 37:32.640]  Sometimes my fingers
[37:32.640 --> 37:34.360]  will go ahead and start going
[37:34.360 --> 37:36.760]  before my brain even acknowledges where I am.
[37:37.400 --> 37:38.320]  Oh, big time.
[37:41.400 --> 37:42.340]  Holy shit!
[37:43.100 --> 37:44.320]  Okay, the world
[37:44.320 --> 37:45.500]  is falling.
[37:47.520 --> 37:48.820]  Would you rather the world
[37:48.820 --> 37:49.660]  fall or the sky?
[37:51.200 --> 37:52.320]  The sky!
[37:56.680 --> 37:57.480]  Where are we going?
[37:58.400 --> 37:59.420]  He's getting the T.
[37:59.420 --> 37:59.480]  He's getting the T.
[38:12.390 --> 38:16.950]  You got this, Gavin!
[38:17.270 --> 38:17.950]  Are you both dead?
[38:18.790 --> 38:20.750]  No, I made it.
[38:22.410 --> 38:23.650]  Oh, come off it.
[38:24.390 --> 38:25.490]  Geoff killed me!
[38:26.830 --> 38:27.910]  Oh, friendly fire.
[38:29.170 --> 38:30.150]  It was a friendly fire.
[38:30.330 --> 38:30.910]  You got bombed.
[38:30.910 --> 38:31.930]  Don't walk into it, Geoff.
[38:32.070 --> 38:33.610]  You gotta jump on it.
[38:33.730 --> 38:34.290]  Oh, yeah.
[38:38.620 --> 38:39.420]  Aim better.
[38:40.460 --> 38:41.240]  Should I just go through the door?
[38:41.980 --> 38:42.300]  Oh, yeah.
[38:43.920 --> 38:45.280]  When did the door open?
[38:47.540 --> 38:48.940]  Oh, I just friendly fired you!
[38:49.460 --> 38:50.400]  I think I was already dead
[38:50.400 --> 38:50.920]  from burning.
[38:56.160 --> 38:56.560]  Damn!
[38:58.020 --> 38:58.420]  Suck!
[38:58.420 --> 38:58.460]  Suck!
[39:10.380 --> 39:12.780]  We're just completely ignoring...
[39:12.780 --> 39:14.580]  We're just getting the level clear.
[39:14.680 --> 39:15.680]  We got progress to make.
[39:15.960 --> 39:19.280]  The point of the game is to get to the door.
[39:22.220 --> 39:23.200]  I'll get rich
[39:23.200 --> 39:24.500]  off the endorsements after.
[39:24.780 --> 39:26.860]  I'll be on a Wheaties box. That's where I'll get my money.
[39:27.560 --> 39:28.580]  My Nike deal.
[39:29.200 --> 39:31.040]  And they won't remember you for hitting all the coins.
[39:31.780 --> 39:32.040]  Right.
[39:33.500 --> 39:34.540]  Oh, nice, Gavin.
[39:35.160 --> 39:37.520]  They're gonna remember me for opening doors
[39:37.520 --> 39:38.440]  and kicking pigeons.
[39:38.660 --> 39:38.860]  That's right.
[39:39.140 --> 39:39.820]  Take it off.
[39:43.580 --> 39:44.820]  Go, go, go, go!
[39:45.020 --> 39:46.460]  I'm gonna kick ass and take pigeons
[39:46.460 --> 39:47.320]  and I'm all out of pigeons.
[39:51.200 --> 39:51.500]  Oh!
[39:52.780 --> 39:54.420]  All three of us!
[39:55.140 --> 39:55.600]  Shit!
[39:55.900 --> 39:57.080]  That was awesome.
[40:00.260 --> 40:01.160]  Come on!
[40:10.380 --> 40:11.420]  Go for it!
[40:17.330 --> 40:19.130]  SonicCorp thinks that Canada has a way better
[40:19.130 --> 40:21.290]  menu at McDonald's than they do in the States.
[40:21.390 --> 40:23.030]  I feel like you agree with that, right, Andrew?
[40:23.070 --> 40:25.610]  You seem pretty pro-Canadian.
[40:26.270 --> 40:27.270]  Way more options.
[40:27.850 --> 40:29.070]  I'm gonna go to Canada
[40:29.070 --> 40:30.690]  and eat some of this trash.
[40:31.670 --> 40:32.470]  Oh, shit.
[40:32.550 --> 40:35.030]  We're probably gonna have to fly up to pay Andrew.
[40:35.950 --> 40:36.570]  Oh, no!
[40:38.030 --> 40:38.950]  Andrew, it's all you.
[40:39.170 --> 40:39.610]  Oh!
[40:44.700 --> 40:45.360]  Oh, no!
[40:45.460 --> 40:45.700]  No!
[40:46.680 --> 40:47.120]  No!
[40:48.800 --> 40:50.020]  God damn it.
[40:50.900 --> 40:53.320]  That stupid game won't let us start where we died.
[40:54.400 --> 40:55.500]  And it's not even 5-0-1.
[40:55.540 --> 40:56.280]  We gotta go again.
[40:57.120 --> 40:58.260]  Is there another level we can do?
[40:58.260 --> 40:59.380]  I can fast forward.
[41:02.980 --> 41:05.040]  We got a sticker? What does a sticker do?
[41:05.420 --> 41:07.120]  I just keep getting new hats.
[41:08.940 --> 41:10.080]  Can I put that sticker
[41:10.080 --> 41:10.940]  on my ass?
[41:11.080 --> 41:11.740]  Where do I put that?
[41:12.380 --> 41:13.920]  You put it in your sticker book.
[41:14.940 --> 41:15.260]  Oh.
[41:16.500 --> 41:18.700]  Yeah, you don't want it.
[41:19.120 --> 41:19.900]  It's for Nalami.
[41:22.320 --> 41:22.960]  Alright, so...
[41:22.960 --> 41:25.640]  Do you want to do new level or do you want to go back to the first one?
[41:25.760 --> 41:27.020]  To see if we can set a new record.
[41:27.020 --> 41:28.320]  Like a little bit of bird redemption?
[41:29.300 --> 41:31.060]  Yeah, some bird redemption for you guys.
[41:31.380 --> 41:33.300]  I predict we don't even make it
[41:33.300 --> 41:34.080]  as far as we did.
[41:34.900 --> 41:35.720]  Uh, agree.
[41:37.160 --> 41:37.820]  Let's do it.
[41:37.840 --> 41:39.340]  I think we can take that bird's anus
[41:40.140 --> 41:41.980]  out to the bins or whatever.
[41:42.080 --> 41:42.500]  What's it say?
[41:43.320 --> 41:45.140]  Take that bird's anus out to the bins.
[41:45.720 --> 41:46.900]  That's it. You got it.
[41:49.420 --> 41:50.760]  That anal binage
[41:50.760 --> 41:51.780]  is coming for that bird.
[41:54.560 --> 41:55.340]  You alright, Geoff?
[41:56.120 --> 41:57.460]  Yeah, I just...
[41:57.460 --> 41:59.540]  It's been a while since I've heard that classic phrase.
[42:00.880 --> 42:01.320]  Hahaha!
[42:04.180 --> 42:05.500]  I believe it was Churchill
[42:05.500 --> 42:06.140]  who said it.
[42:06.240 --> 42:09.520]  I like that this is just the same as if
[42:09.520 --> 42:10.960]  we were just playing offline together.
[42:11.960 --> 42:12.400]  Yeah.
[42:14.640 --> 42:16.020]  It pretty much, yeah.
[42:16.640 --> 42:17.780]  If you guys want to play video games
[42:17.780 --> 42:18.120]  with me.
[42:19.300 --> 42:19.380]  Woo!
[42:24.810 --> 42:25.870]  It's a pretty cute pig.
[42:27.310 --> 42:28.170]  I like it.
[42:28.410 --> 42:29.470]  Ah, shit. Okay.
[42:29.470 --> 42:29.570]  Alright.
[42:30.310 --> 42:33.090]  Oh, it got me!
[42:35.330 --> 42:35.610]  Ah!
[42:37.870 --> 42:39.070]  Go!
[42:40.970 --> 42:41.570]  You...
[42:42.090 --> 42:42.470]  Hahaha!
[42:43.090 --> 42:44.210]  Goddamn sausage!
