[00:00.000 --> 00:01.180]  You're a fool.
[20:08.670 --> 20:10.290]  Where did you even get power up from?
[20:11.850 --> 20:13.470]  Did you have that from last time?
[20:13.930 --> 20:15.590]  No, I picked it up in front of you.
[20:15.690 --> 20:16.530]  Oh god.
[20:17.290 --> 20:18.230]  That was fucking great.
[20:19.050 --> 20:19.410]  Action.
[20:20.210 --> 20:21.730]  I picked it up and used it.
[20:23.230 --> 20:24.570]  You can use it right now.
[20:24.670 --> 20:25.570]  Look at that.
[20:27.130 --> 20:27.750]  What a shot.
[20:28.270 --> 20:29.310]  You might have gotten blowhole.
[20:30.770 --> 20:31.190]  Oh, did I?
[20:31.510 --> 20:33.030]  Yeah, the second one might have been blowhole.
[20:34.290 --> 20:35.010]  Oh no!
[20:35.810 --> 20:37.710]  Yeah, you got blown the fuck up, bud.
[20:37.710 --> 20:39.770]  Oh no.
[20:48.270 --> 20:50.450]  Did you activate bomb?
[20:50.730 --> 20:51.390]  Oh my god.
[20:54.670 --> 20:54.750]  No!
[20:56.470 --> 20:58.870]  You bastard.
[21:03.310 --> 21:05.170]  Fuck yes.
[21:11.070 --> 21:12.890]  Oh yeah, suck me in.
[21:14.290 --> 21:15.150]  There it is.
[21:15.890 --> 21:16.450]  Wow.
[21:17.610 --> 21:20.910]  You knocking me off is the only reason I got power on that level.
[21:24.750 --> 21:25.310]  Shit.
[21:25.730 --> 21:26.490]  That was lucky.
[21:29.230 --> 21:32.430]  I get what blowhole and suckhole are now.
[21:32.430 --> 21:33.850]  Oh man, I suck.
[21:40.070 --> 21:41.950]  What do I have? Nothing.
[21:42.250 --> 21:43.550]  So Gavin, here's the thing.
[21:43.970 --> 21:46.750]  The thing to your right, I think, is blowhole.
[21:47.130 --> 21:49.570]  Which you won't be able to get in.
[21:49.770 --> 21:53.690]  But it will definitely knock that other ball way far away from the hole right there.
[21:54.110 --> 21:57.110]  I'm pretty sure that's what we're looking at with that power up to your right.
[21:57.650 --> 21:58.850]  What about this barrel?
[21:58.990 --> 21:59.750]  You can just sink it.
[21:59.750 --> 22:00.670]  Yeah, try that.
[22:01.190 --> 22:03.050]  Or you can just sink it.
[22:03.330 --> 22:05.370]  Oh yeah, if you just want to sink it.
[22:05.410 --> 22:07.810]  I mean, you're not lined up, so...
[22:08.390 --> 22:09.650]  Holy shit!
[22:10.890 --> 22:12.230]  That was awesome.
[22:12.410 --> 22:14.030]  That was so cool.
[22:16.670 --> 22:17.870]  Wow, that was awesome.
[22:19.050 --> 22:19.530]  Wow.
[22:20.190 --> 22:21.770]  Not enough beans?
[22:23.330 --> 22:23.930]  Oh, get it.
[22:24.670 --> 22:25.370]  Oh, you...
[22:26.230 --> 22:27.110]  You had it.
[22:28.030 --> 22:28.430]  Fuck.
[22:30.270 --> 22:31.150]  Sand trap now?
[22:32.230 --> 22:32.450]  Yep.
[22:33.450 --> 22:35.550]  Oh yeah, there's a little chute there that lands right in the hole.
[22:35.590 --> 22:36.870]  You gotta give it...
[22:36.870 --> 22:38.450]  a bunch to get out of that sand.
[22:38.690 --> 22:39.150]  It's tough.
[22:42.130 --> 22:43.210]  Why in the world?
[22:43.890 --> 22:45.590]  Oh, no.
[22:46.050 --> 22:46.990]  Why would you go for that?
[22:48.230 --> 22:49.350]  I didn't know I could
[22:49.350 --> 22:50.370]  shoot it out of the course.
[22:50.930 --> 22:51.870]  Right, no, but...
[22:51.870 --> 22:54.850]  Right, but I'm asking, why would you go for this?
[22:54.850 --> 22:56.390]  Why do you want blowhole?
[22:57.650 --> 22:58.810]  You want suckhole.
[22:58.990 --> 23:00.530]  I hear good things about it.
[23:06.330 --> 23:07.290]  Good shot.
[23:07.630 --> 23:08.430]  Yeah, plus four.
[23:10.650 --> 23:11.830]  Let's have a look at the score.
[23:13.530 --> 23:14.850]  Geoff at zero.
[23:15.550 --> 23:16.550]  Gavin's at seven.
[23:16.670 --> 23:18.630]  Andrew's plus five. Eric's plus four.
[23:20.030 --> 23:21.150]  I'm a back three guy.
[23:21.990 --> 23:23.570]  When he had that eagle...
[23:23.570 --> 23:24.750]  The free shot.
[23:25.850 --> 23:28.110]  Blowing and sucking and doing all sorts of stuff.
[23:28.330 --> 23:28.530]  Yeah.
[23:30.170 --> 23:31.330]  Oh, look at that.
[23:31.450 --> 23:32.850]  Look at the right side, dude.
[23:35.690 --> 23:37.290]  Look at those girths.
[23:37.490 --> 23:38.730]  Look at these fucking rats in here.
[23:40.370 --> 23:41.310]  Straight out of the hole.
[23:41.670 --> 23:42.610]  Nice shot.
[23:43.030 --> 23:43.470]  I'll take it.
[23:44.650 --> 23:46.890]  I needed that. I have some ground I need to cover.
[23:47.490 --> 23:48.150]  Yeah, I get it.
[23:49.810 --> 23:50.610]  Prairie dogs.
[23:50.610 --> 23:51.250]  No.
[23:53.250 --> 23:54.010]  Too much.
[23:54.710 --> 23:56.310]  There were some prairie dogs at the beach when I went there.
[23:57.050 --> 23:57.830]  Electric shotgun.
[23:58.090 --> 23:59.230]  I feel good about the electric shotgun.
[24:03.750 --> 24:05.050]  Not taking the chance.
[24:05.130 --> 24:06.290]  Are you taking the chance?
[24:06.550 --> 24:08.390]  You got to.
[24:08.850 --> 24:09.550]  Too many beams.
[24:11.370 --> 24:12.850]  It's less beams than you think.
[24:15.110 --> 24:15.870]  That's in the water.
[24:15.930 --> 24:17.190]  Oh, we all needed that.
[24:17.850 --> 24:18.110]  Oops.
[24:18.110 --> 24:18.390]  Oops.
[24:22.050 --> 24:24.010]  Gavin not even chancing it.
[24:24.310 --> 24:25.590]  Well, I won the stuff.
[24:26.110 --> 24:26.710]  Oh, okay.
[24:27.430 --> 24:28.330]  Gavin's a collector.
[24:29.130 --> 24:29.810]  Oh, a shield.
[24:33.030 --> 24:35.570]  That also worked out surprisingly well.
[24:35.770 --> 24:36.810]  That's unbelievable.
[24:38.390 --> 24:38.870]  Alright.
[24:39.310 --> 24:40.670]  Almost blocked me.
[24:40.670 --> 24:40.730]  Yeah.
[24:44.450 --> 24:44.950]  Okay.
[24:46.730 --> 24:47.610]  I'll take heart.
[24:47.810 --> 24:48.650]  Eric tested that earlier.
[24:52.090 --> 24:53.330]  Here we go.
[24:54.650 --> 24:55.330]  You got this, Eric.
[24:56.390 --> 24:57.530]  Be sure to give it enough beams.
[24:59.270 --> 25:00.430]  He got the shield.
[25:00.690 --> 25:01.550]  But I had to see anyway.
[25:02.550 --> 25:03.470]  You suck!
[25:06.090 --> 25:09.070]  But I've activated, so I feel good about it.
[25:10.210 --> 25:11.530]  Oh, is that just on now?
[25:13.810 --> 25:13.870]  Shield!
[25:14.970 --> 25:15.890]  Oh, never mind.
[25:16.310 --> 25:17.010]  He shielded up.
[25:21.730 --> 25:22.930]  Prairie dogs are scared.
[25:23.230 --> 25:23.910]  They're prairie dogging.
[25:24.390 --> 25:26.570]  What just happened?
[25:27.050 --> 25:28.010]  What the hell's going on?
[25:28.290 --> 25:29.030]  That was fast.
[25:29.150 --> 25:30.270]  I'll say you went the wrong way.
[25:30.370 --> 25:31.450]  I think your shield wore off.
[25:33.630 --> 25:36.030]  What am I doing, though?
[25:36.870 --> 25:38.290]  Was that my turn?
[25:38.290 --> 25:39.750]  I don't know. Can you hit any buttons?
[25:40.210 --> 25:41.010]  Can you hit?
[25:42.090 --> 25:44.110]  My camera's, like, centered around the ball.
[25:47.290 --> 25:49.010]  We're gonna need a pad for this game.
[25:49.830 --> 25:51.790]  Are the developers still active on it?
[25:52.190 --> 25:53.690]  Alright, man. Whenever you're ready, go for it.
[25:54.290 --> 25:55.350]  You got this.
[25:55.830 --> 25:57.170]  How do I see what way I'm aiming?
[25:57.330 --> 25:59.090]  Just give it enough beams.
[26:00.070 --> 26:01.050]  You got it.
[26:01.370 --> 26:03.110]  Go ahead.
[26:03.590 --> 26:04.830]  Son of a bitch!
[26:04.830 --> 26:06.830]  I just teleported over there!
[26:09.030 --> 26:10.130]  Oh, I got it!
[26:10.710 --> 26:17.210]  That was great.
[26:20.630 --> 26:22.510]  That was my best opening shot ever.
[26:24.110 --> 26:25.730]  Not your best closing shot.
[26:25.830 --> 26:26.530]  No, definitely not.
[26:28.090 --> 26:29.330]  Oh, God.
[26:32.170 --> 26:32.810]  Frustrating.
[26:34.370 --> 26:34.830]  Roll!
[26:35.990 --> 26:37.190]  Hey, you're back where you were.
[26:37.510 --> 26:38.710]  That's a great spot to be in.
[26:38.710 --> 26:40.050]  That's a great spot.
[26:41.770 --> 26:43.030]  It feels like home, you know?
[26:50.890 --> 26:51.930]  Gavin's all fucked up.
[26:52.010 --> 26:53.150]  He's blowing out his suck hole
[26:53.150 --> 26:54.510]  and sucking out his blowing hole.
[26:55.750 --> 26:56.770]  He's in it.
[26:58.530 --> 26:59.450]  Oh, Gavin!
[27:01.090 --> 27:02.010]  Gavin, it's...
[27:02.010 --> 27:03.770]  What you didn't consider is the beams.
[27:05.950 --> 27:07.410]  Gavin, it's the beams.
[27:08.810 --> 27:10.270]  Don't worry, you got ten inch ones.
[27:10.350 --> 27:10.790]  You'll be fine.
[27:13.850 --> 27:15.730]  Gavin's there in one stroke!
[27:16.030 --> 27:17.670]  That's pretty good. Plus four's pretty cool.
[27:17.750 --> 27:18.470]  Let's check that score.
[27:19.270 --> 27:21.450]  Geoff at plus one, Andrew at plus five,
[27:21.570 --> 27:23.350]  Eric at plus five, Gavin at plus eleven.
[27:24.290 --> 27:25.250]  Gavin, stop!
[27:25.330 --> 27:26.930]  Everybody could melt down.
[27:26.930 --> 27:27.550]  It's alright.
[27:29.110 --> 27:30.070]  Yeah, stop!
[27:30.250 --> 27:31.250]  Why don't you start melting?
[27:34.130 --> 27:35.110]  I'll start melting
[27:35.110 --> 27:36.350]  as soon as you start blowing.
[27:37.490 --> 27:38.450]  Buddy, my...
[27:38.990 --> 27:40.770]  Take a shot with my ball six meters
[27:40.770 --> 27:41.810]  away from my guy.
[27:43.030 --> 27:44.550]  Oh, what the fuck?
[27:44.990 --> 27:45.810]  There's water!
[27:45.910 --> 27:48.590]  Hey guys, be careful. There's no guardrails there.
[27:49.750 --> 27:50.350]  Oh...
[27:52.930 --> 27:53.530]  Oh...
[27:56.230 --> 27:57.910]  Wow, what a shot!
[28:00.750 --> 28:02.310]  You really couldn't
[28:02.310 --> 28:03.230]  have Geoff do that.
[28:04.030 --> 28:05.010]  That's the problem.
[28:05.530 --> 28:06.950]  That was really impressive.
[28:08.610 --> 28:10.150]  Is that why you announced instead of
[28:10.150 --> 28:10.690]  played, Geoff?
[28:11.630 --> 28:12.710]  I'm sorry, what happened?
[28:13.610 --> 28:14.950]  Yeah, I was too good.
[28:15.890 --> 28:17.170]  No, I...
[28:18.050 --> 28:18.570]  My...
[28:18.570 --> 28:20.370]  I have a deep hatred of
[28:20.370 --> 28:21.890]  golf video games.
[28:23.710 --> 28:24.490]  Fireball, do it!
[28:25.190 --> 28:25.350]  Oh!
[28:26.970 --> 28:28.810]  Wait, is that just there now?
[28:29.290 --> 28:30.950]  Ha ha ha!
[28:32.550 --> 28:34.130]  I didn't know what it does.
[28:35.390 --> 28:37.270]  I'm glad you really figured it out
[28:37.270 --> 28:37.910]  really well.
[28:37.990 --> 28:38.570]  It does bad!
[28:40.910 --> 28:42.430]  Maybe he put out the flames.
[28:43.750 --> 28:44.650]  Don't worry, Geoff's got it.
[28:48.020 --> 28:48.500]  Nice!
[28:49.120 --> 28:49.660]  Yeah, way to go, man.
[28:50.320 --> 28:51.420]  Back to zero, huh?
[28:51.480 --> 28:52.560]  Back to par, yeah.
[28:54.100 --> 28:55.180]  I'm a regulation guy.
[28:56.100 --> 28:57.440]  Oh, that's rough.
[28:57.740 --> 28:58.240]  Oh, Gavin.
[28:59.260 --> 29:00.580]  You're gonna have to bank that.
[29:01.740 --> 29:03.400]  Just don't hit my ball.
[29:03.860 --> 29:04.180]  Just bank it.
[29:06.900 --> 29:07.860]  Okay, great.
[29:08.540 --> 29:09.020]  Phenomenal.
[29:10.800 --> 29:11.760]  Just to keep you updated,
[29:11.900 --> 29:13.780]  Gavin, you don't currently have a power-up.
[29:13.780 --> 29:15.400]  Thank you.
[29:15.900 --> 29:17.140]  Empty pocket prick.
[29:18.100 --> 29:19.780]  That's what they call me.
[29:20.640 --> 29:21.460]  It's in the hole.
[29:22.120 --> 29:22.460]  Damn.
[29:24.640 --> 29:25.980]  Needed some more beans.
[29:26.220 --> 29:27.240]  Yeah, just a little bit more.
[29:30.680 --> 29:31.920]  Should we make the final hole
[29:31.920 --> 29:32.700]  more interesting?
[29:33.200 --> 29:35.480]  What does that mean?
[29:36.240 --> 29:37.020]  Put some money on it?
[29:37.300 --> 29:39.180]  I forgot that I had a power-up. Geoff didn't help me.
[29:40.060 --> 29:40.840]  Put lunch on it.
[29:41.500 --> 29:41.760]  Oh!
[29:43.300 --> 29:44.100]  I mean...
[29:44.100 --> 29:46.260]  Do you guys...
[29:50.760 --> 29:52.220]  Best score on the final hole
[29:52.220 --> 29:53.980]  I'll do, because I think Geoff has this won.
[29:54.840 --> 29:55.600]  Yeah, that's what I was saying.
[29:56.220 --> 29:58.140]  I don't want to draw too much attention to myself.
[29:59.600 --> 30:00.780]  What is it gonna do?
[30:02.640 --> 30:04.160]  I want to fly under the radar.
[30:05.180 --> 30:05.820]  And then I've won
[30:06.380 --> 30:07.560]  without anybody realizing it.
[30:07.640 --> 30:09.020]  Gavin's at, like, plus 14.
[30:09.020 --> 30:10.820]  What are you talking about?
[30:11.160 --> 30:12.940]  Yeah, but...
[30:12.940 --> 30:14.380]  Geoff, are you capable of that kind of meltdown?
[30:15.100 --> 30:15.800]  Yeah, man!
[30:18.180 --> 30:19.320]  It's been documented
[30:19.320 --> 30:20.820]  for fucking 21 years.
[30:21.100 --> 30:22.880]  Geoff's at 0, Andrew at 5,
[30:23.120 --> 30:25.660]  Eric's at plus 6, and Gavin's at plus 12.
[30:26.840 --> 30:27.420]  Oh, boy.
[30:27.720 --> 30:29.080]  So if I just 1-1 this, it's over.
[30:29.200 --> 30:29.620]  Yeah, here we go.
[30:30.200 --> 30:31.300]  Let's do it.
[30:37.520 --> 30:38.020]  Spring?
[30:38.660 --> 30:38.960]  Yep.
[30:38.960 --> 30:40.660]  Already been sprung!
[30:49.820 --> 30:51.560]  Now I'm sprung.
[30:53.500 --> 30:54.620]  Okay, so...
[30:54.620 --> 30:55.640]  If I do this...
[31:02.080 --> 31:05.760]  Oh, you better spring.
[31:05.960 --> 31:06.320]  Look out!
[31:08.780 --> 31:10.020]  That's good, you evaded him.
[31:10.020 --> 31:11.960]  You scared the shit out of him.
[31:14.000 --> 31:15.680]  Spring has sprung!
[31:18.320 --> 31:18.620]  Oh!
[31:22.300 --> 31:24.280]  I didn't even know that was a thing.
[31:26.140 --> 31:27.580]  I guess that kind of makes sense.
[31:28.300 --> 31:28.440]  Yeah.
[31:30.620 --> 31:33.860]  I thought maybe I'd spring back on.
[31:33.940 --> 31:34.380]  It didn't work.
[31:36.520 --> 31:36.860]  Alright.
[31:36.860 --> 31:39.460]  And then there's Geoff, unabated to the hole.
[31:42.400 --> 31:44.520]  I never say unabated.
[31:45.740 --> 31:47.620]  Geoff is going up against Geoff.
[31:50.020 --> 31:51.400]  That ball has legs.
[31:52.340 --> 31:53.540]  Where's the nuke powerup?
[31:54.240 --> 31:55.160]  There's the blowhole.
[31:55.680 --> 31:56.160]  To the left.
[31:56.580 --> 31:58.260]  Gavin, you can get him. He's straight ahead of you.
[31:58.780 --> 32:00.620]  Yeah, should I just go full bore?
[32:00.860 --> 32:01.100]  Yeah!
[32:01.700 --> 32:02.760]  I mean, no, but yeah.
[32:05.300 --> 32:06.620]  Bad scorpion's gonna get you.
[32:06.760 --> 32:07.680]  Bad scorpion's a prick though.
[32:12.000 --> 32:12.800]  Bull beans?
[32:13.520 --> 32:13.920]  Shit.
[32:15.060 --> 32:16.300]  Wow, who could have seen that coming?
[32:17.300 --> 32:18.100]  That's so nuts.
[32:19.860 --> 32:20.260]  Anyway.
[32:21.260 --> 32:22.040]  Yeah, here we go.
[32:23.720 --> 32:25.180]  Wait, does that mean you go back to the start now?
[32:25.980 --> 32:26.660]  Wait, does it?
[32:27.080 --> 32:27.720]  I don't know.
[32:27.780 --> 32:28.460]  Oh, shit.
[32:29.180 --> 32:30.240]  Oh, in the boat.
[32:36.270 --> 32:37.710]  Oh, no, Eric.
[32:37.890 --> 32:39.170]  I'm good, I'm good.
[32:40.190 --> 32:40.590]  Spring!
[32:42.370 --> 32:43.170]  Right there.
[32:43.290 --> 32:43.690]  That's fine.
[32:43.910 --> 32:45.930]  At least now I'm lined up so I can get over the hole.
[32:46.430 --> 32:47.910]  I get over that little hump and then we're good.
[32:51.250 --> 32:51.650]  Bullshit.
[32:58.030 --> 32:59.230]  Fucking twin brother.
[32:59.230 --> 33:00.390]  Parrot me and everything.
[33:03.050 --> 33:04.610]  What's that power up round there?
[33:05.170 --> 33:05.590]  Suckle.
[33:06.210 --> 33:09.770]  Oh, I missed it.
[33:09.890 --> 33:10.610]  Oh, God.
[33:11.230 --> 33:12.710]  Uh-oh, uh-oh, uh-oh.
[33:12.870 --> 33:13.290]  What?
[33:14.510 --> 33:16.290]  Well, now you get another chance at it, buddy.
[33:19.210 --> 33:21.730]  Alright, back to the beginning of the course here with Andrew.
[33:22.430 --> 33:22.910]  What?
[33:28.370 --> 33:29.610]  Oh, my God.
[33:29.710 --> 33:30.370]  This game sucks.
[33:30.950 --> 33:32.650]  I'm tired of this life right now.
[33:34.070 --> 33:36.370]  I think you can go into the hole.
[33:36.570 --> 33:37.790]  I think you can go right in there.
[33:38.530 --> 33:38.550]  Oh, I was trying.
[33:38.550 --> 33:38.590]  Oh.
[33:43.730 --> 33:44.690]  Fucking scorpion.
[33:45.090 --> 33:46.130]  I hope it stings you.
[33:46.830 --> 33:48.830]  You just get to skip your turn.
[33:48.830 --> 33:51.270]  You've got 50 fucking strokes.
[33:51.490 --> 33:52.510]  This doesn't matter.
[33:52.770 --> 33:54.130]  Just walk off the course.
[33:54.850 --> 33:56.970]  Stop wasting our time.
[33:58.050 --> 33:59.250]  Talk to the guy
[33:59.250 --> 34:01.050]  who's in the beginning of the course.
[34:01.450 --> 34:02.790]  Yeah, plus five.
[34:03.990 --> 34:04.990]  What the fuck
[34:04.990 --> 34:05.610]  was that?
[34:06.850 --> 34:08.070]  Course position.
[34:10.170 --> 34:10.730]  Oh, twine.
[34:11.130 --> 34:11.250]  Oh.
[34:12.930 --> 34:13.750]  Get in.
[34:13.750 --> 34:14.470]  Oh.
[34:16.570 --> 34:17.050]  Spring.
[34:18.170 --> 34:18.810]  Got him.
[34:20.290 --> 34:21.770]  Okay, so I could just...
[34:21.770 --> 34:21.910]  Yeah.
[34:26.430 --> 34:27.250]  You got it.
[34:28.170 --> 34:28.750]  Am I lucky?
[34:29.150 --> 34:32.310]  Yeah, hit B as soon as you hit that power up.
[34:32.390 --> 34:32.870]  3, 2, 1.
[34:34.330 --> 34:34.990]  Hit B.
[34:35.810 --> 34:38.430]  Oh, it's not long.
[34:43.030 --> 34:44.150]  It might be long enough.
[34:45.370 --> 34:46.350]  Go for the hole.
[34:46.430 --> 34:48.210]  Yeah, you got it.
[34:49.370 --> 34:49.910]  Spring.
[34:50.510 --> 34:51.050]  No.
[34:51.470 --> 34:52.810]  All the way.
[34:53.950 --> 34:54.950]  Hell yeah.
[35:00.280 --> 35:01.780]  Oh my god.
[35:03.260 --> 35:04.120]  Geoff, you were right.
[35:04.200 --> 35:05.260]  This is the best video game.
[35:07.620 --> 35:09.020]  That was awesome.
[35:10.180 --> 35:12.140]  This really is the best video game.
[35:12.300 --> 35:13.800]  You were right the whole time.
[35:13.800 --> 35:14.900]  We didn't know.
[35:15.060 --> 35:17.220]  We had no idea. This really is.
[35:17.340 --> 35:19.500]  It's really special. This game is special.
[35:20.320 --> 35:21.220]  This game.
[35:21.360 --> 35:22.240]  You're back there.
[35:26.880 --> 35:28.160]  Oh god.
[35:31.160 --> 35:31.800]  No.
[35:38.980 --> 35:40.100]  That's the blowhole.
[35:48.890 --> 35:50.710]  That's right back right there.
[36:17.640 --> 36:19.200]  Oh my god.
[36:19.200 --> 36:21.040]  And now you blocked the hole.
[36:21.140 --> 36:22.300]  You fucking fell.
[36:24.940 --> 36:26.540]  Oh my god.
[36:28.420 --> 36:30.240]  Oh my god.
[36:34.100 --> 36:35.860]  I'm crying.
[36:37.620 --> 36:39.120]  You bastard.
[36:39.700 --> 36:40.620]  You bastard.
[36:41.400 --> 36:43.020]  I'll kill you.
[36:43.380 --> 36:44.420]  I'll kill you.
[36:46.360 --> 36:48.540]  I don't want to play.
[36:48.840 --> 36:49.320]  Get up.
[36:49.320 --> 36:51.380]  Get up.
[36:58.900 --> 37:02.280]  I just want it to be over.
[37:07.720 --> 37:10.060]  Oh my god.
[37:10.500 --> 37:12.120]  Get away from me, you schmuck.
[37:18.620 --> 37:19.260]  Oh my god.
[37:19.260 --> 37:20.500]  This is your fault.
[37:27.340 --> 37:29.500]  Just get me out of here.
[37:30.780 --> 37:31.740]  Oh my god.
[37:32.020 --> 37:33.480]  I can't laugh any harder.
[37:35.620 --> 37:39.620]  I'll kill you, I swear.
[37:39.620 --> 37:40.260]  I'm on the path.
[37:41.960 --> 37:43.360]  They took so long.
[37:43.480 --> 37:44.740]  The fire went out.
[37:45.400 --> 37:47.460]  You're going to be in the way of Eric now.
[37:47.880 --> 37:48.160]  Oh no.
[37:48.320 --> 37:50.180]  Eric, please.
[37:51.800 --> 37:53.060]  Eric, you can end the cycle.
[37:58.160 --> 37:58.640]  Shit.
[38:09.620 --> 38:10.620]  Oh shit.
[38:11.520 --> 38:12.360]  Oh my god.
[38:12.420 --> 38:15.340]  You did it.
[38:16.180 --> 38:17.700]  You've escaped your own hell.
[38:18.400 --> 38:19.500]  Oh fuck me.
[38:19.940 --> 38:21.460]  Let's just get over there.
[38:26.260 --> 38:28.180]  Is there no max number?
[38:30.000 --> 38:32.140]  I guess we're going to find out.
[38:32.140 --> 38:33.320]  Oh fuck.
[38:33.940 --> 38:35.100]  Oh my god.
[38:38.580 --> 38:39.960]  Alright, let's see who won.
[38:45.200 --> 38:46.920]  So Nick, if you want to swap out,
[38:47.040 --> 38:47.800]  you know, swap in.
[38:47.840 --> 38:49.220]  No wait, Gavin, you've got to play again.
[38:49.820 --> 38:50.520]  Dude, if anything,
[38:52.620 --> 38:53.640]  I'll swap out.
[38:53.920 --> 38:56.220]  No, no, no, you've got to stay in, dude.
[38:56.840 --> 38:58.920]  Dude, first and last have to stay in.
[38:59.000 --> 38:59.480]  Me and Andrew,
[38:59.480 --> 39:01.120]  me or Andrew can swap out.
[39:01.300 --> 39:02.540]  We've got to get Nick in here.
[39:03.560 --> 39:04.360]  Oh no.
[39:05.460 --> 39:07.780]  I'm happy. Andrew feels like
[39:07.780 --> 39:08.460]  he's going to be
[39:08.460 --> 39:10.400]  he wants in it so bad.
[39:10.860 --> 39:12.860]  I'll swap out, you can invite Nick.
[39:12.960 --> 39:13.760]  I'm really excited.
[39:14.660 --> 39:17.620]  Hey, if you enjoyed this video,
[39:18.540 --> 39:18.900]  audience,
[39:19.500 --> 39:20.800]  listen to our podcast.
[39:21.120 --> 39:23.140]  It's like this, but with only words.
[39:24.240 --> 39:25.880]  It's not, nothing's like this.
[39:26.100 --> 39:27.920]  You make the video game
[39:27.920 --> 39:30.340]  You make the video games in your mind while you listen.
[39:31.400 --> 39:32.480]  Check out our Patreon.
[39:32.800 --> 39:33.740]  Nothing is like this.
[39:34.440 --> 39:35.560]  By the way, we don't own Patreon.
[39:35.860 --> 39:38.260]  It's not our Patreon, but check out the Patreon
[39:39.040 --> 39:40.240]  where we have a space
[39:40.240 --> 39:40.760]  on the internet.
[39:41.500 --> 39:42.660]  Regulation.com. What?
[39:42.780 --> 39:45.180]  Patreon.com. Jesus Christ.
[39:45.640 --> 39:46.600]  You guys got it.
[39:47.080 --> 39:48.600]  And we'll see you next time.
