[00:01.840 --> 00:03.840]  Wow, look at this.
[22:58.890 --> 23:00.710]  Now I'm just on a slow Fudge
[23:00.710 --> 23:02.150]  trying to catch the real one.
[23:03.830 --> 23:04.990]  Knock him Geoff.
[23:05.750 --> 23:07.430]  Oh, into the dish.
[23:08.530 --> 23:09.110]  We dished him.
[23:10.410 --> 23:11.990]  Dishing out punishment.
[23:13.390 --> 23:14.850]  Go Nick, go.
[23:14.990 --> 23:17.430]  Oh God in heaven.
[23:18.390 --> 23:22.890]  I just heard Geoff's...
[23:23.310 --> 23:24.590]  Whatever his name is, Gavin.
[23:28.090 --> 23:29.990]  Relapse with the beatdown.
[23:31.250 --> 23:33.150]  I don't know.
[23:33.870 --> 23:35.230]  I don't know.
[23:35.870 --> 23:37.010]  Which one's the real one?
[23:37.010 --> 23:37.510]  It's this one.
[23:38.270 --> 23:40.350]  I got the light on me.
[23:41.770 --> 23:43.730]  They both have the light on them.
[23:43.730 --> 23:44.350]  Double points.
[23:49.110 --> 23:50.630]  I don't know who to follow.
[23:51.150 --> 23:52.110]  God dammit Nick.
[23:55.250 --> 23:56.870]  Yours is the real one it looks like.
[23:57.370 --> 23:57.770]  Counterfeit.
[23:59.470 --> 23:59.870]  Counterfeit.
[24:00.910 --> 24:02.310]  It's gotta be the other one then, right?
[24:02.430 --> 24:03.050]  The one at the beach?
[24:03.050 --> 24:06.330]  Oh, Nick pinned him.
[24:06.990 --> 24:08.210]  That was nasty.
[24:08.730 --> 24:10.490]  Geoff did the same to Nick.
[24:11.910 --> 24:13.650]  My comeuppance was swift.
[24:14.770 --> 24:15.890]  Geoff, that's the real one.
[24:16.770 --> 24:17.210]  Alright.
[24:17.630 --> 24:20.390]  Well, I'm really loving it.
[24:24.210 --> 24:25.810]  Wait, it says it's contested?
[24:25.890 --> 24:27.090]  It says Eric's on the real one.
[24:29.730 --> 24:32.030]  That was a confusing mess.
[24:32.550 --> 24:33.550]  Dammit Matt Bragg!
[24:43.450 --> 24:46.010]  I'm gonna switch this shit to free for all.
[24:46.210 --> 24:49.890]  Feel free.
[24:52.810 --> 24:56.170]  I gotta say, the hero of that round was the neutral observer.
[24:56.590 --> 24:58.150]  I really like this neutral observer.
[24:59.670 --> 25:02.710]  I went to the PO box today and returned a bunch of mail.
[25:02.970 --> 25:03.710]  That didn't belong to us.
[25:05.290 --> 25:06.010]  Thanks, man.
[25:08.190 --> 25:09.670]  We got some sort of a wedding invite.
[25:09.950 --> 25:10.690]  I didn't open it yet.
[25:12.450 --> 25:14.250]  I'm sick of weddings.
[25:14.470 --> 25:15.230]  I will not be attending.
[25:17.390 --> 25:18.770]  To be fair, it could be a graduation.
[25:18.910 --> 25:19.950]  It just seems like an announcement.
[25:21.350 --> 25:22.430]  But I haven't opened it yet.
[25:23.190 --> 25:24.390]  Why am I driving away?
[25:24.590 --> 25:25.330]  I don't know.
[25:25.410 --> 25:28.150]  You started driving towards me and I don't get it.
[25:28.230 --> 25:29.690]  I'm still on the loading screen.
[25:32.410 --> 25:34.010]  Oh my god, Nick.
[25:34.970 --> 25:36.410]  Oh my god, Nick!
[25:37.190 --> 25:38.330]  It had to be done.
[25:39.670 --> 25:40.630]  Yeah, did you get it?
[25:41.690 --> 25:41.890]  Nope.
[25:42.050 --> 25:43.650]  That was so bad.
[25:44.010 --> 25:45.990]  That was a couple whips from Andrew Panton.
[25:46.650 --> 25:48.030]  Oh, just the biggest.
[25:50.150 --> 25:50.670]  Yup!
[25:51.310 --> 25:51.510]  Oh!
[25:51.990 --> 25:53.190]  I got a face full of wool.
[25:55.290 --> 25:56.590]  Oh my god!
[25:56.710 --> 25:58.230]  Nick is just like...
[25:58.230 --> 25:59.690]  You must die!
[26:01.030 --> 26:01.550]  Disgusting.
[26:01.890 --> 26:03.890]  Where did he get a hatchet from?
[26:04.330 --> 26:05.590]  He's hitting me with an axe.
[26:05.790 --> 26:08.070]  Yeah, this one's battle axe.
[26:08.430 --> 26:08.890]  For the weapon.
[26:11.190 --> 26:11.470]  Oh!
[26:12.310 --> 26:14.190]  Eric, that would have been so cool.
[26:14.570 --> 26:15.530]  I tried to be the bird.
[26:18.590 --> 26:19.010]  Oh!
[26:19.610 --> 26:21.870]  My penis! You just axed my penis!
[26:22.670 --> 26:23.870]  Oh, my thumbstick flew off.
[26:24.250 --> 26:24.470]  Good.
[26:25.710 --> 26:27.530]  I thought your name was Alfie Boston!
[26:27.590 --> 26:28.590]  Now your head flew off!
[26:32.650 --> 26:34.050]  Oh, where's that little son of a gun?
[26:35.150 --> 26:35.930]  Rat time, baby!
[26:36.390 --> 26:36.910]  Rat time!
[26:38.310 --> 26:39.730]  I'm sick of rat time.
[26:39.750 --> 26:40.010]  Wrong way!
[26:41.450 --> 26:41.790]  No!
[26:43.270 --> 26:44.770]  I barely caught you.
[26:44.970 --> 26:46.390]  I didn't even know if I was gonna hit you on that one.
[26:47.570 --> 26:48.630]  We gotta get out of here.
[26:49.310 --> 26:50.510]  This is too much.
[26:51.410 --> 26:51.750]  No!
[26:53.430 --> 26:54.310]  It's so...
[26:54.310 --> 26:56.810]  It's so good when you can't see
[26:56.810 --> 26:58.450]  what's happening and then you just
[26:58.450 --> 27:00.170]  hear a bunch of screams.
[27:00.590 --> 27:01.670]  Whoa, a dog! Cool!
[27:01.750 --> 27:03.370]  I'm wasting all this time!
[27:04.450 --> 27:05.810]  Geoff, did you load in?
[27:06.230 --> 27:07.550]  Nah, I'm just listening to y'all.
[27:09.230 --> 27:09.910]  Thanks, man.
[27:10.370 --> 27:10.770]  Oh!
[27:14.990 --> 27:16.310]  Geoff and Hatchets!
[27:17.350 --> 27:17.810]  There you go.
[27:18.530 --> 27:20.110]  There you go, Geoff.
[27:20.210 --> 27:21.330]  You can watch my screen if you want.
[27:22.090 --> 27:22.890]  Yeah, that'd be great, thanks.
[27:23.130 --> 27:26.150]  I was looking at a dog, so I wasn't chasing anyone.
[27:28.750 --> 27:29.550]  I miss Gavin!
[27:30.230 --> 27:31.050]  So Geoff's not in?
[27:31.590 --> 27:32.470]  No, he's in the sky.
[27:33.110 --> 27:33.390]  Bullet!
[27:34.730 --> 27:35.550]  Should we wait?
[27:37.130 --> 27:38.370]  No, you're halfway through.
[27:38.710 --> 27:40.570]  Yeah, let me get back on the bike
[27:40.570 --> 27:41.250]  and then we can wait.
[27:41.830 --> 27:43.670]  I'm just frozen on a picture of Mr. Herman.
[27:43.930 --> 27:45.670]  I don't know if I should reload my game or what.
[27:48.910 --> 27:49.770]  No! The rat!
[27:50.490 --> 27:50.910]  Rat time!
[27:51.570 --> 27:52.050]  Rat time!
[27:55.090 --> 27:55.850]  Killer rat!
[27:58.510 --> 27:59.110]  Rat time!
[27:59.650 --> 28:01.350]  I'm stuck! Rat time! I'm stuck!
[28:01.410 --> 28:01.730]  I'm stuck!
[28:01.730 --> 28:02.690]  I'm stuck!
[28:04.430 --> 28:07.110]  You little rat bitch.
[28:07.330 --> 28:08.390]  You got a ghost face?
[28:09.030 --> 28:10.670]  Yeah, I got rat time.
[28:10.830 --> 28:11.790]  Ghost face? I saw a scream.
[28:12.110 --> 28:12.390]  No!
[28:19.440 --> 28:22.480]  I got it from every which way.
[28:26.960 --> 28:28.760]  I'm just driving around.
[28:29.400 --> 28:30.120]  Just doing nothing.
[28:31.640 --> 28:33.160]  Please move the vehicle.
[28:34.120 --> 28:35.280]  Oh my god!
[28:35.380 --> 28:36.620]  How did that not hit you?
[28:37.220 --> 28:38.120]  I don't know. Goodbye.
[28:38.940 --> 28:39.800]  Coming after you, Nick.
[28:40.900 --> 28:41.400]  Please don't.
[28:47.560 --> 28:48.800]  Serpentining is good, Nick.
[28:57.900 --> 29:01.160]  The gates are collapsing.
[29:01.880 --> 29:03.420]  I'm stuck in the gate!
[29:04.040 --> 29:04.600]  Oh, the train.
[29:04.900 --> 29:06.260]  You've taken my advantage.
[29:08.380 --> 29:09.820]  Oh, I got hit by a gate.
[29:09.920 --> 29:10.560]  Hit by a train.
[29:10.700 --> 29:11.860]  Oh, I got fucked.
[29:14.620 --> 29:15.800]  Someone else has to catch him.
[29:16.260 --> 29:16.920]  Where is he?
[29:18.300 --> 29:19.540]  He's going up the hill.
[29:20.160 --> 29:21.000]  He's trying to go up there.
[29:21.500 --> 29:23.680]  He's trying to go up the hill.
[29:23.780 --> 29:24.640]  He's coming back down the hill.
[29:24.980 --> 29:26.320]  He's coming back down the hill, baby!
[29:26.920 --> 29:27.640]  Oh no!
[29:27.640 --> 29:29.340]  Oh no!
[29:30.280 --> 29:32.500]  Hey, Eric, I'm spectating in-game, so you can stop.
[29:32.500 --> 29:32.900]  Okay, cool.
[29:35.660 --> 29:37.000]  Damn, rat time's back.
[29:37.180 --> 29:37.860]  Go, rat, go.
[29:38.120 --> 29:39.300]  Go, rat, go.
[29:39.640 --> 29:41.080]  No, rat, no!
[29:41.200 --> 29:44.200]  No, this is bullshit. You're dead as dicks. I'm gonna kill you.
[29:45.040 --> 29:45.640]  Go, rat, go!
[29:46.960 --> 29:48.700]  That fence can't save you forever.
[29:55.240 --> 29:57.260]  Circling like a fucking pack of...
[29:57.260 --> 29:58.840]  You guys are like hyenas.
[29:58.960 --> 30:01.400]  There you go.
[30:03.040 --> 30:04.880]  Oh, I'm gonna kill you.
[30:07.280 --> 30:10.180]  Go, rat!
[30:13.180 --> 30:14.540]  Go, rat, you motherfucker!
[30:18.680 --> 30:27.020]  Oh, Nick!
[30:30.800 --> 30:31.740]  Oh, rat!
[30:32.100 --> 30:35.020]  That was the razziest entrance.
[30:35.660 --> 30:36.340]  Get him!
[30:36.600 --> 30:37.480]  Not me!
[30:38.280 --> 30:39.460]  No, get him!
[30:39.900 --> 30:41.260]  He's the rat guy!
[30:41.940 --> 30:44.040]  The rat guy's gonna win!
[30:44.360 --> 30:45.460]  No, he's not.
[30:46.060 --> 30:47.140]  Go, rat, go!
[30:48.540 --> 30:50.300]  I'm dragging a corpse!
[30:53.540 --> 30:54.640]  What the...
[30:54.640 --> 30:56.120]  Dude, look, you took a chunk out of that.
[30:56.120 --> 30:56.940]  Oh, goddammit.
[30:59.360 --> 30:59.740]  No!
[31:04.220 --> 31:04.980]  Oh, goddammit!
[31:06.960 --> 31:09.280]  Don't worry, it goes slow when you go forward, too.
[31:14.700 --> 31:15.660]  I crashed myself.
[31:18.080 --> 31:18.860]  No, the train!
[31:20.820 --> 31:22.060]  Shit, I suck.
[31:22.240 --> 31:23.540]  Goddammit, the train, come on!
[31:23.800 --> 31:25.520]  You guys are gonna kill each other.
[31:25.520 --> 31:28.000]  It wasn't time for the rat to show up and take it.
[31:28.580 --> 31:29.500]  Where'd it go?
[31:29.800 --> 31:30.960]  It respawned!
[31:34.460 --> 31:36.760]  Wasted all my time going away, that wasn't even right.
[31:36.880 --> 31:37.420]  Now I gotta go back.
[31:38.280 --> 31:39.980]  I could've just waited on killing Gavin!
[31:40.500 --> 31:42.020]  Yeah, you gave him the fucking badgie.
[31:44.980 --> 31:45.420]  Bully!
[31:45.680 --> 31:46.300]  I gave him nothing!
[31:48.180 --> 31:49.060]  What happened?
[31:49.840 --> 31:51.080]  You went through a fence.
[31:55.980 --> 31:59.960]  Andrew driving out of the fence was fucking very funny.
[32:01.760 --> 32:02.680]  He's around the back!
[32:02.840 --> 32:03.320]  Get him!
[32:03.880 --> 32:04.360]  Go!
[32:06.700 --> 32:08.500]  You fucking moron!
[32:08.920 --> 32:09.440]  You idiot!
[32:09.860 --> 32:14.180]  You fucking bunched up my chef dipshits!
[32:14.660 --> 32:16.800]  That is so fucking funny.
[32:17.980 --> 32:19.100]  This game's fake!
[32:19.960 --> 32:21.380]  I thought it was real!
[32:22.560 --> 32:23.180]  Oh!
[32:25.860 --> 32:27.040]  Wait, where's Eric?
[32:29.140 --> 32:31.260]  Why are you all hitting me?
[32:32.660 --> 32:33.900]  100% bullshit!
[32:35.980 --> 32:36.300]  Damn it!
[32:37.560 --> 32:38.260]  No!
[32:38.600 --> 32:39.420]  Wrong vehicle, Nick!
[32:40.780 --> 32:42.480]  You've wasted your opportunity.
[32:42.680 --> 32:44.580]  Gavin's gonna fucking eat your lunch now.
[32:45.560 --> 32:46.520]  I'm hungry.
[32:46.900 --> 32:48.020]  Hungry for the luncheon!
[32:49.900 --> 32:51.260]  Oh shit!
[32:52.440 --> 32:53.320]  Left hook!
[32:53.320 --> 32:54.800]  Left hook!
[32:55.620 --> 32:57.560]  As soon as I got there, dude!
[32:57.800 --> 32:57.900]  Jesus!
[33:00.360 --> 33:02.620]  Nobody's getting on this thing anytime soon.
[33:03.000 --> 33:05.600]  I think it's respawning.
[33:06.800 --> 33:07.740]  I hope it is!
[33:08.760 --> 33:09.960]  Let me escape!
[33:10.060 --> 33:11.900]  Let me escape with it!
[33:14.160 --> 33:15.360]  Kill Andrew!
[33:16.200 --> 33:17.280]  Where is he?
[33:17.820 --> 33:19.480]  Oh, Gavin Clutch!
[33:19.640 --> 33:22.060]  Get away from my bike!
[33:22.060 --> 33:23.720]  I tripped on my bike!
[33:23.760 --> 33:25.120]  There's too much shit in it!
[33:29.760 --> 33:31.900]  Nick just took your chin off!
[33:32.040 --> 33:33.060]  I've got de-chinned!
[33:33.680 --> 33:36.180]  You got tomahawked in the fucking grill!
[33:36.340 --> 33:37.700]  He pre-lapsed my chin!
[33:38.260 --> 33:38.920]  Oh, he did!
[33:40.820 --> 33:43.800]  And then you bonked your head on the side of the fucking street sign!
[33:43.820 --> 33:44.620]  Stop watching me!
[33:45.000 --> 33:46.060]  Spectate someone else!
[33:46.480 --> 33:47.420]  No way, dude!
[33:47.420 --> 33:48.640]  There's too much going on with you!
[33:48.640 --> 33:51.960]  Come here, bitch ass!
[33:51.960 --> 33:53.080]  Oh, that was so unnecessary!
[33:55.160 --> 33:55.920]  Oh, he stunned me there.
[33:55.940 --> 33:56.540]  How did he win it again?
[33:57.020 --> 33:58.260]  Keep your head off of metal!
[34:00.660 --> 34:01.540]  Eat shit!
[34:02.160 --> 34:02.880]  Eat shit, ass!
[34:05.540 --> 34:06.660]  God damn it!
[34:06.740 --> 34:08.380]  Get the fuck on there!
[34:08.740 --> 34:09.900]  There he goes!
[34:10.720 --> 34:12.460]  Zoom, zoom! Oh, you idiot!
[34:12.860 --> 34:13.940]  No, you're still fine!
[34:15.900 --> 34:17.180]  Andrew saved your life!
[34:17.180 --> 34:20.720]  How are you not dead?
[34:21.320 --> 34:22.540]  Because you killed me!
[34:23.080 --> 34:24.220]  No, but I hit him again.
[34:24.500 --> 34:25.100]  After that.
[34:25.880 --> 34:27.840]  How are you hitting me, but I'm not hitting you?
[34:29.340 --> 34:29.860]  No!
[34:30.440 --> 34:30.960]  No!
[34:32.480 --> 34:33.240]  God damn it!
[34:35.260 --> 34:39.540]  It's so funny when I watch the dick scream as I trail away at one mile an hour.
[34:39.840 --> 34:40.120]  Whoa!
[34:41.740 --> 34:43.260]  That was pretty smooth, Gav.
[34:44.380 --> 34:45.460]  You mother fucker!
[34:46.100 --> 34:46.540]  Wow!
[34:49.900 --> 34:50.780]  Oh, respawn.
[34:54.060 --> 34:55.940]  Eric just sent Gavin right to it.
[34:56.100 --> 34:57.600]  Yeah, go to hell.
[34:57.760 --> 34:59.380]  I gotta stop him from helping Andrew.
[35:00.200 --> 35:01.140]  Oh shit, no!
[35:06.350 --> 35:07.130]  Go, go, go!
[35:07.890 --> 35:08.550]  Fucking move!
[35:13.930 --> 35:15.050]  Every time, Eric.
[35:15.300 --> 35:16.170]  It's so funny.
[35:16.210 --> 35:17.390]  I'm a bullet, baby!
[35:19.190 --> 35:19.850]  Escape!
[35:22.230 --> 35:23.530]  Oh, he's chasing me!
[35:25.650 --> 35:26.990]  It wouldn't let me get in the car.
[35:29.370 --> 35:30.770]  Oh, you're not an impartial observer.
[35:31.030 --> 35:32.170]  Oh shit!
[35:33.350 --> 35:33.850]  Idiot.
[35:38.810 --> 35:40.630]  Oh my god!
[35:42.350 --> 35:43.350]  I'm hungry!
[35:46.390 --> 35:47.750]  Get chewed!
[35:49.870 --> 35:50.790]  Who's next?
[35:52.050 --> 35:53.510]  Oh, it's right there.
[36:05.960 --> 36:08.260]  She's there to pick up the pieces, man.
[36:09.500 --> 36:11.400]  Gavin, that was really good.
[36:12.100 --> 36:14.980]  I can't believe that worked as well as it did.
[36:16.880 --> 36:17.940]  You idiot.
[36:18.500 --> 36:20.940]  This is a safety cage.
[36:20.960 --> 36:26.820]  Fuck your safety cage!
[36:29.300 --> 36:29.980]  No, not Eric!
[36:31.180 --> 36:34.540]  You hit everybody but Eric, you fucking moron!
[36:37.500 --> 36:41.980]  Alright, let's go.
[36:41.980 --> 36:45.940]  Do you take the fucking trailer with you?
[36:48.060 --> 36:50.140]  You fucking moron!
[36:51.120 --> 36:51.960]  Oh, Jesus!
[36:53.060 --> 36:53.860]  Suck it, Nick!
[36:58.280 --> 36:59.500]  Nick, carpool, carpool!
[36:59.900 --> 37:00.960]  Alright, quick, get in, get in!
[37:02.260 --> 37:04.660]  Why would you shit on the guy who's about to win?
[37:04.840 --> 37:06.520]  We can't carpool, damn it.
[37:07.740 --> 37:08.300]  Ow!
[37:08.580 --> 37:08.880]  Ow!
[37:09.260 --> 37:11.440]  What the god damn was that?
[37:11.840 --> 37:12.160]  I got fucked.
[37:16.640 --> 37:17.240]  Respawned.
[37:17.240 --> 37:18.700]  Shit, I get a vehicle, Gavin.
[37:18.900 --> 37:19.320]  I know.
[37:22.600 --> 37:23.640]  Come here, someone!
[37:29.780 --> 37:31.100]  I'm walking into you.
[37:32.900 --> 37:34.500]  I'm walking into you.
[37:36.380 --> 37:36.860]  Who?
[37:37.560 --> 37:39.640]  Gavin, I'm getting him in my sights.
[37:39.940 --> 37:41.280]  Gavin got that good AIDS.
[37:42.300 --> 37:43.860]  Revenge kill, baby!
[37:44.700 --> 37:45.620]  You guys remember AIDS?
[37:46.780 --> 37:48.000]  How could I forget?
[37:48.460 --> 37:49.780]  Arsenio Hall, the whole gang?
[37:51.160 --> 37:52.700]  You talking about vaginal fluids?
[37:55.940 --> 37:57.780]  Yeah, yeah!
[37:58.200 --> 38:00.120]  After he hit me. Get real.
[38:01.920 --> 38:02.580]  Oh god.
[38:03.900 --> 38:05.460]  How is none of that hitting you?
[38:06.040 --> 38:07.000]  Oh my god!
[38:08.720 --> 38:09.460]  Gavin!
[38:13.100 --> 38:14.580]  Andrew sucks.
[38:20.480 --> 38:21.220]  Die!
[38:22.840 --> 38:24.440]  How is he not dead?
[38:24.760 --> 38:25.100]  Die!
[38:26.280 --> 38:27.620]  Dude, you gotta use my footage.
[38:28.360 --> 38:29.100]  Bullet!
[38:29.940 --> 38:31.020]  No, it didn't go!
[38:32.180 --> 38:33.920]  Eric just rolled up.
[38:35.060 --> 38:36.580]  Don't run me over!
[38:38.780 --> 38:40.800]  I've got some great cams.
[38:40.800 --> 38:42.040]  You lucky bitch!
[38:42.400 --> 38:43.480]  You luckiest bitch!
[38:45.580 --> 38:47.520]  Damn these tiny wolves!
[38:47.720 --> 38:49.520]  You fucking suck, dude.
[38:53.140 --> 38:55.900]  Damn these tiny wolves.
[38:57.860 --> 38:59.160]  Die, you little motherfucker!
[38:59.520 --> 39:00.060]  That's right!
[39:03.240 --> 39:04.540]  Oh god!
[39:05.100 --> 39:06.360]  No!
[39:10.560 --> 39:10.800]  No!
[39:12.940 --> 39:14.400]  Is everyone gone?
[39:14.920 --> 39:15.140]  Excellent.
[39:15.780 --> 39:17.300]  And it's blocked.
[39:22.070 --> 39:23.870]  That was incredible!
[39:24.790 --> 39:26.590]  That was so good, man.
[39:26.850 --> 39:27.850]  Inspired, Gavin.
[39:28.350 --> 39:29.490]  That was so wonderful.
[39:30.210 --> 39:30.890]  Get through here.
[39:31.550 --> 39:35.470]  You fucking wheelied yourself off.
[39:37.270 --> 39:38.630]  Oh god!
[39:39.450 --> 39:40.410]  No, Eric!
[39:41.270 --> 39:42.830]  No, don't kill me!
[39:52.700 --> 39:54.720]  The rat's headed for the sea!
[39:57.100 --> 39:58.860]  Stop it before the plague spreads!
[40:06.640 --> 40:08.700]  Pied Piper, that little fucker!
[40:09.560 --> 40:11.460]  I'm leading them to the sea, Geoff!
[40:11.840 --> 40:12.280]  No!
[40:19.980 --> 40:22.280]  I thought he was going to go real fast in the sand.
[40:22.660 --> 40:26.420]  Oh Gavin.
[40:28.680 --> 40:33.240]  Alright, I'm going to work the wheelies
[40:33.750 --> 40:35.840]  to my advantage without overdoing it.
[40:36.420 --> 40:37.760]  See, you better get in that tunnel
[40:37.760 --> 40:39.200]  or they can't follow you.
[40:40.320 --> 40:42.240]  They can definitely follow you.
[40:42.280 --> 40:47.600]  Damn this rat!
[40:50.100 --> 40:55.300]  Andrew, you...
[40:55.300 --> 40:56.160]  Whoops.
[41:01.340 --> 41:02.380]  You...
[41:02.380 --> 41:02.880]  Rat!
[41:04.580 --> 41:05.080]  No!
[41:06.300 --> 41:07.060]  He's...
[41:07.640 --> 41:09.620]  He's doing rat-spamma.
[41:09.660 --> 41:13.140]  To the sea!
[41:15.240 --> 41:16.620]  Ah, wet bike.
[41:22.280 --> 41:25.340]  Oh, de-spawned!
[41:25.540 --> 41:25.840]  No!
[41:26.260 --> 41:29.060]  Oh shit, my bike's dead!
[41:29.360 --> 41:30.980]  Oh no! We fucked ourselves!
[41:30.980 --> 41:34.200]  Near the ocean and then de-spawned it.
[41:36.880 --> 41:39.160]  We gotta kill each other!
[41:39.260 --> 41:39.820]  We gotta kill each other!
[41:45.580 --> 41:47.400]  Go save the farm!
[41:51.960 --> 41:56.900]  Gavin, the guy who's winning!
[42:02.580 --> 42:05.360]  Yeah, second thought, not good.
[42:05.640 --> 42:09.040]  Yeah, I had a thought.
[42:09.220 --> 42:10.300]  Get off!
[42:10.760 --> 42:13.480]  Oh, that's a hard ratting right there.
[42:14.760 --> 42:15.920]  It's the disrespect.
[42:23.830 --> 42:24.270]  No!
[42:24.970 --> 42:27.290]  You guys are never gonna catch up!
[42:27.730 --> 42:29.130]  I'm on my way to him!
[42:29.970 --> 42:30.990]  That was brutal.
[42:32.710 --> 42:34.650]  Don't you get cocky with your wheelies!
[42:36.030 --> 42:38.130]  Oh, that's my blood on that sign!
[42:38.530 --> 42:39.130]  Bullet!
[42:39.430 --> 42:39.910]  Oh shit!
[42:41.910 --> 42:42.730]  Get out!
[42:42.870 --> 42:43.390]  Get out!
[42:44.990 --> 42:45.150]  No!
[42:47.330 --> 42:47.450]  No!
[42:47.710 --> 42:47.910]  No!
[42:49.810 --> 42:50.410]  Bullet!
[42:54.460 --> 42:55.380]  Oh shit!
[42:57.760 --> 42:58.680]  Give me this!
[42:58.840 --> 43:00.060]  Give me this goddamn thing!
[43:02.500 --> 43:04.520]  Son of a bitch ass!
[43:12.420 --> 43:13.800]  Oh shit!
[43:15.080 --> 43:16.260]  Oh my god!
[43:16.620 --> 43:18.120]  Was not expecting a car!
[43:18.880 --> 43:19.560]  Fuck!
[43:22.740 --> 43:27.700]  Oh, you bitch!
[43:29.060 --> 43:30.360]  You're not gonna hit me twice.
[43:32.420 --> 43:34.040]  Oh, come on!
[43:36.020 --> 43:37.320]  Oh shit, no!
[43:44.460 --> 43:45.500]  It's respawned!
[43:45.940 --> 43:46.840]  Go, go, go!
[43:48.220 --> 43:49.380]  Gavin's coming, he's coming!
[43:49.800 --> 43:50.360]  He's in the car!
[43:52.700 --> 43:53.560]  He's dead!
[43:58.880 --> 43:59.900]  Don't hit me!
[43:59.900 --> 44:01.180]  Hit him!
[44:06.740 --> 44:08.300]  Oh, come on!
[44:13.140 --> 44:14.880]  Go, go!
[44:20.670 --> 44:22.620]  Eric got through that.
[44:23.240 --> 44:27.460]  Guys, they just fixed this fence again.
[44:32.460 --> 44:34.920]  No, get on the right bike!
[44:35.040 --> 44:35.540]  Oh Christ!
[44:35.660 --> 44:37.820]  What the fuck was Nick doing, hiding in the bushes?
[44:38.780 --> 44:40.020]  He's fucking in the bushes, yeah.
[44:42.180 --> 44:46.600]  Give me this goddamn thing!
[44:48.200 --> 44:48.520]  Oh!
[44:49.560 --> 44:49.960]  That's it!
[44:50.500 --> 44:51.960]  That's it, Gavin won.
[44:52.380 --> 44:54.020]  Not over yet.
[44:54.340 --> 44:56.060]  There's 20 seconds, they're not gonna get it.
[44:56.140 --> 44:57.500]  I'm the closest to second.
[44:58.580 --> 44:59.820]  He might have it.
[45:00.270 --> 45:01.240]  Right, that's what I said.
[45:06.660 --> 45:08.560]  This is a slow ass car.
[45:08.980 --> 45:09.360]  Jesus.
[45:10.500 --> 45:11.540]  Five seconds, Gav.
[45:11.780 --> 45:14.900]  Damn, damn, damn.
[45:15.540 --> 45:16.540]  Wheelie of victory!
[45:17.600 --> 45:18.180]  Congratulations!
[45:19.780 --> 45:25.520]  I blame Nick exclusively for not understanding how this game type works for some reason.
[45:26.180 --> 45:27.440]  Nick had the most kills, least deaths.
[45:28.120 --> 45:29.500]  Oh cool, enjoy fourth.
[45:30.100 --> 45:31.020]  Like, cool.
[45:31.580 --> 45:33.640]  So Geoff, are you back in for the final one?
[45:33.960 --> 45:34.480]  I hope so.
[45:34.640 --> 45:36.060]  He's an observer, he should be.
[45:38.200 --> 45:39.580]  God, this game type is awesome.
[45:39.760 --> 45:40.420]  This is really fun.
[45:41.340 --> 45:42.080]  Oh, a fast bike.
[45:44.240 --> 45:45.160]  That's a pretty bike.
[45:45.160 --> 45:45.860]  Am I on a roof?
[45:46.720 --> 45:48.420]  Oh, it's a bloody jet bike.
[45:48.800 --> 45:50.460]  What does that mean?
[45:51.460 --> 45:53.180]  Right bumper to unfold the wings,
[45:53.400 --> 45:55.660]  and left stick to boost and fly!
[45:56.120 --> 45:57.420]  I lost my bike already.
[45:58.060 --> 45:58.500]  Yeah.
[46:03.360 --> 46:04.200]  Open it up!
[46:04.740 --> 46:07.740]  I'm just, like, in someone's backyard.
[46:08.440 --> 46:09.940]  I can't get my bike.
[46:12.460 --> 46:12.900]  Ow!
[46:14.340 --> 46:15.700]  How do some people already get it?
[46:15.880 --> 46:17.400]  I spawned so far away.
[46:18.540 --> 46:21.020]  I'm at the observatory, for God's sake.
[46:22.060 --> 46:23.220]  What's the button to fly?
[46:23.340 --> 46:23.840]  Oh, there it is.
[46:24.340 --> 46:25.220]  Holy shit!
[46:27.180 --> 46:28.260]  I'm gonna have to kill myself.
[46:28.760 --> 46:29.480]  How do you kill yourself?
[46:30.140 --> 46:31.460]  I'm just gonna jump off a roof.
[46:31.600 --> 46:33.580]  You can hold down back and just take pills.
[46:36.280 --> 46:40.720]  Oh, so there's no weapons?
[46:41.360 --> 46:42.660]  You can't do it on this.
[46:42.860 --> 46:43.440]  Isn't there a machete?
[46:44.080 --> 46:46.340]  No, I guess it's the machine guns from the bike.
[46:46.740 --> 46:48.740]  No, there's a machete!
[46:49.300 --> 46:51.140]  I don't know how to use it on my jet bike.
[46:51.440 --> 46:51.960]  No, me neither.
[46:52.060 --> 46:55.140]  I think left bumper is machine gun.
[46:55.980 --> 46:56.180]  Oh!
[46:56.180 --> 47:00.040]  Oh my God!
[47:00.360 --> 47:02.020]  This might be over.
[47:02.720 --> 47:04.140]  This is a rough one.
[47:04.280 --> 47:04.880]  This one's tough.
[47:05.380 --> 47:05.800]  Get away!
[47:06.280 --> 47:06.520]  Damn it!
[47:10.750 --> 47:11.770]  Get machete me!
[47:13.730 --> 47:15.130]  I'm in Hollywood a lot!
[47:16.090 --> 47:17.250]  That was cool.
[47:17.970 --> 47:18.790]  That was real cool.
[47:21.430 --> 47:22.090]  Freedom!
[47:23.110 --> 47:23.710]  Whoa!
[47:24.530 --> 47:25.190]  Ow!
[47:29.390 --> 47:29.990]  Ow!
