[00:00.000 --> 00:01.720]  Traders last night, wow.
[15:21.540 --> 15:22.820]  All right, let me get out of your way, Geoff.
[15:22.900 --> 15:23.080]  Go ahead.
[15:23.120 --> 15:25.360]  Just don't let anybody forget Nick's the bad one, not me.
[15:25.380 --> 15:27.360]  This isn't even the right spot, Gavin.
[15:27.380 --> 15:28.420]  What are you doing over there?
[15:28.540 --> 15:29.340]  So far today.
[15:29.340 --> 15:30.940]  I was just trying to put it on the other end of me.
[15:31.580 --> 15:32.300]  The other end of myself.
[15:32.620 --> 15:33.080]  What do you mean?
[15:34.200 --> 15:36.780]  You gotta put it on the pattern block.
[15:36.840 --> 15:37.780]  Yeah, no shit, son.
[15:38.420 --> 15:39.320]  It's not there.
[15:39.620 --> 15:40.360]  You're saying no shit.
[15:40.440 --> 15:41.040]  It's not there.
[15:41.640 --> 15:42.380]  I had it on there.
[15:42.420 --> 15:43.080]  I just move it.
[15:43.160 --> 15:43.700]  I'm moving it.
[15:45.940 --> 15:46.300]  Okay.
[15:48.880 --> 15:51.620]  I'm glad you took it on a little fucking tour around the neighborhood.
[15:52.120 --> 15:52.760]  Good job.
[15:54.700 --> 15:55.360]  Great, man.
[15:56.680 --> 15:57.040]  What?
[15:59.700 --> 16:01.360]  Fucking MLG pro up there.
[16:01.460 --> 16:02.760]  All right, there it is, boys.
[16:03.200 --> 16:03.920]  All right.
[16:06.540 --> 16:06.900]  Okay.
[16:08.340 --> 16:09.020]  Well, I got...
[16:11.120 --> 16:12.840]  Geoff or Gavin's gonna have to move for you, Andrew.
[16:13.740 --> 16:14.340]  Can I steal this gun?
[16:14.360 --> 16:15.860]  Oh, you need me to move it out of the way again?
[16:16.160 --> 16:16.900]  Little boy who meets.
[16:17.100 --> 16:17.740]  No, no, no, no.
[16:18.200 --> 16:20.300]  No, just needed you to move, but sure.
[16:21.360 --> 16:22.940]  How can he get in if...
[16:23.520 --> 16:24.020]  It could...
[16:24.020 --> 16:26.540]  If you were out of the way, he could have slid past you.
[16:26.880 --> 16:28.380]  Let me rub up against this guy.
[16:28.780 --> 16:29.440]  If this was here...
[16:30.860 --> 16:34.280]  Yes, if that was there, he could just walk in sideways.
[16:34.680 --> 16:35.040]  Oh, no.
[16:35.360 --> 16:37.560]  Oh, no.
[16:38.900 --> 16:40.280]  Theoretically, he could walk in sideways.
[16:42.660 --> 16:47.000]  Oh, dude, fucking Clyde Frogs in Mexico doesn't have a single channel in English.
[16:47.080 --> 16:48.040]  You must have got my hotel room.
[16:48.480 --> 16:48.840]  There we go.
[16:50.820 --> 16:51.660]  Look at that.
[16:52.080 --> 16:53.360]  Hey, all right, boys.
[16:53.700 --> 16:54.800]  Way to go.
[16:55.040 --> 16:56.220]  We nailed it.
[16:57.100 --> 16:58.320]  Send likes to each other.
[17:00.460 --> 17:02.840]  All right, so show me the map.
[17:04.700 --> 17:06.800]  It's the big map where we sit.
[17:07.980 --> 17:08.140]  Sure.
[17:09.620 --> 17:10.060]  Giant.
[17:10.620 --> 17:12.120]  It's in the center of the screen.
[17:13.760 --> 17:14.760]  Can't miss it.
[17:16.580 --> 17:17.660]  Oh, right there.
[17:17.820 --> 17:17.920]  Oh, yeah, the map.
[17:18.120 --> 17:18.520]  Yeah, yeah.
[17:18.520 --> 17:19.920]  A lot.
[17:19.940 --> 17:21.320]  I feel a lot better about.
[17:21.500 --> 17:23.780]  Yeah, I think this is this is a redemption arc for Nick.
[17:23.840 --> 17:24.740]  And I think that's pretty great.
[17:25.040 --> 17:25.900]  I'm feeling good.
[17:26.040 --> 17:28.780]  Yeah, you should be able to pick your stages.
[17:29.640 --> 17:30.200]  All right.
[17:30.200 --> 17:33.060]  I've ticked the snow, which I thought I already did.
[17:34.180 --> 17:36.660]  Everyone, everyone go tick snow.
[17:42.400 --> 17:44.240]  Then we'll only get snow levels, I assume.
[17:44.440 --> 17:46.280]  Woolly winterland is that we want.
[17:46.680 --> 17:46.940]  Yep.
[17:50.980 --> 17:52.780]  OK, OK, OK.
[17:55.100 --> 17:57.040]  You two need to green and blue.
[17:57.160 --> 17:58.640]  You need to stand up and sit.
[18:00.520 --> 18:01.400]  There you go.
[18:01.940 --> 18:02.600]  What the fuck?
[18:02.780 --> 18:02.900]  What?
[18:03.280 --> 18:03.320]  What?
[18:03.320 --> 18:04.120]  We were already sitting.
[18:04.680 --> 18:06.180]  No, you sat a long time ago.
[18:06.760 --> 18:10.380]  You don't need to be actively sitting.
[18:10.420 --> 18:12.540]  You sit once and then activates that you're ready.
[18:12.940 --> 18:14.760]  And so you sat a second time on it.
[18:14.760 --> 18:15.780]  You said, I'm not ready.
[18:15.780 --> 18:16.820]  That's ridiculous.
[18:16.820 --> 18:18.040]  That's the dumbest thing ever.
[18:18.040 --> 18:18.960]  Fuck that.
[18:19.240 --> 18:20.420]  Yeah, I'm going to figure it out.
[18:20.640 --> 18:22.240]  Oh, Nick's so big.
[18:23.080 --> 18:23.520]  Wow.
[18:26.300 --> 18:27.420]  Good lord.
[18:30.160 --> 18:31.240]  I'm nervous again.
[18:31.540 --> 18:32.800]  Thanks, Alpha Kappa.
[18:33.300 --> 18:34.380]  All right, let's get the...
[18:34.380 --> 18:35.760]  Holy shit.
[18:38.620 --> 18:39.180]  So...
[18:39.180 --> 18:41.360]  Get the coin, get the coin, get the coin.
[18:41.960 --> 18:43.120]  Get a turn here.
[18:44.540 --> 18:45.320]  What's happening?
[18:45.860 --> 18:46.580]  Nick's massive.
[18:46.840 --> 18:47.800]  Why did it all freeze?
[18:47.960 --> 18:48.500]  The game froze.
[18:49.660 --> 18:51.200]  Oh, oh, oh, oh.
[18:52.380 --> 18:54.340]  OK, we're good.
[18:54.460 --> 18:55.000]  What happened to the game?
[18:56.640 --> 18:56.980]  Did I get the coin?
[18:56.980 --> 18:57.760]  I'll lag you for a minute.
[18:58.180 --> 18:58.520]  Yeah, probably.
[18:58.720 --> 18:59.020]  Did I get the coin?
[18:59.120 --> 19:00.200]  Probably your internet, Gavin.
[19:01.200 --> 19:01.560]  Netcode.
[19:02.900 --> 19:04.020]  All right, I'm going to use you.
[19:04.160 --> 19:05.200]  All right, Geoff's locked in.
[19:05.600 --> 19:05.900]  OK, good.
[19:06.280 --> 19:07.660]  We need to get in you, Nick.
[19:09.140 --> 19:09.500]  OK.
[19:10.280 --> 19:10.840]  Let me in you, Nick.
[19:10.840 --> 19:12.040]  Let me turn around the other way.
[19:12.580 --> 19:13.320]  Yeah, I'm going to use you.
[19:13.860 --> 19:14.360]  OK, I'm in.
[19:15.840 --> 19:16.940]  Everybody else get in.
[19:17.080 --> 19:18.840]  I need to turn, Andrew.
[19:19.140 --> 19:19.800]  I'll wait until he spins.
[19:20.000 --> 19:20.420]  I'll push you.
[19:20.760 --> 19:22.120]  Andrew, not that guy.
[19:22.660 --> 19:22.680]  There you go.
[19:22.720 --> 19:23.080]  There you go.
[19:23.340 --> 19:24.320]  Why are you picking a bat?
[19:24.360 --> 19:24.800]  He's upside the other.
[19:25.180 --> 19:28.520]  OK, OK, OK, OK, spin you, spin you, spin you, spin you.
[19:30.300 --> 19:31.180]  I'm helping you.
[19:31.780 --> 19:32.500]  Oh, man.
[19:32.600 --> 19:33.340]  I don't know that you are.
[19:33.340 --> 19:33.820]  I'm helping you.
[19:35.260 --> 19:36.020]  There you go.
[19:36.060 --> 19:36.500]  There you go.
[19:36.520 --> 19:37.760]  There we go, there we go, there we go, there we go.
[19:38.080 --> 19:39.740]  Excellent, excellent, excellent.
[19:39.960 --> 19:41.160]  Everybody hop in, Nick.
[19:41.800 --> 19:43.020]  You don't need to until I'm down.
[19:43.020 --> 19:44.040]  Get your dick in here, Geoff.
[19:44.080 --> 19:45.020]  Yeah, I'm doing it.
[19:45.020 --> 19:46.880]  Why do you have to keep spinning?
[19:47.100 --> 19:47.800]  What's the problem?
[19:48.100 --> 19:49.260]  Stop spinning, Andrew!
[19:49.880 --> 19:51.360]  I'm pushing him, I'm pushing him.
[19:51.460 --> 19:52.960]  Network latency and all that.
[19:53.100 --> 19:54.140]  Oh, my God.
[19:54.180 --> 19:54.640]  There we go.
[19:55.120 --> 19:55.640]  You're set.
[19:56.680 --> 19:56.980]  Right.
[19:57.560 --> 19:57.760]  Sit.
[19:57.920 --> 19:58.720]  Sit for a minute.
[19:58.920 --> 19:59.420]  Sit for a second.
[20:00.020 --> 20:00.640]  There you go.
[20:01.580 --> 20:01.900]  Centered.
[20:02.160 --> 20:02.560]  Beautiful.
[20:02.780 --> 20:04.040]  But why are you in there yet?
[20:04.360 --> 20:06.300]  Because I got to be in here to be in my shape.
[20:06.720 --> 20:08.080]  You can get in here eventually.
[20:09.140 --> 20:10.660]  OK, OK, OK, Jesus Christ.
[20:10.840 --> 20:11.660]  Well, don't get out now.
[20:11.700 --> 20:12.420]  You're already in.
[20:12.560 --> 20:13.820]  He's there now.
[20:14.000 --> 20:14.320]  Yeah.
[20:15.680 --> 20:18.080]  But for real, get out, because everybody else has to go in there.
[20:18.820 --> 20:20.340]  Like, you don't want to be there.
[20:20.560 --> 20:22.320]  That's not going to be where Andrew wants.
[20:22.360 --> 20:23.740]  That's probably where Geoff wants to go.
[20:24.040 --> 20:24.580]  That's not right.
[20:26.420 --> 20:28.460]  Geoff, just imagine if you were in there that early.
[20:28.740 --> 20:29.700]  Everyone would be giving you hell, dude.
[20:29.720 --> 20:31.880]  Excuse me, husky detective trying to get by.
[20:32.060 --> 20:32.480]  Excuse me.
[20:32.680 --> 20:32.940]  Pardon me.
[20:33.660 --> 20:34.220]  Pardon me.
[20:35.400 --> 20:35.560]  OK.
[20:36.300 --> 20:37.580]  Geoff, I think you got to go in first.
[20:39.780 --> 20:42.700]  I've surveyed the scene as the detective and I've made the determination.
[20:42.700 --> 20:46.200]  That you probably got to go in there first.
[20:47.920 --> 20:49.040]  Well, how am I going to?
[20:49.120 --> 20:51.160]  OK, wait, I can go forward.
[20:51.500 --> 20:52.260]  Oh, that's good.
[20:52.340 --> 20:53.320]  Let you sneak in.
[20:53.840 --> 20:57.160]  But we got to let we got to let Gavin in first.
[20:57.420 --> 20:58.440]  Gavin's got to get in here.
[20:58.540 --> 21:00.120]  I think you need to go in at the same time.
[21:01.140 --> 21:02.280]  Let's not say that.
[21:02.660 --> 21:03.000]  Yeah.
[21:03.580 --> 21:04.400]  All right. You want to come in?
[21:04.540 --> 21:04.760]  I know you.
[21:05.220 --> 21:06.280]  Oh boy, do I.
[21:07.760 --> 21:09.760]  Why'd you run that fast when he said that?
[21:11.500 --> 21:11.860]  There.
[21:16.560 --> 21:17.580]  Oh, that's easy.
[21:18.140 --> 21:19.700]  That's some easy work, guys.
[21:19.940 --> 21:20.780]  Way to go, boys.
[21:21.000 --> 21:23.020]  That might be that might be a world record.
[21:23.240 --> 21:24.080]  And that could be.
[21:24.640 --> 21:25.740]  Yeah, it had to have been.
[21:25.880 --> 21:28.920]  I'm going to give some MVP out to Gavin once again.
[21:28.920 --> 21:30.260]  I'm blown away by the speed on that one.
[21:30.960 --> 21:31.980]  I'm feeling good.
[21:34.000 --> 21:36.540]  Guys, I'm noticing I'm not getting any MVP votes.
[21:36.760 --> 21:40.740]  I don't know what that's about, but I have noticed that I haven't gotten any.
[21:40.900 --> 21:41.040]  Yeah.
[21:42.420 --> 21:43.540]  Little strange.
[21:45.940 --> 21:51.660]  So you can you sit and then it says it's OK, and then you can leave and it just stays as OK.
[21:52.260 --> 21:53.920]  Oh, that.
[21:55.060 --> 21:55.340]  OK.
[21:56.560 --> 21:57.840]  Oh, wow.
[21:58.440 --> 21:58.960]  Melted.
[22:00.540 --> 22:03.080]  Get your melting pants on.
[22:06.800 --> 22:07.440]  Gavin.
[22:08.720 --> 22:10.180]  He wants to have four needles.
[22:10.880 --> 22:11.200]  Geoff.
[22:13.140 --> 22:14.160]  That was Nick.
[22:14.900 --> 22:15.160]  What?
[22:15.720 --> 22:16.380]  On mine is me.
[22:17.260 --> 22:17.580]  Geoff.
[22:18.380 --> 22:19.740]  I think we see a different screen.
[22:20.320 --> 22:20.880]  Oh, wow.
[22:21.440 --> 22:21.560]  Me.
[22:24.220 --> 22:24.620]  OK.
[22:26.160 --> 22:27.280]  Yeah, this is really easy.
[22:27.300 --> 22:28.140]  I'm going to get the one on the left.
[22:28.340 --> 22:28.820]  Into the hole.
[22:29.700 --> 22:30.220]  I'm going to get.
[22:32.180 --> 22:33.480]  How do I want to do this?
[22:33.580 --> 22:34.080]  I'll get this.
[22:35.200 --> 22:36.120]  Fuck the planet.
[22:37.220 --> 22:37.980]  Melt everything.
[22:40.380 --> 22:40.780]  Yeah.
[22:42.680 --> 22:44.580]  So warm and nice.
[22:46.500 --> 22:48.580]  So nice and warm.
[22:49.200 --> 22:51.300]  All right, I've hit the buttons that you need.
[22:52.360 --> 22:52.600]  OK.
[22:54.480 --> 22:55.580]  Here comes the.
[22:55.800 --> 22:56.280]  Well, I think.
[22:56.740 --> 22:58.460]  Does somebody need to hit this button down here?
[23:00.580 --> 23:01.340]  Is there a button down there?
[23:03.300 --> 23:03.740]  Yeah.
[23:05.020 --> 23:06.200]  That gives you the ball.
[23:08.100 --> 23:12.080]  Oh, you have to you have to make the ball big and then you probably roll it around in the snow
[23:12.880 --> 23:13.660]  and then.
[23:14.280 --> 23:15.380]  Well, don't melt the ball.
[23:15.700 --> 23:17.760]  Oh, Jesus Christ.
[23:17.760 --> 23:20.000]  So I can't have a whoever's going to do the ball.
[23:20.100 --> 23:21.200]  Can't have the thing on.
[23:21.420 --> 23:23.300]  That's being considered an MVP voting.
[23:25.280 --> 23:26.080]  No shit.
[23:28.100 --> 23:29.380]  Do you want to play roll the ball?
[23:30.180 --> 23:31.360]  I just could roll it straight.
[23:31.620 --> 23:32.820]  Just roll it straight.
[23:34.960 --> 23:37.860]  I bet if I sat on this, it would take the ball and put it back over here.
[23:38.060 --> 23:40.640]  I wonder if it'll be so big.
[23:42.240 --> 23:42.880]  I'm all right.
[23:42.900 --> 23:43.380]  I got it.
[23:43.800 --> 23:43.840]  Oh, no.
[23:43.840 --> 23:44.300]  Oh, no.
[23:44.500 --> 23:44.780]  Melted.
[23:44.880 --> 23:45.500]  You better get over there.
[23:45.620 --> 23:46.480]  Andrew, stand up.
[23:46.720 --> 23:47.000]  What?
[23:47.240 --> 23:48.440]  Andrew's Andrew's not paying attention.
[23:48.540 --> 23:48.940]  He doesn't care.
[23:51.560 --> 23:54.540]  Gavin, I think it might be better for you to do it because you can go sideways.
[23:55.420 --> 23:56.680]  It's already melted, Gavin.
[23:57.240 --> 23:57.880]  I don't know if I can.
[23:58.000 --> 23:58.300]  I'm scared.
[23:58.400 --> 23:59.260]  I'll knock it in the water.
[23:59.460 --> 23:59.920]  You know what I mean?
[24:00.140 --> 24:03.420]  I think I, Geoff, I think you need to be up there and then.
[24:05.080 --> 24:08.540]  Oh, you're going to have Gavin go and do it at like an angle and sit.
[24:08.660 --> 24:10.500]  Yeah, I think that that's the way that you got to go.
[24:12.080 --> 24:13.080]  Go a bit bigger.
[24:13.440 --> 24:14.060]  There we go.
[24:14.100 --> 24:14.400]  There we go.
[24:14.460 --> 24:14.820]  There we go.
[24:14.900 --> 24:15.540]  Now grab the.
[24:16.760 --> 24:17.120]  Easy.
[24:18.500 --> 24:19.600]  Now grab the melter.
[24:21.960 --> 24:22.700]  Now what do we do?
[24:23.400 --> 24:23.620]  All right.
[24:23.640 --> 24:24.140]  Now what?
[24:24.460 --> 24:25.760]  You guys have buttons to press.
[24:26.740 --> 24:27.640]  Yeah, we were on those.
[24:28.460 --> 24:28.880]  Yeah, right.
[24:28.920 --> 24:32.960]  And then I think you lower on the buttons again and then you guys can walk through because the
[24:32.960 --> 24:33.880]  gate will lower, won't it?
[24:34.220 --> 24:35.120]  Gavin's missing his button.
[24:36.440 --> 24:37.340]  That's our next big Gavin.
[24:37.520 --> 24:37.900]  That's me.
[24:40.960 --> 24:43.040]  And then you just and then you just walk through.
[24:44.320 --> 24:45.120]  Oh, they do.
[24:45.380 --> 24:45.780]  Oh, OK.
[24:45.820 --> 24:48.340]  Then you guys drop there and let us.
[24:48.480 --> 24:49.020]  And then, yeah.
[24:49.560 --> 24:50.940]  And let us in, guys.
[24:52.300 --> 24:54.120]  I appreciate guys.
[24:54.780 --> 24:56.960]  I appreciate the confusion.
[24:57.160 --> 24:58.140]  Not sure what the confusion is.
[24:58.160 --> 24:58.580]  I love it.
[24:59.340 --> 25:00.500]  Oh, my God, Geoff.
[25:02.440 --> 25:03.040]  That's it.
[25:04.700 --> 25:05.920]  There you go.
[25:06.620 --> 25:08.100]  Gavin got off too fast.
[25:09.200 --> 25:11.480]  No, I'm just going to move all the way up.
[25:11.800 --> 25:12.660]  Well, that's a problem.
[25:17.340 --> 25:18.620]  God damn it.
[25:19.420 --> 25:19.940]  Guys.
[25:23.440 --> 25:24.480]  Hey, guys.
[25:25.260 --> 25:26.140]  Yeah, we got you now.
[25:26.860 --> 25:28.180]  Oh, thanks, man.
[25:28.960 --> 25:29.280]  I win.
[25:29.840 --> 25:30.840]  Let me move.
[25:31.020 --> 25:32.740]  Well, no, no.
[25:33.000 --> 25:34.840]  Why would you do it?
[25:37.420 --> 25:38.580]  Oh, hold on.
[25:38.600 --> 25:39.060]  I'll get it.
[25:39.440 --> 25:40.220]  It's got you.
[25:41.920 --> 25:42.980]  Andrew's got you, Andrew.
[25:43.580 --> 25:43.860]  Good.
[25:44.420 --> 25:44.700]  All right.
[25:44.760 --> 25:46.860]  Everyone get the first time he's ever had Andrew.
[25:47.080 --> 25:48.180]  I'll get the last here.
[25:50.520 --> 25:51.740]  Where is it, Gavin?
[25:51.920 --> 25:52.300]  Down it.
[25:53.380 --> 25:53.780]  OK.
[25:54.640 --> 25:57.520]  Oh, I was very worried that you'd love the previous section.
[25:57.920 --> 25:59.580]  Did you leave it in the previous section?
[26:00.060 --> 26:00.800]  Big time.
[26:01.700 --> 26:03.060]  You put this game.
[26:05.060 --> 26:07.180]  It's that you can't open any other side.
[26:07.480 --> 26:09.120]  It has to be open from the other side.
[26:09.160 --> 26:10.440]  Gavin's not getting any MVPs.
[26:10.460 --> 26:11.680]  I brought my heater.
[26:12.340 --> 26:13.760]  Raise your hand if you brought your heater.
[26:14.320 --> 26:15.280]  And my hands are raised.
[26:16.120 --> 26:17.740]  To be fair, I was, I love this bull roll.
[26:17.760 --> 26:22.040]  Geoff, go sit on the thing and open the side doors and we'll let Gavin go retrieve his mistake.
[26:23.560 --> 26:24.100]  All right.
[26:24.180 --> 26:24.860]  There you go, Gavin.
[26:25.000 --> 26:26.520]  Now you can use the side to go get it.
[26:26.740 --> 26:27.180]  Hell yeah.
[26:27.780 --> 26:29.280]  He can walk down the side.
[26:29.460 --> 26:30.300]  Oh, this is crazy.
[26:31.320 --> 26:33.200]  You can also run, Gavin, by holding A.
[26:33.300 --> 26:35.540]  This is running out of time.
[26:36.240 --> 26:36.720]  Don't worry.
[26:36.820 --> 26:37.620]  Watch the speed.
[26:39.900 --> 26:41.220]  Never say anything like this.
[26:42.120 --> 26:43.000]  I'm watching.
[26:46.980 --> 26:47.360]  All right.
[26:50.100 --> 26:51.000]  Let me move up.
[26:51.060 --> 26:51.440]  Here we go.
[26:53.700 --> 26:57.040]  OK, you go ahead and place that there.
[26:57.700 --> 26:59.340]  Or pretty sure I go here.
[27:00.860 --> 27:01.740]  I'll move it, Gavin.
[27:01.740 --> 27:03.220]  I don't.
[27:03.320 --> 27:03.700]  Oh, shit.
[27:03.820 --> 27:04.040]  Whoops.
[27:04.200 --> 27:04.880]  I was doing a joke.
[27:05.140 --> 27:05.900]  Or actually.
[27:06.120 --> 27:06.640]  Oh, no.
[27:06.960 --> 27:09.260]  No, we're good.
[27:09.320 --> 27:09.520]  We're good.
[27:09.660 --> 27:10.300]  We're good.
[27:12.260 --> 27:14.320]  This is insane.
[27:15.840 --> 27:17.160]  OK, got it.
[27:17.220 --> 27:19.140]  Now I'm going to slide in here.
[27:19.320 --> 27:19.620]  OK.
[27:20.420 --> 27:20.640]  Bloop.
[27:23.560 --> 27:24.940]  Geoff's almost got it.
[27:26.220 --> 27:27.280]  Look at this.
[27:27.620 --> 27:27.880]  OK.
[27:28.100 --> 27:30.000]  Look at this.
[27:30.000 --> 27:31.680]  Even after a mistake.
[27:31.960 --> 27:32.360]  Look at that.
[27:32.660 --> 27:34.980]  Oh, beautiful stage clear.
[27:35.520 --> 27:36.120]  The boys are back.
[27:36.240 --> 27:36.380]  All right.
[27:36.400 --> 27:37.000]  Who's the MVP?
[27:37.560 --> 27:38.500]  Give the MVP votes, guys.
[27:38.500 --> 27:40.620]  I know there's only one person I can vote.
[27:41.200 --> 27:42.020]  In my opinion.
[27:42.500 --> 27:43.440]  Apparently it's Nick.
[27:43.780 --> 27:45.000]  Apparently I'm the only one voting.
[27:45.360 --> 27:45.460]  OK.
[27:46.360 --> 27:47.320]  Who voted for Andrew?
[27:47.920 --> 27:48.180]  I did.
[27:49.100 --> 27:49.800]  Oh, you did?
[27:49.960 --> 27:50.460]  I got votes?
[27:51.120 --> 27:52.040]  Hell yeah, man.
[27:52.180 --> 27:53.360]  This is what we call it.
[27:53.580 --> 27:54.620]  Let me incentivize a little bit.
[27:54.720 --> 27:56.680]  There is an achievement for giving away votes.
[27:57.200 --> 27:58.900]  So spam that button.
[28:00.040 --> 28:01.940]  That's the only reason why I'm giving out MVPs.
[28:02.680 --> 28:04.220]  Oh, not thinking about your friends?
[28:04.300 --> 28:05.080]  You're just trying to get the achievement?
[28:05.320 --> 28:06.680]  I'm just trying to get that achievement.
[28:06.920 --> 28:07.120]  Got it.
[28:11.040 --> 28:12.360]  Got to see what's in my ball.
[28:12.600 --> 28:13.360]  Cheerful teacher.
[28:13.680 --> 28:13.900]  New nickname.
[28:14.160 --> 28:14.780]  I got a skin.
[28:15.000 --> 28:15.380]  That's you, man.
[28:15.560 --> 28:15.680]  Puzzle.
[28:16.280 --> 28:17.160]  Nick's got a skin.
[28:17.980 --> 28:19.200]  Fancy purple glasses.
[28:20.580 --> 28:21.540]  That's what I'm wearing.
[28:22.600 --> 28:23.760]  Yeah, that's why you went, eh.
[28:26.460 --> 28:28.740]  Do one more quick opening and then I will...
[28:29.720 --> 28:30.440]  Laughing devil.
[28:30.460 --> 28:31.080]  Oh, ribbon green.
[28:31.160 --> 28:31.360]  OK.
[28:33.160 --> 28:34.300]  Let's head to the board.
[28:34.480 --> 28:35.320]  I'm glad, you know.
[28:35.520 --> 28:38.200]  Keep a thousand people waiting while you look at what hat you got.
[28:38.320 --> 28:42.060]  Yeah, well, you know, it could be a funny thing.
[28:42.180 --> 28:43.700]  Could add to the content of the stream.
[28:43.860 --> 28:44.180]  That's fair.
[28:44.340 --> 28:45.020]  Ha ha ha ha ha.
[28:45.040 --> 28:45.240]  That's fair.
[28:46.220 --> 28:47.260]  Could be a funny name.
[28:49.060 --> 28:50.140]  Oh, a chalice.
[28:51.420 --> 28:51.780]  Oh.
[28:55.690 --> 28:57.230]  How's everybody in the chat doing today?
[28:57.350 --> 28:59.190]  Are they throwing the piss rats around or...
[28:59.190 --> 29:00.390]  Yeah, I mean, they're doing good.
[29:00.670 --> 29:01.830]  They're calling me the MVP.
[29:02.150 --> 29:03.170]  Many are saying this.
[29:03.270 --> 29:04.210]  I'm just letting you know.
[29:05.490 --> 29:05.850]  Huh.
[29:06.170 --> 29:06.710]  Oh, yeah.
[29:06.890 --> 29:07.170]  Yeah.
[29:07.410 --> 29:08.670]  Is that many of you?
[29:09.190 --> 29:10.150]  No, many others.
[29:10.470 --> 29:11.610]  Many are saying this, Nick.
[29:13.850 --> 29:15.850]  Chat, chat, chat, piss rat.
[29:17.690 --> 29:18.850]  Oh, match the shade, boys.
[29:19.930 --> 29:20.250]  Easy.
[29:21.010 --> 29:22.410]  Baby mode stuff, man.
[29:22.490 --> 29:22.950]  It's easy.
[29:23.450 --> 29:23.950]  Nick, get that coin.
[29:24.010 --> 29:25.350]  Oh, I'm green.
[29:26.370 --> 29:27.610]  Ha ha ha ha ha.
[29:29.390 --> 29:31.230]  Just had a moment where I was like, oh boy.
[29:31.590 --> 29:32.810]  Sit down real quick and cheat on you.
[29:32.890 --> 29:33.250]  Where do you want me to be?
[29:33.390 --> 29:34.250]  Where do you want me to be?
[29:34.370 --> 29:36.650]  I think, Gavin, you're probably the whole bottom.
[29:37.050 --> 29:37.190]  Yeah.
[29:37.250 --> 29:38.150]  Yeah, I think so.
[29:38.250 --> 29:38.570]  Let me...
[29:39.070 --> 29:40.870]  You didn't get the coin though, long man.
[29:41.170 --> 29:42.530]  You didn't get the coin, long man.
[29:42.770 --> 29:43.290]  I'm not moving.
[29:44.570 --> 29:45.270]  You don't blue?
[29:45.910 --> 29:46.990]  Yeah, but I wasn't moving.
[29:47.030 --> 29:47.670]  I was just standing still.
[29:49.770 --> 29:50.170]  Gavin.
[29:50.330 --> 29:51.050]  See, I'm still not moving.
[29:51.890 --> 29:52.910]  Earl with five gifted.
[29:53.030 --> 29:53.470]  Thank you.
[29:53.870 --> 29:54.190]  There we go.
[29:54.230 --> 29:54.510]  Too far.
[29:54.630 --> 29:55.390]  We got it.
[29:58.310 --> 29:59.050]  There you go.
[29:59.870 --> 30:00.270]  Okay.
[30:03.150 --> 30:03.550]  Hmm.
[30:03.770 --> 30:03.910]  What?
[30:03.910 --> 30:04.530]  Why?
[30:04.890 --> 30:05.150]  Okay.
[30:06.170 --> 30:07.530]  No problem solved.
[30:07.790 --> 30:08.150]  No.
[30:12.410 --> 30:13.830]  There you go.
[30:13.830 --> 30:15.750]  And then you got to do a little spinny, Geoff.
[30:16.750 --> 30:17.370]  Oh God.
[30:17.550 --> 30:18.010]  There you go.
[30:18.070 --> 30:19.330]  And then Nick is...
[30:19.330 --> 30:19.490]  Spun me.
[30:19.710 --> 30:20.910]  Oh, way to go, Geoff.
[30:21.070 --> 30:22.370]  I know I'm working on it.
[30:22.490 --> 30:23.450]  There we go.
[30:24.290 --> 30:24.930]  Nope, too low.
[30:26.290 --> 30:27.030]  Nope, too high.
[30:27.350 --> 30:27.630]  All right.
[30:27.630 --> 30:30.090]  You can drop it, buddy.
[30:30.490 --> 30:34.390]  A lot of times I'm dropping it just to lock my position in.
[30:34.490 --> 30:35.390]  Yeah, he's doing a straight drop.
[30:35.390 --> 30:35.870]  Yeah, I get it.
[30:36.070 --> 30:37.030]  That's an intentional drop.
[30:37.130 --> 30:38.010]  Makes total sense, yeah.
[30:38.130 --> 30:40.230]  Gavin, look at all the MVP votes for Gavin.
[30:40.450 --> 30:40.570]  Wow.
[30:42.030 --> 30:42.590]  Who gave those to him?
[30:42.710 --> 30:43.070]  Whoa!
[30:43.790 --> 30:44.230]  I gave it...
[30:44.230 --> 30:44.930]  A tight MVP.
[30:45.290 --> 30:46.010]  Congratulations, boys.
[30:46.130 --> 30:46.330]  Both of them.
[30:46.790 --> 30:47.150]  Wow.
[30:47.430 --> 30:47.790]  Shit.
[30:48.550 --> 30:49.170]  Pretty good.
[30:51.330 --> 30:51.690]  Whoa.
[30:53.530 --> 30:54.510]  I want to play hockey.
[30:55.030 --> 30:55.870]  That's what I want to do.
[30:56.230 --> 30:57.550]  Let's get one of these mini games going.
[30:58.070 --> 30:59.170]  Is there a hockey mini game?
[30:59.350 --> 30:59.550]  Pick it.
[30:59.990 --> 31:00.870]  Yeah, no, you can't.
[31:00.910 --> 31:01.510]  It's just random.
[31:03.710 --> 31:06.030]  But if we get lucky, we'll get a 2v2 hockey game.
[31:08.290 --> 31:09.390]  Whose team do you want to be on?
[31:10.350 --> 31:11.150]  I don't know.
[31:13.410 --> 31:14.430]  That's a good answer.
[31:14.510 --> 31:16.030]  I don't think this is a good answer to that.
