[00:01.280 --> 00:02.060]  You all right, Gavin?
[48:19.330 --> 48:20.130]  One star.
[48:20.310 --> 48:20.910]  This is just like one of those...
[48:21.630 --> 48:22.430]  20 coins!
[48:23.810 --> 48:24.630]  You can still buy it.
[48:24.790 --> 48:25.010]  Yup.
[48:25.870 --> 48:26.770]  Yeah, I can still buy it.
[48:26.770 --> 48:28.510]  You look like you pissed those coins out.
[48:29.950 --> 48:31.430]  Oh, he squeezed me real hard.
[48:31.590 --> 48:32.090]  Oh, he's three.
[48:32.270 --> 48:32.590]  Ah!
[48:33.210 --> 48:33.610]  Chucked you.
[48:34.990 --> 48:35.310]  Discarded.
[48:35.610 --> 48:36.430]  Oh, you little booboo.
[48:36.450 --> 48:36.910]  What a jerk.
[48:37.850 --> 48:39.070]  At least you're gonna get sucked into his hand.
[48:39.070 --> 48:40.870]  Oh, yeah, Andrew is missing from the arm of the couch.
[48:42.330 --> 48:43.390]  We gotta get all five of us here.
[48:43.390 --> 48:44.010]  Oh, get me back up.
[48:44.190 --> 48:44.730]  Yeah, yeah, yeah, thanks.
[48:44.830 --> 48:45.630]  Yeah, dude, yeah, we got you.
[48:45.670 --> 48:46.070]  You had a problem.
[48:47.990 --> 48:49.010]  20 to the star?
[48:50.650 --> 48:51.230]  Good lord.
[48:51.530 --> 48:53.170]  Will I ever get off this?
[48:53.410 --> 48:53.670]  Nope.
[48:55.130 --> 48:55.690]  Get off.
[48:55.690 --> 48:56.730]  Could switch the direction.
[48:57.010 --> 48:58.130]  Maybe I can hit up this door again.
[48:59.370 --> 49:00.710]  With a nice eight.
[49:01.850 --> 49:02.630]  Where's this door?
[49:04.710 --> 49:05.970]  Oh, where is this door?
[49:06.330 --> 49:06.390]  Four coins.
[49:06.390 --> 49:07.230]  I got bad news for you.
[49:07.290 --> 49:07.970]  Oh, shit.
[49:07.970 --> 49:08.730]  Oh, no!
[49:10.050 --> 49:10.870]  Mother of shit.
[49:12.350 --> 49:13.230]  Uh-oh.
[49:14.250 --> 49:15.970]  Son of a...
[49:15.970 --> 49:17.190]  Hey, thanks for unlocking this.
[49:17.330 --> 49:17.990]  Yeah, no worries, man.
[49:18.970 --> 49:21.430]  Hey, you guys, we haven't even seen the level.
[49:21.650 --> 49:23.070]  I've just seen this square.
[49:23.070 --> 49:27.010]  I have a feeling that this square is the level.
[49:27.590 --> 49:28.150]  Yeah, no kidding.
[49:29.030 --> 49:30.870]  This is just, like, saw of the level.
[49:31.030 --> 49:35.090]  If this was Mario Party March, we would have spent an entire week in this freaking square.
[49:37.210 --> 49:39.350]  Oh, we might be on a team, I think, in this turn, Geffen.
[49:40.450 --> 49:41.250]  What's our team name?
[49:43.290 --> 49:43.650]  Gik.
[49:48.430 --> 49:48.790]  Nappy.
[49:51.290 --> 49:52.010]  Oh, boy.
[49:52.010 --> 49:53.350]  How about Nag?
[49:56.230 --> 49:57.730]  Nag, Nag, Nag.
[49:58.270 --> 49:59.250]  International incident.
[49:59.950 --> 50:00.950]  I know what you should do.
[50:01.610 --> 50:02.450]  Oh, so good.
[50:02.950 --> 50:03.630]  I'm doing random.
[50:04.410 --> 50:05.310]  Shadow Alliance.
[50:05.590 --> 50:06.230]  I'm doing random.
[50:06.230 --> 50:08.010]  Don't break the Shadow Alliance.
[50:08.930 --> 50:09.890]  No, don't random it.
[50:10.090 --> 50:10.890]  Oh, you worthless.
[50:11.230 --> 50:11.730]  Yeah!
[50:12.110 --> 50:14.410]  You just called me worthless and I didn't even take it from you.
[50:14.430 --> 50:14.890]  No, I love you.
[50:17.430 --> 50:19.190]  I'm so proud of you right now.
[50:19.370 --> 50:20.330]  So proud of you.
[50:20.750 --> 50:21.070]  Random.
[50:22.550 --> 50:24.390]  Gavin, that was an attack. I hit random.
[50:26.370 --> 50:27.970]  The attack was when he landed on your knee.
[50:27.970 --> 50:29.710]  The attack was when you didn't just press Nick.
[50:29.850 --> 50:31.350]  Oh, I see that as an attack.
[50:34.090 --> 50:34.410]  Tough.
[50:34.570 --> 50:35.450]  He still feels that way.
[50:39.250 --> 50:41.630]  Andrew, look, if you give me my star back, I won't...
[50:41.630 --> 50:43.130]  Oh, I have a feeling it'll come back to you.
[50:45.490 --> 50:47.210]  Based on how the last time this game went.
[50:47.350 --> 50:49.610]  Oh, yeah, I'm just holding it for you. Keeping it warm.
[50:50.370 --> 50:51.670]  It's a rental star.
[50:51.790 --> 50:53.490]  That's six star steel.
[50:54.610 --> 50:56.130]  We're in the early game.
[50:56.330 --> 50:57.450]  What does the chain chomp do?
[50:58.210 --> 50:59.170]  Moves the star.
[50:59.870 --> 51:01.090]  Oh, okay.
[51:06.560 --> 51:07.920]  Where was Peach?
[51:08.560 --> 51:10.000]  She's at the top of the square.
[51:11.800 --> 51:13.000]  So we'll never see her.
[51:13.600 --> 51:14.140]  Dude, hell yeah.
[51:14.420 --> 51:15.900]  Mark the Frog bought an idiot pennant.
[51:16.180 --> 51:16.700]  Yeah!
[51:18.200 --> 51:19.100]  That's awesome.
[51:20.780 --> 51:23.040]  I love Mark the Frog so much.
[51:23.180 --> 51:26.900]  If you were around for Friday's stream, we played a game of Worms on top of Mark the Frog.
[51:28.340 --> 51:30.100]  And we blew up his eye a little bit.
[51:30.560 --> 51:34.180]  I don't know that Mark the Frog watches Twitch, the video.
[51:34.500 --> 51:35.960]  I think he just has the audio on.
[51:36.080 --> 51:39.280]  And then I think he does speech to text in the chat.
[51:40.460 --> 51:41.380]  While he's up to his elbows.
[51:43.560 --> 51:44.360]  So crazy.
[51:45.120 --> 51:45.480]  All right, Nick.
[51:46.160 --> 51:47.580]  Geoff, we got this.
[51:48.120 --> 51:49.260]  Do we? I mean, yeah.
[51:49.440 --> 51:50.160]  Yeah, we do.
[51:50.900 --> 51:51.800]  What is this one?
[51:52.020 --> 51:52.740]  Oh, no.
[51:53.460 --> 51:54.180]  Oh, God.
[51:54.980 --> 51:55.580]  We got it.
[51:55.640 --> 51:56.540]  Yeah, yeah, yeah. We got this.
[51:56.660 --> 51:57.440]  Yeah, you guys got it.
[51:57.820 --> 51:59.460]  We're dead.
[51:59.740 --> 52:01.100]  We'll just pull out really bad at these.
[52:01.860 --> 52:02.200]  Just so you know.
[52:02.680 --> 52:04.520]  Yeah, call the direction.
[52:04.680 --> 52:05.640]  You tell me when to go.
[52:05.720 --> 52:06.140]  I got a plan.
[52:06.300 --> 52:07.680]  Go slowly first and I'll go fast.
[52:10.640 --> 52:11.140]  Attacking him!
[52:12.240 --> 52:12.740]  Attacking him!
[52:14.000 --> 52:14.760]  What's the buzz?
[52:15.700 --> 52:16.860]  We're just moving, man.
[52:16.860 --> 52:17.980]  Why isn't it working for me?
[52:17.980 --> 52:18.880]  Andrew, I need you to go, too.
[52:19.520 --> 52:20.520]  I'm going, I'm going, I'm going.
[52:20.800 --> 52:21.780]  Keep going, Gavin!
[52:21.860 --> 52:22.900]  Why are we going over here?
[52:24.280 --> 52:25.120]  It's all you, Andrew.
[52:25.600 --> 52:26.960]  I'm going, I'm going, I'm going.
[52:27.260 --> 52:28.520]  Why are we doing wrong?
[52:29.440 --> 52:30.220]  It's spinning around.
[52:30.800 --> 52:32.000]  It's spinning, it's spinning, it's spinning.
[52:32.240 --> 52:34.180]  Go, go, go, go, go, go, go, go, go, go, go!
[52:34.180 --> 52:35.260]  Go, go, go, go, go, go!
[52:35.260 --> 52:36.200]  Go, go, go, go, go, go!
[52:36.400 --> 52:37.060]  So easy!
[52:37.940 --> 52:38.820]  Nick, I took a picture.
[52:39.380 --> 52:40.200]  I need to...
[52:40.200 --> 52:42.040]  You guys should go back and watch that.
[52:42.700 --> 52:44.820]  It's everyone doing this with two hands
[52:44.820 --> 52:48.940]  And Gavin is holding it with his left, like he's reeling in a fish.
[52:50.000 --> 52:51.220]  I found this in the sofa cushion.
[52:51.380 --> 52:51.820]  Goddammit!
[52:53.060 --> 52:54.420]  Where did Andrew go?
[52:54.480 --> 52:55.560]  I'm under the couch!
[52:57.920 --> 53:01.100]  Gavin, you told me you'd tell me when I needed to do the thing.
[53:01.160 --> 53:03.200]  But I wasn't doing it even though I was doing it!
[53:04.600 --> 53:06.420]  You're all the way to the back?!
[53:06.420 --> 53:07.280]  I'm getting out!
[53:07.500 --> 53:09.040]  I don't know how I got here!
[53:12.920 --> 53:14.260]  Operation Rescue Andrew.
[53:14.260 --> 53:15.660]  Where'd he go?!
[53:15.660 --> 53:16.680]  What the fuck?!
[53:16.680 --> 53:17.560]  He keeps moving!
[53:17.700 --> 53:18.660]  To the front door?
[53:19.300 --> 53:21.260]  There we go. I'm out, I'm out, I'm out.
[53:22.180 --> 53:23.140]  I snagged him.
[53:23.900 --> 53:24.500]  Thank you!
[53:25.380 --> 53:26.440]  Oh my god.
[53:27.540 --> 53:29.360]  Smick Dibley gifted some!
[53:29.620 --> 53:30.460]  Thank you!
[53:33.720 --> 53:35.980]  Smick Dibley with the 50!
[53:36.880 --> 53:39.160]  Smick Dibley coming through big style!
[53:42.780 --> 53:43.220]  Smick Dibley!
[53:43.220 --> 53:43.720]  Smick Dibley!
[53:46.460 --> 53:51.920]  Oh, fuck me.
[53:54.180 --> 53:57.040]  Do it funny style.
[53:57.360 --> 53:57.960]  Yeah!
[53:59.240 --> 54:01.200]  I told you I was just keeping it warm!
[54:02.920 --> 54:04.540]  It's a complete rental!
[54:05.000 --> 54:06.000]  One turn!
[54:06.340 --> 54:07.880]  One turn with my star.
[54:09.780 --> 54:11.380]  What a waste of 50 coins.
[54:11.860 --> 54:12.000]  Fuck.
[54:16.000 --> 54:17.220]  Oh my god.
[54:17.440 --> 54:19.080]  Oh, this is a shot this time. Right there.
[54:24.320 --> 54:27.480]  Everything's still on sale except for the patch by itself.
[54:27.860 --> 54:30.520]  And the Kuzler. Those are sold out.
[54:30.520 --> 54:32.420]  Everything else on sale, regulationstore.com.
[54:32.540 --> 54:33.860]  Or regulationstore.store.
[54:34.900 --> 54:37.320]  After losing those 50 coins, I'm going to need an idiot flag.
[54:37.620 --> 54:38.420]  I'm ordering mine right now.
[54:39.080 --> 54:41.020]  Yeah, good. You and Mark the Frog.
[54:43.540 --> 54:43.980]  Sure.
[54:45.700 --> 54:48.920]  I can't believe we got a live first throw patch stick.
[54:49.220 --> 54:49.540]  Incredible.
[54:50.320 --> 54:51.740]  Took a couple tries.
[54:52.740 --> 54:53.600]  First time we did it.
[55:00.940 --> 55:01.500]  Alright.
[55:06.360 --> 55:07.740]  What are you thinking?
[55:08.280 --> 55:09.340]  Oh wow, deliberate red.
[55:09.740 --> 55:09.920]  Weird.
[55:10.880 --> 55:11.440]  It's okay.
[55:13.320 --> 55:14.360]  He's got a plan.
[55:15.620 --> 55:15.900]  Hmm.
[55:17.640 --> 55:17.880]  Oops.
[55:22.270 --> 55:25.250]  Where is everybody versus...
[55:25.250 --> 55:26.530]  Everybody else?
[55:26.770 --> 55:29.390]  There's a bonus star for most emotes, right?
[55:29.790 --> 55:30.930]  Yeah, you better start hitting them.
[55:30.930 --> 55:31.650]  There you go.
[55:33.790 --> 55:35.670]  Jordude said, fuck, I'm late. What did I miss?
[55:35.770 --> 55:36.210]  Oh, nothing.
[55:36.470 --> 55:38.350]  How many pennants did we buy, do you know?
[55:38.510 --> 55:39.590]  I don't... It was a lot.
[55:39.870 --> 55:41.190]  It was a lot, a lot.
[55:41.950 --> 55:43.370]  Well, feel free to keep buying them.
[55:43.470 --> 55:44.990]  It sounds like we have a lot to sell still.
[55:45.090 --> 55:45.690]  Oh, nice.
[55:48.510 --> 55:48.790]  Oh.
[55:49.850 --> 55:51.410]  A great gift for someone else.
[55:51.610 --> 55:53.630]  Yeah, it really is.
[55:54.190 --> 55:54.830]  That's a great one.
[55:54.970 --> 55:56.150]  Hey, happy birthday.
[55:56.150 --> 55:59.570]  It's one of those things that can be a loving gift or a fuck you gift.
[56:02.530 --> 56:03.790]  It's a multi-dimensional gift.
[56:03.810 --> 56:06.330]  Really good. Hey, man, I was thinking of you.
[56:07.390 --> 56:08.330]  What the fuck?
[56:08.730 --> 56:12.170]  So to get Peach, all you have to do is not roll a three or a four.
[56:12.370 --> 56:12.710]  Okay.
[56:13.890 --> 56:14.750]  All right, that'll work.
[56:14.830 --> 56:16.450]  Pretty good. I'll take that.
[56:18.290 --> 56:20.050]  Let's go Peachwood.
[56:22.110 --> 56:23.110]  What does she give you?
[56:23.110 --> 56:24.970]  A half-off discount with the store.
[56:25.130 --> 56:26.850]  Also double items when you get stuff.
[56:26.950 --> 56:28.090]  So now we'll play for Peach.
[56:29.150 --> 56:30.170]  We'll peach off.
[56:31.310 --> 56:32.250]  We'll peach off.
[56:33.270 --> 56:34.150]  Get peached.
[56:35.050 --> 56:35.830]  Here we go.
[56:39.250 --> 56:40.810]  Damn, that's a great ability.
[56:40.830 --> 56:41.410]  Could've used you.
[56:43.870 --> 56:46.570]  Does that count for Boo as well? Probably not, right?
[56:46.750 --> 56:47.790]  I don't think so.
[56:50.070 --> 56:51.090]  Peach's day off.
[56:51.250 --> 56:51.970]  Oh, this one.
[56:51.970 --> 56:53.090]  Okay.
[56:55.010 --> 56:56.390]  What's the action button?
[56:57.670 --> 56:58.330]  Oh, that's for later.
[56:58.490 --> 56:59.310]  Ah, piss.
[57:00.830 --> 57:01.070]  All right.
[57:01.410 --> 57:01.930]  Get away!
[57:03.150 --> 57:04.990]  All you gotta do is walk down.
[57:06.530 --> 57:06.790]  Easy!
[57:08.070 --> 57:09.890]  This is actually a baby game.
[57:11.770 --> 57:12.150]  Oh.
[57:14.030 --> 57:15.150]  Drop it.
[57:16.230 --> 57:17.270]  Everybody fuck up Wario.
[57:18.730 --> 57:20.550]  You go left, I go right.
[57:20.550 --> 57:21.010]  Okay.
[57:21.490 --> 57:22.790]  That's ridiculous.
[57:23.670 --> 57:24.570]  It worked!
[57:26.790 --> 57:28.970]  I don't think anyone touched Mario.
[57:29.070 --> 57:29.850]  No, I was touched by Wario.
[57:29.850 --> 57:32.070]  You don't need to touch Wario to get me.
[57:32.250 --> 57:34.050]  Okay, that was Nick by himself again.
[57:35.350 --> 57:36.350]  Ah, piss!
[57:36.350 --> 57:36.810]  Fuck you!
[57:37.650 --> 57:39.850]  Nick is, like, against Nick.
[57:40.250 --> 57:41.390]  Damn you, Geoff!
[57:42.430 --> 57:43.530]  Dude, this is Dilkong.
[57:43.810 --> 57:46.310]  Look at Dilkong, he's just running away with the box.
[57:46.330 --> 57:46.850]  He is.
[57:46.850 --> 57:48.090]  This is Dilkong.
[57:48.090 --> 57:50.470]  No! No! Get riddled!
[57:50.670 --> 57:52.410]  Dil time. Dil time.
[57:52.650 --> 57:54.230]  No! Nick's out.
[57:54.790 --> 57:56.230]  Oh, the pole's out.
[57:56.610 --> 57:57.730]  That was me. I was trying to...
[57:57.730 --> 58:01.350]  I don't know if there's a prize for first, but...
[58:01.930 --> 58:03.110]  Is that enough to...
[58:03.110 --> 58:03.610]  Hey guys, wait up!
[58:03.930 --> 58:05.990]  I didn't bring you anything.
[58:07.570 --> 58:08.050]  Ooh!
[58:08.630 --> 58:09.890]  I think you got it, Andrew.
[58:10.150 --> 58:12.070]  Yeah! Good start for Dil!
[58:13.130 --> 58:14.770]  All right. Andrew with the head start.
[58:15.830 --> 58:16.310]  Oh.
[58:17.650 --> 58:18.770]  Here we go.
[58:18.870 --> 58:20.290]  Oh yeah, this one. I love this one.
[58:20.390 --> 58:21.070]  This is a great one.
[58:21.290 --> 58:23.030]  Oh, the tray one.
[58:23.510 --> 58:24.250]  Tray time.
[58:27.750 --> 58:29.290]  All right, I'm locked in.
[58:29.570 --> 58:30.970]  I'm so locked in.
[58:32.230 --> 58:32.650]  Nice.
[58:32.790 --> 58:33.810]  Thank you. I'll take that.
[58:35.110 --> 58:35.590]  Yes!
[58:35.970 --> 58:37.010]  Oh, great.
[58:37.830 --> 58:38.110]  Oh!
[58:38.110 --> 58:38.590]  Ow!
[58:42.110 --> 58:42.950]  Shit!
[58:49.900 --> 58:50.740]  Geoff!
[58:55.640 --> 58:57.020]  I like you.
[58:58.040 --> 58:59.420]  So nobody's just gonna...
[58:59.420 --> 59:00.340]  I like you.
[59:01.500 --> 59:03.860]  Nick! I want some donuts!
[59:04.820 --> 59:06.340]  Andrew, go to hell.
[59:07.040 --> 59:07.780]  Three.
[59:08.160 --> 59:09.520]  Four. Take them.
[59:09.520 --> 59:10.500]  There's yours.
[59:11.640 --> 59:12.460]  Thank you!
[59:13.320 --> 59:13.800]  Wow!
[59:17.780 --> 59:18.840]  Clever for two.
[59:19.060 --> 59:20.920]  Andrew, running away.
[59:28.480 --> 59:28.960]  Guys.
[59:30.080 --> 59:30.440]  Guys.
[59:31.720 --> 59:33.780]  Oh, what's this one?
[59:34.000 --> 59:34.960]  Oh, yeah.
[59:35.740 --> 59:38.040]  What's this shit? Oh, you just collect and throw it in.
[59:38.160 --> 59:39.000]  Give her what she wants.
[59:39.420 --> 59:40.700]  Get her what she wants.
[59:40.760 --> 59:41.460]  What does she want?
[59:46.600 --> 59:48.040]  How do you pick it up?
[59:49.460 --> 59:50.640]  Pick it up!
[59:51.320 --> 59:52.040]  God damn it.
[59:52.560 --> 59:53.620]  Damn you.
[59:54.700 --> 59:57.320]  Well, get the thing, you freaking idiot.
[59:57.620 --> 59:58.480]  Go, go, go, go, go.
[59:58.540 --> 59:59.640]  Come on, Mario, let's go!
[01:00:00.460 --> 01:00:01.620]  Mario, let's go!
[01:00:01.660 --> 01:00:03.500]  Pick it up!
[01:00:05.100 --> 01:00:06.360]  Mario, you fool!
[01:00:06.360 --> 01:00:07.580]  Not that!
[01:00:08.180 --> 01:00:10.340]  Mario, you fucking put it down!
[01:00:10.340 --> 01:00:11.520]  What are you guys doing?
[01:00:12.940 --> 01:00:15.060]  Andrew, you got this thing locked in.
[01:00:15.360 --> 01:00:16.960]  They don't know how to pick shit up.
[01:00:17.040 --> 01:00:17.880]  They're fucking morons.
[01:00:19.480 --> 01:00:20.120]  Plumb up!
[01:00:21.620 --> 01:00:22.620]  Oh, it's locked in.
[01:00:24.200 --> 01:00:25.580]  Give us another one!
[01:00:26.130 --> 01:00:27.980]  Thank you!
[01:00:28.620 --> 01:00:29.780]  You prick!
[01:00:30.780 --> 01:00:32.380]  Oh, give me that beat!
[01:00:34.140 --> 01:00:35.140]  Solace is right.
[01:00:35.140 --> 01:00:36.800]  Gavin is jeffing this so hard.
[01:00:37.060 --> 01:00:39.580]  I got second, Geoff got fourth.
[01:00:40.020 --> 01:00:41.340]  Well, you haven't seen this yet.
[01:00:41.700 --> 01:00:42.340]  Yeah, you don't know.
[01:00:43.040 --> 01:00:45.320]  I think Nick got fourth.
[01:00:45.820 --> 01:00:45.980]  No!
[01:00:49.480 --> 01:00:50.520]  Oh, wow!
[01:00:52.740 --> 01:00:53.860]  Alright, let's see how you did.
[01:00:59.200 --> 01:01:00.240]  Plus 20.
[01:01:01.640 --> 01:01:02.720]  And then how did Dilkong do?
[01:01:02.720 --> 01:01:03.880]  Dil! Dil! Dil!
[01:01:07.700 --> 01:01:08.180]  45!
[01:01:11.020 --> 01:01:12.820]  Give it to me, Peach!
[01:01:13.640 --> 01:01:14.780]  Give me the discount!
[01:01:16.300 --> 01:01:18.100]  Congratulations, Andrew bought a friend.
[01:01:18.300 --> 01:01:20.080]  Idiot flags for all of you!
[01:01:20.140 --> 01:01:21.060]  I bought a friend!
[01:01:23.340 --> 01:01:24.440]  I said it couldn't be done.
[01:01:28.120 --> 01:01:29.580]  Hey, how close to you?
[01:01:29.580 --> 01:01:32.240]  That's right, you're happy to be ally of Dilkong!
[01:01:33.980 --> 01:01:35.940]  Ally of Dilkong?
[01:01:36.280 --> 01:01:36.980]  Ally of Dil.
[01:01:38.800 --> 01:01:39.680]  No way!
[01:01:40.920 --> 01:01:41.360]  Damn!
[01:01:42.580 --> 01:01:43.560]  Alright, let's see where he wound up.
[01:01:44.100 --> 01:01:45.180]  Oh, this is a shot.
[01:01:46.040 --> 01:01:47.900]  Oh, that would have come in handy for you.
[01:01:48.180 --> 01:01:48.860]  Okay, same items.
[01:01:49.200 --> 01:01:50.960]  What are these dog items?
[01:01:54.480 --> 01:01:55.420]  I'll take a glove.
[01:01:55.860 --> 01:01:56.360]  Oh, wow!
[01:01:56.360 --> 01:01:57.800]  Power glove?
[01:01:58.440 --> 01:02:02.080]  Yeah, give me that.
[01:02:02.440 --> 01:02:04.420]  Let me take every coin of someone.
[01:02:23.280 --> 01:02:23.960]  No!
[01:02:25.140 --> 01:02:25.400]  No!
[01:02:26.740 --> 01:02:27.080]  Okay.
[01:02:29.040 --> 01:02:31.180]  I'll take 15, hell yeah!
[01:02:31.380 --> 01:02:32.320]  It's like winning a minigame.
[01:02:34.120 --> 01:02:35.500]  Something I haven't done.
[01:02:36.220 --> 01:02:36.780]  Yeah!
[01:02:39.820 --> 01:02:40.520]  Punch it!
[01:02:41.320 --> 01:02:41.880]  Jesus!
[01:02:42.840 --> 01:02:46.520]  Oh, he's going to land on a Bowser spot.
[01:02:47.960 --> 01:02:48.420]  Oh, please.
[01:02:49.660 --> 01:02:50.880]  I avoided it by one!
[01:02:55.820 --> 01:02:57.740]  Don't let him get that cheap star.
[01:03:02.010 --> 01:03:03.190]  Double coins again!
[01:03:03.970 --> 01:03:05.270]  Although if he gets it right now,
[01:03:05.270 --> 01:03:07.410]  the upside to it is he can't buy a second one.
[01:03:07.550 --> 01:03:08.730]  Unless he wins this.
[01:03:09.210 --> 01:03:10.150]  Because he can't afford it?
[01:03:10.430 --> 01:03:11.570]  Right, he's 29.
[01:03:12.070 --> 01:03:13.350]  Well, it's only 10 though, isn't it?
[01:03:13.670 --> 01:03:16.230]  You don't stand a chance.
[01:03:18.050 --> 01:03:19.710]  Is this the arrow one?
[01:03:20.090 --> 01:03:21.290]  Oh, it's this, okay.
[01:03:21.970 --> 01:03:23.410]  Oh, it's Psych Out.
[01:03:24.130 --> 01:03:25.270]  Psych Out, the game!
[01:03:31.290 --> 01:03:32.230]  I'm not going to move.
[01:03:33.290 --> 01:03:34.510]  Oh, I should move.
[01:03:35.330 --> 01:03:35.510]  Yes!
[01:03:39.470 --> 01:03:40.150]  Separate!
[01:03:40.890 --> 01:03:41.350]  Separate!
[01:03:42.670 --> 01:03:43.350]  Wow!
[01:03:44.570 --> 01:03:45.430]  Straight as an arrow.
[01:03:46.910 --> 01:03:48.270]  Fly true, Geoff.
[01:03:52.650 --> 01:03:53.330]  Ah!
[01:03:53.590 --> 01:03:59.920]  He got plenty more room.
[01:04:00.500 --> 01:04:01.880]  I believe in you two.
[01:04:02.460 --> 01:04:03.840]  He can't get us both.
[01:04:04.940 --> 01:04:05.260]  Oh!
[01:04:06.320 --> 01:04:07.500]  How did you dodge that?
[01:04:07.500 --> 01:04:08.600]  What a move!
[01:04:09.040 --> 01:04:11.440]  If you both go left and right, he can't win.
[01:04:11.840 --> 01:04:13.080]  Here's what I'm thinking we do.
[01:04:17.820 --> 01:04:19.500]  I'll be on the far left, you'll be on the far right.
[01:04:19.500 --> 01:04:20.140]  He can't get us both.
[01:04:21.880 --> 01:04:22.860]  What are you going to do, Geoff?
[01:04:24.440 --> 01:04:25.260]  I'm just going to kill you.
[01:04:27.020 --> 01:04:27.500]  That'll work.
[01:04:29.200 --> 01:04:30.820]  We did it!
[01:04:31.260 --> 01:04:33.200]  Nice fake out.
[01:04:33.320 --> 01:04:34.440]  I wouldn't have taken the risk.
[01:04:34.800 --> 01:04:36.340]  Jugs McTugs, 10 gifted.
[01:04:36.360 --> 01:04:38.660]  That was Jugs McTugs.
[01:04:39.140 --> 01:04:40.160]  Chugging them tugs.
[01:04:42.160 --> 01:04:42.480]  What?
[01:04:45.380 --> 01:04:47.960]  God bless Jugs McTugs.
[01:04:53.340 --> 01:04:54.480]  All right!
[01:04:54.480 --> 01:04:56.340]  Hey, we're in week two.
[01:04:59.900 --> 01:05:02.960]  That was a nice little ritual to have for a while.
[01:05:04.340 --> 01:05:08.020]  I was recording it at Blaine's almost every day.
[01:05:08.280 --> 01:05:09.260]  What a misery.
[01:05:09.720 --> 01:05:10.180]  No!
[01:05:12.620 --> 01:05:14.300]  You're going to go twice!
[01:05:14.840 --> 01:05:15.740]  Wait, you get the bomb?
[01:05:16.060 --> 01:05:17.140]  No, the bomb's going to Andrew.
[01:05:17.740 --> 01:05:18.740]  Oh, he's getting the bomb!
[01:05:21.140 --> 01:05:22.180]  Not cool.
[01:05:22.180 --> 01:05:24.460]  But I paid for that, friend!
[01:05:25.100 --> 01:05:26.640]  Oh, double Bowser?
[01:05:28.440 --> 01:05:29.080]  What?
[01:05:29.440 --> 01:05:30.220]  Oh, shit.
[01:05:30.400 --> 01:05:36.160]  Oh my god.
[01:05:37.980 --> 01:05:38.960]  That's rough.
[01:05:42.450 --> 01:05:43.270]  Don't you do it, Peach.
[01:05:46.410 --> 01:05:47.350]  Just the one.
[01:05:47.470 --> 01:05:49.110]  Or maybe he'll realize here.
[01:05:49.830 --> 01:05:51.410]  You would be so mean.
[01:05:51.410 --> 01:05:51.910]  Yeah.
[01:05:53.710 --> 01:05:55.230]  Oh, I just forgot about something.
[01:05:55.930 --> 01:05:57.110]  Great, I get another achievement.
[01:05:58.970 --> 01:06:03.410]  Oh, he's bankrupted.
[01:06:06.150 --> 01:06:08.270]  A 35 coin lost turn.
[01:06:09.570 --> 01:06:11.850]  On the same turn you took a bomb to the face.
[01:06:11.910 --> 01:06:12.230]  Insane.
[01:06:12.270 --> 01:06:13.330]  You still have a star, though.
[01:06:14.430 --> 01:06:14.990]  Eh, not for long.
[01:06:15.950 --> 01:06:16.210]  Wow.
[01:06:16.210 --> 01:06:16.410]  Wow.
[01:06:18.390 --> 01:06:19.190]  Could've gone better.
[01:06:19.670 --> 01:06:21.850]  This has been a rough turn.
[01:06:23.950 --> 01:06:25.370]  Dude, I'm really sorry.
[01:06:26.170 --> 01:06:28.250]  But if we're going to make it rough for you,
[01:06:28.550 --> 01:06:30.190]  I think we should make it rough on Gavin, too.
[01:06:30.570 --> 01:06:32.330]  Oh, you're moving the star!
[01:06:32.570 --> 01:06:34.110]  Hey, let me reconsider.
[01:06:34.610 --> 01:06:35.310]  It's too late!
[01:06:35.470 --> 01:06:36.650]  I love it.
[01:06:37.630 --> 01:06:39.030]  Okay, reconsider now, though.
[01:06:39.450 --> 01:06:42.190]  Now that you've mentioned it, maybe I shouldn't have done it.
[01:06:42.450 --> 01:06:44.210]  Oh, it's back in the...
[01:06:44.210 --> 01:06:44.970]  Oh, it's right at the beginning.
[01:06:47.070 --> 01:06:50.410]  Well, that is a bunch of old tosses.
[01:06:54.270 --> 01:06:56.030]  Oh, where's five gonna get you?
[01:06:57.370 --> 01:06:58.090]  Let's see.
[01:07:01.330 --> 01:07:02.370]  Oh, what's this?
[01:07:02.790 --> 01:07:03.250]  Oh, it's a shop.
[01:07:03.490 --> 01:07:05.790]  Oh, new item!
[01:07:07.110 --> 01:07:09.450]  Ooh, skeleton key.
[01:07:09.690 --> 01:07:11.550]  Ooh, gates. Ooh, pipe.
[01:07:12.530 --> 01:07:13.170]  Ooh, opponents.
[01:07:14.270 --> 01:07:14.990]  Custom blocks.
[01:07:15.210 --> 01:07:16.390]  We're going two for it.
[01:07:16.790 --> 01:07:18.770]  After all that, you bought a double die.
[01:07:18.870 --> 01:07:19.950]  I'm just looking at my options!
[01:07:21.630 --> 01:07:22.650]  You're hearing him.
[01:07:22.690 --> 01:07:24.330]  This is how he is at 100% eat.
[01:07:24.350 --> 01:07:27.010]  When we go to a restaurant, and he starts seeing stuff
[01:07:27.010 --> 01:07:28.430]  that he wants to order, also.
[01:07:28.570 --> 01:07:30.070]  Geoff, we need to do...
