[00:00.000 --> 00:00.800]  Dog's not too late.
[13:04.570 --> 13:07.750]  You know how you just said that?
[13:07.770 --> 13:10.850]  Would the gay shirt be considered formal attire?
[13:13.490 --> 13:15.670]  We still haven't settled that one, have we?
[13:21.580 --> 13:22.880]  I'm, like, locked in.
[13:23.240 --> 13:24.580]  Yeah, pretty hard locked in.
[13:24.580 --> 13:26.680]  Did you feel like a bug was on you?
[13:27.240 --> 13:27.780]  Yeah, it was tickling.
[13:28.900 --> 13:30.640]  Yeah, what, was that a Tupac shirt?
[13:30.900 --> 13:33.360]  Oh, that was my Salads shorts as a skirt.
[13:34.240 --> 13:36.500]  That was the second Tupac shirt I've seen tonight.
[13:37.020 --> 13:37.420]  Crazy.
[13:38.120 --> 13:39.120]  We need to throw him in the mix.
[13:41.400 --> 13:43.260]  The later we get into the night,
[13:43.340 --> 13:45.820]  the more like everybody looks like a GTA NPC.
[13:46.220 --> 13:47.040]  It's really smooshy.
[13:47.120 --> 13:47.880]  Oh, big time.
[13:49.500 --> 13:51.000]  Oh, is someone getting in a car?
[13:51.120 --> 13:51.560]  Oh, yeah.
[13:51.760 --> 13:52.660]  Is that a pickup?
[13:54.780 --> 13:56.100]  If anybody has it.
[13:56.900 --> 13:57.800]  Damn, I don't.
[13:57.960 --> 13:59.560]  I think we need another round of discussion
[13:59.560 --> 14:01.100]  with the Falcons about the fronts.
[14:01.620 --> 14:02.700]  Take some out, add some in.
[14:02.900 --> 14:04.400]  Yeah, we should 2025 it.
[14:04.540 --> 14:06.820]  Yeah, we need to update this board.
[14:07.240 --> 14:08.280]  Why is he walking like that?
[14:08.580 --> 14:10.200]  What we need to do is...
[14:10.200 --> 14:11.940]  Oh, cop, cop, copper, cop.
[14:12.460 --> 14:14.140]  Oh, I have cop car ambulance.
[14:14.300 --> 14:14.940]  Oh, street cop?
[14:15.760 --> 14:16.200]  Street cop.
[14:16.320 --> 14:16.660]  Yeah.
[14:18.220 --> 14:19.080]  Do you have street cop?
[14:19.180 --> 14:19.640]  I do have street cop.
[14:19.640 --> 14:20.160]  Hell yeah, dude.
[14:20.300 --> 14:21.240]  Damn, look at this.
[14:21.320 --> 14:21.760]  Not bad, right?
[14:21.800 --> 14:23.920]  I think we need to play it a few times
[14:23.920 --> 14:25.680]  to see what's, you know...
[14:25.680 --> 14:26.000]  Yeah.
[14:26.580 --> 14:27.460]  I like dirt, look at this.
[14:27.460 --> 14:29.240]  What the vibe of 2025 is.
[14:31.560 --> 14:32.000]  Scooter.
[14:33.820 --> 14:34.820]  Oh, we can see...
[14:34.900 --> 14:35.800]  We can see a phone call.
[14:36.120 --> 14:39.000]  Is this guy getting into a fight with the Falcons?
[14:39.020 --> 14:39.660]  Look like it.
[14:40.240 --> 14:40.540]  Yeah.
[14:41.200 --> 14:42.440]  Dumb hat, by the way.
[14:44.160 --> 14:45.220]  Cop car, that's mine.
[14:45.920 --> 14:46.660]  Yeah, there you go.
[14:47.920 --> 14:50.560]  Why do people always do this with the phone and then this?
[14:51.560 --> 14:52.880]  Because he's on speakerphone.
[14:52.880 --> 14:54.220]  Yeah, but just don't do speakerphone.
[14:54.300 --> 14:54.780]  You'll be able to hear him.
[14:54.980 --> 14:55.600]  I totally agree.
[14:55.720 --> 14:57.640]  Why do people have to have a conversation
[14:57.640 --> 14:58.760]  in public on speakerphone?
[14:58.940 --> 15:01.280]  I never understood the inconvenience of doing this.
[15:01.380 --> 15:02.300]  And or FaceTime.
[15:02.440 --> 15:04.180]  Why are they doing FaceTime so loud in public?
[15:05.320 --> 15:06.260]  Oh, please do FaceTime.
[15:06.520 --> 15:07.640]  No, it was a regular phone call.
[15:07.680 --> 15:09.800]  I don't know why he's wearing those shorts
[15:09.800 --> 15:11.000]  and that shirt, they clash.
[15:12.140 --> 15:13.740]  It's non-complementary stripes.
[15:15.000 --> 15:16.100]  Speakerphone shouldn't exist.
[15:16.200 --> 15:16.940]  I think I agree with that.
[15:16.960 --> 15:18.160]  I totally agree with that.
[15:19.640 --> 15:20.980]  It sounds like shit.
[15:20.980 --> 15:23.000]  It's like a pod of herring and you desperately need it.
[15:23.460 --> 15:24.440]  I wish he would twerk.
[15:25.340 --> 15:26.680]  I'm glad he's not.
[15:28.800 --> 15:30.120]  Just because you don't want me to win.
[15:30.360 --> 15:31.540]  Well, that's one reason.
[15:32.740 --> 15:33.780]  You think that guy in the gray shirt
[15:33.780 --> 15:34.940]  looks like anybody famous?
[15:38.120 --> 15:38.560]  Butterbean.
[15:43.420 --> 15:45.080]  Scooter gang, in case you missed it earlier.
[15:45.320 --> 15:45.580]  Yeah.
[15:48.820 --> 15:50.100]  Someone said Don Zimmer.
[15:50.980 --> 15:51.320]  Ah!
[15:55.420 --> 15:57.240]  God, can I get a fucking wheelchair?
[15:57.740 --> 15:58.900]  I thought she was waving to the camera.
[15:58.960 --> 15:59.460]  Come with me.
[15:59.760 --> 16:00.640]  Oh, twerk, twerk.
[16:00.920 --> 16:01.080]  Mm.
[16:01.380 --> 16:01.660]  No.
[16:03.640 --> 16:04.080]  Whoa.
[16:04.400 --> 16:05.520]  That cop's just chilling, huh?
[16:05.980 --> 16:07.720]  He doesn't look enough like Don Zimmer.
[16:08.400 --> 16:09.460]  No, not quite.
[16:12.180 --> 16:13.840]  Maybe if he had a green army helmet on
[16:13.840 --> 16:14.600]  and a Yankee shirt.
[16:16.340 --> 16:16.780]  Whoa.
[16:17.020 --> 16:18.520]  Why is the cop doing that?
[16:18.520 --> 16:21.140]  The cop's trying to make everyone forget.
[16:21.720 --> 16:21.840]  Hey!
[16:26.060 --> 16:27.200]  No formal attire.
[16:27.520 --> 16:28.900]  Is he doing that just to the camera?
[16:29.280 --> 16:30.760]  Yeah, he's being, yeah, kind of shocking.
[16:30.920 --> 16:31.660]  He's being a dick.
[16:35.420 --> 16:36.380]  An AirPod.
[16:36.620 --> 16:37.460]  San Antonio shirt.
[16:39.440 --> 16:39.760]  Huh.
[16:41.560 --> 16:44.520]  All these women are just too young to be Neymars.
[16:44.820 --> 16:47.320]  The way he's dragging that lady, she's close.
[16:47.320 --> 16:48.960]  I thought the same thing.
[16:51.540 --> 16:52.520]  Oh, cool.
[16:52.720 --> 16:53.060]  Cop's back.
[16:53.160 --> 16:54.720]  That dick-ass cop is back.
[16:56.220 --> 16:58.040]  I just need his car.
[16:59.020 --> 17:00.140]  Get in your car.
[17:01.400 --> 17:02.500]  Drive by.
[17:06.160 --> 17:07.840]  Jeans and flip-flops again.
[17:17.640 --> 17:19.540]  Is he, like, hiding?
[17:19.980 --> 17:21.420]  Or what is his plan?
[17:25.820 --> 17:26.920]  Oh, she's about to chug.
[17:27.040 --> 17:27.280]  Is that?
[17:27.420 --> 17:28.220]  Yeah, she's chugging.
[17:28.300 --> 17:28.900]  She's chugging.
[17:29.120 --> 17:29.660]  She spilled.
[17:30.040 --> 17:30.840]  Spilled through the sink.
[17:31.160 --> 17:31.200]  Oh!
[17:32.260 --> 17:33.000]  Got it.
[17:33.620 --> 17:34.420]  Thank you.
[17:34.540 --> 17:35.880]  Does a delivery spill count?
[17:37.140 --> 17:37.800]  Is that a pizza?
[17:37.920 --> 17:38.820]  If anybody has pizza, I can't remember.
[17:38.820 --> 17:39.500]  She dropped ice.
[17:39.580 --> 17:39.940]  Does that count?
[17:39.940 --> 17:41.240]  Yeah, she dropped something.
[17:41.380 --> 17:43.920]  Mine says, dropped, spilled, food, and drink.
[17:44.200 --> 17:45.200]  That was definitely dropped.
[17:45.520 --> 17:46.000]  That's fair.
[17:46.200 --> 17:47.320]  Does dropped something count?
[17:47.420 --> 17:47.620]  Yeah.
[17:48.020 --> 17:48.400]  Sweet.
[17:48.720 --> 17:48.940]  I'm in.
[17:49.900 --> 17:51.680]  If someone walks past three plus times,
[17:51.700 --> 17:52.220]  I've got a bingo.
[17:53.300 --> 17:54.140]  I need a bingo now.
[17:54.400 --> 17:55.540]  The cop's come and gone once.
[17:55.540 --> 17:56.800]  If I get a wheelchair, I get a bingo.
[17:57.000 --> 17:58.800]  I need a bandage, dude, and a dog.
[17:59.220 --> 17:59.940]  Double fisting.
[18:00.720 --> 18:01.220]  Oh, was...
[18:01.220 --> 18:02.760]  Do I have the...
[18:02.760 --> 18:04.860]  Oh, I haven't even been looking for sport jersey.
[18:04.980 --> 18:05.360]  Me neither.
[18:05.400 --> 18:06.000]  Yeah, no, I need it.
[18:06.000 --> 18:06.800]  You haven't been either.
[18:08.220 --> 18:10.720]  Although, if I could get a sucking on chili dog.
[18:12.120 --> 18:14.280]  One of the fuck-face hot dogs are still there.
[18:16.060 --> 18:17.240]  How crazy was that?
[18:17.900 --> 18:19.400]  Did we go all the way down to Key West
[18:19.400 --> 18:20.740]  and the guy who sells hot dogs,
[18:20.960 --> 18:22.840]  which weren't even a thing for us yet,
[18:23.380 --> 18:25.260]  was selling fuck-face clothing.
[18:25.260 --> 18:27.440]  That had nothing to do with us.
[18:27.880 --> 18:29.660]  And now here we are two years later,
[18:29.960 --> 18:31.680]  and we put our hot dog count on our signature,
[18:32.200 --> 18:33.220]  and we're no longer hot dogs.
[18:33.220 --> 18:34.780]  Was that the North Face parody?
[18:34.980 --> 18:35.200]  Yeah.
[18:43.260 --> 18:44.740]  It'll be Nemo soon enough.
[18:48.480 --> 18:48.900]  God.
[18:51.720 --> 18:53.220]  So, where did all the dogs go?
[18:54.080 --> 18:55.100]  Somebody let them out.
[19:00.820 --> 19:01.600]  There's Gus.
[19:01.600 --> 19:01.640]  Sloppy Joe, look at Gus.
[19:01.780 --> 19:02.580]  Sloppy Joe, look at Gus.
[19:02.680 --> 19:03.240]  Sloppy Joe, look at Gus.
[19:04.960 --> 19:06.160]  Is that full on tie?
[19:06.320 --> 19:07.060]  Is that full on tie?
[19:07.060 --> 19:07.220]  No.
[19:08.220 --> 19:09.380]  If he was wearing a jacket.
[19:10.160 --> 19:12.420]  Oh, he turned around in short sleeves.
[19:13.580 --> 19:14.700]  Not a short sleeves guy?
[19:14.840 --> 19:15.640]  Not for a button up.
[19:17.400 --> 19:19.000]  Oh, it was not a tucked in button up.
[19:19.320 --> 19:20.900]  Got some luxury cards going.
[19:21.920 --> 19:23.340]  In case you missed it earlier.
[19:23.540 --> 19:25.180]  Thank you for joining us for Sloppy Joe's Bingo.
[19:25.860 --> 19:28.380]  If you watched us earlier, we played Mario Kart.
[19:29.120 --> 19:29.920]  Pretty poorly.
[19:30.760 --> 19:31.920]  That was pretty brutal.
[19:32.120 --> 19:32.820]  That was pretty bad.
[19:33.700 --> 19:34.720]  Maybe that could be on it.
[19:34.820 --> 19:34.920]  It's fun.
[19:35.280 --> 19:36.160]  It was fun.
[19:38.300 --> 19:40.080]  I don't think I could ever get good at that.
[19:40.300 --> 19:41.120]  No, I think I'm...
[19:41.120 --> 19:42.320]  I think I'm already at my ceiling.
[19:42.640 --> 19:44.480]  I think that's a game where you're born good at it,
[19:44.500 --> 19:44.960]  or not at all.
[19:44.980 --> 19:47.480]  Nah, you can learn the pipes and the shortcuts and that.
[19:47.600 --> 19:48.360]  That is great.
[19:48.640 --> 19:49.320]  That is as good as I get.
[19:49.720 --> 19:51.560]  That'll knock me up two places, maybe.
[19:57.320 --> 19:57.780]  Is that camo?
[19:57.780 --> 19:58.960]  We were on a split screen, too.
[20:00.320 --> 20:01.260]  Is that camo show?
[20:01.260 --> 20:03.880]  I think they're pineapples or something.
[20:04.800 --> 20:06.360]  It's like a shirt full of air freshness.
[20:06.360 --> 20:06.760]  Gang signs.
[20:08.220 --> 20:09.020]  Made your luck.
[20:09.400 --> 20:09.960]  Two for flinching.
[20:10.600 --> 20:12.420]  I shaved my balls for this.
[20:12.520 --> 20:14.140]  This is actually my first rodeo.
[20:14.720 --> 20:18.920]  That guy looked like someone Chris Hansen spoke to once.
[20:20.000 --> 20:20.980]  Is that guy was a celebrity?
[20:21.980 --> 20:23.080]  Come in, take a seat.
[20:23.260 --> 20:23.480]  No.
[20:25.260 --> 20:27.020]  Maybe if you saw what Chris Hansen looked like.
[20:27.260 --> 20:27.940]  Oh, that'd be me.
[20:28.020 --> 20:28.920]  Or just Chris Hansen.
[20:29.040 --> 20:29.200]  Yeah.
[20:29.730 --> 20:31.660]  Anybody see the obviously dyed hair?
[20:32.420 --> 20:33.000]  No, not really.
[20:33.280 --> 20:33.380]  No.
[20:33.520 --> 20:34.280]  Not yet.
[20:34.780 --> 20:35.580]  It'd be cool if we did though, right?
[20:35.580 --> 20:36.480]  Not that it's registered.
[20:39.660 --> 20:42.180]  The color hues are harder to see with the lights on.
[20:43.280 --> 20:44.200]  With the lights on?
[20:44.200 --> 20:44.440]  Uh-huh.
[20:44.620 --> 20:44.780]  Yeah.
[20:45.820 --> 20:46.400]  Hoofing it!
[20:46.640 --> 20:46.820]  Oh!
[20:47.500 --> 20:48.100]  Was that?
[20:48.300 --> 20:49.620]  Oh, she was hoofing it.
[20:49.640 --> 20:50.100]  She hoofed it.
[20:50.200 --> 20:50.920]  Yeah, she sure did.
[20:51.100 --> 20:52.240]  Not for long, but she hoofed it.
[20:52.420 --> 20:53.780]  That was like a hoof burst.
[20:55.340 --> 20:56.480]  A hoof burst?
[20:57.340 --> 20:59.760]  She just didn't have a lot of stamina on her bar yet.
[21:00.080 --> 21:01.160]  Looks like a player.
[21:01.420 --> 21:02.380]  That's one of us, right?
[21:03.000 --> 21:03.400]  Yes.
[21:04.180 --> 21:04.780]  Oh, right.
[21:04.880 --> 21:05.400]  Oh, hoofing it!
[21:05.760 --> 21:06.760]  Oh, that's another hoof.
[21:06.760 --> 21:07.280]  Another hoof.
[21:09.500 --> 21:10.660]  Oh, what's going on?
[21:11.000 --> 21:11.540]  Itchy foot?
[21:11.920 --> 21:12.220]  Boot!
[21:12.380 --> 21:12.940]  She's got a boot!
[21:13.160 --> 21:14.060]  There you go, Eric.
[21:14.140 --> 21:14.980]  Is that bandage, dude?
[21:15.100 --> 21:16.020]  Yeah, that counts as a bandage.
[21:16.480 --> 21:17.380]  That's not a bandage.
[21:17.400 --> 21:17.680]  Yes, it is.
[21:17.680 --> 21:18.200]  That's a boot.
[21:18.340 --> 21:19.140]  It's the same thing.
[21:19.300 --> 21:19.900]  It's the same thing.
[21:20.460 --> 21:21.560]  It's always counted as a bandage.
[21:21.560 --> 21:23.140]  Come on, dog!
[21:24.600 --> 21:26.720]  Show me a dog!
[21:26.900 --> 21:28.360]  Show me a wheelchair!
[21:29.200 --> 21:29.940]  Not dog and a hog?
[21:30.100 --> 21:31.560]  I need dog and dog on a hog.
[21:31.760 --> 21:33.640]  But I just go, if I got dog, I got bingo.
[21:33.900 --> 21:34.940]  It's not dog on a hog.
[21:35.280 --> 21:36.380]  Dog and hog.
[21:36.400 --> 21:37.140]  I said dog and a hog.
[21:37.300 --> 21:38.460]  Okay, I thought Eric said on a hog.
[21:38.460 --> 21:38.760]  Hog dog?
[21:40.520 --> 21:42.020]  Hoggy doggy and doggy daddy.
[21:42.580 --> 21:42.780]  Oh.
[21:43.740 --> 21:45.220]  It's my favorite Snoop Dogg nickname.
[21:45.540 --> 21:46.660]  Come on, roll on through.
[21:46.880 --> 21:47.840]  Roll on through.
[21:48.560 --> 21:49.620]  Roll me to victory.
[21:50.720 --> 21:52.020]  Come on, dog!
[21:52.760 --> 21:53.320]  Fanny pack!
[21:54.440 --> 21:55.040]  Come on.
[21:55.180 --> 21:56.220]  Ooh, a fanny pack.
[21:57.880 --> 21:58.480]  It's Philly's fan.
[21:58.820 --> 21:58.980]  Ooh.
[21:59.040 --> 21:59.720]  It's a sports thing.
[22:00.800 --> 22:01.000]  Nice.
[22:01.000 --> 22:01.940]  I guess it's just a hat, though.
[22:02.260 --> 22:03.040]  That's a classic T-shirt.
[22:03.040 --> 22:03.680]  Ooh, are they still winning?
[22:03.820 --> 22:05.000]  She's wearing camo pants.
[22:05.120 --> 22:06.300]  Oh, I've got carrying an instrument.
[22:06.400 --> 22:07.180]  He's got one on his shirt.
[22:07.220 --> 22:07.600]  Does that count?
[22:07.800 --> 22:07.960]  No.
[22:08.180 --> 22:09.460]  That was ridiculous.
[22:09.500 --> 22:09.800]  Hey, Eric.
[22:10.160 --> 22:10.340]  Yeah?
[22:10.780 --> 22:11.620]  I think they're doing okay.
[22:12.360 --> 22:12.600]  Nice.
[22:13.220 --> 22:13.480]  11 to nothing.
[22:13.520 --> 22:14.080]  Wave at the camera!
[22:14.320 --> 22:14.960]  After a delay.
[22:17.140 --> 22:18.120]  After a rain delay.
[22:18.160 --> 22:19.560]  Oh, they've walked past twice now,
[22:19.600 --> 22:20.760]  so if they do that again.
[22:20.760 --> 22:21.020]  Yep.
[22:21.100 --> 22:21.360]  Yep.
[22:21.940 --> 22:22.380]  You all right?
[22:22.460 --> 22:23.700]  Who, the backwards hat fellas?
[22:23.900 --> 22:25.300]  Yeah, the matching outfits boys.
[22:26.860 --> 22:28.340]  Where's all the bachelorette parties?
[22:29.860 --> 22:30.460]  Next door.
[22:35.080 --> 22:36.840]  Oh my God, show me a dog!
[22:39.760 --> 22:41.200]  Show me a wheelchair.
[22:42.240 --> 22:42.700]  Eric, I'm not sure.
[22:42.720 --> 22:43.360]  That's a dog!
[22:43.560 --> 22:44.580]  That's a dog in the back!
[22:44.580 --> 22:45.340]  Yeah, that's, yep.
[22:45.520 --> 22:46.160]  That's a dog on the back of the scooter.
[22:46.160 --> 22:48.720]  That's a dog in the back of the scooter tricycle.
[22:48.960 --> 22:49.700]  That's a bingo!
[22:49.940 --> 22:50.380]  Wait, wait, wait.
[22:50.380 --> 22:51.760]  Wait, wait, wait.
[22:51.900 --> 22:53.000]  It could be another animal.
[22:53.140 --> 22:53.760]  Hold on, stop.
[22:53.780 --> 22:54.560]  Hold on, let's see.
[22:54.640 --> 22:54.920]  Let's see.
[22:55.140 --> 22:55.780]  It's a dog!
[22:55.900 --> 22:56.920]  No, we can't tell.
[22:56.920 --> 22:57.680]  It could be a snake.
[22:58.160 --> 22:59.880]  It could be a cat panting.
[22:59.900 --> 23:02.060]  Is that a, is that, it looks like an English bulldog.
[23:02.260 --> 23:02.920]  Tough to tell.
[23:03.160 --> 23:04.940]  Hold on, it's, we're gonna get a bad look at it.
[23:05.220 --> 23:05.940]  What do you think, Andrew?
[23:06.340 --> 23:06.980]  That's a dog.
[23:07.080 --> 23:07.920]  That could be a baby.
[23:08.320 --> 23:08.640]  Raccoon.
[23:08.680 --> 23:09.600]  Oh, is that a baby?
[23:09.840 --> 23:10.240]  A raccoon!
[23:10.240 --> 23:11.080]  I think it's a dog.
[23:11.460 --> 23:11.780]  Yeah!
[23:11.780 --> 23:13.820]  Is it a raccoon though?
[23:13.900 --> 23:14.440]  Zooming in hot.
[23:14.520 --> 23:15.760]  Move out the way, Pickle!
[23:16.000 --> 23:18.080]  I'm afraid that we'll have to let it go.
[23:18.540 --> 23:18.820]  Dog!
[23:18.940 --> 23:19.680]  We didn't.
[23:20.040 --> 23:20.440]  No, I don't think.
[23:20.460 --> 23:22.000]  It's a bingo, boys.
[23:22.380 --> 23:22.660]  Not yet.
[23:23.660 --> 23:24.460]  Seems like a dog.
[23:24.500 --> 23:26.760]  A lot of people said it seems like a dog, but it's,
[23:26.880 --> 23:28.240]  or a baby, I'm seeing babies.
[23:28.340 --> 23:28.700]  Lots of baby.
[23:28.700 --> 23:29.820]  A lot of people think it's a baby.
[23:29.940 --> 23:31.180]  Babies do pant when it's hot.
[23:31.340 --> 23:33.480]  I don't think a baby would be not in a chair.
[23:33.660 --> 23:34.860]  And it is 84 degrees there.
[23:34.860 --> 23:35.940]  That'd be a kid out late.
[23:36.300 --> 23:36.580]  Yeah.
[23:37.480 --> 23:38.040]  All right, here we go.
[23:38.180 --> 23:40.920]  Go, go, go, go, go, go, go, go, go, go, go, go, go, go, go, go.
[23:41.040 --> 23:41.540]  It's a dog.
[23:41.620 --> 23:42.500]  No, it looks like a cat.
[23:42.720 --> 23:43.020]  Is it?
[23:43.020 --> 23:44.320]  Is it though?
[23:44.620 --> 23:44.900]  No.
[23:47.720 --> 23:48.120]  Idiots.
[23:49.660 --> 23:52.500]  Yeah, that's a bingo, boys.
[23:52.620 --> 23:53.180]  Look at this.
[23:53.580 --> 23:55.500]  Look at the, the cop is a real bastard.
[23:55.720 --> 23:57.600]  Dog, girl with a bandage, dude.
[23:57.920 --> 24:00.660]  Scooter gang, and dropped spilled food and drank.
[24:01.080 --> 24:01.840]  The bingo's done.
[24:01.900 --> 24:02.420]  You win every time.
[24:02.640 --> 24:04.260]  The bingo's done again, boys.
[24:04.320 --> 24:05.320]  Eric wins a cake.
[24:05.560 --> 24:06.560]  You gonna generate new boards?
[24:06.640 --> 24:07.720]  You guys, you wanna just generate?
[24:07.840 --> 24:08.280]  Go again, Andrew?
[24:08.280 --> 24:09.080]  Yeah, let's just go again.
[24:09.800 --> 24:10.000]  Andrew?
[24:12.540 --> 24:12.940]  Andrew.
[24:12.940 --> 24:13.300]  Andrew.
[24:14.560 --> 24:16.400]  Oh my God, he's dead.
[24:18.540 --> 24:18.980]  Andrew?
[24:19.740 --> 24:20.860]  Did you hang up on him?
[24:22.400 --> 24:22.840]  No.
[24:24.420 --> 24:25.280]  Is he still there?
[24:25.340 --> 24:25.940]  He's here.
[24:26.140 --> 24:27.180]  His avatar is.
[24:27.840 --> 24:28.620]  His avatar?
[24:30.960 --> 24:31.980]  Chat, where's Andrew?
[24:32.580 --> 24:33.020]  Andrew?
[24:33.660 --> 24:34.460]  Is chat here?
[24:35.580 --> 24:36.100]  There's a dog.
[24:36.140 --> 24:37.080]  There's another dog right there.
[24:37.120 --> 24:37.480]  There you go.
[24:37.540 --> 24:38.200]  God damn it.
[24:38.620 --> 24:39.300]  It's dog city now.
[24:39.300 --> 24:40.600]  I already restarted mine.
[24:40.700 --> 24:41.740]  Oh, you already, you already generated?
[24:41.740 --> 24:43.020]  Well, we gotta wait for Nick.
[24:43.400 --> 24:44.500]  We have to wait for Nick and Andrew.
[24:44.620 --> 24:45.700]  Oh, and you have to refresh.
[24:46.360 --> 24:46.620]  Fuck!
[24:48.360 --> 24:49.920]  At least it happened between games.
[24:50.300 --> 24:50.880]  Yeah, that's true.
[24:51.800 --> 24:52.120]  Andrew?
[24:54.040 --> 24:54.800]  Is he gone?
[24:54.960 --> 24:55.640]  I miss him.
[24:57.960 --> 24:58.740]  Wait, Andrew, are you there?
[25:00.500 --> 25:01.740]  I got no...
[25:01.740 --> 25:02.420]  No, nothing, right?
[25:02.480 --> 25:02.780]  Nothing.
[25:03.000 --> 25:04.480]  He might've just stepped away for a piss.
[25:04.540 --> 25:05.800]  Yeah, Andrew, if you're...
[25:06.360 --> 25:07.440]  Are you, like, in chat?
[25:13.290 --> 25:15.090]  Well, anyway, while we're waiting for Andrew,
[25:15.270 --> 25:17.230]  we can make fun of these people a little bit.
[25:17.230 --> 25:18.950]  I'm gonna see if I can finish up my board by the way.
[25:19.350 --> 25:19.950]  Yeah, why not?
[25:20.050 --> 25:21.370]  I wish I hadn't refreshed mine already.
[25:21.770 --> 25:22.110]  Shablet.
[25:22.250 --> 25:24.930]  Look at those outrageous rims.
[25:25.170 --> 25:25.670]  Oh, here we go.
[25:25.730 --> 25:27.890]  Eric said, Andrew, are you there?
[25:28.110 --> 25:29.470]  Well, yeah, I know it's Slack.
[25:29.690 --> 25:29.910]  Yeah.
[25:30.790 --> 25:32.030]  I haven't heard from him yet, though.
[25:35.430 --> 25:36.350]  I hope he's okay.
[25:37.390 --> 25:38.490]  But fucking weird.
[25:38.490 --> 25:38.630]  Weird.
[25:41.950 --> 25:43.650]  What kind of cake do you guys want to eat together?
[25:44.030 --> 25:45.990]  Oh my God, I thought you'd never ask.
[25:46.150 --> 25:46.770]  Oh my God.
[25:47.010 --> 25:47.510]  Ice cream cake.
[25:47.730 --> 25:49.150]  You know how much I love chocolate cake.
[25:54.250 --> 25:55.230]  Is that formal wear?
[25:56.050 --> 25:56.850]  It's gold.
[25:57.250 --> 25:59.990]  I would, I don't know that anything here is formal.
[26:00.310 --> 26:02.570]  I don't think gold equals formal.
[26:03.910 --> 26:05.290]  That could be bachelorette there.
[26:05.830 --> 26:07.370]  That's gotta be a bachelorette party.
[26:07.390 --> 26:08.410]  I would think so.
[26:08.410 --> 26:10.350]  Although, like, we're not playing right now.
[26:10.490 --> 26:10.870]  Look at this guy.
[26:10.870 --> 26:11.790]  Look at this guy.
[26:11.870 --> 26:12.890]  What the fuck?
[26:13.070 --> 26:14.070]  Jesus Christ.
[26:14.370 --> 26:15.650]  That was a dumb hat.
[26:16.230 --> 26:16.530]  Wow.
[26:16.650 --> 26:17.070]  That was dumb everything.
[26:17.070 --> 26:19.010]  Well, let's generate a new board and go.
[26:19.110 --> 26:19.570]  We'll wait for it.
[26:19.650 --> 26:23.310]  I mean, Andrew will catch up once he's back.
[26:25.230 --> 26:26.090]  All right, we generate.
[26:26.210 --> 26:26.890]  I texted him.
[26:27.010 --> 26:27.410]  I've heard nothing.
[26:27.990 --> 26:29.050]  Yeah, we'll just wait.
[26:29.230 --> 26:30.030]  Let's generate a new board.
[26:30.190 --> 26:30.730]  You want to have a seat?
[26:30.850 --> 26:33.030]  Eric said something that offended Andrew and he left.
[26:33.050 --> 26:34.450]  Yeah, I said bingo and he got pissed.
[26:35.370 --> 26:36.350]  Nick, you want to have a seat?
[26:36.670 --> 26:37.330]  I would love to.
[26:37.330 --> 26:38.210]  What's the...
[26:40.630 --> 26:40.950]  Nevermind.
[26:41.210 --> 26:41.810]  Frequency Kenneth?
[26:43.570 --> 26:45.010]  All right, generate a new one.
[26:45.170 --> 26:45.490]  What happened?
[26:46.450 --> 26:47.790]  Yeah, generate a new board.
[26:48.210 --> 26:51.230]  All right, Geoff, you want to call it?
[26:51.350 --> 26:52.070]  You want to count it down?
[26:52.190 --> 26:54.250]  Yeah, well, let's go in 65 seconds.
[26:54.430 --> 26:55.190]  What the fuck?
[26:56.610 --> 26:58.550]  Okay, 65 seconds is like a really long time.
[26:58.630 --> 26:59.070]  That's good, though,
[26:59.070 --> 26:59.990]  because I need to look at my board.
[27:00.250 --> 27:02.210]  We're going to give Andrew a second to come back, too.
[27:02.630 --> 27:03.810]  Oh, there's a sports jersey, though.
[27:04.170 --> 27:04.470]  Damn!
[27:04.810 --> 27:05.550]  You have a puzzle shirt.
[27:05.550 --> 27:05.990]  Fatty pack.
[27:05.990 --> 27:07.010]  Cavalry boots.
[27:07.130 --> 27:08.150]  All right, we're starting to over-focus.
[27:09.530 --> 27:11.470]  On the fence about entering barefoot.
[27:11.570 --> 27:12.330]  Bachelorette party.
[27:12.850 --> 27:13.970]  Dancing on camera.
[27:14.350 --> 27:14.910]  Oh, now I get dog.
[27:15.690 --> 27:17.310]  Ooh, tricycle.
[27:17.330 --> 27:18.490]  Formal attire, fuck.
[27:18.930 --> 27:19.810]  Crosswalk coward.
[27:20.070 --> 27:21.010]  Selfie skateboard.
[27:21.130 --> 27:21.630]  Skateboard's hard.
[27:21.810 --> 27:22.430]  Pink taxi.
[27:24.450 --> 27:25.090]  Suit change.
[27:25.210 --> 27:25.710]  Drunk walk.
[27:25.970 --> 27:26.930]  I forgot about scooter.
[27:26.950 --> 27:27.630]  Dead parrot head.
[27:28.390 --> 27:29.050]  Almost hit my car.
[27:29.250 --> 27:29.970]  This cop!
[27:30.350 --> 27:31.390]  This fucking bastard.
[27:33.790 --> 27:34.030]  Okay.
[27:34.570 --> 27:36.230]  We got 30 seconds till we start.
[27:36.370 --> 27:37.050]  Well, a little less now.
[27:37.290 --> 27:38.150]  We got Andrew back yet?
[27:39.030 --> 27:39.290]  No.
[27:41.110 --> 27:43.490]  Generate a new board, regulationbingo.com.
[27:44.450 --> 27:45.170]  I don't know where he went.
