[00:00.600 --> 00:01.560]  Hello and welcome-
[19:50.920 --> 19:51.080]  Yeah.
[19:51.160 --> 19:55.580]  When I get fries like that, yeah, you get fries like that and you just go,
[19:55.580 --> 19:57.520]  okay, you put a bunch of parsley on the outside of it.
[19:57.900 --> 19:58.560]  These suck.
[19:59.100 --> 20:03.040]  Like, I'm disappointed more often than not.
[20:04.700 --> 20:05.440]  I get that.
[20:05.520 --> 20:07.140]  I just, you know, it's just not for me.
[20:07.400 --> 20:13.080]  I feel like the worst fry though, the least satisfying piece of shit, get out of my face fry is this.
[20:13.600 --> 20:17.200]  The big mountain, the big mountain of, like, the ultra thin.
[20:17.540 --> 20:21.500]  Ultra skinny, extra, extra thin, awful.
[20:21.640 --> 20:21.940]  Really?
[20:22.460 --> 20:23.440]  You're never satisfied.
[20:23.880 --> 20:25.280]  You're never satisfied with them.
[20:25.280 --> 20:25.540]  No.
[20:25.740 --> 20:26.740]  It just never happens.
[20:26.940 --> 20:29.260]  See, that's a problem with me and fries in general.
[20:29.440 --> 20:32.220]  I will eat a million fries, so I'm never satisfied no matter the cut.
[20:32.820 --> 20:35.460]  Oh, no, I'm satisfied the whole time I'm eating them.
[20:35.600 --> 20:36.500]  That's the hard part.
[20:36.600 --> 20:38.660]  Is that the satisfaction never dwindles.
[20:38.900 --> 20:42.080]  Is that I'm constantly going like, yum, yum, yum, yum, yum, yum, yum.
[20:42.120 --> 20:42.860]  It's like eating candy.
[20:42.980 --> 20:43.840]  Like, I don't want to ever stop.
[20:44.800 --> 20:46.020]  How do we feel about a waffle fry?
[20:46.620 --> 20:48.840]  I like a waffle fry, I just don't, I don't know.
[20:49.660 --> 21:02.080]  For it, but I also, if you said, hey, we're going to have fries or I go to a place and I order fries and they're waffle cut without saying they're waffle cut, I think that's crazy.
[21:02.380 --> 21:03.100]  That's fair.
[21:03.320 --> 21:15.460]  The thing I like about the waffle fry is it is essentially the small fries you're suggesting, but they have a larger variance of hitting that kind of crispy but fluffy because there's more potato.
[21:15.460 --> 21:17.520]  Yeah, there's more like internal area.
[21:17.660 --> 21:21.800]  And I think they're great if you've got a real ketchup situation.
[21:22.060 --> 21:24.540]  It's like a, it's like a ketchup glove.
[21:24.760 --> 21:25.580]  It is.
[21:25.680 --> 21:27.080]  Yeah, it is great for scooping.
[21:27.240 --> 21:36.440]  I like them particularly when it's the waffle, like the waffle cut French fry, but it has like a curly fry kind of seasoning to it.
[21:36.520 --> 21:37.200]  Oh, yeah.
[21:37.240 --> 21:41.340]  That's when I'm real, that's like, I think that's when waffle fries are like at their best.
[21:41.560 --> 21:42.060]  I agree.
[21:42.480 --> 21:43.300]  I'd agree with that.
[21:44.040 --> 21:44.860]  Oh, man.
[21:44.860 --> 21:51.580]  The bad thing about waffle fries is that if it's the edge of a potato, you get these really weird like curved dreggy ones.
[21:51.840 --> 21:52.120]  Yes.
[21:52.300 --> 21:53.940]  And they are really annoying to me.
[21:54.000 --> 21:54.920]  They really piss me off.
[21:55.120 --> 21:56.160]  I don't know why they're...
[21:56.160 --> 21:57.240]  No, I get it.
[21:57.380 --> 21:58.740]  I mean, I totally understand.
[21:59.120 --> 22:00.160]  You feel like you're getting...
[22:00.160 --> 22:01.420]  It's like a potato chip almost.
[22:01.680 --> 22:02.220]  It is weird.
[22:03.080 --> 22:05.480]  Like the thing with a normal fry is that they're all pretty good.
[22:06.300 --> 22:06.540]  Yeah.
[22:06.640 --> 22:09.680]  But the dreggy waffle fries are just really unsatisfying.
[22:09.800 --> 22:10.920]  The ratios are all screwed up.
[22:11.820 --> 22:14.420]  To me, it's the thing that Chick-fil-A does.
[22:14.420 --> 22:25.360]  I feel like I get it more often at something like Chick-fil-A where it's what you're talking about, Gavin, where it's like, oh, okay, you got a couple of good ones.
[22:25.600 --> 22:28.240]  And then here's this like little wackadoo piece.
[22:28.360 --> 22:28.560]  Yeah.
[22:28.740 --> 22:31.040]  And it's just like, here's the outside of a potato.
[22:31.320 --> 22:35.840]  And what it is, even if the taste is fine, it's work for you because you're watching them.
[22:35.920 --> 22:36.520]  You're eyeing them up.
[22:36.560 --> 22:37.820]  You're thinking, oh, that's going to be a great one.
[22:37.860 --> 22:38.520]  I'm going to save that.
[22:38.600 --> 22:39.240]  Let me get some of these.
[22:39.340 --> 22:43.320]  And then it's just like, I don't want to be, you know, if it's normal fries, I'm not really thinking about that.
[22:43.320 --> 22:44.300]  I'm just grabbing a handful.
[22:44.480 --> 22:45.160]  I'm stuffing them in.
[22:45.640 --> 22:46.160]  Yeah.
[22:46.620 --> 22:46.840]  Yeah.
[22:47.000 --> 22:52.420]  Uh, have you had the waffle fry cut?
[22:52.500 --> 22:56.480]  Like, they're very, very thin cut waffle fry, like chips.
[22:56.680 --> 22:56.920]  No.
[22:57.900 --> 23:00.580]  Oh, that was so good.
[23:01.160 --> 23:01.240]  Yeah.
[23:01.360 --> 23:01.700]  Yeah.
[23:01.700 --> 23:07.140]  I would say they're more like a potato chip than they are the fry, but it's the same kind of principle.
[23:07.300 --> 23:08.160]  They're very good.
[23:08.160 --> 23:13.840]  They're very just thin and crispy and you can mow through like a million.
[23:14.220 --> 23:15.220]  Great for dipping too.
[23:15.360 --> 23:15.860]  I really like them.
[23:15.920 --> 23:18.480]  Is that like in a restaurant or like where would you get those?
[23:18.940 --> 23:23.380]  Yeah, there was a there's a bar in San Diego that I would go to all the time and they had those on the menu.
[23:23.620 --> 23:25.500]  And you would just like, you go insane for them.
[23:25.560 --> 23:26.200]  They're so good.
[23:26.400 --> 23:29.920]  I'm going to post a general fry chart just so we could kind of lock this in a little bit.
[23:29.920 --> 23:30.860]  Oh, look at this.
[23:30.880 --> 23:33.880]  And then we can get Chris Damaris in here and he can yell about tater tots.
[23:34.040 --> 23:34.500]  This is great.
[23:34.940 --> 23:35.380]  There they are.
[23:35.480 --> 23:35.960]  Number three.
[23:36.520 --> 23:37.520]  Not a French fry.
[23:38.540 --> 23:39.600]  Sounds like which one?
[23:39.680 --> 23:40.380]  The standard cut.
[23:40.500 --> 23:42.200]  Is that what you guys are saying is the one you're leaning?
[23:42.380 --> 23:45.460]  I would I would say standard cut would be it.
[23:46.240 --> 23:46.640]  Right.
[23:47.060 --> 23:49.180]  It seems like I'm fine with that.
[23:49.420 --> 23:50.280]  I think it's a pretty good fry.
[23:50.420 --> 23:51.740]  I think everyone would agree.
[23:53.100 --> 23:53.480]  Oh, yeah.
[23:53.580 --> 23:55.340]  The steak fry.
[23:55.500 --> 23:56.420]  They're pretty good.
[23:56.520 --> 23:57.120]  I don't know.
[23:58.180 --> 24:01.460]  Chips British are different to steak fries and standard cut.
[24:03.580 --> 24:04.360]  Oh, interesting.
[24:04.880 --> 24:05.040]  Yeah.
[24:05.040 --> 24:05.960]  And there's potato wedges.
[24:06.060 --> 24:06.700]  That should be way lower.
[24:06.800 --> 24:09.120]  I think there's a thing that you kind of touched on, Eric.
[24:09.180 --> 24:09.980]  We haven't really explored.
[24:10.880 --> 24:12.420]  Seasoning is so important on the fries.
[24:12.980 --> 24:14.160]  Do we have like a unanimous?
[24:14.280 --> 24:15.940]  I love the curly fry seasoning.
[24:16.020 --> 24:18.120]  If I could have that on every fry, I think I would.
[24:19.060 --> 24:20.440]  I like that, too, but I don't need it.
[24:20.520 --> 24:21.700]  Like, I'm fine with just salt.
[24:22.340 --> 24:23.280]  I'm fine with salt, too.
[24:23.380 --> 24:27.420]  But I'm fine with salt because you only get the curly fry seasoning on the curly fry.
[24:27.900 --> 24:31.520]  If there was a place that just put it on all fries, I would be happy about that.
[24:32.720 --> 24:35.780]  I would never be disappointed to have that seasoning on a french fry.
[24:36.400 --> 24:40.760]  If I had crinkle cut fries with curly fry seasoning, that'd be a pretty good french fry.
[24:41.320 --> 24:42.800]  How do you feel about that, Gavin?
[24:43.420 --> 24:43.680]  Yeah.
[24:44.080 --> 24:44.480]  Yeah?
[24:45.820 --> 24:46.220]  Yeah?
[24:47.200 --> 24:50.600]  I just think, I think for a regulation french fry, it has to be salt.
[24:51.080 --> 24:52.460]  It just has to be a straight salt one.
[24:53.100 --> 24:53.420]  Okay.
[24:53.800 --> 24:57.440]  I'm confused as to why sweet potato fries would be on that list.
[24:58.200 --> 24:58.980]  How do you mean?
[24:58.980 --> 25:02.260]  I mean, is that the only non-regular potato on the list?
[25:03.060 --> 25:04.220]  Oh, I see what you're saying.
[25:04.480 --> 25:06.660]  That's just a different thing to me. It's a different item.
[25:06.760 --> 25:09.220]  Yeah, yeah, yeah, yeah. I agree.
[25:10.120 --> 25:12.460]  Yeah, I don't think it probably needs to be on that list.
[25:13.080 --> 25:13.440]  Okay.
[25:13.880 --> 25:19.580]  Well, it looks like we are in agreement. The standard cut, like the McDonald's-style fry, just salt.
[25:20.420 --> 25:22.080]  I don't think there's any other variation, really.
[25:22.560 --> 25:23.860]  Condiments, do whatever you want.
[25:24.460 --> 25:26.820]  Dip it however you feel. Or don't.
[25:26.840 --> 25:27.000]  Yeah.
[25:27.000 --> 25:32.020]  How do you feel, Gavin, while we're looking at Eric and I just eating some fries no dip? Is that okay?
[25:32.460 --> 25:33.660]  That's fine, absolutely fine.
[25:33.860 --> 25:34.900]  Okay, cool.
[25:35.080 --> 25:41.960]  Okay, alright, but then what if we eat like six fries and then we put them down and then we pick up six hot dogs?
[25:42.580 --> 25:43.380]  No condiments.
[25:43.660 --> 25:47.640]  What if we are dipping our fries in a condiment but just eating plain hot dogs?
[25:48.400 --> 25:51.480]  Yeah, that'd be insane. I don't think anyone would ever do that.
[25:53.120 --> 25:55.500]  Oh, I've definitely done that. I've been there.
[25:57.960 --> 26:01.460]  Plain hot dogs but dipping your fries in ketchup would be hilarious.
[26:04.660 --> 26:08.020]  Okay, we have a few things we can pick from now.
[26:08.560 --> 26:09.080]  Okay.
[26:09.140 --> 26:10.160]  I'll let you guys decide.
[26:11.800 --> 26:18.960]  We can stick with food. I have burger, pie, or action hero.
[26:19.640 --> 26:22.600]  I kind of want to argue about pie. Do you want to argue about pie, Gavin?
[26:22.980 --> 26:23.340]  Yes.
[26:24.040 --> 26:24.560]  Okay.
[26:25.000 --> 26:26.260]  What is the regulation pie?
[26:26.260 --> 26:30.360]  I love apple pie, my favorite pie. I don't know if I'd say that's the regulation pie.
[26:31.100 --> 26:34.020]  I feel like it's too high of a tier in my opinion.
[26:34.520 --> 26:34.760]  Okay.
[26:34.960 --> 26:35.580]  I have a question.
[26:36.020 --> 26:38.440]  How is cheesecake not a pie?
[26:38.900 --> 26:44.040]  I don't know. It doesn't make sense to me either.
[26:44.160 --> 26:46.500]  It has like a biscuity base.
[26:46.640 --> 26:49.080]  Yeah, like a graham cracker crust?
[26:49.480 --> 26:49.800]  Yeah.
[26:49.940 --> 26:53.660]  Yeah, everything about it is pie except in name.
[26:53.660 --> 26:56.260]  I'll look it up. I'll see if there's an answer to this question.
[26:56.740 --> 26:58.740]  Because if it is a pie, it's my favorite pie.
[26:59.300 --> 27:03.560]  I agree with you. If cheesecake is a pie, then that is the ultimate pie.
[27:03.760 --> 27:07.700]  Although if someone asked me if I wanted cheese pie, I'd be like, get that away from me.
[27:10.080 --> 27:15.000]  I think if somebody said, do you want a slice of pie? And then they gave me a piece of cheesecake, I would be confused.
[27:16.860 --> 27:20.360]  I would be thrilled. I'd be going, oh my God, we're having fucking cheesecake? That's great.
[27:20.900 --> 27:26.940]  I guess it's not a pie because according to the Oxford Dictionary, a cheesecake is a type of tart.
[27:31.540 --> 27:33.160]  But it is a common question.
[27:33.480 --> 27:37.400]  What makes it pie? Like the top has to be...
[27:37.400 --> 27:43.060]  I bet it's probably crust all the way up to like a top and then probably like a crust.
[27:43.220 --> 27:44.180]  Cheesecake is lidless.
[27:44.180 --> 27:46.480]  No, because so is pumpkin pie.
[27:46.780 --> 27:47.560]  Fuck, yeah.
[27:47.600 --> 27:47.880]  Is it?
[27:48.080 --> 27:49.160]  Pumpkin pie is lidless.
[27:49.160 --> 27:50.160]  Yeah, it is.
[27:50.280 --> 27:51.020]  I thought it had a top.
[27:51.540 --> 27:51.940]  No.
[27:52.120 --> 27:52.440]  What?
[27:52.780 --> 27:53.600]  A typical pumpkin pie.
[27:53.760 --> 27:55.640]  Here, pumpkin pie, boom, here.
[27:56.580 --> 27:58.440]  There's no, there's no top on a pumpkin pie.
[27:59.120 --> 28:01.660]  Oh, that's not, I've never had it. It looks, it looks repulsive.
[28:02.400 --> 28:03.760]  You've never had pumpkin pie?
[28:03.940 --> 28:05.400]  Pumpkin isn't food. It shouldn't be eaten.
[28:05.860 --> 28:08.420]  What about, I think pumpkin is mostly food.
[28:08.680 --> 28:09.240]  It's not food.
[28:10.360 --> 28:11.500]  What is pumpkin then?
[28:12.820 --> 28:13.120]  Yeah.
[28:13.960 --> 28:15.740]  It's like Halloween shit.
[28:17.220 --> 28:18.740]  It's decoration you can grow?
[28:19.160 --> 28:22.320]  Yeah, it's a growable decoration. That's all it's good for.
[28:23.160 --> 28:26.100]  I was going to say that pumpkin pie was my pick for pie.
[28:26.500 --> 28:27.500]  That's interesting.
[28:27.960 --> 28:28.260]  God.
[28:28.480 --> 28:29.380]  I love pumpkin pie.
[28:29.380 --> 28:29.540]  I don't think that's going to happen.
[28:29.740 --> 28:32.980]  My grandma would make it and put a layer of cheesecake at the bottom.
[28:33.280 --> 28:34.500]  Oh, oh, so good.
[28:34.580 --> 28:35.140]  But that's not...
[28:35.140 --> 28:35.600]  Oh my God.
[28:35.780 --> 28:36.980]  Wouldn't that make it a pumpkin tart?
[28:38.540 --> 28:42.800]  I suppose so, but for the sake of this argument, I would still pick pumpkin pie.
[28:43.000 --> 28:44.520]  I could probably house a whole pumpkin pie.
[28:44.680 --> 28:46.280]  I think I could probably eat a whole pumpkin pie.
[28:46.280 --> 28:47.920]  What about, okay, well, let's find Gavin.
[28:47.920 --> 28:50.300]  What is outside of pumpkin?
[28:51.000 --> 28:52.120]  Are there any other pies you hate?
[28:53.500 --> 28:55.880]  I hate all pies that you would find here.
[28:55.940 --> 28:57.220]  I hate all sweet pies.
[28:57.880 --> 28:58.620]  I knew it.
[28:58.800 --> 29:00.260]  This is why I wanted to argue pie.
[29:00.960 --> 29:02.620]  This is why I wanted to argue pie.
[29:02.780 --> 29:05.360]  I knew that Gavin, when we go, what's the best pie?
[29:05.460 --> 29:07.220]  He was going to be like, it was going to be this.
[29:07.360 --> 29:08.940]  And this isn't even like food to me.
[29:09.240 --> 29:09.940]  This is insane.
[29:10.080 --> 29:10.760]  This is like...
[29:10.760 --> 29:11.320]  That's a pie.
[29:11.320 --> 29:18.720]  What if, what if you took what a dog eats and then you put it on the inside of how you make an apple pie?
[29:19.600 --> 29:21.180]  And then you just feed it to people.
[29:21.360 --> 29:23.120]  And then you feed it to people as a joke.
[29:23.260 --> 29:27.080]  I just don't know why then, why your pies aren't called dessert pies.
[29:27.680 --> 29:29.340]  A pie shouldn't be so...
[29:30.140 --> 29:32.340]  It shouldn't be able to fit in any part of the meal.
[29:33.020 --> 29:34.340]  Well, what pie came first?
[29:34.820 --> 29:36.640]  Cause it's, they're savory pies.
[29:36.900 --> 29:38.680]  Which was the first pie?
[29:38.680 --> 29:39.560]  Yeah, what was the first pie?
[29:39.560 --> 29:42.780]  I bet, I bet it was savory pies before sweet pies, don't you think?
[29:42.780 --> 29:45.460]  I would bet that too, but it is odd that there is a...
[29:45.460 --> 29:47.920]  Pie is just pie, unless it's savory pie.
[29:48.420 --> 29:49.800]  Ancient Egypt and Greece.
[29:50.500 --> 29:53.140]  Savory pies in open pastry shells.
[29:53.800 --> 29:54.040]  Yeah.
[29:54.480 --> 29:55.860]  Yeah, that, I mean, that makes sense.
[29:55.880 --> 29:59.120]  I can't imagine ancient Egypt chowing down on some pumpkin pie.
[29:59.360 --> 30:00.600]  It just feels...
[30:00.600 --> 30:01.440]  That's odd.
[30:01.980 --> 30:07.020]  They found a tablet carved before 2000 BC and it was a recipe for chicken pie.
[30:07.740 --> 30:08.080]  Oh!
[30:10.680 --> 30:15.020]  I just think that when, when this is on the table...
[30:15.020 --> 30:15.500]  Oh God.
[30:17.000 --> 30:18.800]  Like, this isn't...
[30:19.300 --> 30:22.520]  This is like what Gavin wants and I don't understand it.
[30:23.060 --> 30:25.260]  I wonder when the last time I had a pucker pie was.
[30:26.000 --> 30:26.240]  What?
[30:26.400 --> 30:27.400]  Is that what that is?
[30:27.820 --> 30:31.540]  Nah, it was like a brand of little tiny pies, I think.
[30:32.020 --> 30:32.420]  Let me see.
[30:33.220 --> 30:33.820]  Pucker pie.
[30:34.460 --> 30:38.560]  I don't want casserole with like a bread crust, which is what that one pie looks like.
[30:39.240 --> 30:42.620]  It looks like there's corn and beans.
[30:43.040 --> 30:46.080]  Dude, fucking yuck-a-pucker pies, what is that?
[30:48.580 --> 30:51.600]  That looks deceptively good from the outside.
[30:52.180 --> 30:55.640]  Yeah, but wait, hey, but are you ready to see the inside, Andrew?
[30:55.720 --> 30:56.120]  I'm ready.
[30:56.840 --> 30:57.940]  You're gonna get pissed.
[30:58.100 --> 30:59.060]  You ready to be pissed?
[30:59.100 --> 30:59.480]  Yeah, I'm ready.
[31:00.260 --> 31:00.960]  Fuck that!
[31:01.280 --> 31:02.260]  Fuck that!
[31:02.860 --> 31:04.000]  That's some bullshit.
[31:04.700 --> 31:09.300]  That is like one of those games where they have to jump in the box and they can't see what it is.
[31:09.660 --> 31:12.860]  That looks delicious on the... what a fucking joke.
[31:13.300 --> 31:14.540]  What a mean joke.
[31:14.560 --> 31:16.080]  They've got cheese, leek, and potato.
[31:16.300 --> 31:17.240]  They've got steak and ale.
[31:17.460 --> 31:18.560]  They've got cheese and stuffing.
[31:19.100 --> 31:19.700]  Oh, chicken and stuffing.
[31:19.720 --> 31:25.480]  Dude, this is the craziest... this might be the craziest meal I've ever seen.
[31:25.640 --> 31:31.020]  It's one of those pies and french fries with some... are those peas?
[31:32.080 --> 31:35.240]  Well, peas... you don't forget mushy peas if you're having fish and chips.
[31:36.080 --> 31:37.280]  Mushy peas are a side.
[31:37.780 --> 31:37.900]  Sure.
[31:38.120 --> 31:42.880]  There's nothing better than sitting down with the family, having a little fish and chips.
[31:42.980 --> 31:46.620]  Someone might get a pucker pie and you just eat it on paper on the table.
[31:46.860 --> 31:47.120]  Brilliant.
[31:47.560 --> 31:48.160]  Happy Sunday.
[31:48.460 --> 31:55.360]  You know what the problem with the pie, the savory pie, is it looks like you've gutted an animal and the insides are just coming out.
[31:55.420 --> 31:55.600]  Yes.
[31:55.860 --> 31:56.880]  I agree.
[31:57.460 --> 31:57.900]  Visually.
[31:58.080 --> 31:59.760]  But it's all food that you would eat normally.
[31:59.760 --> 32:01.740]  I know, but it's just chicken or steak.
[32:02.360 --> 32:08.340]  Like, I don't disagree, but there's something about the framing of it visually that is just repulsive to me.
[32:08.740 --> 32:09.260]  Yes.
[32:09.660 --> 32:09.920]  Yeah.
[32:10.460 --> 32:18.120]  Where you have something like... like, look... I mean... look at this.
[32:18.180 --> 32:19.080]  That's beautiful.
[32:19.320 --> 32:20.520]  That looks way more gory.
[32:21.820 --> 32:22.240]  What?
[32:23.080 --> 32:25.840]  That looks like a dead animal. It's all blood and...
[32:26.280 --> 32:31.600]  No, the pie above that you're showing, the meat pie thing.
[32:31.660 --> 32:31.940]  Yeah.
[32:32.080 --> 32:36.060]  That looks like you cut into the tauntaun or whatever the fuck that thing in Star Wars is.
[32:36.420 --> 32:38.280]  And you gotta make room for heat.
[32:38.500 --> 32:39.680]  Gavin, look at... Gavin, look at that blueberry pie.
[32:39.680 --> 32:40.760]  That looks delicious.
[32:41.280 --> 32:44.160]  That's just a bucket of blueberries with shit on top.
[32:44.200 --> 32:44.520]  Yeah.
[32:45.100 --> 32:49.120]  That's barely been converted to a pie. At least the pumpkin pie, you couldn't see a pumpkin.
[32:49.580 --> 32:53.360]  Right, but isn't that what you just argued about the pucker pie and everything?
[32:53.360 --> 32:56.460]  Is that it's just what you would eat anyway, but in a pie crust?
[32:56.940 --> 32:58.800]  Yeah, but would you eat a bowl of blueberries?
[32:59.300 --> 33:00.140]  Yeah, absolutely.
[33:00.720 --> 33:01.340]  I did yesterday.
[33:01.340 --> 33:04.840]  I sat down and ate a bunch of strawberries and bananas earlier. What are you talking about?
[33:04.900 --> 33:07.740]  Would you eat... hey, hey, dude, would you eat a bunch of fruit?
[33:08.300 --> 33:08.620]  Yeah.
[33:08.780 --> 33:09.240]  I feel like...
[33:09.240 --> 33:09.420]  What?
[33:09.560 --> 33:12.880]  I feel like a little pun of blueberries. You're gonna be putting them on stuff.
[33:12.980 --> 33:16.960]  They're gonna be, like, decorative. You're not just gonna have a bowl spoon full of tiny blueberries.
[33:17.360 --> 33:19.440]  Wait, is all fruit decorative to you?
[33:19.740 --> 33:20.040]  No.
[33:20.120 --> 33:21.280]  What tiny fruit is?
[33:21.820 --> 33:22.140]  Everything.
[33:22.140 --> 33:23.880]  It's like eating a bowl of cherries.
[33:24.460 --> 33:26.200]  Cherries are for putting on top, alright?
[33:26.340 --> 33:26.740]  No.
[33:26.840 --> 33:28.720]  Not for snacking on 50 cherries.
[33:28.940 --> 33:29.840]  I've absolutely eaten bowls of cherries.
[33:30.480 --> 33:31.520]  You must have had the shits.
[33:32.540 --> 33:38.560]  So pumpkin, blueberry, and cherry are all just decorations that you can grow?
[33:38.660 --> 33:43.580]  No, no, no. Pumpkin is decoration that you shouldn't even eat. At least with a cherry, you can eat it.
[33:44.900 --> 33:45.360]  I just...
[33:45.360 --> 33:49.840]  I think a meat pie is... dude, a meat pie is crazy.
[33:50.020 --> 33:51.480]  What about a Christmas with a mince pie?
[33:51.480 --> 33:53.080]  I don't know what that is.
[33:53.080 --> 33:54.580]  I just don't like mince. That's my problem.
[33:54.660 --> 33:54.860]  It's not actually mince.
[33:54.860 --> 33:56.120]  I don't know what mince is.
[33:56.960 --> 33:58.020]  Mince pie Christmas.
[33:58.020 --> 33:59.920]  Well, that's not my fault.
[34:00.300 --> 34:01.100]  It's a confusing name.
[34:01.120 --> 34:01.500]  Is it sweet?
[34:01.740 --> 34:02.740]  Now, what do you think of this?
[34:02.920 --> 34:04.600]  Ah, shit! Do I wanna...
[34:04.600 --> 34:04.780]  That?
[34:05.060 --> 34:05.800]  There you go, yeah, yeah, yeah.
[34:05.840 --> 34:09.360]  See, that's the most appealing, because it doesn't look like it's bleeding out.
[34:09.840 --> 34:11.460]  It's like a fruit... it's fruity.
[34:12.100 --> 34:12.880]  Is it raisins?
[34:13.340 --> 34:19.740]  Uh, I don't know if it's raisins. It's usually, like, fruits of the forest and all that. Like raspberries and blackberries and...
[34:19.740 --> 34:25.860]  Okay, so you're fine with that, but for some reason, blueberries is weird?
[34:26.180 --> 34:27.600]  I'm only fine with that at Christmas.
[34:28.420 --> 34:31.460]  Fruits of the forest is such a funny descriptor.
[34:32.900 --> 34:42.240]  Uh, looking at the photo you shared, Gavin, I feel like a child, because I realized that if that star crust wasn't on top, it would be infinitely less delicious looking to me.
[34:42.400 --> 34:42.940]  Oh, I totally agree.
[34:42.940 --> 34:45.380]  That star is carrying the entire dish.
[34:45.440 --> 34:48.060]  It's doing... yeah, the star is doing, like, a lot of heavy lifting.
[34:48.060 --> 34:55.740]  Uh, I... I just don't think when you think pie, that's not... that's not the regulation pie.
[34:55.820 --> 34:56.760]  No, it can't be.
[34:56.940 --> 34:58.840]  No, it's not regulation, but I think a lot of them are apple.
[34:59.320 --> 35:01.640]  So apple pie would be the regulation pie?
[35:02.680 --> 35:03.140]  Uh...
[35:03.140 --> 35:05.240]  Well, are you... wait, are you a fan of apple pie?
[35:05.880 --> 35:06.460]  No, not really.
[35:08.360 --> 35:10.880]  It's fine, I don't like ketchup or mustard.
[35:10.880 --> 35:20.480]  I think if... if... if you think pie from, like, a media perspective, like, uh, like a movie, someone's getting pie, it's gonna be apple pie.
[35:20.900 --> 35:21.860]  The thing, though...
[35:21.860 --> 35:22.260]  I agree.
[35:22.380 --> 35:23.680]  The problem with setting a regulation...
[35:23.680 --> 35:24.540]  What pie got shagged in that film?
[35:25.400 --> 35:25.620]  Yeah.
[35:26.080 --> 35:26.320]  It is.
[35:26.320 --> 35:27.160]  Oh, yeah, that was apple pie.
[35:27.260 --> 35:27.880]  It was, yeah.
[35:28.540 --> 35:30.920]  Do you ever, um... no, go for it, Andrew.
[35:30.920 --> 35:38.540]  I was gonna say, the problem with establishing a regulation, I feel like if we put it at the peak, that lowers all other pies, if that makes sense.
[35:38.780 --> 35:39.620]  Yeah, too bad.
[35:39.940 --> 35:40.660]  Too bad? Okay.
[35:40.660 --> 35:41.120]  Like...
[35:41.120 --> 35:41.760]  That's the thought on it?
[35:41.780 --> 35:45.520]  Yeah, I mean... I mean, to me, a regulation pie being apple pie makes so much sense.
[35:45.620 --> 35:45.800]  Okay.
[35:45.940 --> 35:49.880]  Have you guys ever... you're gonna think I'm nuts, probably.
[35:50.760 --> 35:53.240]  Um, this... I'm not proposing this to be regulation.
[35:53.380 --> 35:53.460]  Okay.
[35:53.460 --> 35:54.960]  I think apple pie should be the regulation pie.
[35:55.260 --> 35:58.080]  Have you guys ever done, uh, apple pie with a piece of yellow cheese?
[35:58.160 --> 35:59.340]  No, but I want to.
[35:59.560 --> 35:59.760]  Oh, God.
[35:59.920 --> 36:02.780]  That's something Geoff and I have been meaning to try, is a different thing.
[36:02.800 --> 36:09.520]  Yeah, I, uh... he orders it in taxi driver, and I remember being in college and going, like, that's crazy, there's no way it's good.
[36:09.520 --> 36:11.840]  It's so fucking good.
[36:12.140 --> 36:15.340]  I love a piece of apple pie...
[36:15.500 --> 36:17.020]  ...with a slice of yellow cheese on it.
[36:17.080 --> 36:17.660]  That's insane.
[36:17.700 --> 36:17.920]  It's so good.
[36:18.160 --> 36:19.320]  That is batshit.
[36:19.600 --> 36:20.020]  It's so...
[36:20.020 --> 36:20.500]  That is...
[36:20.500 --> 36:21.300]  Oh, it's so good.
[36:21.740 --> 36:25.700]  It's like Maine... I don't remember, there's a certain state that that is their dessert.
[36:26.100 --> 36:27.400]  Like, that is the state dessert.
[36:27.460 --> 36:27.820]  Oh, really?
[36:27.860 --> 36:30.440]  I don't remember which one it is, though, but...
[36:30.440 --> 36:31.480]  I loved it.
[36:31.580 --> 36:33.180]  I was, like, so impressed by it.
[36:33.440 --> 36:38.160]  I... it's... it adds, like, a weird creaminess to it that you're not expecting from your pie.
[36:38.160 --> 36:40.360]  And it is, like, it's bonkers.
[36:40.460 --> 36:40.860]  I love it.
[36:40.900 --> 36:44.640]  I'm surprised you're not on board for this, Gavin, because I feel like it's adding savory to a sweet.
[36:46.500 --> 36:46.860]  Uh...
[36:46.860 --> 36:48.000]  I would try it.
[36:48.120 --> 36:49.360]  But it doesn't...
[36:49.360 --> 36:51.000]  I mean, let's be honest, it doesn't look good.
[36:51.400 --> 36:52.140]  No, it doesn't.
[36:52.180 --> 36:54.040]  But, boy, is it fucking delicious.
[36:54.160 --> 36:56.400]  I would argue it looks better than any of the pies you've posted.
[36:56.880 --> 36:57.400]  That's true.
[36:57.520 --> 36:57.680]  Okay.
[36:57.760 --> 36:58.880]  I haven't posted all my pies.
[36:58.960 --> 36:59.960]  What about a shepherd's pie?
[37:00.640 --> 37:01.440]  Yeah, I don't...
[37:01.440 --> 37:01.960]  No, fuck no.
[37:02.420 --> 37:03.280]  That is...
[37:03.280 --> 37:08.580]  If pumpkin pie isn't pie, that is just simply dog food with mashed potatoes on top.
[37:08.660 --> 37:09.340]  It's lamb.
[37:10.280 --> 37:12.700]  I really like the top half of that.
[37:12.720 --> 37:13.300]  Okay, so...
[37:14.860 --> 37:18.540]  I like that this pie doesn't even have a bottom. It's usually just done in a big dish...
[37:18.540 --> 37:18.660]  No!
