[00:00.000 --> 00:01.260]  Is my line fatter?
[20:29.200 --> 20:39.140]  Introducing Bear Mattress, designed with a focus on recovery, cooling, and pressure relief to upgrade your sleep and improve your overall quality of life.
[20:39.200 --> 20:46.640]  Get 40% off site-wide by going to bearmattress.com and using our promo code, Regulation.
[20:46.640 --> 20:51.640]  You take Bear's Sleep Quiz, and it matches you with the perfect mattress.
[20:51.760 --> 20:53.580]  And that's exactly what I did.
[20:53.760 --> 20:57.060]  I got the Bear Mattress Elite Hybrid Soft.
[20:57.420 --> 20:59.300]  I sleep hot. I toss and turn.
[20:59.560 --> 21:05.780]  I have a lot of problems with my hip and back, but with Bear Mattress Sleep Recovery Technology, it helps me fall asleep faster.
[21:06.140 --> 21:10.640]  I sleep deeper. I enjoy deeper rest, and I wake up more rejuvenated.
[21:10.640 --> 21:16.920]  Plus, Bear's best-in-class cooling ensures optimal temperature regulation. That's the name of the show.
[21:17.080 --> 21:19.660]  Preventing overheating so you can stay comfortable.
[21:19.980 --> 21:27.240]  Look, I sleep hot. I toss and turn. Bear Mattress is the coolest mattress I have ever slept on.
[21:27.400 --> 21:32.160]  I need to, like, sleep on ice. That's just me. I'm that kind of guy.
[21:32.600 --> 21:36.280]  The mattress is delivered to your door, rolled up in a box, and is easy to set up.
[21:36.280 --> 21:42.410]  Of all these mattresses I've ever had, this is the easiest setup I've ever had for a mattress.
[21:43.080 --> 21:44.360]  I cannot recommend it enough.
[21:44.600 --> 21:52.180]  So, go to bearmattress.com and use promo code REGULATION at checkout to get 40% off site-wide.
[21:52.320 --> 21:54.820]  This offer is not available anywhere else.
[21:54.920 --> 22:00.140]  You have to use our promo code on the very last page of checkout to get this discount.
[22:00.300 --> 22:05.140]  That's bearmattress.com, and use our promo code REGULATION to get 40% off site-wide.
[22:05.680 --> 22:08.000]  bearmattress.com, promo code REGULATION. Thanks, Bear.
[22:09.920 --> 22:17.020]  Hey, speaking of information, so we are doing back-to-backs today, which, I'll be honest, stressed me out yesterday because I was looking at my notes,
[22:17.100 --> 22:21.420]  and I just have a section of dregs that I've just been pushing off that's all I've got.
[22:21.620 --> 22:23.080]  Like, four little dreg notes.
[22:23.560 --> 22:27.840]  And I thought, that could be my contribution to one episode, but I need to come up with some new ideas or something.
[22:28.260 --> 22:31.720]  I was laying in bed, just racking my brain. I couldn't think of anything, so I went to bed.
[22:32.160 --> 22:36.840]  And then the idea fairy came and visited me in my sleep.
[22:36.900 --> 22:40.080]  And when I woke up this morning, I was vomiting ideas.
[22:40.200 --> 22:44.880]  I had five ideas at the same fucking time all at once this morning.
[22:45.120 --> 22:48.000]  Wow. To share with you guys. Like a freestyle machine of ideas.
[22:48.220 --> 22:53.180]  It was like a little machine gun, but it only had five bullets in it, but the succession was rapid.
[22:53.320 --> 22:55.840]  It was like, da-da-da-da, even faster than that, maybe.
[22:56.360 --> 22:58.460]  Do they build, or are they all completely unique?
[22:58.460 --> 23:01.660]  I'm gonna let, oh, I think they're, well, you'll see. Can I share them with you guys?
[23:01.740 --> 23:02.160]  Yeah, of course.
[23:02.720 --> 23:05.860]  Alright, my first idea. You guys know dartboards, right?
[23:06.120 --> 23:06.760]  Yup. Yes.
[23:06.860 --> 23:13.360]  You have a dartboard, it's round, you play the game where you try to get the dart in the middle or strategically around the edges.
[23:13.640 --> 23:18.040]  There's games called cricket, there's just like, but they're dartboard games, right?
[23:18.540 --> 23:21.420]  Why don't we have dartboard games?
[23:21.860 --> 23:25.720]  Why does a dart, why does a dartboard have to be just a circular thing on a wall?
[23:25.720 --> 23:27.080]  Why can't it be much larger?
[23:27.360 --> 23:33.000]  Why can't it be like Candyland, and you're throwing darts to go places on the board, and then you end up being like,
[23:33.040 --> 23:36.920]  oh, I missed, I'm in the fucking, I'm in the swamp, I gotta go back three darts, or whatever.
[23:37.320 --> 23:41.080]  Why do we, why can't we innovate on the dartboard itself?
[23:41.420 --> 23:48.460]  If people can put pickleball courts in their backyard, if they can build, like, fucking rock climbing walls in their garage,
[23:48.540 --> 23:55.020]  why can't you dedicate a wall in your garage to a dartboard that's wall size that you can create entire board games on?
[23:55.020 --> 24:00.260]  I think we can revolutionize the dartboard industry and dartboards, darts as a sport in general.
[24:00.740 --> 24:08.240]  I mean, you got a few dart things, you got lawn darts, you got the dartboard, you got the throwing balloons,
[24:08.800 --> 24:11.300]  or no, you throw the darts, not the balloons.
[24:11.680 --> 24:16.280]  Now, what about that? What if you had to throw the balloons at the darts?
[24:16.860 --> 24:18.180]  I'm okay with that idea, too.
[24:18.260 --> 24:24.160]  I just think that we, we did that thing as a culture and a society where we built a dartboard and we went,
[24:24.160 --> 24:27.960]  good enough, and then nobody thought to innovate. And it's just been sitting there.
[24:28.360 --> 24:32.100]  They've just been sitting there collecting dust in every garage in the world.
[24:33.300 --> 24:37.960]  Across the universe, people are ignoring dartboards, but they didn't, they don't have to.
[24:38.060 --> 24:43.200]  If we made them a fun shape and added new mechanics to the game, think about it.
[24:43.320 --> 24:43.960]  That's my first idea.
[24:44.180 --> 24:50.920]  We don't even need to add new mechanics. We can just say it has AI in it, because that's what every major company is doing now.
[24:50.920 --> 24:56.120]  AI dartboard, dartboard 2.0. What does the AI do? I don't know.
[24:56.200 --> 25:03.580]  I don't understand why every company is fighting so hard after something that I don't know anyone who cares about.
[25:04.020 --> 25:07.920]  Yes. That's got an AI. Look at that. AI.
[25:08.420 --> 25:10.420]  I'm sure people use that. Just who are those people?
[25:11.120 --> 25:16.440]  I can think of a couple of people I know personally that are fucking in love with it. Talk about it constantly.
[25:17.220 --> 25:18.100]  You know one of them?
[25:18.580 --> 25:19.820]  Having AI and stuff?
[25:19.820 --> 25:21.440]  Yeah, and using AI for stuff.
[25:21.800 --> 25:26.540]  Even to this day, you look at stuff like Siri, which is I assume over a decade old.
[25:26.860 --> 25:31.660]  I've never used it for anything other than setting a timer, so maybe I'm not the best use case for AI.
[25:31.960 --> 25:36.360]  I finally used Alexa the way you're supposed to the other day, I think.
[25:36.440 --> 25:40.880]  I usually just ask her what the weather is, and sometimes I'll ask her to play a song.
[25:40.880 --> 25:49.740]  But yesterday, I realized I needed to descale my coffee maker, and I couldn't find the descaler since I moved.
[25:49.820 --> 25:51.700]  It's like one of those things you use twice a year, you know?
[25:52.100 --> 25:52.260]  Yeah.
[25:52.300 --> 25:54.220]  And so I thought, it's like six bucks, I'll just buy more.
[25:54.360 --> 25:58.620]  And I looked at my Alexa and I thought, I bet I could just tell this lady to buy it and she'll buy it.
[25:58.960 --> 26:00.480]  And I did, and she did.
[26:01.340 --> 26:02.620]  I just said, Alexa.
[26:03.040 --> 26:04.260]  Well, she's in the downstairs.
[26:04.260 --> 26:07.380]  I said, Alexa, buy descaler, coffee descaler.
[26:07.460 --> 26:11.300]  And she goes, you purchased this on October 7th, 2023, would you like to purchase it again?
[26:11.340 --> 26:11.880]  And I was like, yes.
[26:11.900 --> 26:13.620]  And then she's like, ordered, it will be here Friday.
[26:14.440 --> 26:16.360]  And I was like, why haven't I been doing this for years?
[26:16.380 --> 26:18.780]  I've had this lady in my house for like fucking six years now.
[26:20.140 --> 26:20.920]  Well, you prayed to her.
[26:21.200 --> 26:22.460]  That's true, I did pray to her that time.
[26:23.260 --> 26:25.080]  Anyway, so that was my first idea.
[26:25.680 --> 26:27.640]  Now I have four more ideas I'd like to share with you.
[26:27.820 --> 26:28.980]  Here's my second idea.
[26:29.580 --> 26:30.220]  Hot spoon.
[26:30.780 --> 26:31.500]  Think about it.
[26:31.500 --> 26:37.400]  An electric spoon that also heats your food up while it's heating up on the stove even faster.
[26:37.620 --> 26:38.520]  I thought it might exist.
[26:38.740 --> 26:39.980]  So I have another idea for you.
[26:40.360 --> 26:41.260]  Cold spoon.
[26:41.600 --> 26:44.680]  A spoon that cools things down electrically.
[26:45.660 --> 26:48.840]  Say your soup's too hot and you're like, oh, it's too hot and you gotta blow on it.
[26:49.020 --> 26:49.540]  Cold spoon.
[26:50.880 --> 26:55.980]  A decently cool spoon that you put it in that just cools things down so you don't have to blow on them.
[26:56.200 --> 26:59.560]  Or just slightly warms it up if your soup's a little too cold.
[26:59.560 --> 27:04.840]  I mean, could that be done with just like a hollow spoon full of a cooling liquid that you just keep in the freezer?
[27:05.260 --> 27:09.060]  Yeah, in my mind it's done somehow with watch batteries and electronics.
[27:09.220 --> 27:10.580]  But yeah, it could probably be done that way too.
[27:11.120 --> 27:13.680]  I'm gonna take a step back and say I don't know if it's the hot spoon.
[27:13.780 --> 27:19.720]  I think what I was thinking of is they made a spoon that makes things taste salty.
[27:20.400 --> 27:22.820]  It adds a sodium taste to...
[27:22.820 --> 27:23.320]  A salt spoon?
[27:23.500 --> 27:26.300]  Is hot and salt the same to you?
[27:26.540 --> 27:29.160]  No, but I think I just went innovative spoon.
[27:29.160 --> 27:31.160]  But I'm trying to...
[27:31.720 --> 27:33.780]  Was it just me?
[27:33.840 --> 27:37.820]  No, my brain went technology spoon and I immediately went salt.
[27:38.080 --> 27:45.460]  Well, now I'm trying to remember if adding like a salt taste was a side function of the hot spoon.
[27:45.820 --> 27:47.440]  It was at CES this year.
[27:47.700 --> 27:48.860]  What was the spoon?
[27:48.980 --> 27:53.780]  So I invented something this morning that's already at CES this year. I'm like six months too late.
[27:54.180 --> 27:55.100]  That's so close.
[27:55.720 --> 27:58.020]  But it sounds like they didn't bring a cold spoon out.
[27:58.020 --> 28:00.380]  Salt spoon? CES spoon?
[28:01.280 --> 28:02.720]  Electric salt spoon.
[28:03.540 --> 28:05.020]  Electric salt spoon.
[28:05.180 --> 28:11.840]  Is a tableware type device that enhances the salty and umami taste of low-sodium foods with the power of electricity.
[28:12.780 --> 28:17.780]  A weak electric current is passed from the tip of the spoon to the food to enhance the taste of the meal.
[28:18.400 --> 28:20.900]  See, if it heated or cooled it, we'd be on to something.
[28:21.340 --> 28:24.520]  But that's the type of spoon you want, Geoff, like visually, right?
[28:24.600 --> 28:25.700]  Like you want a tech spoon.
[28:25.700 --> 28:26.680]  Yeah, like that, yeah.
[28:27.100 --> 28:29.460]  Does electrocuting your food make it taste more salty?
[28:30.040 --> 28:30.400]  Apparently.
[28:30.900 --> 28:31.620]  I guess so.
[28:31.780 --> 28:33.260]  Why don't we just have electric plates?
[28:33.520 --> 28:40.620]  Yeah, what if it's too electrified? Do you think it would like, it would zap you and be, but like you wouldn't get hurt, it would just be too salty?
[28:40.780 --> 28:41.420]  Ooh, too salty.
[28:42.980 --> 28:46.000]  I want food that when I lift it off the plate, there's a small arc.
[28:50.140 --> 28:50.500]  Tangy.
[28:50.840 --> 28:54.300]  What if it's like when you electrocute a pond in a video game?
[28:57.200 --> 29:00.120]  What if there was a condiment fork?
[29:01.540 --> 29:09.440]  So imagine a ketchup in a fork, you can stab a couple of chip, a couple of fries, little squirt of ketchup comes out of the fork.
[29:09.720 --> 29:16.540]  Yeah, what if at the end you can squeeze like the tip, you like push on the tip and it squeezes a little at the front right as it goes in your mouth.
[29:16.880 --> 29:18.100]  So you get like the perfect amount.
[29:18.680 --> 29:22.980]  And that way there's no soggy factor because you're putting ketchup on the chips right at the last minute.
[29:23.380 --> 29:24.180]  I like this.
[29:24.660 --> 29:25.300]  That's interesting.
[29:25.300 --> 29:27.200]  Maybe we should get into the silverware lab.
[29:27.720 --> 29:29.280]  Yeah, it sounds like we really should.
[29:29.800 --> 29:31.760]  We made forks before.
[29:32.740 --> 29:34.260]  That's true, we made some pretty awesome forks.
[29:34.340 --> 29:35.940]  I'm not giving up on a hot spoon, cold spoon.
[29:36.140 --> 29:39.720]  And I really like the idea of flavor injectable forks.
[29:41.620 --> 29:47.300]  Do you sell canisters or is it like that fork is what it is and then you have to buy new forks?
[29:47.400 --> 29:50.060]  It should be washable and refillable, I assume.
[29:50.620 --> 29:50.840]  Yeah.
[29:50.840 --> 29:58.680]  Now, unfortunately, UtensilMate has come around and it hasn't.
[29:59.160 --> 30:06.800]  Kickstarter, I just sent an image to the Kickstarter where they were looking for $18,000.
[30:08.700 --> 30:19.220]  Unfortunately, they only reached $2,900 on 54 backers, but this project did not reach its funding goal by August 19th of 2015.
[30:19.220 --> 30:23.420]  So we might be a little behind the times on this one.
[30:23.580 --> 30:30.180]  Maybe it was an idea ahead of its time and it just needed to be reinvented by the right people at the right time.
[30:30.560 --> 30:30.680]  Could be.
[30:30.680 --> 30:32.460]  That looks horrific. That's a terrible picture.
[30:32.720 --> 30:36.480]  It's a really bad mock-up of what that thing would be.
[30:36.980 --> 30:38.600]  Yeah, we could definitely improve upon that.
[30:38.760 --> 30:41.200]  I don't think anything should be visible from the outside like that.
[30:41.320 --> 30:42.460]  I think it could all be done internally.
[30:43.860 --> 30:45.780]  All right, so those are my first three.
[30:46.040 --> 30:50.460]  So far, you got dart board games, you got a hot spoon, you got cold spoon.
[30:50.560 --> 30:53.240]  Are you ready for idea number four? It's a two-parter.
[30:53.320 --> 30:53.640]  Yes.
[30:54.180 --> 30:57.740]  The idea number four, Nick, this idea is specifically for you.
[30:58.060 --> 30:59.860]  I think a lot about where we're going.
[31:00.020 --> 31:04.380]  Andrew mentioned earlier that we're going to go out of business at some point and then form a third time's a charm company.
[31:04.780 --> 31:11.400]  We've got a lot of tumult in our future, but at some point, we will have all accrued enough money and success and age that we can retire.
[31:11.400 --> 31:13.940]  And Nick, I worry about you and your retirement.
[31:14.400 --> 31:15.840]  So here's what I'm going to propose to you.
[31:16.160 --> 31:19.520]  You move to Vermont, huge in the antiquing world in Vermont.
[31:19.740 --> 31:23.720]  You open up your first... this is a franchise idea I've got here.
[31:23.780 --> 31:25.740]  You open up your first antique store.
[31:26.300 --> 31:27.040]  You ready for this?
[31:27.520 --> 31:27.820]  Oh, yeah.
[31:27.840 --> 31:29.460]  You call it the Nick and Cranny.
[31:30.380 --> 31:38.240]  After that's a huge success and everybody buys their antiques from the Nick and Cranny, you go two towns over, you open up your second shop.
[31:38.240 --> 31:43.720]  It's priced a little lower items, you know, a little bit more accessible as now you've made a name for yourself.
[31:43.880 --> 31:49.400]  A lot of people are going to want to come in and buy stuff from the Nick and Cranny, but not everybody's going to be able to afford it.
[31:49.560 --> 31:51.680]  So you're going to be able to send them to Nick's Snacks.
[31:51.980 --> 31:56.160]  That's your second store, your satellite store, where you're going to sell slightly cheaper stuff.
[31:56.580 --> 31:58.980]  That's my fourth idea, the Nick and Cranny and Nick's Snacks.
[31:59.480 --> 32:00.020]  What about that?
[32:00.440 --> 32:01.820]  I like it. I'm in.
[32:02.060 --> 32:05.060]  And here's my fifth and final idea.
[32:05.060 --> 32:18.820]  I was reading something on a subreddit the other day about somebody bitching about how long it took the police to come to their contested fender bender, right?
[32:18.900 --> 32:25.020]  And they were just like, we're just sitting on the side of the road for like an hour and a half waiting for the cops to show up because of this fender bender.
[32:25.180 --> 32:27.700]  And, you know, typically these days you like exchange information and leave.
[32:27.760 --> 32:31.260]  But whenever there's like an issue and people are contesting it, everybody sticks around.
[32:31.260 --> 32:35.340]  And I was thinking about all those people. This happened to my wife in Houston a couple of years ago.
[32:35.760 --> 32:39.900]  Some guy insisted on waiting for the police to come instead of exchanging information.
[32:40.160 --> 32:43.020]  And it was a whole thing. And it took like over an hour of Emily's time.
[32:43.380 --> 32:46.160]  That got me thinking, you know what those people need?
[32:46.520 --> 32:46.960]  What?
[32:47.300 --> 32:48.880]  Those people need comfort food.
[32:49.380 --> 32:59.660]  They need an Uber that's specific for people in fender benders that are stuck on the side of the interstate in some weird mile marker that's hard to explain to an Uber Eats driver.
[33:00.560 --> 33:06.340]  That exists solely to bring food to people stuck in fender benders.
[33:06.360 --> 33:11.000]  We can make it chicken based. We can call it tender bender. And we're going to make a billion dollars.
[33:11.540 --> 33:13.080]  I like tender bender a lot.
[33:13.660 --> 33:14.400]  I like that.
[33:14.440 --> 33:18.980]  Can it be spelled like T-E-N-D-R? B-E-N-D-R?
[33:19.420 --> 33:22.720]  Yeah, this is 2025. We're not going to waste money on vowels.
[33:23.040 --> 33:23.780]  Cool. Good. Thank you.
[33:24.080 --> 33:24.860]  Yeah, no problem.
[33:24.860 --> 33:30.360]  And those are my five ideas that my machine gun ideas that all came to me the second I woke up this morning.
[33:30.440 --> 33:32.340]  And I'm very happy to have shared them all with you.
[33:32.580 --> 33:36.560]  Oh man, I got a 50% off coupon on tender bender. God damn, I got to get into an accident.
[33:37.160 --> 33:37.520]  Shit.
[33:38.380 --> 33:43.180]  It's not one of those things that you look to use, but when you need it, you need it.
[33:43.340 --> 33:45.840]  So are they just driving around listening to the police radio?
[33:46.380 --> 33:48.880]  They could be. Yeah, they could be. I'm open to ideas.
[33:50.220 --> 33:54.020]  I like the idea that that's how they get you to join the app.
[33:54.020 --> 33:59.380]  They show up to your scene and they're like, oh, it's like an ambulance chaser, but they're chicken chasers.
[33:59.480 --> 34:03.760]  And they just chase tender benders with nice hot chicken tenders and nuggets.
[34:04.180 --> 34:09.920]  Maybe if the food truck had a towing capacity on the back, it could be a double whammy.
[34:11.260 --> 34:13.560]  Then they could tow you to the main restaurant.
[34:14.740 --> 34:18.080]  Yeah, what if you get towed into the restaurant?
[34:18.080 --> 34:25.400]  But what if you take a ride up front while your car's being towed and they just forcefully drive you through the tender bender drive through?
[34:26.220 --> 34:34.140]  It could be like a reverse food truck where the people stand facing outward and you're in the middle of it.
[34:34.900 --> 34:36.420]  It's like a drive in food truck.
[34:36.660 --> 34:39.580]  I like the idea of a drive through that is on the passenger side.
[34:41.800 --> 34:52.380]  I wonder if there is a if there exists a mechanic shop or auto body shop or minor repair shop slash sit down restaurant.
[34:53.200 --> 35:03.900]  You go in, you pull in there, you're like, I changed my oil and bang out that fender and I'm going to go in and eat a chicken fried steak and have some iced tea.
[35:04.580 --> 35:05.780]  It's a good combo.
[35:05.780 --> 35:12.460]  I don't. Yeah. Hey, if you work in that environment, let us know. You're the one.
[35:13.780 --> 35:19.320]  If you work in a restaurant or a garage and you think your business could be improved by one or the other, let us know.
[35:19.920 --> 35:24.120]  Would you have to call it something that kind of fit both industries like the oil can or something?
[35:24.820 --> 35:26.420]  How does that fit the food industry?
[35:27.360 --> 35:30.020]  Wait, what? Hold on. What? What do you mean?
[35:30.160 --> 35:32.200]  The oil can. How does that apply to food?
[35:32.660 --> 35:33.460]  You cook food in oil?
[35:34.500 --> 35:37.620]  Okay. Maybe it's if it's the olive oil can.
[35:38.160 --> 35:40.300]  Yeah. What do you want from me?
[35:41.320 --> 35:45.340]  You just you said that like it was so established. I was just curious.
[35:45.840 --> 35:48.540]  Name a food that's also used in cars. What do you mean?
[35:49.080 --> 35:54.680]  Uh, what was your idea? Once again, this is for you to prove and not for me to establish.
[35:55.280 --> 35:56.600]  You don't want to do any of the work today.
[35:56.960 --> 36:01.720]  No, there's nuts. You can do something with nuts. You eat nuts. They're corn nuts.
[36:03.820 --> 36:04.940]  Corn nuts!
[36:05.640 --> 36:08.900]  Dude, that's what it is. It's truck nuts. It's truck nuts.
[36:11.680 --> 36:15.040]  We're selling truck nuts, but we're also selling truck nuts.
[36:15.380 --> 36:16.560]  This is awesome.
[36:17.300 --> 36:19.760]  So it would be nut based food. It'd be like a vegetarian place.
[36:20.100 --> 36:25.000]  It's this. It's this but also cashews.
[36:25.640 --> 36:25.820]  Yeah.
[36:30.820 --> 36:32.600]  This episode's fucking crazy.
[36:33.720 --> 36:37.220]  You can just do cashews on the back of trucks. What if it was also literal nuts?
[36:37.920 --> 36:39.740]  Truck nuts that aren't balls.
[36:40.240 --> 36:42.400]  Should we get into designing?
[36:44.260 --> 36:45.840]  What would you call that?
[36:46.280 --> 36:46.760]  The truck nut?
[36:47.300 --> 36:48.980]  Yeah, but like, what would you call that decoration?
[36:49.600 --> 36:54.140]  Like, oh, like, oh, like, it's like a trailer, like a hitch decoration.
[36:54.460 --> 36:55.720]  No, it's like a hitch accessory.
[36:55.720 --> 36:59.220]  Hitch accessory. Should we get into designing like hitch accessories?
[36:59.860 --> 37:00.780]  Like a truck pussy?
[37:01.360 --> 37:07.820]  No, I don't think anyone that listens to this show has a hitch on it.
[37:08.300 --> 37:10.440]  It's not our audience, man.
[37:11.380 --> 37:12.320]  Road flaps.
[37:17.740 --> 37:19.620]  Mudflaps, but evolved.
[37:25.980 --> 37:28.240]  Yeah, when I hear hitch, I think of the Will Smith movie.
[37:29.160 --> 37:33.640]  I feel like there's a lot of people out there with truck hitches that just don't want, you know,
[37:34.140 --> 37:39.000]  giant metal silver balls hanging from their truck, but they want to decorate it in some way.
[37:39.320 --> 37:41.660]  You know, maybe they're less crude.
[37:42.840 --> 37:44.260]  What the hell's that?
[37:45.660 --> 37:48.140]  It's Will Smith after we feed him some truck nuts.
[37:48.160 --> 37:50.880]  That's the cover. That's the thumbnail.
[37:51.720 --> 37:55.480]  Will Smith is allergic to truck nuts.
[38:00.340 --> 38:05.280]  When you search Will Smith hitch, this is the second image that shows up.
[38:05.740 --> 38:06.920]  I've never seen that movie.
[38:07.220 --> 38:08.500]  Me neither.
[38:09.560 --> 38:13.880]  We're going to have to, that's something we're going to have to be careful with is truck nut allergies when we open this restaurant.
[38:14.000 --> 38:14.920]  You got to be really careful.
[38:15.420 --> 38:18.000]  I don't remember that, and I have seen that movie.
[38:18.900 --> 38:19.760]  That's horrific.
[38:19.760 --> 38:25.800]  Dude, when you search Will Smith hitch, that is like the image that shows up over and over and over again.
[38:25.880 --> 38:29.960]  It's just his face all fucked up off our truck nuts.
[38:33.000 --> 38:33.520]  Crazy.
[38:34.260 --> 38:34.780]  Wow.
[38:36.080 --> 38:39.020]  Do you want truck nuts? No, I have a nut allergy.
[38:41.000 --> 38:42.140]  That's so stupid.
[38:45.440 --> 38:47.540]  What other truck food are there?
[38:47.780 --> 38:49.620]  There's not wipers or not a food.
[38:50.620 --> 38:51.120]  Glass.
[38:52.480 --> 38:55.160]  Keep going, keep going, keep going, keep going, keep going.
[38:56.960 --> 38:57.460]  Chairs.
[38:59.540 --> 39:00.040]  Chess.
[39:01.120 --> 39:01.620]  Seats.
[39:02.600 --> 39:04.480]  I'm just trying to think what's in the car.
[39:04.600 --> 39:05.100]  Tires.
[39:06.040 --> 39:06.680]  Candy tires.
[39:07.640 --> 39:08.480]  Steering wheel.
[39:09.020 --> 39:10.920]  Steering, yeah, no, that doesn't work.
[39:11.480 --> 39:12.120]  Glove box.
[39:12.880 --> 39:13.480]  Hmm.
[39:14.660 --> 39:15.260]  Hmm.
[39:16.500 --> 39:18.380]  I've exhausted my ideas.
[39:18.640 --> 39:19.240]  Blinker.
[39:20.100 --> 39:22.460]  Blinker? Yeah, there's no candy named Blinker.
[39:22.800 --> 39:23.340]  That I'm aware of.
[39:23.700 --> 39:24.800]  I'm sure there's six in England.
[39:25.380 --> 39:27.860]  It could be. That would be like Blinky Linky.
[39:30.640 --> 39:32.520]  Gavin loves him some Blinky Linkys.
[39:33.240 --> 39:36.500]  I asked Gavin what his...
[39:36.500 --> 39:39.920]  What nationality his taste buds think he is.
[39:40.360 --> 39:42.600]  And I was surprised that he still thinks British.
[39:43.260 --> 39:43.620]  Really?
[39:44.260 --> 39:44.980]  Uh, yeah.
[39:45.440 --> 39:46.640]  I think it's just what I grew up on.
[39:46.900 --> 39:48.600]  And I'll be honest.
[39:48.700 --> 39:51.960]  I think food in America looks better than it tastes.
[39:52.480 --> 39:53.420]  I think that's America.
[39:54.080 --> 39:55.700]  America looks better than it tastes.
[39:55.940 --> 39:57.960]  Yeah, I think that veneer is slowly coming off
[39:57.960 --> 39:59.340]  if you really kind of pay attention.
[40:00.820 --> 40:01.700]  I was surprised.
[40:01.800 --> 40:03.220]  Because you eat American food every day.
[40:03.520 --> 40:05.800]  And you've lived in America quite a while at this point.
[40:06.160 --> 40:07.520]  How long have you lived in America?
[40:08.640 --> 40:09.480]  13 years.
[40:10.120 --> 40:10.540]  Whoa!
[40:12.240 --> 40:14.480]  And you lived in England for 13 years also.
[40:14.680 --> 40:15.640]  So it's sort of even, right?
[40:15.980 --> 40:16.760]  Yeah, 50-50.
[40:17.160 --> 40:20.280]  I just feel like breakfast here looks tremendous.
[40:20.280 --> 40:22.500]  But it's rarely better than an English breakfast.
[40:24.000 --> 40:25.380]  I'm not even going to get into this.
[40:25.880 --> 40:27.060]  No, get into it.
[40:27.560 --> 40:27.980]  Get into it.
[40:29.380 --> 40:31.160]  The beans for breakfast thing is
[40:31.160 --> 40:33.580]  just not a line I'm going to cross ever.
[40:33.760 --> 40:34.320]  That's so nuts.
[40:34.320 --> 40:35.780]  Did you do it though? Did you try it?
[40:35.800 --> 40:37.680]  Yes. No, it's not.
[40:38.160 --> 40:39.200]  Did you do it properly?
[40:40.020 --> 40:40.340]  What?
[40:41.680 --> 40:43.980]  Did I have an English breakfast?
[40:44.480 --> 40:45.860]  Yeah, but did you have it properly?
[40:47.080 --> 40:48.300]  Yeah, like did you get a bit of sausage,
[40:48.440 --> 40:50.640]  a bit of bacon, sort of run it around the beans,
[40:50.800 --> 40:52.620]  like get a good combo of everything
[40:52.620 --> 40:53.200]  and every bite?
[40:53.680 --> 40:55.440]  A bit of brown sauce, a bit of daddy's?
[40:56.060 --> 40:56.580]  We're done.
[40:58.920 --> 41:00.320]  Come on, put some daddy's
[41:01.460 --> 41:02.640]  brown sauce in your mouth.
[41:02.640 --> 41:04.160]  The American breakfast
[41:04.160 --> 41:05.980]  sauce game is lacking
[41:05.980 --> 41:08.000]  and the bacon is very weird
[41:08.620 --> 41:09.980]  and the sausage is in a
[41:10.760 --> 41:11.720]  giant patty.
[41:11.940 --> 41:13.660]  Everything about it is slightly off.
[41:13.760 --> 41:15.780]  Well, first off, we have both kinds of patties here.
[41:16.100 --> 41:18.220]  Both kinds of sausage. We have links and patties
[41:18.220 --> 41:19.800]  and we have scrambled sausage.
[41:19.960 --> 41:22.520]  We actually have more sausage variety here.
[41:22.600 --> 41:24.220]  I think that's ridiculous. And to compare
[41:25.440 --> 41:26.400]  crispy American
[41:26.400 --> 41:28.280]  bacon to any other bacon on Earth
[41:28.280 --> 41:30.600]  is an insult. There is no comparison.
[41:30.600 --> 41:32.540]  I agree, there's no comparison.
[41:33.200 --> 41:34.240]  Is good just familiar?
[41:34.960 --> 41:35.840]  Good familiar.
[41:36.140 --> 41:38.760]  Does Gavin think it's good because it's just what he grew up
[41:38.760 --> 41:39.320]  on?
[41:40.260 --> 41:41.780]  No, it tastes delicious.
[41:42.540 --> 41:44.700]  But do you think that because it's familiar?
[41:45.260 --> 41:46.040]  Because of nostalgia?
[41:47.420 --> 41:48.480]  Well, I've had
[41:48.480 --> 41:50.560]  a lot of food that I didn't have
[41:50.560 --> 41:52.440]  before my 20s that I think is also good
[41:52.440 --> 41:53.300]  and it's not familiar.
[41:54.020 --> 41:55.580]  That is a good point.
[41:56.300 --> 41:58.400]  Listen, I think a full English
[41:58.400 --> 41:59.600]  breakfast is delicious.
[41:59.900 --> 42:02.400]  I'm into the tomato, I'm into the beans,
[42:02.480 --> 42:04.260]  the whole thing. But if you compare that to what I would
[42:04.260 --> 42:06.580]  consider to be the quintessential American
[42:06.580 --> 42:08.280]  breakfast, which is two eggs however
[42:08.280 --> 42:10.340]  you like them. I'll take mine over medium, thank you.
[42:11.060 --> 42:12.400]  Toast with butter and
[42:12.400 --> 42:14.380]  jam, hash browns
[42:14.380 --> 42:16.420]  and bacon. I just don't see how
[42:16.420 --> 42:18.240]  it compares. Yeah, I agree.
[42:18.280 --> 42:20.320]  It's lacking. When was the last time
[42:20.320 --> 42:21.760]  you found a favorite food?
[42:22.140 --> 42:24.380]  It's a bulletproof meal. There's no weakness there.
[42:26.040 --> 42:26.440]  Nick,
[42:26.440 --> 42:27.680]  be American.
[42:28.080 --> 42:30.060]  I want to hear what Nick has to say.
[42:30.200 --> 42:32.280]  I want to hear from Nick.
