[00:01.220 --> 00:03.360]  Nick! Nick, it's happening!
[23:54.640 --> 23:57.200]  That's so, I had no idea, Gavin. That's a great fact.
[23:57.920 --> 23:58.480]  Yeah, it's not bad.
[23:58.840 --> 24:01.380]  Fleming wrote to the real James Bond's wife,
[24:01.560 --> 24:07.840]  It struck me that this brief, unromantic, Anglo-Saxon, and yet very masculine name was just what I needed.
[24:08.140 --> 24:10.360]  And so a second James Bond was born.
[24:10.360 --> 24:14.080]  He did not contact the real James Bond about using his name in the books.
[24:14.200 --> 24:22.780]  And Bond did not learn of Fleming's character until the early 1960s, when Fleming's James Bond books became popular in the U.S.
[24:22.800 --> 24:30.680]  In 1964, during Fleming's annual winter stay at Goldeneye in Jamaica, Bond and his wife visited Fleming unexpectedly.
[24:31.220 --> 24:31.760]  Oh, that's cool.
[24:31.940 --> 24:33.320]  That's so cool.
[24:34.120 --> 24:40.180]  Because that must be such a weird feeling to be like, oh, there's this new franchise and the main character has my name.
[24:40.360 --> 24:43.700]  And then suddenly being like, oh, he's literally named after me.
[24:44.080 --> 24:45.020]  It keeps going.
[24:45.260 --> 24:53.440]  In his novel Dr. No, Fleming referenced Bond's work by basing a large ornithological sanctuary on Dr. No's island in the Bahamas.
[24:55.860 --> 25:03.380]  In 1964, he gave Bond a first edition copy of You Only Live Twice signed to the real James Bond from the thief of his identity.
[25:04.480 --> 25:07.600]  That is so weird in a great way.
[25:08.140 --> 25:09.120]  What a strange thing.
[25:09.460 --> 25:12.440]  That is a thing that nobody would ever believe if you told them conversationally.
[25:13.560 --> 25:16.060]  Okay, I'm not going to kill you guys with these, but I have one more that I have to read.
[25:16.100 --> 25:16.580]  Yeah, please.
[25:17.080 --> 25:22.860]  James Bond's wife told Fleming that her husband saw use of his name for the character as a good joke to which Fleming replied,
[25:22.860 --> 25:28.340]  I can only offer your James Bond unlimited use of the name Ian Fleming in return.
[25:30.040 --> 25:31.700]  Ian Fleming sounds like a funny guy.
[25:31.860 --> 25:32.720]  Yeah, he really does.
[25:32.880 --> 25:34.020]  Alright, I'm done with James Bond stuff.
[25:34.800 --> 25:36.200]  Gavin, that was awesome, man.
[25:36.260 --> 25:37.220]  That was really fascinating.
[25:38.740 --> 25:43.800]  It's one of the most iconic characters in, I would just say, pop culture history.
[25:44.580 --> 25:46.780]  Like his name is wild.
[25:47.420 --> 25:49.740]  And he was just on the hunt for like a Smith or something.
[25:49.740 --> 25:53.040]  I wonder if he was into Falcons at all.
[25:53.460 --> 25:53.960]  I bet he was.
[25:54.880 --> 25:55.760]  I bet he had one.
[25:57.020 --> 25:58.000]  You think he had a Falcon?
[25:58.840 --> 26:01.420]  Ah, he must have. I love this regulation universe.
[26:02.360 --> 26:03.940]  We gotta do another Falcon event soon.
[26:04.240 --> 26:04.480]  We should.
[26:05.060 --> 26:06.100]  Yeah, or next week.
[26:08.220 --> 26:10.240]  I guess the week that this comes out.
[26:10.340 --> 26:12.240]  May have already happened.
[26:14.060 --> 26:18.740]  Think about all the great duos in comedy, whether it's like Key and Peele.
[26:19.420 --> 26:22.060]  I mean, if you want to go all the way back, somebody like Abbott and Costello.
[26:22.180 --> 26:26.140]  What's so important in comedy is having somebody to help nail the joke.
[26:26.240 --> 26:28.700]  Set it up, someone else finishes, just working together.
[26:29.400 --> 26:32.780]  Now imagine the equivalency of that, but for your business.
[26:33.200 --> 26:34.560]  That's what Shopify is.
[26:35.360 --> 26:40.380]  Shopify is the global commerce platform that helps you sell at every stage of your business.
[26:40.380 --> 26:43.760]  Which is important, because people have different goals.
[26:43.980 --> 26:47.160]  No matter where you're at, just knowing you're covered is so important.
[26:47.540 --> 26:51.980]  They're with you from the launch your online shop stage to the first real life store stage.
[26:52.300 --> 26:54.840]  All the way to did we just hit a million orders stage?
[26:55.160 --> 26:57.780]  Shopify is there to help you grow.
[26:58.220 --> 27:00.860]  Which is amazing, because you want to grow your business, obviously.
[27:01.020 --> 27:04.600]  But also, you might just have different personal goals for what your stages are.
[27:04.660 --> 27:07.260]  As far as what you want to accomplish with your business.
[27:07.260 --> 27:11.140]  So just knowing that you're completely covered, no matter what, is so important.
[27:11.680 --> 27:14.680]  It doesn't matter if you're selling regulation shirts or grown tubes.
[27:15.220 --> 27:17.220]  Shopify helps you sell everywhere.
[27:17.580 --> 27:22.580]  From their all-in-one ecommerce platform to their in-person POS system.
[27:23.080 --> 27:26.240]  Wherever and whatever you're selling, Shopify's got you covered.
[27:26.600 --> 27:30.540]  It's just like another thing, it's so important to know that whatever your goals are,
[27:30.840 --> 27:36.340]  the perfect comedic duo equivalency, perfect business partner, business duo,
[27:36.340 --> 27:42.260]  Shopify. Shopify helps you turn browsers into buyers with the internet's best converting checkout
[27:42.260 --> 27:46.600]  up to 36% better compared to other leading commerce platforms.
[27:47.420 --> 27:49.900]  36% is huge, that's a massive number.
[27:50.320 --> 27:56.060]  And sell more with less effort thanks to Shopify magic, your AI-powered all-star.
[27:56.440 --> 27:59.000]  You got an AI all-star on your side on top of everything else.
[27:59.380 --> 28:01.180]  How can it get better? Let me tell you how.
[28:01.480 --> 28:04.580]  Shopify powers 10% of all ecommerce in the U.S.
[28:04.580 --> 28:09.640]  And Shopify's the global force behind Allbirds, Rothy's, and Brooklinen
[28:09.640 --> 28:15.200]  and millions of other entrepreneurs of every size across 175 countries.
[28:15.880 --> 28:20.780]  Insane. Plus, Shopify's extensive help resources are there to support your success
[28:20.780 --> 28:25.200]  every step of the way because businesses that grow, grow with Shopify.
[28:25.860 --> 28:26.680]  And they're fantastic.
[28:27.620 --> 28:32.880]  Just knowing you're covered, all of the resources they provide, absolutely amazing.
[28:32.880 --> 28:36.660]  And what I love about Shopify is how no matter how big you want to grow,
[28:37.060 --> 28:38.960]  Shopify gives you everything you need to take control
[28:38.960 --> 28:40.740]  and take your business to that next level.
[28:41.260 --> 28:43.240]  You are set. They're fantastic.
[28:43.780 --> 28:48.880]  So sign up for a $1 per month trial period at Shopify.com slash face,
[28:49.020 --> 28:52.540]  all lowercase, go to Shopify.com slash face now
[28:52.540 --> 28:56.260]  to grow your business no matter what stage you're in.
[28:56.480 --> 29:02.000]  That is Shopify.com slash face, Shopify.com slash face.
[29:03.260 --> 29:06.800]  I got a news pop up. I enjoy, I sometimes just refresh.
[29:07.240 --> 29:09.540]  Oh, what? Gavin just posted something. Did you post?
[29:10.620 --> 29:11.920]  What? Wait, what?
[29:12.540 --> 29:13.180]  Now it's gone.
[29:13.740 --> 29:16.880]  I was seeing if it would dong me.
[29:17.280 --> 29:17.640]  What?
[29:18.220 --> 29:20.740]  It was like a snail getting electrocuted.
[29:21.000 --> 29:23.640]  What was it? No, it's gone now. I clicked on it really fast.
[29:23.700 --> 29:24.400]  What was that?
[29:24.800 --> 29:28.620]  Basically, a clock has appeared in my garden.
[29:29.140 --> 29:29.580]  What?
[29:29.580 --> 29:32.800]  I didn't mean to override the conversation with this.
[29:33.580 --> 29:37.140]  I can tell what time of day it is because of this.
[29:37.960 --> 29:41.000]  You have a snail? Is that what that is?
[29:41.180 --> 29:42.860]  What is that? A unicorn?
[29:43.100 --> 29:44.400]  It's an inflatable llama.
[29:45.240 --> 29:48.620]  But as the day heats up, it gets more and more erect.
[29:49.160 --> 29:50.760]  And then as it cools down, it goes down.
[29:51.040 --> 29:56.060]  So based on how upright it is, I can tell what time it is.
[29:56.360 --> 29:57.720]  You have an erect sundial.
[29:57.720 --> 30:01.820]  It's the first naturally occurring sundial I've ever had.
[30:03.640 --> 30:04.660]  That's so funny.
[30:06.880 --> 30:07.800]  That's really funny.
[30:07.980 --> 30:10.620]  I kept walking past it in the morning and it would be all slumped over.
[30:10.720 --> 30:12.780]  And then I'd come back later and I'd be like, who inflated it?
[30:15.140 --> 30:18.800]  Have you charted the level of inflation per hour?
[30:19.100 --> 30:23.900]  Are you able to identify? If I showed you a photo of it, could you be like, that was 6pm?
[30:24.900 --> 30:29.100]  It's really only accurate between 9am and noon.
[30:29.320 --> 30:32.160]  And then it's just bolt upright for the rest of the day.
[30:32.840 --> 30:34.300]  But I think it's just because it's so hot.
[30:34.640 --> 30:38.420]  And the air expands inside and slightly inflates it.
[30:39.040 --> 30:40.160]  That's so funny.
[30:40.900 --> 30:41.980]  What a great sundial.
[30:42.500 --> 30:43.800]  Yeah, it's pretty good.
[30:46.140 --> 30:50.540]  Is there an actual product you can buy that tells the time with air?
[30:51.360 --> 30:53.160]  Like an air clock?
[30:53.160 --> 30:54.060]  Air clock?
[30:54.060 --> 30:54.620]  Yeah, air clock.
[30:55.220 --> 30:57.080]  I just bought one of those alarmos.
[30:57.240 --> 31:00.340]  That feels like a thing that should be part of that, but it's not.
[31:01.200 --> 31:03.880]  All this really tells me is, is it the afternoon yet?
[31:04.640 --> 31:05.860]  It's like an afternoon clock.
[31:09.600 --> 31:10.580]  It's so inconvenient.
[31:11.340 --> 31:13.640]  Do you have to go outside or is there like a...
[31:13.640 --> 31:15.880]  You can view that from anywhere?
[31:16.900 --> 31:18.600]  Yeah, I mean, I've got a camera on it.
[31:18.860 --> 31:19.160]  Okay.
[31:19.740 --> 31:20.840]  Well, it's not as inconvenient.
[31:21.620 --> 31:27.200]  There's something funny about waking up and then going outside of your home to see what time it is.
[31:29.140 --> 31:30.600]  Based on llama inflation.
[31:31.740 --> 31:34.620]  The worst type of inflation in this modern world.
[31:35.540 --> 31:36.540]  Llama inflation.
[31:37.860 --> 31:45.040]  When I go to my news feed, I sometimes just scroll just to see if headlines capture me.
[31:45.200 --> 31:47.040]  And how do you get to that news feed?
[31:47.360 --> 31:49.660]  I swipe left all the way on my phone.
[31:49.660 --> 31:51.200]  And then it's just a large thing.
[31:51.880 --> 31:57.080]  I got five health benefits of drinking carrot juice in the morning.
[31:57.740 --> 32:02.080]  How many benefits would it require before you started drinking carrot juice in the morning?
[32:02.540 --> 32:05.560]  Like, what's the least amount of benefits you could list in a story?
[32:06.120 --> 32:10.980]  Well, like, how many does it... because five isn't doing it for me. I don't give a fuck about five.
[32:11.080 --> 32:12.300]  What are the five benefits?
[32:12.600 --> 32:14.720]  I have no clue. Five ain't enough.
[32:14.780 --> 32:16.460]  What if there are five brand new benefits?
[32:16.460 --> 32:20.480]  Yeah, but they might be... they could be weighted by how beneficial they are.
[32:20.680 --> 32:21.460]  Not for me.
[32:21.820 --> 32:27.720]  It might only take... if it's like a triple's dick length in two weeks, that's the only benefit I need.
[32:28.120 --> 32:32.620]  Nah, I don't want that. I need double digits before I even consider it.
[32:32.860 --> 32:34.220]  So you want at least ten benefits?
[32:34.460 --> 32:38.580]  They have to be ten carrot drinking benefits for you to even consider drinking carrot juice?
[32:38.580 --> 32:42.860]  You want ten minor carrot drinking benefits more than three major ones?
[32:43.200 --> 32:45.800]  Yeah, what if it was one major one? What if you could see in the doc?
[32:47.040 --> 32:48.600]  Okay, that's pretty cool.
[32:48.860 --> 32:53.540]  Okay, so if there's one benefit, then you would drink the carrot juice.
[32:53.680 --> 32:57.880]  No, I actually wouldn't want to see in the dark because sleeping would become just an annoyance. I would hate that.
[32:58.060 --> 32:58.860]  Close your eyes!
[32:59.000 --> 33:00.900]  The second benefit is...
[33:00.900 --> 33:01.980]  Close your eyes.
[33:02.180 --> 33:05.780]  You wouldn't be in bed at night thinking, man, it's bright in here.
[33:06.200 --> 33:08.580]  My eyelids look boring.
[33:09.280 --> 33:13.140]  You can't... even with night vision goggles, you can't see with your eyes closed.
[33:13.140 --> 33:15.560]  No, but night vision goggles are very bright.
[33:16.140 --> 33:21.740]  I'm somebody who likes to sit in bed and slowly wind down as I fall asleep with my eyes open.
[33:22.180 --> 33:23.400]  And then I fall asleep with my eyes closed.
[33:26.920 --> 33:28.520]  I phrased them incorrectly.
[33:28.780 --> 33:32.260]  You fall asleep by sitting in the dark with your eyes open?
[33:32.960 --> 33:35.260]  With my eyes open until I'm asleep?
[33:35.400 --> 33:37.920]  No, no, no. I phrased that poorly.
[33:37.920 --> 33:49.220]  They close when they sleep, but I need some... I'm just sitting there enjoying the atmosphere of the cozy atmosphere.
[33:49.760 --> 33:52.180]  And then I'll close my eyes. With my eyes open.
[33:52.560 --> 33:55.260]  Then I'll close my eyes. Then I'll fall asleep.
[33:56.580 --> 34:02.660]  I've never... I've tried falling asleep with my eyes open just as a curiosity and I have not been able to do it.
[34:05.820 --> 34:15.400]  So you wouldn't drink carrot juice if it let you see in the dark because when you fall asleep you have your eyes open until you close them?
[34:15.520 --> 34:19.740]  I think it would be the same experience as if you tried to sleep in a room with the lights on.
[34:20.020 --> 34:26.780]  What if the second benefit of drinking carrot juice is the ability to turn off night vision to go to bed?
[34:27.440 --> 34:30.180]  That's just normalized. At that point you just have normal eyes.
[34:30.320 --> 34:32.100]  Yeah, but the first benefit is still night vision.
[34:33.340 --> 34:37.600]  You can just toggle it like a light switch. That's the second benefit.
[34:38.620 --> 34:42.400]  You blink three times? I blink a lot.
[34:42.780 --> 34:47.340]  You would just control it like any part of your body. It's like saying, how do I pick up my phone?
[34:47.920 --> 34:49.640]  Well, I first extend my arm.
[34:50.820 --> 34:53.700]  How do I breathe? You just do it, dude.
[34:54.220 --> 34:56.220]  That's not true. I think about breathing quite a bit.
[34:58.520 --> 35:00.800]  You should start drinking carrot juice, man.
[35:00.800 --> 35:05.540]  I hear that breathing from the gut is the optimal...
[35:05.540 --> 35:08.720]  How do you hear? Do you think about hearing before you hear or do you just hear?
[35:08.960 --> 35:10.960]  That's how you turn your night vision off.
[35:11.760 --> 35:12.060]  Okay.
[35:13.140 --> 35:17.460]  And it makes your poops better. It's the third benefit.
[35:17.780 --> 35:24.020]  I think this might also be sort of slanted because I was traumatized by carrot juice as a child.
[35:25.420 --> 35:30.080]  I didn't know what I was getting into when I tried it the first time. I was not prepared for it.
[35:30.800 --> 35:34.800]  There was a neighborhood lemonade stand and they were selling a bunch of things.
[35:34.920 --> 35:40.020]  And one of the things they had was carrot juice because the person that lived there, they owned a restaurant.
[35:41.880 --> 35:45.740]  I'm assuming that's why they were selling carrot juice and they had access to it.
[35:47.040 --> 35:52.620]  And I saw orange drink and I thought, orange drink. I like orange. That seems cool.
[35:52.780 --> 35:56.220]  That seems like a fun drink. And I went, I chugged it.
[35:56.360 --> 35:58.560]  All right. I took a big sip and it was just carrot.
[35:58.560 --> 36:05.140]  It was as advertised. So I wasn't mad at them, but it was jarring and not what I was expecting.
[36:05.420 --> 36:06.960]  And I have not forgotten that memory.
[36:07.620 --> 36:08.980]  So that put you off carrots for a while?
[36:09.480 --> 36:13.600]  No, I love carrots. Favorite vegetable, just as a drinkable form. No.
[36:14.520 --> 36:16.660]  Is it because your mind was expecting a different taste?
[36:16.900 --> 36:19.180]  I was thinking it would be kind of like sweet.
[36:21.020 --> 36:22.740]  You were thinking fruit, but it was veg.
[36:23.620 --> 36:28.340]  Exactly. Yeah. I think I was just creating because I really like carrots.
[36:28.580 --> 36:31.440]  So I'm like, I love carrots. This would be great.
[36:31.800 --> 36:33.760]  What's your favorite way to eat a carrot?
[36:34.120 --> 36:37.240]  Oh, I like a long roasted.
[36:38.180 --> 36:40.700]  You like roasted? So you prefer a cooked carrot over a raw?
[36:40.840 --> 36:44.680]  Oh, definite cooked with some rosemary on it.
[36:44.840 --> 36:46.280]  A little bit of olive oil.
[36:46.540 --> 36:48.700]  You just can't beat the crunch of a raw carrot.
[36:48.960 --> 36:51.080]  Oh, I just explained how you could beat it.
[36:51.080 --> 36:52.600]  It's like a crack.
[36:52.740 --> 36:55.220]  I don't know. I just cooked carrots on Monday and they were pretty good.
[36:55.260 --> 36:58.920]  You put a little bit of brown sugar on them so they get all caramelized and they're sweet.
[36:59.700 --> 37:06.640]  Do you think if you had like a high quality mic and you recorded the sound of somebody biting into a raw carrot,
[37:07.260 --> 37:12.920]  could you just differentiate that and home run swings? Like bat cracks?
[37:13.180 --> 37:15.900]  Oh, home runs versus fruits and vegetables?
[37:16.260 --> 37:18.080]  Yeah, home runs versus carrot bites?
[37:18.080 --> 37:19.960]  With the carrot, there'd be less cheering.
[37:20.640 --> 37:22.300]  Well, you could put the carrot. We could cheer.
[37:22.380 --> 37:23.560]  Could be an away game.
[37:27.900 --> 37:28.860]  Just silence.
[37:29.140 --> 37:31.220]  Could have been Max Muncy last night.
[37:32.980 --> 37:40.760]  I wonder if, do you think if I cooked five carrots to different amounts of time and I just played you the cracks,
[37:41.020 --> 37:45.580]  do you think you could put them in order of rawness by ear?
[37:46.580 --> 37:49.940]  Easily. I've eaten so many fucking carrots in my life, I've been training for this.
[37:50.760 --> 37:51.840]  I know my carrots.
[37:53.840 --> 37:56.700]  This is actually like a burger level confidence thing for me.
[37:56.780 --> 38:02.120]  This is interesting for a guy who knows his carrots, who's been training for this his whole life,
[38:02.180 --> 38:04.640]  won't drink carrot juice for five benefits.
[38:05.180 --> 38:07.160]  No, because it's terrible. Tastes awful.
[38:07.760 --> 38:10.920]  You might just need to add something to it. Bit of ginger or something.
[38:11.320 --> 38:13.180]  I don't want it. I don't want ginger.
[38:13.800 --> 38:15.180]  Ginger is good for you too.
[38:15.640 --> 38:16.520]  How many benefits?
[38:18.060 --> 38:19.600]  There's a lot of benefits of ginger.
[38:19.900 --> 38:21.820]  Did you actually read what the benefits were?
[38:22.040 --> 38:25.600]  No, I saw five and I said that's not nearly enough.
[38:26.420 --> 38:29.320]  Then I screenshotted it and I thought everyone would agree.
[38:30.000 --> 38:32.800]  Okay, what if it just extended your life by two years?
[38:33.720 --> 38:35.000]  Oh, that's pretty good.
[38:38.860 --> 38:41.340]  But it doesn't. It's not going to.
[38:41.340 --> 38:43.240]  Well, you don't know. You didn't read it.
[38:43.520 --> 38:48.160]  But it's not. Listen, if carrot juice could extend your life by two years,
[38:49.260 --> 38:50.640]  carrot juice would be the new Coke.
[38:51.300 --> 38:53.280]  Is it true that it turns to orange if you have too much?
[38:53.860 --> 38:55.300]  Well, there's nine health benefits.
[38:55.680 --> 38:59.800]  Wow, nine. That's almost ten. We gotta find ten health benefits of carrot juice.
[39:00.000 --> 39:05.080]  No, do not find. Because then I have to consider it. Ten is my baseline.
[39:05.600 --> 39:08.900]  While we're discussing the benefits of carrot juice, can I just mention,
[39:08.900 --> 39:13.180]  I went to a birthday party over the weekend. A grown-up birthday party for a grown-up.
[39:13.860 --> 39:17.740]  And they had a birthday cake. And it was carrot cake.
[39:18.580 --> 39:23.740]  And that's such an odd choice to me for a grown-up to choose for their own birthday.
[39:24.220 --> 39:27.000]  I like carrot cake, too. I just don't ever associate it.
[39:27.160 --> 39:30.020]  I associate it with kids with allergies at their birthday,
[39:30.200 --> 39:36.960]  but very rarely do I associate it with a grown-up choosing that for their own cake.
[39:37.560 --> 39:38.460]  On purpose.
[39:39.360 --> 39:42.460]  What are the vital... Okay, here's the problem.
[39:42.960 --> 39:47.080]  Here's the problem. These are benefits of carrots, not carrot juice.
[39:47.320 --> 39:50.420]  I'm looking at this top ten. I eat carrots all day.
[39:50.920 --> 39:52.960]  It says benefits of carrot and its juice.
[39:53.520 --> 39:55.440]  What are the vital benefits of carrots?
[39:55.460 --> 40:01.320]  And then the one above that that Nick sent is ten health benefits of carrot juice.
[40:01.880 --> 40:03.720]  So we've given you two different things.
[40:04.720 --> 40:07.000]  Go get some carrots and drink them down, bud.
[40:07.220 --> 40:07.740]  Okay, here we go.
[40:08.940 --> 40:13.460]  Eyesight. Healthy. It increases your immune system. We could all use that.
[40:13.560 --> 40:16.020]  It prevents cancer. It's filled with antioxidants.
[40:16.480 --> 40:19.640]  It can help avoid sunburns. Big problem in Canada, I hear.
[40:19.980 --> 40:21.340]  It's good for your heart.
[40:21.940 --> 40:22.680]  You love your heart.
[40:23.540 --> 40:26.240]  I think potentially you should do carrot November.
[40:27.120 --> 40:29.580]  A lovely glass of carrots every morning.
[40:29.900 --> 40:30.580]  Wow, carrot November.
[40:31.040 --> 40:31.900]  No, I'm not.
[40:33.200 --> 40:37.980]  It's so easy. Let's all do carrot November. We'll help Andrew out.
[40:38.180 --> 40:38.720]  I hate it.
[40:39.500 --> 40:40.640]  We're all going to do it together.
[40:41.000 --> 40:43.460]  I'll drink carrot juice. I don't give a shit. I like carrot juice. I got no problem with this.
[40:43.620 --> 40:47.360]  Yeah, what are we going to do? Drink carrot juice every day for the month of November? I'll do it.
[40:47.520 --> 40:50.000]  We'll see if the podcasts get better throughout the month.
[40:50.400 --> 40:57.580]  What about, okay, how about one of the, either next pod or the pod after, I will try carrot juice and do a re-evaluation.
[40:58.160 --> 40:59.720]  I'll go into it with an open mind.
[40:59.720 --> 41:03.320]  I still am into the idea of drinking carrot juice every day for a month and seeing what happens.
[41:03.800 --> 41:06.960]  I'm not there yet. I need to baby step into this water.
[41:07.480 --> 41:10.660]  I turned to orange when I was a baby. That happened to me.
[41:10.800 --> 41:12.700]  That was from heavy drinking though, right?
[41:12.860 --> 41:16.420]  Yeah, when I was a baby, I got really sick from all the heavy drinking.
[41:16.560 --> 41:21.220]  No, I was eating, I ate like a lot, a lot of carrots or whatever, and I got orange-ish.
[41:21.620 --> 41:22.320]  But it's reversible?
[41:22.940 --> 41:26.880]  Yeah, I mean, it's just, it's just in your like skin and then your new skin comes and you're fine.
[41:27.260 --> 41:29.040]  It's in your skin.
[41:29.040 --> 41:30.080]  And then you have new skin.
[41:30.220 --> 41:32.340]  You take off the old skin, you put on the new skin and it's fine.
[41:32.680 --> 41:34.020]  It's a tattoo from the inside.
[41:34.340 --> 41:36.220]  Yeah, yeah, but it's temporary.
[41:36.880 --> 41:42.360]  Well, with as much as Andrew already eats carrots, he's clearly built up an orange tolerance.
[41:42.500 --> 41:45.000]  So it won't be a concern for him if he drinks it every day for a month.
[41:45.060 --> 41:47.640]  I just can't wait for, dude, carrot November is going to rock.
[41:47.860 --> 41:49.700]  I'm excited about carrot November.
[41:50.560 --> 41:51.300]  Fuck, dude.
[41:51.600 --> 41:53.540]  And we're promoting health to the audience too.
[41:53.660 --> 41:54.380]  Look at us.
[41:54.720 --> 41:55.540]  Look at us.
[41:55.540 --> 41:56.400]  Look at us, Nick.
[41:56.940 --> 41:57.740]  Look at us.
[41:58.280 --> 42:02.660]  Hang on, let me Google carrot November and see if it takes me to a fuck store or whatever.
[42:02.800 --> 42:03.160]  Hang on.
[42:04.760 --> 42:07.600]  November plant of the month is carrots.
[42:08.280 --> 42:08.800]  Wow.
[42:09.320 --> 42:09.680]  What?
[42:09.680 --> 42:13.020]  The edible plant of the month for November is carrots.
[42:13.180 --> 42:13.880]  According to who?
[42:14.000 --> 42:16.760]  Oh my God, it was meant to be.
[42:17.020 --> 42:17.680]  According to who?
[42:17.720 --> 42:18.180]  Wow.
[42:18.460 --> 42:21.680]  Alachua County, another one from Florida Times Union.
[42:21.980 --> 42:22.780]  This is exciting.
[42:24.400 --> 42:24.920]  Wow.
[42:24.920 --> 42:28.220]  I don't know why you can't commit to 30 days of carrot.
[42:28.540 --> 42:29.460]  I want to.
[42:29.660 --> 42:31.460]  Oh, I'll eat carrots for 30 days.
[42:31.560 --> 42:33.540]  It's the juice part that I don't know about.
[42:34.360 --> 42:35.860]  Does it have to be a morning thing?
[42:35.860 --> 42:37.780]  It's unfortunate because it's got to be the juice.
[42:38.100 --> 42:39.560]  No, you can drink it whenever.
[42:39.900 --> 42:41.060]  Yeah, why would it have to be the morning?
[42:41.140 --> 42:43.940]  Because the thing I said was for the morning specifics.
[42:44.080 --> 42:44.540]  I didn't know.
[42:45.380 --> 42:48.360]  No, I'd be okay with you drinking carrot juice at any point in the day.
[42:48.840 --> 42:49.560]  Yeah, I think it's fine.
[42:49.900 --> 42:51.640]  Dude, you mix a little apple in there.
[42:51.700 --> 42:52.720]  You got an apple carrot juice.
[42:52.820 --> 42:53.120]  Yum, yum.
[42:53.120 --> 42:56.800]  Nothing helps you get to sleep at night like a cold glass of carrot juice.
[42:56.900 --> 42:57.740]  That's what I always heard.
[42:57.980 --> 42:59.280]  You make that carrot juice.
[42:59.360 --> 43:01.960]  You sit there with your eyes open until they close and you go to bed.
[43:05.560 --> 43:08.920]  You know, you don't see my point of if you had night vision like that,
[43:08.960 --> 43:10.720]  it would just be like sleeping with the lights on.
[43:11.120 --> 43:15.780]  Yeah, but in your scenario, I can turn it off as easily as I've granted myself these superpowers.
[43:15.820 --> 43:17.080]  So I just solved the problem.
[43:17.680 --> 43:18.260]  That's fair.
[43:18.960 --> 43:23.040]  I saw another thing that made me laugh quite a bit.
[43:25.400 --> 43:28.200]  Let me find... I had it queued up.
[43:28.740 --> 43:30.720]  When are we doing the kicker picker thing? That's in a week, right?
[43:30.780 --> 43:31.520]  Where we're re-picking?
[43:32.440 --> 43:32.800]  Oh.
[43:33.200 --> 43:34.640]  Gavin just lost his kicker.
[43:34.800 --> 43:36.660]  Yeah, kicker picker...
[43:36.660 --> 43:37.320]  Re-picker.
[43:37.900 --> 43:38.780]  Yeah, I thought I had it...
[43:38.780 --> 43:39.280]  The kicker picker re-picker.
[43:39.600 --> 43:40.940]  I thought I had it on the calendar.
[43:41.100 --> 43:44.780]  Kicker picker redraft is... we have it scheduled for the 28th.
[43:44.800 --> 43:47.340]  We can move it up if you need to, but the 28th is when I have it scheduled.
[43:47.360 --> 43:48.820]  I like the 28th.
[43:49.080 --> 43:49.760]  Why are we doing that?
[43:50.700 --> 43:54.200]  Because a bunch of kickers are hurt and we gotta reshuffle the deck.
[43:54.200 --> 43:55.300]  You just lost a kicker.
[43:55.360 --> 43:56.700]  You seem very concerned by it.
[43:57.360 --> 43:57.600]  Huh.
[43:58.220 --> 44:00.240]  You can keep your existing kickers, right?
[44:00.320 --> 44:01.240]  You just pick new ones.
[44:01.620 --> 44:01.840]  Yeah, yeah.
[44:01.900 --> 44:03.060]  But no, no, no. Here's the thing.
[44:03.140 --> 44:04.980]  I don't think we have to redraw all of them.
[44:05.060 --> 44:06.820]  I think we have to do a ranked order thing.
[44:07.440 --> 44:09.840]  Whoever's in first can only redraft one.
[44:10.240 --> 44:14.200]  And then whoever's in second can redraft two, three, four, all the way to the bottom.
[44:14.400 --> 44:15.820]  So that way you can really sort...
[44:15.820 --> 44:18.800]  Like, oh no, my kicker isn't the regular kicker.
[44:19.620 --> 44:23.000]  And I think that'll help us sort of get the idea of what we're doing.
[44:23.000 --> 44:24.120]  What's the standings?
[44:24.620 --> 44:31.280]  I think it's Eric, Gavin, Geoff, Nick, Andrew, maybe?
[44:31.380 --> 44:33.380]  I was in the top three for quite a while.
[44:33.660 --> 44:38.060]  We're currently... here is the regulationfan.com kicker picker.
[44:38.480 --> 44:42.740]  And hey, go to that, but if you're looking for a sex story, you're not going to find it at regulationfan.com.
[44:43.060 --> 44:45.220]  Yeah, don't Google it. Just go to regulationfan.com.
[44:45.620 --> 44:47.260]  It is Eric in first.
[44:47.320 --> 44:52.180]  At the time of this recording, which is the 17th of October, I'm in first with 275.
[44:52.180 --> 44:53.520]  Gavin is in second.
[44:53.620 --> 44:55.440]  Gavin, congratulations, dude. You're doing great.
[44:56.320 --> 44:56.760]  257.
[44:57.180 --> 44:58.560]  Geoff in third, 240.
[44:59.300 --> 45:01.400]  Andrew in fourth, 223.
[45:01.580 --> 45:04.180]  And Nick bringing up the rear, 180.
[45:04.940 --> 45:08.700]  And the reason for that is one of his kickers is released.
[45:11.860 --> 45:12.300]  So...
[45:12.300 --> 45:14.280]  Yeah, Nick is going to need to do some rotating.
[45:14.580 --> 45:15.420]  Yep. Andrew's the same.
[45:15.500 --> 45:16.860]  He has one released kicker.
[45:17.260 --> 45:21.460]  And then it looks like we all have our kickers, so we should be good.
[45:21.460 --> 45:23.360]  But, you know, you can make a change.
[45:23.820 --> 45:26.260]  I love this site so much, regulationfan.com.
[45:26.360 --> 45:26.800]  It's great.
[45:26.880 --> 45:28.060]  It has a kicker picker and movie auction.
