[00:01.060 --> 00:02.540]  The summer sun hums.
[18:19.100 --> 18:19.360]  Yeah.
[18:23.800 --> 18:25.540]  You must be buzzing after that.
[18:25.780 --> 18:29.460]  You just fucking flying or what?
[18:29.700 --> 18:30.960]  London Fog doesn't have that much.
[18:32.240 --> 18:33.800]  Yeah, it's good.
[18:34.420 --> 18:36.620]  Tune in for my next pick, an Arnold Palmer with coffee.
[18:41.140 --> 18:42.820]  And this bullshit draft.
[18:42.820 --> 18:43.280]  What?
[18:45.880 --> 18:47.540]  I'm so sorry, Gavin.
[18:50.380 --> 18:51.540]  Oh, man.
[18:52.320 --> 18:54.020]  Well, that might be refreshing, actually.
[18:54.700 --> 18:54.940]  Yeah.
[18:55.280 --> 18:57.380]  Hey, Andrew, you have your second pick.
[18:58.000 --> 19:01.520]  I mean, what's the worst that could happen when you're having a draft?
[19:02.320 --> 19:04.260]  Going with Dr. Pepper.
[19:05.020 --> 19:06.800]  Oh, what a lead-in.
[19:07.540 --> 19:10.140]  It's the new number two soda.
[19:10.360 --> 19:10.720]  Yeah.
[19:10.720 --> 19:12.540]  Took over Pepsi recently.
[19:13.400 --> 19:14.580]  I like it.
[19:14.700 --> 19:19.820]  The thing about Dr. Pepper, which is nice, unlike coffee, there isn't really a number two.
[19:20.200 --> 19:21.540]  There isn't like a close second.
[19:21.720 --> 19:22.940]  It is its own flavor.
[19:23.280 --> 19:24.380]  Hard to duplicate.
[19:24.620 --> 19:28.760]  There are other brilliant brands that try, but I feel like there is a large gap.
[19:29.300 --> 19:30.140]  You like a Pibb?
[19:30.220 --> 19:34.280]  Yeah, I think there's a large quality gap between a Pibb to a Dr. Pepper.
[19:34.760 --> 19:35.840]  I'm going Dr. Pepper.
[19:36.320 --> 19:38.360]  You think Dr. Pepper is better than Mr. Pibb?
[19:38.380 --> 19:39.200]  Way better.
[19:39.960 --> 19:41.580]  Completely different league better.
[19:42.360 --> 19:42.880]  Interesting.
[19:43.380 --> 19:45.200]  So if I wanted to, could I pick Mr. Pibb?
[19:45.940 --> 19:46.800]  You could, absolutely.
[19:47.220 --> 19:48.060]  I'm just checking.
[19:48.320 --> 19:48.840]  Different drink.
[19:49.500 --> 19:51.000]  Yeah, I think it's a totally different drink.
[19:51.520 --> 19:53.040]  Oh, like coffee and pumpkin spice latte.
[19:53.160 --> 19:54.240]  Gavin, your second pick.
[19:55.740 --> 19:57.520]  Yeah, other good liquids.
[19:57.680 --> 19:59.260]  I like liquids that are hot.
[19:59.620 --> 20:02.660]  And I like them with essence of meat.
[20:02.900 --> 20:03.820]  It's Bovril.
[20:04.160 --> 20:04.620]  No!
[20:05.460 --> 20:06.860]  A hot Bovril.
[20:07.220 --> 20:08.080]  What a drink.
[20:08.080 --> 20:10.280]  This is one of the worst drinks I've ever had.
[20:10.580 --> 20:11.280]  Hands down.
[20:13.000 --> 20:16.200]  I had a feeling that it would rear its ugly, beefy head.
[20:18.760 --> 20:21.760]  Human sandwich guy picking beef juice.
[20:22.180 --> 20:22.860]  I'm not shocked.
[20:25.180 --> 20:31.360]  Well, Gavin, after your gross Bovril pick, you actually get another pick in this snake draft.
[20:31.660 --> 20:33.040]  So, what's after Bovril?
[20:33.120 --> 20:36.280]  I would have actually accepted Bovril as best breakfast foods as well.
[20:37.440 --> 20:39.180]  See, that's the great thing about Bovril.
[20:39.900 --> 20:41.560]  I'll put a picture on my next one.
[20:41.980 --> 20:42.200]  Okay.
[20:43.040 --> 20:46.260]  Lovely. This is maybe one of...
[20:46.260 --> 20:51.740]  This might have been the first fizzy drink I ever tried, which probably put me off them for the rest of my life.
[20:52.360 --> 20:54.580]  It's a nice can of Lilt.
[20:55.480 --> 20:56.520]  What is Lilt?
[20:58.180 --> 20:59.840]  Pineapple and grapefruit Lilt.
[20:59.920 --> 21:01.260]  Get a bit of Lilt down ya.
[21:02.820 --> 21:06.220]  I don't like when you... You got more British when you said it.
[21:06.220 --> 21:07.720]  Like, it was like a lot.
[21:08.040 --> 21:10.720]  So you didn't like the Lilt? Is that what you're saying?
[21:11.880 --> 21:15.160]  As a kid, I didn't like anything fizzy, but I think the flavor was fine.
[21:15.780 --> 21:21.900]  I think I found like a stale, still can of Lilt pretty good.
[21:22.940 --> 21:25.700]  But I think they got rid of it eventually.
[21:26.520 --> 21:32.640]  What a trajectory your life has been of hating anything fizzy to becoming a SodaStream guy.
[21:33.340 --> 21:33.940]  Wow.
[21:35.680 --> 21:36.900]  You're adding fizz now.
[21:37.500 --> 21:45.340]  It says right here that Lilt was discontinued in the early 2000s because it caused extreme stupidity in British boys.
[21:46.880 --> 21:53.420]  Yeah, Lilt fizzy drink scrapped by Coca-Cola after 50 years. 1974 to 2023.
[21:54.440 --> 21:55.300]  Man, rip Lilt.
[21:56.040 --> 21:56.600]  Good run.
[21:57.380 --> 21:58.300]  Had some great adverts.
[21:58.840 --> 21:59.680]  Rip Lilt's a cool name.
[22:02.080 --> 22:03.100]  I'm with you though.
[22:03.180 --> 22:05.640]  When I was a kid, I did not like fizzy drinks at all.
[22:05.660 --> 22:08.040]  I didn't drink soda at all. None of it.
[22:08.440 --> 22:09.460]  Just not for me.
[22:10.240 --> 22:10.460]  Interesting.
[22:12.220 --> 22:13.760]  But Andrew, you get your third pick.
[22:13.840 --> 22:15.140]  So far you have Coca-Cola and Dr. Pepper.
[22:15.340 --> 22:17.660]  What do you have as your third pick on the list?
[22:20.500 --> 22:22.160]  This has completely thrown me.
[22:22.200 --> 22:25.440]  I did not expect Lilt to be on the board in the third round.
[22:27.500 --> 22:28.580]  What do I want to pick?
[22:28.580 --> 22:32.120]  You say that like you just, like, Gavin stole your Lilt.
[22:32.520 --> 22:34.640]  No, I just, it's...
[22:34.640 --> 22:36.060]  I didn't...
[22:36.060 --> 22:38.200]  This board is crazy compared to what I had.
[22:38.360 --> 22:40.400]  I'm just processing. I'm looking at my own field.
[22:40.880 --> 22:43.260]  Has any board ever gone the way you thought it would?
[22:43.740 --> 22:44.080]  Never.
[22:44.800 --> 22:45.840]  The TV one.
[22:46.300 --> 22:47.860]  I had a lot of picks taken in that one.
[22:49.880 --> 22:51.520]  I'm going to go with...
[22:51.520 --> 22:54.180]  I don't think there's necessarily a wrong answer to this.
[22:55.480 --> 22:57.260]  But, classic Mountain Dew flavor.
[22:57.640 --> 22:58.700]  Mountain Dew Code Red.
[23:01.460 --> 23:03.000]  Love a Code Red.
[23:03.400 --> 23:05.140]  It's the only acceptable Mountain Dew.
[23:05.500 --> 23:05.900]  I agree.
[23:06.080 --> 23:06.420]  Really?
[23:07.000 --> 23:07.880]  I can't drink Mountain Dew.
[23:08.460 --> 23:10.120]  I like a Baja Blast.
[23:10.360 --> 23:11.840]  Oh, Baja Blast, okay.
[23:12.660 --> 23:13.900]  I like quite a few of them.
[23:14.460 --> 23:16.300]  But I had to go with Code Red.
[23:16.480 --> 23:17.340]  It was a tough decision.
[23:18.220 --> 23:20.200]  There's a lot of good choices for Mountain Dew.
[23:20.560 --> 23:21.980]  I wish I had a fun fact about it.
[23:21.980 --> 23:24.700]  I don't believe Coke killed it, is my fun fact.
[23:25.180 --> 23:26.020]  I'm like Lilt.
[23:29.880 --> 23:31.740]  Mountain Dew fun facts.
[23:31.880 --> 23:35.220]  11 energizing facts about Mountain Dew.
[23:36.240 --> 23:39.200]  Did you know that the Great Depression made Mountain Dew possible?
[23:40.360 --> 23:41.480]  Hell yeah, Code Red.
[23:41.760 --> 23:43.200]  That's what they refer to it as.
[23:45.160 --> 23:46.260]  They wanted to be...
[23:46.260 --> 23:49.260]  The dudes that made it wanted to be orange soda moguls.
[23:49.520 --> 23:53.500]  But they were part of a group that began bottling orange crush in 1926.
[23:54.180 --> 23:58.040]  But then the Depression hit them particularly hard.
[23:58.160 --> 24:00.440]  So they went bankrupt and had to pivot.
[24:00.740 --> 24:01.080]  Interesting.
[24:01.560 --> 24:01.680]  Huh.
[24:03.060 --> 24:06.720]  Isn't Mountain Dew made to be put with whiskey?
[24:06.940 --> 24:07.680]  Is that what it was for?
[24:07.760 --> 24:08.940]  I think it was made for...
[24:08.940 --> 24:11.980]  It was like hillbilly syrup, right?
[24:11.980 --> 24:13.920]  Yeah, I was gonna say.
[24:14.600 --> 24:16.800]  Yesterday I was in my orange factory.
[24:17.160 --> 24:19.900]  Today I'm making dew in the fucking mountains.
[24:20.420 --> 24:21.520]  Life's terrible.
[24:25.010 --> 24:26.950]  Pepsi eventually retired the hillbilly.
[24:27.390 --> 24:28.430]  They were the mascots.
[24:29.010 --> 24:29.490]  Awesome.
[24:29.810 --> 24:31.090]  R.I.P. Hillbilly.
[24:31.770 --> 24:36.970]  Can we do like a soda graveyard of Lilt and the hillbilly from Mountain Dew?
[24:37.310 --> 24:38.890]  Like cancelled fruit drinks.
[24:39.730 --> 24:40.230]  I mean sodas.
[24:40.250 --> 24:42.050]  Just cancelled soda people.
[24:42.750 --> 24:44.670]  Should we create a soda cemetery?
[24:44.970 --> 24:46.050]  I like this idea.
[24:47.210 --> 24:48.250]  Anyway, I had an idea.
[24:48.350 --> 24:49.750]  I was telling Andrew earlier today.
[24:49.770 --> 24:51.270]  I had an idea for a graveyard game.
[24:51.590 --> 24:53.070]  Like we play cemetery bingo.
[24:53.930 --> 24:59.030]  And maybe we should start making virtual cemeteries for stuff like this.
[24:59.210 --> 24:59.870]  It'd be fun.
[24:59.950 --> 25:00.430]  Good idea.
[25:00.990 --> 25:02.010]  Not a bad one.
[25:04.470 --> 25:06.250]  Nick, you have the third pick here.
[25:07.690 --> 25:08.750]  Well, it is the summer.
[25:09.890 --> 25:12.930]  And there are certain drinks that stick out to us, I think.
[25:14.090 --> 25:15.890]  When you're hot and you come in from like...
[25:16.270 --> 25:17.770]  Let's say Mowen, you're blonde.
[25:18.750 --> 25:20.710]  This motherfucker's about to pick an iced coffee.
[25:21.510 --> 25:22.210]  No, no.
[25:22.490 --> 25:22.930]  Definitely not.
[25:23.010 --> 25:24.170]  I want to live, Andrew.
[25:24.310 --> 25:26.350]  I'm not picking an iced coffee in this instance.
[25:26.770 --> 25:30.150]  So you come in and you pour yourself a nice glass of lemonade.
[25:30.710 --> 25:34.110]  Or, you know, you're driving down the street and you see some kids at a stand.
[25:34.190 --> 25:34.870]  And you're like, you know what?
[25:35.130 --> 25:36.890]  I have two dollars cash.
[25:36.990 --> 25:37.670]  Here you go, kids.
[25:37.670 --> 25:38.890]  I'll take some of that.
[25:39.070 --> 25:39.570]  Is that a real thing?
[25:40.150 --> 25:40.290]  Yeah.
[25:40.550 --> 25:40.910]  Yeah.
[25:41.510 --> 25:42.150]  Lemonade stands?
[25:42.450 --> 25:42.550]  Yeah.
[25:42.710 --> 25:42.890]  Yeah.
[25:43.430 --> 25:44.390]  Do they not exist in England?
[25:44.950 --> 25:45.390]  I don't know.
[25:45.430 --> 25:46.030]  I've never seen one.
[25:46.370 --> 25:53.690]  I would go so far as to say almost every kid in America has had a lemonade stand at one
[25:53.690 --> 25:54.410]  point in their life.
[25:54.510 --> 25:54.830]  Absolutely.
[25:55.610 --> 25:57.250]  I've had multiple as a kid.
[25:57.250 --> 25:57.570]  Me too.
[25:58.210 --> 25:59.910]  We should all go out and see who can make the most money.
[26:02.310 --> 26:05.530]  We should just have a lemonade stand, all of us together, and see how it goes.
[26:06.570 --> 26:07.870]  That'd be a great supplement.
[26:07.910 --> 26:08.870]  That'd be a bunch of fun.
[26:09.870 --> 26:11.350]  Man, that's insane.
[26:11.950 --> 26:14.230]  What a fantastic idea for a supplement.
[26:14.550 --> 26:15.170]  I think we should do that.
[26:15.170 --> 26:16.170]  Try to, like, push kids off the bus.
[26:16.570 --> 26:17.730]  Regulation Lemonade!
[26:17.890 --> 26:18.950]  Oh, that's amazing.
[26:19.130 --> 26:19.970]  Yeah, that's perfect.
[26:19.970 --> 26:20.670]  It's like the wire.
[26:21.890 --> 26:22.690]  This is my corner.
[26:22.690 --> 26:23.090]  Mikey Lemonade?
[26:23.530 --> 26:25.570]  Guys, there's always money in the lemonade stand.
[26:26.090 --> 26:26.430]  That's true.
[26:26.650 --> 26:26.950]  Oh my God.
[26:28.390 --> 26:29.790]  I really want this now.
[26:29.990 --> 26:30.990]  That would be hilarious.
[26:31.930 --> 26:33.310]  I've got the next pick here.
[26:33.310 --> 26:36.830]  After Diet Coke and Pumpkin Spice Latte, I'm going to cool down.
[26:36.910 --> 26:37.690]  I don't know if you guys know this.
[26:37.770 --> 26:44.910]  I'm from Southern California, and my drink of choice at the taco shop, the horchata.
[26:46.210 --> 26:47.250]  What's a horchata?
[26:47.490 --> 26:48.670]  It's probably too white for Jeff.
[26:50.270 --> 26:56.830]  It's like a rice milk with, like, a cinnamon sweet kind of flavor to it.
[26:57.010 --> 26:58.690]  It is so good.
[26:58.910 --> 27:00.650]  It's so fucking good.
[27:00.750 --> 27:01.590]  I love a horchata.
[27:01.730 --> 27:03.110]  Like, an ice cold horchata.
[27:03.110 --> 27:07.010]  When you get, like, a burrito, when you're done skateboarding with your dumbass friends,
[27:07.130 --> 27:11.650]  and you all split money for a burrito, and then everyone gets a horchata, it rocks.
[27:11.830 --> 27:13.270]  It is such a good drink.
[27:13.610 --> 27:13.910]  I love it.
[27:15.310 --> 27:16.070]  I recommend it.
[27:16.310 --> 27:16.730]  I recommend it.
[27:16.770 --> 27:17.210]  You should find it.
[27:17.270 --> 27:17.650]  Try it, Andrew.
[27:17.710 --> 27:18.130]  I think you'd like it.
[27:18.150 --> 27:19.250]  It looks officially very appealing.
[27:19.930 --> 27:20.150]  Mm-hmm.
[27:20.390 --> 27:21.750]  It looks like it's milk.
[27:21.750 --> 27:23.510]  It's not like milk milk.
[27:23.650 --> 27:24.810]  It's not like...
[27:24.810 --> 27:27.930]  It's like rice milk, so it just looks sort of opaque, but it's very good.
[27:27.930 --> 27:30.030]  You're not a fan of this, Jeff, because it's white, I'm assuming?
[27:30.090 --> 27:30.310]  Mm-hmm.
[27:30.410 --> 27:31.190]  Yeah, I've tried it.
[27:31.190 --> 27:31.770]  I've had...
[27:31.770 --> 27:32.550]  Horchata's not my thing.
[27:33.310 --> 27:33.790]  Mm-hmm.
[27:34.070 --> 27:35.010]  But I understand...
[27:35.010 --> 27:35.030]  Understandable.
[27:35.030 --> 27:36.770]  It's very popular around here.
[27:36.950 --> 27:37.470]  People love it.
[27:37.470 --> 27:37.650]  Okay.
[27:37.670 --> 27:38.090]  I just...
[27:38.090 --> 27:38.370]  It's not for me.
[27:40.070 --> 27:43.950]  But, Jeff, you get your last two picks here, after your diet star in Vimto.
[27:44.350 --> 27:45.090]  Oh, boy!
[27:45.150 --> 27:45.770]  Let's see.
[27:45.870 --> 27:46.850]  What am I gonna pick?
[27:46.930 --> 27:48.610]  Let's go to the master list.
[27:49.850 --> 27:50.210]  Okay.
[27:50.510 --> 27:52.150]  For my third pick, I'm going to pick...
[27:52.150 --> 27:52.670]  This is specific.
[27:52.670 --> 27:59.090]  I'm going to pick a Route 44 diet cherry limeade.
[27:59.710 --> 28:00.090]  Ooh!
[28:00.450 --> 28:00.790]  Ooh!
[28:00.930 --> 28:01.230]  From Sonic.
[28:02.090 --> 28:02.470]  Uh...
[28:02.470 --> 28:02.690]  Oh!
[28:02.690 --> 28:03.910]  Got some on the wall outside.
[28:04.150 --> 28:04.530]  Gavin...
[28:04.530 --> 28:07.510]  I watched Gavin throw one one time across his yard.
[28:07.990 --> 28:08.330]  What?
[28:08.970 --> 28:09.350]  What?
[28:10.790 --> 28:12.090]  We covered this on the show.
[28:12.350 --> 28:12.510]  Yeah.
[28:12.630 --> 28:13.350]  Yeah, we covered it on F*** Face.
[28:13.890 --> 28:17.270]  We took him to get Route 44 diet cherry limeades, and when he got out of his car, he fucking
[28:17.270 --> 28:19.050]  chunked it across the house, and I was laughing at him.
[28:19.310 --> 28:20.610]  I was holding it by the lid.
[28:21.190 --> 28:22.150]  It got away from me.
[28:23.530 --> 28:24.210]  That'll happen.
[28:24.810 --> 28:26.470]  This episode is brought to you by Greenlight.
[28:26.650 --> 28:27.190]  Get this.
[28:27.390 --> 28:31.450]  Adults with financial literacy skills have 82% more wealth than those who don't.
[28:31.550 --> 28:35.670]  From swimming lessons to piano classes, us parents invest in so many things to enrich
[28:35.670 --> 28:36.350]  our kids' lives.
[28:36.490 --> 28:38.770]  But are we investing in their future financial success?
[28:38.950 --> 28:42.950]  With Greenlight, you can teach your kids financial literacy skills like earning, saving,
[28:43.050 --> 28:43.550]  and investing.
[28:43.730 --> 28:46.370]  And this investment costs less than that after-school treat.
[28:46.610 --> 28:50.490]  Start prioritizing their financial education and future today with a risk-free trial at
[28:50.490 --> 28:51.970]  Greenlight.com slash Spotify.
[28:52.250 --> 28:53.610]  Greenlight.com slash Spotify.
[29:02.650 --> 29:05.370]  That IS one perfect combination.
[29:06.710 --> 29:07.430]  Ahhhh…
[29:07.430 --> 29:09.090]  Burgers deserve Pepsi.
[29:09.350 --> 29:10.390]  And then...
[29:10.390 --> 29:12.330]  Just because I can't...
[29:12.330 --> 29:13.930]  Ah fuck...
[29:13.930 --> 29:14.690]  You know what, fuck it.
[29:15.210 --> 29:15.990]  I'm from Alabama.
[29:16.610 --> 29:17.330]  seated
[29:19.370 --> 29:21.550]  Not what I thought you were going for with that.
[29:22.150 --> 29:30.150]  I thought you were maybe considering Big Red.
[29:30.970 --> 29:32.450]  Nah, I forgot all about Big Red.
[29:33.170 --> 29:36.110]  Big Red is a great drink once every two years.
[29:39.050 --> 29:44.930]  I've had Big Red once in my life. It was when I visited Austin and I got sick and I didn't know I was sick yet.
[29:44.930 --> 29:49.130]  And I came back from RTX and I had drank Big Red at lunch.
[29:49.250 --> 29:53.750]  And I vomited the reddest puke. Maybe the second reddest puke.
[29:54.370 --> 29:57.450]  Just Big Red everywhere.
[29:58.670 --> 30:00.830]  Projectile like horror movie blood vomit.
[30:01.370 --> 30:03.290]  And it kind of killed Big Red for me.
[30:03.450 --> 30:06.570]  Do you think we could be the first group of five to chunk the rainbow?
[30:10.090 --> 30:11.930]  Maybe like simultaneously?
[30:12.430 --> 30:14.810]  Or like just... oh man.
[30:15.110 --> 30:20.690]  You do Big Red, orange juice, uh, like lemonade.
[30:22.490 --> 30:24.250]  What would you do with the last two?
[30:24.330 --> 30:26.270]  Cause it's gotta be like, you want like blue and green?
[30:26.450 --> 30:28.430]  Or do you want to get like a purple in there? Like what are you feeling?
[30:29.370 --> 30:32.150]  Purple would be Grape Crush. Blue, there's a Mountain Dew.
[30:32.150 --> 30:32.710]  You could put Vimto.
[30:33.750 --> 30:35.310]  You could have some Vimto.
[30:35.570 --> 30:36.730]  Vimto would be great for purple.
[30:36.750 --> 30:37.330]  Some Ribena.
[30:37.330 --> 30:42.710]  Yeah, and then we just all vomit on a leprechaun or something.
[30:43.930 --> 30:46.630]  So we just eat green? What's a green drink?
[30:47.670 --> 30:48.290]  Green tea chai?
[30:49.330 --> 30:50.270]  Oh, Mountain Dew works.
[30:50.550 --> 30:50.990]  Yeah.
[30:51.790 --> 30:53.870]  Is it green or is the bottle green?
[30:54.410 --> 30:56.290]  If you pour out a Mountain Dew, is it clear?
[30:56.510 --> 30:57.670]  I think it might be clear.
[30:58.110 --> 30:59.290]  I don't think it's clear.
[30:59.730 --> 31:02.590]  There's green Hawaiian Punch. There's green Gatorade.
[31:03.530 --> 31:04.690]  Ew, there's a lot of green.
[31:05.890 --> 31:09.410]  So why are we vomiting on a leprechaun, Gavin? Why not into like a pot?
[31:10.270 --> 31:11.250]  Oh, is it the pot at the end?
[31:12.190 --> 31:13.530]  Yeah, it's a leprechaun.
[31:14.170 --> 31:15.430]  We'll chunk on to a pot of gold.
[31:15.810 --> 31:18.670]  Why do I throw... I want to throw up on a leprechaun. I think that'd be way more fun.
[31:19.110 --> 31:21.970]  Yeah, and then the gold's not, you know, all messed up.
[31:22.630 --> 31:25.510]  Whoever comes in last place has to be the leprechaun.
[31:26.190 --> 31:26.910]  Number five.
[31:27.870 --> 31:28.550]  Patreon vote.
[31:30.650 --> 31:32.570]  Loser prize for face-off season two.
[31:33.030 --> 31:37.870]  How did we go from starting a lemonade stand to having one of us get thrown up on by everybody else?
[31:38.130 --> 31:39.090]  It's the way it goes, man.
[31:39.410 --> 31:40.670]  It happened very quickly, too.
[31:40.690 --> 31:42.730]  What do you mean because of me? It's because of you.
[31:42.990 --> 31:43.990]  You threw up some big red.
[31:44.630 --> 31:47.530]  Yeah, but you led it to puking a leprechaun.
[31:47.670 --> 31:49.890]  You led it to puking and I took it from there.
[31:50.650 --> 31:54.530]  Okay. I think you're more the cause, but I see where you're coming from.
[31:54.970 --> 31:59.030]  I brought us to puke town. You parked us in leprechaun alley.
[32:00.450 --> 32:03.070]  Why don't you take us home with your fourth one?
[32:03.070 --> 32:08.110]  Well, if you insist. If we're talking about puking, here's a drink that probably would make Jeff puke.
[32:08.170 --> 32:11.090]  I don't know, but I assume eggnog is my number four.
[32:13.750 --> 32:16.070]  I'd rather die. I love eggnog.
[32:16.710 --> 32:17.730]  Are you actually trying to win?
[32:18.770 --> 32:20.170]  Yeah, these are my picks.
[32:20.310 --> 32:21.270]  Not anymore, I don't think.
[32:22.170 --> 32:23.370]  What do you mean? These are great picks.
[32:23.610 --> 32:27.190]  He's going to win a lot of people over with Diet Coke and pumpkin spice latte.
[32:27.590 --> 32:28.170]  That's fair.
[32:28.610 --> 32:29.810]  You guys don't like eggnog?
[32:30.470 --> 32:30.850]  No.
[32:31.090 --> 32:31.890]  You're not noggin over here?
[32:32.410 --> 32:33.450]  I'm not noggin.
[32:33.510 --> 32:34.310]  I'm not a fan of the nog.
[32:34.590 --> 32:34.910]  What?
[32:35.030 --> 32:39.750]  And it's really the egg's fault, once again. The egg thing really throws me.
[32:40.850 --> 32:42.710]  I don't think there's any egg in eggnog, is there?
[32:43.970 --> 32:45.030]  Then why is egg there?
[32:45.550 --> 32:46.810]  I think so.
[32:47.890 --> 32:50.690]  I think you can make it without... I'm pretty sure you can make it.
[32:51.010 --> 32:53.210]  Yeah, see, what if we did an an-egg-nog?
[32:54.630 --> 32:55.970]  I'm kind of on board now.
[32:55.970 --> 32:59.650]  If we get Gracie back and hire someone, two people starting with N and O.
[32:59.910 --> 33:00.130]  Yeah.
[33:01.030 --> 33:02.710]  There's definitely eggs in eggnog.
[33:02.710 --> 33:05.010]  Yeah, there's eggs, cream, sugar, milk.
[33:05.310 --> 33:07.770]  First ingredient, six large egg yolks.
[33:07.950 --> 33:11.510]  No, you can just do it without the eggs.
[33:11.810 --> 33:13.010]  That's a lot of egg.
[33:13.470 --> 33:14.530]  You guys are so hung up.
[33:14.530 --> 33:16.330]  I wonder why they don't serve this in the summer.
[33:17.330 --> 33:20.490]  Why would you drink it in the summer? That's insane. This is a Christmas drink.
[33:20.790 --> 33:23.730]  You're wearing a sweater, you're drinking that. Ooh, it's good.
[33:23.990 --> 33:25.450]  That's good stuff right there, baby.
[33:27.590 --> 33:30.710]  But now, it's time for Nick's final pick.
[33:30.750 --> 33:32.950]  I still want to know what the nog is.
[33:33.070 --> 33:35.230]  We know what the egg is. Where does the nog come in?
[33:35.670 --> 33:39.470]  Dude, this is even worse. I'm reading Wikipedia, and this is how they describe it.
[33:39.550 --> 33:40.530]  This is so gross.
[33:42.030 --> 33:45.330]  Eggnog, historically also known as milk punch.
[33:45.710 --> 33:47.290]  Or egg milk punch.
[33:48.010 --> 33:49.410]  I see why they changed the name.
[33:49.630 --> 33:50.930]  Fucking milk punch?
[33:51.970 --> 33:54.110]  Fucking shoot me in the head.
[33:54.110 --> 33:54.650]  There you go.
[33:56.110 --> 33:57.070]  Milk punch?
[33:59.850 --> 34:02.970]  Well, again, another drink when you come in from the heat.
[34:03.350 --> 34:04.110]  And you want to take a break.
[34:04.890 --> 34:07.130]  But yeah, definitely an eggnog. You put it on extra ice.
[34:07.630 --> 34:08.650]  But if you want a little kick.
[34:09.670 --> 34:12.790]  Still of some caffeine.
[34:13.790 --> 34:14.270]  Frappuccino.
[34:15.470 --> 34:16.430]  Yeah, frappuccino.
[34:16.770 --> 34:21.270]  You get yourself a nice lemonade with a sweet tea, and you make an Arnold Palmer.
[34:21.590 --> 34:22.770]  And I'm going with the Arnold Palmer.
[34:22.770 --> 34:24.630]  Because it's the best of both worlds.
[34:24.790 --> 34:26.970]  You get the sweet, you get the cooling effect.
[34:27.090 --> 34:30.150]  And you get a little bit of that energy from the caffeine.
[34:30.670 --> 34:33.770]  So you've got coffee, tea with coffee.
[34:35.310 --> 34:37.030]  Lemonade, tea with lemonade.
[34:39.210 --> 34:40.190]  They're all different.
[34:43.850 --> 34:45.690]  Put it that way, Gavin.
[34:46.310 --> 34:49.090]  When Jeff has sweet tea, it's awesome.
[34:49.590 --> 34:50.690]  It makes it so much funnier.
[34:50.690 --> 34:54.070]  Gavin has coffee.
[34:54.310 --> 34:55.850]  Jeff has sweet tea.
[34:56.150 --> 34:58.490]  Nick has coffee and sweet tea.
[35:01.650 --> 35:03.150]  Juice is an option.
[35:03.530 --> 35:05.330]  There's so many drinks.
[35:08.010 --> 35:10.170]  Nobody picked a white monster.
[35:11.150 --> 35:13.670]  But we're not day laborers.
[35:13.890 --> 35:15.430]  So I just assumed no one would pick that.
[35:15.750 --> 35:18.990]  Yeah, but it's probably what I drink more than anything else.
[35:19.110 --> 35:19.630]  When I think about it.
[35:19.670 --> 35:20.670]  Oh, God.
[35:23.250 --> 35:24.650]  Well, next up is Andrew.
[35:24.850 --> 35:25.490]  His final pick.
[35:26.050 --> 35:28.290]  Andrew, before you give us your final pick.
[35:34.340 --> 35:36.040]  Andrew, before you give us your final pick.
[35:37.060 --> 35:37.500]  Yeah.
[35:38.100 --> 35:40.440]  How many things are not...
[35:40.440 --> 35:43.440]  How many items do you have listed that you aren't going to be picking?
[35:45.080 --> 35:45.960]  Oh, oh.
[35:46.620 --> 35:47.240]  Let's see.
[35:47.420 --> 35:48.480]  Let me pull up my list.
[35:49.440 --> 35:51.360]  I have 21 drinks.
[35:51.820 --> 35:52.940]  Oh, my God.
[35:52.940 --> 35:53.520]  Yeah.
[35:54.420 --> 35:56.580]  I don't think I could name 21 drinks.
[35:56.700 --> 35:57.100]  Nope.
[35:57.620 --> 36:02.180]  Well, I could. Coffee, Americano, Pumpkin Spice Latte, Espresso.
[36:02.360 --> 36:04.120]  Arnold Palmer, Shirley Temple.
[36:04.480 --> 36:05.840]  A bunch of old other names.
[36:05.940 --> 36:07.680]  Should I run down Marilyn Monroe?
[36:08.400 --> 36:09.600]  You don't have to give them all.
[36:09.740 --> 36:10.780]  I just wanted to know.
[36:10.980 --> 36:13.040]  Because I felt like you came in way over prepared
[36:13.560 --> 36:14.280]  against me.
[36:14.320 --> 36:16.400]  A guy who listed water first and then didn't pick.
[36:17.880 --> 36:18.700]  I'm going to be honest.
[36:19.100 --> 36:20.640]  I considered water.
[36:20.640 --> 36:22.580]  But I really didn't want to get fucked like Gavin.
[36:22.700 --> 36:24.580]  To have somebody come in with sparkling water
[36:24.580 --> 36:26.020]  and get completely undercut.
[36:26.120 --> 36:27.940]  It felt like a trap.
[36:28.240 --> 36:28.880]  Yeah, that's lame.
[36:31.340 --> 36:32.140]  Oh, man.
[36:32.740 --> 36:34.220]  So many things to choose from.
[36:35.600 --> 36:37.240]  I think I'll round out.
[36:37.380 --> 36:38.620]  I have a soda theme.
[36:38.660 --> 36:39.840]  So I think I'll stick with soda.
[36:40.440 --> 36:41.680]  I like a root beer.
[36:42.180 --> 36:44.360]  And I think the number one root beer is Barks Root Beer.
[36:45.160 --> 36:46.840]  So I'm going to close out my bubble.
[36:46.840 --> 36:47.200]  That's a great one.
[36:47.800 --> 36:48.640]  Barks Root Beer.
[36:49.100 --> 36:50.580]  I almost picked Root Beer.
