[00:00.000 --> 00:01.720]  Hey, it's Paris.
[16:48.360 --> 16:50.220]  that's making it. Also having
[16:50.220 --> 16:52.180]  that take, though, because I feel that way
[16:52.180 --> 16:54.140]  all of the time of like making a show and then being
[16:54.140 --> 16:56.200]  like, why the fuck am I doing this? I got nothing
[16:56.200 --> 16:58.280]  of interest to say. I don't
[16:58.280 --> 17:00.080]  this. There's more qualified
[17:00.080 --> 17:02.340]  people should be making these things.
[17:02.740 --> 17:04.060]  It is wild that I can just
[17:04.060 --> 17:06.020]  do this, but yeah, but anyone can.
[17:06.160 --> 17:08.100]  And I think that's what's I think that's what's
[17:08.100 --> 17:10.020]  cool about it is that anyone can
[17:10.020 --> 17:12.080]  totally. It is very. It is
[17:12.080 --> 17:13.880]  very like 2009
[17:13.880 --> 17:16.060]  YouTube. Yes, to go
[17:16.060 --> 17:17.640]  out there and do it because
[17:17.640 --> 17:19.920]  without podcast, how would we know about
[17:19.920 --> 17:22.100]  Jack's exotic bird? That's such
[17:22.100 --> 17:23.540]  a good point. The world, you know,
[17:24.020 --> 17:25.700]  you all would just have to
[17:25.700 --> 17:27.860]  hoard that knowledge. Yeah, yeah.
[17:27.880 --> 17:29.900]  We would have to do just like the 20 people at that
[17:29.900 --> 17:31.880]  party would know about Jack's exotic bird and not
[17:32.440 --> 17:34.040]  so, so, so many more.
[17:34.120 --> 17:36.000]  And I need as many people as possible
[17:36.000 --> 17:38.080]  to know about Jack's
[17:38.080 --> 17:39.940]  exotic bird. And that's the
[17:39.940 --> 17:41.760]  magic of podcast. It really
[17:41.760 --> 17:42.040]  is.
[17:43.800 --> 17:45.760]  I'm so excited for when we record our next
[17:45.760 --> 17:47.760]  episode. I watched a movie and it opened up a
[17:47.760 --> 17:49.940]  whole new thing of Lord for me that I'm very excited
[17:49.940 --> 17:51.880]  to share. It's fun. It's fun. It's
[17:52.240 --> 17:53.860]  sort of a joy of podcasting
[17:53.860 --> 17:55.620]  is you will do something for yourself
[17:55.620 --> 17:57.480]  and then it will create an opportunity
[17:57.480 --> 17:59.600]  to discuss something in a way you never anticipated.
[17:59.920 --> 18:01.140]  Yeah. Can't wait to share.
[18:01.640 --> 18:03.800]  I'm a kid, so am I going to surprise you with
[18:03.800 --> 18:05.660]  a poster board I need for the science fair
[18:05.660 --> 18:07.700]  tomorrow? Probably. But can you get
[18:07.700 --> 18:09.760]  up to 40% off back to school essentials
[18:09.760 --> 18:11.220]  on Uber Eats? Definitely.
[18:11.820 --> 18:13.660]  So order on Uber Eats and get up
[18:13.660 --> 18:15.660]  to 40% off. Exclusions may apply.
[18:15.760 --> 18:17.700]  Check app for availability. This summer, try
[18:17.700 --> 18:19.660]  the new Strato Frappuccino blended beverage
[18:19.660 --> 18:21.880]  at Starbucks. It's the classic blended
[18:21.880 --> 18:23.500]  iced coffee you know and love,
[18:23.680 --> 18:26.040]  now topped with a creamy layer of handcrafted
[18:26.040 --> 18:27.880]  brown sugar cold foam. Available
[18:27.880 --> 18:29.740]  for a limited time. Your Strato
[18:29.740 --> 18:31.380]  Frappuccino is ready at Starbucks.
[18:31.860 --> 18:33.720]  Well, um, Gavin,
[18:34.240 --> 18:35.900]  those are our first two takes. What about
[18:35.900 --> 18:37.940]  you? What takes do you have? If you manage
[18:37.940 --> 18:39.880]  to fit it in your asshole, you should
[18:39.880 --> 18:40.920]  be allowed to smuggle it.
[18:42.260 --> 18:42.740]  Okay.
[18:44.200 --> 18:46.240]  Interesting. Very interesting.
[18:46.600 --> 18:48.280]  But you've got to the trouble of putting it
[18:48.280 --> 18:49.300]  in your anus.
[18:50.180 --> 18:51.900]  It should just be anything goes in
[18:51.900 --> 18:53.060]  the anus. Interesting.
[18:53.760 --> 18:55.900]  Okay, so if I'm
[18:56.720 --> 18:57.860]  bringing in a bunch
[18:57.860 --> 19:00.100]  of drugs and they catch
[19:00.100 --> 19:01.300]  me, let's say,
[19:01.880 --> 19:04.100]  but it's in my anus, I'm no longer
[19:04.100 --> 19:05.540]  going to be penalized for
[19:06.100 --> 19:07.820]  attempting to smuggle drugs? Yeah.
[19:07.960 --> 19:09.920]  I mean, you put it in your own anus. You went through the
[19:09.920 --> 19:11.380]  trouble of that. They're yours.
[19:11.980 --> 19:13.960]  Is there a consideration, though, that
[19:13.960 --> 19:15.740]  putting something in an anus is maybe
[19:15.740 --> 19:17.760]  too easy to it be an immunity
[19:17.760 --> 19:19.920]  spot? Uh...
[19:19.920 --> 19:22.020]  It's sort of like a bag. I mean, you've got a lot
[19:22.020 --> 19:23.820]  of runway there. You can lube it up.
[19:24.100 --> 19:25.500]  Like, it depends on...
[19:25.500 --> 19:27.940]  I guess what I'll say to that is
[19:27.940 --> 19:29.820]  that's big talk from someone
[19:29.820 --> 19:31.640]  who's not doing it. Ooh!
[19:33.940 --> 19:34.980]  I guess.
[19:35.100 --> 19:36.940]  I don't know. I just feel like...
[19:36.940 --> 19:38.560]  Here's the thing, and this is going
[19:38.560 --> 19:40.420]  in a direction that I didn't anticipate going.
[19:40.920 --> 19:42.580]  I've had some pretty massive
[19:42.580 --> 19:43.920]  shits which give me
[19:44.540 --> 19:46.460]  a concept of what's
[19:46.460 --> 19:48.740]  possible in there. I've never...
[19:48.740 --> 19:50.600]  I'm not putting things in. I'm
[19:50.600 --> 19:52.300]  pushing stuff out. I just don't agree.
[19:52.580 --> 19:54.320]  I just don't agree. And I feel like...
[19:54.320 --> 19:56.420]  No. No. I feel like
[19:56.420 --> 19:58.280]  it doesn't deserve complete
[19:58.280 --> 20:00.260]  immunity. You feel like you
[20:00.260 --> 20:02.380]  would have an advantage because you could smuggle a much
[20:02.380 --> 20:03.260]  bigger item than me?
[20:03.880 --> 20:06.100]  I don't think it's like... I'm not bragging
[20:06.100 --> 20:08.520]  or anything. I'm not saying I have an abnormal
[20:09.520 --> 20:10.520]  anus stretchability.
[20:10.700 --> 20:12.300]  I'm not like a Fantastic
[20:12.300 --> 20:14.020]  Four anally.
[20:14.740 --> 20:16.180]  But I do
[20:16.180 --> 20:18.300]  think that it might be... I don't know.
[20:18.420 --> 20:20.260]  It feels like it could be too...
[20:20.260 --> 20:22.080]  I don't know. It's an interesting
[20:22.080 --> 20:24.500]  take. What were you thinking of smuggling?
[20:25.580 --> 20:26.080]  Uh...
[20:26.080 --> 20:28.280]  There's a lot of people getting their anuses looked at
[20:28.280 --> 20:29.880]  by other people, isn't it? Sure.
[20:30.240 --> 20:32.440]  Getting stuff taken from their own anus.
[20:34.360 --> 20:36.300]  I just feel like that should
[20:36.300 --> 20:37.520]  be a safe space for people.
[20:37.740 --> 20:40.260]  You can't smuggle a lot. It's not like you
[20:40.260 --> 20:42.300]  could smuggle a boatload
[20:42.300 --> 20:44.420]  of heroin. Just enough for you.
[20:45.940 --> 20:48.060]  I think you'd be surprised how much heroin.
[20:48.280 --> 20:50.300]  Yeah, I think it would probably be quite a bit. I think it would be
[20:50.300 --> 20:52.320]  a lot. I think it would be a lot more than you think it would
[20:52.320 --> 20:54.340]  be in that case. Let's say then
[20:54.340 --> 20:56.320]  that it's only for the stuff that went up. It's not
[20:56.320 --> 20:58.200]  for the stuff you swallowed. What?
[20:58.580 --> 21:00.320]  I didn't even think about what
[21:00.320 --> 21:02.320]  you're saying, but I assume that was
[21:02.320 --> 21:04.320]  a rule. I assume it has
[21:04.320 --> 21:05.800]  to be the entry point of anal
[21:06.180 --> 21:08.200]  as opposed to swallowing. Yeah, because
[21:08.200 --> 21:10.320]  you can swallow a lot more than you
[21:10.320 --> 21:12.180]  can put up. At that point,
[21:12.220 --> 21:14.180]  your take would just be anything inside of you
[21:14.180 --> 21:16.700]  is fair game. What are you...
[21:16.700 --> 21:18.260]  I'm confused about
[21:18.260 --> 21:20.240]  what could be swallowed that you would smuggle.
[21:20.780 --> 21:22.300]  Heroin. Well, no, because
[21:22.300 --> 21:24.180]  I think your stomach would definitely break that down
[21:24.180 --> 21:26.040]  and you would die. Yeah, you don't swallow
[21:26.040 --> 21:28.040]  the raw heroin. You would put it in a Johnny,
[21:28.100 --> 21:29.480]  wouldn't you? Right, but even
[21:29.960 --> 21:31.240]  still, you don't think like
[21:31.240 --> 21:34.140]  the risk of swallowing... I just don't think it would pass
[21:34.140 --> 21:36.420]  through you. That was a movie thing.
[21:36.420 --> 21:37.180]  Of course it would.
[21:38.180 --> 21:40.340]  I think there was a thing where like...
[21:40.340 --> 21:42.220]  I've definitely seen a thing where someone swallowed a bunch
[21:42.220 --> 21:44.220]  of heroin and one of the bags burst.
[21:44.840 --> 21:45.720]  Oh yeah, I've heard of that.
[21:46.760 --> 21:48.180]  I just feel like the risk
[21:48.180 --> 21:50.140]  of swallowing it and it
[21:50.140 --> 21:52.060]  bursting is so much higher than
[21:52.060 --> 21:54.020]  just sticking it up. Because I
[21:54.020 --> 21:55.960]  agree, I think if you swallow it, no fair game.
[21:56.080 --> 21:57.540]  But if you put it up, fair game.
[21:58.040 --> 22:00.240]  I wouldn't be using it for drugs, though. I'd be using it just to avoid
[22:00.900 --> 22:01.620]  importing something.
[22:02.640 --> 22:03.320]  Like what?
[22:03.660 --> 22:04.420]  Like what? Yeah.
[22:05.780 --> 22:07.980]  I don't know, like a small but high
[22:07.980 --> 22:09.880]  value item. I don't know, man.
[22:09.980 --> 22:12.120]  Like if I had a fancy ring
[22:12.120 --> 22:14.140]  or something, I'd put it in my arse
[22:14.140 --> 22:15.940]  and then I wouldn't have... A ring?
[22:15.940 --> 22:17.740]  Yeah, like say I went to a place
[22:18.340 --> 22:20.060]  where the ring was cheaper to buy,
[22:20.060 --> 22:21.860]  I'd buy it, pop it in my arse,
[22:21.960 --> 22:23.020]  and travel back with it.
[22:23.960 --> 22:25.160]  Couldn't you just wear it?
[22:25.580 --> 22:26.520]  That's a bad example.
[22:30.460 --> 22:31.520]  Are you just
[22:32.020 --> 22:33.520]  trying to put stuff... What about a watch?
[22:33.520 --> 22:34.480]  What are you talking about?
[22:35.460 --> 22:38.320]  Christopher Walken did it. Yeah, Christopher Walken did do it.
[22:38.740 --> 22:39.700]  He put a watch in his arse?
[22:40.180 --> 22:41.300]  Yeah. In Pulp Fiction.
[22:41.720 --> 22:43.200]  Oh. The whole monologue.
[22:43.720 --> 22:45.460]  Yeah. Oh, yeah.
[22:45.480 --> 22:47.300]  What about this? What if...
[22:47.300 --> 22:49.420]  Okay, so let's say you smuggle something
[22:49.420 --> 22:51.460]  legally through your arse.
[22:51.780 --> 22:52.080]  Okay.
[22:52.760 --> 22:55.400]  Then you pop it out of your arse and commit a crime
[22:55.400 --> 22:57.180]  with it. Is that crime also
[22:57.180 --> 22:58.680]  legal? No, no, no.
[22:58.700 --> 22:59.980]  It's not like a golden bullet.
[23:00.380 --> 23:01.580]  It's not a golden bullet situation.
[23:03.260 --> 23:05.060]  What made me think of it was, you know,
[23:05.120 --> 23:06.680]  in Left 4 Dead, you've got the safe houses
[23:06.680 --> 23:08.920]  where zombies just can't affect you.
[23:09.240 --> 23:11.580]  It's your moment to chill. It's your safe space.
[23:11.680 --> 23:13.440]  You're guaranteed that nothing bad
[23:13.440 --> 23:14.660]  is going to happen until you open the door.
[23:14.660 --> 23:17.040]  I just want a real life safe space
[23:17.040 --> 23:18.320]  and what better space
[23:18.320 --> 23:20.120]  than my natural
[23:20.640 --> 23:21.500]  God-given pocket.
[23:22.200 --> 23:24.200]  But I keep wondering, like, what do you
[23:25.480 --> 23:26.540]  mean about having
[23:26.540 --> 23:28.460]  stuff up there? Like, what is your example
[23:28.460 --> 23:30.180]  of stuff? Lump of gold?
[23:30.980 --> 23:31.220]  Okay.
[23:33.440 --> 23:34.740]  But why do you
[23:35.720 --> 23:36.620]  have to do that, I guess,
[23:36.680 --> 23:37.360]  is my question.
[23:38.020 --> 23:40.580]  I don't know. I just wanted a place that no one would ever look.
[23:41.540 --> 23:42.580]  But they do look.
[23:42.580 --> 23:44.280]  Yeah, that's my point.
[23:44.520 --> 23:46.600]  They shouldn't. Do they have to manually
[23:46.600 --> 23:48.560]  look still? I feel like we should be at a point
[23:48.560 --> 23:50.500]  with technology that they can just tell if you have
[23:50.500 --> 23:51.600]  something in your ass or not.
[23:51.940 --> 23:54.420]  I like the idea of getting put in the x-ray
[23:54.420 --> 23:55.920]  and they can see the watch in there.
[23:56.020 --> 23:58.360]  They're like, oh, you little rascal. You put it in your ass. Go on.
[23:58.580 --> 23:59.300]  Get out of here, you.
[23:59.640 --> 24:02.200]  Yeah, with their watch.
[24:02.460 --> 24:02.580]  Yep.
[24:05.580 --> 24:06.520]  Now, okay, let's
[24:06.520 --> 24:08.060]  just expand on this for you personally.
[24:08.840 --> 24:10.240]  Let's say that this was a socially
[24:10.240 --> 24:12.100]  acceptable thing. What do you think you would just
[24:12.100 --> 24:14.220]  carry in it whenever you went out? Would it be something
[24:14.220 --> 24:15.340]  you regularly used?
[24:16.480 --> 24:17.700]  I'm trying to think.
[24:17.980 --> 24:20.140]  I've just always been
[24:20.140 --> 24:22.100]  scared of moving stuff between countries
[24:22.100 --> 24:24.000]  that I own. Because I'm like,
[24:24.020 --> 24:26.120]  they're going to think I've bought that and I'm
[24:26.120 --> 24:28.080]  illegally importing it. And I just want
[24:28.080 --> 24:29.960]  the security of my ass.
[24:30.220 --> 24:32.060]  But I also couldn't fit an Xbox
[24:32.060 --> 24:34.000]  in my ass and stuff. Yeah, that would be a problem.
[24:34.480 --> 24:36.040]  That would have to be several flights
[24:36.040 --> 24:37.540]  and piece by piece.
[24:37.540 --> 24:39.620]  I like this take because it's truly
[24:39.620 --> 24:41.540]  insane. And I keep asking
[24:41.540 --> 24:43.620]  for examples and I don't feel like I'm getting
[24:43.620 --> 24:45.720]  any, so I'm really on board for this.
[24:45.980 --> 24:47.660]  I'll be honest, I can't think of a single
[24:47.660 --> 24:49.640]  item that I would actually use this on.
[24:49.760 --> 24:51.660]  I just think people who put stuff up
[24:51.660 --> 24:52.820]  their ass to go through
[24:55.360 --> 24:55.800]  passport
[24:55.800 --> 24:57.800]  checks and stuff, they've gone through a lot.
[24:58.320 --> 24:59.480]  They've got a lot of effort involved.
[24:59.560 --> 25:01.560]  It just feels like the
[25:01.560 --> 25:03.440]  worst surprise you could have.
[25:03.880 --> 25:05.520]  Yeah. Like if we went out
[25:05.520 --> 25:07.520]  on a picnic and I was like,
[25:07.600 --> 25:09.460]  oh man, I forgot to bring
[25:09.460 --> 25:11.480]  dessert. And you're like, don't worry, I
[25:11.480 --> 25:13.520]  got some cookies right here. Just give me a second.
[25:14.660 --> 25:15.600]  Why would he do that
[25:15.600 --> 25:17.460]  with cookies? I was just thinking
[25:17.460 --> 25:18.840]  like a bag of cookies.
[25:19.560 --> 25:20.880]  Right, right.
[25:21.040 --> 25:22.980]  Why would he do that with cookies?
[25:23.260 --> 25:25.260]  Why is he storing anything in his anus?
[25:25.440 --> 25:27.160]  Because it seems like it's illegal
[25:27.160 --> 25:29.520]  to get this from country to country.
[25:29.640 --> 25:30.760]  He started arguing.
[25:31.360 --> 25:33.640]  You're talking about using it, but he's saying
[25:33.640 --> 25:35.600]  a safe place where people won't
[25:35.600 --> 25:37.400]  go. That makes sense for maybe
[25:37.400 --> 25:39.720]  potentially illegal activities. What you're saying
[25:39.720 --> 25:41.640]  is we go on a picnic and he
[25:41.640 --> 25:43.760]  pulls Oreos out of his
[25:43.760 --> 25:45.580]  ass. He did
[25:45.580 --> 25:47.580]  mention that he just wants to use his
[25:47.580 --> 25:49.560]  God-given pouch or whatever. I don't know
[25:49.560 --> 25:50.700]  what that wording was, but
[25:52.820 --> 25:53.620]  I don't know what
[25:53.620 --> 25:55.680]  he said, but it was something about he wanted to use
[25:55.680 --> 25:56.520]  his anal pouch.
[25:57.120 --> 25:59.620]  So at the point in which he just wants to use
[25:59.620 --> 26:01.220]  it, then I think you have to, like,
[26:01.220 --> 26:03.200]  it becomes a day-to-day thing for him.
[26:03.620 --> 26:05.300]  Does it? I think so.
[26:05.300 --> 26:07.080]  Gavin, does it feel like it becomes a day-to-day thing to you?
[26:07.120 --> 26:09.380]  No, I don't need to use it every day. I'd hardly ever use it.
[26:10.400 --> 26:11.260]  This feels like
[26:11.260 --> 26:13.220]  a really weird thing to fight for, then, if
[26:13.220 --> 26:14.480]  it's something you don't want to really use.
[26:14.580 --> 26:16.120]  What about this?
[26:17.140 --> 26:19.180]  Sometimes I have trouble
[26:19.180 --> 26:19.800]  sleeping.
[26:21.240 --> 26:23.380]  Get some of those melatonin
[26:23.380 --> 26:24.680]  gummies, right?
[26:25.200 --> 26:26.140]  To help me sleep.
[26:26.900 --> 26:29.080]  But I don't think you're allowed to bring those
[26:29.080 --> 26:30.360]  to England.
[26:30.860 --> 26:32.740]  So whenever I come to England, I'm all like
[26:32.740 --> 26:34.740]  insomnia and stuff. If I just
[26:34.740 --> 26:36.820]  pulled a week's worth of gummies out of my ass,
[26:37.100 --> 26:39.080]  fine. I honestly don't know if they're checking for
[26:39.080 --> 26:40.760]  those. I have no idea if they'd actually
[26:40.760 --> 26:43.020]  confiscate that. That's the world I
[26:43.020 --> 26:45.000]  want to live in, is that you're smuggling things
[26:45.000 --> 26:46.940]  anally that you don't have to, but just
[26:46.940 --> 26:48.940]  assume aren't allowed. I like that
[26:48.940 --> 26:50.560]  reality a lot.
[26:50.920 --> 26:53.280]  Can I bring melatonin from the US
[26:53.280 --> 26:55.000]  to the UK? Not finding a
[26:55.000 --> 26:56.820]  clear answer. First comment.
[26:56.820 --> 26:58.880]  It's not illegal to bring
[26:58.880 --> 27:01.020]  in. It's just illegal for someone to sell
[27:01.020 --> 27:02.760]  to you in the UK without a prescription.
[27:03.340 --> 27:04.840]  Second comment. Yes,
[27:04.900 --> 27:05.820]  you can bring it.
[27:06.840 --> 27:08.820]  Third comment. You can
[27:08.820 --> 27:10.800]  order melatonin over the internet
[27:10.800 --> 27:13.120]  into the UK from the US.
[27:13.900 --> 27:14.800]  I bring it to
[27:14.800 --> 27:16.760]  home every time I go.
[27:18.480 --> 27:20.880]  Now imagine how embarrassing it is if he's
[27:20.880 --> 27:22.860]  huddled over a toilet while
[27:22.860 --> 27:24.600]  reading this trying to get his melatonin.
[27:25.800 --> 27:26.240]  Wow.
[27:26.660 --> 27:28.600]  Here's the thing. I think I like your
[27:28.600 --> 27:30.720]  take. I don't think I like any of your uses
[27:30.720 --> 27:32.480]  for the take. I think that's the thing.
[27:32.560 --> 27:34.620]  I like the idea of my take, but
[27:34.620 --> 27:36.720]  not only do I not know
[27:36.720 --> 27:38.880]  what I put in my ass, I've never experienced
[27:38.880 --> 27:40.600]  putting anything in my ass, apart from
[27:40.600 --> 27:42.080]  the occasional woman's finger.
[27:42.660 --> 27:44.840]  Sure. You've never had like a
[27:44.840 --> 27:46.400]  what's the word I'm looking for?
[27:46.480 --> 27:48.140]  They put the tube in your ass.
[27:49.080 --> 27:49.960]  Medical procedure.
[27:50.520 --> 27:51.180]  Like a colonoscopy?
[27:51.180 --> 27:52.940]  A colonoscopy, thank you.
[27:52.960 --> 27:55.060]  You've never had one of those or like an enema?
[27:55.580 --> 27:55.820]  No.
[27:57.220 --> 27:58.360]  No, just a finger.
[28:00.160 --> 28:00.880]  Just a
[28:01.640 --> 28:02.360]  just a
[28:03.500 --> 28:04.220]  surprising finger.
[28:10.380 --> 28:11.120]  I'm going to be
[28:11.120 --> 28:12.680]  thinking about your take all day, Gavin.
[28:13.060 --> 28:15.200]  It's all I'm going to be thinking about for the rest of this day.
[28:15.200 --> 28:16.960]  Look, I told you I thought I've done this wrong.
[28:17.420 --> 28:18.480]  No, you did it right.
[28:18.480 --> 28:20.240]  But you didn't. I don't think you did it wrong.
[28:20.380 --> 28:21.920]  No, I don't think you did it wrong at all.
[28:22.120 --> 28:24.140]  I really, truly don't think you did it wrong.
[28:24.440 --> 28:24.560]  Yeah.
[28:26.520 --> 28:28.340]  I don't think I've ever heard Nick
[28:28.340 --> 28:30.160]  so confused in the background.
[28:30.820 --> 28:31.780]  It's very exciting.
[28:32.060 --> 28:32.900]  I'm thrilled.
[28:33.560 --> 28:35.560]  I'm thrilled about this.
[28:36.280 --> 28:37.100]  So, great.
[28:37.840 --> 28:40.020]  But, that's Gavin's take.
[28:40.240 --> 28:41.920]  That's pretty exciting. Nick,
[28:42.020 --> 28:43.980]  we have your very first take.
[28:45.180 --> 28:45.960]  I feel
[28:45.960 --> 28:48.060]  Well, what an act
[28:48.060 --> 28:48.420]  to follow.
[28:49.720 --> 28:51.900]  I feel that I'm going to take some heat
[28:51.900 --> 28:53.860]  for this. In fact,
[28:53.920 --> 28:55.820]  I know I'm going to take heat for this because I believe
[28:55.820 --> 28:57.560]  I am very much in the minority on this.
[28:59.060 --> 29:00.000]  I would like
[29:00.000 --> 29:01.620]  to say that the
[29:01.620 --> 29:03.920]  inverted control scheme is
[29:03.920 --> 29:05.960]  the correct control scheme.
[29:05.960 --> 29:06.460]  You're insane. You're an idiot.
[29:06.900 --> 29:09.720]  I think we talked about this. You're nuts.
[29:10.040 --> 29:11.820]  I think Gavin made a comment
[29:11.820 --> 29:13.600]  about something we played recently
[29:13.600 --> 29:15.340]  and saw that you did inverted controls
[29:15.340 --> 29:16.300]  and thought you were crazy.
[29:16.640 --> 29:19.400]  Does that mean, Nick, that when you get in a vehicle, like a plane
[29:19.400 --> 29:21.500]  in a video game or a banshee or something,
[29:21.740 --> 29:23.740]  are you now not inverted or are you inverted
[29:23.740 --> 29:25.080]  on both? Inverted on both.
[29:25.120 --> 29:27.000]  It makes no sense. What do you mean?
[29:27.260 --> 29:29.780]  Think about how your head moves.
[29:29.800 --> 29:30.780]  Yeah, I move my head.
[29:31.360 --> 29:33.400]  It's moved by my neck, up and down.
[29:33.740 --> 29:35.560]  It's not flown like a plane.
[29:35.680 --> 29:37.540]  No one's steering my head with a stick
[29:37.540 --> 29:38.740]  through the back of my head.
[29:38.840 --> 29:41.680]  When you tilt your head to look up, you're tilting your head
[29:41.680 --> 29:43.660]  backward, which is the way that you're doing it
[29:43.660 --> 29:45.680]  on the controller. Yeah, but there's
[29:45.680 --> 29:47.600]  no stick coming out the back of my head.
[29:47.680 --> 29:49.780]  No one's got their thumb on a stick
[29:49.780 --> 29:51.140]  on the back of my head. Fine.
[29:51.620 --> 29:53.500]  Gavin, let's look at it from your perspective then.
[29:53.520 --> 29:55.700]  Let's talk about operating a
[29:55.700 --> 29:57.760]  camera. When you tilt to look up,
[29:58.040 --> 30:00.020]  which way do you pull the camera?
[30:00.640 --> 30:01.600]  If I tilt to look
[30:01.600 --> 30:03.560]  up, I push
[30:03.560 --> 30:05.660]  down on the stick because it's a
[30:05.660 --> 30:07.260]  stick coming out the back.
[30:07.640 --> 30:09.660]  You pull it back. But if the camera was on
[30:09.660 --> 30:11.420]  my head, you would look up.
[30:11.540 --> 30:12.620]  You're still tilting your head back.
[30:13.060 --> 30:15.860]  You would look up to look up.
[30:16.500 --> 30:17.820]  You're tilting back
[30:17.820 --> 30:19.580]  to look up. You're tilting
[30:19.580 --> 30:20.800]  forward to look down.
[30:21.280 --> 30:23.140]  You don't look back or forward.
[30:23.220 --> 30:24.340]  You look up and down.
[30:24.800 --> 30:27.200]  So you invert up and down.
[30:27.520 --> 30:28.640]  Do you invert left and right?
[30:29.160 --> 30:30.240]  No, God, no. That's wrong.
[30:30.760 --> 30:32.940]  You're steering your head to the right.
[30:32.960 --> 30:34.760]  I don't understand what the fuck you're saying then.
[30:35.420 --> 30:37.400]  Okay, so Nick, I've got a camera, right?
[30:37.400 --> 30:39.120]  I want the camera to look to the right.
[30:39.320 --> 30:41.500]  I take the stick coming off the back
[30:41.500 --> 30:43.400]  of the camera, and I move it in which direction?
[30:43.960 --> 30:44.940]  I turn the camera right.
[30:45.260 --> 30:46.700]  You turn the camera right by doing what?
[30:47.480 --> 30:49.300]  By turning it right. Yeah, by pushing
[30:49.300 --> 30:50.520]  the stick to the left, huh?
[30:50.940 --> 30:52.480]  If you invert your up and down,
[30:53.200 --> 30:54.820]  you should be inverting your left and right.
[30:55.300 --> 30:56.400]  That's absolutely true.
[30:56.700 --> 30:58.860]  Now that's a take right there.
[30:59.120 --> 31:01.020]  That is a take. I will say this.
[31:01.560 --> 31:01.820]  Touche.
[31:01.820 --> 31:01.860]  Okay.
[31:04.980 --> 31:05.860]  But also,
[31:06.160 --> 31:08.160]  now I'm just going to go back to the flying one.
[31:08.780 --> 31:10.520]  You turn lefty,
[31:10.560 --> 31:11.820]  you go lefty. You turn righty,
[31:11.840 --> 31:13.380]  you go righty. You pull back to go up.
[31:13.560 --> 31:15.420]  You push down, go down.
[31:15.700 --> 31:17.300]  Or push forward, go down.
[31:17.880 --> 31:20.060]  So I'm going to stick with the flight controls.
[31:20.280 --> 31:21.260]  Inverted is correct,
[31:21.540 --> 31:23.380]  but only on the y-axis.
[31:25.420 --> 31:26.300]  So how did you
[31:26.300 --> 31:27.560]  become inverted?
[31:28.780 --> 31:29.880]  Halo. It's literally
[31:29.880 --> 31:32.160]  thanks to Halo. Yeah, but Halo isn't by default
[31:32.160 --> 31:34.080]  inverted. It's not,
[31:34.340 --> 31:36.260]  but I remember...
[31:36.260 --> 31:37.000]  No, but listen,
[31:37.720 --> 31:40.020]  they do that whole tutorial bit at the beginning
[31:40.020 --> 31:41.720]  where the chief comes out of cryo sleep
[31:41.720 --> 31:43.700]  and they have you do the control thing.
[31:43.760 --> 31:45.420]  Like, look left, look right, look up, look down.
[31:45.540 --> 31:47.840]  And then I remember being like, well, try this
[31:47.840 --> 31:48.820]  up and down.
[31:49.260 --> 31:51.580]  In the moment, I was like, I don't
[31:51.580 --> 31:53.800]  feel anything different. So I just went with whatever
[31:53.800 --> 31:55.000]  the second one was.
[31:56.080 --> 31:57.660]  And ever since then,
[31:58.020 --> 31:59.500]  inverted is the way to be.
[31:59.760 --> 32:01.380]  So why are you blaming Halo then?
[32:01.820 --> 32:03.260]  Did you only play Halo? Because it gave me the option?
[32:05.100 --> 32:05.760]  Like, I'm trying
[32:05.760 --> 32:07.560]  to understand. I get Halo
[32:07.560 --> 32:09.500]  playing that way, but then you go to a different
[32:09.500 --> 32:11.620]  game, and then you have to go into the
[32:11.620 --> 32:13.620]  settings and change it. Yeah, well, I mean,
[32:13.620 --> 32:15.580]  at that point, it was so ingrained because I played
[32:15.580 --> 32:17.400]  a lot of Halo that it was just
[32:17.400 --> 32:19.340]  everything else made me feel sick and slow.
[32:19.600 --> 32:21.400]  Did you not play a first-person shooter
[32:21.400 --> 32:23.780]  prior to Halo? There weren't a ton,
[32:23.840 --> 32:25.460]  though. Well, there were so many.
[32:25.460 --> 32:27.340]  Like Doom? On a controller?
[32:27.900 --> 32:28.720]  Quake? On a controller?
[32:29.960 --> 32:30.320]  GoldenEye?
[32:31.160 --> 32:33.420]  I mean, but GoldenEye was... I think GoldenEye was
[32:33.420 --> 32:35.420]  inverted. GoldenEye, you didn't look up
[32:35.420 --> 32:37.340]  or down unless you stopped. Yeah, unless you were
[32:37.340 --> 32:39.240]  aiming. I guess, yeah.
[32:39.780 --> 32:41.180]  Right. So you looked up and down.
[32:41.180 --> 32:43.340]  No, I mean, unless you were going through the crosshairs. Most of the time,
[32:43.380 --> 32:45.560]  you can just shoot. Right, so you would look up and down.
[32:46.640 --> 32:47.140]  I would
[32:47.140 --> 32:49.360]  not look up and down that much in GoldenEye. I would never look up and down.
[32:49.400 --> 32:51.600]  Me neither. I'm not saying that I did it.
[32:51.680 --> 32:53.520]  I'm saying that it was there and you could do it.
[32:53.520 --> 32:54.700]  I mean, yeah, now.
[32:55.280 --> 32:56.520]  What does that mean?
[32:58.640 --> 32:59.440]  What do you mean?
[32:59.680 --> 33:01.580]  So is your take
[33:01.580 --> 33:03.820]  that every game should be
